Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,4.5333333333333345e-06,8.14814814814815e-06,0.0,3.692307692307693e-06,3.2911392405063294e-06,0.0,8.06451612903226e-06,4.473684210526316e-06,3.7974683544303802e-06,2.5e-06,2.469135802469136e-06,4.89795918367347e-06,5.454545454545455e-06,3.636363636363637e-06,4.23529411764706e-06,5e-06,5.714285714285715e-06,3.7974683544303802e-06,2.8571428571428573e-06,3.2000000000000003e-06,3.3846153846153848e-06,5.357142857142858e-06,2.4000000000000003e-06,4.666666666666667e-06,3.8095238095238102e-06,4.000000000000001e-06,3.870967741935484e-06,2.916666666666667e-06,2.8235294117647062e-06,1.2903225806451614e-06,5.066666666666667e-06,2.307692307692308e-06,2.6923076923076928e-06,3.658536585365854e-06,4.444444444444445e-06,2.5e-06,6.578947368421054e-06,3.6363636363636366e-06,4.337349397590362e-06,3.7500000000000005e-06,0.0,4.255319148936171e-06,0.0,2.0000000000000003e-06,5.263157894736842e-06,6.315789473684212e-06,3.7142857142857146e-06,6.140350877192983e-06,8.750000000000003e-06,4.655172413793105e-06,0.0,3.6363636363636366e-06,1.3846153846153848e-06,5e-06,2.0000000000000003e-06,4.693877551020409e-06,0.0,4.137931034482758e-06,3.6363636363636366e-06,0.0,4.301075268817205e-06,5e-06,0.0,8.571428571428573e-06,1.1111111111111112e-06,3.384615384615385e-06,2.666666666666667e-06,2.3655913978494625e-06,2.0370370370370375e-06,5.405405405405407e-06,2.2222222222222225e-06,0.0,0.0,3.3333333333333337e-06,2.8571428571428573e-06,3.1168831168831173e-06,2.8571428571428573e-06,3.5483870967741936e-06,5e-06,1.3445378151260506e-06,4.000000000000001e-06
70,1.906666666666667e-05,2.0000000000000005e-05,1.1666666666666668e-05,1.5692307692307693e-05,1.4303797468354436e-05,1.8571428571428575e-05,2.1774193548387104e-05,1.8026315789473685e-05,1.6075949367088613e-05,1.6250000000000002e-05,1.3703703703703704e-05,1.775510204081633e-05,1.93939393939394e-05,1.6212121212121215e-05,2.0352941176470592e-05,2.125e-05,1.6190476190476193e-05,1.5063291139240513e-05,1.7857142857142862e-05,1.706666666666667e-05,1.6153846153846157e-05,1.535714285714286e-05,1.32e-05,2.1333333333333338e-05,1.3492063492063495e-05,4.000000000000001e-06,1.6451612903225807e-05,1.7083333333333336e-05,1.3529411764705888e-05,9.354838709677422e-06,1.8533333333333334e-05,1.2307692307692311e-05,1.2500000000000002e-05,1.5000000000000002e-05,1.777777777777778e-05,1.5714285714285715e-05,2.092105263157895e-05,1.181818181818182e-05,1.4457831325301207e-05,1.3125e-05,1.8571428571428575e-05,1.7765957446808512e-05,1e-05,1.6000000000000003e-05,1.842105263157895e-05,1.8105263157894744e-05,1.585714285714286e-05,2e-05,2.375e-05,1.7327586206896557e-05,1.8e-05,1.6363636363636366e-05,1.0769230769230771e-05,2e-05,1.4000000000000001e-05,1.775510204081633e-05,0.0,1.5862068965517245e-05,1.909090909090909e-05,1e-05,1.67741935483871e-05,2.125e-05,1.8333333333333333e-05,2.142857142857143e-05,8.611111111111112e-06,1.523076923076923e-05,1.6e-05,1.0430107526881721e-05,1.3981481481481486e-05,1.837837837837838e-05,2e-05,1.5e-05,6.6666666666666675e-06,1.8333333333333333e-05,1.5714285714285715e-05,1.467532467532468e-05,1.4285714285714287e-05,1.4516129032258066e-05,1.6250000000000002e-05,1.184873949579832e-05,1.4000000000000001e-05
80,6.000000000000001e-06,6.296296296296297e-06,4.166666666666667e-06,5.3846153846153855e-06,1.5189873417721522e-06,7.1428571428571436e-06,9.032258064516128e-06,3.947368421052632e-06,2.784810126582279e-06,3.75e-06,2.8395061728395062e-06,5.306122448979593e-06,4.242424242424243e-06,4.696969696969698e-06,5.764705882352941e-06,4.166666666666667e-06,5.2380952380952384e-06,4.3037974683544315e-06,4.2857142857142855e-06,4.533333333333334e-06,1.6923076923076926e-06,4.642857142857144e-06,2.9333333333333333e-06,4.666666666666667e-06,6.349206349206349e-06,0.0,3.709677419354839e-06,5.625000000000001e-06,2.4705882352941177e-06,2.741935483870968e-06,6.8e-06,2.6923076923076928e-06,5.192307692307694e-06,4.146341463414634e-06,1.6666666666666667e-06,6.071428571428572e-06,7.763157894736843e-06,2.7272727272727272e-06,3.855421686746989e-06,6.25e-06,7.1428571428571436e-06,5.319148936170213e-06,0.0,5e-06,3.68421052631579e-06,5.578947368421053e-06,5.142857142857143e-06,8.684210526315792e-06,7.8125e-06,7.06896551724138e-06,0.0,1.8181818181818183e-06,3.923076923076923e-06,4.166666666666667e-06,6e-06,7.551020408163265e-06,0.0,9.655172413793105e-06,4.5454545454545455e-06,0.0,5.0537634408602155e-06,1.25e-05,3.3333333333333337e-06,7.1428571428571436e-06,4.166666666666667e-06,4.000000000000001e-06,3.3333333333333333e-06,4.3010752688172045e-06,4.722222222222222e-06,8.46846846846847e-06,2.2222222222222225e-06,6.6666666666666675e-06,0.0,6.6666666666666675e-06,7.1428571428571436e-06,4.285714285714286e-06,7.1428571428571436e-06,3.2258064516129036e-06,6.25e-06,2.8571428571428573e-06,6e-06
90,5.466666666666667e-06,5.925925925925927e-06,3.3333333333333337e-06,4.923076923076924e-06,3.164556962025317e-06,1e-05,8.387096774193549e-06,5.000000000000001e-06,2.4050632911392408e-06,5e-06,3.580246913580247e-06,7.551020408163266e-06,4.848484848484849e-06,7.272727272727274e-06,5.529411764705883e-06,6.25e-06,5.476190476190477e-06,4.430379746835444e-06,8.214285714285714e-06,4.133333333333334e-06,2.0000000000000003e-06,4.464285714285715e-06,3.866666666666666e-06,4e-06,5.5555555555555575e-06,0.0,6.774193548387098e-06,6.875e-06,3.294117647058824e-06,2.903225806451613e-06,6e-06,6.153846153846154e-06,7.115384615384616e-06,3.658536585365854e-06,2.777777777777778e-06,6.071428571428572e-06,8.026315789473685e-06,2.7272727272727272e-06,4.698795180722892e-06,6.875e-06,7.1428571428571436e-06,5.106382978723405e-06,0.0,5e-06,3.157894736842105e-06,6.105263157894737e-06,5.7142857142857145e-06,6.491228070175439e-06,7.5e-06,6.896551724137931e-06,0.0,7.272727272727273e-06,3.76923076923077e-06,4.166666666666667e-06,3e-06,7.551020408163265e-06,0.0,8.275862068965517e-06,5.4545454545454545e-06,0.0,5.483870967741936e-06,1.375e-05,8.333333333333334e-06,7.1428571428571436e-06,5.277777777777778e-06,4.76923076923077e-06,5.333333333333334e-06,4.4086021505376355e-06,5.092592592592593e-06,8.73873873873874e-06,4.444444444444445e-06,3.3333333333333337e-06,0.0,6.6666666666666675e-06,5.7142857142857145e-06,4.025974025974027e-06,4.2857142857142855e-06,3.4677419354838714e-06,3.75e-06,2.4369747899159662e-06,5e-06
100,4.000000000000001e-06,2.222222222222222e-06,5e-06,2.923076923076923e-06,7.59493670886076e-07,4.2857142857142855e-06,3.870967741935484e-06,3.815789473684211e-06,1.518987341772152e-06,1.875e-06,1.4814814814814815e-06,3.6734693877551024e-06,2.7272727272727276e-06,3.93939393939394e-06,2.8235294117647062e-06,3.75e-06,2.5e-06,1.518987341772152e-06,1.0714285714285714e-06,2.0000000000000003e-06,4.6153846153846156e-07,2.678571428571429e-06,2.0000000000000003e-06,3e-06,3.80952380952381e-06,0.0,4.516129032258065e-06,4.583333333333334e-06,1.0588235294117648e-06,9.67741935483871e-07,2.8000000000000003e-06,1.1538461538461538e-06,4.423076923076924e-06,1.0975609756097562e-06,0.0,2.678571428571429e-06,4.210526315789474e-06,2.7272727272727272e-06,2.168674698795181e-06,3.75e-06,4.2857142857142855e-06,1.9148936170212767e-06,0.0,3e-06,2.105263157894737e-06,3.2631578947368427e-06,2.5714285714285716e-06,4.12280701754386e-06,4.6875000000000004e-06,3.448275862068966e-06,0.0,2.7272727272727272e-06,1.4615384615384616e-06,2.5e-06,3e-06,4.89795918367347e-06,0.0,3.103448275862069e-06,2.7272727272727272e-06,0.0,2.580645161290323e-06,7.5e-06,5e-06,0.0,4.444444444444445e-06,2.307692307692308e-06,6e-06,2.9032258064516128e-06,1.9444444444444444e-06,5.135135135135135e-06,3.3333333333333333e-06,5e-06,0.0,5e-06,4.2857142857142855e-06,1.9480519480519483e-06,2.1428571428571427e-06,2.2580645161290324e-06,3.75e-06,1.0084033613445378e-06,0.0
150,6.666666666666667e-07,4.074074074074074e-06,0.0,2.0000000000000003e-06,2.7848101265822785e-06,0.0,0.0,1.3157894736842106e-06,0.0,0.0,0.0,1.0204081632653063e-06,3.0303030303030305e-06,9.090909090909091e-07,0.0,0.0,5.952380952380953e-07,0.0,2.1428571428571427e-06,0.0,0.0,0.0,1.0666666666666667e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.064516129032258e-07,0.0,0.0,1.923076923076923e-06,0.0,0.0,0.0,1.1842105263157896e-06,0.0,1.0843373493975905e-06,5.625e-06,0.0,0.0,0.0,0.0,0.0,4.210526315789474e-07,0.0,0.0,1.25e-06,3.4482758620689656e-07,0.0,0.0,6.923076923076923e-07,0.0,5e-06,0.0,0.0,0.0,0.0,0.0,8.60215053763441e-07,6.25e-06,0.0,0.0,0.0,0.0,2.666666666666667e-06,5.0537634408602155e-06,8.333333333333334e-07,4.504504504504505e-07,0.0,0.0,1.6666666666666667e-05,0.0,0.0,6.493506493506494e-07,0.0,4.032258064516129e-07,0.0,0.0,0.0
200,1.8400000000000003e-05,2.7037037037037034e-05,3.4166666666666666e-05,4.076923076923077e-05,2.151898734177215e-05,5.428571428571429e-05,2.0000000000000005e-05,3.157894736842106e-05,1.4936708860759495e-05,5.687500000000001e-05,4.604938271604938e-05,5.285714285714286e-05,3.757575757575758e-05,3.742424242424242e-05,3.0235294117647058e-05,1.0416666666666666e-05,2.2261904761904763e-05,3.1392405063291144e-05,5.250000000000001e-05,3.3600000000000004e-05,2.7384615384615387e-05,1.517857142857143e-05,3.626666666666666e-05,2.7666666666666667e-05,4.1428571428571437e-05,1.3999999999999998e-05,3.451612903225807e-05,4.5625000000000004e-05,2.423529411764706e-05,4.000000000000001e-05,4.2666666666666676e-05,3.0384615384615386e-05,1.7115384615384613e-05,2.4390243902439026e-05,4e-05,4.7857142857142856e-05,5.1184210526315785e-05,4.454545454545455e-05,4.397590361445783e-05,8.1875e-05,7e-05,3.0319148936170223e-05,2.5e-05,3.5999999999999994e-05,3.473684210526316e-05,5.084210526315789e-05,4.52857142857143e-05,5.956140350877193e-05,3.71875e-05,4.344827586206896e-05,8.2e-05,5e-05,4.330769230769231e-05,6.250000000000001e-05,5.4e-05,6.469387755102042e-05,4e-05,6.17241379310345e-05,4.727272727272727e-05,7.25e-05,3.838709677419356e-05,8.125000000000001e-05,5.666666666666667e-05,3.285714285714286e-05,7.777777777777777e-06,4.323076923076922e-05,5.0666666666666674e-05,3.344086021505377e-05,5.537037037037037e-05,4.351351351351351e-05,7.111111111111112e-05,6e-05,5e-05,6.333333333333333e-05,5.142857142857142e-05,4.961038961038962e-05,9.285714285714284e-06,4.8387096774193554e-05,4.374999999999999e-05,3.739495798319327e-05,5.599999999999999e-05
250,0.0,0.0,0.0,6.461538461538462e-06,0.0,9.999999999999999e-06,0.0,7.894736842105263e-07,0.0,0.0,6.17283950617284e-07,2.2448979591836734e-06,2.4242424242424244e-06,0.0,5.882352941176471e-07,0.0,0.0,7.59493670886076e-07,2.1428571428571427e-06,0.0,0.0,0.0,2.5333333333333334e-06,3.666666666666667e-06,0.0,0.0,1.6129032258064516e-06,6.875e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333333e-06,4.642857142857144e-06,2.4999999999999998e-06,0.0,0.0,7.5e-06,0.0,1.9148936170212763e-06,0.0,0.0,0.0,2e-06,4.2857142857142855e-06,3.0701754385964915e-06,0.0,3.7068965517241373e-06,0.0,0.0,2.2307692307692307e-06,5e-06,0.0,6.53061224489796e-06,0.0,2.068965517241379e-06,0.0,2e-05,1.9354838709677416e-06,0.0,0.0,0.0,0.0,0.0,3.3333333333333333e-06,1.1827956989247313e-06,1.6666666666666665e-06,6.666666666666667e-06,6.666666666666667e-06,0.0,2e-05,1.9999999999999998e-05,0.0,2.7272727272727272e-06,0.0,4.67741935483871e-06,0.0,2.0168067226890756e-06,5e-06
300,7.333333333333334e-06,1.1111111111111112e-05,2.0833333333333333e-05,2.969230769230769e-05,6.582278481012659e-06,1.1428571428571429e-05,8.70967741935484e-06,2.144736842105263e-05,6.329113924050633e-06,2.375e-05,1.5185185185185187e-05,3.3061224489795914e-05,6.06060606060606e-06,1.6818181818181815e-05,1.1529411764705882e-05,3.3333333333333337e-06,1.4761904761904761e-05,1.810126582278481e-05,2.678571428571428e-05,1.1200000000000001e-05,1.4e-05,4.464285714285715e-06,1.4933333333333332e-05,1.4333333333333336e-05,1.0634920634920636e-05,0.0,3.0645161290322585e-05,3.541666666666667e-05,6.352941176470589e-06,2.2741935483870972e-05,8.8e-06,1.2307692307692308e-05,7.692307692307692e-06,2.146341463414634e-05,1.4444444444444446e-05,4.142857142857143e-05,2.5921052631578947e-05,5e-05,2.349397590361446e-05,7.125000000000001e-05,4.4285714285714296e-05,2.521276595744682e-05,7.5e-06,9e-06,2.7894736842105263e-05,3.231578947368421e-05,3.8714285714285715e-05,5.052631578947368e-05,1.34375e-05,3.879310344827585e-05,5.4e-05,3.272727272727273e-05,3.9692307692307694e-05,4.5e-05,3.5000000000000004e-05,4.387755102040816e-05,0.0,5.06896551724138e-05,4.818181818181818e-05,7e-05,2.860215053763442e-05,4.125e-05,4.8333333333333334e-05,3.142857142857143e-05,9.722222222222221e-06,4.461538461538461e-05,2.8666666666666664e-05,3.1290322580645166e-05,4.805555555555556e-05,3.297297297297297e-05,7.222222222222222e-05,3e-05,3.6666666666666666e-05,7.666666666666667e-05,1.2857142857142857e-05,3.181818181818182e-05,3.857142857142857e-05,4.3790322580645165e-05,3.375e-05,4.252100840336135e-05,4.3e-05
