Checkpoint,allocate_the,allocate_was,allot_the,allot_was,ask_the,ask_was,assign_the,assign_was,award_the,award_was,bequeath_the,bequeath_was,cede_the,cede_was,deliver_the,deliver_was,deny_the,deny_was,dictate_the,dictate_was,explain_the,explain_was,feed_the,feed_was,forward_the,forward_was,give_the,give_was,grant_the,grant_was,guarantee_the,guarantee_was,issue_the,issue_was,lease_the,lease_was,mail_the,mail_was,offer_the,offer_was,pass_the,pass_was,pay_the,pay_was,present_the,present_was,promise_the,promise_was,read_the,read_was,refund_the,refund_was,relay_the,relay_was,rent_the,rent_was,sell_the,sell_was,show_the,show_was,teach_the,teach_was,tell_the,tell_was,trade_the,trade_was,transfer_the,transfer_was,yield_the,yield_was
0,1.0474609601563618e-05,2.457565988152055e-05,1.071518585781127e-05,2.747528685210488e-05,1.1334197097312426e-05,2.6350904287634574e-05,1.0196572188411105e-05,2.465448498976632e-05,1.1993489697258006e-05,2.3988400203685344e-05,8.87550842370339e-06,2.4316561913500273e-05,9.714179551308682e-06,2.7287674686616107e-05,1.040666025849197e-05,2.3703689784700766e-05,1.0963539686680277e-05,2.2975595405839584e-05,1.192686710282942e-05,2.60776167806398e-05,1.149413586422326e-05,2.635012302045742e-05,1.0622901216414234e-05,2.4401533312125045e-05,1.01660657354373e-05,2.2074723980922222e-05,1.0461085869820002e-05,2.470334592627213e-05,1.0949331831130514e-05,2.2115420479702368e-05,9.851256000577754e-06,2.0315808247535944e-05,1.2438480823783765e-05,2.6283350659165688e-05,1.037801363468767e-05,2.3563510648607087e-05,1.083381924412866e-05,2.2622854300737216e-05,1.0811168734411087e-05,2.4534575641155242e-05,1.0951284083113513e-05,2.3093132781818544e-05,1.0781486829663273e-05,2.703547577961477e-05,1.1192485781066352e-05,2.476501614485945e-05,1.148466146029629e-05,2.467881158736418e-05,1.2039946536138554e-05,2.6713448437115563e-05,8.746081311983289e-06,2.6750524557428435e-05,1.0707352511153364e-05,2.5025586637639208e-05,1.2534134394096933e-05,2.355831461879158e-05,1.0642538403344053e-05,2.58843904328601e-05,1.2717294874809956e-05,2.320204871906636e-05,1.0839049840190759e-05,2.8202873036207165e-05,1.0799897294278848e-05,2.204408222566529e-05,1.0911986254751146e-05,2.2552364166236097e-05,1.1429264094015418e-05,2.3814387831651667e-05,8.956593092079856e-06,2.6390316078403783e-05
10,1.0474737940360987e-05,2.4561459285905583e-05,1.0715693372697354e-05,2.7459067630978233e-05,1.1334422651998466e-05,2.6336296969020623e-05,1.0197791593432507e-05,2.464429337403719e-05,1.199376078424209e-05,2.3976550656249245e-05,8.874282002580003e-06,2.4306778608921116e-05,9.715400063859922e-06,2.7276301323347012e-05,1.0406422150385639e-05,2.3692458853474818e-05,1.0964454839820605e-05,2.2963424006648673e-05,1.1926735510314757e-05,2.606877842481481e-05,1.1494609351656334e-05,2.6337581212031596e-05,1.0623592506632047e-05,2.4389876504143584e-05,1.0166834478943862e-05,2.206331301942665e-05,1.046240007588384e-05,2.469113955653897e-05,1.0950409395103206e-05,2.2105297552223098e-05,9.85171804283406e-06,2.0305619083652953e-05,1.2439692140798711e-05,2.627042431413429e-05,1.037882605234262e-05,2.3551550781766182e-05,1.0835504424124207e-05,2.2611571499250465e-05,1.081183267160668e-05,2.452345187824297e-05,1.0950673574300779e-05,2.3081190388788503e-05,1.0782980723433866e-05,2.7023083329627946e-05,1.1193824636090236e-05,2.4754117766860873e-05,1.1485845379866078e-05,2.4668631795066176e-05,1.2040147339575924e-05,2.669974767900024e-05,8.747740230319323e-06,2.674035895324778e-05,1.0707980055162953e-05,2.5013333704977882e-05,1.2534864353597186e-05,2.3547412657383877e-05,1.0643032949113095e-05,2.5871303734996166e-05,1.2718451333996434e-05,2.3190228969929927e-05,1.0839542643831615e-05,2.8188523477486644e-05,1.0800418522194377e-05,2.203375319927895e-05,1.0912616149793254e-05,2.2542963209231788e-05,1.143096006871485e-05,2.3801437791695296e-05,8.95737833969987e-06,2.6374263901137358e-05
20,0.011747029237449169,2.8693143225003344e-05,0.011759028735536116,2.8697560588221273e-05,0.011726413232584795,2.870862514707066e-05,0.011644681614752,2.854769605059678e-05,0.011724628555246546,2.84758368678335e-05,0.01187263522297144,2.9126726855923024e-05,0.011787652173229763,2.879455701810413e-05,0.01178338427684809,2.87204702544841e-05,0.011842427798841574,2.8788095848160337e-05,0.011779399123042822,2.8646643841057085e-05,0.011675812166046214,2.865035740897939e-05,0.011692505386867086,2.858770494640339e-05,0.011782513818506039,2.8564490948514447e-05,0.011850628592638355,2.87851967048923e-05,0.011757414251127665,2.8593540542608346e-05,0.011963729125758013,2.8928451683896128e-05,0.011654284915753774,2.8502605584348895e-05,0.011641056948824774,2.8550062756661232e-05,0.011818175802805595,2.8554237425331458e-05,0.011726801445086798,2.8548343834700063e-05,0.011788361333310604,2.856831577866195e-05,0.011896691384858318,2.8727576818710077e-05,0.01165999062359333,2.838506630117384e-05,0.011815866827964783,2.8670699066424277e-05,0.011751314713841393,2.8540109991491404e-05,0.011888456903398037,2.8650942113017663e-05,0.01178626680085736,2.8436845651970457e-05,0.011807284007469812,2.852427652063246e-05,0.011694029641940313,2.8519429842537434e-05,0.01171236464212979,2.8501526304030597e-05,0.01179195956637462,2.8593936416048868e-05,0.01165028765367774,2.8508475854603323e-05,0.011639391107914539,2.841641323287219e-05,0.011792254963571705,2.8722181014018133e-05,0.011836016705880562,2.894590842414699e-05
30,0.027756773134072623,0.00012065766185211639,0.028746459840072527,0.00012043654849683797,0.0266698965181907,0.00012053433420078363,0.02672258016581719,0.00012061162056992404,0.027472951249042643,0.00012038417406972568,0.02900294161268643,0.00012128464004490525,0.028526724015753114,0.00012061180231901216,0.028205559490934798,0.00012057921393486475,0.028866788867530944,0.00012064502755757658,0.026431720645632595,0.0001205720245707198,0.027405258015166096,0.00012054174554959676,0.026014980080784584,0.00012067317866425657,0.02836298897410884,0.00012056166694189112,0.028898659783105057,0.00012071888649546908,0.028133339588256444,0.00012011015060124919,0.030768296293293435,0.00012057075249079692,0.026054696800808113,0.00012062827391630327,0.028023976101716863,0.00012023078334441149,0.02777428791991302,0.00011996603019984573,0.026802892287572225,0.00012044066796079278,0.029104141976970893,0.00012011245159486023,0.029011003456876745,0.00012070702710583905,0.027359980295101803,0.0001201738173646542,0.028595842669407526,0.00012011461634150085,0.028000972130232386,0.00012003846830570154,0.027715514227747918,0.00012043772730976343,0.02834150276236957,0.00012001186346864298,0.027945962036028504,0.0001197707882359585,0.028096065845559626,0.00012022702644839335,0.027846285863028418,0.00012024872722254406,0.02794340727229913,0.00012022756224420543,0.02733253365239272,0.00012004471248544108,0.027279481649971925,0.00012036301478264459,0.02857376541942358,0.00012077682913513854,0.028764763950473733,0.00012120762524621871
40,0.045180541885395845,0.0015287317071730892,0.04813693525890509,0.001527087969912423,0.04364063466588656,0.001526552902456994,0.040936528332531454,0.0015278601033899646,0.04479060522457467,0.0015238386997363613,0.053961195583854406,0.0015254300253997957,0.04477954400523055,0.0015341817859500166,0.0474582315594154,0.0015283879934270914,0.048502402981342396,0.0015273630026657182,0.0439116396009922,0.0015262523738783784,0.04461995572610586,0.0015257461209218074,0.04482897359649746,0.0015241962178059074,0.043590847459254844,0.0015336117516695099,0.04896567347036167,0.0015281361129106672,0.04466596287401284,0.0015271711546708557,0.05569083375545839,0.0015252833545673639,0.042806073829221226,0.0015195214599814442,0.04549198093104966,0.0015272062663814123,0.046199856525553126,0.0015215821289789996,0.04107244792083899,0.001531461103198429,0.04467676101395717,0.0015343198749738244,0.04385571058706513,0.001537135538196058,0.04360665277888377,0.0015260921698063612,0.04753141763309638,0.0015329921307663122,0.041258180513978004,0.0015319377934146258,0.0440019816160202,0.0015369159169495105,0.04498080260330631,0.001531715730145093,0.04594145684192578,0.001527705717307981,0.04153589350993142,0.0015328293967553797,0.03875837176136913,0.001532139232186901,0.046180547873179115,0.0015254529425874352,0.04182544587036738,0.0015287971741949709,0.04175557249870438,0.001531478642181565,0.0464626524551976,0.0015294741038460193,0.04757157392385933,0.0015291294483985337
50,0.07493937363227209,0.00609702796364824,0.07554240690337287,0.005968782084959524,0.08086486719548702,0.006060608701469998,0.0799606260485374,0.006070026074751066,0.08096544109756433,0.0058988588685287705,0.06876131626112121,0.0058130067107932904,0.07237749144194587,0.006020644844900216,0.07519930777581114,0.006058804317083406,0.07787797467995293,0.006045469536764335,0.07080364366993308,0.0059519915957935154,0.07753680417613115,0.006244418636700253,0.07011601632955122,0.006187627633691442,0.07484336174798734,0.006058319499998382,0.07421040839769623,0.006039238838253148,0.07838211243643481,0.005930861847146469,0.0804921705275774,0.00568994398539265,0.07384109132302304,0.006175444317272022,0.0853994776836679,0.005896535053660598,0.07230353062706334,0.005890341575390526,0.07231671328345934,0.006308098162213962,0.07678777523911916,0.006232537930974593,0.0762422991517399,0.006220735825731286,0.0803935640056928,0.006035040114074946,0.08049269231657187,0.005898818482334415,0.0806690953553669,0.006113463495340612,0.08550240397453308,0.006012379564344883,0.08058216200480538,0.005932090082956898,0.0808238701429218,0.005966071417788044,0.08013625302735497,0.006236778500982944,0.07559215337518722,0.006493310691908964,0.07690205251177153,0.006061698235571384,0.07572643000345963,0.006248457375197456,0.07966227156038468,0.0060927815592059726,0.07796753783960168,0.006052813470000174,0.07104990900390679,0.006018108067413171
60,0.05922569771607717,0.002020003297366202,0.05741997152842857,0.0020124488079023583,0.07019135511169831,0.0019526577185994636,0.07271569170630895,0.0019158187949170286,0.0676686004558696,0.0019210476319223076,0.06539644726685115,0.0018242053587787918,0.07063714541014164,0.001843383697222077,0.06273427218394845,0.001960803535583086,0.06594447301158422,0.001965940648489455,0.06941733765415847,0.0018886608668253757,0.06651674555959525,0.0019441171388291283,0.06003503900553499,0.0019861599335408943,0.06087715336770722,0.002056539982952403,0.06268727198017365,0.001973189496449336,0.06784032250151914,0.0018871982321690987,0.06614442185188334,0.0018431052449159324,0.06598232564560715,0.0019325940617515396,0.06928874658349948,0.0019226938020437956,0.07089435295867068,0.0018526503159331956,0.05957429793973764,0.002048213394979636,0.06285972285729188,0.0019940122263506057,0.06181417778134346,0.0019847930961987004,0.07338936616977056,0.0019255269008378187,0.06858584955334664,0.001931314686468492,0.07231052456394074,0.0019124187011685637,0.06631265431642533,0.0019094429677352308,0.0717017786397088,0.0019229598523628328,0.06915643450338393,0.0018847157746980276,0.06824552324764868,0.001991797865861479,0.07100837948101182,0.0019784441927538044,0.06783283094565074,0.0019066056360801061,0.06428251802348174,0.002021918977754047,0.0665471782692923,0.001998015493602277,0.06944136062591541,0.0019084676254040947,0.06318973729179965,0.0018999407831062046
70,0.04281505999465784,0.0004377444893664991,0.04308237935657854,0.0004002222407574731,0.04821769706904888,0.0005617130846076179,0.04685264699734174,0.00042351483313653334,0.04286158393738391,0.000498835680434551,0.04733652195760182,0.00037272676334915947,0.050750469488482323,0.0003626333564170636,0.04224149297040544,0.0004512783661515354,0.042387681058313274,0.0004715667118368482,0.0498750121332705,0.00042387244866404217,0.04359206170947463,0.0005979219029002168,0.037584321497350325,0.0005091194815373011,0.0447711121065147,0.00044685130220993113,0.0431878606534817,0.0004609709836641383,0.04681068582131582,0.00039932396731969406,0.044631336660434805,0.00036347568190346163,0.041079731924193244,0.0005879086898598221,0.04639715781506104,0.00048334777515080955,0.043524851956005604,0.00038207554929873107,0.039960247203707694,0.0004670811611382912,0.04174045026302338,0.00047373799338506963,0.042637766139315705,0.000515497014410877,0.04920644111931324,0.00048390922873901826,0.044043698161840436,0.0004020502024407809,0.0487647233678708,0.000502031572285064,0.046621307730674744,0.0005658612935803831,0.047979933720442555,0.00042522263468145545,0.04709354427177459,0.0004458326087236249,0.043917705140569634,0.0005011645621647511,0.04694934021080694,0.0005459553698704938,0.04416377392907937,0.000402693689102307,0.04572742668768534,0.0005764710423626149,0.04355559777468443,0.00048585410667538573,0.04473079507034726,0.00046326027932525727,0.0453726172240244,0.00041726545087941404
80,0.07772358005245526,0.00019241067736099163,0.08385796734580288,0.0001764743345254963,0.08113775681704283,0.00023865098349536615,0.08184324176265644,0.000179908411687043,0.07795654473048222,0.0002026278401254912,0.0848044359258243,0.00016965285197199722,0.08776176702832023,0.00016290453335856119,0.07857727063329596,0.000195930693830872,0.07585888299383695,0.0001998174692617576,0.08523298427462578,0.0001915136122079275,0.07836482733672048,0.0003001721035818466,0.0703965877848012,0.00019409467539826066,0.07970298115502704,0.0001961591150382336,0.07913015664301136,0.00019937880174300958,0.08356292243389522,0.00017900740460711806,0.08114809030666947,0.0001800373668932783,0.07533955678255075,0.0002737452373583524,0.08530857758242873,0.00020220005351319155,0.07769772450306586,0.00017301864616976154,0.07472769543528557,0.00018947635835502296,0.07853100672364235,0.00020678645859544093,0.07972582442952054,0.00022183090147466698,0.08432218208909034,0.0002222095635564377,0.0826977614313364,0.0001865392342248621,0.0848968094658284,0.000202721327941473,0.08207472786307335,0.0002332007687073201,0.08509377456240115,0.00020545166391398636,0.08349476304526131,0.0002062689269829813,0.08098484045442413,0.00022586380099014872,0.08015192816815069,0.00022406097594930249,0.08101538673043251,0.00017612792211972798,0.07838585915473792,0.00022777234251127363,0.07768604116371045,0.0001764252321243895,0.07889966171507429,0.00020055127828438743,0.08082669393883811,0.0001752169207773275
90,0.10804454743862152,0.00016948871188409006,0.10920408450894886,0.0001550639539750086,0.10318897974987824,0.0002096267980959965,0.11560252973666559,0.00017391215817322237,0.10172938970448095,0.00017794329277755503,0.10776501681123461,0.00014624773653589988,0.11551071114597782,0.00014765900214702162,0.10891485719108268,0.00016503034643583785,0.10363050578515741,0.00016468156490525042,0.11727218376472592,0.00016361814641641104,0.10620753764876245,0.00022455727531327463,0.09898865146904576,0.00016160602535819635,0.10884995792399753,0.00017358721136891594,0.10841216367076743,0.00016801420668233538,0.11700251251459122,0.00015269788431503592,0.10621255232642095,0.0001570593673629143,0.10714820088330834,0.00021010969655998495,0.11310408311554149,0.0001694605170190629,0.10578469053975173,0.00015422591137134338,0.10700341865420342,0.0001652935243328102,0.10818936956616548,0.0001708878232210946,0.1109353711030313,0.00018026042991030927,0.11803199370702108,0.00018999710582041492,0.11316122114658356,0.00016178010215905185,0.11166942344298439,0.00018296442939327024,0.1060566172003746,0.00019276742241345347,0.11244300061896924,0.00016647026085035664,0.1154385325498879,0.00017246465707406364,0.11224731198128532,0.00019059671176364646,0.10485124161406871,0.0001977804161968731,0.11386364966630935,0.00015753561912182096,0.10393904693997823,0.00018787987098151533,0.11325917607889725,0.00015952492056105536,0.11108180553447909,0.00016851304480507856,0.1099536774886979,0.0001512021481175907
