Checkpoint,allocate_the,allocate_was,allot_the,allot_was,ask_the,ask_was,assign_the,assign_was,award_the,award_was,bequeath_the,bequeath_was,cede_the,cede_was,deliver_the,deliver_was,deny_the,deny_was,dictate_the,dictate_was,explain_the,explain_was,feed_the,feed_was,forward_the,forward_was,give_the,give_was,grant_the,grant_was,guarantee_the,guarantee_was,issue_the,issue_was,lease_the,lease_was,mail_the,mail_was,offer_the,offer_was,pass_the,pass_was,pay_the,pay_was,present_the,present_was,promise_the,promise_was,read_the,read_was,refund_the,refund_was,relay_the,relay_was,rent_the,rent_was,sell_the,sell_was,show_the,show_was,teach_the,teach_was,tell_the,tell_was,trade_the,trade_was,transfer_the,transfer_was,yield_the,yield_was
0,1.4258351872259108e-05,3.1031598850591655e-05,1.4560683121089824e-05,3.40656441039755e-05,1.5920455189188944e-05,2.9682007516385055e-05,1.2814199538167617e-05,3.0657004702204305e-05,1.4712925001410494e-05,2.947388678448453e-05,1.5442797121067997e-05,3.0022160596369456e-05,1.5377825578373936e-05,3.041275843618981e-05,1.3174696007922648e-05,3.1646547427044425e-05,1.4838387242293564e-05,2.937011469902214e-05,1.1759093550525987e-05,2.6892785998907957e-05,1.4086741895542133e-05,3.333450295454091e-05,1.304744291701354e-05,2.6335448880369464e-05,1.4978395483922213e-05,2.7544844124349764e-05,1.3603246095568245e-05,3.324464534781521e-05,1.2467235000110313e-05,3.0378550057553924e-05,1.4742810132399123e-05,3.354135590901327e-05,1.3936337685057273e-05,3.0932508808392515e-05,1.3456540512523038e-05,2.915767163358396e-05,1.5089331230098782e-05,3.275990405070063e-05,1.241744680555712e-05,2.978661377710523e-05,1.3213945931056514e-05,2.821047219185857e-05,1.551273145891815e-05,3.036975682762739e-05,1.3764363393420353e-05,3.442133326773598e-05,1.4289153879967911e-05,2.8621377216615273e-05,1.4498699316131284e-05,3.334634732579746e-05,1.3954984297015471e-05,3.0916363357391674e-05,1.4124274957794115e-05,3.222220754347897e-05,1.3711553341029989e-05,2.600320461472923e-05,1.3780803450705518e-05,3.166418235462227e-05,1.4964327306188352e-05,2.8022209420441868e-05,1.4891208182586613e-05,3.3495772215481396e-05,1.551720949394691e-05,3.0440501667236767e-05,1.248151159719176e-05,2.5574527171556838e-05,1.466755909657675e-05,3.3660085035888995e-05,1.6541167951800162e-05,2.6870185320149175e-05
10,1.42592052992875e-05,3.101792882422588e-05,1.456270256312564e-05,3.404846265766537e-05,1.5923717546684203e-05,2.966729152831249e-05,1.2815233113932273e-05,3.0645801156684426e-05,1.4713308166178381e-05,2.946077936084133e-05,1.5444592463609297e-05,3.0009391290756564e-05,1.537988552324047e-05,3.0401600694555477e-05,1.317548355928011e-05,3.16373114515045e-05,1.4840039794166685e-05,2.935658693755174e-05,1.1761526862259911e-05,2.6884427081147972e-05,1.4088145245866969e-05,3.3324888051517286e-05,1.3049412943170562e-05,2.6327256030829933e-05,1.4981260028434917e-05,2.7529653016244994e-05,1.3605785377215149e-05,3.32316583146828e-05,1.2469560281948192e-05,3.036556272702508e-05,1.4742704934178619e-05,3.353129447229245e-05,1.3938417456908307e-05,3.091630981847023e-05,1.3458363762191239e-05,2.91433402468867e-05,1.5092654068991709e-05,3.2745595360341084e-05,1.2419657730333711e-05,2.9774810218441417e-05,1.3214653760466414e-05,2.8199168142843215e-05,1.5515107353327467e-05,3.0356727353030103e-05,1.3765476562964197e-05,3.440649431597974e-05,1.429179466963672e-05,2.860839250436249e-05,1.4499402823275886e-05,3.3330039877910166e-05,1.3956591828900855e-05,3.090282189077698e-05,1.412428588688878e-05,3.220730568500585e-05,1.3714267349011303e-05,2.59924149759172e-05,1.3781663011929884e-05,3.165043571931253e-05,1.4967636445817334e-05,2.8012332194293776e-05,1.4893616641911062e-05,3.348384316561879e-05,1.5519392386172862e-05,3.0432502311529017e-05,1.2483658125953905e-05,2.5565762553014792e-05,1.4671305254725869e-05,3.364304726953075e-05,1.6540681144761038e-05,2.6856781369133385e-05
20,0.011554177412215401,2.835828105590361e-05,0.011702581122517586,2.886601669160882e-05,0.011387174390256405,2.8467652737163007e-05,0.01165619825146028,2.8768060084465625e-05,0.01159586223280605,2.851214530357324e-05,0.011778302801152071,2.8662154970030922e-05,0.011697639587024848,2.875546742870938e-05,0.011381395597709343,2.8392553133471665e-05,0.01149706002967111,2.857856590457357e-05,0.01111310508779504,2.8617044584031895e-05,0.011459821683549604,2.8664204026342284e-05,0.011300094239413739,2.8241798524201538e-05,0.011673381365835667,2.8645874772337264e-05,0.011316709530850252,2.8666732870271627e-05,0.011404308988604435,2.838780655597369e-05,0.01169561423982183,2.844725637866456e-05,0.011547978470722834,2.8449606341180496e-05,0.011524692716959276,2.8528958721022047e-05,0.011310259878103222,2.8587683638241807e-05,0.011375232157297433,2.8354500500427093e-05,0.011522754530111949,2.844378001706597e-05,0.011518049136023311,2.848826689467601e-05,0.011532978819949287,2.8658380896169025e-05,0.01143139973282814,2.8716002768640847e-05,0.011386632679828576,2.8612561904342977e-05,0.011538748629391193,2.848601980076637e-05,0.01160695618018508,2.8351182663755026e-05,0.011492638809916874,2.8567664230649825e-05,0.01142837743206722,2.857689753177621e-05,0.011441463750088587,2.8327365214408928e-05,0.011364909159320017,2.8277177930689385e-05,0.01131276643046966,2.825048138150193e-05,0.011394028986493747,2.834099759638775e-05,0.011282456728319326,2.8533180840087072e-05,0.011704724468290805,2.870575353881577e-05
30,0.02621430410620044,0.00012018962896785096,0.02766474913805723,0.00012073565812897868,0.025763310492038727,0.00011992745567113161,0.028743765716041838,0.00012052991951350123,0.02776883904109983,0.00012026817699627238,0.02596265822649002,0.00012175190931884572,0.029325857696433862,0.00012020072220669439,0.026204532652627677,0.0001202464911784773,0.027464203986114467,0.00012069258082192391,0.02322820235382427,0.0001203544333376075,0.026769888912175976,0.00012075596473445076,0.023749513427416484,0.00012008832903423658,0.028639841452240945,0.00012049405559082516,0.02585962928380027,0.00012069550267011492,0.02624337552765081,0.00011989954459009866,0.027709832414984703,0.00011985892039471462,0.027031800316439734,0.00012026136310952198,0.027685260302142092,0.00012006429690365239,0.025522888371987,0.0001201496556209999,0.025874629011377694,0.00012021052425552625,0.027579661644995212,0.00012002916094691804,0.027582944644724623,0.00012058711859829011,0.027977404370903968,0.00012034363192339828,0.02639030390664151,0.0001207962781527864,0.027067152251090323,0.00012010541914995494,0.027452904731035233,0.00012031025107717142,0.027698380934695403,0.00012022102528135293,0.02692568915275236,0.00011998846033141793,0.02730308832010118,0.00012034746369619558,0.026726764161139727,0.00012016603000120085,0.025618945879320943,0.00012023535166536607,0.025321363399808224,0.00012020916004145805,0.027249826490879057,0.00011986532675412794,0.02521568950679567,0.00012114819764974527,0.028723659552633764,0.00012051574667566456
40,0.03599425843533348,0.0015389172031598933,0.03847641199827194,0.0015438543050549924,0.028234149515628814,0.0015446181409060956,0.040183190522449355,0.0015453711301753564,0.040816072155447566,0.0015364222379182192,0.03671393543481827,0.001544736131715278,0.03972965199500322,0.0015429435763508082,0.033374168968293816,0.0015442155963683035,0.03221868868146477,0.0015414086820814631,0.029119251465255565,0.001544350694695657,0.03387226060379383,0.0015459982921954157,0.0318445511162281,0.0015367288142442703,0.041112867183983326,0.0015425271238200366,0.034983941382079414,0.001542984462117381,0.031422416441315826,0.0015411662441396782,0.040445379447191954,0.001538863405585289,0.04093142698208491,0.001539351666967074,0.03826667000784686,0.0015385532690408198,0.030918164444821223,0.001542239957156458,0.030798233998939394,0.0015439816750586032,0.032955208855370684,0.0015433379992221793,0.0330604266594438,0.001545499256976387,0.03932255772607667,0.001540892680973879,0.033349408326964626,0.0015470480766931647,0.0292351576632687,0.0015444859296881728,0.0364283062517643,0.0015450767241418362,0.03731231795003017,0.0015416900084043543,0.03643716685473919,0.0015427838855733473,0.03529449157053378,0.0015406527232787594,0.02754672011360526,0.001537099353299709,0.029914910694764506,0.0015382484585467365,0.025912357350954644,0.0015427730350683515,0.03370263936618964,0.0015447079747294386,0.03476136705527703,0.0015375314590831597,0.0405613761395216,0.001543774374295026
50,0.08671463280916214,0.006068315986982163,0.08394017368555069,0.005883756931871176,0.08925254046916961,0.00647589834406972,0.08964763182614531,0.005822110821359924,0.09355309386463727,0.005724805968758815,0.0825843686858813,0.006149183337887128,0.09065546443065008,0.005864332104101777,0.08900297142099589,0.00617414215230383,0.08415668020988333,0.006718651022248227,0.08059646189212799,0.006233682347969575,0.08644098164730293,0.006493702379250249,0.08026367674271266,0.006436827251066765,0.08856034725904464,0.0058345702476799485,0.08217347729386705,0.006375680550594221,0.08774892543984014,0.006142788360891647,0.0864851629982392,0.006129567977041006,0.09085747881068124,0.005787225253880024,0.0939704293483182,0.005914328803651427,0.08284693477409226,0.006244538784293192,0.08358618430793285,0.0066280871280469,0.08881959617137909,0.006308969032640259,0.08888484734822721,0.006420965525595581,0.09133298141615731,0.005889289307274989,0.08474443225484145,0.006373087164798849,0.0838514265205179,0.006600572115608624,0.09431380778551102,0.006322100525721908,0.0879332259297371,0.005985699050749342,0.09505379122371475,0.005837935993137459,0.09109976015439848,0.006107411063389807,0.0829482157714665,0.006754006404662505,0.07901087992133633,0.00680655222986975,0.0757723510838472,0.007129133034210939,0.09090479041139285,0.005943342950195074,0.08026336050695843,0.006397582771670487,0.09023212119936944,0.005995166767388582
60,0.061262564076220286,0.0021403931656523664,0.06157215461134911,0.0021274265833199023,0.0603382870554924,0.002315396489575505,0.07188420317002706,0.0020220911662493435,0.07020987373064547,0.0019970708697869934,0.057820419470469155,0.002134864761804541,0.08439620000620683,0.0018498198284457128,0.06369736732449383,0.0021766064382973127,0.06888589083120741,0.0021267422105603175,0.0701355476948348,0.002184942650439387,0.06683956935655239,0.002118480570484386,0.06205975264310837,0.002254570593747,0.07115300968289376,0.0020897805807180703,0.05936508196772951,0.002273074069032163,0.06321605572173762,0.0021144487126188915,0.06592937652021646,0.002039613221616795,0.06454828820294804,0.0020638115574709245,0.07046499024880559,0.002032875803323757,0.06110310847205775,0.0022264136600175072,0.06077644042670727,0.002271958874189295,0.06850121760119994,0.0020989975115905204,0.06995275014025323,0.0021581678952583496,0.07087975697857993,0.00203190255644066,0.06912611954306301,0.0022347742189212064,0.07111807023840291,0.0021645169239491225,0.059042392298579216,0.0023054482880979776,0.06552974681059519,0.002125523119078328,0.08080008625984192,0.0018928521700824301,0.07267723868532878,0.0020940095021548433,0.07222853449638933,0.002159815892810002,0.06413236116209338,0.0022656204922485257,0.05927736799304302,0.002369967898210654,0.06485551844040553,0.002178020488160352,0.07170516004165013,0.0020938576716515753,0.0611871249973774,0.0020993924350477754
70,0.05643071672495674,0.0004745911984868786,0.04919745605438948,0.0004997105745133013,0.057475119829177856,0.0007945096585899591,0.06559347361326218,0.0005195599722875548,0.05537586587974254,0.000581636799752767,0.04995833337306976,0.00047142898741488654,0.0749719879279534,0.0004287944005530638,0.052348942146636546,0.0006296892761383788,0.05194979996002953,0.000652188658995297,0.06392025033181364,0.0006073220812884921,0.05585484509897787,0.0006741484536431989,0.05257608120640119,0.0007136332317410658,0.06194635406136513,0.0005769197014160454,0.05164485221559351,0.0006926976475921092,0.05451465008217235,0.0005318020060279428,0.05093354887018601,0.00046002425127274665,0.048429590008325044,0.0005357070738682523,0.06413249073452071,0.0006024092232875869,0.05409572233578989,0.0006551425363535859,0.04796923901885748,0.0006843868854048196,0.05687327943742275,0.0005748613524095466,0.0594473053865573,0.0006168746956117341,0.060792483921561925,0.000559084358558591,0.05554443891895445,0.0006163529913847972,0.06019622199237347,0.0007700518813050751,0.05230565741658211,0.000719103918527253,0.060380894628663855,0.0005623027624096722,0.06585157274579008,0.00046700357233930845,0.05859111135870945,0.0005963770573300015,0.06255893816705793,0.0007653513912373455,0.050739370947403294,0.0007470356790544165,0.05498258683543939,0.001013554979670936,0.054059737672408424,0.0006507415731903165,0.06271508729292287,0.000640858347954539,0.04255501255393028,0.0005290391854941845
80,0.09684545524856623,0.00024202144413720816,0.09092295914888382,0.00021166911028558388,0.0926741123199463,0.00036525471368804575,0.10354963104639735,0.0002646775122099955,0.09607409236623961,0.00025586176215095776,0.08940841009219487,0.00015488240751437843,0.117385733127594,0.00021006281410033503,0.08979529864154756,0.0002762802937468223,0.08519646217083109,0.0002869773467456729,0.09159392253919081,0.0002810281188100238,0.09073883814867152,0.0002998723744937262,0.08815288990736007,0.00028351253907506663,0.09947879612445831,0.0002544279894209467,0.09018986378655289,0.00027175122169975305,0.09246344682435657,0.00025661670241429105,0.08901970026393731,0.0002261314330098685,0.08579727916253937,0.00025936273450497536,0.1065025521736396,0.00024913997338827406,0.08433049358427525,0.00028009726208568154,0.0852394781075418,0.0002819088014803128,0.0955132265885671,0.00025694051388806355,0.09679396823048592,0.00029315419798127976,0.09992331266403198,0.00027908285306434014,0.09123510788930089,0.00025660937037747845,0.09814562605960028,0.0003098657861950674,0.09660909324884415,0.00029496637580450624,0.10093606437246004,0.000270332902437076,0.1024111257866025,0.0002550342111741581,0.09567278887077076,0.0002824130983421261,0.09642446390353143,0.0003160676797051565,0.08590736648728771,0.0002937539205548444,0.08607038139150693,0.0003577777936768073,0.08827291056513786,0.0002744623877030487,0.10071657266881731,0.0002697444029359354,0.08393809795379639,0.0002662409329786897
90,0.1198016527821036,0.00023031606285846517,0.11983834952116013,0.00018144159548683092,0.11471778154373169,0.0003248684573918581,0.12406649653400693,0.00022986688106487106,0.11203055324799874,0.00023051422912805507,0.11189694205919902,0.00016306965941718468,0.13544443746407828,0.00019874594387753557,0.1127988041844219,0.00023304361229747883,0.11112650355388379,0.00023195262549742093,0.11441187154163014,0.00024861084900542414,0.11196309345406155,0.00025741342011146077,0.11203643282254537,0.00024854023940861224,0.1239953100681305,0.00023169277847046033,0.11356633133960492,0.00023704577831791318,0.12526511816784394,0.00021303076531229063,0.11975330735246341,0.00020114685685257427,0.1140640429324574,0.0002340465839046778,0.12459058373382217,0.00022051892646183995,0.09642256743141583,0.0002543188165873289,0.11703279856592416,0.00024365329227293842,0.11817219679554304,0.00023017447335102286,0.12216539943919462,0.0002518847262870301,0.1290327970470701,0.00023951769814760024,0.11912983185366581,0.00023054977109974347,0.10910683827740805,0.00028800986266495394,0.1182962954044342,0.00023057197540765628,0.12394700820247333,0.00022849608188456235,0.12345566631605227,0.0002334391865588259,0.12171905887563055,0.00024426913793232835,0.11243151873350143,0.00029652557759618503,0.1061873460008252,0.00025458544616647544,0.10438762375941643,0.00032767537609638216,0.11363319208224615,0.0002273651310436738,0.12548563008507094,0.00023814254301315587,0.11176183968782424,0.00022305910533759743
