Checkpoint,DET (matrix),COP (matrix),DET (RC),COP (RC)
100,0.13828435466946484,0.0010687198321091289,0.15688086186540734,0.001346835891381346
150,0.1533167576075551,0.0007121143756558236,0.16828020070838254,0.0007443329397874851
200,0.21084889821615949,0.00043509443861490033,0.18013108618654075,0.0005172491145218418
250,0.16348082371458555,0.00016041972717733473,0.15256112160566707,0.00022382526564344746
300,0.186399370409234,0.0003706663168940189,0.172743919716647,0.000365383707201889
350,0.20596668415529906,8.897691500524659e-05,0.20431028335301063,5.2762691853600953e-05
400,0.2474600419727177,5.127492130115425e-05,0.2404552420306966,1.8028335301062574e-05
450,0.2255127387198321,3.812172088142707e-05,0.2143919244391972,1.5832349468713106e-05
500,0.29108027806925496,1.6757607555089194e-05,0.2220526210153483,1.7119244391971663e-06
550,0.26636555613851,3.345225603357817e-05,0.24356815820543093,3.872491145218419e-06
600,0.269784055613851,3.1432318992654773e-05,0.2363279574970484,3.979929161747343e-05
650,0.3107438614900315,9.653725078698846e-06,0.3201417001180637,7.343565525383707e-06
700,0.25502815844700943,3.6972717733473245e-05,0.2854329752066116,3.776859504132232e-05
750,0.3061830062959076,1.2408184679958027e-05,0.31092759149940974,1.8689492325855963e-05
800,0.29534133263378803,2.2591815320041974e-05,0.30358781582054306,2.1700118063754427e-05
850,0.2867662067156348,1.972193074501574e-05,0.30719538370720184,5.997638724911452e-05
900,0.295554889821616,1.810598111227702e-05,0.2986303659976387,1.1440377804014168e-05
950,0.336270314795383,5.886673662119622e-06,0.3244117355371901,9.949232585596221e-05
1000,0.3366786988457502,2.325813221406086e-05,0.3196512042502952,0.00029296340023612753
1050,0.3018606873032529,8.871983210912906e-06,0.3106110625737899,0.00011179456906729636
1100,0.285847686253935,1.9596012591815316e-05,0.28098417945690674,0.0007395159386068478
1150,0.3167620356768101,2.0125918153200422e-05,0.31563349468713103,0.0002360330578512397
1200,0.3403767785939139,1.1306400839454354e-05,0.3445913341204251,0.00010312868949232586
1250,0.34909891920251834,1.7696747114375653e-05,0.3280071900826446,0.0005385714285714286
1300,0.30995515739769147,2.1941238195173135e-05,0.2912502715466352,0.0011498819362455728
1350,0.33002470619097585,4.0923399790136415e-05,0.3341370720188902,0.0005847933884297521
1400,0.31151195173137464,1.4679958027282267e-05,0.3054808736717828,0.00041885478158205426
1450,0.3075369412381952,1.354669464847849e-05,0.29829858323494685,0.0015269185360094449
1500,0.3514309338929696,1.0540398740818468e-05,0.351808028335301,0.0016542739079102712
1550,0.3090526495278069,9.879328436516265e-06,0.3303951239669422,0.0005714049586776859
1600,0.3551229328436516,7.985309548793284e-06,0.36305240850059034,0.0012382290436835893
1650,0.30234400839454356,1.0729275970619099e-05,0.29225631641086186,0.0016751475796930341
1700,0.06680793284365162,0.001004118572927597,0.05830285714285714,0.0013674025974025972
1750,0.2957933683105981,2.2738719832109123e-05,0.27688484061393154,8.952774498229043e-05
1800,0.3179602833158447,1.6694648478488982e-05,0.3265163400236128,0.0003900708382526565
1850,0.3482579275970619,9.643231899265477e-06,0.3668128453364817,0.000718949232585596
1900,0.3372110912906611,5.199370409233998e-06,0.3519507438016528,0.0011619244391971664
1950,0.34945240293809027,1.3221406086044072e-05,0.3664203069657615,0.0009986776859504131
2000,0.36702687827911856,1.3153200419727177e-05,0.3583090200708382,0.002149102715466352
2100,0.3531217313746065,6.83105981112277e-06,0.3387385005903188,0.002385076741440378
2200,0.354589370409234,7.995802728226654e-06,0.3464030342384888,0.002928370720188902
2300,0.33621683630640087,5.676810073452256e-06,0.34788896103896105,0.001059645808736718
2400,0.342835797481637,8.646379853095489e-06,0.31198634002361275,0.0038187957497048406
2500,0.3417611647429171,8.803777544596012e-06,0.32243463990554905,0.004738536009445102
2600,0.3532974658971669,1.3704092339979014e-05,0.32725625737898467,0.006478677685950413
2700,0.36410062434417634,1.7890870933892974e-05,0.3172598347107438,0.008096068476977568
2800,0.3060574396642182,1.688352570828961e-05,0.2688225974025974,0.005763282172373083
2900,0.378635351521511,2.3053515215110183e-05,0.34803926800472257,0.0042556906729634
3000,0.3604584470094439,8.462749213011544e-06,0.3168944391971664,0.006553305785123967
3100,0.30248837880377755,1.7492130115424977e-05,0.26817597402597404,0.011898323494687132
3200,0.32345315844700945,8.546694648478488e-06,0.2785853955135773,0.008912396694214874
3300,0.384239370409234,5.2151101783840495e-06,0.3304182998819363,0.018885737898465173
3400,0.3853324029380903,5.897166841552991e-06,0.3531660212514758,0.01079172373081464
3500,0.36781320566631687,3.646379853095488e-06,0.29451922077922077,0.01339177095631641
3600,0.3518936253934942,5.981112277019936e-06,0.29198563164108615,0.02146791027154664
3700,0.3555606453305352,1.3473242392444911e-05,0.261816694214876,0.03780489964580874
3800,0.33266992654774397,8.321091290661071e-06,0.28606360094451005,0.010438819362455727
3900,0.36309096537250785,3.882476390346275e-06,0.3176650767414404,0.0120098347107438
4000,0.35928994228751315,8.913955928646381e-06,0.2878795867768595,0.03479318772136954
4100,0.36550924449108085,5.209863588667366e-06,0.33146612750885474,0.009602432113341204
4200,0.40973832109129066,7.1301154249737675e-06,0.29007909090909095,0.0461541440377804
4300,0.38957173137460643,4.622245540398741e-06,0.3153532467532467,0.03579466351829988
4400,0.37388466421825817,6.925498426023085e-06,0.3139496103896104,0.02051089728453365
4500,0.37668710912906606,4.454354669464847e-06,0.2903294805194805,0.04072713105076741
4600,0.39268442287513117,3.945435466946485e-06,0.2886776387249114,0.024654391971664698
4700,0.36414329485834207,1.0923399790136413e-05,0.22944722550177096,0.07073661157024794
4800,0.3767036988457502,6.7943336831059806e-06,0.30022761511216056,0.03056805194805195
4900,0.3677280115424974,5.393494228751312e-06,0.25484213695395513,0.04674634002361275
5000,0.3985651941238195,5.7135362014690444e-06,0.2680946162927981,0.060352951593860685
5100,0.3520548635886674,8.263378803777544e-06,0.20217914994096814,0.09207217237308146
5200,0.3695615897166841,1.3793284365162643e-05,0.2594762455726092,0.06522507674144037
5300,0.38953376705141657,4.879328436516264e-06,0.24242943329397873,0.06917694214876034
5400,0.3565794123819518,5.299055613850997e-06,0.2185385950413223,0.0837951357733176
5500,0.37312406086044075,5.876180482686254e-06,0.2575582054309327,0.05154695395513577
5600,0.3723260125918153,3.7355718782791182e-06,0.20586415584415585,0.10016103896103896
5700,0.37364028331584476,4.711437565582372e-06,0.24571722550177094,0.07267551357733176
5800,0.3787634784889822,5.697796432318992e-06,0.26032197166469895,0.05066371900826447
5900,0.35808435466946487,3.620146904512067e-06,0.25240684769775673,0.02715234946871311
6000,0.3845889716684155,4.842602308499475e-06,0.2543010271546635,0.04769817001180637
6100,0.409914795383001,2.885624344176285e-06,0.3090616056670602,0.031386056670602125
6200,0.34777494228751316,3.3997901364113326e-06,0.22293573789846519,0.0688262691853601
6300,0.35673968520461696,7.077649527806925e-06,0.20830449822904368,0.09901108618654074
6400,0.17334603357817419,0.005109349422875132,0.21112879574970483,0.004090873671782763
6500,0.23194908184679955,2.630640083945435e-05,0.22198329397874855,7.201889020070839e-07
6600,0.3519782896117523,2.2885624344176285e-05,0.3075960448642267,0.002194639905548997
6700,0.3594751154249738,2.1437565582371456e-05,0.29209484061393154,0.009295466351829988
6800,0.3279932896117524,1.9554039874081843e-05,0.21156571428571427,0.0509304132231405
6900,0.38235492654774395,2.1825813221406084e-05,0.21517018890200706,0.08056275088547815
7000,0.3647142602308499,1.29800629590766e-05,0.220366186540732,0.07407906729634002
7100,0.3487411647429171,1.514165792235047e-05,0.20511136953955136,0.10184203069657617
7200,0.385904165792235,1.2203567681007345e-05,0.2019464935064935,0.10202312868949233
7300,0.3613174396642183,5.099685204617e-06,0.18834645808736716,0.10763662337662337
7400,0.3694397271773347,8.541448058761805e-06,0.15829269185360093,0.11347239669421487
7500,0.3724298373557188,4.774396642182581e-06,0.20044913813459267,0.0739456906729634
7600,0.3742475341028331,3.7355718782791182e-06,0.20722479338842978,0.05920981109799292
7700,0.3618708551941238,2.0629590766002102e-05,0.15274992916174734,0.14155698937426212
7800,0.37415845225603356,1.1547743966421827e-05,0.18946414403778042,0.08814831168831169
7900,0.3675189559286463,5.215110178384051e-06,0.17982611570247933,0.10892491145218418
8000,0.35226179433368315,1.0173137460650576e-05,0.15672225501770953,0.1308285478158205
8100,0.36014565057712483,5.120671563483736e-06,0.13230839433293978,0.14017956316410862
8200,0.3748679380902413,7.187827911857293e-06,0.2346392325855962,0.061718299881936244
8300,0.3798531741867786,1.7980062959076602e-05,0.18479952774498232,0.12452598583234947
8400,0.37828689401888776,1.6579223504721934e-05,0.21877280991735537,0.11984935064935065
8500,0.3737249685204617,5.865687303252885e-06,0.2039435419126328,0.13581567886658794
8600,0.37439263903462755,2.833158447009444e-06,0.20912178276269186,0.08250897284533648
8700,0.3557900209863589,1.669464847848898e-05,0.19419012987012987,0.10907285714285714
8800,0.3800175445960126,5.010493179433368e-06,0.20462677685950414,0.09067175914994097
8900,0.3340553305351522,9.62224554039874e-06,0.15025452184179458,0.10578194805194804
9000,0.3705462749213011,5.351521511017839e-06,0.22232565525383707,0.07913938606847698
9100,0.362768315844701,1.69202518363064e-05,0.18005990554899645,0.11968858323494687
9200,0.3813398163693599,7.733473242392446e-06,0.19405225501770956,0.109414746162928
9300,0.382588740818468,1.8830010493179436e-05,0.18403909090909087,0.12242935064935065
9400,0.37012127492130115,5.750262329485834e-05,0.13866365997638724,0.1464575678866588
9500,0.3604281322140609,8.530954879328436e-06,0.19117355371900824,0.09630553719008264
9600,0.3721884784889821,6.857292759706192e-06,0.16911625737898464,0.09636532467532467
9700,0.3624472298006296,3.4732423924449105e-05,0.1357565525383707,0.1420475678866588
9800,0.3522291395592865,2.2114375655823714e-05,0.13531976387249114,0.16328592680047224
9900,0.3774637040923399,5.3200419727177335e-06,0.15992800472255014,0.13867178276269185
10000,0.3856360755508919,3.2318992654774396e-06,0.19819229043683587,0.1300527390791027
10100,0.38638538824763907,9.616998950682056e-06,0.1534696930342385,0.17241270365997638
10200,0.35856036726128016,2.3478488982161597e-05,0.1654759976387249,0.11450749704840615
10300,0.3885585257082896,3.3420776495278064e-06,0.15484916174734356,0.14773517119244392
10400,0.3795066054564533,1.63903462749213e-05,0.13775301062573791,0.18280850059031875
10500,0.3729893231899266,1.6873032528856246e-05,0.1575074970484061,0.15524546635182998
10600,0.3443920776495278,2.097061909758657e-05,0.13749011806375444,0.13881035419126328
10700,0.38219923924449106,0.00010124868835257083,0.13730727272727272,0.19969086186540733
10800,0.3868660440713536,2.2093389296956976e-05,0.171272266824085,0.1466267178276269
