Checkpoint,arrive_the,arrive_was,ascend_the,ascend_was,chase_the,chase_was,climb_the,climb_was,crawl_the,crawl_was,creep_the,creep_was,cross_the,cross_was,cycle_the,cycle_was,dash_the,dash_was,depart_the,depart_was,descend_the,descend_was,drift_the,drift_was,flee_the,flee_was,float_the,float_was,fly_the,fly_was,gallop_the,gallop_was,glide_the,glide_was,go_the,go_was,hasten_the,hasten_was,hike_the,hike_was,hurry_the,hurry_was,inch_the,inch_was,journey_the,journey_was,limp_the,limp_was,lurch_the,lurch_was,march_the,march_was,meander_the,meander_was,paddle_the,paddle_was,plunge_the,plunge_was,race_the,race_was,ride_the,ride_was,row_the,row_was,run_the,run_was,rush_the,rush_was,sail_the,sail_was,scramble_the,scramble_was,skate_the,skate_was,speed_the,speed_was,stagger_the,stagger_was,stumble_the,stumble_was,swim_the,swim_was,taxi_the,taxi_was,travel_the,travel_was,tumble_the,tumble_was,walk_the,walk_was,wander_the,wander_was
0,1.3885796826278757e-05,2.71092820055076e-05,1.1252314487520428e-05,2.4049092046066346e-05,1.089812167265336e-05,2.1155154337810185e-05,1.040968401088847e-05,2.343025687834422e-05,1.1747303830134115e-05,2.587893396821528e-05,1.0230387358335844e-05,2.5362398576232537e-05,1.060697760062504e-05,2.4566755176605743e-05,9.833167439410317e-06,3.12085619498248e-05,1.020982410864235e-05,2.6826462999451905e-05,1.1246510630850312e-05,2.1876073668337132e-05,1.0165276511255989e-05,2.3146546080074346e-05,1.0493796850953783e-05,2.5966993182789468e-05,1.0647803314736448e-05,2.7253962391688746e-05,1.047369963202982e-05,2.7239660369104968e-05,1.1060182353911182e-05,2.6133065250241058e-05,6.974641564738704e-06,1.9662725389935076e-05,9.850556621544952e-06,2.036708247032948e-05,1.0839126805596887e-05,2.7067765176980175e-05,1.0826827330371694e-05,2.3293932144952123e-05,1.4054535131435842e-05,2.5778767849260475e-05,1.047503573485004e-05,2.3713359283016073e-05,1.1790263215516461e-05,2.197337835241342e-05,1.1911253985654812e-05,2.845923264148637e-05,8.2358476034146e-06,2.2721758217482023e-05,8.530309060006402e-06,3.229193998777191e-05,1.130017143848192e-05,2.5698898596562676e-05,1.1617606389791035e-05,2.237148021322355e-05,1.0243972459041592e-05,3.0750616588193225e-05,1.1334595650883525e-05,2.4785263771523853e-05,9.5754417467712e-06,2.8564523315960993e-05,1.0529160751432826e-05,2.500914435166543e-05,1.0432965094272125e-05,2.590823338929719e-05,1.1021599546008366e-05,2.5997169442596576e-05,1.1889060395467957e-05,2.34758097627087e-05,1.0392885747228525e-05,2.5874448969720566e-05,9.078287045364656e-06,2.2799447732621855e-05,1.2778347202887138e-05,2.0082806865199625e-05,8.000981021420253e-06,2.7548860089154914e-05,1.4354695698178451e-05,2.3515767528200133e-05,9.51376354610797e-06,2.0449265710859826e-05,1.1184999936643168e-05,2.6239872591735573e-05,1.1679535029023619e-05,2.5035578671252422e-05,1.1316539688587294e-05,2.6239320794546428e-05,1.0817066993240587e-05,2.3583802430948708e-05,1.0877716543772668e-05,2.5122223006223403e-05,1.0986327151840668e-05,2.1249945439194563e-05
10,1.3887141960822191e-05,2.7096718586757822e-05,1.1252814087320554e-05,2.40364455581393e-05,1.089853830390811e-05,2.1143180840061344e-05,1.0410184989060403e-05,2.3417662655940302e-05,1.1748016902402014e-05,2.5869792466437502e-05,1.023284234439156e-05,2.5348364553272923e-05,1.0607201433076431e-05,2.4553455509800537e-05,9.835100740929192e-06,3.118782763067429e-05,1.0211903554591117e-05,2.6810410599864553e-05,1.1247516388386047e-05,2.1862525739523237e-05,1.016564955726177e-05,2.3134253751777578e-05,1.0495085585457023e-05,2.5951971357634257e-05,1.0648551567595732e-05,2.7241025244413258e-05,1.0474353530298686e-05,2.7227171415233897e-05,1.1061463271352264e-05,2.6118810473204137e-05,6.976013310122653e-06,1.9653859999380076e-05,9.850445456487995e-06,2.0357214700859252e-05,1.0840853086007813e-05,2.705520056014603e-05,1.0827453441682641e-05,2.328079722246912e-05,1.40554805057036e-05,2.5766798717086204e-05,1.0477055666899328e-05,2.370121947766462e-05,1.1793568319262704e-05,2.196450304836617e-05,1.1912774896010323e-05,2.8445136132208502e-05,8.237160148961596e-06,2.2707728186849803e-05,8.531378284715174e-06,3.226786066079512e-05,1.1300982076977317e-05,2.5686593964506286e-05,1.162128216947167e-05,2.2363581592799164e-05,1.0246694576683998e-05,3.073255220442661e-05,1.1334424860771314e-05,2.477343384401008e-05,9.576797209673612e-06,2.854903828443235e-05,1.0529899450025718e-05,2.4996904204062257e-05,1.0433437182655325e-05,2.588995557744056e-05,1.1022747988439127e-05,2.5984613780222987e-05,1.1890707313526676e-05,2.3466094051872022e-05,1.0393482142233978e-05,2.5861527098419862e-05,9.078509416819239e-06,2.2787689886172302e-05,1.2780848085943338e-05,2.0071055738905368e-05,8.00220520128884e-06,2.754029659020792e-05,1.4358509209462985e-05,2.3502782823925372e-05,9.515112196822884e-06,2.043774267284399e-05,1.1185219880809944e-05,2.6225162247254803e-05,1.1679379310537894e-05,2.5021230222981622e-05,1.1317891287563402e-05,2.622584037409627e-05,1.0817445343036525e-05,2.3572422719553288e-05,1.0879424236628139e-05,2.5108970437925738e-05,1.09886984091645e-05,2.1240009755274513e-05
20,0.01152489788364619,2.833773396559991e-05,0.011806412256861987,2.863337218322589e-05,0.011794529770585623,2.8272759498742577e-05,0.01165921808815146,2.8406139187927143e-05,0.011579122219700366,2.8487084932748985e-05,0.01160828276936497,2.8353761081234552e-05,0.011799912642132728,2.8718953101215835e-05,0.011661951197311282,2.8468806704040617e-05,0.011883745621889829,2.8729579571518116e-05,0.0119565094968206,2.8829786395745988e-05,0.01182581231390175,2.8556666821762184e-05,0.011568043726895537,2.8461770099446378e-05,0.011747301801254875,2.8652146347827e-05,0.011868143861647695,2.8662126624112716e-05,0.01174406324320569,2.8502864693266397e-05,0.011445903964340687,2.8319305056356824e-05,0.011901754631914875,2.862064254507211e-05,0.011623759603557679,2.841271687849747e-05,0.011970223393291235,2.827361534703717e-05,0.01143026789650321,2.7927877636102493e-05,0.011682708728678373,2.8571340129817647e-05,0.011115076020359993,2.7813723136205226e-05,0.011577555909752846,2.8498788479141537e-05,0.011849481104449793,2.8590133958707817e-05,0.011525786248967052,2.8306500098551624e-05,0.011809951084996424,2.8612792663406382e-05,0.011608363245613873,2.8416194936653483e-05,0.011235205922275782,2.847081426201233e-05,0.012068416790238448,2.8855535804593402e-05,0.011521911533135507,2.8309357175102276e-05,0.01169971703336789,2.8477652393541155e-05,0.011791724401215712,2.8527543690870516e-05,0.011606754614941536,2.8367624127572674e-05,0.011653663495693493,2.816598800092362e-05,0.011649343629812335,2.8479427668456878e-05,0.011951943549017111,2.87807823850825e-05,0.011783839048196873,2.8559729192541756e-05,0.011597539919118086,2.8513255529105663e-05,0.011554057088991007,2.8144163176572572e-05,0.011831374572856086,2.849981631568101e-05,0.011775386664871271,2.869705642367919e-05,0.011771044959979398,2.8566516058552744e-05,0.011640584178929847,2.839349124241703e-05,0.011548812384717166,2.8575752821780043e-05,0.011761076098793195,2.8490735064583495e-05,0.011763077415525913,2.824384573614225e-05
30,0.02400259956318353,0.00012021181425682568,0.027554890753603296,0.00012059244143433476,0.02749047987163067,0.0001195314854902046,0.02634544223995812,0.00011994467391800808,0.025566117372363806,0.00012075998211003025,0.02453055073107992,0.00012131866242270917,0.02838124207993771,0.00012040756399151274,0.026438254630193114,0.0001206766737595899,0.028431093133985997,0.00011990458297077567,0.02903932881982703,0.00012069167975201516,0.027239466291901313,0.00012031187637292436,0.02520251739770174,0.0001204139414767269,0.02608408729888891,0.0001206853541365841,0.02804199029924348,0.00012025955470562621,0.02691579537048679,0.00012053143793058677,0.02563556022942066,0.00011981603456661105,0.0286848091266372,0.0001202184986058538,0.026224783492776065,0.00012017878778771354,0.02714734183003505,0.00012029479391154989,0.021526077389717103,0.00012003608644590713,0.02660955539999568,0.00012016702414851407,0.021386886946856976,0.00011941957927774638,0.02523926851050607,0.00012056611639905143,0.028444822200319984,0.00011997611132259904,0.02437404077500105,0.00012060773224220611,0.0274296284362834,0.0001204273113774346,0.026702069211751223,0.00012048595272062812,0.023866217272977035,0.00012069714648532681,0.03006784644510065,0.00012038931994798727,0.02404498916843699,0.00012018297618649538,0.02677488960325718,0.00012003334604042511,0.028014673416813216,0.00012043779376350965,0.02535967953423018,0.0001203241921249046,0.02513826118471722,0.0001197709459153918,0.02618197050482572,0.00012009793889618622,0.029976734063691564,0.00011981232091784477,0.02615412324666977,0.00012095624454862748,0.025637364014983177,0.00011983938505485033,0.024412704942127068,0.00012020978586709437,0.027257838153413365,0.00011997154901369608,0.027461953412789803,0.00012061010576352211,0.028342979161867073,0.00012039467765134759,0.02597473301143656,0.00011984059968991431,0.026676787296310067,0.00012034949668304762,0.02729699557193187,0.00012022368607459543,0.025573026575148105,0.00011951183769269847
40,0.033761208527721465,0.0015194255933498166,0.05114542294636761,0.0015161329739432979,0.04095156829465519,0.0015257817312059078,0.04211437019957117,0.0015210577845012388,0.038326587062329054,0.0015286563284462318,0.05013653236840453,0.001512267843021878,0.04870678402206048,0.0015273699462611942,0.03212824184447527,0.0015361511032097042,0.04440857470035553,0.0015312957693822682,0.052594002924467385,0.001525834944148205,0.051170095673909316,0.00151590686781626,0.04306407617405057,0.0015173848252743483,0.04400606142160924,0.001523209216988139,0.05334592500003055,0.0015170752521953546,0.043757915312167384,0.0015235572154151983,0.038390175253152845,0.0015313917072489857,0.05086507157168605,0.0015223147770897908,0.0360586149403109,0.0015277683752803848,0.04255832529937228,0.0015153300967843582,0.03780812919139862,0.0015057699522003532,0.04370501183201464,0.0015202408005502454,0.0327232014387846,0.001519751560408622,0.03796141045489188,0.0015243728894033823,0.05122196267951618,0.001530058089305054,0.03907622443512082,0.0015273585158865899,0.04706032265738774,0.0015227114030670736,0.035694868536666036,0.0015284057735698298,0.0374260280902187,0.00152347234931464,0.05497426060693605,0.0015267108932935766,0.03324888716451824,0.0015250717212135594,0.04504361288765302,0.001523056780346311,0.04552771995464961,0.0015311870335911711,0.03552579562309929,0.001525815193270964,0.038632168167236226,0.001517466727549348,0.04469413489841663,0.001517819044566168,0.05337680710686578,0.0015274746369363533,0.04407795052975416,0.0015258075242551665,0.037240466102957726,0.001526201143860817,0.02960299172749122,0.0015262607485055923,0.04438788177711623,0.0015202419266902975,0.04587829295642577,0.0015290563717460285,0.04113718029111624,0.0015370708840366984,0.04032696037921273,0.001515125646443677,0.04059782437980175,0.0015265566325979307,0.040782456145379224,0.0015292172476711894,0.0415376428514719,0.001521565846633166
50,0.06395979987324349,0.006648948100129408,0.07343856372723453,0.00576522901629735,0.076177121902054,0.006231941240416331,0.07739036346235907,0.0062176760633936125,0.07404778455384076,0.00626773145631887,0.07323126388447625,0.005888249991195542,0.07743215438057767,0.005988610249527908,0.06836603861302137,0.007182353234384209,0.07187589816749096,0.006238250248134136,0.07483953413994689,0.005735635929005711,0.07344953413856657,0.005854954457792797,0.07147550119885376,0.006171663225229297,0.06979972022797978,0.0061567041189654875,0.07376854156609625,0.005832974988152273,0.075126389041543,0.00619974797029562,0.07876435369253158,0.006351401843130588,0.07617285949262706,0.005917521320622076,0.0717220120705091,0.006775925867259502,0.07130516258378823,0.006020843206594388,0.07240836583077907,0.006192459771409631,0.07246644901377815,0.006035060498255248,0.07621175795793533,0.006398943951353431,0.06979446203030389,0.006444331981113245,0.07423373481089418,0.005866324656050314,0.07223403826355934,0.006793396780267358,0.06993999969094031,0.006154658628367288,0.07644472550600767,0.006284379924181849,0.07678687199950218,0.006048813151816527,0.08020314946770668,0.005539718616221633,0.06650545603285234,0.006836040682780246,0.07831511021806643,0.006104763346509292,0.07511618733406067,0.006499115098267794,0.06682312240203221,0.006922043980129303,0.06944508698803407,0.006500673764902685,0.07274691418216035,0.006078286037721613,0.08641081220573849,0.0057136711354057,0.06724944896996021,0.006562423504268129,0.06418110926946004,0.007273675097773473,0.06533014277617137,0.006978373198459546,0.07339313040886607,0.006025726640863078,0.07316614851936118,0.006271812605199876,0.07857792744679111,0.0060467274327363285,0.07343561414088454,0.006381892850772748,0.0673600290901959,0.006317629711702466,0.07355899864635548,0.006535298335796394,0.07406082041561604,0.00615365537814796
60,0.06577472764599536,0.001987765383091755,0.06561287536628936,0.0018893886529105274,0.0625272887674245,0.0019987966674803333,0.06876757440258222,0.001954883429592094,0.06772677646949887,0.0020286756844143383,0.06187991212521281,0.0019462828391364642,0.06487453245419136,0.0019305848053339473,0.049668673891574144,0.00233582902001217,0.0603044293820858,0.002061623753979802,0.06064662670618609,0.0019484001922568208,0.061932433749500075,0.00191999346042346,0.06052386627665588,0.001987029251176864,0.07311589501209949,0.0018357750326558424,0.05603076075203717,0.0019223304007027764,0.0677692846491419,0.001933973331751045,0.0573039710521698,0.002263891836628318,0.060616367581215774,0.001967192669822411,0.06738076645594376,0.0020557253334957818,0.06579566436509292,0.0017889004763371001,0.07422507144510745,0.001871872297488153,0.061891068267274876,0.0019408010340732883,0.09601298347115517,0.0018014190136455,0.0668283730488399,0.0019703034817337476,0.06264140592380003,0.0019084099172191186,0.05706355720758438,0.002227115852292627,0.06315507803873349,0.0019681837762736023,0.06990772858262062,0.0018805792060447857,0.06767717252175014,0.0019505105252998571,0.056223590459142415,0.0019493339683062264,0.05810836780195435,0.002143321694650998,0.06548811521094579,0.001990031288005412,0.06290575365225475,0.002002247756657501,0.06258452779823734,0.002113082667722577,0.05848251493578708,0.002109076717816707,0.06406135783270672,0.001987040450855217,0.0643469314608309,0.0019352162360317176,0.05933589984973272,0.0020846775344883404,0.0442818608134985,0.0024799127907802663,0.06827017292380333,0.0021365608166282377,0.07290679056729589,0.0019110051050250018,0.0610058389652472,0.0019815659434716036,0.06455315436635699,0.002023557766473719,0.0666896007624605,0.00196910344698887,0.06410704692825675,0.001935045947902836,0.06441625577061116,0.0020562089302678817,0.070803277567029,0.0019239215878769755
70,0.042530102522245476,0.00045189467787817454,0.04327412932424953,0.00037670821850616977,0.04166859422217716,0.0004725757118483836,0.04407560531364148,0.00046202584930011127,0.04392076109070331,0.0005076642828498734,0.04097018098192556,0.0003859604933365647,0.04525341705835246,0.0004466602801991765,0.03346675122156739,0.0007026328894426115,0.04350062813609838,0.00042498934781178834,0.04239969543720547,0.00039288625473426163,0.042325113458853016,0.00041401472454277895,0.040537890419363974,0.0004547130852837914,0.04892004673418246,0.00038283289279461953,0.038244504656177014,0.00037468838308996055,0.045736485128772666,0.00042817727958679134,0.055498448014259336,0.00045811525778844954,0.0432458794252439,0.0004079352603928948,0.04342130210537177,0.0005972418008381142,0.04245456121861935,0.00033125073605333455,0.05008797012269497,0.00033870344632305207,0.040909779353105295,0.00039895398724035415,0.05201956816017628,0.0004336878191679716,0.045730033760954594,0.0005049290494784584,0.040743844414299187,0.00037664898396046323,0.03509186487644911,0.0005958280453342013,0.04544992278259929,0.00042393648516892465,0.04243013937957585,0.00038153218338266015,0.046460047364234924,0.0003845712635666132,0.043165924293654304,0.0004329361462233854,0.04373760686980353,0.0005300837935161932,0.04244792395486281,0.0004764461390620384,0.04082835428416729,0.00042344211445500456,0.041552112107315374,0.000591746254001684,0.04005453802852167,0.00046389747176026167,0.04345177538558707,0.00040928913890761703,0.04126554603377978,0.0004361759800101734,0.04295912260810534,0.000494084534390519,0.0354681226114432,0.0007122679380699992,0.039893245324492455,0.00043688761555434513,0.05591484212449619,0.00037119691842235625,0.04295996426568403,0.000448225043009507,0.04467255475797823,0.0004687709567536201,0.0440516504909723,0.0005303479931993229,0.04418790829367936,0.00039044241202645935,0.041114449814087205,0.0005269034721882732,0.04261341094970703,0.00042941362189594654
80,0.07646955543064646,0.00016225291398898532,0.07931645709629122,0.00015911386071820743,0.07585952397097241,0.00021043476391985843,0.08084464396338865,0.00019157346192865172,0.07625520555302501,0.00018501075692256563,0.06956777508769717,0.00015139826739739095,0.08487132623633172,0.0001886111312295667,0.06307280948385596,0.000226426249355427,0.07592109404504299,0.0001729329858790152,0.08393945407710578,0.0001772436593646968,0.0799479257903601,0.00017792621978227736,0.07569392009505203,0.0001836687738042591,0.08581635571624104,0.0001583503048127648,0.0780768278054893,0.00017561985430347704,0.0811301741170986,0.000178340713318903,0.10587097108364105,0.0001723055524053052,0.07975767146457326,0.00018504944653779438,0.07673078425801717,0.00020087094873395893,0.07811397438247998,0.00014538043554542432,0.08483304604887962,0.0001364404917694628,0.07726186757185022,0.00016183742352913382,0.08382789604365826,0.00019090124260401353,0.08463672060390999,0.00017500217579473774,0.0804140493273735,0.00017345952801406384,0.061762625351548195,0.0002126719664374832,0.08077200285850032,0.00017327663903493905,0.07836073823273182,0.00015145909583225148,0.08869373301664989,0.000158532414692066,0.08244015382868904,0.0001922846838299717,0.08108975469238228,0.00017690630900486011,0.07788668320729182,0.00019480729231592984,0.07841278240084648,0.00017888835282064974,0.0786381014172108,0.00020274185210651647,0.07930219794313113,0.0001661083679209696,0.0817557793479782,0.00015605128082988977,0.07757776396142112,0.0002125162880272708,0.08069242785374324,0.00018038345660897903,0.08182346199949582,0.00022414979563715556,0.07533747454484303,0.00018735997218755074,0.08757513442209788,0.00015345887888023363,0.0829871842129664,0.00018511035631927844,0.08024418034723826,0.00018874144734581932,0.07998683184926067,0.0002409622058856316,0.08274477813392878,0.0001868647668743506,0.07423506818023048,0.00020681214150767226,0.07220459431409836,0.00016509711640537715
90,0.11057711239638073,0.00015774992165721154,0.10705018984644037,0.00013866267751214573,0.10417055203156038,0.00019195871970044789,0.10962071440306055,0.00017957757579524587,0.10449895448982716,0.00016211711954383645,0.10892423987388611,0.00013372264947975054,0.11350577304813456,0.00017054515898207875,0.09142988454550505,0.00021183666831348091,0.10835383087396622,0.0001534786482807249,0.11303621491319255,0.00015430876259128317,0.11265828609466552,0.0001549595302908289,0.10869882553815842,0.00016558291463297792,0.11599977785035183,0.0001476781630149242,0.11462792218662798,0.00014477956324299157,0.1128115498557173,0.00016102547394031467,0.1355118304491043,0.00015077193675097078,0.11166668141430075,0.00016497741638555783,0.1039405813583961,0.0001877960551959964,0.11344794432322185,0.00013946526087238453,0.11734177470207215,0.00013607943910756148,0.10768057056227509,0.0001415936600022512,0.13393518701195717,0.00017549088079249486,0.11203838114080758,0.0001659109901961999,0.11588390848853371,0.00015030483072306114,0.10022211261093616,0.0001705968170426786,0.11365971826417472,0.00015691764612359206,0.11253080144524574,0.000145534423609206,0.1274837205807368,0.00013773868340649642,0.10486449194805962,0.00015882215978178595,0.1101090523103873,0.00016319773223787907,0.10759565469164115,0.00017514265972959738,0.11466110696395239,0.00015044274672012156,0.10809451497850879,0.00018459275937251127,0.11515744292625675,0.00015222548905445297,0.11833755544445536,0.00014520257117272867,0.09999745918644799,0.00015632355158838132,0.11016501983006795,0.00015693636305513792,0.1114320307970047,0.00019261240474103639,0.11727670455972354,0.00017247435607714579,0.1129740412746157,0.0001434314451346706,0.11644191270718326,0.00016035853653417466,0.11176604351827077,0.0001609678973701583,0.11492410728016929,0.00019710004316068314,0.11596383340656757,0.00016302358108077897,0.10252531990408897,0.00017941538069618304,0.11081963256001473,0.00014495135328616016
