Checkpoint,arrive_the,arrive_was,ascend_the,ascend_was,chase_the,chase_was,climb_the,climb_was,crawl_the,crawl_was,creep_the,creep_was,cross_the,cross_was,cycle_the,cycle_was,dash_the,dash_was,depart_the,depart_was,descend_the,descend_was,drift_the,drift_was,flee_the,flee_was,float_the,float_was,fly_the,fly_was,gallop_the,gallop_was,glide_the,glide_was,go_the,go_was,hasten_the,hasten_was,hike_the,hike_was,hurry_the,hurry_was,inch_the,inch_was,journey_the,journey_was,limp_the,limp_was,lurch_the,lurch_was,march_the,march_was,meander_the,meander_was,paddle_the,paddle_was,plunge_the,plunge_was,race_the,race_was,ride_the,ride_was,row_the,row_was,run_the,run_was,rush_the,rush_was,sail_the,sail_was,scramble_the,scramble_was,skate_the,skate_was,speed_the,speed_was,stagger_the,stagger_was,stumble_the,stumble_was,swim_the,swim_was,taxi_the,taxi_was,travel_the,travel_was,tumble_the,tumble_was,walk_the,walk_was,wander_the,wander_was
0,1.2788104151275967e-05,3.199939568824051e-05,1.3195777728469694e-05,2.9408671252895147e-05,1.3411833151621977e-05,3.0487530693790177e-05,1.300050141545788e-05,2.862858848727358e-05,1.1971839861265228e-05,3.146570040068279e-05,1.2189897097414359e-05,4.212872663629241e-05,1.2223374880227683e-05,3.332360828324931e-05,1.6058569902573556e-05,4.0232832664817884e-05,1.1912168803165616e-05,3.0127727465393644e-05,1.2631059969582846e-05,3.142118307900651e-05,1.2814300243374404e-05,3.285778080653608e-05,1.3150300828458836e-05,3.6484045300052716e-05,1.3037945580541365e-05,3.643890448839174e-05,1.2138760542835701e-05,3.127244194316022e-05,1.2387435855190334e-05,3.362230034124675e-05,1.51863544791316e-05,4.469543030912367e-05,1.1006872606837229e-05,3.4004908229690045e-05,1.1903925704387201e-05,2.933210244804092e-05,1.3575590350632814e-05,3.6936205004975716e-05,8.791252184892073e-06,3.204587096661271e-05,1.2181550021393508e-05,3.448611750216168e-05,1.3010457223572303e-05,3.598539296945091e-05,1.2913504178868607e-05,3.827914328472356e-05,1.1570809925211102e-05,3.262778247719527e-05,1.0753862397905323e-05,3.87303971365327e-05,1.294879361360983e-05,3.873227246477243e-05,1.0668466984498082e-05,2.8763853606506018e-05,1.4121292224444915e-05,3.6556310078594834e-05,1.4574308806913905e-05,2.9304491666456062e-05,1.2227759595719232e-05,3.117150741413103e-05,1.072868861721569e-05,2.8808985348405258e-05,1.176856812890037e-05,3.798739050710408e-05,1.2844399462492956e-05,3.427898192623271e-05,1.2331594282868812e-05,2.7707884282331134e-05,1.1470392733869186e-05,3.449778504609428e-05,9.823115760809742e-06,3.041682845962766e-05,1.1995041177215171e-05,3.554103841452161e-05,1.3376391507335939e-05,2.7109530492452905e-05,1.3582005703938193e-05,3.1271746775018985e-05,1.2688419550007287e-05,3.122244136951243e-05,9.821320408592966e-06,3.8962553631752094e-05,1.1436592233491996e-05,3.176765988298159e-05,1.3003587286141777e-05,3.307974050229582e-05,1.0642255412156893e-05,3.080711628302067e-05,1.2428656334101783e-05,3.1790855521035686e-05,1.2161037729027965e-05,2.555778074666806e-05
10,1.2791532077617609e-05,3.198636444815351e-05,1.3198553199345043e-05,2.9398586912066092e-05,1.341522158782027e-05,3.047682639589766e-05,1.3003066417890555e-05,2.8619377287343794e-05,1.1974146339828924e-05,3.145810502852934e-05,1.2192089798190864e-05,4.2107850094907914e-05,1.2226233325161986e-05,3.331052154907575e-05,1.606316285081751e-05,4.02236591980909e-05,1.1915331318353614e-05,3.0116892149736588e-05,1.2636038193774697e-05,3.140632935145941e-05,1.2816458372492603e-05,3.285073928136219e-05,1.3154882261850226e-05,3.6467847849053214e-05,1.3043076165374352e-05,3.6419490309039034e-05,1.214237289042847e-05,3.125883573705902e-05,1.2390410014025595e-05,3.3609311928254707e-05,1.5187999148717305e-05,4.467642793315463e-05,1.1007604825863382e-05,3.399910413766823e-05,1.1908360541833778e-05,2.9326557497255442e-05,1.3579028341660483e-05,3.691866408593746e-05,8.794302686965239e-06,3.202796665391361e-05,1.2185518655661282e-05,3.447071239428451e-05,1.3015966032980941e-05,3.5966690120403655e-05,1.2917151274277352e-05,3.826534165931489e-05,1.1573578679720716e-05,3.261298196674842e-05,1.0756518804555526e-05,3.8714558286301326e-05,1.2952290863685362e-05,3.871723096730022e-05,1.0673103417957464e-05,2.8754697950716945e-05,1.4124096924206243e-05,3.654330939752981e-05,1.4579343011670668e-05,2.9291259428039968e-05,1.2233348011899839e-05,3.116030685695088e-05,1.0732339859487183e-05,2.8800483240350634e-05,1.1770255403981927e-05,3.796660608454009e-05,1.2847412532406648e-05,3.4266409440189476e-05,1.2335277024432817e-05,2.7701021382300598e-05,1.1474346053525318e-05,3.448719601079194e-05,9.826267614698736e-06,3.040657247765921e-05,1.1998922445854987e-05,3.5517567539500305e-05,1.3379826668824535e-05,2.7104164473712444e-05,1.3586888235295191e-05,3.126620504190214e-05,1.2691226402239408e-05,3.121026535760999e-05,9.82411301207476e-06,3.894443150474739e-05,1.1439143366130469e-05,3.1742628250088145e-05,1.3007337805032401e-05,3.306586875070302e-05,1.064523686571712e-05,3.079331249214842e-05,1.2433307627488407e-05,3.1781928830537785e-05,1.2163646210360133e-05,2.5548940256056892e-05
20,0.011358859065251473,2.826637659708444e-05,0.011177295073866843,2.789457194012357e-05,0.011239680578000844,2.8004448950014194e-05,0.011246495597463633,2.815661874982262e-05,0.011042712815105915,2.8136951974981154e-05,0.011350051499903202,2.8196312268846668e-05,0.011274449557798808,2.8286883341516825e-05,0.011003011682381233,2.824204633119128e-05,0.011109725779129399,2.8182325776368896e-05,0.011182711459696293,2.8068774134646028e-05,0.011149175409505616,2.8079971248664505e-05,0.011139467458373733,2.817300336183897e-05,0.011279536397668762,2.8118094132219415e-05,0.011347571218555624,2.812009800188455e-05,0.01121919330002533,2.8155816633241353e-05,0.011126553950210413,2.8256049214784678e-05,0.010993676570554575,2.802133136962463e-05,0.011241103323556266,2.7915196466707235e-05,0.011297721933159564,2.825049078738731e-05,0.011264755856245756,2.8466555932027404e-05,0.0111664361320436,2.8324119349625626e-05,0.011091720778495073,2.8186621420900337e-05,0.01107195605124746,2.8391971119119608e-05,0.011243307859533362,2.8281441700528376e-05,0.011521520558744669,2.8072986424376722e-05,0.011302055433800775,2.831953624741825e-05,0.011257148114964366,2.8452533570089145e-05,0.011034177802503108,2.811699960147962e-05,0.011384927978118261,2.8070854265630867e-05,0.011251786324594702,2.7942060166554127e-05,0.011156797350849956,2.806411123401631e-05,0.0111567058068301,2.8256837530144757e-05,0.011205926071852446,2.8248890319790353e-05,0.011224690909412775,2.7936930380728698e-05,0.011142035881273969,2.80862324955727e-05,0.011246563467596258,2.8094708146194796e-05,0.011310278438031673,2.7934855552302906e-05,0.011056121438741684,2.7821082767331973e-05,0.011180064640939236,2.802606213663239e-05,0.011035057560851177,2.829660176454733e-05,0.011131469695333471,2.830934623643964e-05,0.011009198613464832,2.8276957631793005e-05,0.011404291959479451,2.8323338285744008e-05,0.01126271127057927,2.798553344161649e-05,0.011306634790069141,2.818315489242005e-05,0.011330492794513702,2.7993335202659688e-05
30,0.024330573443036813,0.00011956273896756988,0.02181123197078705,0.0001196145060021081,0.021742891054600477,0.00011870195885421708,0.02405925969859319,0.00011958089986105083,0.02028177703420321,0.00012009265240825092,0.02535838969051838,0.00012068130163243041,0.023804444941829463,0.0001194686978362638,0.01981436802695195,0.00012037330937649433,0.0216602451271481,0.00011850557590757187,0.023224828478235465,0.00012004766624438792,0.0225116280255033,0.00011990502335082518,0.02260111621581018,0.00011982828722726222,0.023611200190540672,0.00011932103824211231,0.024950459853492,0.00011962729364644143,0.022692716701163185,0.00011974058579653502,0.023767587418357532,0.00011971019315145288,0.022469112028678257,0.00011915135352561872,0.02307309566553935,0.00011895438873783225,0.02343384673198064,0.00012045915678350462,0.023934241384267807,0.00012028959463350475,0.0225227963888929,0.00011977576252233813,0.023313917219638824,0.0001195264485431835,0.02302848574306284,0.00011974571714831872,0.023210541034738224,0.00012019155999749071,0.02591006178408861,0.00011991532664978877,0.023687364418722996,0.00011958548117808564,0.026607992593199015,0.0001199123171318206,0.024516433849930762,0.00012004044256173075,0.02757039914528529,0.00011993074804195203,0.021893256370510372,0.00011964575283595228,0.022651926691954333,0.00011899186589895787,0.023730230650731494,0.00011974366446208608,0.022861247328487603,0.0001197281970824996,0.021196441913042405,0.00011858098797448393,0.022824126967163974,0.00011949932656513506,0.023176089993544986,0.00011957196693401784,0.02196385432034731,0.00012039628745696973,0.019179968163371086,0.00011932066990993917,0.02021374851465225,0.00011908742162631824,0.019789535241822403,0.00011968915714533068,0.023301060648357616,0.00012096879923929203,0.025143364710467204,0.0001203554669960535,0.02445100421976784,0.00011922764908535021,0.024372663348913193,0.00011871236139476033,0.02192366814110861,0.00011993374395980175,0.023319618983401194,0.00011911976131765793
40,0.02380203739859355,0.0015316882487147665,0.025640350859612228,0.001525316553306766,0.0310975203756243,0.0015230523131322116,0.022938091690385982,0.0015283628225526108,0.01955667274693648,0.0015115125570446253,0.02725479528307915,0.001541320700198412,0.027570940981634328,0.0015314953424586137,0.01667172834277153,0.0015257073488707344,0.020775844136046037,0.0015207485994324088,0.029960216237948492,0.0015321995776433211,0.025546460620947738,0.001531783446196967,0.023407776823400388,0.0015282404700493707,0.02346681417438431,0.0015277976956407445,0.031114930456334896,0.0015319396149028432,0.024777980335056782,0.001526959456451651,0.02651474376519521,0.0015423318060735862,0.022609878952304523,0.0015282653815423448,0.019777269816948374,0.001520080556324457,0.02480465153025256,0.0015289756702259183,0.03340882994234562,0.0015428174083353952,0.02437307747701804,0.001529019220643455,0.02073089499026537,0.001533239963464439,0.025113418920054323,0.0015319510462826916,0.026951571719513998,0.001535990456533101,0.025180033408105373,0.0015435264213010669,0.027669430174545883,0.0015293849561975835,0.025451236171647906,0.0015392661734949797,0.024099743738770486,0.0015342292143031954,0.03288106030474106,0.0015373785863630474,0.02654178472501891,0.001525393291376531,0.02730017896586408,0.001527092882800692,0.024056183639913797,0.0015334832548562969,0.023341025880261046,0.0015295654239535735,0.023037268178104753,0.001524388056361314,0.027655376294671102,0.001523045607745041,0.022960395818310126,0.0015256356314889022,0.021729924250394106,0.0015303761174436659,0.018789248540997505,0.001512986607849598,0.017022258043289183,0.0015106849838048219,0.021234698438396055,0.0015141609862136345,0.02820142259464619,0.001537574370926682,0.02654176258615085,0.0015445379374016608,0.026539249912552212,0.0015331640429592328,0.027529674183045114,0.0015310600699324692,0.02132664461685128,0.0015263488545992174,0.02374649503164821,0.0015237669253514872
50,0.07560947613838391,0.00687199516986043,0.06874119266867637,0.006215788598638028,0.0740560288541019,0.006181611446663737,0.07498195128781455,0.006911121641418764,0.05009832854072253,0.007646898863216242,0.07126389145851135,0.006716120894998312,0.08458982505759255,0.006089655193881911,0.056262183313568435,0.008541949791833758,0.06580810207459661,0.0067880549985501505,0.075616886982551,0.0063264335219103554,0.07552375227435311,0.006394279147706815,0.06500964458765728,0.00683804412671764,0.07509592413038448,0.00697926669449046,0.0822272827340798,0.006151281932199543,0.07729983896844916,0.006792542012408376,0.09515039622783661,0.005695640730361144,0.08652450268467267,0.0064844264804075165,0.06699974158579863,0.007784917340297433,0.07033921571241485,0.006650209996021456,0.08118852134793997,0.005768821167293936,0.06422231887422856,0.007008588739803859,0.08372445032000542,0.006189713720232248,0.07362862587684676,0.006926877734561761,0.0842035851544804,0.006237517111003399,0.07453236728906631,0.0074988005217164755,0.0672044521580412,0.006878507923181743,0.08614248037338257,0.006757950002793223,0.09098156392574311,0.006174421962350607,0.0915760441372792,0.00609356149410208,0.058708485641649794,0.006342392986906426,0.08449402994786699,0.006282207876211032,0.07541544628994805,0.007143920487059014,0.07015666018265325,0.0072205503773246265,0.06451265218507762,0.007028861436992884,0.0729166061812362,0.0065245302231592495,0.07175433050308909,0.007196606003812381,0.06116161588579416,0.007587570697069168,0.04025117680430412,0.007551081944257021,0.056696963310241696,0.007671168819069862,0.05421539768576622,0.007716842073326309,0.07612644999902299,0.006947042420506477,0.0869451074727944,0.006468996671693665,0.06978121254107227,0.006908814063417199,0.07804095212902341,0.006555964771125998,0.06000910565083803,0.007730726011877143,0.05753461519877116,0.0069415696068770355
60,0.0537705931525964,0.0023524816213653255,0.044940145080909134,0.0024724132294068114,0.04812199901789427,0.0023403863597195596,0.05556507894237127,0.002461808226403913,0.04665300697088241,0.0023712625028565527,0.04628345444798469,0.0025206036865711213,0.05106823836437992,0.0022903637365117423,0.04379250047107538,0.0029620182079573474,0.0443669892847538,0.002551741044347485,0.0483275825301042,0.0025286979865855896,0.04961800856043154,0.002474343433712067,0.04288760349819703,0.0025150211773247327,0.04853637327534565,0.0025231279854568234,0.053238316608423535,0.0023797608605078,0.06021579630259011,0.002270451488180293,0.06930956989526749,0.002245706932929655,0.05341509232918421,0.0024972827717040977,0.046104882147561,0.0027224478612482114,0.049664357470141515,0.0023877648119297293,0.049338267650455236,0.0023181099677458405,0.04169409682175943,0.002629568439997023,0.06676550954580307,0.0022274175425991416,0.05321222455019042,0.0024929840472482498,0.06457065004441473,0.0022390780116741857,0.04348314180970192,0.002742093987762928,0.0450445845570058,0.0025408304765284673,0.05803429568186402,0.002416866918792948,0.05343373119831085,0.0025462791789323093,0.05828754852215449,0.0023876733612269163,0.04111957087048462,0.002464156720920333,0.051206425220395126,0.002507541144344335,0.05464551943753447,0.0024717980829466668,0.04308996661692052,0.002673250371338548,0.041585863633739825,0.0026306653797457166,0.0455888984291706,0.0025039945693881532,0.041962377194847376,0.0026988658189241376,0.047529494389891624,0.0026916477945633233,0.03076840005815029,0.0030934703536331654,0.047672321647405626,0.0024591696914285422,0.047472831482688584,0.002517675166018307,0.05742362522064371,0.002403680294593598,0.06645561116082328,0.002307883729892118,0.048552788773794535,0.002495367963211206,0.05430332012474537,0.0022459614888897966,0.04092207964682995,0.0026858410416279246,0.031748850312497884,0.0027445117529067728
70,0.05147710757759901,0.0010437338563721054,0.04674065350554883,0.0008486201331834309,0.04432855127379298,0.0009086198224395048,0.05100128600107772,0.0009995260552386753,0.047297628968954085,0.0010084551041169712,0.051290768384933474,0.0009267833549529314,0.05152417423173052,0.0009186927302641275,0.045914242044091225,0.001352139690425247,0.046598887691895165,0.0009558897969933847,0.06471191633206147,0.0007096534671011166,0.050748319656991246,0.0010852538368060017,0.039810271035613756,0.0010510030874034523,0.044641835696023445,0.001068361363781994,0.056801957501606506,0.0007190355232027782,0.055974837806489736,0.0009280076606147405,0.08058229958017667,0.0008776222433273991,0.056996564070383705,0.0008925290506643554,0.04400860259616838,0.0015521156310569495,0.04817740163869328,0.000691289661012383,0.05814559431746602,0.0005086005585326348,0.045419504156424886,0.0008958868565969169,0.07152048498392105,0.0006487375649157912,0.0508115714682,0.0009294158163746553,0.0678381294839912,0.0007287337987994155,0.04466528259217739,0.0009406330354977399,0.04963200240816972,0.0009877223749517475,0.055172345601022243,0.0007934935638331808,0.0562341533601284,0.0007935764326248318,0.05745863852401575,0.0008060338150244206,0.056358843296766284,0.0008220313432892518,0.04972091173597922,0.0009614762263178515,0.05592423730662891,0.0009034453458817941,0.04261958516026671,0.0012481323666744739,0.043267108876295764,0.0012158035177789214,0.048704830496463666,0.0008792526959739409,0.04382781631180218,0.0011108671730783368,0.054070908576250076,0.0009007010376080871,0.03375619649887085,0.0011107093887403607,0.04869491755962372,0.0008957657613791525,0.05134584289044142,0.001051379712104487,0.06775589437877878,0.0008018910377088221,0.0880396238395146,0.0006780190409959427,0.0473838833808575,0.000833910239199885,0.0587936384337289,0.000661505910102278,0.040741140910879124,0.001320050291576271,0.034218504610988826,0.0011803054625892804
80,0.08334328960149716,0.0002959611096556704,0.07597877904772758,0.0002532514077756787,0.07499005785211921,0.00027965408116870094,0.08194758310647947,0.00031740891375063384,0.07839382216334342,0.00026913657105372596,0.08656454086303711,0.000298530119471252,0.08211438315080814,0.00034153202050518183,0.07628149415055911,0.000321333936881274,0.08038897646798028,0.0002641606907774177,0.1095873570212951,0.00026605566437445726,0.07655570678301711,0.00036713420254883786,0.06683674288381423,0.0003239784094018562,0.07413912580712982,0.0003201903430939031,0.0878400807692246,0.00030398297927935016,0.08461126672724882,0.000264855316587879,0.12351854393879573,0.000259017256515411,0.09973363081614177,0.00025584071408957243,0.06672540458950024,0.000359304797950368,0.07460930695136388,0.0002285901686668189,0.09876998793333769,0.00018111252302333014,0.07530029428501923,0.00026158095542563214,0.09980586543679237,0.0002626894784043543,0.07914379753527187,0.00026811167758534707,0.09924641085995568,0.00024394988334582499,0.07565629854798317,0.0002722760400502011,0.07759103566816408,0.00030851852442201686,0.08035837346687913,0.00026412093939143233,0.09231467545032501,0.00025546442193444816,0.09625205025076866,0.0003340863671231394,0.09184450656175613,0.00022853697799811405,0.081296320228527,0.000297720673946363,0.0883435026875564,0.0002800148306830254,0.07002079033771076,0.0003416431928918747,0.06870318448754272,0.00030220505611552395,0.08485853221527366,0.00025600900605854274,0.08487830949681145,0.00028579083196486214,0.08047890663146973,0.00021080917213112116,0.060230303555727005,0.0003185293171554804,0.0800669625401497,0.00025593852333258835,0.07752429507672787,0.0002809918563192089,0.10797224748641887,0.00021295924794840368,0.13849064920629775,0.00025473368961164463,0.07614261077959901,0.0003001385631922977,0.09545746977840151,0.00024173980013334325,0.06290227768206319,0.00034355737155893556,0.06168926879763603,0.000291322183329612
90,0.09693468381197025,0.0002818252549518664,0.0987903063185513,0.00022837545729998966,0.0995687609538436,0.00022988736236584373,0.09588982151555163,0.0002869096905279938,0.10492334415515264,0.00022477566186959546,0.10661301910877227,0.0002650986541993916,0.09831573301162876,0.00028538144504666697,0.09054786711931229,0.00030549606890417635,0.1085105828113026,0.00022194869557602538,0.12216158898977134,0.00027913053166300344,0.09662636185982335,0.00030246217756396606,0.0870808339677751,0.00027087216728562325,0.08869407325983047,0.00028254362658354575,0.10997115024788813,0.00026714516173921186,0.1083099302318361,0.00023269438800828843,0.14480414986610413,0.00022450168034993112,0.12387887388467789,0.00025812307285377756,0.08220610311887797,0.00031343010269462593,0.10647795432143742,0.00022069667061764954,0.1244792053475976,0.0001841912180680083,0.09274451425742536,0.0002318634298197659,0.11529780551791191,0.00023967415472725406,0.08959588834217616,0.0002683705551178372,0.12152749134434594,0.00022686547082331445,0.10572252422571182,0.00021860493870917708,0.09568814749587072,0.0002693859656972887,0.09609304927289486,0.00025059257495740894,0.11431569159030915,0.00022108536795713009,0.12430412570635478,0.0003045550499033804,0.11665467236723219,0.00021917469878514697,0.09875677557041247,0.00025995255615877494,0.09643860906362534,0.0002645222266437486,0.07977735779776766,0.000314331164633119,0.08863407599203514,0.0002563571860347028,0.10398610300102899,0.00023780661556588182,0.10377804083483559,0.0002552523115550035,0.10436924919486046,0.0002061022460111417,0.07978101074695587,0.0002607856586109847,0.10543027073144913,0.00021267430274747313,0.08635839571555455,0.0002644439979728001,0.1274205059447187,0.0002271582660738359,0.15905064983027323,0.0002616597235568666,0.09396828411389953,0.00026680405465848037,0.11228196855102267,0.00021745251017689173,0.06927043186543985,0.00029656704189323516,0.08661515927977032,0.0002525942885161688
