,run,swim,limp,trudge,drift,hike,stagger,stride,gallop,taxi,cycle,skate,cross,walk,hasten,vault,hop,paddle,sail,row,tumble,descend,bike,scramble,exit,dash,glide,trot,inch,march,race,travel,canoe,scurry,float,creep,meander,ride,go,chase,rush,arrive,stumble,hurry,dart,speed,kayak,lurch,trek,fly,plunge,depart,journey,ascend,flee,wander,climb,raft,crawl,present,deliver,rent,read,pay,teach,offer,lease,relay,pass,award,trade,promise,sell,give,yield,transfer,allocate,dictate,allot,bequeath,explain,guarantee,grant,refund,ask,cede,assign,feed,tell,issue,deny,mail,forward,show
run,0.9999999999999972,0.2616924380530869,0.5457683116007905,0.015290023881172458,0.6191159848469124,0.3962997221420965,0.002417565047143634,0.3726943321035786,0.3716222210798809,0.33438179359362985,0.27492163438721134,0.44295555181897034,0.625877023335765,0.7705500305726395,0.5739123168509815,0.26758906937931215,0.06880510746527606,0.40872820224340567,0.8231619673284624,0.2663155275274687,0.15667791536423262,0.5932127380379115,0.004334314363909385,0.4139227893545972,0.08386314433525188,0.015791468761305234,0.1909884440407862,0.007645011940586229,0.02580191529947852,0.8038018086921644,0.42068801817503654,0.818590919333742,0.015448473956493767,0.33847637448137813,0.19470457568844346,0.3630466081492758,0.48427719294399174,0.6187176183742868,0.779644992300177,0.34055681057173937,0.46470289993732244,0.5824332885492616,0.329873023927877,0.4904785741310471,0.34873323431414716,0.012138086680102245,0.0038225059702931144,0.14339996710715625,0.0267575417920518,0.6921321688183127,0.25534339881558005,0.6045363522370016,0.6100573290704454,0.6324815241344919,0.824278512926708,0.31686719124948626,0.4953651797316504,0.2972987520492513,0.33634193542994417,0.8127613241908369,0.7623500034018303,0.5840839351950767,0.5129233427844192,0.8748382976265445,0.6744213111661775,0.7944724974780929,0.630520730867908,0.5576477030148682,0.7503533512467068,0.7611698295008812,0.3412736728123409,0.7002152475023707,0.6767714244801006,0.8093753487010357,0.6298435641427494,0.8055682961696885,0.7687691539114033,0.30398281782326325,0.5294106573843355,0.39350498485863816,0.5153410625045644,0.4222136606484206,0.839379849885853,0.20985361040071637,0.5415442170478091,0.4045718697349844,0.8139279029952474,0.49435116660780093,0.5195500126864059,0.7171004995598241,0.5359028207664223,0.509284654450951,0.7156527296184034,0.7739683041711123
swim,0.2616924380530869,0.9999999999999992,0.26480771189406227,0.0,0.2832615059243944,0.148031044226483,0.24903945263261323,0.08146881698903526,0.1157947342847096,0.10173671743770146,0.05918572338416904,0.09330413858914145,0.2123543653194435,0.26094537960023684,0.2322485175987696,0.06720834510622474,0.0,0.18963150254260744,0.27407039432928026,0.44242314519452886,0.05858361491462195,0.23619539624512112,0.0,0.225009113588764,0.0,0.0,0.21145579631685293,0.0,0.020367204247258814,0.2288334929274456,0.15086817960932453,0.2988428916136546,0.03135736227945324,0.07286792513358903,0.28342898077171175,0.143288673217222,0.09586409713301773,0.18498359483432564,0.26851894084076594,0.1717760217882903,0.16097962798714976,0.16324032580401016,0.09886727737629109,0.17856213257576523,0.2186037754007671,0.015678681139726616,0.1357813616483921,0.05383680517590479,0.06789068082419605,0.28672152112046406,0.14664387058026346,0.17237320287786914,0.22802149720484374,0.17863788740392866,0.30275562394691524,0.13656520178796752,0.149311122770556,0.19252412323510648,0.25687555403745604,0.254571522381503,0.26821107342534345,0.1962528615433106,0.17889394437417028,0.2552970698877925,0.21536688093492093,0.25372809875815205,0.21882049026805156,0.20748399114511143,0.2512721404524349,0.24219769967483262,0.14327521824999037,0.2089671234395223,0.24322768726460278,0.26036202298895383,0.17866299789880707,0.284291951540678,0.2618225887340866,0.13175754831376074,0.1619319251915788,0.14619752322446772,0.16208776970686917,0.12239166541889933,0.25908186529787625,0.08696714682261544,0.1430602436930046,0.13126827554074366,0.27464401513148373,0.18082745581151383,0.15379354258534159,0.23453675716862254,0.1670349912411122,0.16353949882467766,0.21066002904710013,0.2523365469935265
limp,0.5457683116007905,0.26480771189406227,0.9999999999999998,0.0,0.3150884479084687,0.20191786295303105,0.038069349381344056,0.30096463271442303,0.1796644508187709,0.20295302744752153,0.0966644309165688,0.28201667331860447,0.3923804322903847,0.44890398025853,0.3743911345229003,0.21281413268968716,0.0,0.2627034687463669,0.6020705281184604,0.22323694084297196,0.11804804116247143,0.3334366598289342,0.0,0.34395958024505485,0.0,0.06216698721602093,0.07811665668645071,0.0,0.0,0.473257656974739,0.22739550027311953,0.4445746482905934,0.0,0.26919095102908275,0.16231813065524242,0.21778620259218834,0.3541441234874143,0.37984840938811615,0.39897657403675135,0.15488061853247326,0.219905342745768,0.4027308381285522,0.21102672654165874,0.2412433456170135,0.3230291412348993,0.0,0.0,0.09179335241925395,0.0,0.40687327240652127,0.14446302370292305,0.3217447260438935,0.3465726555395275,0.4226788544084361,0.5015361784611807,0.13670414920128873,0.3061537099716415,0.15061311370164154,0.15420561743885172,0.4603083797425767,0.42346833343747664,0.30736671653142417,0.26266646565177554,0.5081259737576008,0.39205971943844986,0.4394708874075229,0.34779774684283427,0.30266678292122684,0.37782491423335113,0.43005066444680984,0.1526010006110512,0.4005913085923523,0.34047046740909215,0.42787326951234744,0.36486631162435246,0.47814541442002184,0.42250685893665296,0.13689641954834839,0.26411710016144085,0.15807436935466979,0.26129003801728823,0.2921539964412029,0.48955349213166377,0.09179335241925395,0.3057736074910514,0.19734759858140488,0.4758694869882022,0.22704902863992604,0.25160878933813136,0.39790215492714803,0.3294642334732846,0.3521347126246437,0.43064572144381064,0.41208488705305807
trudge,0.015290023881172458,0.0,0.0,1.0,0.038490017945975064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027389551783238812,0.06374147888161384,0.08638684255813596,0.0,0.0,0.0,0.012856486930664502,0.0,0.0,0.016888615337236106,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.03639975321050984,0.0,0.0677303074490132,0.0,0.0,0.0,0.0,0.0,0.058976782461958865,0.021205702298421256,0.0,0.008782071959784494,0.0,0.0,0.0626224291085149,0.0,0.0,0.0,0.0,0.0,0.013965881131221384,0.0,0.0,0.0,0.0,0.019559025296349213,0.0,0.0,0.0,0.0,0.028785008066279875,0.020490828138185778,0.0,0.0,0.0030170202565999787,0.0,0.007961874286580397,0.01965323172376753,0.0,0.005604374015313803,0.0,0.0,0.0,0.02936587972810707,0.007288138709848342,0.0,0.02336337711391886,0.010085073438763683,0.0,0.0,0.0,0.0,0.0,0.020455416096155702,0.0,0.0,0.0,0.004641333271527338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drift,0.6191159848469124,0.2832615059243944,0.3150884479084687,0.038490017945975064,1.0000000000000007,0.2259516121963529,0.06085806194501848,0.21169509870286285,0.22156468376279895,0.19466570535691513,0.1633589907046888,0.2224118432179667,0.44751823218952247,0.45878779455252955,0.4023287655634118,0.17690759253434069,0.0,0.30237157840738194,0.5680836817606242,0.2651026258059826,0.12832473053638757,0.3789751316217135,0.0,0.2639315516295433,0.24444444444444452,0.0,0.15609763526361572,0.019245008972987532,0.038490017945975064,0.4679430695367299,0.22880177334551838,0.4769460170677275,0.0,0.18934585248125155,0.16722268019441874,0.22630095274240727,0.4831048679016944,0.37114784741081464,0.42804272306961544,0.1774422120358496,0.27481197326331397,0.36616679510529737,0.22316969732630335,0.2386235036005217,0.20655911179772896,0.011111111111111112,0.11547005383792519,0.0997844360502374,0.019245008972987532,0.4074606376520256,0.1770540825514853,0.3857583749052301,0.3462716805322223,0.3572660628875308,0.5058999016930397,0.2060488785479727,0.2890041946400416,0.21669453555438467,0.1972117763160392,0.4250779113600394,0.42011012124704156,0.31147205742716944,0.2567858390490997,0.46519740626253325,0.3534178049864112,0.41034014410908887,0.32300553422478134,0.27522685609690534,0.4245221142451568,0.39746945849434373,0.1885664190241346,0.3602190798210558,0.34021826455799026,0.41839645958948135,0.34143167982105604,0.44543187044282445,0.4269921234089397,0.12255267066907441,0.25766268830978045,0.20721346524490034,0.2650794809915345,0.23485462558079456,0.44499853880440915,0.0997844360502374,0.2860460685392794,0.21032129651705922,0.44649340561856976,0.25925925925925947,0.3010195917424553,0.37220160049845763,0.2847227743747859,0.26490647141300894,0.41151382081683424,0.4102015276725103
hike,0.3962997221420965,0.148031044226483,0.20191786295303105,0.0,0.2259516121963529,0.9999999999999996,0.0,0.05241424183609591,0.20114557032045335,0.17672556682259663,0.19239442809755267,0.08185729324082257,0.16078749018628258,0.38588102889004616,0.2626182497233351,0.03706246583305505,0.0,0.13725270326150324,0.2830224663615114,0.11107897485270615,0.02055855707018649,0.36647444298495435,0.0,0.1048284836721918,0.0,0.0,0.18705968155914485,0.0,0.05241424183609591,0.36058657336692573,0.2038331626959285,0.4949759898747614,0.06052275326688023,0.04688072309384954,0.03140930797458586,0.1738383738412788,0.08223422828074596,0.2998486638515654,0.5025481084479686,0.24725344897659107,0.25777116037239917,0.15890470596736406,0.1696208382576527,0.3151014857911172,0.04688072309384954,0.0,0.0,0.03197238778028809,0.05241424183609591,0.3718616241015313,0.08386278693775345,0.2661576119732497,0.3583700947791302,0.2474861982699417,0.36496104757817477,0.20406510715543072,0.22563318696571946,0.15300774894579097,0.2892136076137788,0.4667049263696957,0.4725649374409692,0.34930065538679517,0.3518804372648486,0.4465727580952199,0.3856489463911957,0.4807475761828821,0.44500719186592547,0.37650484550074026,0.51229828212266,0.4736014362366062,0.25139552718183944,0.4142275593106154,0.49348809701977125,0.5154059447058751,0.27896920175663387,0.4614601885887737,0.4577688800814914,0.34966918088621907,0.3715149647538137,0.3441163563272296,0.34566105324788204,0.18171368894674386,0.46831735909003447,0.25577910224230477,0.20709011860202411,0.2511573799654809,0.47973231406450295,0.403485021779202,0.29683646695089194,0.47842347009989067,0.2755259346635995,0.29460396802437766,0.3792071249811807,0.4870340316829741
stagger,0.002417565047143634,0.24903945263261323,0.038069349381344056,0.0,0.06085806194501848,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.004330668386308054,0.0201568254693422,0.027317918235407638,0.0,0.0,0.0,0.004065578140908709,0.12565617248750865,0.0,0.00534064909921188,0.0,0.09035079029052512,0.0,0.0,0.0,0.0,0.0,0.0057553063206618755,0.0,0.004079657869759056,0.0,0.0,0.015791661046371638,0.04767312946227962,0.0,0.00932504808240314,0.005747855883983896,0.0,0.005554269993683528,0.01652949012268216,0.04264014327112209,0.0,0.0,0.0,0.0,0.0,0.0,0.01766559756233139,0.0,0.0,0.0,0.01595239252781738,0.012370213749862666,0.0,0.0067391061947099295,0.0,0.09347654292746338,0.004551309397788172,0.0021599229353244835,0.0,0.0,0.004770327878860792,0.009535709557390103,0.008812180016332785,0.0,0.0,0.010633552048713,0.002847858859055869,0.0,0.0,0.006428981453218925,0.006273937739398492,0.0,0.01169790187296051,0.022324261705591927,0.0,0.0,0.0,0.0,0.0,0.005174856428025748,0.0,0.0,0.013292044433783769,0.011252508130426124,0.0243432247780074,0.021320071635561023,0.003235924008452876,0.017137262215442203,0.0,0.012710267051871373,0.008184940977388469
stride,0.3726943321035786,0.08146881698903526,0.30096463271442303,0.0,0.21169509870286285,0.05241424183609591,0.0,1.0,0.3198010745334156,0.1404878717372541,0.0,0.2342606428329091,0.30128506961562695,0.3904165581498848,0.2159671063953399,0.17677669529663687,0.0,0.2182178902359924,0.3985510948505996,0.13245323570650439,0.09805806756909202,0.2702178453957777,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.3275977788945885,0.13888888888888884,0.2402813288072135,0.0,0.22360679774997896,0.1248440423597306,0.15075567228888181,0.29417420270727607,0.3243723035407738,0.20789161717559407,0.10721125348377947,0.15807729527612088,0.33976044276805595,0.13483997249264842,0.09393364366277236,0.22360679774997896,0.0,0.0,0.07624928516630233,0.0,0.2583688009275956,0.1,0.23385358667337136,0.20991605036642366,0.30771995655341866,0.3422829426861112,0.08111071056538127,0.21310924969033546,0.1042572070285374,0.09853292781642932,0.2710588259574688,0.2288142475430745,0.1730969289631663,0.12587720374450323,0.3137701066863978,0.218620569477119,0.23089435431083152,0.16705246965202397,0.13060462968966793,0.19895527754364,0.24615635894766957,0.06851887098275317,0.2287698409721183,0.1524766832036329,0.22674209319528177,0.2587274448341005,0.2871748436919193,0.2420417625303284,0.0,0.11250879009260244,0.06565321642986129,0.14608717744769462,0.20801257358446096,0.29046690856541096,0.0,0.2351802170958993,0.10508283792729967,0.27074444083909466,0.09622504486493769,0.13483997249264829,0.19954135893769434,0.21677112584136216,0.14338483366910115,0.2813537548703493,0.22971212202300664
gallop,0.3716222210798809,0.1157947342847096,0.1796644508187709,0.0,0.22156468376279895,0.20114557032045335,0.0,0.3198010745334156,0.9999999999999999,0.13977653617040253,0.17119059581558144,0.09988907373180403,0.16350521770367685,0.3737175463759674,0.27626605075640875,0.0753778361444409,0.0,0.18609684207969415,0.29328830790746097,0.112956498944981,0.04181210050035454,0.25924787194702226,0.0,0.15228622596829314,0.0,0.0,0.17292861596651865,0.0,0.0,0.31817859184557323,0.20135623211363202,0.3548151159348344,0.0,0.09534625892455922,0.053233678527649465,0.1607060866333062,0.1254363015010636,0.3080603605963465,0.35022152954705826,0.1371450962647483,0.2527664444431974,0.2228835993459966,0.14373989364401724,0.2002672011879571,0.09534625892455922,0.0,0.0,0.03251280443811775,0.0,0.2947760503096565,0.08528028654224418,0.21367608086182116,0.2813124431081606,0.23876323883035364,0.3377698545563317,0.1037571695799112,0.17871117580421225,0.13336626734231613,0.23108019874586222,0.3416254615951644,0.32473700334171407,0.2675568220907987,0.2146968800893537,0.34412852078207906,0.29251832027972324,0.34798284679361235,0.2974958988369132,0.24364375533046873,0.3405341181150563,0.3385645936755706,0.16069099615140686,0.3015113445777636,0.3207469624538811,0.359799449417766,0.2206435063179476,0.33622348975922983,0.35047361570786717,0.17778975055468982,0.26385650108450426,0.19596237883454903,0.22247064915869766,0.14782809899727067,0.36109985542634526,0.130051217752471,0.22061859933306033,0.1881913851113587,0.3483165235738345,0.2708012801545322,0.21560984046602563,0.3163406306088626,0.20797091691565764,0.22010219462003336,0.28278558984201096,0.3366154509547286
taxi,0.33438179359362985,0.10173671743770146,0.20295302744752153,0.0,0.19466570535691513,0.17672556682259663,0.0,0.1404878717372541,0.13977653617040253,1.0000000000000009,0.085947008518708,0.17552415543144761,0.19367762517251488,0.3268540218954015,0.20227172761822945,0.09933992677987828,0.0,0.18394180184548975,0.3142754047217968,0.09924305700863825,0.055103876877798386,0.2198651612794169,0.0,0.14717777039140906,0.0,0.0,0.0759671406828455,0.0,0.0,0.3068234316183486,0.14048787173725405,0.32442596713643695,0.05407380704358751,0.12565617248750865,0.0701562952407766,0.12707606131310364,0.18367958959266129,0.23199463419976524,0.30905072240232956,0.11045379274027595,0.18917877185794274,0.1958244984820156,0.1515470460848165,0.2111446029233359,0.12565617248750865,0.0,0.0,0.04284839917800318,0.0468292905790847,0.24590862693828278,0.09365858115816941,0.21276612408674755,0.26962888374371746,0.24284911255362648,0.33340044157289156,0.1367408532291219,0.1856234426064135,0.11717498502967608,0.1661121758996477,0.333400759412127,0.2949081371240768,0.23102118196575402,0.21614047221924632,0.3339975468122772,0.2683021756104422,0.315430190144272,0.27978545735996013,0.22018039756960364,0.30024149501289,0.3047712971848314,0.1475997454924995,0.2999676220412011,0.28582656283494917,0.3230199418536695,0.28386110313813034,0.31254515068013744,0.2965898521132718,0.14910501299480672,0.21601697978185674,0.1844696129787307,0.20328014965369876,0.2078097333864525,0.33871790394645523,0.09997959808200742,0.21145579631685296,0.1495970244660403,0.31472329875886146,0.16943126206990766,0.19574826785955446,0.2846441993057336,0.21825161788538042,0.18263739310225457,0.2823342159072891,0.321808607489641
