Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
50,0.00011666666666666665,0.00012222222222222221,0.00010750000000000001,0.00010738461538461539,0.0001127848101265823,0.00012571428571428572,0.00012306451612903224,0.00011671052631578949,0.00011772151898734178,0.000116875,0.00010666666666666667,0.00012061224489795919,0.00011848484848484846,0.00011606060606060606,0.00011776470588235296,0.00012541666666666666,0.00011285714285714287,0.00010708860759493674,0.00012249999999999997,0.0001136,0.00011107692307692308,0.0001125,0.00010853333333333333,0.00011366666666666665,0.00011015873015873017,0.000104,0.00011032258064516131,0.00010875000000000001,0.00010823529411764708,0.00010338709677419354,0.00011706666666666669,0.00011153846153846153,0.00010750000000000001,0.00011560975609756096,0.00012111111111111109,0.00011196428571428573,0.0001223684210526316,0.0001109090909090909,0.00010975903614457831,0.00010812500000000001,0.00012142857142857144,0.00011638297872340425,8.875e-05,0.00011799999999999998,0.00012157894736842102,0.00012168421052631576,0.00011642857142857142,0.0001181578947368421,0.000123125,0.00010939655172413793,0.00010200000000000001,0.00011909090909090906,9.984615384615385e-05,0.00011416666666666666,0.00010500000000000002,0.00011775510204081632,0.0001,0.00011068965517241377,0.00012181818181818183,0.00010750000000000001,0.00011892473118279572,0.00010874999999999999,0.00010333333333333333,0.00012571428571428572,0.0001011111111111111,0.00010553846153846155,0.00010533333333333332,0.00010548387096774195,0.00011037037037037039,0.00011720720720720721,0.00011333333333333331,0.00011166666666666665,0.00011,9.833333333333334e-05,0.00011,0.00011597402597402597,0.00010928571428571428,0.00011169354838709679,0.000125,0.00010546218487394956,0.000113
60,0.00020373333333333337,0.00020444444444444446,0.00017750000000000003,0.00018215384615384616,0.0001970886075949367,0.00020142857142857145,0.00020451612903225807,0.00020197368421052636,0.000199493670886076,0.00019500000000000002,0.00018703703703703707,0.00019653061224489794,0.0001981818181818182,0.00019848484848484845,0.00019635294117647064,0.00020250000000000002,0.0001886904761904762,0.00019341772151898733,0.00019964285714285714,0.0001978666666666667,0.00019707692307692305,0.00019625,0.0001824,0.00019799999999999996,0.00018999999999999998,0.000184,0.00019193548387096775,0.0001885416666666667,0.00019458823529411765,0.00018661290322580652,0.0001966666666666667,0.00018846153846153842,0.00018711538461538458,0.00019341463414634146,0.00020777777777777778,0.00018303571428571427,0.00020105263157894738,0.00019272727272727277,0.0001869879518072289,0.000185,0.0002,0.00019734042553191486,0.00017875,0.000198,0.00020157894736842107,0.0002011578947368422,0.00019642857142857146,0.00019096491228070178,0.00020312500000000002,0.00019094827586206895,0.000182,0.00020090909090909092,0.0001803846153846154,0.0001975,0.000177,0.0001948979591836735,0.00017,0.00018896551724137926,0.00020181818181818183,0.00019500000000000002,0.0002008602150537634,0.0002025,0.00018166666666666667,0.0002114285714285714,0.00017944444444444448,0.00018584615384615384,0.00019733333333333335,0.00018268817204301072,0.00018462962962962959,0.00019459459459459456,0.0002011111111111111,0.00018499999999999997,0.00018999999999999998,0.00017333333333333336,0.00018857142857142857,0.00019701298701298704,0.0001892857142857143,0.00018741935483870974,0.00020625,0.00018739495798319328,0.00018800000000000002
70,0.00024946666666666675,0.0002459259259259259,0.0002575,0.0002498461538461539,0.00025746835443037975,0.00024142857142857145,0.00024241935483870961,0.0002589473684210526,0.0002630379746835443,0.000255625,0.00025839506172839504,0.00025326530612244897,0.00024878787878787877,0.00026000000000000003,0.0002482352941176471,0.00025,0.00024821428571428575,0.0002522784810126582,0.0002475,0.00026386666666666667,0.00026461538461538457,0.00026,0.0002525333333333333,0.00025133333333333333,0.0002531746031746032,0.000266,0.0002512903225806452,0.00025291666666666664,0.00026341176470588235,0.00026612903225806453,0.00025266666666666666,0.0002546153846153846,0.0002623076923076923,0.00026012195121951216,0.0002511111111111111,0.0002419642857142857,0.00024105263157894735,0.00026999999999999995,0.00025072289156626503,0.000248125,0.0002485714285714286,0.00025159574468085113,0.00027125,0.000257,0.0002610526315789473,0.00024621052631578947,0.0002491428571428572,0.0002368421052631579,0.0002421875,0.00024801724137931037,0.00024200000000000003,0.00026272727272727277,0.00025223076923076924,0.00024750000000000005,0.00023200000000000006,0.00024224489795918367,0.00026999999999999995,0.0002420689655172414,0.0002509090909090909,0.00025749999999999997,0.00024688172043010756,0.00026,0.00023833333333333334,0.0002585714285714286,0.00024277777777777777,0.0002523076923076923,0.000264,0.00025666666666666665,0.00024851851851851847,0.00024135135135135136,0.00026333333333333336,0.0002483333333333333,0.0002633333333333333,0.00024,0.00024,0.00025948051948051945,0.00025928571428571434,0.0002511290322580645,0.000255,0.00026462184873949577,0.00024500000000000005
80,0.0003922666666666666,0.00038407407407407406,0.0003975,0.00037123076923076926,0.0003920253164556962,0.00036571428571428573,0.000354516129032258,0.00039828947368421053,0.00039607594936708865,0.00039625,0.00040234567901234567,0.0003893877551020409,0.0003890909090909091,0.00039272727272727273,0.00037494117647058825,0.00038250000000000003,0.0003795238095238095,0.0003807594936708861,0.0003753571428571429,0.0004064,0.00040523076923076927,0.0004,0.0003856,0.00037833333333333333,0.0003834920634920634,0.000386,0.0003882258064516129,0.00038854166666666665,0.0004009411764705883,0.00040322580645161285,0.000384,0.00039730769230769236,0.00039096153846153854,0.00038817073170731704,0.000385,0.00037642857142857145,0.0003715789473684211,0.00040909090909090913,0.00038686746987951805,0.00038,0.00036714285714285717,0.0003790425531914895,0.0004475,0.000396,0.0003905263157894737,0.0003790526315789473,0.0003824285714285715,0.0003601754385964913,0.000384375,0.0003765517241379311,0.000392,0.00040181818181818184,0.0003927692307692308,0.0003733333333333334,0.000344,0.0003740816326530612,0.00041,0.0003613793103448276,0.0003963636363636364,0.00040500000000000003,0.00037677419354838714,0.00038625,0.00036333333333333335,0.0004,0.0003763888888888889,0.0003803076923076923,0.0004113333333333333,0.00039784946236559143,0.00037787037037037037,0.00036702702702702707,0.00040111111111111115,0.00038166666666666666,0.00040666666666666667,0.0003966666666666667,0.00035857142857142853,0.00038389610389610396,0.0003864285714285714,0.00038790322580645165,0.0003875,0.0004083193277310924,0.000383
90,0.0003728,0.00037037037037037035,0.0003758333333333333,0.000358,0.0003684810126582278,0.00034142857142857146,0.00032806451612903224,0.0003772368421052632,0.00037886075949367093,0.000365,0.00037592592592592593,0.0003687755102040816,0.0003796969696969697,0.0003671212121212121,0.00035388235294117647,0.00036,0.00036011904761904765,0.0003643037974683545,0.00035928571428571433,0.00038346666666666665,0.0003826153846153847,0.00038,0.00036586666666666665,0.000366,0.00035523809523809526,0.00037400000000000004,0.0003722580645161291,0.0003708333333333333,0.0003795294117647059,0.00038322580645161285,0.00036280000000000004,0.00037038461538461536,0.00035961538461538455,0.0003664634146341464,0.0003638888888888889,0.0003485714285714286,0.0003452631578947369,0.0003827272727272728,0.0003760240963855422,0.000358125,0.00034428571428571424,0.0003572340425531915,0.0004025,0.00036700000000000003,0.00036157894736842106,0.0003563157894736842,0.00035885714285714286,0.00033719298245614036,0.000360625,0.0003552586206896552,0.00036599999999999995,0.00037000000000000005,0.0003653846153846154,0.00034,0.00031999999999999997,0.00034857142857142856,0.00035000000000000005,0.00033103448275862075,0.00036909090909090903,0.0003775,0.0003580645161290322,0.0003675,0.00035666666666666664,0.00037714285714285714,0.00034833333333333336,0.0003636923076923077,0.00038399999999999996,0.0003717204301075268,0.0003562962962962963,0.0003484684684684685,0.0003844444444444444,0.0003466666666666667,0.00037666666666666664,0.0003716666666666667,0.00033000000000000005,0.0003598701298701299,0.0003657142857142856,0.0003635483870967742,0.00035625,0.00038495798319327723,0.00036
100,0.0004678666666666667,0.00047259259259259265,0.00046750000000000003,0.00044584615384615377,0.00045556962025316455,0.00043142857142857143,0.0004124193548387097,0.0004810526315789474,0.0004818987341772152,0.00046,0.0004735802469135802,0.0004669387755102041,0.00048212121212121216,0.00046893939393939394,0.00045294117647058814,0.00046291666666666665,0.00045119047619047623,0.00045658227848101253,0.00044642857142857147,0.0004884,0.00048615384615384623,0.0004775,0.0004626666666666667,0.00045933333333333324,0.00045031746031746036,0.0004540000000000001,0.00046709677419354837,0.00046270833333333336,0.0004742352941176471,0.0004904838709677419,0.0004661333333333334,0.00047269230769230765,0.00046076923076923074,0.00046036585365853656,0.00046666666666666666,0.0004296428571428571,0.0004409210526315791,0.0004890909090909091,0.0004737349397590362,0.000450625,0.00043142857142857143,0.00045180851063829797,0.00049625,0.00047000000000000004,0.0004610526315789474,0.0004466315789473685,0.0004447142857142857,0.0004296491228070176,0.00046281249999999995,0.00044939655172413797,0.00045599999999999997,0.0004672727272727273,0.00046153846153846153,0.0004316666666666666,0.000404,0.000443265306122449,0.00042500000000000003,0.00042275862068965524,0.0004536363636363636,0.000455,0.0004589247311827957,0.00047625,0.00044333333333333334,0.0004714285714285715,0.00044055555555555563,0.0004693846153846154,0.0004926666666666668,0.00047752688172043016,0.00045,0.0004428828828828829,0.00048777777777777773,0.0004333333333333333,0.00045999999999999996,0.0004516666666666666,0.00041571428571428575,0.0004490909090909091,0.0004671428571428571,0.0004546774193548388,0.00045125000000000005,0.0004902521008403361,0.00045700000000000005
150,0.00045386666666666657,0.0004307407407407407,0.00059,0.0005656923076923075,0.00045886075949367076,0.0003842857142857143,0.00032677419354838706,0.0005077631578947369,0.0005034177215189873,0.00048812499999999995,0.0006054320987654321,0.0004930612244897958,0.0005530303030303031,0.0005093939393939395,0.0004247058823529412,0.00043500000000000006,0.0004936904761904762,0.00047810126582278477,0.00045642857142857133,0.0004848,0.0005086153846153846,0.00045446428571428574,0.0005321333333333333,0.0005113333333333334,0.0005534920634920634,0.000506,0.0005204838709677419,0.00050875,0.0005443529411764706,0.0006400000000000002,0.000518,0.0005703846153846153,0.0005594230769230769,0.0004921951219512196,0.0005377777777777779,0.0005219642857142857,0.00040592105263157895,0.0006172727272727274,0.0005156626506024097,0.00060125,0.00041000000000000005,0.000406063829787234,0.0006025000000000001,0.000541,0.0004478947368421053,0.00039136842105263163,0.0004684285714285713,0.00043991228070175436,0.00040781249999999997,0.0004817241379310345,0.00047400000000000003,0.00041,0.0006180769230769231,0.0003875,0.000447,0.0004491836734693877,0.00030500000000000004,0.00045000000000000004,0.0003818181818181818,0.0003975,0.0005155913978494624,0.000595,0.00047,0.00038,0.0005275000000000001,0.0005458461538461539,0.0005106666666666668,0.0005925806451612904,0.0005487962962962964,0.0004735135135135134,0.0006455555555555555,0.00043666666666666664,0.00053,0.000485,0.00048571428571428566,0.0004081818181818183,0.0004107142857142858,0.0004900000000000001,0.0003775,0.0006134453781512603,0.000613
200,0.00033880000000000005,0.00034,0.0006333333333333333,0.00038015384615384615,0.0003118987341772152,0.00038,0.00024741935483870965,0.0004292105263157894,0.0003139240506329113,0.000520625,0.0005966666666666667,0.0004602040816326531,0.00043363636363636364,0.00045060606060606063,0.00033894117647058824,0.0002825,0.0003036904761904762,0.000380886075949367,0.0005514285714285715,0.00040266666666666673,0.0004213846153846154,0.0003335714285714286,0.00039786666666666667,0.0004123333333333333,0.0006074603174603175,0.00039,0.0004408064516129033,0.0004716666666666667,0.00040623529411764703,0.0005675806451612902,0.0005208,0.0006996153846153846,0.00041192307692307703,0.0003130487804878049,0.0004494444444444444,0.0004896428571428571,0.0004307894736842105,0.0005527272727272728,0.0005283132530120484,0.00075625,0.0005757142857142856,0.00035691489361702126,0.0004075,0.000571,0.00040684210526315787,0.00038789473684210524,0.0004792857142857143,0.0004455263157894737,0.00034125000000000003,0.00043603448275862064,0.00065,0.0003763636363636363,0.0006398461538461538,0.00045750000000000006,0.0005859999999999999,0.000596530612244898,0.000735,0.000623448275862069,0.0004190909090909091,0.0005124999999999999,0.0004326881720430108,0.00077625,0.0004899999999999999,0.0003671428571428571,0.0005366666666666666,0.0005380000000000001,0.0004946666666666666,0.0005992473118279571,0.0006230555555555556,0.000429009009009009,0.0006344444444444444,0.0005283333333333333,0.0005733333333333334,0.0005049999999999999,0.0006528571428571427,0.0004445454545454545,0.0002685714285714286,0.0005080645161290322,0.00046124999999999996,0.000579327731092437,0.0007079999999999999
250,0.0003702666666666667,0.00047555555555555556,0.0010158333333333336,0.0004523076923076923,0.0004350632911392404,0.0005742857142857144,0.00026645161290322585,0.0005906578947368421,0.00039797468354430384,0.0008706250000000001,0.0008886419753086418,0.000626734693877551,0.0005536363636363637,0.0006601515151515152,0.0003770588235294118,0.00030833333333333337,0.00033273809523809525,0.00037860759493670883,0.0007089285714285714,0.0005628,0.0005993846153846155,0.00040196428571428577,0.00048413333333333336,0.0004993333333333333,0.0007728571428571428,0.00041799999999999997,0.0005758064516129031,0.0006097916666666666,0.0005259999999999999,0.0007961290322580645,0.0007833333333333333,0.0012580769230769232,0.0005963461538461539,0.00032609756097560973,0.0005355555555555555,0.0006026785714285715,0.0005534210526315789,0.0007154545454545453,0.0006880722891566265,0.0009875,0.0006885714285714285,0.00040627659574468087,0.00052875,0.0008439999999999999,0.00049,0.0004532631578947369,0.0005374285714285713,0.0005241228070175438,0.0004684375,0.0005227586206896552,0.00071,0.0005381818181818182,0.0009458461538461539,0.0005416666666666666,0.000835,0.000833877551020408,0.00132,0.0008193103448275864,0.0005463636363636364,0.0006225,0.0004456989247311828,0.000915,0.0006166666666666667,0.0005099999999999999,0.0009780555555555558,0.0007032307692307693,0.0005126666666666667,0.0008651612903225806,0.0008935185185185185,0.00042432432432432435,0.0007855555555555555,0.00072,0.0008466666666666666,0.00083,0.0008371428571428572,0.0005325974025974026,0.00022214285714285714,0.0007030645161290322,0.0006075000000000001,0.0008490756302521008,0.001236
300,0.0001574666666666667,0.00031851851851851854,0.0006725,0.0002098461538461538,0.00025721518987341775,0.00027285714285714283,9.887096774193548e-05,0.00028973684210526314,0.0001689873417721519,0.000424375,0.0005446913580246913,0.0002746938775510204,0.00029606060606060606,0.0004043939393939395,0.00020082352941176468,0.00014041666666666667,0.00013595238095238094,0.00014468354430379748,0.0004039285714285714,0.00033866666666666664,0.0003041538461538462,0.0001435714285714286,0.0002386666666666667,0.00024766666666666665,0.0005336507936507937,0.000226,0.00025370967741935484,0.0002475,0.0002944705882352941,0.0005030645161290323,0.0005141333333333334,0.0008630769230769231,0.0002730769230769231,0.00011207317073170732,0.00023333333333333333,0.00023214285714285717,0.0002253947368421053,0.00026181818181818185,0.00020228915662650606,0.0002975,0.00020714285714285713,0.00011074468085106382,0.00021375,0.000243,0.00017000000000000004,0.00017736842105263163,0.00018714285714285716,0.00017289473684210525,0.00013781250000000002,0.00017275862068965515,0.00021000000000000004,9.818181818181821e-05,0.0004626153846153846,0.00018916666666666667,0.00029299999999999997,0.0003285714285714286,0.00068,0.0003489655172413793,0.00014818181818181816,0.00023500000000000002,0.00015526881720430107,0.00043375,0.00020166666666666664,9.142857142857143e-05,0.0004341666666666667,0.00022076923076923076,0.00015733333333333335,0.0003618279569892473,0.0003287037037037037,0.00010801801801801802,0.00033,0.00030166666666666666,0.00036333333333333335,0.0003066666666666667,0.0004185714285714286,0.0001327272727272727,2.357142857142857e-05,0.0003464516129032258,0.00024625,0.000346218487394958,0.0005089999999999999
