Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
50,8.293333333333333e-05,8.259259259259259e-05,8e-05,7.753846153846154e-05,8.050632911392407e-05,8.857142857142857e-05,8.467741935483871e-05,8.197368421052633e-05,8.253164556962025e-05,8.1875e-05,7.654320987654322e-05,8.387755102040816e-05,8.363636363636364e-05,8.181818181818182e-05,8.270588235294117e-05,8.541666666666668e-05,8.154761904761904e-05,7.759493670886078e-05,8.535714285714285e-05,8.013333333333333e-05,7.892307692307692e-05,7.964285714285715e-05,7.813333333333334e-05,8.200000000000003e-05,7.873015873015871e-05,7.8e-05,8.11290322580645e-05,7.875e-05,7.68235294117647e-05,7.467741935483869e-05,8.306666666666666e-05,7.923076923076924e-05,7.961538461538463e-05,8.060975609756097e-05,8.444444444444444e-05,8.035714285714287e-05,8.460526315789475e-05,7.90909090909091e-05,7.999999999999999e-05,7.875e-05,8.142857142857145e-05,8.191489361702128e-05,6.625e-05,8.300000000000001e-05,8.368421052631579e-05,8.526315789473685e-05,8.285714285714283e-05,8.412280701754387e-05,8.531250000000001e-05,7.887931034482758e-05,7.6e-05,8.363636363636365e-05,7.299999999999999e-05,8.333333333333333e-05,8.2e-05,8.326530612244899e-05,7.500000000000001e-05,7.896551724137931e-05,8.454545454545455e-05,7.75e-05,8.35483870967742e-05,7.75e-05,7.833333333333332e-05,8.714285714285715e-05,7.666666666666668e-05,7.784615384615385e-05,7.533333333333334e-05,7.655913978494623e-05,7.990740740740742e-05,8.36936936936937e-05,8.111111111111112e-05,7.833333333333333e-05,8e-05,7.5e-05,8e-05,8.077922077922079e-05,7.714285714285714e-05,8.096774193548389e-05,8.5e-05,7.571428571428571e-05,7.9e-05
60,0.00011360000000000002,0.00011407407407407407,0.00010583333333333334,0.00010615384615384617,0.00010898734177215194,0.00011714285714285714,0.00011774193548387096,0.00011144736842105264,0.00010987341772151899,0.00010750000000000001,0.00010370370370370371,0.00011183673469387756,0.00011272727272727272,0.00010909090909090909,0.0001123529411764706,0.00011666666666666668,0.00010857142857142856,0.00010784810126582281,0.00011392857142857142,0.00010893333333333333,0.00010661538461538462,0.0001098214285714286,0.0001044,0.00011199999999999997,0.00010746031746031748,0.000104,0.00010806451612903227,0.000106875,0.0001062352941176471,0.00010258064516129033,0.0001128,0.00010499999999999999,0.00010461538461538463,0.00010853658536585368,0.00011666666666666667,0.00010714285714285715,0.00011684210526315791,0.00010727272727272728,0.00010674698795180725,0.00011,0.00010857142857142856,0.00011127659574468088,9.5e-05,0.000106,0.0001131578947368421,0.00011231578947368422,0.00010985714285714285,0.00011377192982456143,0.0001153125,0.0001094827586206897,0.00010200000000000001,0.00010909090909090912,0.00010146153846153847,0.00011499999999999999,0.000107,0.00011265306122448979,9.5e-05,0.0001093103448275862,0.0001090909090909091,0.00010750000000000001,0.00011139784946236562,0.00011375,0.00010333333333333333,0.0001142857142857143,0.00010111111111111112,0.00010461538461538461,0.00010600000000000002,0.000101505376344086,0.00010712962962962965,0.00011216216216216217,0.0001088888888888889,0.00010333333333333333,0.00010333333333333333,0.0001,0.00011142857142857144,0.00010831168831168834,0.00010357142857142859,0.00010661290322580646,0.00011375,0.00010260504201680673,0.00010499999999999999
70,0.0003781333333333334,0.00036629629629629626,0.0003666666666666666,0.00037215384615384617,0.0003568354430379747,0.00040857142857142866,0.0003925806451612904,0.0003715789473684211,0.0003748101265822785,0.00037062499999999997,0.00036086419753086424,0.00037102040816326535,0.00038272727272727276,0.000375,0.00038858823529411767,0.0004004166666666667,0.0003632142857142858,0.00035999999999999997,0.00037250000000000006,0.00037280000000000006,0.000372,0.0003753571428571429,0.0003596,0.00038466666666666673,0.00036904761904761905,0.000344,0.0003593548387096774,0.0003635416666666667,0.0003627058823529412,0.0003496774193548387,0.0003865333333333333,0.00035846153846153846,0.00036,0.00036817073170731715,0.00038444444444444447,0.0003575,0.00038736842105263164,0.00035727272727272723,0.00035771084337349405,0.00034750000000000004,0.00036142857142857146,0.00037914893617021274,0.0003375,0.00037099999999999996,0.00038105263157894734,0.00037368421052631583,0.00035714285714285714,0.0003835964912280702,0.0003846875,0.0003696551724137931,0.00036400000000000007,0.00037000000000000005,0.0003424615384615385,0.000395,0.000363,0.00037020408163265307,0.00034,0.0003713793103448276,0.0003818181818181818,0.00035,0.000377741935483871,0.00036625,0.00035,0.0003928571428571429,0.0003422222222222223,0.00035846153846153846,0.0003526666666666667,0.0003421505376344086,0.00035342592592592587,0.00035873873873873874,0.0003822222222222223,0.00037666666666666664,0.0003666666666666666,0.00031000000000000005,0.00037714285714285714,0.00037246753246753255,0.0003721428571428571,0.00035782258064516123,0.00036875,0.00035042016806722696,0.00035500000000000006
80,0.0004176,0.00041222222222222224,0.00039333333333333337,0.0003892307692307692,0.000400632911392405,0.00044714285714285705,0.0004414516129032258,0.000405,0.00041000000000000005,0.00040125,0.00039703703703703705,0.0004091836734693878,0.00040545454545454543,0.00041045454545454545,0.0004108235294117648,0.0004325,0.0003998809523809525,0.00038683544303797467,0.0003960714285714286,0.0004125333333333333,0.0004109230769230769,0.00041000000000000005,0.0003801333333333333,0.0004026666666666667,0.0004201587301587301,0.000382,0.0003675806451612904,0.00037999999999999997,0.00038799999999999994,0.00039709677419354846,0.0004130666666666666,0.00040500000000000003,0.0004040384615384615,0.00039731707317073174,0.00040944444444444443,0.00039321428571428575,0.00042684210526315787,0.00037545454545454546,0.00038771084337349397,0.000369375,0.00038285714285714285,0.0004128723404255319,0.00038375,0.00041000000000000005,0.00040315789473684214,0.00040221052631578947,0.0003774285714285715,0.0004130701754385965,0.00041843749999999997,0.00040206896551724135,0.00038200000000000007,0.00040181818181818184,0.0004027692307692308,0.0004266666666666667,0.000382,0.0004051020408163265,0.00038500000000000003,0.00042275862068965524,0.00042,0.000375,0.0004105376344086021,0.00039999999999999996,0.0003533333333333333,0.00043571428571428575,0.00039361111111111107,0.0003904615384615384,0.00040133333333333335,0.00039709677419354835,0.0003837962962962963,0.0004008108108108108,0.00040111111111111104,0.0004216666666666667,0.0004333333333333333,0.0003366666666666667,0.0003985714285714286,0.00040623376623376625,0.00041357142857142867,0.00038798387096774194,0.00041125000000000005,0.0003846218487394957,0.000393
90,0.0006061333333333334,0.0006181481481481482,0.000575,0.0005866153846153846,0.0005926582278481013,0.0006442857142857143,0.0006427419354838709,0.0005955263157894736,0.0005967088607594938,0.000593125,0.0005839506172839506,0.0005934693877551021,0.0005881818181818181,0.000603939393939394,0.0005983529411764707,0.0006225,0.0005953571428571428,0.0005715189873417721,0.0005824999999999999,0.0006033333333333333,0.0006049230769230769,0.0005991071428571428,0.0005677333333333333,0.0005933333333333332,0.0006185714285714286,0.0005819999999999999,0.0005648387096774194,0.0005597916666666667,0.0005750588235294118,0.0005867741935483871,0.0005994666666666666,0.0006026923076923077,0.0005919230769230769,0.0005840243902439025,0.0006038888888888889,0.0005796428571428572,0.0006277631578947368,0.0005536363636363637,0.0005643373493975902,0.0005575,0.0005542857142857143,0.0006013829787234043,0.00055125,0.000601,0.0005889473684210526,0.000594421052631579,0.0005624285714285716,0.000608859649122807,0.0006115625,0.0005876724137931034,0.000578,0.000599090909090909,0.0005963076923076923,0.0006183333333333334,0.0005759999999999999,0.0006108163265306123,0.000575,0.0006134482758620688,0.0006163636363636364,0.00058,0.0005896774193548388,0.00059125,0.0005466666666666667,0.0006242857142857144,0.0005919444444444444,0.0005776923076923077,0.0005953333333333332,0.0005917204301075269,0.0005763888888888889,0.0005927027027027026,0.0005966666666666667,0.0006083333333333334,0.0006233333333333333,0.0005466666666666667,0.0005942857142857144,0.000596103896103896,0.0006007142857142857,0.0005712096774193549,0.0006187499999999999,0.0005767226890756301,0.0005639999999999999
100,0.0008061333333333334,0.000805185185185185,0.0007516666666666665,0.0007758461538461539,0.0007586075949367088,0.0008414285714285713,0.0008379032258064516,0.0007800000000000001,0.0007844303797468355,0.0007675,0.000774320987654321,0.0007736734693877551,0.0007836363636363636,0.0007954545454545454,0.0007869411764705881,0.0008129166666666666,0.0007761904761904761,0.0007279746835443039,0.0007085714285714289,0.0007881333333333333,0.0007927692307692309,0.0007939285714285714,0.0007389333333333333,0.0007933333333333334,0.0008060317460317462,0.000796,0.0007406451612903225,0.000736875,0.0007529411764705883,0.0007788709677419355,0.0007909333333333334,0.0007992307692307692,0.0007859615384615385,0.0007531707317073171,0.00079,0.0007403571428571428,0.0008101315789473685,0.00072,0.0007491566265060241,0.0007093749999999999,0.0007128571428571429,0.0007904255319148936,0.0007112500000000001,0.000787,0.0007768421052631578,0.0007736842105263157,0.0007185714285714287,0.0008028947368421054,0.000798125,0.0007637931034482758,0.00076,0.0007972727272727273,0.0007807692307692308,0.0007841666666666666,0.000711,0.0007677551020408163,0.000695,0.0007765517241379311,0.0008063636363636363,0.0007574999999999999,0.0007631182795698924,0.0007725,0.0007,0.0008142857142857143,0.0007677777777777778,0.0007666153846153846,0.0007646666666666666,0.0007744086021505373,0.0007435185185185185,0.0007626126126126126,0.0007744444444444444,0.0007899999999999999,0.0007933333333333333,0.0006966666666666666,0.0007928571428571428,0.0007868831168831168,0.0007692857142857143,0.00075,0.0007850000000000001,0.0007416806722689077,0.0006929999999999999
150,0.0008802666666666664,0.0008577777777777776,0.0008674999999999999,0.000808923076923077,0.0008416455696202532,0.001,0.0008414516129032258,0.0008528947368421051,0.0008017721518987342,0.00086625,0.0008149382716049383,0.0008295918367346939,0.0008624242424242424,0.0008903030303030302,0.0007981176470588236,0.0007879166666666667,0.0007692857142857141,0.0008344303797468354,0.0008075000000000001,0.0008024,0.0009524615384615384,0.0008507142857142857,0.0007712,0.0007563333333333332,0.0009344444444444446,0.0011,0.0008395161290322581,0.0008397916666666666,0.0007848235294117648,0.0009851612903225807,0.0008288,0.0009415384615384616,0.0008525000000000001,0.0007987804878048781,0.0008661111111111111,0.0007317857142857143,0.0009182894736842105,0.0008072727272727273,0.0009303614457831325,0.000820625,0.0008785714285714285,0.0008926595744680849,0.00081625,0.001017,0.0009110526315789473,0.0008698947368421053,0.0007970000000000001,0.0008650877192982456,0.0008846875000000001,0.0008537068965517242,0.00095,0.00105,0.0009042307692307694,0.0007866666666666665,0.000787,0.0008522448979591838,0.000895,0.0008713793103448275,0.0009518181818181817,0.000855,0.0008504301075268818,0.0009,0.0008916666666666666,0.0009714285714285715,0.0008816666666666666,0.0008976923076923077,0.0009726666666666667,0.0009261290322580645,0.0008502777777777777,0.0008092792792792795,0.0008088888888888889,0.00094,0.0008433333333333334,0.0008033333333333333,0.001062857142857143,0.0008567532467532466,0.0008292857142857144,0.0008334677419354838,0.00100875,0.0008924369747899161,0.000796
200,0.0008359999999999999,0.0010188888888888888,0.0006016666666666667,0.0008652307692307692,0.0008586075949367087,0.0006442857142857143,0.0006935483870967741,0.000803421052631579,0.00047582278481012654,0.0007599999999999999,0.0007853086419753086,0.0008312244897959183,0.0007769696969696971,0.0008298484848484848,0.0005717647058823529,0.000385,0.0006132142857142857,0.0009189873417721518,0.0009335714285714287,0.0006906666666666667,0.0010272307692307694,0.000664642857142857,0.0008610666666666666,0.00044866666666666666,0.0008487301587301587,0.0014960000000000002,0.0009395161290322581,0.0008975,0.0008025882352941173,0.0012545161290322582,0.0007210666666666667,0.0007930769230769229,0.0008838461538461539,0.0007039024390243904,0.0006411111111111112,0.0005969642857142857,0.001094342105263158,0.0008918181818181818,0.0013403614457831326,0.000915,0.0008242857142857142,0.0009417021276595745,0.0008637499999999999,0.00099,0.0009815789473684212,0.0011763157894736842,0.0009258571428571428,0.0007392105263157896,0.0013003125,0.0009201724137931034,0.000954,0.0017663636363636362,0.0008923076923076924,0.0007516666666666667,0.000763,0.0008559183673469388,0.001055,0.0008637931034482757,0.0013627272727272726,0.00047,0.0005875268817204301,0.0011,0.0012583333333333333,0.0013585714285714288,0.0008969444444444445,0.001017230769230769,0.0012626666666666667,0.0010595698924731182,0.0007873148148148146,0.0008858558558558559,0.0008766666666666667,0.0012883333333333334,0.0015433333333333334,0.0010883333333333333,0.0011942857142857141,0.0009175324675324676,0.0007542857142857142,0.0008273387096774193,0.00129,0.0008902521008403361,0.0008870000000000001
250,0.0011914666666666665,0.001476296296296296,0.0009708333333333332,0.0012204615384615383,0.0013491139240506328,0.0010885714285714285,0.001060483870967742,0.0013496052631578948,0.0007660759493670887,0.00115125,0.0011006172839506173,0.0013381632653061224,0.0010709090909090911,0.0013037878787878789,0.0008825882352941176,0.0006545833333333334,0.0009023809523809525,0.0013465822784810128,0.001492142857142857,0.0010762666666666667,0.0015921538461538462,0.0010926785714285715,0.0012893333333333333,0.000701,0.0010488888888888891,0.001426,0.001219032258064516,0.0014343749999999999,0.0013790588235294118,0.001800967741935484,0.0010693333333333332,0.0010084615384615384,0.0013325000000000001,0.0010803658536585367,0.0012305555555555555,0.0010355357142857143,0.0017603947368421049,0.001569090909090909,0.002287951807228916,0.001809375,0.0012014285714285714,0.0014389361702127658,0.0018137500000000003,0.002036,0.0014110526315789474,0.001947263157894737,0.0017862857142857144,0.001084561403508772,0.0024753125,0.0015215517241379314,0.001526,0.0031927272727272724,0.001349,0.001189166666666667,0.001356,0.0012916326530612245,0.0026550000000000002,0.0013203448275862068,0.0017563636363636366,0.0008975,0.0007650537634408601,0.00188625,0.0021449999999999998,0.00219,0.0015305555555555554,0.0016143076923076922,0.0019746666666666667,0.001720645161290323,0.0012975,0.0013973873873873873,0.0015333333333333332,0.0023533333333333336,0.00234,0.0019433333333333334,0.0019357142857142858,0.001451818181818182,0.001057142857142857,0.0013931451612903228,0.002175,0.0014042857142857143,0.001562
300,0.000976,0.0011792592592592592,0.0006183333333333333,0.0007286153846153847,0.000852911392405063,0.0008171428571428572,0.0008691935483870968,0.0009167105263157894,0.0005527848101265822,0.00078625,0.0007217283950617283,0.001046938775510204,0.0006896969696969697,0.0009710606060606062,0.0006536470588235293,0.0004970833333333333,0.0005722619047619047,0.0009270886075949369,0.0009489285714285713,0.0008197333333333334,0.0011263076923076925,0.0011946428571428572,0.0006965333333333333,0.0006073333333333333,0.000512063492063492,0.0023480000000000003,0.0008008064516129032,0.0011860416666666666,0.0010218823529411763,0.0011695161290322582,0.0006849333333333335,0.000573076923076923,0.0012236538461538463,0.000800487804878049,0.001186111111111111,0.0008080357142857143,0.0013871052631578948,0.0014372727272727271,0.0020857831325301205,0.002001875,0.0012685714285714286,0.0011800000000000003,0.00138,0.0022740000000000004,0.0010105263157894737,0.0015837894736842107,0.001592857142857143,0.0009192982456140351,0.0019996874999999997,0.0012879310344827584,0.0014119999999999998,0.0029045454545454544,0.0012817692307692309,0.001175,0.001553,0.0012187755102040813,0.002735,0.0009075862068965517,0.001700909090909091,0.00111,0.0006268817204301074,0.0016575000000000001,0.0017633333333333331,0.0017242857142857142,0.00124,0.0015459999999999998,0.0015599999999999998,0.0016189247311827956,0.0013355555555555555,0.0011497297297297295,0.001467777777777778,0.0021316666666666667,0.00246,0.001958333333333333,0.0022314285714285713,0.0013366233766233767,0.0009335714285714286,0.0010233870967741936,0.00216875,0.0014041176470588237,0.001768
