Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
50,0.00010880000000000003,0.00011148148148148147,0.00010583333333333334,0.0001030769230769231,0.00010683544303797468,0.00010571428571428572,0.00011290322580645162,0.0001098684210526316,0.00010810126582278486,0.000109375,0.00010518518518518518,0.00011061224489795919,0.00010757575757575756,0.00010772727272727273,0.00010870588235294117,0.00011041666666666666,0.00010833333333333334,0.00010329113924050634,0.00010999999999999998,0.00010759999999999999,0.00010707692307692307,0.00010714285714285715,0.00010306666666666669,0.00010733333333333332,0.00010825396825396828,0.000106,0.00010290322580645162,0.00010520833333333335,0.0001055294117647059,0.00010645161290322583,0.0001088,0.00011,0.00010269230769230771,0.00010963414634146342,0.00010777777777777779,0.00010875,0.00010986842105263158,0.00010636363636363637,0.00010530120481927713,0.00010875000000000001,0.00010714285714285715,0.00010734042553191493,0.00010125000000000001,0.00010400000000000001,0.00010894736842105262,0.00010989473684210532,0.00010942857142857145,0.00011008771929824565,0.00011,0.00010560344827586211,9.8e-05,0.0001072727272727273,0.00010523076923076924,0.00010583333333333334,0.00010600000000000002,0.00010816326530612245,0.000105,0.00010999999999999998,0.00010454545454545455,0.00011,0.00011258064516129034,0.000105,0.0001,0.00010999999999999999,0.00010111111111111109,0.00010307692307692309,0.0001046666666666667,0.000107741935483871,0.00010685185185185189,0.00010693693693693694,0.00010222222222222223,0.00010833333333333334,0.0001,0.000105,0.00010571428571428571,0.0001077922077922078,0.00010500000000000002,0.00010685483870967745,0.00011750000000000001,0.00010512605042016809,0.00011000000000000003
60,0.0003193333333333333,0.0003133333333333334,0.0002933333333333333,0.0002903076923076923,0.00030886075949367096,0.00031999999999999997,0.00032048387096774203,0.0003136842105263158,0.00030658227848101273,0.00030875,0.0002976543209876544,0.0003110204081632653,0.0003118181818181818,0.0003083333333333333,0.00031011764705882357,0.00031416666666666664,0.0003038095238095238,0.0003034177215189874,0.00031178571428571426,0.0003096,0.000302,0.000305,0.0002957333333333334,0.000306,0.0003034920634920636,0.000292,0.00030161290322580647,0.00029625,0.00030352941176470586,0.0002996774193548388,0.0003073333333333333,0.00030192307692307696,0.0002961538461538461,0.0003025609756097561,0.0003138888888888889,0.0003030357142857143,0.0003163157894736842,0.00030181818181818185,0.0002980722891566265,0.000305625,0.00030857142857142856,0.00030989361702127657,0.000285,0.000305,0.00031473684210526316,0.0003145263157894737,0.0003117142857142858,0.0003096491228070176,0.00031281249999999994,0.00030224137931034477,0.000302,0.0003109090909090909,0.0002942307692307693,0.00031,0.00029699999999999996,0.00030959183673469386,0.00028,0.0003079310344827587,0.00031363636363636365,0.00030000000000000003,0.00031892473118279573,0.00031999999999999997,0.00029166666666666664,0.00031571428571428576,0.00030027777777777784,0.00029661538461538464,0.0003046666666666667,0.00029860215053763447,0.00030416666666666656,0.00031171171171171164,0.00030777777777777775,0.0003,0.0002933333333333333,0.0002833333333333333,0.0003014285714285714,0.00030753246753246756,0.00030285714285714285,0.00030104838709677417,0.0003275,0.0002970588235294117,0.00030199999999999997
70,0.0008406666666666666,0.0008140740740740742,0.0008158333333333332,0.0008064615384615384,0.0008127848101265821,0.0008642857142857144,0.000844032258064516,0.0008177631578947367,0.0008115189873417721,0.00084,0.0008003703703703703,0.0008177551020408163,0.0008287878787878787,0.0008175757575757576,0.0008345882352941176,0.0008441666666666667,0.0008100000000000001,0.000798481012658228,0.0008107142857142858,0.0008227999999999998,0.0008170769230769231,0.0008144642857142857,0.0008128000000000001,0.000822,0.0008241269841269841,0.000778,0.0007977419354838708,0.0007914583333333334,0.0008100000000000001,0.0007970967741935485,0.00083,0.0008065384615384615,0.0008063461538461538,0.0008049999999999999,0.0008305555555555555,0.0008080357142857143,0.0008419736842105264,0.0008163636363636363,0.0007912048192771084,0.00080625,0.0008242857142857142,0.0008267021276595747,0.0007700000000000001,0.0008239999999999999,0.0008431578947368421,0.0008175789473684209,0.0008139999999999999,0.0008444736842105262,0.0008281250000000001,0.0008161206896551725,0.00086,0.0008272727272727272,0.0007843076923076922,0.0008366666666666665,0.0008240000000000001,0.0008089795918367347,0.0007999999999999999,0.00082,0.0008363636363636364,0.0007725000000000001,0.0008444086021505377,0.00082375,0.0007833333333333334,0.0008528571428571429,0.0007875,0.0007963076923076923,0.0007846666666666667,0.0007792473118279571,0.0007902777777777778,0.0008028828828828829,0.0008266666666666666,0.0008500000000000001,0.0007766666666666667,0.0007399999999999999,0.0008328571428571429,0.0008201298701298701,0.0008207142857142857,0.0008005645161290323,0.0008424999999999999,0.0007861344537815125,0.000804
80,0.0009159999999999999,0.0009014814814814815,0.0008341666666666667,0.0008258461538461538,0.0008813924050632913,0.00093,0.0009420967741935483,0.000880263157894737,0.0008578481012658226,0.0008849999999999999,0.0008498765432098766,0.0008967346938775511,0.0008715151515151515,0.0008806060606060606,0.0008821176470588236,0.0009099999999999999,0.0008751190476190476,0.0008531645569620251,0.0008510714285714287,0.0008840000000000001,0.0008796923076923077,0.0008680357142857143,0.0008318666666666666,0.0008576666666666666,0.0009023809523809522,0.000812,0.0007961290322580646,0.00080625,0.0008303529411764707,0.0008633870967741934,0.0008781333333333334,0.000866923076923077,0.000871923076923077,0.0008467073170731708,0.000868888888888889,0.0008823214285714286,0.000919342105263158,0.0008281818181818183,0.0008420481927710842,0.0008625,0.0008471428571428572,0.0008808510638297874,0.0008375,0.0008919999999999999,0.0008847368421052631,0.0008812631578947372,0.0008509999999999999,0.0009116666666666667,0.000915625,0.0008793103448275862,0.0009080000000000002,0.0008618181818181819,0.0008857692307692308,0.0008925000000000001,0.000872,0.0008685714285714286,0.0009,0.0009148275862068965,0.0009072727272727272,0.0008025,0.0008888172043010753,0.0008825,0.0007783333333333335,0.0009271428571428573,0.0008608333333333334,0.0008450769230769232,0.0008920000000000002,0.0008798924731182798,0.0008627777777777777,0.0008896396396396397,0.0008522222222222222,0.0009133333333333334,0.0008833333333333333,0.0008016666666666667,0.0008528571428571428,0.0008774025974025976,0.00087,0.0008550806451612903,0.0009137500000000001,0.0008198319327731092,0.0008529999999999999
90,0.0012521333333333333,0.0012485185185185184,0.00122,0.0012253846153846156,0.0012470886075949365,0.0012385714285714287,0.001229516129032258,0.001245263157894737,0.0012345569620253165,0.001251875,0.001238641975308642,0.0012438775510204081,0.0012336363636363638,0.0012396969696969698,0.0012268235294117646,0.00123625,0.0012346428571428571,0.0012282278481012658,0.001207857142857143,0.0012470666666666665,0.001253230769230769,0.0012396428571428571,0.0012353333333333333,0.0012309999999999999,0.0012453968253968253,0.0012460000000000001,0.0012075806451612903,0.0011947916666666667,0.0012277647058823531,0.0012524193548387097,0.0012262666666666665,0.0012373076923076925,0.0012436538461538462,0.0012143902439024391,0.0012316666666666665,0.0012378571428571428,0.0012396052631578952,0.0012427272727272727,0.0012218072289156626,0.0012425000000000001,0.00118,0.0012338297872340424,0.00125,0.001231,0.001226842105263158,0.0012353684210526317,0.0012180000000000003,0.001234122807017544,0.00124875,0.0012223275862068964,0.00129,0.0012372727272727273,0.0012543846153846153,0.0012124999999999998,0.0012109999999999998,0.0012246938775510206,0.0012850000000000001,0.001233448275862069,0.001250909090909091,0.0012425000000000001,0.0012325806451612903,0.001245,0.0012033333333333334,0.0012528571428571426,0.001247777777777778,0.0012247692307692307,0.0012593333333333337,0.0012592473118279567,0.0012271296296296294,0.0012278378378378376,0.0012322222222222222,0.0012516666666666666,0.0012633333333333333,0.00125,0.0012000000000000001,0.0012240259740259741,0.0012285714285714283,0.0012299193548387097,0.00125125,0.0012337815126050417,0.001219
100,0.0010165333333333334,0.0010044444444444443,0.0009883333333333335,0.0010026153846153846,0.0009955696202531648,0.0010057142857142858,0.0009925806451612903,0.001008684210526316,0.0010051898734177217,0.00101125,0.0010055555555555558,0.0010030612244897959,0.0010012121212121213,0.0010084848484848484,0.0009992941176470587,0.0010008333333333334,0.0009998809523809524,0.0009925316455696204,0.0009621428571428574,0.0010108,0.0010173846153846153,0.001010357142857143,0.0010054666666666665,0.001007,0.001005079365079365,0.001036,0.0009856451612903225,0.00098125,0.0009976470588235293,0.0010211290322580647,0.0009974666666666668,0.00101,0.0010109615384615387,0.000983170731707317,0.001005,0.00099625,0.0010010526315789472,0.0010045454545454544,0.0009950602409638553,0.00098875,0.0009657142857142858,0.0010017021276595745,0.001015,0.001008,0.0009978947368421054,0.000997684210526316,0.0009867142857142859,0.0009966666666666668,0.0010040625000000002,0.0009875862068965517,0.001022,0.0010099999999999998,0.001005692307692308,0.0009766666666666667,0.0009600000000000001,0.0009822448979591837,0.00101,0.0009986206896551726,0.00101,0.001005,0.0010039784946236556,0.0010049999999999998,0.0009816666666666667,0.0010157142857142858,0.0010072222222222223,0.001004,0.0009993333333333332,0.0010160215053763443,0.0009856481481481483,0.0009902702702702703,0.0010022222222222223,0.0010100000000000003,0.0009866666666666667,0.0010066666666666668,0.0009914285714285715,0.0009916883116883116,0.0010007142857142858,0.0009991935483870968,0.00100125,0.0009936974789915968,0.0009760000000000001
150,0.0011812,0.001135925925925926,0.0011541666666666664,0.0010895384615384615,0.0011337974683544303,0.0010957142857142858,0.0009848387096774193,0.0011871052631578947,0.0011469620253164554,0.0011075,0.0011044444444444446,0.0011555102040816327,0.001191818181818182,0.0011468181818181818,0.0010863529411764706,0.0010766666666666667,0.0010803571428571427,0.0011449367088607596,0.001169642857142857,0.0011322666666666666,0.001194,0.0011673214285714286,0.0010929333333333335,0.0010506666666666665,0.0011119047619047619,0.001316,0.0011445161290322581,0.0011435416666666666,0.0010963529411764706,0.0011579032258064515,0.0011137333333333332,0.0011165384615384616,0.0010975,0.0011089024390243901,0.0011977777777777776,0.0010269642857142858,0.0011268421052631579,0.0011527272727272727,0.0012184337349397591,0.0011524999999999999,0.0012057142857142857,0.0011599999999999998,0.0011550000000000002,0.0011710000000000002,0.001136315789473684,0.0011590526315789474,0.001179428571428571,0.00110859649122807,0.001216875,0.001151206896551724,0.001182,0.0012145454545454545,0.0011046153846153847,0.0010708333333333334,0.001107,0.0010806122448979594,0.00118,0.0010941379310344828,0.0011336363636363638,0.0010600000000000002,0.0011562365591397848,0.00116875,0.00121,0.0012271428571428572,0.0010991666666666663,0.0011733846153846152,0.001239333333333333,0.0011886021505376342,0.0011575,0.001102972972972973,0.0011466666666666667,0.0011399999999999997,0.0011633333333333333,0.0010716666666666667,0.0012242857142857142,0.001120779220779221,0.0011214285714285714,0.0011536290322580645,0.0011125,0.0011387394957983192,0.0010969999999999999
200,0.0011368000000000003,0.0011844444444444446,0.0012708333333333332,0.0011953846153846155,0.001159113924050633,0.0013757142857142857,0.001228709677419355,0.0013067105263157893,0.001071392405063291,0.00131,0.0012481481481481482,0.0013538775510204084,0.001166060606060606,0.0013440909090909091,0.0012698823529411765,0.0010708333333333334,0.0011195238095238096,0.0013245569620253166,0.0013378571428571428,0.0012650666666666666,0.0012761538461538463,0.0013612499999999998,0.001144,0.001181333333333333,0.001236190476190476,0.0013,0.0012495161290322575,0.0013910416666666665,0.0012838823529411766,0.0012743548387096776,0.0013238666666666665,0.001285,0.0011528846153846155,0.0012429268292682926,0.0014316666666666668,0.0012641071428571428,0.0012657894736842106,0.0014945454545454546,0.0013757831325301206,0.00151375,0.0013257142857142858,0.0013362765957446808,0.00143875,0.001413,0.0013368421052631578,0.0013155789473684209,0.0014761428571428573,0.001384122807017544,0.0012384375,0.0013352586206896555,0.0016099999999999999,0.001337272727272727,0.001334076923076923,0.0015125,0.001311,0.00142,0.0012799999999999999,0.0013479310344827584,0.0014118181818181818,0.0012225,0.0013890322580645163,0.00150625,0.0014016666666666667,0.0013185714285714287,0.0013380555555555557,0.0014092307692307692,0.0014086666666666666,0.0013682795698924729,0.0014325925925925925,0.0014019819819819821,0.0016411111111111114,0.0012716666666666668,0.0011266666666666667,0.001175,0.0016014285714285714,0.001497792207792208,0.0013571428571428573,0.0012966129032258068,0.001435,0.0012811764705882357,0.001389
250,0.0016308000000000002,0.0017403703703703704,0.001161666666666667,0.0020509230769230765,0.0019863291139240505,0.0019685714285714285,0.0021999999999999997,0.0020522368421052634,0.0015549367088607594,0.00170625,0.0015317283950617283,0.0021591836734693877,0.001318787878787879,0.001940757575757576,0.0018474117647058824,0.0010804166666666668,0.0016601190476190474,0.0023068354430379745,0.0019246428571428572,0.0016193333333333335,0.0019233846153846156,0.00166375,0.0017830666666666666,0.0015603333333333333,0.0015446031746031749,0.000962,0.0017979032258064519,0.002464375,0.001953411764705882,0.0019493548387096774,0.0017108000000000002,0.0014607692307692308,0.0016294230769230771,0.0022630487804878047,0.002196111111111112,0.002482857142857143,0.0024906578947368418,0.0027199999999999998,0.00295,0.0030600000000000002,0.002912857142857143,0.0031447872340425523,0.00227625,0.002954,0.0027594736842105256,0.0027350526315789467,0.0032444285714285717,0.002810526315789474,0.0030634375,0.0027478448275862076,0.0035900000000000003,0.0033327272727272724,0.0021496923076923078,0.003070833333333333,0.001713,0.0023248979591836737,0.00207,0.0022827586206896557,0.003341818181818182,0.001735,0.0024809677419354837,0.0028025,0.0031266666666666665,0.003107142857142857,0.0020419444444444443,0.0029683076923076924,0.0034033333333333333,0.0025995698924731183,0.0027364814814814817,0.0030513513513513515,0.0034111111111111113,0.002198333333333333,0.00191,0.0029999999999999996,0.002677142857142857,0.003258051948051948,0.002627142857142857,0.002245887096774193,0.00345625,0.0025255462184873953,0.002744
300,0.0011370666666666667,0.0010840740740740739,0.0006916666666666667,0.0011261538461538462,0.0009732911392405066,0.00133,0.0016901612903225803,0.0016901315789473682,0.0011822784810126585,0.001040625,0.0008598765432098764,0.002160204081632653,0.0007548484848484848,0.001198030303030303,0.0011367058823529414,0.00056375,0.0009502380952380951,0.0015653164556962023,0.0012949999999999997,0.0010349333333333334,0.0014116923076923076,0.0013960714285714286,0.0008445333333333334,0.0010126666666666667,0.0005814285714285715,0.00097,0.001169354838709677,0.0019516666666666667,0.0011874117647058824,0.0012495161290322577,0.0008837333333333336,0.0007630769230769232,0.001143269230769231,0.0016071951219512198,0.002037777777777778,0.00165125,0.0023206578947368426,0.002999090909090909,0.003748192771084338,0.004346875,0.0037514285714285714,0.003120851063829787,0.00205875,0.003578,0.002344736842105263,0.002757684210526316,0.0035781428571428566,0.0025847368421052634,0.0034700000000000004,0.0026734482758620686,0.003358,0.005151818181818182,0.001954,0.0034783333333333333,0.0022709999999999996,0.0021877551020408163,0.001975,0.0018465517241379311,0.003757272727272727,0.0028150000000000002,0.002204301075268817,0.0027500000000000003,0.004026666666666667,0.003909999999999999,0.0016444444444444445,0.003658769230769231,0.003338,0.0026934408602150538,0.0030517592592592593,0.003196306306306306,0.0035311111111111107,0.0022216666666666665,0.0019633333333333334,0.00311,0.0034685714285714285,0.003673246753246754,0.0027949999999999997,0.0018175806451612903,0.0048962499999999996,0.002940504201680672,0.0032729999999999994
