Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
50,8.76e-05,8.222222222222223e-05,9.250000000000003e-05,9.415384615384615e-05,8.911392405063291e-05,9.142857142857143e-05,7.951612903225805e-05,8.539473684210526e-05,8.835443037974683e-05,8.562500000000001e-05,9.024691358024691e-05,8.367346938775511e-05,9.03030303030303e-05,8.954545454545454e-05,8.83529411764706e-05,8.333333333333333e-05,8.750000000000001e-05,9.316455696202532e-05,8.678571428571433e-05,8.893333333333333e-05,9.061538461538462e-05,9e-05,9.6e-05,9.033333333333332e-05,8.730158730158731e-05,9.8e-05,9.451612903225808e-05,9.000000000000002e-05,8.976470588235295e-05,8.983870967741936e-05,8.866666666666666e-05,8.576923076923079e-05,9.903846153846154e-05,8.329268292682927e-05,8.833333333333333e-05,8.803571428571428e-05,8.539473684210526e-05,9.454545454545456e-05,9.289156626506024e-05,8.875e-05,9e-05,8.893617021276595e-05,8.875e-05,9.300000000000001e-05,8.578947368421052e-05,8.684210526315788e-05,8.642857142857145e-05,8.701754385964913e-05,8.65625e-05,9.03448275862069e-05,0.000108,8.636363636363637e-05,8.892307692307693e-05,9.416666666666667e-05,9.9e-05,8.857142857142858e-05,0.0001,8.482758620689656e-05,9e-05,8.75e-05,8.193548387096776e-05,9.5e-05,9.833333333333334e-05,8.857142857142859e-05,9.694444444444444e-05,9.276923076923078e-05,9e-05,8.827956989247312e-05,8.944444444444444e-05,8.963963963963966e-05,9.444444444444446e-05,8.833333333333334e-05,9.666666666666667e-05,8.833333333333333e-05,8.714285714285714e-05,8.792207792207793e-05,9.357142857142858e-05,9.120967741935484e-05,7.500000000000001e-05,8.974789915966386e-05,8.8e-05
60,0.00022253333333333337,0.00022111111111111113,0.00021666666666666668,0.00021630769230769232,0.0002200000000000001,0.00022142857142857142,0.0002240322580645161,0.00021842105263157895,0.00021898734177215183,0.000216875,0.0002107407407407408,0.00022204081632653063,0.00022363636363636365,0.00021393939393939398,0.00022164705882352944,0.00022583333333333334,0.00021488095238095234,0.0002184810126582279,0.00022571428571428571,0.00021679999999999996,0.0002196923076923077,0.00022089285714285716,0.00021386666666666664,0.00022833333333333334,0.00021825396825396823,0.00022400000000000002,0.00021838709677419354,0.00022125,0.0002141176470588236,0.0002074193548387097,0.0002290666666666667,0.00020961538461538464,0.0002178846153846154,0.0002184146341463415,0.00023111111111111108,0.0002180357142857143,0.00022513157894736848,0.00021,0.0002186746987951807,0.0002175,0.00022857142857142854,0.00022212765957446812,0.00019375000000000002,0.000216,0.00021263157894736844,0.00021631578947368423,0.00021742857142857143,0.00022438596491228076,0.00022687500000000003,0.0002186206896551725,0.00022200000000000003,0.00021000000000000004,0.00020530769230769233,0.00022666666666666668,0.00022300000000000003,0.0002206122448979592,0.00021500000000000002,0.00021275862068965515,0.00021272727272727274,0.0002175,0.00021322580645161292,0.00021875,0.00022833333333333332,0.00023142857142857142,0.0002011111111111111,0.00021461538461538463,0.0002093333333333334,0.0002061290322580645,0.0002075925925925926,0.00021774774774774782,0.00021444444444444446,0.0002066666666666667,0.00020333333333333336,0.00021166666666666664,0.00023285714285714286,0.00021493506493506492,0.00021285714285714286,0.00021435483870967743,0.0002075,0.00020436974789915968,0.000218
70,0.0002513333333333334,0.0002596296296296296,0.00022500000000000002,0.0002443076923076923,0.00023911392405063289,0.00023285714285714286,0.00024951612903225805,0.00024328947368421053,0.0002453164556962026,0.00023625,0.00023061728395061727,0.00023999999999999998,0.0002539393939393939,0.00023954545454545455,0.00024529411764705883,0.00025333333333333333,0.0002369047619047619,0.00024164556962025311,0.00025142857142857145,0.00023973333333333332,0.00024723076923076917,0.00024285714285714289,0.00023439999999999998,0.0002566666666666667,0.0002296825396825397,0.000212,0.00023499999999999997,0.00023812499999999997,0.0002398823529411765,0.00022483870967741936,0.0002476,0.00022153846153846155,0.00023442307692307695,0.0002395121951219512,0.0002494444444444445,0.00022839285714285716,0.00025144736842105264,0.00023090909090909092,0.00023409638554216866,0.000230625,0.00023714285714285715,0.00024138297872340427,0.000215,0.00024099999999999998,0.00024105263157894735,0.0002453684210526316,0.00023628571428571432,0.0002386842105263158,0.0002575,0.00023853448275862072,0.00024800000000000007,0.00024181818181818183,0.00021846153846153847,0.0002441666666666667,0.00022800000000000004,0.00024571428571428574,0.00023,0.00023275862068965523,0.00023090909090909097,0.0002275,0.0002350537634408602,0.00024,0.000255,0.0002557142857142857,0.0002111111111111111,0.00023430769230769233,0.00023533333333333335,0.00021946236559139786,0.0002341666666666667,0.00024333333333333336,0.0002544444444444445,0.00022666666666666668,0.00021666666666666668,0.000245,0.00023428571428571427,0.0002375324675324676,0.00022928571428571437,0.0002346774193548387,0.00024875,0.00022663865546218492,0.00023600000000000002
80,0.00029759999999999997,0.0002988888888888889,0.00027666666666666665,0.0002896923076923077,0.00029126582278481014,0.00027714285714285715,0.00027661290322580646,0.0002901315789473684,0.0003008860759493671,0.000293125,0.00029444444444444445,0.0002861224489795919,0.00030454545454545453,0.0002906060606060606,0.0002787058823529411,0.0002925,0.0002826190476190476,0.0002892405063291139,0.00029,0.00029386666666666664,0.000303076923076923,0.0003007142857142857,0.0002756,0.00029133333333333333,0.000284920634920635,0.000268,0.0002693548387096774,0.0002875,0.0002956470588235294,0.0002924193548387096,0.0002896,0.00029384615384615387,0.000289423076923077,0.00028317073170731704,0.0002794444444444444,0.0002735714285714285,0.0002838157894736842,0.00028272727272727266,0.0002840963855421686,0.000276875,0.00027428571428571427,0.0002814893617021276,0.00030000000000000003,0.000296,0.00027894736842105266,0.0002922105263157895,0.00027885714285714287,0.0002693859649122807,0.0002984375,0.00028482758620689653,0.000296,0.00029545454545454547,0.0002914615384615384,0.00027083333333333327,0.000269,0.00028102040816326533,0.000265,0.00027724137931034486,0.0002836363636363636,0.000285,0.0002762365591397849,0.00027499999999999996,0.00029166666666666664,0.0002971428571428571,0.0002738888888888889,0.0002810769230769231,0.00029133333333333333,0.00028698924731182794,0.0002881481481481481,0.0002784684684684684,0.0002888888888888888,0.00027833333333333334,0.00029666666666666665,0.00029833333333333334,0.00026285714285714286,0.00028805194805194803,0.0002885714285714285,0.00028911290322580644,0.00029624999999999996,0.0002921008403361345,0.00028400000000000007
90,0.0003854666666666667,0.00037481481481481486,0.00038166666666666666,0.0003743076923076923,0.00037746835443037974,0.00034142857142857146,0.0003390322580645161,0.0003780263157894737,0.0003939240506329114,0.000388125,0.0003902469135802469,0.000369795918367347,0.000403030303030303,0.0003736363636363636,0.00035858823529411765,0.00036833333333333336,0.00036535714285714286,0.000389873417721519,0.0003760714285714286,0.00038573333333333335,0.0003913846153846154,0.00039321428571428575,0.0003748,0.0003743333333333334,0.00037,0.000364,0.00037870967741935485,0.00038291666666666666,0.00039,0.00038806451612903223,0.00037040000000000006,0.00039000000000000005,0.00036942307692307687,0.00037134146341463416,0.00036500000000000004,0.00035946428571428577,0.00035039473684210525,0.00039181818181818187,0.00038626506024096386,0.000375625,0.00035,0.00036595744680851063,0.00040500000000000003,0.000383,0.0003647368421052632,0.0003706315789473684,0.0003758571428571429,0.00034157894736842106,0.00038,0.0003680172413793103,0.000378,0.00037,0.0003787692307692308,0.00034,0.000343,0.00036061224489795923,0.000355,0.0003465517241379311,0.00036636363636363635,0.000375,0.0003586021505376344,0.0003525,0.00038666666666666667,0.00038285714285714285,0.0003694444444444445,0.000372,0.00037133333333333327,0.0003829032258064516,0.0003855555555555556,0.00035423423423423426,0.00038555555555555554,0.00036166666666666666,0.0004133333333333333,0.00038666666666666667,0.0003385714285714286,0.0003681818181818182,0.00036428571428571423,0.00038274193548387095,0.00036500000000000004,0.0003884873949579833,0.00037299999999999996
100,0.0003745333333333334,0.00036888888888888887,0.00037500000000000006,0.00036276923076923075,0.0003670886075949367,0.00033142857142857144,0.00033306451612903225,0.0003657894736842105,0.00038025316455696207,0.00037125000000000005,0.000377283950617284,0.00036020408163265304,0.0003884848484848485,0.00036499999999999993,0.0003482352941176471,0.00035833333333333333,0.0003516666666666667,0.0003760759493670886,0.0003592857142857143,0.0003714666666666667,0.0003786153846153847,0.00037803571428571427,0.0003634666666666667,0.00036066666666666674,0.00036412698412698416,0.000352,0.0003683870967741936,0.0003764583333333333,0.0003752941176470589,0.0003793548387096775,0.00036173333333333336,0.00037884615384615387,0.0003644230769230769,0.0003613414634146342,0.0003522222222222223,0.00034857142857142856,0.0003446052631578948,0.0003836363636363636,0.0003778313253012049,0.000369375,0.00035,0.00035765957446808516,0.00039,0.00036899999999999997,0.00035842105263157893,0.0003616842105263158,0.0003657142857142857,0.00034078947368421054,0.0003721875,0.00036017241379310353,0.000378,0.00036272727272727276,0.00037015384615384623,0.0003333333333333333,0.000345,0.0003514285714285715,0.000355,0.00034241379310344833,0.0003509090909090909,0.0003475,0.00035010752688172044,0.00035125,0.0003716666666666667,0.00036571428571428573,0.00036555555555555554,0.0003613846153846154,0.00037400000000000004,0.0003762365591397849,0.00038194444444444446,0.000347027027027027,0.0003777777777777778,0.00035166666666666663,0.0003766666666666667,0.00037499999999999995,0.00033999999999999997,0.00035597402597402605,0.00035785714285714284,0.000372258064516129,0.00035749999999999996,0.0003782352941176471,0.000363
150,0.0005516,0.0005211111111111112,0.0006000000000000001,0.0005576923076923078,0.0005773417721518987,0.0005428571428571429,0.0004945161290322582,0.0005753947368421054,0.0006048101265822786,0.00058875,0.0006133333333333334,0.0005799999999999999,0.0005757575757575757,0.00057,0.0005724705882352942,0.0005795833333333333,0.000586547619047619,0.0005482278481012657,0.0005646428571428571,0.0006124,0.0005338461538461538,0.0005803571428571429,0.0005833333333333335,0.0006136666666666667,0.000588095238095238,0.0005020000000000001,0.0005830645161290322,0.0005766666666666666,0.0006042352941176472,0.0005559677419354838,0.0005897333333333334,0.0005842307692307693,0.000605576923076923,0.0005795121951219512,0.0005855555555555556,0.0006110714285714286,0.0005248684210526315,0.0005700000000000001,0.0005356626506024094,0.0005493750000000001,0.0005471428571428572,0.0005298936170212766,0.00066,0.0005,0.00054,0.0005064210526315791,0.0005494285714285717,0.0005559649122807018,0.0005240625,0.0005439655172413794,0.0005459999999999999,0.00045272727272727267,0.0005530769230769232,0.00054,0.0005499999999999999,0.0005638775510204082,0.0005250000000000001,0.0005803448275862069,0.0004799999999999999,0.00051,0.0005663440860215054,0.0006212500000000001,0.0005383333333333333,0.0004971428571428571,0.0006136111111111111,0.0005784615384615385,0.0005819999999999998,0.0005505376344086021,0.0005762037037037037,0.0005718918918918919,0.0006744444444444445,0.00051,0.00053,0.0005733333333333334,0.0005085714285714285,0.0005176623376623377,0.00055,0.0005818548387096775,0.000455,0.0005963025210084034,0.0005759999999999999
200,0.0004423999999999999,0.00041444444444444444,0.0006566666666666666,0.0006349230769230769,0.0005983544303797469,0.0008342857142857144,0.000518225806451613,0.0005431578947368422,0.0004973417721518987,0.00060375,0.0005053086419753086,0.0005573469387755101,0.00046909090909090913,0.0005778787878787879,0.0005728235294117647,0.0004516666666666667,0.0006063095238095237,0.0005462025316455697,0.0006085714285714287,0.0005299999999999999,0.0004992307692307692,0.0005794642857142857,0.0005042666666666667,0.000639,0.0005919047619047618,0.000366,0.000495,0.0006502083333333334,0.0006335294117647059,0.0004875806451612903,0.0005662666666666668,0.0006361538461538461,0.0006648076923076922,0.0006095121951219512,0.0005955555555555556,0.0008010714285714286,0.0004727631578947369,0.000729090909090909,0.0005160240963855421,0.0006468750000000001,0.0005142857142857143,0.0005989361702127659,0.00061125,0.0006329999999999999,0.0005763157894736842,0.0004687368421052632,0.0005487142857142858,0.0006918421052631578,0.00036562499999999996,0.0005844827586206897,0.0006399999999999999,0.00033999999999999997,0.0006507692307692307,0.00059,0.000581,0.0006775510204081634,0.0006850000000000001,0.0006110344827586207,0.0004945454545454545,0.00058,0.0007335483870967742,0.0005937499999999999,0.0005866666666666667,0.00039,0.0006227777777777778,0.0006739999999999999,0.0006473333333333333,0.0006544086021505376,0.0007787037037037038,0.0006510810810810812,0.0007700000000000001,0.0005083333333333334,0.00035666666666666664,0.0006133333333333334,0.0006571428571428572,0.0006902597402597403,0.0006392857142857144,0.0006169354838709678,0.0005237499999999999,0.0007026050420168066,0.000546
250,0.0004978666666666667,0.00045703703703703705,0.0004383333333333333,0.0006896923076923077,0.0006713924050632911,0.000952857142857143,0.000685967741935484,0.0006352631578947368,0.0006483544303797468,0.0005974999999999999,0.0004159259259259259,0.0005828571428571428,0.00045333333333333337,0.0005621212121212121,0.0006848235294117646,0.00046833333333333335,0.0007116666666666667,0.0007305063291139241,0.0005539285714285714,0.0005936,0.000518923076923077,0.0005985714285714286,0.0005246666666666668,0.0006776666666666666,0.0004995238095238095,0.00022600000000000002,0.0005493548387096775,0.0008210416666666666,0.0006448235294117646,0.0004008064516129033,0.0005613333333333334,0.0004146153846153847,0.0005859615384615385,0.0008647560975609754,0.0006605555555555555,0.00101625,0.0005461842105263159,0.000759090909090909,0.0006115662650602409,0.0007825,0.0006399999999999999,0.0008757446808510641,0.000625,0.000732,0.0007989473684210527,0.0005625263157894738,0.0007729999999999999,0.0009697368421052631,0.00043125,0.0007613793103448276,0.0008439999999999999,0.00034727272727272726,0.0006873846153846154,0.0008474999999999998,0.000604,0.0007746938775510206,0.00046,0.0006799999999999999,0.0006636363636363636,0.000575,0.0010868817204301073,0.00067125,0.000735,0.00054,0.0006136111111111112,0.0008467692307692308,0.0008886666666666666,0.0007381720430107527,0.0010935185185185184,0.0009370270270270268,0.00095,0.0004583333333333333,0.0004,0.0006733333333333334,0.0006257142857142859,0.00096974025974026,0.0009828571428571427,0.0007604838709677419,0.00062125,0.0007905042016806722,0.000612
300,0.0004312000000000001,0.0002933333333333333,0.0005591666666666667,0.0004158461538461538,0.00036746835443037966,0.0009871428571428572,0.0005543548387096776,0.0007876315789473684,0.0005124050632911392,0.0004125,0.0001948148148148148,0.0010644897959183673,0.00026393939393939395,0.0004413636363636364,0.0004517647058823529,0.000285,0.00046261904761904754,0.0007853164556962025,0.0004925,0.0005341333333333333,0.00044107692307692305,0.00073,0.0003092,0.000533,0.00021666666666666668,0.00023999999999999998,0.0005408064516129033,0.0012902083333333333,0.0006512941176470588,0.00026435483870967746,0.0003852,0.0003980769230769231,0.0004025,0.0008979268292682927,0.0006916666666666667,0.0011096428571428572,0.0005451315789473685,0.0012454545454545455,0.0008,0.0015643749999999998,0.0008299999999999999,0.0010763829787234045,0.001415,0.001592,0.0010421052631578945,0.0006782105263157893,0.0010651428571428574,0.0014042105263157895,0.0008365625000000001,0.0009723275862068967,0.000906,0.0007136363636363638,0.0008326923076923077,0.0012674999999999997,0.000987,0.0009746938775510205,0.00037,0.0008703448275862068,0.0012845454545454544,0.0010299999999999999,0.0013621505376344083,0.00068875,0.0010383333333333332,0.001552857142857143,0.0004180555555555556,0.0012843076923076922,0.0011373333333333333,0.0009240860215053762,0.0017563888888888891,0.0010125225225225225,0.001478888888888889,0.00044166666666666665,0.00043666666666666664,0.0008900000000000002,0.0008742857142857144,0.0021603896103896104,0.0015064285714285715,0.0007670161290322581,0.001145,0.0012520168067226892,0.000727
