Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
50,7.066666666666666e-05,6.851851851851851e-05,6.75e-05,6.599999999999999e-05,6.772151898734177e-05,7.428571428571427e-05,6.967741935483871e-05,6.907894736842105e-05,7.037974683544304e-05,7e-05,6.580246913580246e-05,6.959183673469387e-05,7.151515151515152e-05,6.969696969696969e-05,7.047058823529413e-05,7.208333333333333e-05,6.773809523809524e-05,6.734177215189873e-05,7.214285714285714e-05,6.893333333333333e-05,6.784615384615385e-05,6.892857142857143e-05,6.879999999999998e-05,7.000000000000001e-05,6.650793650793651e-05,6.8e-05,7.11290322580645e-05,6.625e-05,6.552941176470587e-05,6.354838709677419e-05,7.013333333333333e-05,6.692307692307691e-05,6.980769230769233e-05,6.670731707317072e-05,7.166666666666666e-05,6.874999999999999e-05,7.144736842105263e-05,7e-05,6.80722891566265e-05,6.6875e-05,7.142857142857142e-05,6.999999999999998e-05,5.374999999999999e-05,7.1e-05,7.105263157894735e-05,7.126315789473683e-05,6.957142857142858e-05,7.087719298245613e-05,7.15625e-05,6.741379310344829e-05,7e-05,6.90909090909091e-05,6.238461538461538e-05,7.25e-05,7.099999999999999e-05,7e-05,6.5e-05,6.793103448275862e-05,7.090909090909089e-05,7e-05,6.946236559139783e-05,6.874999999999999e-05,7.000000000000001e-05,7.428571428571427e-05,6.583333333333335e-05,6.707692307692308e-05,6.4e-05,6.49462365591398e-05,6.777777777777777e-05,7.063063063063061e-05,7e-05,6.666666666666666e-05,6.666666666666666e-05,6.333333333333333e-05,6.857142857142857e-05,6.87012987012987e-05,6.857142857142857e-05,6.862903225806453e-05,7e-05,6.470588235294118e-05,6.9e-05
60,0.0002112,0.00021333333333333336,0.0001791666666666667,0.00018092307692307692,0.0001956962025316456,0.00020428571428571433,0.00022435483870967738,0.00020460526315789476,0.00019835443037974685,0.00019375000000000002,0.00018135802469135802,0.00020448979591836737,0.00020757575757575757,0.00019590909090909088,0.00020176470588235292,0.00021291666666666667,0.00019297619047619052,0.0001912658227848101,0.00020928571428571423,0.0001978666666666667,0.00019184615384615385,0.00019660714285714285,0.0001772,0.00020099999999999998,0.0001893650793650794,0.000182,0.00019032258064516122,0.00018229166666666667,0.00018576470588235291,0.00017790322580645156,0.0002012,0.00018423076923076924,0.00018096153846153845,0.00019073170731707319,0.00021944444444444447,0.00018625,0.00021302631578947368,0.0001872727272727273,0.00018554216867469882,0.000189375,0.00019571428571428574,0.00019872340425531912,0.0001625,0.00019500000000000002,0.0002063157894736842,0.00020326315789473686,0.00019728571428571432,0.00020140350877192984,0.000218125,0.00019172413793103448,0.000172,0.00019636363636363636,0.0001717692307692308,0.00020833333333333335,0.000179,0.0002008163265306122,0.00015000000000000001,0.00019517241379310345,0.00019636363636363636,0.0001875,0.00021129032258064513,0.00020375000000000002,0.00018,0.0002228571428571429,0.00016916666666666664,0.00018384615384615385,0.00018066666666666668,0.00017580645161290327,0.00018296296296296295,0.0001991891891891892,0.00019333333333333333,0.000175,0.00017333333333333336,0.00016666666666666666,0.00019857142857142857,0.00019051948051948054,0.00018571428571428574,0.00018516129032258066,0.0002175,0.00017462184873949583,0.000195
70,0.0003350666666666667,0.000332962962962963,0.0003066666666666666,0.0003086153846153846,0.0003210126582278481,0.0003128571428571429,0.00034532258064516125,0.00033052631578947366,0.0003232911392405063,0.000319375,0.0003037037037037037,0.0003344897959183674,0.0003357575757575758,0.0003218181818181818,0.0003352941176470589,0.0003308333333333333,0.00032500000000000004,0.0003240506329113924,0.0003503571428571428,0.00032560000000000005,0.00032138461538461536,0.00031625,0.00031840000000000004,0.00032666666666666673,0.00031619047619047615,0.00030399999999999996,0.0003156451612903226,0.00030520833333333333,0.0003097647058823529,0.0003061290322580645,0.0003257333333333334,0.00030115384615384607,0.00030903846153846156,0.0003086585365853659,0.00034611111111111106,0.0003144642857142857,0.00033500000000000007,0.0003309090909090909,0.0003110843373493976,0.00031625,0.0003242857142857143,0.00031946808510638293,0.000295,0.00033600000000000004,0.0003347368421052632,0.0003153684210526316,0.0003268571428571429,0.00033280701754385966,0.0003315625,0.000313103448275862,0.00031999999999999997,0.00032545454545454544,0.0002909999999999999,0.00033750000000000007,0.00030499999999999993,0.0003261224489795919,0.000295,0.00031379310344827575,0.00030727272727272727,0.000325,0.0003367741935483871,0.00032875,0.00031999999999999997,0.00034142857142857146,0.00028416666666666667,0.0003147692307692308,0.0002873333333333333,0.00029301075268817206,0.0003066666666666667,0.0003165765765765766,0.0003311111111111111,0.000305,0.0002633333333333333,0.00029833333333333334,0.00032285714285714285,0.00031688311688311696,0.0003164285714285714,0.0003106451612903226,0.000335,0.0002960504201680673,0.00034599999999999995
80,0.00024453333333333333,0.00024481481481481484,0.00023999999999999998,0.00024030769230769234,0.000239873417721519,0.00023999999999999998,0.0002414516129032258,0.00024842105263157897,0.00024265822784810131,0.000236875,0.0002377777777777778,0.00024693877551020405,0.0002478787878787878,0.0002468181818181818,0.0002503529411764706,0.0002441666666666667,0.0002445238095238095,0.00024974683544303796,0.00024678571428571425,0.00024813333333333337,0.0002470769230769231,0.00024392857142857143,0.00024533333333333335,0.000248,0.00023634920634920637,0.00025,0.00023758064516129032,0.00023666666666666668,0.00024047058823529417,0.0002459677419354839,0.0002450666666666667,0.00023576923076923078,0.00024326923076923074,0.00024182926829268293,0.0002533333333333334,0.00023714285714285715,0.00024065789473684215,0.0002490909090909091,0.00024216867469879517,0.00024249999999999999,0.0002328571428571429,0.0002426595744680851,0.0002475,0.00024500000000000005,0.00025578947368421054,0.00023768421052631586,0.00024100000000000003,0.00024350877192982459,0.00024312500000000001,0.00023818965517241383,0.000246,0.00024090909090909086,0.00023669230769230768,0.0002391666666666667,0.00022300000000000003,0.00024040816326530612,0.00024,0.0002417241379310345,0.0002381818181818182,0.000255,0.0002488172043010753,0.00025124999999999995,0.00024333333333333333,0.0002557142857142857,0.00023583333333333336,0.00024292307692307696,0.00023533333333333335,0.0002413978494623656,0.00023944444444444444,0.000237927927927928,0.0002511111111111111,0.00024,0.00022333333333333333,0.00023166666666666667,0.0002357142857142857,0.00024233766233766238,0.00024285714285714289,0.00024403225806451614,0.00023625000000000002,0.000235546218487395,0.00024200000000000003
90,0.00014693333333333332,0.0001477777777777778,0.0001408333333333333,0.0001473846153846154,0.00014455696202531648,0.00015285714285714287,0.0001479032258064516,0.0001490789473684211,0.00014759493670886078,0.00014125,0.00014209876543209876,0.00014816326530612246,0.00014424242424242425,0.0001481818181818182,0.0001503529411764706,0.00014958333333333333,0.0001466666666666667,0.00014873417721518993,0.00014535714285714287,0.00014746666666666666,0.00014661538461538463,0.00014785714285714285,0.00014653333333333334,0.00015033333333333335,0.00014063492063492064,0.00015,0.00014403225806451615,0.0001439583333333333,0.00014305882352941174,0.00014467741935483873,0.00014920000000000002,0.00014115384615384616,0.0001475,0.0001475609756097561,0.0001522222222222222,0.00014,0.00014407894736842106,0.00014727272727272725,0.0001463855421686747,0.00014125,0.00014428571428571425,0.00014712765957446806,0.00013874999999999998,0.000144,0.00015000000000000001,0.0001449473684210526,0.00014171428571428573,0.00014763157894736844,0.0001465625,0.00014560344827586208,0.00014399999999999998,0.00014090909090909087,0.00013892307692307693,0.00014416666666666666,0.00013799999999999997,0.00014489795918367347,0.00015,0.00014379310344827585,0.00014636363636363634,0.00014499999999999997,0.00014860215053763437,0.00014875,0.00015166666666666668,0.00015142857142857143,0.00014138888888888892,0.00014584615384615382,0.00014733333333333333,0.00014075268817204302,0.00014148148148148144,0.00014864864864864869,0.00014666666666666666,0.00014,0.0001333333333333333,0.00014,0.00014285714285714287,0.00014753246753246757,0.00014928571428571427,0.00014411290322580646,0.00014625,0.00013932773109243696,0.00014099999999999998
100,0.00015173333333333335,0.0001522222222222222,0.0001408333333333333,0.00015246153846153844,0.0001467088607594937,0.00016857142857142857,0.0001583870967741936,0.00015328947368421056,0.0001510126582278481,0.00014875,0.0001425925925925926,0.0001483673469387755,0.00014181818181818178,0.00015363636363636363,0.00015682352941176472,0.00015875,0.00014928571428571427,0.0001478481012658228,0.00014857142857142855,0.00015293333333333336,0.0001510769230769231,0.0001539285714285714,0.00014706666666666667,0.00015400000000000003,0.00014539682539682538,0.000154,0.00014693548387096774,0.00014583333333333332,0.00014705882352941175,0.00014403225806451617,0.00015386666666666665,0.0001453846153846154,0.00014923076923076923,0.0001518292682926829,0.00015888888888888886,0.00014035714285714283,0.0001518421052631579,0.00014272727272727272,0.00014301204819277107,0.000133125,0.00015142857142857143,0.0001521276595744681,0.00013874999999999998,0.00015,0.00015421052631578946,0.00014968421052631583,0.0001425714285714286,0.00015263157894736842,0.0001528125,0.000148448275862069,0.00015000000000000001,0.00014727272727272725,0.00013776923076923075,0.00015916666666666667,0.00013799999999999997,0.00014775510204081635,0.000155,0.00014862068965517243,0.00015636363636363637,0.00015250000000000002,0.0001518279569892473,0.00015249999999999997,0.00014166666666666665,0.00015714285714285716,0.00013944444444444448,0.0001453846153846154,0.00014533333333333333,0.00013838709677419357,0.00013944444444444442,0.00015081081081081083,0.0001477777777777778,0.0001433333333333333,0.00012666666666666666,0.00013666666666666664,0.00015142857142857143,0.00015454545454545452,0.00015857142857142857,0.00014217741935483867,0.00014625,0.00013873949579831934,0.00013799999999999997
150,0.00026493333333333334,0.0002851851851851852,0.0001891666666666667,0.00024507692307692305,0.00025708860759493675,0.0003342857142857143,0.0003398387096774194,0.00026026315789473683,0.00023936708860759488,0.000261875,0.00020641975308641978,0.0002593877551020409,0.0002363636363636364,0.00026545454545454545,0.00028341176470588234,0.00028000000000000003,0.00024321428571428568,0.0002641772151898735,0.0002585714285714286,0.00025213333333333335,0.00028800000000000006,0.00026089285714285716,0.00023613333333333334,0.0002233333333333333,0.00024428571428571435,0.00024800000000000007,0.0002485483870967742,0.00024979166666666666,0.0002392941176470588,0.00022935483870967747,0.0002541333333333334,0.00024038461538461537,0.00022769230769230768,0.00026317073170731704,0.000255,0.00021410714285714287,0.00030447368421052627,0.00021454545454545457,0.0002448192771084338,0.00020062499999999998,0.00027142857142857144,0.00029595744680851067,0.000195,0.000269,0.00029684210526315796,0.00030147368421052636,0.00024685714285714285,0.000276140350877193,0.00031062500000000003,0.00025836206896551726,0.00024400000000000002,0.00032272727272727276,0.00020476923076923076,0.0003,0.000218,0.00026959183673469386,0.000295,0.0002575862068965518,0.0003118181818181818,0.00024,0.0002526881720430108,0.00021,0.00023166666666666661,0.00033714285714285714,0.00020833333333333335,0.00024799999999999996,0.00024133333333333334,0.0002062365591397849,0.00022083333333333335,0.00026063063063063065,0.00021111111111111113,0.000275,0.00022333333333333333,0.00022500000000000002,0.00029,0.00028688311688311683,0.00028857142857142856,0.00023266129032258067,0.0003025,0.00021504201680672274,0.00020400000000000003
200,0.0004678666666666667,0.0005385185185185185,0.00018333333333333334,0.0005320000000000001,0.000520886075949367,0.00046285714285714284,0.000802258064516129,0.0004592105263157894,0.00042291139240506324,0.00038750000000000004,0.000314320987654321,0.000413265306122449,0.0003796969696969697,0.0004345454545454545,0.0005056470588235295,0.00044875,0.00047726190476190476,0.0005841772151898736,0.0003450000000000001,0.00042199999999999996,0.00045138461538461543,0.0004955357142857143,0.00045799999999999997,0.00038766666666666664,0.00032603174603174605,0.000386,0.0003920967741935484,0.000420625,0.00047200000000000003,0.00034693548387096775,0.0003650666666666667,0.00025615384615384617,0.0003707692307692307,0.0005551219512195122,0.00048388888888888884,0.0003578571428571429,0.000508421052631579,0.0003981818181818182,0.00039566265060240964,0.0002675,0.0003342857142857142,0.000592872340425532,0.000455,0.000337,0.0006089473684210527,0.0005231578947368421,0.0005667142857142856,0.0004185964912280702,0.0005343749999999999,0.0004791379310344827,0.000462,0.00045090909090909084,0.00028746153846153846,0.0004475,0.00033,0.0003406122448979592,0.000345,0.0003393103448275862,0.0004972727272727273,0.000225,0.0004198924731182795,0.00033874999999999997,0.00044833333333333335,0.0005328571428571429,0.00033611111111111114,0.0003656923076923077,0.0003826666666666666,0.0003148387096774194,0.0003156481481481481,0.0005616216216216216,0.00038444444444444447,0.0003366666666666667,0.00037666666666666664,0.00031833333333333334,0.00033714285714285714,0.00048558441558441557,0.0006357142857142858,0.0003693548387096774,0.00042625,0.0002887394957983194,0.00025800000000000004
250,0.0006356,0.0007792592592592594,0.00015000000000000001,0.0008644615384615384,0.000750506329113924,0.0006185714285714285,0.0014453225806451613,0.0006057894736842105,0.0006555696202531646,0.00036375000000000003,0.00024580246913580246,0.00036020408163265304,0.00033424242424242423,0.0004389393939393939,0.000753764705882353,0.00044500000000000003,0.0006483333333333332,0.0009172151898734179,0.00032142857142857147,0.0004613333333333334,0.00044553846153846157,0.0005489285714285714,0.0005186666666666665,0.0006119999999999999,0.00030619047619047623,0.000124,0.00039435483870967747,0.0005639583333333333,0.0005444705882352942,0.0002616129032258064,0.00033759999999999997,0.00013076923076923077,0.00040557692307692305,0.0009735365853658537,0.0008577777777777778,0.0006516071428571428,0.0006450000000000001,0.0005536363636363637,0.0005175903614457832,0.00028812499999999997,0.00030857142857142856,0.0012807446808510638,0.00047750000000000006,0.000375,0.0010873684210526314,0.0008045263157894738,0.0009294285714285715,0.000746842105263158,0.0005603125,0.0008407758620689656,0.001086,0.0003418181818181818,0.0003213076923076923,0.0006633333333333334,0.00033199999999999994,0.0004281632653061224,0.00039999999999999996,0.00037793103448275863,0.0006663636363636364,0.00017,0.0010036559139784947,0.00060125,0.00044500000000000003,0.00054,0.00036305555555555554,0.0005886153846153847,0.0006539999999999999,0.0003763440860215055,0.0004717592592592593,0.001270990990990991,0.0005422222222222223,0.00032,0.00034,0.0004583333333333333,0.0003528571428571429,0.0007728571428571428,0.001007142857142857,0.0005687903225806453,0.0005187500000000001,0.0003335294117647058,0.00030000000000000003
300,0.0006476,0.0005133333333333334,7.75e-05,0.000688,0.00047531645569620255,0.0004414285714285715,0.0014533870967741937,0.0006414473684210526,0.0006931645569620253,0.00018125000000000001,0.00014024691358024692,0.0004636734693877551,0.00012666666666666666,0.00036090909090909093,0.0005167058823529412,0.00014666666666666666,0.00037333333333333343,0.0008581012658227849,0.00016464285714285713,0.00028813333333333336,0.00037461538461538464,0.0004551785714285714,0.00030253333333333333,0.00040800000000000005,0.0001034920634920635,0.00012200000000000001,0.00029516129032258065,0.00056375,0.00042611764705882346,0.00017467741935483873,0.00021746666666666665,0.0001123076923076923,0.00029788461538461533,0.0008165853658536584,0.0008605555555555556,0.0005480357142857142,0.0009059210526315791,0.0006309090909090909,0.0008937349397590361,0.00046,0.0005585714285714286,0.001932127659574468,0.00038625,0.00045000000000000004,0.0016936842105263158,0.0013430526315789475,0.0015718571428571424,0.0009221929824561404,0.0010881250000000001,0.000982758620689655,0.00131,0.0008472727272727273,0.00025746153846153844,0.00097,0.000704,0.00046734693877551023,0.00042,0.00045310344827586207,0.0015199999999999999,0.000335,0.0010963440860215054,0.00133375,0.0007233333333333333,0.0013271428571428572,0.0002955555555555555,0.0008780000000000001,0.0006940000000000001,0.00047505376344086025,0.00047203703703703703,0.0019402702702702704,0.0008155555555555556,0.0002683333333333333,0.0005033333333333334,0.00077,0.0004071428571428572,0.0012968831168831169,0.0010792857142857145,0.0006308870967741935,0.0009499999999999999,0.00034764705882352946,0.00041200000000000004
