Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
50,5.013333333333335e-05,5.074074074074074e-05,5e-05,5.092307692307694e-05,5.037974683544305e-05,5.000000000000001e-05,5.048387096774196e-05,5.013157894736844e-05,5.025316455696204e-05,5.0625e-05,5.0987654320987656e-05,5.000000000000001e-05,5e-05,5.060606060606062e-05,5.0352941176470576e-05,5.0416666666666675e-05,5.035714285714285e-05,5.08860759493671e-05,4.999999999999999e-05,5.066666666666668e-05,5.046153846153848e-05,5.107142857142858e-05,5.093333333333334e-05,5.0666666666666654e-05,5.0793650793650814e-05,5e-05,5.080645161290325e-05,5.0625000000000004e-05,5.0823529411764696e-05,5.096774193548389e-05,5.0266666666666685e-05,5.038461538461538e-05,5.115384615384617e-05,5.048780487804878e-05,5e-05,5.017857142857144e-05,5.013157894736844e-05,5.0909090909090914e-05,5.0602409638554205e-05,5.125e-05,5.000000000000001e-05,5.042553191489362e-05,5.125e-05,5e-05,5e-05,4.999999999999999e-05,5.028571428571431e-05,5.008771929824563e-05,5e-05,5.060344827586207e-05,5e-05,5.0909090909090914e-05,5.0846153846153855e-05,5e-05,5e-05,5.000000000000001e-05,5e-05,4.999999999999999e-05,5e-05,5e-05,5.0215053763440856e-05,5.125e-05,5e-05,5.000000000000001e-05,5.0555555555555545e-05,5.107692307692309e-05,5.0666666666666674e-05,5.053763440860215e-05,5.055555555555556e-05,5.0270270270270267e-05,5e-05,5e-05,5e-05,5e-05,5.142857142857144e-05,5.025974025974028e-05,5.2142857142857156e-05,5.0322580645161296e-05,5e-05,5.0672268907563025e-05,5e-05
60,0.00012560000000000002,0.00012111111111111109,0.000125,0.00012230769230769231,0.00012468354430379748,0.00012714285714285716,0.0001246774193548387,0.00012605263157894738,0.00012544303797468355,0.00012625,0.0001248148148148148,0.00012510204081632654,0.00012484848484848487,0.00012621212121212118,0.00012529411764705884,0.00012541666666666666,0.00012428571428571428,0.00012455696202531646,0.00012285714285714284,0.00012586666666666665,0.00012646153846153845,0.00012660714285714285,0.00012493333333333333,0.0001253333333333333,0.0001258730158730159,0.00012000000000000002,0.00012435483870967744,0.00012416666666666666,0.0001255294117647059,0.0001254838709677419,0.00012546666666666666,0.00012615384615384612,0.0001246153846153846,0.00012390243902439023,0.00012555555555555554,0.0001235714285714286,0.00012394736842105266,0.00012545454545454546,0.00012253012048192775,0.000121875,0.00012,0.00012670212765957447,0.00012375,0.00012600000000000003,0.00012421052631578946,0.00012242105263157897,0.0001225714285714286,0.00012412280701754386,0.0001234375,0.00012379310344827588,0.000122,0.00012454545454545455,0.00012376923076923076,0.00012333333333333337,0.00012100000000000001,0.00012306122448979594,0.000125,0.00012275862068965516,0.00012636363636363637,0.000125,0.00012440860215053766,0.00012124999999999999,0.00012166666666666667,0.00012428571428571428,0.00012194444444444443,0.0001233846153846154,0.00012333333333333334,0.00012290322580645163,0.00012314814814814813,0.00012099099099099101,0.00012666666666666666,0.00012666666666666666,0.00012666666666666666,0.00011333333333333334,0.00012285714285714284,0.0001257142857142857,0.00012642857142857142,0.00012354838709677422,0.00012124999999999999,0.00012403361344537816,0.00012600000000000003
70,0.0003048,0.00030333333333333335,0.00029916666666666666,0.0003075384615384615,0.0003040506329113924,0.00030857142857142856,0.0003111290322580646,0.00030421052631578947,0.0003062025316455697,0.000305625,0.0002974074074074074,0.00030122448979591834,0.00030454545454545453,0.0003040909090909091,0.00030399999999999996,0.0003079166666666667,0.0003023809523809524,0.0003010126582278481,0.0003010714285714286,0.0003024,0.00030584615384615383,0.00030357142857142855,0.0003008,0.0003063333333333333,0.00030476190476190485,0.000302,0.00029516129032258076,0.00029541666666666665,0.0003049411764705883,0.00030145161290322584,0.00030986666666666675,0.0003003846153846154,0.00030250000000000003,0.0003036585365853659,0.00030833333333333337,0.0002969642857142857,0.0003088157894736842,0.00030454545454545453,0.00029746987951807227,0.000295,0.00030285714285714285,0.0003061702127659575,0.00028875,0.000298,0.0003052631578947369,0.00030199999999999997,0.000296,0.00030447368421052627,0.000299375,0.0003048275862068966,0.000304,0.00030454545454545453,0.0002979230769230769,0.00031,0.000303,0.00030285714285714285,0.00030500000000000004,0.0003027586206896552,0.00029909090909090906,0.000305,0.00030333333333333335,0.00030250000000000003,0.00030333333333333335,0.00030857142857142856,0.00029499999999999996,0.0002999999999999999,0.00029666666666666665,0.0002958064516129032,0.0002994444444444444,0.0003047747747747748,0.0003055555555555556,0.00030833333333333337,0.0003066666666666667,0.0002883333333333333,0.0003085714285714285,0.0003045454545454546,0.0003007142857142857,0.0002992741935483871,0.0003075,0.00029773109243697477,0.00029599999999999993
80,0.0004820000000000001,0.0005003703703703703,0.0004383333333333334,0.0004673846153846154,0.0004841772151898733,0.00048285714285714284,0.0005098387096774193,0.00047749999999999995,0.0004722784810126583,0.00047625,0.0004581481481481481,0.00048224489795918373,0.00047030303030303025,0.0004731818181818182,0.00046682352941176464,0.0004816666666666667,0.0004771428571428572,0.0004662025316455696,0.00047178571428571425,0.0004684000000000001,0.00048123076923076917,0.00046553571428571423,0.00044680000000000007,0.000464,0.00047857142857142857,0.00043400000000000003,0.0004367741935483871,0.0004435416666666667,0.00046223529411764703,0.0004635483870967742,0.0004797333333333334,0.00046884615384615384,0.00047500000000000005,0.0004619512195121951,0.0004761111111111112,0.0004678571428571428,0.000498421052631579,0.0004563636363636363,0.000454578313253012,0.000465,0.0004671428571428571,0.0004722340425531914,0.00043999999999999996,0.00047599999999999997,0.00047105263157894736,0.0004882105263157896,0.00046442857142857136,0.0004786842105263157,0.000486875,0.00047793103448275857,0.000488,0.0004727272727272727,0.00047792307692307696,0.0004825000000000001,0.000492,0.00048183673469387754,0.000465,0.0004779310344827586,0.0004718181818181818,0.0004625,0.0004695698924731183,0.00047125,0.00046333333333333334,0.00048285714285714284,0.0004536111111111111,0.0004556923076923078,0.0004713333333333333,0.0004655913978494624,0.000480925925925926,0.0004876576576576576,0.00046222222222222216,0.00047,0.0005066666666666667,0.00047333333333333326,0.00046,0.00048025974025974036,0.00046428571428571433,0.00046717741935483866,0.00051,0.0004551260504201681,0.000464
90,0.0007338666666666665,0.0007570370370370371,0.0007091666666666666,0.0007216923076923077,0.0007544303797468355,0.0007142857142857143,0.0007341935483870969,0.0007393421052631578,0.0007345569620253164,0.000730625,0.0007280246913580247,0.0007373469387755103,0.0007242424242424242,0.0007260606060606062,0.0007138823529411765,0.0007258333333333332,0.0007345238095238094,0.000730886075949367,0.0007382142857142857,0.0007329333333333334,0.0007533846153846154,0.0007235714285714286,0.0007223999999999999,0.0007149999999999999,0.0007333333333333332,0.000704,0.000711774193548387,0.0007116666666666665,0.0007429411764705883,0.0007314516129032259,0.0007283999999999999,0.0007253846153846155,0.0007192307692307693,0.0007184146341463415,0.0007344444444444444,0.0007155357142857143,0.0007355263157894738,0.0007445454545454547,0.0007225301204819277,0.0007099999999999999,0.0007,0.0007261702127659576,0.0007325,0.0007159999999999998,0.0007294736842105264,0.0007381052631578946,0.0007304285714285713,0.0007085964912280702,0.00072875,0.0007189655172413793,0.000736,0.000729090909090909,0.0007308461538461539,0.0007083333333333334,0.000718,0.0007283673469387756,0.00074,0.0007106896551724137,0.000729090909090909,0.000745,0.0007206451612903227,0.00072875,0.0007333333333333333,0.0007357142857142858,0.0007019444444444446,0.0007123076923076922,0.0007326666666666666,0.0007231182795698927,0.0007358333333333333,0.000719009009009009,0.0007311111111111111,0.0007016666666666667,0.0007733333333333333,0.0007500000000000001,0.0006942857142857142,0.0007211688311688311,0.0007121428571428572,0.0007262096774193548,0.00078,0.000734873949579832,0.000713
100,0.0007066666666666666,0.0007159259259259261,0.0007000000000000001,0.000669076923076923,0.000709240506329114,0.0006714285714285713,0.00069,0.0007128947368421052,0.0007118987341772153,0.00071125,0.000721358024691358,0.0007216326530612245,0.0007106060606060607,0.0007051515151515151,0.0006887058823529412,0.0007045833333333334,0.0007040476190476191,0.000699113924050633,0.0006749999999999999,0.0007070666666666667,0.0007281538461538461,0.0007,0.0007099999999999999,0.0006843333333333335,0.000717142857142857,0.00067,0.0006933870967741935,0.0006985416666666666,0.0007245882352941177,0.0007293548387096774,0.0006978666666666668,0.0007092307692307692,0.0006953846153846153,0.0006825609756097561,0.0007088888888888889,0.0006944642857142858,0.000701578947368421,0.0007172727272727272,0.0007034939759036143,0.000675625,0.0006485714285714287,0.0007001063829787233,0.0007224999999999999,0.000694,0.0006973684210526315,0.0006985263157894737,0.0006971428571428571,0.000676578947368421,0.0006953125000000001,0.0006835344827586208,0.000688,0.0007081818181818182,0.0007068461538461538,0.0006558333333333334,0.0006590000000000001,0.0006926530612244898,0.0007099999999999999,0.0006893103448275862,0.0006900000000000001,0.000705,0.0006980645161290323,0.00069125,0.0007066666666666667,0.0007071428571428572,0.0006861111111111111,0.0007087692307692308,0.0007126666666666668,0.0007165591397849463,0.0006813888888888889,0.0006867567567567567,0.00071,0.000695,0.0007433333333333334,0.000715,0.0006571428571428572,0.0006771428571428571,0.0006785714285714286,0.0007001612903225807,0.0007225,0.0007159663865546218,0.0006850000000000001
150,0.0005282666666666666,0.00047592592592592587,0.0006666666666666666,0.0005427692307692308,0.0005321518987341773,0.0004985714285714286,0.0004635483870967742,0.0005600000000000001,0.0005312658227848102,0.000536875,0.0006056790123456789,0.0005518367346938776,0.000553939393939394,0.0005624242424242424,0.0005104705882352943,0.0004895833333333333,0.0005254761904761905,0.000521012658227848,0.0005103571428571428,0.0005373333333333333,0.0005696923076923076,0.0005346428571428571,0.0005348000000000001,0.0005506666666666668,0.0006042857142857143,0.000634,0.0005346774193548388,0.0005460416666666666,0.0005508235294117647,0.0006345161290322581,0.0005638666666666667,0.000635,0.0006109615384615384,0.0005318292682926829,0.0005549999999999999,0.0005482142857142858,0.000523157894736842,0.0006090909090909091,0.0006089156626506024,0.000634375,0.0005457142857142857,0.0005293617021276596,0.00059625,0.0006249999999999999,0.000548421052631579,0.0004977894736842105,0.0005247142857142857,0.0005156140350877193,0.00047343749999999995,0.0005381896551724138,0.000578,0.0005799999999999999,0.0006347692307692309,0.0004825,0.000519,0.0005238775510204081,0.0005,0.0005493103448275862,0.0005218181818181819,0.0005175000000000001,0.0005546236559139786,0.0006525,0.00054,0.0004999999999999999,0.0005752777777777779,0.0005915384615384616,0.0005713333333333333,0.000631505376344086,0.000598888888888889,0.000522972972972973,0.0006022222222222222,0.000555,0.0005866666666666667,0.000555,0.0006157142857142856,0.0005192207792207792,0.0005257142857142857,0.0005259677419354839,0.00055875,0.0006350420168067226,0.0005949999999999999
200,0.0005362666666666666,0.0005488888888888889,0.0010266666666666666,0.0007741538461538462,0.0006905063291139241,0.0009042857142857143,0.00064,0.0007394736842105263,0.00047493670886075955,0.000838125,0.0009582716049382716,0.0007920408163265306,0.0006318181818181817,0.000898030303030303,0.0006056470588235293,0.00037749999999999996,0.0006172619047619046,0.0006950632911392405,0.0008214285714285713,0.0006349333333333332,0.0008070769230769232,0.0005935714285714287,0.0007865333333333333,0.0007646666666666666,0.0010958730158730163,0.000552,0.0007316129032258066,0.0009000000000000001,0.0009047058823529413,0.0011274193548387094,0.0008767999999999998,0.001333076923076923,0.0010209615384615385,0.0006158536585365854,0.0006550000000000001,0.0010405357142857143,0.0008178947368421053,0.0010927272727272728,0.0010002409638554218,0.0011225000000000002,0.0010214285714285714,0.0008395744680851063,0.00075625,0.0014040000000000003,0.0008847368421052631,0.000696421052631579,0.0007595714285714286,0.0009492982456140351,0.0006109375,0.0008298275862068965,0.0009480000000000001,0.0008072727272727273,0.001226,0.0009374999999999999,0.0007760000000000001,0.0009681632653061225,0.0011099999999999999,0.0011241379310344831,0.0009427272727272728,0.0009224999999999999,0.0007872043010752688,0.0013925,0.0009866666666666667,0.0007557142857142857,0.0009766666666666667,0.0011563076923076924,0.0011233333333333334,0.0011919354838709677,0.0011327777777777777,0.0008579279279279279,0.0013755555555555554,0.0010166666666666666,0.00084,0.0011016666666666666,0.001432857142857143,0.0009231168831168833,0.000725,0.0007523387096774194,0.00113375,0.0013194957983193277,0.001088
250,0.0005345333333333334,0.0005496296296296296,0.0008891666666666666,0.001001230769230769,0.0008912658227848101,0.00101,0.0008075806451612903,0.0008751315789473684,0.0005317721518987343,0.0011731250000000001,0.0011681481481481482,0.0010193877551020409,0.0005799999999999999,0.001044090909090909,0.0006331764705882354,0.00032083333333333334,0.0006497619047619048,0.0008062025316455696,0.000985,0.0006805333333333334,0.0009275384615384615,0.00047285714285714287,0.0009725333333333332,0.0008070000000000001,0.0011515873015873017,0.00030199999999999997,0.0008814516129032257,0.0011702083333333332,0.000991529411764706,0.0013841935483870967,0.0009914666666666668,0.0014780769230769233,0.0011442307692307691,0.0007343902439024391,0.0006983333333333334,0.0015682142857142858,0.0010711842105263158,0.00139,0.0014851807228915663,0.001803125,0.001457142857142857,0.0011161702127659575,0.00081125,0.001845,0.0012757894736842104,0.0009838947368421055,0.0012132857142857143,0.00127359649122807,0.0009334375,0.0011296551724137933,0.0012499999999999998,0.0012227272727272727,0.001632230769230769,0.0012616666666666668,0.000769,0.0013224489795918366,0.00115,0.0015517241379310342,0.001477272727272727,0.0012,0.0010394623655913978,0.001765,0.0016916666666666666,0.0012314285714285713,0.0012872222222222222,0.0016678461538461539,0.00164,0.0016508602150537635,0.0016815740740740743,0.0011043243243243244,0.0017488888888888886,0.001275,0.0010233333333333333,0.001725,0.001652857142857143,0.0013214285714285713,0.000732857142857143,0.0010166935483870967,0.00165,0.0018838655462184873,0.0016879999999999998
300,0.0004673333333333334,0.0004907407407407407,0.0009983333333333333,0.0009286153846153848,0.0007717721518987343,0.0010714285714285715,0.0008030645161290322,0.0009105263157894736,0.0004778481012658228,0.000958125,0.0009953086419753085,0.0012248979591836734,0.0005478787878787879,0.0010133333333333333,0.000567764705882353,0.00017583333333333332,0.0006272619047619049,0.0007758227848101266,0.0011264285714285716,0.0006286666666666667,0.000849076923076923,0.00040625,0.0008277333333333334,0.0006889999999999999,0.00100968253968254,0.00028000000000000003,0.0009998387096774193,0.001465,0.0008577647058823528,0.0012988709677419353,0.0009430666666666665,0.0015357692307692305,0.0008600000000000002,0.0008026829268292684,0.0006466666666666666,0.0016364285714285714,0.0010596052631578947,0.001852727272727273,0.0017978313253012048,0.002246875,0.00146,0.0013477659574468086,0.00087875,0.002252,0.0014394736842105263,0.001201157894736842,0.0013457142857142858,0.0014474561403508771,0.0014303125000000002,0.0013039655172413793,0.001316,0.001560909090909091,0.0015763846153846153,0.00147,0.000809,0.0014436734693877547,0.000745,0.0017758620689655173,0.0018327272727272728,0.0016275,0.0012248387096774195,0.00166375,0.0018633333333333338,0.0015899999999999998,0.0010369444444444445,0.002164,0.0020980000000000005,0.0018470967741935488,0.002135555555555555,0.0013690990990990995,0.0023133333333333335,0.0014,0.00105,0.0016983333333333336,0.0013542857142857141,0.0018759740259740262,0.0009649999999999998,0.001091612903225806,0.0021875,0.0024294957983193276,0.001969
