Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
50,5.666666666666667e-05,5.7407407407407406e-05,5.0833333333333333e-05,5.2923076923076925e-05,5.59493670886076e-05,6.285714285714285e-05,5.693548387096776e-05,5.486842105263158e-05,5.7341772151898734e-05,5.75e-05,5.08641975308642e-05,5.673469387755103e-05,5.878787878787879e-05,5.6515151515151517e-05,5.670588235294118e-05,5.833333333333334e-05,5.452380952380953e-05,5.392405063291139e-05,5.892857142857142e-05,5.413333333333334e-05,5.215384615384616e-05,5.482142857142858e-05,5.453333333333333e-05,5.5999999999999986e-05,4.9682539682539695e-05,5.2000000000000004e-05,5.548387096774195e-05,5.375e-05,5.1058823529411776e-05,4.8709677419354854e-05,5.586666666666667e-05,4.961538461538461e-05,5.5384615384615394e-05,5.4024390243902436e-05,5.722222222222223e-05,5.392857142857143e-05,5.9473684210526315e-05,5.272727272727273e-05,5.481927710843374e-05,5.4375e-05,6e-05,5.6808510638297884e-05,3.375e-05,5.700000000000001e-05,5.7894736842105253e-05,5.88421052631579e-05,5.657142857142858e-05,5.780701754385966e-05,6.0312499999999996e-05,5.465517241379311e-05,5.8e-05,5.90909090909091e-05,4.4846153846153845e-05,5.750000000000001e-05,5.8000000000000014e-05,5.795918367346939e-05,5e-05,5.137931034482758e-05,6.090909090909092e-05,5e-05,5.623655913978495e-05,5.5e-05,5.666666666666667e-05,6e-05,5.277777777777778e-05,5.2000000000000004e-05,5.266666666666668e-05,4.946236559139785e-05,5.472222222222223e-05,5.864864864864866e-05,5.888888888888889e-05,5.6666666666666664e-05,5.666666666666667e-05,5e-05,5.7142857142857155e-05,5.6103896103896105e-05,5.285714285714287e-05,5.443548387096776e-05,5.625e-05,4.907563025210085e-05,5.4e-05
60,8.333333333333334e-05,7.592592592592593e-05,9.500000000000002e-05,9.046153846153847e-05,8.645569620253164e-05,9.142857142857143e-05,8.048387096774195e-05,8.526315789473685e-05,8.772151898734177e-05,9.0625e-05,8.913580246913581e-05,8.755102040816328e-05,8.424242424242424e-05,8.636363636363637e-05,8.847058823529413e-05,8.625000000000001e-05,8.666666666666667e-05,8.70886075949367e-05,8.5e-05,8.853333333333336e-05,8.907692307692308e-05,9.071428571428573e-05,9.173333333333334e-05,8.766666666666667e-05,9.174603174603176e-05,9.400000000000001e-05,8.854838709677421e-05,9.208333333333334e-05,8.776470588235294e-05,8.967741935483871e-05,8.893333333333334e-05,8.961538461538463e-05,9.096153846153849e-05,8.853658536585367e-05,8.555555555555557e-05,9.053571428571429e-05,8.342105263157895e-05,8.636363636363637e-05,8.867469879518072e-05,8.562500000000001e-05,8.714285714285714e-05,8.787234042553191e-05,9e-05,8.900000000000002e-05,8.105263157894737e-05,8.189473684210527e-05,8.385714285714286e-05,8.824561403508773e-05,8.062500000000001e-05,8.801724137931035e-05,9e-05,8.72727272727273e-05,8.900000000000001e-05,9.000000000000002e-05,9.200000000000001e-05,8.448979591836736e-05,9.5e-05,8.551724137931033e-05,8.90909090909091e-05,9e-05,8.064516129032258e-05,8.5e-05,9.000000000000002e-05,8.428571428571429e-05,8.722222222222223e-05,9.030769230769232e-05,8.6e-05,8.849462365591399e-05,8.61111111111111e-05,8e-05,8.77777777777778e-05,9.166666666666667e-05,9.333333333333334e-05,7.666666666666666e-05,9e-05,8.896103896103898e-05,9e-05,8.766129032258066e-05,7.125e-05,8.756302521008402e-05,8.7e-05
70,9.773333333333333e-05,9.111111111111113e-05,0.00010583333333333336,0.00010384615384615386,9.78481012658228e-05,0.0001042857142857143,9.935483870967743e-05,0.00010052631578947369,0.00010215189873417723,0.00010000000000000002,0.0001008641975308642,0.00010061224489795919,9.727272727272727e-05,0.00010060606060606062,0.00010341176470588236,0.00010125000000000001,0.0001013095238095238,9.949367088607596e-05,0.0001007142857142857,0.00010133333333333335,9.846153846153846e-05,0.00010125000000000001,0.00010279999999999999,0.00010199999999999997,0.00010301587301587304,0.000108,0.0001020967741935484,0.00010416666666666667,0.00010070588235294118,9.951612903225808e-05,0.00010173333333333336,0.00010076923076923075,0.00010115384615384617,0.00010304878048780489,0.00010277777777777778,0.0001030357142857143,9.723684210526318e-05,9.72727272727273e-05,0.0001016867469879518,9.9375e-05,0.00010428571428571428,0.00010106382978723405,9.750000000000001e-05,0.0001,9.894736842105263e-05,9.768421052631579e-05,9.914285714285717e-05,0.00010228070175438598,9.625000000000001e-05,9.991379310344828e-05,9.6e-05,9.909090909090912e-05,9.846153846153846e-05,0.00010416666666666669,0.000109,9.755102040816328e-05,0.00011,9.93103448275862e-05,9.818181818181818e-05,0.000105,9.956989247311828e-05,0.00010125,0.00010166666666666668,0.0001,0.00010083333333333332,0.00010092307692307694,9.933333333333335e-05,0.00010107526881720433,0.00010101851851851853,9.711711711711716e-05,0.0001,0.0001,0.00010333333333333333,9e-05,0.00010714285714285716,0.00010090909090909092,0.00010142857142857143,0.00010000000000000002,8.875000000000002e-05,9.983193277310924e-05,0.0001
80,8.786666666666666e-05,8.814814814814814e-05,8.75e-05,8.984615384615385e-05,8.721518987341773e-05,9.428571428571429e-05,9.516129032258064e-05,8.776315789473686e-05,8.835443037974683e-05,8.687500000000001e-05,8.641975308641976e-05,8.877551020408165e-05,8.818181818181818e-05,8.81818181818182e-05,9.294117647058824e-05,9.374999999999999e-05,8.940476190476191e-05,8.734177215189874e-05,9.250000000000001e-05,8.813333333333335e-05,8.692307692307692e-05,8.80357142857143e-05,8.946666666666667e-05,9.133333333333334e-05,9.031746031746035e-05,9e-05,8.758064516129032e-05,8.729166666666668e-05,8.611764705882353e-05,8.596774193548387e-05,9.080000000000001e-05,8.692307692307691e-05,8.788461538461538e-05,8.939024390243903e-05,9.333333333333334e-05,8.946428571428572e-05,9.171052631578948e-05,8.363636363636364e-05,8.83132530120482e-05,8.5e-05,9.142857142857143e-05,9.180851063829785e-05,7.875000000000002e-05,8.900000000000001e-05,9.105263157894737e-05,8.715789473684212e-05,8.714285714285717e-05,9.368421052631579e-05,8.90625e-05,8.905172413793103e-05,8.400000000000001e-05,8.81818181818182e-05,8.576923076923078e-05,9.500000000000002e-05,9.100000000000002e-05,9.020408163265306e-05,8.5e-05,9.172413793103446e-05,9e-05,8.75e-05,9.161290322580645e-05,9e-05,8.833333333333334e-05,8.857142857142857e-05,8.972222222222221e-05,8.861538461538462e-05,8.466666666666667e-05,8.623655913978493e-05,8.555555555555556e-05,8.972972972972975e-05,8.888888888888889e-05,9.166666666666667e-05,8.666666666666668e-05,7.666666666666667e-05,9.714285714285715e-05,8.961038961038964e-05,8.928571428571429e-05,8.685483870967744e-05,8.5e-05,8.529411764705884e-05,9.1e-05
90,0.00010253333333333334,0.00010518518518518517,0.0001025,0.00010446153846153847,0.00010177215189873417,0.00011142857142857143,0.00011241935483870968,0.00010276315789473687,0.00010240506329113924,0.0001025,0.00010074074074074075,0.00010265306122448983,0.00010060606060606061,0.00010409090909090908,0.00010800000000000002,0.00010833333333333333,0.00010440476190476191,0.00010227848101265824,0.00010428571428571428,0.00010333333333333334,0.00010200000000000001,0.00010160714285714287,0.00010266666666666666,0.00010466666666666663,0.00010650793650793654,0.00010200000000000001,0.00010209677419354839,0.00010041666666666668,0.0001,9.935483870967744e-05,0.00010573333333333333,0.00010153846153846152,0.00010403846153846154,0.00010499999999999999,0.00010833333333333336,0.00010410714285714286,0.00010947368421052633,9.90909090909091e-05,0.00010000000000000002,0.00010062499999999999,0.00010571428571428571,0.00010585106382978725,9.5e-05,0.000104,0.00010473684210526316,0.00010389473684210527,0.0001012857142857143,0.00010973684210526317,0.000105,0.00010405172413793104,0.00010200000000000001,0.00010272727272727273,0.00010100000000000002,0.00010916666666666666,0.00011000000000000003,0.00010693877551020408,0.000105,0.00010896551724137928,0.00010454545454545455,0.0001025,0.00010537634408602155,0.00010375,0.00010166666666666668,0.00010571428571428571,0.00010361111111111111,0.00010307692307692309,0.00010133333333333335,0.000100752688172043,0.0001014814814814815,0.00010621621621621624,0.00010333333333333334,0.00010833333333333334,0.0001,9.666666666666667e-05,0.00010857142857142858,0.00010493506493506495,0.0001042857142857143,0.00010120967741935484,0.00010125000000000001,9.823529411764706e-05,0.00010400000000000001
100,0.0002082666666666667,0.0002133333333333333,0.0002,0.0002123076923076923,0.00020746835443037973,0.00022571428571428571,0.0002288709677419355,0.00020710526315789474,0.00020683544303797465,0.000209375,0.0002014814814814815,0.00020632653061224493,0.0002021212121212121,0.00020939393939393942,0.00021811764705882355,0.00021833333333333332,0.00021261904761904764,0.00020924050632911389,0.0002132142857142857,0.00020706666666666667,0.0002063076923076923,0.00020732142857142862,0.0002076,0.00021333333333333328,0.00021206349206349208,0.00020600000000000002,0.00020887096774193547,0.00020437500000000002,0.00020305882352941173,0.00019709677419354842,0.00021173333333333335,0.00020307692307692304,0.00020846153846153847,0.00020902439024390242,0.00021555555555555556,0.00021035714285714286,0.0002192105263157895,0.00019636363636363636,0.00020216867469879523,0.00020437500000000002,0.00021142857142857142,0.00021404255319148942,0.00019250000000000002,0.00021099999999999998,0.0002131578947368421,0.00021115789473684206,0.00020785714285714288,0.00022035087719298252,0.00021500000000000002,0.0002103448275862069,0.000212,0.00020545454545454545,0.00020184615384615385,0.00022500000000000002,0.00021800000000000004,0.00021367346938775512,0.00021500000000000002,0.00021724137931034487,0.00021090909090909092,0.00021,0.00020956989247311833,0.00021250000000000002,0.0002066666666666667,0.00021571428571428571,0.00020888888888888886,0.0002050769230769231,0.0002033333333333334,0.00019956989247311825,0.0002051851851851852,0.0002137837837837838,0.00020666666666666666,0.00021666666666666666,0.0002,0.00020333333333333333,0.0002228571428571429,0.00021493506493506498,0.00021071428571428573,0.00020572580645161293,0.00021125,0.00019722689075630254,0.00020500000000000002
150,0.00027120000000000003,0.0002977777777777777,0.0002025,0.00023615384615384617,0.00026911392405063286,0.0002814285714285714,0.00030548387096774205,0.00025605263157894734,0.0002687341772151899,0.000260625,0.00022024691358024694,0.0002548979591836735,0.00024333333333333336,0.00024242424242424242,0.00028458823529411764,0.0002920833333333333,0.00026547619047619054,0.00027075949367088605,0.00025749999999999997,0.00027,0.0002513846153846154,0.0002757142857142857,0.00025773333333333333,0.0002526666666666667,0.0002307936507936508,0.000226,0.000252741935483871,0.0002508333333333333,0.0002547058823529412,0.00020048387096774194,0.00024973333333333335,0.00021423076923076924,0.00022250000000000001,0.0002545121951219512,0.0002505555555555555,0.00023214285714285717,0.00026697368421052634,0.0002090909090909091,0.00023012048192771087,0.000200625,0.00024857142857142857,0.000270531914893617,0.000225,0.0002,0.0002647368421052632,0.00028168421052631576,0.000259,0.0002576315789473684,0.00028875,0.0002543965517241379,0.00025,0.00021999999999999998,0.0001916923076923077,0.00027499999999999996,0.00026300000000000005,0.00025428571428571427,0.00031499999999999996,0.00025655172413793103,0.00024272727272727269,0.000265,0.0002397849462365591,0.0002225,0.00025333333333333333,0.00028,0.00023611111111111112,0.00023138461538461537,0.00023600000000000002,0.00020688172043010757,0.00022185185185185188,0.0002544144144144144,0.00023111111111111113,0.0002483333333333333,0.0002633333333333333,0.000245,0.0002228571428571429,0.00026350649350649353,0.00027214285714285714,0.0002578225806451613,0.00025375,0.00019857142857142852,0.0002
200,0.00047933333333333335,0.0005218518518518519,0.00017166666666666667,0.0003869230769230769,0.000419746835443038,0.0003842857142857143,0.0005483870967741936,0.00043407894736842103,0.00041645569620253164,0.0002875,0.00025209876543209875,0.00037,0.0003863636363636364,0.00034030303030303024,0.0004447058823529412,0.00043541666666666663,0.00041226190476190475,0.0005020253164556964,0.00028678571428571425,0.0004222666666666667,0.0003586153846153847,0.0005067857142857143,0.00034920000000000003,0.0003046666666666667,0.00021666666666666668,0.00048199999999999995,0.0003937096774193548,0.000373125,0.0003735294117647059,0.00022306451612903226,0.00028786666666666665,0.00016999999999999999,0.0002546153846153846,0.0004595121951219512,0.00041888888888888884,0.00025517857142857146,0.000406578947368421,0.0002690909090909091,0.00030253012048192773,0.000195,0.00028999999999999995,0.00042627659574468086,0.00039625,0.00018899999999999999,0.00041105263157894737,0.0004458947368421053,0.0004938571428571428,0.0002985087719298246,0.0004928125,0.00038293103448275865,0.00034,0.0003718181818181818,0.00018576923076923078,0.0003316666666666667,0.000315,0.0002455102040816326,0.00025,0.00022931034482758623,0.00032181818181818185,0.00018,0.00030795698924731185,0.0002575,0.00029666666666666665,0.00048714285714285716,0.0002413888888888889,0.0002343076923076923,0.0002553333333333333,0.00021193548387096772,0.0002450925925925926,0.0004029729729729729,0.0002722222222222222,0.00021166666666666667,0.00039333333333333337,0.00018999999999999998,0.0002128571428571429,0.0003545454545454545,0.0006057142857142858,0.00031798387096774187,0.00027,0.0001616806722689076,0.000169
250,0.0003753333333333333,0.00046962962962962963,8e-05,0.00040215384615384614,0.0003372151898734177,0.0002942857142857143,0.00063,0.0004485526315789474,0.00033151898734177214,0.00028375,0.00022320987654320985,0.0004916326530612244,0.0001906060606060606,0.0003446969696969697,0.0004334117647058823,0.0002679166666666667,0.00029535714285714283,0.0005718987341772152,0.00025785714285714284,0.00030773333333333335,0.00038246153846153844,0.00032107142857142865,0.00035773333333333326,0.00027833333333333334,0.00022111111111111108,0.00011399999999999999,0.0002677419354838709,0.000388125,0.00036423529411764704,0.0002506451612903226,0.0003168,0.00017230769230769234,0.0001865384615384615,0.0004819512195121951,0.0004655555555555556,0.0003091071428571428,0.0005136842105263158,0.00036,0.0003953012048192771,0.000286875,0.00041857142857142863,0.0005975531914893618,0.00038625,0.00030599999999999996,0.0004752631578947369,0.0006632631578947367,0.0006472857142857143,0.00042192982456140346,0.000721875,0.0004791379310344827,0.000614,0.0004972727272727274,0.000205,0.0004975,0.00029099999999999997,0.00030571428571428573,0.00036500000000000004,0.0003472413793103447,0.0005072727272727273,0.0002325,0.00032763440860215064,0.00040124999999999997,0.0004,0.0006314285714285715,0.00019277777777777777,0.0003681538461538462,0.0004126666666666667,0.0002397849462365592,0.0002676851851851852,0.0005836036036036037,0.0003744444444444444,0.00021833333333333332,0.00034,0.00029500000000000007,0.00020714285714285716,0.0006102597402597402,0.0004357142857142858,0.0003623387096774194,0.00047000000000000004,0.00020983193277310922,0.00026100000000000006
300,0.0004212,0.00039,2.9999999999999997e-05,0.0003127692307692308,0.0002587341772151899,0.0001928571428571429,0.0007711290322580646,0.00045394736842105257,0.00038936708860759495,0.00017874999999999998,0.0001608641975308642,0.0005722448979591836,9e-05,0.00029242424242424247,0.00039364705882352944,9.166666666666665e-05,0.0002121428571428571,0.0006670886075949366,0.00014285714285714287,0.0002509333333333333,0.0003769230769230769,0.00032875,0.0002778666666666666,0.00023200000000000003,9.444444444444446e-05,0.000132,0.00017870967741935484,0.0004158333333333333,0.00036011764705882354,0.0001891935483870968,0.00024880000000000003,0.00010115384615384617,0.00018711538461538464,0.0004713414634146341,0.0006166666666666667,0.00028482142857142855,0.0006944736842105264,0.00039181818181818176,0.0006771084337349397,0.00031125,0.0006257142857142858,0.0009120212765957447,0.00038875,0.000361,0.0005826315789473685,0.0011437894736842104,0.0011018571428571427,0.0004996491228070176,0.001114375,0.0006062931034482759,0.000692,0.0007436363636363636,0.00018215384615384616,0.0006091666666666666,0.0005030000000000001,0.0002748979591836735,0.0006749999999999999,0.0004603448275862069,0.0006772727272727273,0.00036,0.0003645161290322581,0.00065125,0.0006416666666666666,0.0011585714285714285,0.00017499999999999997,0.000464,0.00038933333333333333,0.00029032258064516127,0.0002662037037037037,0.000875045045045045,0.0004711111111111111,0.0002,0.00063,0.00034333333333333335,0.0002557142857142857,0.000897922077922078,0.0004078571428571428,0.00039072580645161303,0.00060625,0.00021302521008403365,0.00037099999999999996
