Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
50,0.0002946666666666667,0.0002911111111111111,0.0002883333333333333,0.00028307692307692306,0.00028898734177215186,0.00029428571428571427,0.000295,0.0002922368421052631,0.0002929113924050633,0.000290625,0.0002901234567901234,0.00029163265306122446,0.0002933333333333334,0.00029151515151515145,0.0002917647058823529,0.00029416666666666664,0.0002878571428571428,0.00029126582278481014,0.0002882142857142857,0.0002913333333333333,0.00029184615384615387,0.0002948214285714285,0.00028613333333333326,0.00029200000000000005,0.00028936507936507943,0.000282,0.00029306451612903225,0.0002879166666666666,0.0002882352941176471,0.00029080645161290317,0.0002896,0.0002923076923076923,0.0002873076923076923,0.00028878048780487796,0.00029000000000000006,0.00028857142857142856,0.0002889473684210525,0.00028090909090909083,0.0002863855421686746,0.000285,0.0002828571428571428,0.00029053191489361693,0.00028875,0.000289,0.00029578947368421053,0.000296,0.00029128571428571425,0.00028929824561403503,0.000295625,0.0002875,0.00027599999999999993,0.0002936363636363636,0.000287076923076923,0.00028916666666666663,0.00028299999999999994,0.00029163265306122446,0.000295,0.0002889655172413793,0.00029636363636363633,0.0002925,0.00029258064516129024,0.00028125,0.0002866666666666667,0.0002914285714285714,0.0002877777777777778,0.00028907692307692304,0.00028933333333333334,0.0002872043010752687,0.0002909259259259258,0.0002903603603603603,0.00029666666666666665,0.00029499999999999996,0.0002833333333333333,0.0002783333333333333,0.0002857142857142857,0.0002916883116883117,0.00028928571428571425,0.0002887903225806451,0.00029625,0.00028823529411764703,0.00028799999999999995
60,0.0007970666666666666,0.0007025925925925927,0.0008616666666666665,0.0008021538461538462,0.0008003797468354429,0.0008357142857142858,0.000741451612903226,0.0007994736842105263,0.0008163291139240508,0.00082125,0.0008461728395061729,0.0007879591836734693,0.000797878787878788,0.0008228787878787879,0.0008078823529411763,0.00078625,0.0007995238095238095,0.0008200000000000001,0.0007492857142857143,0.0008297333333333333,0.0008341538461538461,0.0008451785714285715,0.0008487999999999999,0.0008036666666666665,0.0008328571428571429,0.000838,0.0008019354838709679,0.0008364583333333333,0.0008224705882352941,0.0008646774193548387,0.0008011999999999999,0.0008665384615384616,0.0008401923076923079,0.0008029268292682926,0.0007677777777777778,0.0008098214285714286,0.000756578947368421,0.0008081818181818182,0.0008026506024096384,0.0007806250000000001,0.0007614285714285715,0.0008169148936170214,0.0009,0.000819,0.0007773684210526315,0.0007645263157894736,0.0007784285714285714,0.0007883333333333333,0.0007415625,0.000793448275862069,0.000858,0.0008054545454545454,0.000841076923076923,0.0007741666666666668,0.000772,0.0007659183673469387,0.000825,0.0007924137931034484,0.0008272727272727275,0.0008075000000000001,0.0007621505376344084,0.0007362499999999999,0.0007966666666666666,0.0007800000000000001,0.0008463888888888888,0.0008207692307692308,0.0007966666666666667,0.0008340860215053762,0.000815925925925926,0.0007337837837837839,0.00084,0.0008883333333333334,0.00088,0.0006866666666666667,0.0007971428571428572,0.000831948051948052,0.0008685714285714284,0.0008145967741935485,0.0007149999999999999,0.0008321848739495802,0.0007970000000000002
70,0.0011886666666666669,0.0010618518518518518,0.00137,0.0011976923076923076,0.001200126582278481,0.0012128571428571427,0.0010983870967741936,0.0011849999999999999,0.0012108860759493672,0.001228125,0.0012849382716049384,0.00115,0.0011854545454545455,0.0012312121212121213,0.0011555294117647056,0.0011583333333333333,0.0011885714285714286,0.001209240506329114,0.0010875000000000001,0.0012226666666666664,0.0012404615384615386,0.001251607142857143,0.0012534666666666667,0.0011450000000000002,0.0012899999999999997,0.0013440000000000001,0.001147741935483871,0.0012010416666666667,0.0012555294117647057,0.0013227419354838712,0.0011712,0.0013480769230769232,0.0012523076923076919,0.0011929268292682925,0.0011566666666666667,0.0011910714285714285,0.001111842105263158,0.0012645454545454546,0.0011863855421686746,0.001191875,0.001147142857142857,0.0012105319148936172,0.0013687500000000002,0.001183,0.0012010526315789473,0.0011449473684210527,0.0011584285714285713,0.0011592105263157895,0.0011099999999999999,0.0011812068965517243,0.0012699999999999999,0.0011654545454545457,0.0013061538461538462,0.0011241666666666668,0.001162,0.0011051020408163266,0.0012000000000000001,0.0012158620689655172,0.0011818181818181817,0.00125,0.0012036559139784948,0.001085,0.0011216666666666666,0.0011828571428571428,0.0013100000000000002,0.0011970769230769229,0.0011373333333333335,0.001301720430107527,0.001227962962962963,0.0010826126126126127,0.0011866666666666666,0.0013116666666666665,0.0014633333333333332,0.000995,0.0012585714285714286,0.0012135064935064935,0.001272142857142857,0.0012218548387096777,0.00114125,0.0012575630252100838,0.0011819999999999999
80,0.0023533333333333336,0.0022244444444444443,0.0023058333333333333,0.0021224615384615383,0.0023194936708860765,0.0021699999999999996,0.002151774193548387,0.002277631578947369,0.002254556962025316,0.0023075,0.002334320987654321,0.0022132653061224493,0.0022715151515151515,0.0022839393939393937,0.002158941176470588,0.0022437499999999997,0.002233690476190476,0.0023063291139240505,0.0021010714285714287,0.0022712,0.0023486153846153843,0.0023360714285714282,0.0022305333333333334,0.002178,0.0023152380952380955,0.002398,0.002066935483870968,0.0021214583333333333,0.002278823529411764,0.0023817741935483875,0.0022068,0.002333461538461538,0.0021988461538461537,0.0021591463414634146,0.0022088888888888887,0.002212142857142857,0.002158421052631579,0.0022927272727272727,0.0022067469879518075,0.0021781250000000004,0.002014285714285714,0.0022334042553191487,0.0024725,0.002215,0.0022726315789473686,0.002224736842105263,0.0022015714285714286,0.0021420175438596487,0.0022762499999999996,0.0022093103448275857,0.002424,0.0021963636363636365,0.0023716923076923077,0.0021000000000000003,0.002038,0.0021202040816326526,0.0023049999999999998,0.0022258620689655172,0.0022272727272727275,0.002325,0.0021879569892473117,0.002065,0.0020666666666666667,0.002355714285714285,0.0022847222222222223,0.002211076923076923,0.0022153333333333335,0.0023653763440860216,0.0022360185185185183,0.0021302702702702702,0.0022877777777777775,0.0022533333333333333,0.002436666666666667,0.0021583333333333333,0.002105714285714286,0.0022307792207792204,0.002212142857142857,0.002268064516129032,0.00227625,0.0022160504201680677,0.002145
90,0.002762666666666667,0.002554814814814815,0.0029016666666666665,0.002713692307692308,0.0027787341772151897,0.0023971428571428572,0.0023806451612903234,0.002694473684210526,0.0027137974683544303,0.002809375,0.002894320987654321,0.0026071428571428574,0.00272969696969697,0.002684242424242424,0.0025121176470588235,0.00255125,0.0026886904761904756,0.0027853164556962025,0.002454285714285714,0.0027278666666666665,0.0027666153846153847,0.0028053571428571433,0.0028223999999999996,0.0026009999999999996,0.0027365079365079367,0.0030020000000000003,0.0026435483870967742,0.0026683333333333333,0.002858117647058824,0.002936935483870969,0.0026088000000000005,0.0028076923076923075,0.0026774999999999998,0.0026023170731707315,0.0025627777777777775,0.0026860714285714287,0.002425263157894737,0.0029154545454545457,0.002786867469879518,0.0027356249999999998,0.0024771428571428574,0.0026580851063829794,0.00328125,0.002574,0.002597368421052631,0.002636736842105263,0.002729285714285715,0.0024528070175438596,0.0025946874999999998,0.0026406034482758614,0.0028380000000000002,0.0026563636363636364,0.002872461538461538,0.002426666666666667,0.002377,0.0024632653061224495,0.0029500000000000004,0.0025682758620689653,0.0025900000000000003,0.0029000000000000002,0.002590430107526882,0.0024574999999999996,0.0026166666666666664,0.002635714285714286,0.0028016666666666667,0.002726153846153846,0.00261,0.002885806451612903,0.0026723148148148144,0.00254936936936937,0.0026499999999999996,0.0026300000000000004,0.002856666666666667,0.0029266666666666664,0.0024857142857142855,0.0026241558441558437,0.0026314285714285715,0.0027818548387096775,0.00264375,0.002832521008403361,0.002579
100,0.0035368,0.0032299999999999994,0.0036625000000000004,0.003446461538461538,0.003462278481012658,0.003122857142857143,0.0029485483870967744,0.0033785526315789475,0.0034796202531645567,0.0034762499999999997,0.0036472839506172844,0.003334285714285714,0.0034806060606060603,0.003418939393939394,0.0031424705882352934,0.003254166666666667,0.0033474999999999993,0.0035077215189873415,0.003107142857142857,0.003450666666666667,0.0034952307692307696,0.0035830357142857144,0.003536133333333334,0.0033416666666666673,0.0034101587301587307,0.003884,0.003348225806451613,0.0035116666666666664,0.003594235294117647,0.0037256451612903223,0.0032850666666666664,0.003529615384615384,0.003435192307692308,0.003346829268292683,0.003282777777777778,0.0033930357142857143,0.003073026315789474,0.0036272727272727272,0.003543253012048193,0.00345875,0.0032857142857142855,0.00333531914893617,0.00411875,0.0033799999999999998,0.003287894736842105,0.0033815789473684212,0.0034870000000000005,0.003075526315789474,0.003291875,0.0033356034482758617,0.003484,0.003441818181818182,0.0035578461538461536,0.0029483333333333328,0.0030389999999999996,0.0031057142857142854,0.0036,0.0032493103448275867,0.003309090909090909,0.003625,0.0033240860215053764,0.00309875,0.0033966666666666663,0.0034014285714285713,0.0035399999999999997,0.0034218461538461534,0.003363333333333333,0.003611505376344086,0.003417222222222222,0.0032295495495495504,0.0033611111111111116,0.0032599999999999994,0.003446666666666667,0.003663333333333333,0.003161428571428571,0.0033128571428571426,0.003447142857142857,0.0035433870967741927,0.00330125,0.0036208403361344538,0.0032650000000000005
150,0.003061466666666667,0.0027537037037037044,0.003403333333333333,0.0028330769230769234,0.0031093670886075944,0.002682857142857143,0.002597096774193549,0.0030314473684210524,0.0032887341772151898,0.0029825,0.003330493827160494,0.0030824489795918367,0.0030415151515151514,0.0030207575757575755,0.0030318823529411764,0.0031683333333333333,0.0031774999999999998,0.003047721518987342,0.0029842857142857136,0.003272933333333333,0.0028529230769230767,0.0032474999999999995,0.0031346666666666667,0.003420666666666667,0.0030401587301587306,0.00287,0.0030314516129032252,0.0031002083333333333,0.0033235294117647056,0.0029187096774193544,0.0031532,0.0030149999999999995,0.0030634615384615388,0.003178780487804878,0.0031388888888888885,0.003205535714285714,0.0026973684210526315,0.0032545454545454544,0.002843734939759036,0.002855625,0.002858571428571429,0.002855212765957447,0.00343875,0.002545,0.0028563157894736842,0.002733368421052632,0.0029892857142857143,0.0029202631578947365,0.0026637500000000003,0.002964655172413793,0.00302,0.0021345454545454545,0.0029466153846153843,0.0029425000000000007,0.0031329999999999995,0.0029112244897959183,0.002855,0.002969655172413793,0.0024945454545454546,0.00332,0.002969569892473118,0.0030324999999999996,0.00302,0.0025657142857142858,0.0032202777777777776,0.003039692307692308,0.002993333333333334,0.0029173118279569887,0.0029655555555555555,0.002982342342342342,0.0034000000000000002,0.0028666666666666667,0.0027899999999999995,0.0028766666666666667,0.0023957142857142857,0.0028711688311688316,0.0031057142857142854,0.0031188709677419358,0.00236625,0.0030372268907563026,0.0030949999999999997
200,0.004963866666666666,0.003883703703703704,0.003981666666666666,0.0025523076923076923,0.0033,0.0035357142857142857,0.003534838709677419,0.003604078947368421,0.006498481012658228,0.002955,0.002998888888888889,0.0027161224489795923,0.004577272727272728,0.0029715151515151516,0.005118470588235295,0.007263333333333333,0.00472952380952381,0.0032841772151898734,0.003076071428571428,0.004833466666666667,0.0027553846153846157,0.0052848214285714295,0.0032050666666666662,0.004910333333333333,0.002483809523809524,0.0028320000000000003,0.0034766129032258067,0.0027672916666666666,0.0032667058823529415,0.0016875806451612902,0.0031001333333333337,0.0020334615384615387,0.0022484615384615386,0.0037379268292682933,0.0043661111111111105,0.002409107142857143,0.002074210526315789,0.0019509090909090906,0.00158710843373494,0.001318125,0.001882857142857143,0.0026608510638297875,0.00332125,0.0010799999999999998,0.002178421052631579,0.0021634736842105263,0.0023459999999999996,0.002761315789473684,0.0015153125,0.002740948275862069,0.001968,0.0008381818181818182,0.0016787692307692306,0.0024666666666666665,0.002904,0.0019955102040816325,0.00186,0.0019599999999999995,0.0010609090909090909,0.0034374999999999996,0.003694301075268817,0.00170125,0.0017716666666666664,0.0019942857142857145,0.002654166666666667,0.001622,0.0018199999999999998,0.0016108602150537636,0.002150185185185185,0.002536576576576577,0.0022333333333333333,0.00154,0.0018133333333333332,0.0010616666666666667,0.001312857142857143,0.0020296103896103894,0.0039471428571428565,0.003193387096774194,0.00097,0.001241848739495798,0.001369
250,0.0030892000000000003,0.002636666666666666,0.0026874999999999994,0.0017366153846153846,0.002091645569620253,0.002615714285714286,0.002186935483870968,0.0021722368421052637,0.004071772151898735,0.0019593749999999997,0.0020746913580246915,0.0015026530612244897,0.0034984848484848484,0.0019604545454545456,0.0032622352941176474,0.0046525,0.003331904761904762,0.0020646835443037977,0.002155714285714286,0.0029963999999999998,0.0018167692307692307,0.0037439285714285717,0.0021008,0.0030973333333333334,0.0019380952380952381,0.0026,0.002249677419354839,0.0017256250000000004,0.0021319999999999998,0.001097741935483871,0.0019399999999999999,0.001353076923076923,0.0014409615384615383,0.002391707317073171,0.0027733333333333334,0.0014458928571428572,0.001381578947368421,0.0011454545454545456,0.000930843373493976,0.00080875,0.0013057142857142855,0.001510212765957447,0.0024,0.000713,0.0013926315789473684,0.0011581052631578945,0.0012692857142857143,0.001752719298245614,0.0006774999999999999,0.0015278448275862068,0.001438,0.0005090909090909091,0.0013739230769230768,0.0017958333333333335,0.0020210000000000002,0.001646734693877551,0.00095,0.0013024137931034482,0.0007445454545454547,0.002215,0.0022343010752688174,0.00138,0.0009116666666666665,0.0009342857142857144,0.0016227777777777777,0.0009753846153846154,0.0009206666666666666,0.0010770967741935485,0.0013656481481481482,0.0014720720720720723,0.0012633333333333333,0.0010283333333333331,0.0014066666666666665,0.0008033333333333334,0.001207142857142857,0.0009924675324675322,0.002447142857142857,0.0018295967741935484,0.0006675,0.0010121848739495798,0.0007109999999999999
300,0.0035491999999999998,0.0033244444444444445,0.0023225,0.0015166153846153845,0.0021068354430379744,0.003822857142857142,0.002806612903225806,0.0023140789473684205,0.005036962025316455,0.00197875,0.0018069135802469135,0.0013757142857142859,0.0031427272727272727,0.0023016666666666667,0.003889294117647059,0.005842916666666667,0.0037185714285714296,0.002578101265822785,0.0021478571428571428,0.0034576,0.0019443076923076922,0.004839107142857143,0.0021149333333333334,0.0036323333333333338,0.00167015873015873,0.002338,0.0017708064516129029,0.0020354166666666667,0.002613058823529412,0.001086290322580645,0.0021574666666666666,0.0013423076923076923,0.0019111538461538463,0.0028251219512195128,0.0031405555555555557,0.0017055357142857146,0.0014959210526315787,0.001260909090909091,0.0009383132530120481,0.000819375,0.0014214285714285713,0.0015761702127659572,0.0028450000000000003,0.000834,0.0017768421052631583,0.0010075789473684212,0.0013854285714285713,0.0020139473684210527,0.0006153125,0.0015594827586206898,0.001406,0.000519090909090909,0.001576153846153846,0.0022124999999999996,0.002527,0.002021020408163265,0.000625,0.0015420689655172414,0.0009118181818181819,0.00318,0.0025056989247311825,0.00132,0.0012266666666666665,0.00099,0.0023869444444444446,0.00106,0.0011946666666666668,0.0012580645161290322,0.0013905555555555561,0.00141963963963964,0.0011644444444444445,0.0012383333333333335,0.0014233333333333335,0.00088,0.00123,0.0011046753246753247,0.0026185714285714284,0.0019563709677419354,0.0006375,0.0011987394957983194,0.0007250000000000001
