Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
50,0.0001992,0.00019481481481481484,0.00020333333333333336,0.00019815384615384617,0.00019797468354430377,0.00019571428571428574,0.00019645161290322583,0.00019934210526315795,0.00019886075949367092,0.000195625,0.0002014814814814815,0.00019775510204081634,0.00019545454545454545,0.00019863636363636367,0.00019776470588235288,0.00019708333333333332,0.0001982142857142857,0.00019860759493670884,0.00019535714285714282,0.00020146666666666672,0.00020292307692307697,0.00020107142857142863,0.0001974666666666667,0.00019899999999999996,0.00020190476190476197,0.00020600000000000002,0.0001982258064516129,0.00019645833333333334,0.0002014117647058823,0.0002051612903225807,0.00019840000000000002,0.00020307692307692306,0.00020000000000000004,0.00019841463414634145,0.0001988888888888889,0.00019928571428571432,0.00019236842105263162,0.0002,0.0001981927710843374,0.000200625,0.0001942857142857143,0.00019585106382978727,0.00020625,0.00020400000000000003,0.00019631578947368425,0.0001948421052631579,0.0001964285714285715,0.00019561403508771934,0.000194375,0.0001992241379310345,0.00019400000000000003,0.00019636363636363642,0.00020415384615384618,0.00019666666666666669,0.00019500000000000002,0.0001953061224489796,0.0002,0.00019896551724137932,0.0001954545454545455,0.0002075,0.00019752688172043007,0.0002,0.000195,0.00019714285714285716,0.00019944444444444442,0.00019800000000000002,0.00020200000000000003,0.00020311827956989245,0.0001997222222222222,0.00019495495495495496,0.00019555555555555556,0.00020333333333333336,0.00020333333333333336,0.00019333333333333333,0.00019571428571428574,0.00020116883116883116,0.00019928571428571432,0.00019895161290322578,0.00019750000000000003,0.0002022689075630252,0.000201
60,0.0004926666666666666,0.0004533333333333333,0.0005216666666666666,0.0005066153846153848,0.0004988607594936708,0.0005071428571428572,0.00047790322580645167,0.0004989473684210526,0.0005016455696202532,0.000505,0.0005069135802469136,0.0004985714285714286,0.000496969696969697,0.0005004545454545455,0.0005017647058823528,0.00049,0.0004989285714285714,0.0004975949367088609,0.0004896428571428571,0.0005077333333333334,0.0005070769230769231,0.0005053571428571429,0.0005137333333333333,0.0005,0.0005123809523809523,0.000528,0.0004998387096774193,0.0005060416666666667,0.0005022352941176471,0.000512258064516129,0.0005090666666666666,0.0005153846153846154,0.0005136538461538461,0.0004992682926829269,0.0004955555555555556,0.0005133928571428571,0.0004853947368421052,0.0005009090909090908,0.0005059036144578313,0.0005006250000000001,0.0005071428571428572,0.0005014893617021277,0.00051375,0.00051,0.0004821052631578947,0.00047705263157894745,0.0004937142857142858,0.0005014912280701754,0.00047281250000000003,0.0004993103448275863,0.000514,0.00048818181818181816,0.0005123076923076922,0.00051,0.0005089999999999999,0.0004910204081632653,0.0005250000000000001,0.0004958620689655172,0.0004990909090909091,0.0005200000000000001,0.00048376344086021515,0.00048625000000000003,0.0005133333333333334,0.0004871428571428571,0.0005113888888888889,0.0005064615384615385,0.00048799999999999994,0.0005136559139784946,0.0005001851851851852,0.0004791891891891893,0.0004955555555555556,0.0005250000000000001,0.0005200000000000001,0.00046333333333333334,0.0005171428571428572,0.000504025974025974,0.0005207142857142857,0.000505,0.0004575,0.0005036974789915966,0.00051
70,0.0012070666666666669,0.0011125925925925925,0.0012766666666666666,0.0012675384615384617,0.0011893670886075946,0.001247142857142857,0.0011912903225806452,0.0011969736842105262,0.0012118987341772152,0.00120625,0.0012133333333333334,0.0011810204081632654,0.0012130303030303032,0.0012166666666666667,0.0012230588235294115,0.0012070833333333334,0.0012061904761904762,0.0011936708860759496,0.001182857142857143,0.0012052000000000002,0.0012107692307692308,0.0012216071428571428,0.0012376,0.0012120000000000002,0.0012434920634920633,0.001294,0.0011704838709677419,0.00119625,0.0012149411764705881,0.0012230645161290324,0.0012256,0.0012303846153846154,0.0012228846153846153,0.0012097560975609756,0.0012127777777777777,0.0012212500000000001,0.0011823684210526316,0.0012045454545454547,0.0012033734939759038,0.001199375,0.0012214285714285717,0.0012220212765957446,0.0011725,0.0011889999999999997,0.0012063157894736845,0.0011696842105263158,0.001178857142857143,0.0012355263157894738,0.0011628125,0.0012084482758620689,0.001252,0.0011872727272727274,0.0012180769230769233,0.0012491666666666667,0.0012480000000000002,0.0011791836734693878,0.001265,0.0012272413793103449,0.001178181818181818,0.001235,0.001214516129032258,0.001175,0.0012233333333333332,0.001197142857142857,0.0012469444444444444,0.0012013846153846157,0.0011286666666666667,0.0012240860215053764,0.001218888888888889,0.0011667567567567566,0.0011866666666666666,0.0012683333333333333,0.0013033333333333334,0.0010433333333333334,0.0013171428571428574,0.0012110389610389613,0.0012307142857142857,0.0012111290322580647,0.00114875,0.0011943697478991595,0.001176
80,0.0028570666666666664,0.002816666666666667,0.0027175,0.002763384615384616,0.0027955696202531643,0.00298,0.0029290322580645166,0.002787105263157895,0.0027999999999999995,0.002763125,0.0027412345679012342,0.0027595918367346933,0.002792424242424242,0.002820757575757576,0.002774705882352941,0.002887916666666667,0.0027675,0.002738481012658228,0.002740357142857143,0.002765333333333333,0.002842153846153846,0.002813392857142857,0.0026713333333333333,0.0027763333333333338,0.0028509523809523807,0.0028200000000000005,0.002519193548387097,0.002599375,0.002705529411764705,0.002778387096774193,0.0028156,0.0027830769230769233,0.002777115384615384,0.0027179268292682923,0.0027916666666666663,0.0027376785714285715,0.002833421052631579,0.0026227272727272727,0.0026948192771084336,0.0025937499999999997,0.002685714285714285,0.002833723404255319,0.0026012500000000003,0.002724,0.0028073684210526318,0.0027696842105263153,0.0026277142857142857,0.00282140350877193,0.00282375,0.0027664655172413796,0.00282,0.0027590909090909094,0.0028304615384615386,0.0028749999999999995,0.002725,0.0027720408163265306,0.002765,0.0028762068965517236,0.002814545454545455,0.0026875,0.002778709677419355,0.0026750000000000003,0.002628333333333333,0.002861428571428571,0.0028155555555555555,0.0026986153846153844,0.0026739999999999997,0.0027932258064516124,0.0027549999999999996,0.002764054054054054,0.0027355555555555557,0.0028366666666666666,0.0030900000000000003,0.002448333333333333,0.0027642857142857143,0.002803376623376623,0.0028164285714285713,0.002732096774193548,0.0027937500000000002,0.00264436974789916,0.002653
90,0.0019269333333333334,0.0018944444444444445,0.0018508333333333335,0.0019289230769230768,0.0018937974683544306,0.0019742857142857144,0.0019738709677419356,0.001876710526315789,0.0018853164556962027,0.0018925,0.0018669135802469134,0.0018375510204081634,0.001866060606060606,0.0019050000000000002,0.0018797647058823527,0.0019100000000000002,0.0018977380952380951,0.0018639240506329116,0.0018532142857142857,0.0018730666666666666,0.001916923076923077,0.0018982142857142858,0.0018586666666666669,0.001877333333333333,0.0019146031746031748,0.0019639999999999996,0.001776774193548387,0.001785833333333333,0.0018532941176470584,0.0018814516129032255,0.0018984000000000004,0.0019019230769230769,0.0018930769230769233,0.0018609756097560978,0.001893888888888889,0.0018641071428571426,0.0018939473684210521,0.00182,0.0018333734939759037,0.00180125,0.0018485714285714288,0.0019209574468085108,0.0017625,0.001838,0.001893684210526316,0.001887263157894737,0.001822142857142857,0.0019078070175438599,0.0019040625,0.0018812931034482762,0.001908,0.0018972727272727273,0.0019114615384615383,0.0019591666666666668,0.001871,0.0019024489795918366,0.001965,0.0019217241379310347,0.0018909090909090909,0.001905,0.0018586021505376347,0.00184,0.0018566666666666668,0.001881428571428571,0.0019194444444444448,0.0018489230769230768,0.0018040000000000003,0.0018970967741935485,0.001912314814814815,0.0018890090090090091,0.00181,0.0018616666666666666,0.00201,0.0018233333333333333,0.0019014285714285715,0.0019164935064935062,0.0019107142857142853,0.0018709677419354845,0.0019450000000000001,0.0018315126050420167,0.001772
100,0.0028416,0.002717407407407407,0.0026016666666666666,0.0028144615384615387,0.0026929113924050634,0.0029142857142857143,0.0029072580645161284,0.0027072368421052636,0.0027300000000000002,0.0026956249999999997,0.0026577777777777776,0.0026110204081632653,0.002695151515151515,0.0027545454545454544,0.0027383529411764704,0.002766666666666666,0.002718690476190476,0.002657215189873418,0.0025974999999999995,0.002715733333333333,0.0028004615384615386,0.0027664285714285716,0.0026693333333333335,0.002736,0.002719047619047619,0.002902,0.0025408064516129042,0.002608958333333333,0.0026657647058823527,0.002684838709677419,0.0027626666666666667,0.0027430769230769227,0.0027309615384615384,0.0026697560975609755,0.0027327777777777775,0.002601964285714285,0.002719078947368421,0.0025609090909090907,0.0026356626506024096,0.0024993750000000003,0.0026928571428571427,0.0027826595744680853,0.0025050000000000003,0.0027099999999999997,0.0027799999999999995,0.0027292631578947363,0.002581428571428571,0.0027606140350877194,0.002776875,0.002713793103448276,0.002764,0.0027854545454545454,0.00267023076923077,0.002815,0.002596,0.0026630612244897957,0.00266,0.002697241379310345,0.0027818181818181817,0.0027324999999999997,0.0026721505376344087,0.00263875,0.0026083333333333327,0.0027757142857142854,0.0026461111111111117,0.002609846153846154,0.002542,0.002653763440860215,0.002696481481481482,0.002676306306306306,0.0025855555555555554,0.002643333333333333,0.00272,0.0025483333333333334,0.002844285714285715,0.00282,0.002763571428571428,0.0026707258064516126,0.0027849999999999997,0.002566218487394958,0.002438
150,0.0033998666666666664,0.0034170370370370374,0.0028391666666666665,0.003021384615384615,0.0032481012658227846,0.0036714285714285716,0.0032411290322580644,0.003194736842105263,0.003029746835443038,0.003175,0.002773827160493827,0.003029795918367347,0.0031848484848484844,0.0032853030303030308,0.0030729411764705886,0.003147916666666667,0.0028805952380952385,0.003353417721518988,0.00318,0.00303,0.003724615384615384,0.0032067857142857145,0.0030745333333333335,0.002685333333333333,0.003208571428571429,0.0038339999999999997,0.0032227419354838712,0.00318,0.003058235294117648,0.003496451612903226,0.002978,0.003103846153846154,0.00303,0.002978536585365854,0.003168888888888889,0.002607678571428571,0.0032649999999999997,0.002986363636363637,0.0032750602409638554,0.002880625,0.003344285714285714,0.0034563829787234044,0.0029,0.0035609999999999995,0.00336578947368421,0.0033445263157894744,0.0032098571428571428,0.003087280701754386,0.0037546875,0.003250431034482759,0.003422,0.004059999999999999,0.0030336153846153846,0.0031541666666666667,0.002809,0.003073061224489796,0.003725,0.0029627586206896557,0.003429090909090909,0.002855,0.003099354838709678,0.0028575,0.0034333333333333334,0.003842857142857143,0.0030269444444444445,0.003240153846153846,0.0035533333333333337,0.0032840860215053768,0.003103425925925926,0.0031007207207207196,0.0028144444444444445,0.003288333333333334,0.0030433333333333337,0.00312,0.00361,0.0033090909090909095,0.003257857142857142,0.0031366129032258066,0.003715,0.0031808403361344535,0.0027140000000000003
200,0.003246666666666667,0.0034174074074074076,0.0026008333333333335,0.003469076923076923,0.004170506329113924,0.0026842857142857146,0.0027106451612903225,0.0028342105263157898,0.0021012658227848096,0.0026056250000000003,0.00291283950617284,0.0023961224489795914,0.0027342424242424238,0.0030769696969696965,0.0023288235294117647,0.0017870833333333332,0.00295797619047619,0.0033710126582278494,0.003021785714285714,0.0027182666666666667,0.0034866153846153844,0.002766964285714286,0.003307333333333333,0.002143333333333333,0.003248730158730159,0.004678,0.0030433870967741935,0.0033754166666666668,0.0035395294117647066,0.004130645161290323,0.0025753333333333336,0.0033069230769230775,0.004456346153846154,0.0029020731707317072,0.0026033333333333334,0.002999464285714286,0.002990394736842105,0.0036199999999999995,0.0041427710843373496,0.0031506249999999998,0.0022485714285714288,0.0035003191489361703,0.0034775,0.00337,0.0034057894736842106,0.0031058947368421057,0.0032281428571428574,0.0026650000000000007,0.0029206249999999996,0.0035020689655172414,0.003322,0.0033854545454545457,0.0038088461538461535,0.002084166666666667,0.002694,0.0029042857142857143,0.005045,0.002908275862068965,0.003557272727272727,0.0015500000000000002,0.0027244086021505367,0.003385,0.004516666666666666,0.003262857142857143,0.004786111111111112,0.004009384615384615,0.0038493333333333335,0.004357849462365592,0.00351037037037037,0.003558018018018018,0.003015555555555555,0.004033333333333333,0.00382,0.00411,0.004205714285714286,0.0030731168831168833,0.0038242857142857145,0.0033211290322580646,0.0037075,0.003780336134453781,0.0028049999999999998
250,0.0029476,0.003498148148148148,0.0030450000000000004,0.002496923076923077,0.003472151898734177,0.002742857142857143,0.002195322580645161,0.0025438157894736844,0.0020546835443037976,0.0023743749999999997,0.002605185185185185,0.0020330612244897957,0.0028863636363636366,0.0027239393939393944,0.0021937647058823525,0.0020679166666666667,0.002533095238095238,0.002701518987341772,0.0031410714285714297,0.002695866666666667,0.002950615384615385,0.0032333928571428574,0.002434133333333333,0.0019160000000000002,0.0023301587301587305,0.004646,0.002617903225806452,0.003308125,0.00316564705882353,0.003170000000000001,0.0022992000000000004,0.002509615384615384,0.004318653846153845,0.0023612195121951217,0.0025288888888888895,0.00249375,0.0026405263157894734,0.0029336363636363635,0.0035715662650602415,0.0028025000000000003,0.0019614285714285714,0.002465531914893617,0.0034625000000000003,0.003483,0.0025978947368421055,0.0026244210526315793,0.0026328571428571425,0.0022137719298245613,0.0025540625,0.002756896551724138,0.0027859999999999994,0.0032009090909090915,0.0032020769230769234,0.001989166666666667,0.003765000000000001,0.0028751020408163265,0.005245,0.0022489655172413794,0.0030145454545454546,0.0017324999999999999,0.0019995698924731176,0.0033425,0.0033450000000000003,0.002817142857142857,0.004362500000000001,0.003101230769230769,0.0034373333333333335,0.003893440860215054,0.0032305555555555555,0.0025878378378378373,0.0027055555555555557,0.005043333333333334,0.004616666666666667,0.003578333333333334,0.004478571428571429,0.0022948051948051946,0.0027457142857142854,0.002994112903225807,0.00362625,0.003229915966386554,0.0027550000000000005
300,0.0017709333333333329,0.002052962962962963,0.0014099999999999998,0.0012352307692307693,0.0020260759493670884,0.0013842857142857144,0.0012508064516129028,0.0014125,0.0010829113924050635,0.0011506250000000002,0.0012141975308641976,0.0011885714285714286,0.001164848484848485,0.0016413636363636363,0.0010648235294117645,0.0011104166666666667,0.0011705952380952382,0.0014541772151898736,0.0016649999999999998,0.001652,0.0018724615384615386,0.002329464285714286,0.0011688,0.0011259999999999998,0.0009523809523809523,0.00368,0.0012414516129032258,0.002039375,0.001989176470588235,0.0018656451612903224,0.001262,0.0012857692307692305,0.003248461538461538,0.001290731707317073,0.0014738888888888887,0.0014358928571428572,0.0015365789473684216,0.0019454545454545456,0.0025183132530120483,0.00201875,0.0014342857142857143,0.0014502127659574468,0.00191625,0.002964,0.001413684210526316,0.001634631578947368,0.0016150000000000001,0.001171578947368421,0.0018006250000000001,0.001669396551724138,0.0014919999999999998,0.0025445454545454547,0.002034,0.0013383333333333335,0.002431,0.0017618367346938773,0.003345,0.0012196551724137931,0.0025509090909090915,0.001005,0.0010881720430107526,0.00188625,0.002191666666666667,0.0016985714285714288,0.002660277777777778,0.0020732307692307695,0.0023639999999999998,0.0027235483870967745,0.002151296296296296,0.0013838738738738737,0.001738888888888889,0.0037266666666666663,0.0028966666666666667,0.0023650000000000003,0.003357142857142857,0.0014994805194805194,0.001455,0.0016358870967741936,0.0022725,0.0022221008403361343,0.002032
