Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,3.5735901534887185e-05,3.749177280783274e-05,2.96139981704376e-05,3.708538557615471e-05,4.189328446264432e-05,3.0408381462621037e-05,3.703122738149813e-05,3.5410691512688096e-05,3.300091514033796e-05,3.568299757716886e-05,3.4413028549385706e-05,3.5693676701547315e-05,3.815672855787191e-05,3.49047303864085e-05,3.529992262723253e-05,3.5331804231949114e-05,3.8704128136097484e-05,3.5823632279522216e-05,3.300158583182825e-05,3.4903110572486186e-05,3.6289842431030524e-05,3.222132220668884e-05,3.9253770009963775e-05,3.576347104778203e-05,3.7202620559481955e-05,2.6369459374109282e-05,3.445130876629733e-05,3.672914798850494e-05,3.286250112603953e-05,3.6502164690436104e-05,3.409310074251456e-05,2.8733975411271855e-05,3.87257754867348e-05,3.4179052984588294e-05,3.64985219473763e-05,3.7673933417993665e-05,3.562844912458355e-05,3.2271195777866524e-05,3.578209911956289e-05,3.2624248547108436e-05,3.569888862589973e-05,3.73867180430952e-05,3.293074496468762e-05,3.962762802984798e-05,3.841950839207704e-05,3.387500109965913e-05,3.349033290110778e-05,3.4602216980298785e-05,3.418401553290096e-05,3.5460828532199353e-05,3.8622839929303156e-05,2.8714506449680563e-05,3.3936292416351185e-05,3.549144579058824e-05,4.159141881245887e-05,3.374642426711127e-05,4.517096658673836e-05,3.4430018786224537e-05,3.5917047088415444e-05,4.0418634853267577e-05,3.3980923426595406e-05,5.528452925318561e-05,3.3314396508406695e-05,2.4284201832155565e-05,3.353524875314583e-05,3.475489923473036e-05,3.8648013529988626e-05,3.367984461346491e-05,3.445242043232645e-05,3.3144265159477925e-05,3.322048016545725e-05,2.8722094612021465e-05,2.898494858527556e-05,3.5455780865352914e-05,4.1846671073082166e-05,3.613031055595327e-05,3.295425702682613e-05,3.696464601753471e-05,3.9201657727971906e-05,3.3821801159373374e-05,4.185532179690199e-05
10,3.573126362122518e-05,3.749041260797875e-05,2.9606413590954617e-05,3.7083549712126395e-05,4.1888045059381454e-05,3.040437981586105e-05,3.702262053974987e-05,3.540219315829362e-05,3.299630047934707e-05,3.567459589248756e-05,3.4407348721288145e-05,3.568822377966004e-05,3.815191705529507e-05,3.4898920038165557e-05,3.529280516779502e-05,3.5327497471371316e-05,3.86993356187304e-05,3.581816483485362e-05,3.299986097512634e-05,3.4897855621238704e-05,3.628206591551694e-05,3.2214834391197655e-05,3.924748964588313e-05,3.575401212098465e-05,3.719474781454275e-05,2.636199278640561e-05,3.444673325981468e-05,3.672077055701569e-05,3.2856044451952636e-05,3.6496685630305776e-05,3.408389685015815e-05,2.8731011542941604e-05,3.871743230704921e-05,3.417114725735013e-05,3.649282795474088e-05,3.766875673656094e-05,3.562227108264587e-05,3.2265703173999846e-05,3.5775631439752166e-05,3.262236225509696e-05,3.569433387643325e-05,3.738011150260795e-05,3.2923696608122555e-05,3.9626197576581035e-05,3.841778772383757e-05,3.387017984909777e-05,3.348412048061229e-05,3.4596686785797624e-05,3.417686096440775e-05,3.5453566052355793e-05,3.862204248434864e-05,2.8709274622749284e-05,3.3931566458005154e-05,3.549315260897856e-05,4.158574447501451e-05,3.373755617405773e-05,4.515318232733989e-05,3.4426144087899895e-05,3.591180161906364e-05,4.04092079406837e-05,3.3976904105461424e-05,5.527568828256335e-05,3.330145530829517e-05,2.4279819107115535e-05,3.353167363052812e-05,3.4750114732909985e-05,3.86432295878573e-05,3.3675154945838155e-05,3.444746182510614e-05,3.3138154248189424e-05,3.321276360818754e-05,2.872082040994428e-05,2.8985689520292606e-05,3.5449792145906635e-05,4.18410797595113e-05,3.612589302207056e-05,3.2948077270183216e-05,3.6957170044432486e-05,3.919731489077094e-05,3.3818031418476714e-05,4.185190737189259e-05
20,4.109759446388731e-05,4.1150917779843976e-05,4.091643919916047e-05,4.142297738536189e-05,4.134169842162217e-05,4.0810624860958864e-05,4.1330489928499915e-05,4.112336663590548e-05,4.1033171477972214e-05,4.1234006857848726e-05,4.1145131641921275e-05,4.123206755528892e-05,4.124209733686946e-05,4.111709373925502e-05,4.116962445550598e-05,4.094435871593305e-05,4.128079135192647e-05,4.121689451932082e-05,4.093391973063782e-05,4.1202906043812015e-05,4.12120957872293e-05,4.093197380175947e-05,4.1428082380055763e-05,4.1292599901983826e-05,4.134260869625631e-05,4.0904925117501986e-05,4.1187947229651226e-05,4.119097320653964e-05,4.1265485197072846e-05,4.1220416483889905e-05,4.103718771754454e-05,4.1027933968087804e-05,4.14382838453793e-05,4.1005336864079096e-05,4.118524541101781e-05,4.1335738062896e-05,4.123401346365235e-05,4.102941569395956e-05,4.1225255568335055e-05,4.1480870322629926e-05,4.090192617565792e-05,4.11731807810398e-05,4.096527527508442e-05,4.136831412324682e-05,4.11829735783517e-05,4.1075796042078814e-05,4.117004562950959e-05,4.123528685197112e-05,4.119645143418893e-05,4.120020103386949e-05,4.1623218567110595e-05,4.087218224991705e-05,4.1336160631125004e-05,4.109172459720867e-05,4.1611873893998566e-05,4.110737553469799e-05,4.171844739175867e-05,4.0969856917368376e-05,4.098460009448569e-05,4.1392530874873046e-05,4.108056639789313e-05,4.1964053252740996e-05,4.110572929979147e-05,4.0572636602779054e-05,4.12120395291519e-05,4.129006237445328e-05,4.1188367079788196e-05,4.127805020474899e-05,4.131898788694309e-05,4.110172101734877e-05,4.119433166730838e-05,4.132547534633583e-05,4.122808362202098e-05,4.1438950574956834e-05,4.133826327493547e-05,4.1123120720474076e-05,4.097619759184974e-05,4.1236383778244e-05,4.128860473429086e-05,4.1227501005319754e-05,4.1399902693228795e-05
30,0.00011417167998539904,0.00011392840032284666,0.00011453098159108777,0.00011446913972926828,0.00011433944184571811,0.00011340751890592011,0.00011411463961966576,0.0001140567100695702,0.00011369541054959939,0.00011441821425250964,0.00011413084378287794,0.00011451305240649274,0.00011425652580025296,0.00011384657431556138,0.00011412786612602169,0.00011344853980214491,0.00011465522081943207,0.00011428032469010287,0.00011393033829725547,0.00011433501824891816,0.00011397073002836596,0.00011364041022586337,0.0001144628850549149,0.00011411742355752116,0.00011444417113024328,0.00011410041333874688,0.00011415385538824804,0.00011413282072680886,0.00011433039625819005,0.00011423630900436922,0.0001140539701251934,0.00011420843629121709,0.00011457809075811663,0.00011382107789736105,0.00011393457033490349,0.00011488142510123518,0.00011423721642993194,0.00011396021000109613,0.00011447507929104571,0.00011483833759484696,0.00011430681895165305,0.000113977848470429,0.00011400443418096984,0.00011416888883104548,0.00011415868395584097,0.00011399921794164631,0.00011475619238418794,0.00011450693400866727,0.00011428152970438532,0.00011428895263163903,0.00011515209189383313,0.00011385982229099186,0.00011464401546758241,0.00011452738423637736,0.00011594314128160477,0.00011433581661252419,0.00011616845949902199,0.00011448034061247418,0.00011361549695720896,0.00011473042286525015,0.00011417322680391672,0.00011541220283106668,0.0001149860715183119,0.0001132229673593039,0.00011484461902000476,0.00011448979986688266,0.0001140424389935409,0.00011472898948204113,0.00011489945919257243,0.00011443436875475806,0.00011376074932438011,0.00011455021982934947,0.00011402177915442735,0.00011475968616044459,0.00011447320347152916,0.00011403909149238017,0.00011395793938260925,0.00011464498628253838,0.00011446739335951861,0.00011422024275999939,0.0001147278759162873
40,8.417547001348187e-05,8.381621430291691e-05,8.401213077983509e-05,8.396871170799177e-05,8.385159890167415e-05,8.424799099364983e-05,8.446657821261925e-05,8.426047641382626e-05,8.400640263637717e-05,8.467799170830403e-05,8.385208701962077e-05,8.437009893562074e-05,8.431957151818399e-05,8.419599070100847e-05,8.439242391271846e-05,8.463112377891473e-05,8.413409384610575e-05,8.431597105507396e-05,8.356455353870322e-05,8.436726639047266e-05,8.404549600807233e-05,8.44020534194507e-05,8.395187770171712e-05,8.446004261107495e-05,8.426476634913199e-05,8.38073596241884e-05,8.423625108515543e-05,8.379809150937945e-05,8.411615665810292e-05,8.430195779393187e-05,8.393612273115044e-05,8.458557036087419e-05,8.429532751436524e-05,8.376175404608635e-05,8.43976785189524e-05,8.404871134968874e-05,8.412479588801751e-05,8.32319690909406e-05,8.381245521399339e-05,8.403292031289311e-05,8.237248922731461e-05,8.402929380920002e-05,8.353366138180718e-05,8.43544832605403e-05,8.422621574841047e-05,8.375262282482398e-05,8.384142399466197e-05,8.407916366674104e-05,8.409347810811596e-05,8.366847791405925e-05,8.341094362549484e-05,8.416841063246301e-05,8.405606696704546e-05,8.373135945779116e-05,8.389217546209693e-05,8.38606400956989e-05,8.42739682411775e-05,8.429117864078104e-05,8.374773791398515e-05,8.388849528273568e-05,8.392016572679983e-05,8.456205887341639e-05,8.445613517930421e-05,8.358927152585238e-05,8.372678045513264e-05,8.42845496103669e-05,8.335368329426274e-05,8.391419193089029e-05,8.390368431584513e-05,8.413603810933293e-05,8.481402700353e-05,8.406531681733516e-05,8.331776431684072e-05,8.304340493244429e-05,8.398788070605536e-05,8.346727894628178e-05,8.436776157135942e-05,8.388362831253963e-05,8.431959304289194e-05,8.3710637066842e-05,8.41609486087691e-05
50,8.782080879124502e-05,8.505888803887906e-05,8.958622432449677e-05,9.016653594489281e-05,8.91077527083763e-05,8.842436675747325e-05,8.50310274061837e-05,8.68648613073961e-05,8.757140395700154e-05,8.851962456901674e-05,8.91735437534531e-05,8.69606005928327e-05,8.857119025902428e-05,8.844604963087477e-05,8.783552552545992e-05,8.52806078910362e-05,8.796736741108664e-05,9.106208892285682e-05,8.675908143881575e-05,8.820911326135198e-05,8.851650222473277e-05,8.793482096994662e-05,9.148590606249249e-05,8.870857539780749e-05,8.780771375833345e-05,8.795595349511131e-05,9.200160017034279e-05,8.866963435139041e-05,8.827677494777805e-05,8.860901148328858e-05,8.649439570338776e-05,8.687379018878206e-05,9.228499752330557e-05,8.538150297415374e-05,8.729674340833703e-05,8.825629382564719e-05,8.680248193789004e-05,8.89561336159452e-05,8.94056891367479e-05,8.913750343708671e-05,8.791469632082485e-05,8.831677707271314e-05,8.826741031953134e-05,8.997345939860679e-05,8.769504194405224e-05,8.753963154863174e-05,8.840708126496922e-05,8.71870576239624e-05,8.792112680566788e-05,8.878145371423231e-05,9.424010495422408e-05,8.871216943424025e-05,8.854943595137089e-05,8.937962896501024e-05,9.249086360796355e-05,8.839775947141176e-05,9.53164926613681e-05,8.670316185151902e-05,8.985654130810872e-05,8.712796079635154e-05,8.544131896899192e-05,9.010575377033092e-05,9.294585227811088e-05,8.630634900847716e-05,9.26801642183111e-05,9.13937122767003e-05,8.864290672742452e-05,8.77517119978845e-05,8.996421321946266e-05,8.887531897074098e-05,9.146072342345078e-05,9.011812411093463e-05,9.053693793248385e-05,8.701531017626014e-05,8.885252568039245e-05,8.730669812051362e-05,9.048901795592559e-05,8.893658014130779e-05,8.345643618667964e-05,8.825969404419649e-05,8.901913679437712e-05
60,0.00018633730612539997,0.0001657550488339944,0.00020419750459647426,0.0001913804043747055,0.000190272343365617,0.00019717985456476787,0.00018248975491939832,0.0001892640010689655,0.0001913411854073712,0.0001958691300387727,0.00019698960233744187,0.0001916532768221686,0.00018996286918550277,0.00019269173825512442,0.00019295851833543137,0.00018554441582333917,0.00019294525095791046,0.00019141318110006426,0.0001829660164470884,0.00019569024288405975,0.00019542371715383175,0.00019659051031339914,0.00020172667126947393,0.00018943368001297738,0.00020040468601990373,0.0001954098872374743,0.0001906538806994626,0.00019589776820794214,0.00019082912442493525,0.00020035203370723814,0.0001895568372371296,0.00020385723921488255,0.0001972055710771551,0.00018875084522112113,0.00018602819990418438,0.00019568382127285337,0.0001827001573187054,0.0001890323487300934,0.00019050474648212408,0.00018727549286268186,0.00018078591840873872,0.00019179326169405805,0.000207429611691623,0.0001940848131198436,0.00018324638183816875,0.00017926233359551253,0.00018475455498056752,0.0001918357792371688,0.0001800916711545142,0.00018802249655107455,0.00019477274036034943,0.00018734004962342706,0.00019762495917697938,0.00018719860357426418,0.00019035965378861875,0.00018193094179804,0.00019503195653669536,0.00019212894428698025,0.00019254091470925644,0.00019061447164858691,0.0001832007999113831,0.0001807294538593851,0.0001863256208404588,0.0001847179643976103,0.00019445375639608956,0.00019432560455662988,0.00018227508796068528,0.00019477171243183436,0.00019227482691887957,0.00017331843742909883,0.00019166885047323175,0.00020817276526940987,0.00020125756176033369,0.0001619346318572449,0.0001954870780796877,0.00019182598005901635,0.00020016834917311956,0.000192750897000341,0.00016927601063798647,0.00019254863111521392,0.00019695487280841918
70,0.0004175381700042635,0.00037997493604456796,0.0004181389764805014,0.00039990145731000945,0.00039179941077121307,0.0004586955889992948,0.0004262455092224803,0.00040530536659245725,0.0003995737611666864,0.0004182356897217687,0.00040253682815136367,0.00040809862013925247,0.0004159428697841411,0.00041261728002802664,0.00042722095865482357,0.00043017828041532386,0.0004043277319093856,0.0003942227892907737,0.0004018529985582323,0.0004060194614188125,0.00040487980720801996,0.0004067662017145527,0.0004136995094207426,0.00041664165910333396,0.00042117138842253813,0.00037421779707074164,0.00040090899006651353,0.0004050808723453277,0.00039499545100090257,0.00038645141631282206,0.0004113223368767649,0.0004083108741234845,0.00039635950144237053,0.0003901784959186732,0.00041320671799540933,0.00040614668224796854,0.00042132465061609094,0.00038034028363075447,0.0003931115881795153,0.0003839619985228637,0.00041225053636091095,0.0004183267589356314,0.0003803025720117148,0.0004088961490197107,0.00041898017546995297,0.000398673214275684,0.0003961659180017055,0.00043946337960701305,0.0004216112683934625,0.0004029923157790547,0.0004434987378772348,0.0004053523007314652,0.00038271472574426577,0.0004162137799236613,0.0004245558608090505,0.0003966012454653463,0.00036679927143268287,0.000411975834767559,0.0004296504537871277,0.0003784947912208736,0.0004263902646339228,0.00038579282045247965,0.00038426236521142226,0.00041298658470623195,0.0003916349519891406,0.000396053019973736,0.0003660086852808793,0.0003776479636379067,0.0003985271056687149,0.00038033308865615745,0.0004079597517071913,0.0004368839242185156,0.000386217162789156,0.00033442875428590924,0.0004488241393119097,0.00040139043182074155,0.00041376088587899825,0.00039404015420117387,0.00038763773773098364,0.00037874176167929937,0.0004192274936940521
80,0.0007668532357395937,0.0007276765234699404,0.0007185768796868312,0.0007016422867309302,0.000724725036946703,0.0008202725356178624,0.0008061141265751494,0.000739307562502003,0.0007294709484764858,0.0007463098481821362,0.0007144596181913383,0.0007497218362654426,0.0007350011719884633,0.0007532677854848744,0.0007560142706257894,0.0007819282206279846,0.0007299133011699832,0.0007187949266591215,0.0007132880896928587,0.0007382611402620871,0.0007366909166403974,0.0007396650336366812,0.0007043685531243682,0.0007427065982483327,0.0007717854709231428,0.0006938566220924258,0.0006727444349728044,0.0006900242569827242,0.0006963723801377723,0.0007184962591817302,0.0007399982039351016,0.0007298721958739826,0.0007298545270504502,0.0007112094125903506,0.0007423364537923286,0.0007319444651199904,0.0007754161848233229,0.0006582244690930979,0.0007093797854417149,0.0006911094096722081,0.0007279323763214052,0.0007554722437139679,0.0006736341383657418,0.0007338160008657724,0.0007446041226534075,0.0007247331509317614,0.0006962530697429819,0.0007793434738312243,0.000778850371716544,0.0007339656460379925,0.0007328459061682225,0.0007330356218682772,0.0007273889572108881,0.0007558811194030568,0.0007255547330714762,0.0007245316941110531,0.0007151374884415418,0.0007834912474459872,0.0007689719416455112,0.0006670012371614575,0.0007545626196529597,0.0007260342463268898,0.0006569988278594489,0.0007749164859498185,0.0007271271121377746,0.0007191578011350849,0.0007168070801223318,0.0007210204281383545,0.000717957049750516,0.0007367668862702107,0.0007208343271890448,0.0007800318029088279,0.0007297903260526558,0.0006095855933381245,0.0007711496520122248,0.0007346919745315689,0.0007494849851354957,0.0007042241204837938,0.0007096093540894799,0.0006719160225328465,0.0007253911229781806
90,0.0007122184825129807,0.0006655459205999419,0.000695372485400488,0.0006807653931900859,0.0006918616046174134,0.000734849924421204,0.0007162033599020253,0.0007047053268730739,0.0006949945973362066,0.0007354044500971213,0.0007034850904695046,0.0007009356073579009,0.0006902401607173184,0.0007160062906967306,0.0006980407133917599,0.0007106498766612882,0.0006899598381659459,0.0006839588514375912,0.0006579561023889775,0.0007029152964241803,0.0006993912966348804,0.0007142119554503422,0.0006958184624090791,0.0006956070583934586,0.0007233719871793357,0.0006986315478570759,0.0006844047255130604,0.0006802532134315697,0.0006881404236671241,0.0006960101281067416,0.000685457040866216,0.0007087757896023014,0.0007036486942804634,0.0006804837463366822,0.0006995950534474105,0.0006988153098583487,0.000706430835539083,0.0006638690247200429,0.0006750845785129322,0.0006738899537594989,0.0006840805456574474,0.0007019252454406245,0.0006801578638260253,0.0006849834695458412,0.0006927193087329598,0.0006942009553313255,0.0006786866920135383,0.0007084244709020775,0.0007252264531416586,0.0006876542874720301,0.000721981399692595,0.000720348367890851,0.0006946851803849523,0.0007080278058613961,0.0006796770205255598,0.000691977431712558,0.0007511866861023009,0.0007130142004261243,0.0007203839063136415,0.0006874296086607501,0.000687776897628341,0.0006820400521974079,0.000658082232500116,0.0007012387671108757,0.0007093798938310809,0.0006873576015305634,0.000691833405289799,0.0006986017750766409,0.0006869460822027004,0.0006898585859023303,0.000688248165210502,0.0007202503620646894,0.0007016406743787229,0.000676643733944123,0.0007194416830316186,0.0006985542766580528,0.0007025308150332421,0.0006799774557528567,0.0006612048237002455,0.0006737619163488046,0.0006839372275862843
