Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,2.2818680463387864e-05,2.3728504216975393e-05,2.05028571447959e-05,2.7050885910284707e-05,2.328291649766608e-05,2.5027863557625096e-05,2.1541194230174427e-05,2.071930688735416e-05,2.305980484103386e-05,2.2409121470445825e-05,2.3776398264112404e-05,2.200861280823806e-05,2.4530001996247325e-05,2.2379316581491643e-05,2.2760508176468325e-05,2.026533608538254e-05,2.7579699895969022e-05,2.5162890779029112e-05,2.3828383843595346e-05,2.383440454044224e-05,2.2033554257807108e-05,2.274981427165455e-05,2.689539612523125e-05,2.2088756577431922e-05,2.2862082698252162e-05,2.8091143394703977e-05,2.4779893377149897e-05,3.065670068735926e-05,2.590199390611173e-05,2.509003596999044e-05,2.340238122997107e-05,2.4280728177053297e-05,2.284553131805576e-05,2.4743001420840923e-05,1.8738931733726833e-05,2.901327595087163e-05,2.1893588693369804e-05,2.1436106428816196e-05,2.691701258782014e-05,2.933895262913211e-05,2.0370410051587635e-05,2.3653113372502242e-05,3.2872486713131366e-05,2.0555486207740616e-05,2.3563153406844083e-05,2.3834702484524123e-05,2.740460102878777e-05,2.4345472582896483e-05,2.2580009670036816e-05,2.6992614658442547e-05,2.2801266095484606e-05,2.2903500559385232e-05,2.5480756931546447e-05,2.372667753055187e-05,2.8670026313193376e-05,2.6545848840567264e-05,3.8474889151984826e-05,2.7401710212870967e-05,2.138315597800432e-05,2.1440323962451657e-05,2.3469178041102747e-05,2.522379338643077e-05,3.0080965643719537e-05,2.140040084798654e-05,3.159117017680223e-05,2.5451894655886393e-05,2.823325824768593e-05,2.6577118924544793e-05,2.638381227337016e-05,2.597075187319812e-05,1.9511692799925287e-05,2.2862950269579112e-05,2.1547619629321464e-05,4.8581144862206806e-05,1.5955513585400434e-05,2.3501969369501784e-05,3.3828370110963336e-05,2.7773246485242366e-05,2.1809813915751874e-05,2.708984480063116e-05,2.099920366163133e-05
10,2.2829341560282046e-05,2.3740410378431313e-05,2.0511537513812073e-05,2.706132132656281e-05,2.3293066429756392e-05,2.503751108763806e-05,2.1549787627537304e-05,2.0726357314216377e-05,2.3068852010798268e-05,2.2415198031922046e-05,2.3784276531785756e-05,2.2015299264796563e-05,2.453705705689076e-05,2.2388637462151536e-05,2.277087058460251e-05,2.0273928801846825e-05,2.7592111943401203e-05,2.5175552303763547e-05,2.383911341244779e-05,2.384355319615376e-05,2.2044203461309034e-05,2.2760895863679514e-05,2.6907830530641756e-05,2.2097263687707407e-05,2.287134014165661e-05,2.8101648422307334e-05,2.478871345139792e-05,3.0673601448446185e-05,2.5912347807795465e-05,2.5099993044639105e-05,2.3411134473766046e-05,2.4290837910274815e-05,2.2853105572441844e-05,2.4753425050886752e-05,1.8746043072799996e-05,2.9021436180950593e-05,2.1900911047180815e-05,2.1442279252038464e-05,2.692911157392229e-05,2.9348271823437244e-05,2.0377664441184606e-05,2.3664001499592486e-05,3.288285279268166e-05,2.0561058499879435e-05,2.357388171060991e-05,2.3845410779406512e-05,2.7416577683782503e-05,2.435739009885302e-05,2.259225138345755e-05,2.7003363552937336e-05,2.2807748791819904e-05,2.2909299166878387e-05,2.5490679553723356e-05,2.3736061090554966e-05,2.868369492716738e-05,2.6555947609880124e-05,3.8480152397823986e-05,2.741592878261019e-05,2.1391359041444957e-05,2.1451260181493126e-05,2.3479379618243734e-05,2.5238780381187098e-05,3.0101725921364657e-05,2.140785051908876e-05,3.1604689512379184e-05,2.5462541214857572e-05,2.824311814038083e-05,2.6588132876044725e-05,2.6392644890115156e-05,2.598000852181891e-05,1.9518137378327083e-05,2.2867309629267158e-05,2.1560618733929005e-05,4.860005052857256e-05,1.596029155085229e-05,2.3510740619087018e-05,3.3846428063303134e-05,2.778452909707642e-05,2.1820657366333762e-05,2.70980763314644e-05,2.1005774760851638e-05
20,3.5046012393043686e-05,3.507719426394302e-05,3.4902563432600196e-05,3.5193360907634575e-05,3.488426706628414e-05,3.503560375455501e-05,3.5174168172694235e-05,3.512437835620643e-05,3.514275568370896e-05,3.513526803544664e-05,3.495607534991175e-05,3.513161736547624e-05,3.5074289233748324e-05,3.5076382063738436e-05,3.501839288647341e-05,3.506253293987053e-05,3.5073631070623555e-05,3.503816526661674e-05,3.509764142758546e-05,3.508220164803788e-05,3.5070383231728694e-05,3.523177279670823e-05,3.5063940013060344e-05,3.5065174476282364e-05,3.5114433904666276e-05,3.528989473124966e-05,3.499205212715277e-05,3.5184968358710954e-05,3.507463154485723e-05,3.5026892170032126e-05,3.50129606279855e-05,3.5098075526408276e-05,3.496992380510514e-05,3.504084372430154e-05,3.4925658837892115e-05,3.5093449566504986e-05,3.501526991481354e-05,3.4952774678293444e-05,3.500589323321256e-05,3.508666009111039e-05,3.494390330160968e-05,3.4998899130361215e-05,3.5415092042967444e-05,3.514523414196447e-05,3.500763513760543e-05,3.507711172508272e-05,3.5140661254575075e-05,3.5029950276223466e-05,3.5166883776582836e-05,3.514800438755754e-05,3.477398422546685e-05,3.52386060430118e-05,3.500141370190809e-05,3.519619804137619e-05,3.486770692688879e-05,3.516031255439513e-05,3.5189068512408994e-05,3.530476533342153e-05,3.512376761963506e-05,3.4598197089508176e-05,3.4997300224526416e-05,3.499660897432477e-05,3.468930663075298e-05,3.514418858685531e-05,3.497481066006003e-05,3.500657196407421e-05,3.523058937086413e-05,3.504231422720226e-05,3.499218362574336e-05,3.501391738363718e-05,3.502302044782684e-05,3.491781353659462e-05,3.4817920095520094e-05,3.5524344639270566e-05,3.491864013735072e-05,3.50029738721976e-05,3.519758632007454e-05,3.506124287542339e-05,3.482747024463606e-05,3.5237769997128905e-05,3.49045902112266e-05
30,0.00015529931813944132,0.0001537370963315307,0.00015471991112766167,0.0001542942267126189,0.00015519252614283203,0.0001572639323837523,0.00015576257306571689,0.0001555393608118481,0.00015539235746358298,0.00015566089859930798,0.00015462766222535047,0.00015642075283852006,0.00015337854424477413,0.00015516903879346722,0.00015449825646903585,0.00015487257951463107,0.00015528448611370376,0.0001529479169808446,0.00015488214246163677,0.0001555706492702787,0.00015433437119309718,0.00015512026272647615,0.00015320655870406578,0.00015343601795999955,0.00015354837015611194,0.00015702031087130308,0.00015310355111949086,0.00015503696007120502,0.00015376449069556068,0.00015368237208965565,0.00015592681399236122,0.00015554787387372926,0.00015372044351981737,0.00015517464990119973,0.0001546197664639395,0.00015534107322829577,0.00015587680153609989,0.0001558340895412998,0.00015462109789600125,0.00015407831051561516,0.00015717943356971124,0.00015452154107054974,0.00015581643310724758,0.0001542397847515531,0.00015547690839555703,0.0001558199618318069,0.000155602721705301,0.0001557895814409692,0.00015491908561671153,0.0001550037218137355,0.00015364858554676176,0.00015630253950472581,0.00015411630212418877,0.000156744544559236,0.0001561306431540288,0.0001553438995294843,0.00015379235264845192,0.00015624345868328135,0.00015529566603204742,0.00015398089817608707,0.0001550306915305555,0.0001526904852653388,0.00015279895160347223,0.0001561054980681677,0.00015404364886409085,0.00015442071957155488,0.00015538802545052023,0.00015471152562562937,0.0001544388272762902,0.00015526315169031354,0.00015312857511970733,0.00015600898768752813,0.00015251416092117628,0.00015663432228999832,0.00015594023404576416,0.0001562194805743487,0.00015393918978848627,0.00015381463996281156,0.0001544580973131815,0.00015458773098643398,0.00015378459938801824
40,0.0006096927006728947,0.0006083311702780149,0.0006015618370535473,0.0006015717535494612,0.000610362134926917,0.0006263083113091332,0.0006221458024811,0.0006127209321436423,0.0006128074453931443,0.0006161881065054331,0.0006042982683011135,0.000623238000933233,0.0006017226207239384,0.0006091152917537274,0.0006086371969157721,0.0006108490100208049,0.0006093697191404534,0.0005958415214208108,0.0006164923813360344,0.0006087111394541959,0.0005976024952430564,0.0006004875270134237,0.0005996470875106752,0.0006034977229622503,0.0005960160439523557,0.0006033569923602044,0.0006031054353732015,0.0006089538922727419,0.0005969041691380827,0.0005897171138184926,0.0006170459060619275,0.0006032511368035697,0.0006016618124424265,0.0006091571412980556,0.0006066861905209306,0.0006092075408170265,0.000622720468335932,0.0006046675526621667,0.0006059489657552576,0.0006005449868098367,0.0006328046022515212,0.0006114597843484359,0.0005958438632660545,0.0006011051358655095,0.0006219295870610758,0.0006249605022419833,0.0006165721861179918,0.0006208506549643189,0.0006185748188727302,0.0006079283690457393,0.0005987925105728209,0.0006145850903439251,0.000593461608961941,0.0006222367034448931,0.0006195803580339998,0.0006160270375180609,0.0006036068953108042,0.0006096153218973557,0.0006227040165950629,0.0005981293506920338,0.0006153739360411481,0.0005907540398766287,0.000593148433836177,0.0006103946777459766,0.0006000702269375324,0.0006070074213382143,0.0006063539340781669,0.0005994001985527575,0.000607567474448674,0.0006193705763130843,0.0006045698343465725,0.000608467545437937,0.000595827994402498,0.0006151449439736704,0.0006205160669716341,0.0006182381162093347,0.0005949595859939498,0.0006047348973468968,0.0006258113207877614,0.0006008944082848665,0.000601037044543773
50,0.000403645927629744,0.00041997665000424066,0.0003662509504162396,0.0003683039027516945,0.00038822122983622683,0.00041587516898289323,0.0004323036034381197,0.0004034731069910585,0.00040167635874056455,0.0004015975191578036,0.0003723369934308676,0.0004109430562809338,0.00040407654137886834,0.0003950886563292112,0.00040359259805614674,0.0004240568778186571,0.00039081642483194755,0.0003724738633513592,0.0004133810497088624,0.0003902460673513512,0.00038193502427580264,0.0003907661895417342,0.000368571801809594,0.00039601695898454635,0.00038330551903946176,0.00036002046545036137,0.0003776450617043602,0.0003805762286598717,0.0003749855739228866,0.00036426956601996697,0.000400791682380562,0.00039087900390418677,0.00036364955415662663,0.00039970701050706116,0.00040211093437392265,0.00038793694641624043,0.00041584036846056973,0.0003689525990260088,0.0003768170756674989,0.00037834805152670015,0.0003987254001133676,0.0003974663057770739,0.00033554656329215504,0.00038394994335249065,0.00041288469679114456,0.0004159427557361165,0.0004005435991400321,0.00040674678498282704,0.00042019418651761953,0.0003783500671551306,0.0003406753879971802,0.00040283901564014906,0.0003561219623616825,0.00039156750426627696,0.00036648861423600466,0.00040460981746983466,0.0003557992458809167,0.0003928809641491108,0.00040607294861481273,0.000379953627998475,0.0004155637216954542,0.00036548806019709446,0.000355432183520558,0.0004161422714657549,0.000351122521452554,0.0003683233915720708,0.0003710321810406943,0.00037074836330258,0.00038185255996520736,0.0003994047885072661,0.0003791235115689536,0.0003874797306101148,0.00036035547964274883,0.0003708233659078057,0.00038584124662780335,0.00039597129745578224,0.00037287639029922763,0.00038402914299607096,0.00044060889922548085,0.0003698578316174416,0.00038791262195445595
60,0.000793113283192118,0.0007341860069168939,0.000835466785550428,0.0008113027809975812,0.0007899165362756275,0.0008445641391777567,0.0007709593252999889,0.0007926966745320609,0.0007985803855677382,0.0008136483593261801,0.0008174028458867084,0.0007877356897830507,0.0007829211765166485,0.0008041051685612536,0.0008119247586685507,0.0007889127082307823,0.0008059639381133907,0.0008006597975198226,0.0007712467112079528,0.0008091292305228611,0.0008017663243943109,0.0008174655387327741,0.0008379073472072681,0.0007977244424788902,0.0008228958819046734,0.0008032819256186486,0.0008000755333341658,0.0008263146495058512,0.0008074999554082751,0.0008275169191972143,0.0007981535776828726,0.0008366175282459992,0.000815043551623463,0.0007959782471028497,0.0007650609994824561,0.0008165874335515712,0.0007788197261489634,0.0007944317820312625,0.0007972707621281944,0.0007844968713470735,0.0007807864707761578,0.0008116656570061249,0.0008448514417978004,0.0007879960001446306,0.0007821459133227013,0.0007786994561013815,0.0007866109463585807,0.0008080553451324242,0.00074965364910895,0.0007979715411583411,0.0008494637790136039,0.0007944428414868361,0.0008246333490555676,0.0008039345217791075,0.000787235633470118,0.0007892675122854357,0.0008317889296449721,0.0008068782425935155,0.0008266614908775823,0.0007891096465755254,0.0007727855243169332,0.0007716450272710063,0.0008011537914474806,0.0007653663966006466,0.0008418002479528594,0.000803101068147673,0.0007865209869729975,0.0008141768799583999,0.0008164040121267101,0.0007692875622704558,0.0008054940262809396,0.0008499572965471695,0.0008327918864476184,0.0007450065653150281,0.000804204393976501,0.0008176177666014569,0.0008344114799651184,0.0008057042704744925,0.0007548710709670559,0.0008209948687219382,0.0007785054098349064
70,0.0009696366831970711,0.0008605716737090714,0.0011028380104107782,0.0009912913172649075,0.0009284040815479864,0.0011756207261766707,0.0009541276057491139,0.0009404012426354089,0.0009553987942518124,0.001021638552629156,0.001028291747422406,0.0009204260921770972,0.0009658858515181099,0.0009925349290962472,0.0009777625461163766,0.0010097766450295846,0.0009566097682441718,0.0009291273419438755,0.0008858151122694835,0.000974289799729983,0.0009764127379569869,0.0010089638100388193,0.0010091363545507192,0.0009497363023304691,0.0010608875133570224,0.0010035391431301832,0.0009304884823054195,0.0009769361652918935,0.0009904055130284498,0.0010163836432771096,0.0009739651142929991,0.00109874779277911,0.0009932382112870424,0.0009579504634219608,0.0009337022072739071,0.0009872481626059329,0.0009562636083788483,0.0009445634151978248,0.0009432986788227256,0.0009127942939812783,0.0009597152737634522,0.001011551965270786,0.001037058034853544,0.000941185123519972,0.000997962840636702,0.0009489433392637262,0.0009147315735130438,0.0010157106459557422,0.0009384156637679553,0.0009861941828697535,0.0010860058828257024,0.000945398181846196,0.0010492811351119039,0.0009739159480280554,0.0009956954687368124,0.0009164748587455524,0.0009199776977766305,0.0010290363369959183,0.0010798896176063201,0.0009180087654385716,0.0010004589948753115,0.0008671418399899267,0.0008812477171886712,0.0009547627747191914,0.0010867414417185097,0.0009426597774458619,0.0009089668902258079,0.001017096013041033,0.00097893319293184,0.0008886628123503682,0.0009327302622194919,0.0011313126015011221,0.0012002815880502264,0.0007748389325570315,0.0010912611614912748,0.0009896554024103883,0.0010665289300959557,0.0009723129365856068,0.0009292469912907109,0.0009938574302158936,0.0009215863712597639
80,0.0011363263909394542,0.001053438877635118,0.001088689644044886,0.0010137247029118814,0.0010579108869173575,0.0012390593432688288,0.0011942123162424973,0.0010460591737156439,0.0010428598468911045,0.0011036776122637093,0.0010662736280614303,0.0010479245232703279,0.0010368896076794374,0.0010784641014073384,0.0010708833811804651,0.0011319063341943547,0.001060345878137187,0.0010247327883940048,0.0009985059171283086,0.0010465455319111545,0.0010691114352084697,0.001083713632916832,0.0010318040164808433,0.0010283305290310332,0.001181170217774158,0.0010830468265339733,0.0009544662241223118,0.000978115621668015,0.0010153238045270828,0.001073748609351535,0.0010708173845584193,0.0011122872752961344,0.0010548021292869146,0.0010118594218511134,0.001031015546888941,0.0011072203571010114,0.0011107846558412635,0.0009463958188214085,0.0010186335372076515,0.0009622320794733241,0.001036823178375406,0.0011145568401998583,0.000990506865491625,0.0010264653188642114,0.001066715150189243,0.0010515999146982243,0.0009898212896327354,0.0011425700407320012,0.0011128756559628528,0.0010811138440501586,0.0011185593786649406,0.0010322025839493356,0.0011301530735531391,0.0011482915142551064,0.0010786278289742768,0.001054430202276883,0.0011272307601757348,0.0011708108519589335,0.0011292535134337165,0.000946591142565012,0.0010733755307912986,0.0009813330616452731,0.0009006089045821378,0.001102930134428399,0.0011608021288541043,0.0010353707592003047,0.0010226694478963811,0.0011117535797248205,0.0010428093314489902,0.0010727570000993976,0.001012475514370534,0.0011533460346981883,0.0012416079407557845,0.0008859277101388822,0.0011644045672645526,0.0010817097537763804,0.001115700849498223,0.0010274659481740768,0.0010695240925997496,0.000986680088607798,0.0009906167397275567
90,0.0013072014002439877,0.0012106355193450494,0.0012858717139655103,0.0012846819823607802,0.0012540012867708655,0.001351269959871258,0.0013601012253803351,0.0012300376769608672,0.001209373673559697,0.0013682066564797424,0.0012902639918374243,0.0012112953771399905,0.001224325992745545,0.0012747841723136264,0.0012467204750625089,0.001264779901248403,0.00126969191201386,0.0012044431995364684,0.0011766144702310807,0.0012436769794051845,0.0012539448001636908,0.0012631757292963033,0.0012889481956760089,0.0012139852333348244,0.0013650437458492225,0.0013526395661756397,0.0011929536666420678,0.0011945184972622276,0.0012611556914635003,0.0012874070971813653,0.0012441717095983526,0.0013144067354285372,0.0012888210834577107,0.0012036646388346192,0.0012053359726754327,0.0013564843143935182,0.0012953424953402167,0.0011749893680892208,0.0011922661376365248,0.0012126350920880213,0.0012759107298084668,0.0012909652463388333,0.001239724806509912,0.0012016585562378169,0.001262980038422699,0.001266813620091661,0.001230645053354757,0.0013438598232409149,0.0012939245643792674,0.001270939500155409,0.0014035120606422425,0.0013308508787304163,0.0013548316451935814,0.0014290999776373308,0.0013057826086878776,0.0012832364906100746,0.0014828876592218876,0.001354140438267897,0.0012991097226569598,0.0012629921548068523,0.0012408377970719048,0.0012287468707654625,0.0011340772713689755,0.0012002794371385659,0.0014028040006653303,0.0012529573680904623,0.0011893645666229229,0.0013477546795051024,0.001293646008384207,0.0012913019326095982,0.001171544866843356,0.0013041474934046466,0.0013223085552453995,0.0013033637272504468,0.0014118268320869123,0.001299194491909841,0.0013073159082393562,0.0012675863038185203,0.0012840488780057058,0.0012653598898411298,0.0011752930411603301
