Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,1.1884249658275319e-05,1.185671254899245e-05,1.0708124780952252e-05,1.1606235483878454e-05,1.2304872080112315e-05,9.830306095994143e-06,1.0706612270481738e-05,1.0574135618107424e-05,1.1112059354085823e-05,1.1796063006386248e-05,1.1498759973889079e-05,1.1348133293908252e-05,1.1452193699700398e-05,1.0734678198787151e-05,1.1259074129638441e-05,1.1921645447425059e-05,1.1332744742546874e-05,1.1644018562762966e-05,1.2425782334243454e-05,1.0181772559008096e-05,1.1124461770333045e-05,1.1941189492452914e-05,1.2087551931472263e-05,1.1803250299635692e-05,1.2655554496993159e-05,1.051215749612311e-05,1.0585981814778456e-05,1.0738498616547076e-05,1.2031218755189055e-05,1.141888504486316e-05,1.2014948521634021e-05,1.1882625603203242e-05,1.1676803462880624e-05,1.2009462208391974e-05,1.0474784352886167e-05,1.1659069376232115e-05,1.1174709578354899e-05,9.392537239446854e-06,1.2073110314939908e-05,1.1512601616914253e-05,1.2565223836905456e-05,1.16929917267237e-05,8.45674901484017e-06,1.0727386234066217e-05,1.04925154693391e-05,1.1748070942542798e-05,1.1778576293051758e-05,1.0945192427339192e-05,1.1271793823652843e-05,1.12131777800171e-05,1.0838499656529166e-05,9.433433578206776e-06,1.2237623853322405e-05,9.701857872338829e-06,1.3644185560224287e-05,1.1881540502850393e-05,1.1723576335498365e-05,1.0747284532358052e-05,1.1863792885626687e-05,1.2766440022460301e-05,1.1458733292441735e-05,1.3004046877540532e-05,9.891981032221034e-06,1.0386877290459648e-05,1.0516349902900402e-05,1.0314279755290885e-05,1.1387871078720005e-05,1.1057699476202865e-05,1.1919547184199339e-05,1.212585669867343e-05,1.013777212695762e-05,1.2352633651365371e-05,1.2670361684286036e-05,9.67676586090723e-06,9.737799895706953e-06,1.0890551617525158e-05,1.1216227124220626e-05,1.1168133457226026e-05,1.2171337175459485e-05,1.0578826109054762e-05,1.297457738473895e-05
10,1.1884478614471542e-05,1.1855234367464652e-05,1.0706713586235614e-05,1.1606981241549455e-05,1.2304438878575788e-05,9.830238468566677e-06,1.0706218532622217e-05,1.0573898676787058e-05,1.1111964225545054e-05,1.1795416071436193e-05,1.1498062284783687e-05,1.1347912305256837e-05,1.1452859780547442e-05,1.0734518086378971e-05,1.1259076574574198e-05,1.1920192472795558e-05,1.1332395090556973e-05,1.1643792513035506e-05,1.2426105334790399e-05,1.0182104876245528e-05,1.1123527544371497e-05,1.1940218420087539e-05,1.2087043093439812e-05,1.18034721405517e-05,1.265427091124048e-05,1.0510494303161976e-05,1.0586642305967079e-05,1.0738299001407844e-05,1.2030857268494883e-05,1.141930955518253e-05,1.2014016744312055e-05,1.1882959335287944e-05,1.1676036531473354e-05,1.2008706784310961e-05,1.0474992702964098e-05,1.1659424891214648e-05,1.1174542051824238e-05,9.39277143433256e-06,1.2072977736911032e-05,1.1512205020380861e-05,1.2564725888556236e-05,1.1692880913502218e-05,8.455249883354554e-06,1.0728755614763941e-05,1.0492544477433272e-05,1.1747624773162994e-05,1.1778021670189836e-05,1.094519186488852e-05,1.1272048382693356e-05,1.1213140443691498e-05,1.0836352703336161e-05,9.432662698765688e-06,1.2237670937163505e-05,9.701377355971394e-06,1.3644778255184064e-05,1.1880861147430403e-05,1.1723930128937354e-05,1.0746198391831873e-05,1.1864421098421603e-05,1.2766049621859565e-05,1.1458783031044458e-05,1.3006294295792031e-05,9.891252905921041e-06,1.0385814286044998e-05,1.0517046651633185e-05,1.0314283596156971e-05,1.138822193145946e-05,1.1058255060111493e-05,1.1919459632702422e-05,1.2125318839074729e-05,1.0138612702171991e-05,1.2353834942283962e-05,1.267068212958596e-05,9.677607370880045e-06,9.738103861829067e-06,1.0890657172062852e-05,1.1216142508731406e-05,1.11683284264854e-05,1.2171955347639596e-05,1.0579284456170393e-05,1.2973275534022833e-05
20,1.656436373499067e-05,1.6552204585793703e-05,1.6528933732236812e-05,1.6704470796797138e-05,1.664975315168105e-05,1.6549079321391347e-05,1.6642674411066822e-05,1.6550337405581223e-05,1.6558350361714175e-05,1.657337179494789e-05,1.662806697609478e-05,1.6630235983697906e-05,1.660180891066733e-05,1.6550061390620556e-05,1.665458178596215e-05,1.6492270409192617e-05,1.6596950575019165e-05,1.6531412372007507e-05,1.6711347793066773e-05,1.656139414990321e-05,1.6565284861896473e-05,1.651742763897346e-05,1.660243004153017e-05,1.6624549546880494e-05,1.662097089311352e-05,1.6703105211490764e-05,1.6532647057301213e-05,1.6495720766821858e-05,1.6616901848465205e-05,1.6570791206416494e-05,1.6622843492465715e-05,1.6540589827994925e-05,1.6624363944664274e-05,1.6597625157063283e-05,1.6516402966873204e-05,1.6622927952474648e-05,1.6549700974696623e-05,1.6541848625903103e-05,1.665341439646394e-05,1.6597003650531406e-05,1.6588460441978115e-05,1.65577935826769e-05,1.6490683947267826e-05,1.6672365381964484e-05,1.657494775779349e-05,1.659194749663584e-05,1.65805563093662e-05,1.6596955630806758e-05,1.658489367173388e-05,1.652330970971199e-05,1.6314786626026036e-05,1.6527545912223022e-05,1.6603723522096585e-05,1.647202664874688e-05,1.669165812927531e-05,1.6556136294954684e-05,1.6660362234688364e-05,1.6555328517730732e-05,1.6564406905672513e-05,1.663491002545925e-05,1.6536200267290296e-05,1.679646379670885e-05,1.6540722147813842e-05,1.649274599913042e-05,1.6591808818904814e-05,1.654017970185333e-05,1.6425221959555834e-05,1.6537400722060532e-05,1.657814029251178e-05,1.6607073629128133e-05,1.6459079132699924e-05,1.6716321018369246e-05,1.6476086481513146e-05,1.6490388285698525e-05,1.649988735152874e-05,1.6553925274525068e-05,1.653021705091565e-05,1.657451238931953e-05,1.6619711686871597e-05,1.6559067055922462e-05,1.673286733421264e-05
30,0.00010310565296094864,0.00010338491146858023,0.00010281423540921726,0.00010323719593893306,0.00010353028170080691,0.00010368918343114533,0.00010343042818168479,0.00010335615029601429,0.00010365382294816001,0.0001026270110742189,0.00010327911320613858,0.00010309944241735324,0.00010316256344649997,0.00010351497743007106,0.00010351932518567671,0.00010357094803718307,0.00010306035325075278,0.00010295975572043511,0.00010360983807394015,0.00010314577501655246,0.00010357065262863985,0.00010330294415845336,0.00010318818152882159,0.00010347444040235133,0.00010329625203869202,0.00010313690145267174,0.00010313506655004477,0.00010291328332338405,0.00010334468867821509,0.00010318179580105109,0.0001032143650809303,0.00010294056399008975,0.00010317487067368347,0.0001036050187660915,0.00010359314425537984,0.00010265698204290987,0.000103255181066312,0.00010318023652706125,0.00010312943575912188,0.00010276934744979371,0.00010295885814619916,0.00010339679051577015,0.00010322316120436881,0.00010357132341596298,0.00010336400698992963,0.00010327075640242056,0.00010278432216312336,0.00010294800660248209,0.00010332526358070027,0.00010309127663214016,0.00010190313769271597,0.00010330018928719007,0.00010295333295988922,0.00010269891451268147,0.00010238979884888977,0.00010292901810762302,0.00010220961485174485,0.00010251254194560621,0.00010346712158273228,0.00010345811642764602,0.00010313831123596017,0.00010374823159509106,0.00010242228624216902,0.00010372335028867903,0.00010272803329927329,0.00010277794600159933,0.00010297505893201257,0.00010283134445192552,0.00010271838719846628,0.00010302224613910726,0.00010322831803932786,0.0001036621251842007,0.00010302752101173003,0.00010251889519471054,0.000102972962070323,0.00010312596260790726,0.0001031862292230861,0.00010303456233927019,0.0001032323934850865,0.00010311118172512961,0.0001030948078550864
40,0.0003982124081812799,0.00040352216995045265,0.0003984049665935648,0.0004036103451373772,0.0004024755502933094,0.00039944020682014525,0.00039273505606087704,0.0003963505177556439,0.00040024646323563273,0.0003869652737193974,0.00040338988154321726,0.0003950877818374001,0.00040377652057390094,0.00040035527843318766,0.00039428136968875635,0.00039325637165651034,0.0003982948293837364,0.0004027292616459058,0.0004096471082967972,0.00039398260919066766,0.000401246587996586,0.0003903726189621791,0.0004124980284056316,0.0004015709855593741,0.0003951853737124198,0.0003941577509976923,0.0004072681481521877,0.000398430525213674,0.0004003796829184627,0.000395620649214834,0.00039708752611962455,0.00038771364667739434,0.0004062247753608972,0.00039881098271552016,0.0003965717284396912,0.0003988686159053551,0.0004008493055344412,0.00040535850778476083,0.0004047184249144945,0.00040200294643000234,0.00042970337589005273,0.0004053080353534166,0.0003973223501816392,0.00040184780082199725,0.00040311606043312505,0.00040727903190264966,0.000401148824935912,0.0003995170271465261,0.0004092666722499416,0.00040493649204767404,0.00041314346599392594,0.0004044208538041196,0.00039924729297546527,0.0004012665740447119,0.000410945329349488,0.0004019350988305725,0.00042156572453677654,0.0003868846467631901,0.00041280321469953793,0.0004010043921880424,0.00040460940543061465,0.000405917289754143,0.0004022581366977344,0.0004017331895218896,0.0004123825128772296,0.00040041461918288127,0.00041066738582837086,0.00040117868595325977,0.0004045786802264586,0.0004047672534340506,0.00040228344732895494,0.00040695602365303785,0.00041015641181729734,0.0004048039942669372,0.0003958122189422803,0.0004043868835864274,0.00039583178918941746,0.0004058164833564191,0.0003934441338060424,0.0004031137196922346,0.00040215836488641796
50,0.00039286145940423014,0.00040262040716630443,0.0003656261724245269,0.0003639254179478695,0.00038320233174481816,0.00040911208322670845,0.0004090955565428181,0.0003914048119392981,0.00039427284640554763,0.0003903946326317964,0.00036850289235403186,0.0003984444513346772,0.00038948358004828066,0.00038829011221726734,0.0003953931921654764,0.0004084269773253861,0.0003828816521230952,0.00036639428205340155,0.0004007463202080024,0.00038351527706254274,0.0003774926697727866,0.0003825707140744531,0.0003676232790652042,0.00038575956956871473,0.00037933483540583104,0.00036425114958547054,0.0003728732687792921,0.00037032129300011246,0.00037193409259677593,0.00036298550924496545,0.00039219657114396495,0.00038159691645817546,0.0003653108245858815,0.0003883824524009691,0.0003982247758863701,0.0003804013608065101,0.0004006503410269751,0.00036937381214970213,0.0003732335616985942,0.0003707812757056672,0.0004010530288464257,0.0003869386453013074,0.0003281759381934535,0.00038914737524464726,0.000399482589656193,0.0003998838806230771,0.0003879422039192702,0.00039124230112831454,0.0003999671744168154,0.0003711155298113791,0.0003421472734771669,0.0003940643747972155,0.00035397808477192973,0.00038122571519731235,0.00036546806804835794,0.00039255797473371635,0.00034876744030043483,0.00037858859989149814,0.0003985579638868909,0.0003791477793129161,0.000397273111507617,0.0003690138582896907,0.000352717746864073,0.00040390907088294625,0.00035149293722093315,0.0003615118088558889,0.00036686634023984274,0.0003662057063211837,0.0003766918078461593,0.00038822040434817673,0.00037738522708726424,0.0003866835225683947,0.0003676453585891674,0.00034270591762227315,0.0003707283966442836,0.00039241585522200673,0.00037030046223662794,0.0003778615594661284,0.0004145019411225803,0.00036526368828216456,0.00038452648150268944
60,0.001616110890172422,0.00165940104138658,0.0013105620309943333,0.0013673021574504673,0.0014952726351226903,0.0016204580564850143,0.0016810658158764482,0.001546238838560193,0.0014885258079871914,0.0014712441043229774,0.001394074495355771,0.0015049706431751956,0.0015225126284569728,0.0015046949856420697,0.0015377884586889516,0.0016071726034473006,0.0014637592858413146,0.0014629164368763,0.001534888576965646,0.0014781091385520995,0.0014332953088272077,0.0014676000719191507,0.0013613998354412614,0.0015135634360679735,0.0014227972364067912,0.0012822865042835473,0.001451367367764995,0.0014165162113689196,0.0014607714516494204,0.0013672427749336366,0.0014972752387014529,0.001386426619809264,0.001365564573251714,0.001455359432062634,0.0015670978787562086,0.0014019061470337743,0.0016207499720621854,0.0014079692985185168,0.0014060957585910268,0.0014379355270648375,0.0015252748604065605,0.001528887628661865,0.0012239662537467666,0.0014411715092137456,0.001590323352598046,0.0016127579110233408,0.001514316997989746,0.0015224544591834082,0.0015928418360999785,0.0014673765359350063,0.0014208581764250995,0.0015444193374026906,0.0013399012436051494,0.0015331681061070412,0.0013382036122493446,0.0015419825367458469,0.001215981406858191,0.0014923492302026215,0.0015681333395398476,0.0013933095324318856,0.0015983463300051548,0.001594839195604436,0.0013734544239317377,0.0015858851672549332,0.0013960664542133196,0.0013766733768324439,0.0014851171018866202,0.001352226561290883,0.0014443714090804053,0.0015969658831579124,0.0015065973728067344,0.001367799248934413,0.0013248128428434331,0.0013854690090132256,0.0014232977825616086,0.0014980629565762718,0.001393101119901985,0.0014191053097977514,0.0017627389170229435,0.0013910313391228433,0.0013802102184854448
70,0.0036666025035083294,0.0036678410359416848,0.0032684291945770383,0.0033907497068867086,0.0033958317930043876,0.003976695139759353,0.0037261560303910126,0.003445695598585237,0.003421336387378411,0.003616448404500261,0.003350898952950597,0.003416133331781139,0.003578929075350364,0.0034723510140214453,0.0035546870313256105,0.003779518505325541,0.0033484043181358303,0.0032834497713660703,0.0033147326903417706,0.0034753994395335516,0.003492695329567561,0.0034817311181021588,0.003291427593988677,0.003571556694805622,0.0034070233223102396,0.002878973726183176,0.003306042586994027,0.0032858435976474234,0.0034460963106111566,0.0032388363972366335,0.003600532322501143,0.003342734493064479,0.0033490875189622436,0.0033757479906809038,0.0034772109680084717,0.0032796974493456738,0.0037516896968315307,0.003268465061079372,0.0032590567120294794,0.003166034774039872,0.003456038356359516,0.0035511308555253485,0.003061646391870454,0.00348674594424665,0.003655996749569711,0.003587925954917936,0.0033241343052525605,0.0035824343437541343,0.003690015095344279,0.003509400955377275,0.0037302532233297824,0.003571584736081687,0.0032508261331643624,0.0035902567712279656,0.003299464122392237,0.0035068385982505827,0.0030611102702096105,0.0034816724746006317,0.003806592579084364,0.0030041459249332547,0.0035570165623099574,0.003449847688898444,0.0032395655289292336,0.0037221824085073812,0.0032390194149532667,0.0032705363513042146,0.0034106071339920162,0.003137118428424802,0.0032485096124690717,0.0034802492250696764,0.003591433477898439,0.0036270934700345,0.003269773364687959,0.0032019109736817577,0.0033607538124280317,0.0035253234144130893,0.0035153916271935615,0.0033239315469531464,0.0038393674476537853,0.003290827390972619,0.0031485804356634617
80,0.002407283696035544,0.002331491844314668,0.0020716340901950994,0.0020561568797207797,0.00228030027385471,0.00242347689345479,0.002434136272753559,0.0022530372217787723,0.0022015408060183346,0.00232108047202928,0.002215358652145728,0.002277083376574577,0.00220097924907212,0.002252153974647323,0.0021923784604843924,0.0023378146385463574,0.0022142005050444,0.002123451791703701,0.002100956771755591,0.0022647186166917283,0.002275842922524764,0.0022545224388263057,0.002031151205301285,0.002118835644796491,0.002347395315559374,0.0019823637092486026,0.0019664776219513206,0.002030076598506033,0.0021328749703517294,0.0022177521454831285,0.00224297979225715,0.0022725052146527628,0.0022295480526876277,0.002116435638305209,0.002129629021510482,0.002251165540656075,0.0023568646375727105,0.0020459499845111914,0.002119352186872927,0.0021047309492132626,0.0021623868461964385,0.002227506268412826,0.0021692433510906994,0.002321541798301041,0.0022049231797848876,0.0022860563936104115,0.002121873928367027,0.002278439572955106,0.0023973097631824203,0.0022609195117999255,0.0023066361900418997,0.0022374117133122954,0.0023309295056745984,0.0022765019287665686,0.0021547368844039736,0.0022098027069919874,0.0023223853204399347,0.0023177907127758554,0.002353411294858564,0.0019871315744239837,0.0022060713225034298,0.002177913615014404,0.001885315131706496,0.002405352458091719,0.002189954943282323,0.002104961028537498,0.002334110019728541,0.0022690108919676435,0.002203937167198294,0.0022736751371659003,0.002134663971244461,0.0022846250406776867,0.0024300847047319016,0.002141422883141786,0.002108170068822801,0.002259707051123698,0.0022492134428050902,0.0021640723162788837,0.0024928745406214148,0.0021108486156464564,0.0020961333997547627
90,0.00431523872539401,0.004157980809126187,0.00407091675636669,0.003999460538705954,0.004228524462897567,0.004236865256513868,0.004144021058304896,0.004142860744123985,0.004046404548578813,0.004357162280939519,0.004214906145209148,0.004100366875681342,0.004048063342149059,0.0041354261091769194,0.003932916835936553,0.0040885182582618045,0.004098767553278733,0.003934222046592379,0.003882164418298219,0.004194699979076783,0.004210899132662095,0.004173199093202129,0.004035004728163282,0.00392672453696529,0.004309051444694873,0.004213662073016167,0.003890229644434106,0.003912734076341924,0.004170715006287484,0.004229683703142068,0.003993585500866175,0.004198749907887899,0.00406940982121831,0.003910388624318308,0.00392354654872583,0.004216634768194386,0.004153730862430836,0.003978114003654231,0.003954826890636819,0.003929694692487828,0.003906092406915767,0.004073931729084158,0.004371035931399092,0.004071005503647029,0.004022746665501281,0.004142768482530587,0.0040036829088681515,0.004046217007399129,0.004196927344310097,0.004022668003393659,0.004319362808018923,0.004339759470894933,0.004325227102694603,0.004118641508587946,0.0038337737787514925,0.004062965878152421,0.004512349609285593,0.004082107707729627,0.00429906228303232,0.004266788077075034,0.00396928520152165,0.004045295238029212,0.0036807527455190816,0.004175504702808601,0.004213748958944861,0.003938848833338573,0.004205598604554931,0.004273205021676677,0.004049039245324416,0.004033764272609407,0.003996580295885603,0.00406421107860903,0.0043147543134788675,0.004321339656598866,0.004017240168260676,0.004077274784711855,0.004153427102469972,0.004039225114073845,0.0043714315397664905,0.004207061276919827,0.0037990470649674536
