Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,cross,cycle,dash,depart,descend,drift,flee,float,fly,glide,go,hasten,hike,hurry,journey,limp,march,meander,race,ride,row,run,rush,sail,scramble,swim,taxi,travel,tumble,walk,wander
0,1.8956945078153275e-05,2.0369028991101208e-05,1.9024152682807955e-05,1.7647321580555468e-05,1.7386945970268046e-05,1.7128390287065747e-05,1.8460947631542842e-05,1.884649410545963e-05,1.9354426869908878e-05,1.8624228687258437e-05,2.0062710254821054e-05,1.7921261875314057e-05,1.9720367948717797e-05,2.0265159987915965e-05,1.9624100808441117e-05,2.0144705028239212e-05,1.901160950572895e-05,1.931243568372948e-05,1.751349246400683e-05,2.0741995649586896e-05,1.7316670654019198e-05,1.9927497776604597e-05,1.96063753173803e-05,1.9668426163358768e-05,1.7820854664600958e-05,2.02223687665537e-05,1.843755431294877e-05,1.7888363193681773e-05,1.902658213486361e-05,1.9079945772201398e-05,1.915184605726002e-05,1.730459231251958e-05,1.9195280156754263e-05,1.8191183973909192e-05,1.9211234707149237e-05,1.8277982706292407e-05,1.8629433270689333e-05,1.928202254930511e-05,1.9003401438928985e-05,1.8746167199878983e-05,1.982115761765794e-05,1.8821895650944498e-05,1.9639926176751032e-05,1.851553875703279e-05,1.8377821700261463e-05,1.7527722216722655e-05,1.9878340066370265e-05,1.8285462687117615e-05,1.9362812124733143e-05,1.7105325282913824e-05,2.004670403458966e-05,1.7864208530227188e-05,2.0233330360497348e-05,1.9847871025914933e-05,1.8234206499042118e-05,2.0763688801459715e-05,1.8321979364226272e-05,1.4982799257268198e-05,1.9121794998176887e-05,1.864637135720561e-05,1.8057158922601956e-05,1.918449628823099e-05,1.7514800518896395e-05,1.869843738343145e-05,1.65001393826161e-05,1.8381332494471564e-05,1.9170956680422284e-05,1.8409083234092256e-05,2.035377315223741e-05,1.9114328181273752e-05,2.0529707671812503e-05
10,1.895787573704257e-05,2.0366585549372422e-05,1.90211612789426e-05,1.7645790621127863e-05,1.738636999533223e-05,1.7128191237653872e-05,1.8459841436607904e-05,1.8846031511487788e-05,1.935399302942354e-05,1.8623373165382873e-05,2.0061308869453905e-05,1.7920783926567718e-05,1.971843512089408e-05,2.0265198035110988e-05,1.962235977878342e-05,2.0144979998804047e-05,1.9011415523501845e-05,1.931255420585549e-05,1.7512064557325046e-05,2.0740117676420293e-05,1.7316963434355923e-05,1.9927609693175846e-05,1.9605562192737126e-05,1.9667931762038886e-05,1.7821239712897557e-05,2.022257922362769e-05,1.843672593197205e-05,1.7888832701373758e-05,1.902587147710352e-05,1.907941548544782e-05,1.915021293219373e-05,1.730327340527975e-05,1.9192303345614793e-05,1.8191082618127545e-05,1.920896425468123e-05,1.8277904912013453e-05,1.8628919262578403e-05,1.928371131560363e-05,1.9002911736299802e-05,1.8744448937013658e-05,1.9820587383830882e-05,1.882006381492829e-05,1.9639445963548496e-05,1.8514604035820076e-05,1.8376950729840532e-05,1.7527093015295187e-05,1.9877568216511383e-05,1.828418612603855e-05,1.9362647882534756e-05,1.7105019031243334e-05,2.0045524769767116e-05,1.7865405501045945e-05,2.0238346496626037e-05,1.9847724003312226e-05,1.8233328460312273e-05,2.0762177469309378e-05,1.8321005226944084e-05,1.497928383287217e-05,1.9121466038996004e-05,1.8645322276055453e-05,1.8057275883620606e-05,1.918413537530659e-05,1.751371600541326e-05,1.8697915243342527e-05,1.6500758445343105e-05,1.8381181949475183e-05,1.917145086086488e-05,1.840840823499621e-05,2.0351327975731692e-05,1.9112618743946303e-05,2.052781928796321e-05
20,4.163010477920604e-05,4.1499681376282955e-05,4.160850706587856e-05,4.1577860359281585e-05,4.1440590658693725e-05,4.206000396931943e-05,4.149490069398927e-05,4.1491576720385206e-05,4.146937729423877e-05,4.15297317886143e-05,4.168580544725877e-05,4.152472446344755e-05,4.1700195707204386e-05,4.175765129868082e-05,4.151705006199122e-05,4.1295322565323055e-05,4.160431113372657e-05,4.1448639065124496e-05,4.154935985362889e-05,4.152421752223745e-05,4.136637961402392e-05,4.1561652389126334e-05,4.1541386696432404e-05,4.1474345562164674e-05,4.154442759167906e-05,4.1616903035901484e-05,4.1659142000078703e-05,4.174663786216115e-05,4.155134841258747e-05,4.1658281852799136e-05,4.14770252245944e-05,4.1484796523806064e-05,4.155172868754912e-05,4.144297299505926e-05,4.136313428817731e-05,4.179548159299884e-05,4.154986177845307e-05,4.162258681555448e-05,4.182308440654909e-05,4.157793614467664e-05,4.1543753274922024e-05,4.174875175522175e-05,4.171638902334962e-05,4.1274281485177775e-05,4.1598566090933194e-05,4.139699948219848e-05,4.1754294918000435e-05,4.1602601072554535e-05,4.159855811378983e-05,4.1791380433344536e-05,4.18889231905968e-05,4.170431990739113e-05,4.185903599136509e-05,4.1646289678376014e-05,4.168251626683271e-05,4.162570753992027e-05,4.159674833601301e-05,4.160941080044722e-05,4.209689743422334e-05,4.1592059614441284e-05,4.145313893483641e-05,4.186873474115786e-05,4.179565426225222e-05,4.1746746524245486e-05,4.120821055645744e-05,4.1676125390524677e-05,4.198748579905701e-05,4.171213444234097e-05,4.140909277339233e-05,4.1752559083470874e-05,4.183653691143263e-05
30,3.826525052490241e-05,3.825680027215707e-05,3.8287831557681784e-05,3.8303250095430906e-05,3.828276675437648e-05,3.843596745615027e-05,3.8262784660365736e-05,3.826253405171812e-05,3.8239398178765314e-05,3.827481145890488e-05,3.83204079961065e-05,3.826916516266706e-05,3.834028724337589e-05,3.8356221535430066e-05,3.826640514650053e-05,3.818831282842439e-05,3.826678827560196e-05,3.824428803673533e-05,3.825158208720885e-05,3.828691255572873e-05,3.826109582755285e-05,3.82646843328465e-05,3.831498552851069e-05,3.825187898958878e-05,3.830249809811542e-05,3.825741514447145e-05,3.836176567288461e-05,3.828032610423785e-05,3.8294008160900215e-05,3.831481039777563e-05,3.825035668948355e-05,3.829395651477031e-05,3.8322285175896606e-05,3.8245074815782825e-05,3.8211113254268035e-05,3.8365978720581294e-05,3.8248924571043495e-05,3.835828994686546e-05,3.8361440492297397e-05,3.830183004538412e-05,3.8274412137515684e-05,3.838206976070069e-05,3.832793117908295e-05,3.818274068946362e-05,3.825764307341734e-05,3.823722784415752e-05,3.8337478001363035e-05,3.829181002856785e-05,3.829715519557418e-05,3.8351443270750515e-05,3.8401308344103967e-05,3.8326784912593816e-05,3.8475041583296844e-05,3.8328903744458124e-05,3.8292792882641845e-05,3.8286974979035385e-05,3.827567171131421e-05,3.8421070712502114e-05,3.848738752923156e-05,3.828285541833163e-05,3.831698510718221e-05,3.841829808367546e-05,3.838881238388475e-05,3.831911935530779e-05,3.820980216712794e-05,3.831885713863175e-05,3.8390175957049776e-05,3.833260102363701e-05,3.8306483929773094e-05,3.835313107613905e-05,3.833107111859135e-05
40,1.808760193730327e-05,1.804348425206694e-05,1.815781479308498e-05,1.8283644833270674e-05,1.81460360826223e-05,1.8519971490604803e-05,1.8075501488525452e-05,1.813424201899062e-05,1.8000651926982593e-05,1.8417796127323527e-05,1.8162846718490826e-05,1.82757868264607e-05,1.828587124746815e-05,1.818489944884222e-05,1.809648248822401e-05,1.786675966286566e-05,1.8294104479753602e-05,1.8010495307551743e-05,1.8109508606097995e-05,1.8186014785896986e-05,1.8017207632790536e-05,1.8078490549149656e-05,1.832612377863067e-05,1.8118864863936325e-05,1.8224517863552412e-05,1.7891913012135773e-05,1.8193770155184828e-05,1.8200856175099034e-05,1.8060799587093402e-05,1.8096048822166444e-05,1.8154222901406076e-05,1.8226669663608147e-05,1.8227845220490752e-05,1.8151042029277834e-05,1.8050655449365473e-05,1.8396156097618848e-05,1.8268336086628934e-05,1.8096341260719452e-05,1.8199145262156253e-05,1.8430587488182937e-05,1.8098225677447848e-05,1.8061312175632338e-05,1.8326908502785955e-05,1.811721305880622e-05,1.824119518507934e-05,1.823836212549525e-05,1.8307306291127023e-05,1.830257201618224e-05,1.819240489943507e-05,1.8286435905875724e-05,1.8363511145043257e-05,1.822402176306544e-05,1.871802051027771e-05,1.8230118016339363e-05,1.8272698008363007e-05,1.801160479689398e-05,1.834320679453442e-05,1.8364495190326124e-05,1.840323142864185e-05,1.817209597972508e-05,1.8148020050527217e-05,1.8278618490414804e-05,1.836140848320577e-05,1.8321365198127818e-05,1.7991992434771317e-05,1.8137427105102688e-05,1.8162827862917247e-05,1.813280524372878e-05,1.8490795127945603e-05,1.8162229377189416e-05,1.8245265891891904e-05
50,2.1950144794056934e-05,2.144499086608886e-05,2.150384928730394e-05,2.1587709852610715e-05,2.1441805512051958e-05,2.6403203394563335e-05,2.3102628420606527e-05,2.268773506312202e-05,2.2627860513999116e-05,2.366052308389044e-05,2.1664248817143272e-05,2.3066807313755688e-05,2.1421767858996507e-05,2.2824460591602307e-05,2.195461238443386e-05,2.323196379923805e-05,2.2358101573228762e-05,2.113329912988982e-05,2.1309220171263276e-05,2.2473243467781383e-05,2.1608394756465435e-05,2.230822227439993e-05,2.141186295678684e-05,2.2286147577688097e-05,2.1725430015644562e-05,2.1039400962763466e-05,2.2412288877427684e-05,2.2699157928703546e-05,2.1274939910440213e-05,2.084736508784831e-05,2.2928072964229312e-05,2.2254277819928786e-05,2.1005387435042605e-05,2.199264950874305e-05,2.3416810816140947e-05,2.140365575087344e-05,2.3349607940154354e-05,2.039622582246507e-05,2.133767279646926e-05,2.1091580492793582e-05,2.2409744109067337e-05,1.9276659259048756e-05,2.258230779261794e-05,2.347030405010293e-05,2.2950284188769538e-05,2.1478700091392966e-05,2.3241958021109193e-05,2.3419924673362402e-05,2.160833136697655e-05,2.3363944902402263e-05,2.030900187282196e-05,2.1311709588189842e-05,2.1006749011576176e-05,2.1312568550252317e-05,2.1737035898820916e-05,2.221811783701097e-05,2.2952420617765447e-05,2.012120239669457e-05,2.0651327784233014e-05,2.1514965472026512e-05,2.1074643882457167e-05,2.0651774457781026e-05,2.076722036555886e-05,2.2592904135128084e-05,2.2085565029151945e-05,2.159057235135092e-05,2.2898042256461588e-05,2.071391746804077e-05,2.3814286578272004e-05,2.096845685268856e-05,2.1190707229834516e-05
60,6.481495640056548e-05,6.417001929582545e-05,6.345679260751542e-05,6.265846162792654e-05,6.224324589092697e-05,7.063482501377751e-05,6.620334633841975e-05,6.472655100058582e-05,6.439417267779678e-05,6.562679914168257e-05,6.404085061261373e-05,6.579317221399016e-05,6.353722512192854e-05,6.562758266447804e-05,6.523772557129097e-05,6.63897941800921e-05,6.395057789632119e-05,6.247173573510852e-05,6.343676964856318e-05,6.542635159955049e-05,6.430084087276975e-05,6.37309033533841e-05,6.273201720129388e-05,6.532998037679741e-05,6.483609219671168e-05,6.520164097310044e-05,6.413716149719192e-05,6.452365194794159e-05,6.332422982428825e-05,6.278044161116404e-05,6.595782513613813e-05,6.395684711326164e-05,6.399810452141817e-05,6.475951150330433e-05,6.779128610408709e-05,6.390364140835507e-05,6.533077645910548e-05,6.183496589073911e-05,6.20447549792231e-05,6.160353427731025e-05,6.480994275950658e-05,6.053136894479394e-05,6.654252829321194e-05,6.623176772049384e-05,6.524373135394661e-05,6.16183343351752e-05,6.625646790525297e-05,6.619661257900589e-05,6.312467460169312e-05,6.571858367268842e-05,6.174900532082224e-05,6.307569189326993e-05,6.339608735288494e-05,6.310274604439489e-05,6.281242593982385e-05,6.609452115795152e-05,6.468743200085917e-05,6.25297016085824e-05,6.133066340731198e-05,6.25581764884723e-05,6.400632143292266e-05,6.224866185846779e-05,6.287961591792905e-05,6.510232285379332e-05,6.528033069722976e-05,6.42835169761478e-05,6.52204585743935e-05,6.144536323958047e-05,6.690518694085767e-05,6.23381818804162e-05,6.333539167826529e-05
70,8.154931345268631e-05,8.083144779515419e-05,8.001648590531356e-05,7.884816295700148e-05,8.065115768739458e-05,8.112741280846032e-05,8.039077147259377e-05,8.119920975706704e-05,8.09858847097081e-05,8.102343963400926e-05,8.132941083103005e-05,8.02371428200823e-05,8.054425283758478e-05,8.154604306169362e-05,8.051548853365923e-05,8.187667996632324e-05,8.00875115514611e-05,8.116118233029059e-05,7.914569583330635e-05,8.111578674288466e-05,8.13204385429764e-05,8.113772855722345e-05,8.09748067210118e-05,8.107222456601448e-05,8.103881959363612e-05,8.07609671028331e-05,8.046347295842884e-05,8.005671861610608e-05,8.13657182494781e-05,8.015519779291935e-05,8.04126186024708e-05,8.075101560769745e-05,7.976886767070167e-05,8.091881030596533e-05,8.023002091148455e-05,7.907549115770962e-05,7.940644795062805e-05,7.982133617836304e-05,7.939615372094293e-05,7.928846616778173e-05,8.073386236495199e-05,7.995450141606852e-05,8.122819781419821e-05,8.217117206904252e-05,8.090940054420283e-05,7.904984148418798e-05,8.006168846214566e-05,8.157703882716305e-05,7.924103788511651e-05,8.227280407233842e-05,7.897638665431609e-05,7.954403675588158e-05,7.638209863216616e-05,7.91824081252158e-05,7.870623787688413e-05,8.048205861334942e-05,7.922756260321025e-05,7.831030961824581e-05,7.93227439620144e-05,7.946079634935953e-05,8.083114516921341e-05,8.048003616740286e-05,8.003970038704142e-05,7.974919165602071e-05,8.314537666996734e-05,8.110654129882573e-05,8.093202632153407e-05,7.95662014547082e-05,8.321763561980333e-05,8.026198442426644e-05,7.916633403510786e-05
80,8.924942085286602e-05,8.923705980931927e-05,8.894506512054552e-05,8.794439322977829e-05,8.845409347831944e-05,8.866320734211643e-05,8.869654935082391e-05,8.962502918210721e-05,8.966713735562619e-05,8.896881809050683e-05,8.989898241800544e-05,8.897979836435798e-05,8.785615125706306e-05,8.946604661601172e-05,8.924346843474161e-05,9.065945869224379e-05,8.85767201994202e-05,8.945444978617391e-05,8.665662504167162e-05,8.873678869955862e-05,8.978168200253724e-05,8.900737533882161e-05,8.843700527601565e-05,8.91096169652883e-05,9.000585204274912e-05,9.256564808310941e-05,8.899117728428644e-05,8.764925920938064e-05,8.992837581043953e-05,8.743710702307703e-05,8.892937233516326e-05,9.043182189298722e-05,8.814844043697052e-05,8.907592750484731e-05,8.905066068918031e-05,8.642894343730794e-05,8.814306573568549e-05,8.64728678028438e-05,8.720281293352011e-05,8.872902526491089e-05,8.962611908382895e-05,8.666478788654786e-05,8.878980588633567e-05,9.108955840163522e-05,8.862961242955766e-05,8.567984498638127e-05,8.959683046876372e-05,8.964269250100187e-05,8.708940217259405e-05,9.084330601829358e-05,8.762247189924193e-05,8.849898889214576e-05,8.389364738832228e-05,8.816489051761372e-05,8.766937991885212e-05,8.989348994377492e-05,8.782586754081891e-05,8.701870865479577e-05,8.735153985778904e-05,8.837322395545645e-05,8.972514672980955e-05,8.791680371085862e-05,8.762102495691377e-05,8.791107609647804e-05,9.283934034303659e-05,8.9716568703358e-05,9.019691632212406e-05,8.617426365456214e-05,9.249590675608488e-05,8.825399819223461e-05,8.798992057563737e-05
90,0.00012414078033494612,0.00012437196791223768,0.00012229308413225226,0.00012141162688539435,0.00012563199045790855,0.0001273859940868403,0.0001245724628050436,0.00012704244028439052,0.0001253852090404864,0.00012480341365517233,0.0001259424771652212,0.00012477246001457834,0.0001236205379510383,0.00012526506499412017,0.0001252606208949788,0.0001259318029648663,0.0001246790276733615,0.00012534149941587468,0.00012156611358347748,0.00012557603894189622,0.00012634687904769984,0.00012514202587356391,0.0001233772600729329,0.0001250062300338565,0.00012595739607359208,0.00012744740088237448,0.0001238552010158122,0.0001214684695393468,0.00012742159888148307,0.00012099029739939368,0.0001255051368692269,0.00012853823080569363,0.00012405552871104403,0.0001246045275217702,0.00012348003696792552,0.00011932203947903222,0.00012310150640060832,0.00012323519265258008,0.00012234463661499545,0.000127315071040357,0.00012510436151407046,0.00012184628212708049,0.00012131264084018767,0.00012789293817293488,0.00012423087165715468,0.00011911250403500162,0.0001254265339970548,0.00012537824682112841,0.00012120540505465811,0.0001253258001683703,0.0001230452801862087,0.00012447297861702586,0.0001169528863101732,0.0001242219763558491,0.0001221918556156793,0.0001310589293346063,0.0001228028348670842,0.00012234893893037224,0.00012105229608197179,0.00012357575615169482,0.0001258269558699491,0.00012108983637224282,0.00012221012918787352,0.00012210007195323201,0.00013085363752907142,0.00012502957372805223,0.00012555351505787776,0.00011963780173485452,0.0001271817491215188,0.000122832360960144,0.00012098759762011469
