Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,2.1149925014469773e-05,2.3038921123467542e-05,2.1983460101182573e-05,2.1258382261853863e-05,2.106739105363863e-05,2.621612761036626e-05,1.942054595635836e-05,2.1351680336585177e-05,2.1186654993459654e-05,2.2560492595857795e-05,2.161873688259849e-05,2.2298086429257135e-05,2.125786136964576e-05,2.2178247091329524e-05,2.1029529050471917e-05,2.2428097357381677e-05,2.021994173230182e-05,1.9847042863205652e-05,2.1206105624774603e-05,2.238272302444481e-05,2.12868045239772e-05,2.097151726892272e-05,1.8516381751396692e-05,2.272965421070694e-05,1.9809561842795652e-05,2.4103943724185227e-05,2.2523767916760746e-05,2.23532222397201e-05,2.0417542391977107e-05,2.0206067552686775e-05,2.033647308659662e-05,1.9552033406328588e-05,2.099702199022711e-05,2.0180196160498137e-05,2.1959892870250365e-05,1.934195859121246e-05,2.058798792715702e-05,2.466851533840368e-05,2.0984755672061402e-05,2.0837802537698735e-05,2.009686094035195e-05,2.0881852214323713e-05,2.510840079139598e-05,2.0740272157127036e-05,1.8968792621882657e-05,2.033720542577181e-05,2.0544108857783222e-05,2.2002262492031533e-05,1.900721079550749e-05,2.1883905760503317e-05,2.0827762091357728e-05,1.7213810927139342e-05,2.0603052591748284e-05,2.2534279499571614e-05,1.8958148393721787e-05,2.0059076446994702e-05,2.244438110210467e-05,2.1199059056957124e-05,2.477061380804199e-05,2.235070314782206e-05,2.3294971382006957e-05,2.1679944666175288e-05,1.9423918577861816e-05,1.905824449620143e-05,2.2659295331727157e-05,1.9832697538591814e-05,2.1370746010992056e-05,2.2881132809420853e-05,1.9720471898297007e-05,2.0744061346392897e-05,2.4525557819288224e-05,2.245459957824399e-05,2.661535897156379e-05,2.1347163055907004e-05,2.386893668569558e-05,2.091435301251779e-05,2.1019285863336074e-05,2.2532994124400916e-05,2.110621176143468e-05,2.1763565215957644e-05,2.0965880048606776e-05
10,2.1155497634026688e-05,2.304690446584977e-05,2.1989022267613716e-05,2.1264353143543794e-05,2.1073159782817924e-05,2.6228341344644184e-05,1.94260128409951e-05,2.1357650116203187e-05,2.119270626465124e-05,2.2563104892014962e-05,2.162379577283799e-05,2.230293769255751e-05,2.126396044111585e-05,2.2184003035253035e-05,2.1036049704836092e-05,2.243252758186524e-05,2.0225902289894293e-05,1.9852059866232457e-05,2.121173166155391e-05,2.2388282741303555e-05,2.129206047986652e-05,2.0977334202143538e-05,1.8520895476588824e-05,2.2735960798551483e-05,1.9814682038111007e-05,2.410901324765291e-05,2.253072172255e-05,2.2359734164941376e-05,2.042382319118855e-05,2.0211482141378163e-05,2.0341751296655273e-05,1.9557838011398697e-05,2.1002220469549335e-05,2.018602270520826e-05,2.196405608224773e-05,1.9346292707008877e-05,2.059302919645377e-05,2.4676658540556673e-05,2.0989408022362925e-05,2.0842533217546588e-05,2.0102533069023464e-05,2.0887384631892696e-05,2.511561353912839e-05,2.0744743324030424e-05,1.8974897772606807e-05,2.0343075496049623e-05,2.0549406261644825e-05,2.2008373195460178e-05,1.9012101461157727e-05,2.1889513924367655e-05,2.0836247131228447e-05,1.7219563646490727e-05,2.060859544424322e-05,2.254012421569011e-05,1.8965134313475573e-05,2.0063346580302876e-05,2.244530423922697e-05,2.120592589876494e-05,2.477349682356527e-05,2.2357634861691622e-05,2.3300751064364517e-05,2.1685357296519214e-05,1.9426554748254905e-05,1.906172526235293e-05,2.2665411279376713e-05,1.983745180321141e-05,2.1375997857830952e-05,2.288601818466021e-05,1.9725353787954965e-05,2.0748669854370535e-05,2.4530884830811476e-05,2.2460006827410933e-05,2.6625556226160068e-05,2.1354309865273535e-05,2.3877825827055078e-05,2.091928133988593e-05,2.1024893417883766e-05,2.2539498280410397e-05,2.1110681927893893e-05,2.176882704787647e-05,2.0972229867766147e-05
20,1.4238576889814188e-05,1.4273408716555289e-05,1.4398443833367006e-05,1.420045588859536e-05,1.4191259674877489e-05,1.4456374758862825e-05,1.4224706407525622e-05,1.4252540579132314e-05,1.4189445037233401e-05,1.4337758216242946e-05,1.4235492342799891e-05,1.422045936903617e-05,1.4235069377746461e-05,1.4227024359680593e-05,1.4211492656185703e-05,1.4281694006967882e-05,1.421677136802048e-05,1.4265919945282342e-05,1.4257366631552162e-05,1.4213617190155977e-05,1.421888609911548e-05,1.4301085960661502e-05,1.4191216626689614e-05,1.4279179534545013e-05,1.4224499979704094e-05,1.4279385686677415e-05,1.4231198498061033e-05,1.4309725846336127e-05,1.424415007504114e-05,1.4194159898432836e-05,1.4206049539401042e-05,1.4265156621079837e-05,1.4245912570214177e-05,1.4202268630469916e-05,1.4327268420149469e-05,1.4252523361132522e-05,1.4236671344597676e-05,1.4259784620662685e-05,1.4252015322440511e-05,1.4251784136831702e-05,1.4220139226901146e-05,1.4223220224518259e-05,1.4198991948433104e-05,1.4256811755331001e-05,1.40958970740413e-05,1.4228856851236502e-05,1.4203086863874757e-05,1.429222059238798e-05,1.424367181357411e-05,1.4272609319207198e-05,1.4218158321455121e-05,1.4211037192911714e-05,1.4221243978122053e-05,1.429257751321226e-05,1.4213596386980498e-05,1.4198427082619116e-05,1.4137833204586059e-05,1.426265153613399e-05,1.42331725576448e-05,1.4146887906463235e-05,1.4224169541604727e-05,1.4213136296348239e-05,1.4310770742061626e-05,1.4357260494892086e-05,1.428131074337418e-05,1.4205341834055547e-05,1.427358650592699e-05,1.426387044248454e-05,1.4227811780747962e-05,1.4206877986489908e-05,1.4248890187850015e-05,1.4189513876772253e-05,1.4430775991058908e-05,1.414311752038581e-05,1.4202379913643068e-05,1.4230772460184919e-05,1.4392188079779902e-05,1.4249881499586814e-05,1.4162198112899205e-05,1.4205860542223941e-05,1.423328594682971e-05
30,4.3948487194332606e-05,4.426056383871818e-05,4.4056097370533585e-05,4.402418243654001e-05,4.3816851320104745e-05,4.4042569892813587e-05,4.390986108656732e-05,4.392395744377465e-05,4.396138310652002e-05,4.387971921460121e-05,4.396337389164133e-05,4.368159946408218e-05,4.4288717838230006e-05,4.404581941895286e-05,4.4043602204457035e-05,4.415635506423617e-05,4.382780393609123e-05,4.42558515645988e-05,4.405260070987944e-05,4.3836705638871836e-05,4.418274866811071e-05,4.414665941762256e-05,4.418589693765777e-05,4.432585168009003e-05,4.417826921636579e-05,4.3812498188344764e-05,4.426511141871508e-05,4.41560236292086e-05,4.417770632083856e-05,4.411096620794025e-05,4.3770017315788813e-05,4.388291801240904e-05,4.414586804229587e-05,4.3945671921658395e-05,4.4170948765693334e-05,4.3763160712322656e-05,4.3840780275978e-05,4.3785988302922554e-05,4.395642261727747e-05,4.407399273986812e-05,4.3413930273215685e-05,4.408334554798475e-05,4.389552987049683e-05,4.424554281285964e-05,4.38369926613584e-05,4.380888594345092e-05,4.371183042946671e-05,4.382782744390792e-05,4.4011992031300906e-05,4.396635888732472e-05,4.394270144985058e-05,4.3913620174862444e-05,4.3988413017359564e-05,4.3749766518885735e-05,4.32804041338386e-05,4.382112790469308e-05,4.361864193924703e-05,4.372671625380211e-05,4.401682665709152e-05,4.395167707116343e-05,4.3927276717005695e-05,4.4205045469425386e-05,4.4072702924798555e-05,4.410701876622625e-05,4.3976461104951646e-05,4.395607225328254e-05,4.388032345256458e-05,4.393535447732535e-05,4.383588542690699e-05,4.3822108981092584e-05,4.434388837479572e-05,4.3646369401055075e-05,4.449420278736701e-05,4.361143207158117e-05,4.3709679760338205e-05,4.374509411387738e-05,4.443495345185511e-05,4.4042413543549275e-05,4.403780758366338e-05,4.4056738536274684e-05,4.40733118011849e-05
40,2.4176910616612684e-05,2.4137035021946456e-05,2.4158263537780538e-05,2.4106205427625146e-05,2.4002400303150445e-05,2.4465654860250652e-05,2.4157790698330744e-05,2.4164896737937325e-05,2.4135374253920774e-05,2.4122620743582956e-05,2.4102537438775023e-05,2.407440059665087e-05,2.4327955488291934e-05,2.4215990957931023e-05,2.4149416212286965e-05,2.4286140008674312e-05,2.4067077793872505e-05,2.4206866155624615e-05,2.4147446700745994e-05,2.4177939485525714e-05,2.4186365240334103e-05,2.4280553394159403e-05,2.4179956017178484e-05,2.4306311449133015e-05,2.4088403502930074e-05,2.419225056655705e-05,2.4263748180660073e-05,2.4172901627631898e-05,2.4140686668140594e-05,2.4158209887372644e-05,2.4107361726540453e-05,2.422224350504201e-05,2.4200330209658623e-05,2.4040046055899173e-05,2.4236729687901163e-05,2.4038736098321222e-05,2.409068254469036e-05,2.4065684556262568e-05,2.4112121427168016e-05,2.4063960154308006e-05,2.3881307112917837e-05,2.4195844529690766e-05,2.409092530797352e-05,2.4292173111462035e-05,2.405789315449319e-05,2.412135239099275e-05,2.3951605102670978e-05,2.412128121744772e-05,2.41627624859575e-05,2.4098308601643458e-05,2.399765253358055e-05,2.425937865072311e-05,2.409084890342246e-05,2.4096539467185114e-05,2.3871948724263347e-05,2.4043337009284093e-05,2.3866171432018746e-05,2.4073896038944128e-05,2.4251863578683697e-05,2.4082176878437167e-05,2.4119001776148985e-05,2.4124653691615094e-05,2.4174648387997877e-05,2.4267206494446975e-05,2.4125160254900242e-05,2.4139447710835016e-05,2.3998480537557042e-05,2.4082750334405662e-05,2.401431691867873e-05,2.410256005991418e-05,2.42950920639689e-05,2.4121167977379326e-05,2.4229373593698256e-05,2.384056460869033e-05,2.397227347371102e-05,2.401033240161056e-05,2.4369844530675827e-05,2.4078000684136398e-05,2.4018285103011294e-05,2.4095549396857495e-05,2.4062329066509848e-05
50,2.6569560771652806e-05,2.7153355808372402e-05,2.4641638901812257e-05,2.4510284003134494e-05,2.5732525005602113e-05,2.854656616234154e-05,2.7835818224458864e-05,2.6510465000970534e-05,2.6588684267141928e-05,2.681830096662452e-05,2.441866878076258e-05,2.7039027131371656e-05,2.724838646606782e-05,2.6309938772156425e-05,2.672773520958692e-05,2.7920177823640795e-05,2.5898582624081645e-05,2.479499092755126e-05,2.7643282204995296e-05,2.5716867991529095e-05,2.5094261190343578e-05,2.5612050551769373e-05,2.498482324881479e-05,2.620043727195783e-05,2.494536583403787e-05,2.407473948551342e-05,2.5538987433866432e-05,2.5094134874355706e-05,2.447497430266059e-05,2.3550042486374055e-05,2.652183480677195e-05,2.5301818788228466e-05,2.4890253371268045e-05,2.5898409814278526e-05,2.7284124775582717e-05,2.5636326881794957e-05,2.7751107633153688e-05,2.5178183353670068e-05,2.519505493862187e-05,2.4957188543339726e-05,2.7280829142130513e-05,2.6483070445116957e-05,2.0801552977900428e-05,2.612875669001369e-05,2.731173347121129e-05,2.7520857225968748e-05,2.647901172687333e-05,2.705392176849592e-05,2.778034973971444e-05,2.507361818186774e-05,2.4071896768873556e-05,2.6744944823969323e-05,2.289269282650471e-05,2.657375701649774e-05,2.541739468142623e-05,2.6805835474004532e-05,2.3092057745088823e-05,2.5619847606165044e-05,2.730172540891958e-05,2.448732857374125e-05,2.7044706854134328e-05,2.4624149773444515e-05,2.4703008724221338e-05,2.8103950431354212e-05,2.384311336653708e-05,2.457760797719507e-05,2.4029096069474085e-05,2.410444872649712e-05,2.5421974669370684e-05,2.674002867065651e-05,2.5962090148823336e-05,2.5610466157862295e-05,2.483359094185289e-05,2.3435747607436497e-05,2.5626251694380437e-05,2.5973117311429173e-05,2.5147580864930725e-05,2.5573072904197972e-05,2.782433330139611e-05,2.390255091437716e-05,2.592227992863627e-05
60,7.258222768238436e-05,7.312106484918061e-05,6.447105321664519e-05,6.497158011860357e-05,6.955248880077778e-05,7.346981354723019e-05,7.553110481239855e-05,7.139912208673962e-05,6.991708174103258e-05,6.920119380993128e-05,6.557576370265272e-05,7.099988096695374e-05,7.182300385355836e-05,6.952644197912322e-05,7.055975618320244e-05,7.328540823436924e-05,6.840294703839131e-05,6.825053815536873e-05,7.230845247769529e-05,6.956780882319435e-05,6.851094770424355e-05,6.897884551498075e-05,6.458807591116056e-05,7.057556322251913e-05,6.795437793554147e-05,6.612125798710622e-05,6.775815745641012e-05,6.658854287403908e-05,6.758266985450652e-05,6.458063739222369e-05,7.060020153100291e-05,6.588789158111188e-05,6.557117698181313e-05,6.799700336492473e-05,7.496985684459408e-05,6.679349176660512e-05,7.338600081359465e-05,6.726155267890796e-05,6.669088012920355e-05,6.715880999763613e-05,7.08447301544116e-05,6.987945132695653e-05,6.0019505781383486e-05,6.935680321475956e-05,7.081916689793089e-05,7.148773040267099e-05,6.952018681788883e-05,7.032745110847285e-05,7.372399363703153e-05,6.83948632725113e-05,6.322459521470591e-05,6.988014832710509e-05,6.335318100284965e-05,7.224377501794758e-05,6.619438790949062e-05,7.04548086160889e-05,5.897887240280397e-05,6.885093898745254e-05,7.018210552897389e-05,6.792826388846152e-05,7.24919353219335e-05,7.222002295748098e-05,6.495750373384605e-05,7.548602090017604e-05,6.285845857847662e-05,6.593503214669629e-05,6.683464744128287e-05,6.419978398230097e-05,6.610692364322151e-05,7.009215236443246e-05,6.890187917936903e-05,6.469623804150615e-05,6.431962052981059e-05,6.173029638982068e-05,6.980594116612338e-05,6.834250598330982e-05,6.638703442669274e-05,6.680316745323287e-05,7.420623933285242e-05,6.425827493384371e-05,6.839962661615573e-05
70,0.00013061409340783334,0.00013244596468414075,0.00011974257237549561,0.00012693811776653792,0.00012575811798584094,0.00013145048225331784,0.00013625182269137322,0.00012957969786504307,0.000128441977261601,0.00012701601190201472,0.00012048635700786556,0.00012980707002238238,0.00013104410666556126,0.00012734913164449884,0.00013228826377171036,0.00013324427648816103,0.00012660500345061467,0.00012637650779421925,0.00013449354680363155,0.00012800366355804726,0.00012667980056273965,0.0001261250077472401,0.0001236425512858356,0.00013364922100057204,0.00012334875888579214,0.0001189775241073221,0.00012653714786152234,0.000125506481405561,0.00012471859945970424,0.00011928901644310944,0.00013162793058048313,0.00011791720037133648,0.00012453850803677386,0.00012621320949131963,0.00013334427462218123,0.00012567394514917396,0.00013317527851828154,0.0001240703733690845,0.00012483877220670749,0.00012415315222824574,0.00013145563882842128,0.0001272013573628662,0.00011472477854113095,0.00013075189708615652,0.0001298176166050038,0.0001284417474188989,0.0001269158293975384,0.00013106785978347864,0.00013149961705494206,0.0001272504549229654,0.0001251328139915131,0.00013081417008916932,0.00011656956974967706,0.00013631777619593777,0.00012740929741994478,0.00013040571769922782,0.0001238423355971463,0.00012523084623008516,0.00012688034621533006,0.00012482380589062814,0.00012925055935122674,0.00013455277257889975,0.0001297881462960504,0.0001345193761933063,0.00011463050739419284,0.00012459257581772713,0.00012371107635165876,0.00011695808346410813,0.0001225948615481482,0.00012988566359618326,0.0001309564945081042,0.0001227602297149133,0.00010940764817253996,0.0001234432335574335,0.0001272707533124568,0.000127123349876137,0.00012592728983560977,0.00012358765754118308,0.000129940503029502,0.00012001155874033521,0.00012770197936333715
80,0.00020237639643407116,0.0002093553129169676,0.00018640651372455372,0.0001991281910494973,0.0001995713237077705,0.00020599513248141323,0.00020558848407217152,0.00020258548255170403,0.00020113058666008983,0.00019853740559483413,0.00019257032994416623,0.00020388601738626936,0.00020340126260028532,0.00020085638794681114,0.0002012410279883839,0.00020352952378743794,0.00019897660231869114,0.00019768605659320905,0.0002038203388760199,0.0002022920515931522,0.00020077146652441185,0.00019853473349940032,0.0001896421353255088,0.0002027386455059362,0.00019425273496871963,0.0001852472953032702,0.0001901079969332298,0.0001961092521014507,0.00019579009676817805,0.00019408879668316654,0.00020259619826295722,0.0001939253443896842,0.00020382667375647894,0.00019848951360029054,0.00020221539549917603,0.00019756688016059343,0.00020553334367210291,0.00019434650312177837,0.0001966979199282668,0.00020027146001666551,0.00020516128487153246,0.00019764339215706716,0.00019340423750691116,0.0002061973689706065,0.00020031184785215087,0.00020367010530255932,0.00019822083767004578,0.00020099689343049633,0.00020446675807761494,0.00020084680162936225,0.0002004901907639578,0.0002041745822432197,0.00019672614390191693,0.00020349864886763194,0.00020074742351425812,0.00020275150998305452,0.0001968627911992371,0.00019922594345126557,0.00020108444335743445,0.00019755722314585,0.00020070862784225653,0.00020905387100356165,0.00020244497621509558,0.00020625523549305008,0.00019104807627930617,0.00019426176015538378,0.00020497590497446557,0.000195152853378996,0.00020136272723902948,0.0002049764262738864,0.00019845895359240886,0.00019760198483709246,0.0001951326266862452,0.00020488486188696697,0.00019128713133146187,0.00020183429220999748,0.00020074778253079524,0.0001991433197667169,0.00020705361202999484,0.00019538808989919676,0.00019893848802894355
90,0.00013876580516807734,0.00014385890083051182,0.00013263260977206906,0.00013518773943920119,0.00013894511219497205,0.00013584438212481991,0.00013196433980239465,0.0001408029876122447,0.00014114281832376094,0.00013443010266200872,0.000135180163560119,0.0001406766879918738,0.00014019993823515534,0.00013707342044323343,0.00013564199873465388,0.0001367408100729032,0.0001365408755061383,0.00013836080978751254,0.00014008423048445757,0.0001401030797084483,0.00014048891932291624,0.00013876796232839946,0.00013317979416266706,0.00013857994684561467,0.0001316069671976572,0.00013311594957485796,0.000137056773735,0.00013856280035421756,0.00013786680844050887,0.00013706954339267536,0.0001369626730835686,0.0001350056034145662,0.00013589162335847504,0.0001375865880307662,0.00013842880273134343,0.00013328701723886688,0.00013565653755090592,0.00014085678346666762,0.00013933983489068742,0.0001373474206047831,0.0001342333052889444,0.00013506690323838292,0.00013890138689021114,0.00013966213300591334,0.00013619736043773102,0.00013795915905288176,0.00013698151669814252,0.00013182976921630223,0.00013857688122698164,0.00013627886224200884,0.00013490455312421546,0.0001371966923629357,0.0001344474484190309,0.0001293934625815988,0.0001317437767283991,0.00013632061478458535,0.00013158531510271132,0.00012985097067751762,0.0001387951779179275,0.00014054276834940538,0.00013641755684011024,0.000140475987791433,0.0001421743436367251,0.00014331511504549,0.00013095251658038856,0.0001344867385341786,0.0001444662562183415,0.0001351067926064985,0.0001375282253219565,0.00013542034624454877,0.00014152815371441344,0.0001325270495726727,0.000138469059796383,0.00014045784337213263,0.00012727353376768797,0.00013603218290622214,0.0001371333143781937,0.0001371743080873726,0.0001401879471814027,0.00013852786962940757,0.00013652831548824907
