Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,cross,cycle,dash,depart,descend,drift,flee,float,fly,glide,go,hasten,hike,hurry,journey,limp,march,meander,race,ride,row,run,rush,sail,scramble,swim,taxi,travel,tumble,walk,wander
0,7.645921567854128e-06,7.716204436292173e-06,7.1292577482987935e-06,7.638593933734228e-06,7.383319773942253e-06,8.762871532651064e-06,8.698422972532083e-06,7.89485483990432e-06,8.097285772927983e-06,9.015158411784796e-06,7.647685134981185e-06,7.871943543417432e-06,8.12632472871249e-06,8.655778529056548e-06,8.059659999429748e-06,8.077261886304163e-06,7.670271050604546e-06,7.859513830168642e-06,8.490878193307644e-06,7.543276066523201e-06,8.696905842953128e-06,8.422872610935883e-06,7.681633099612858e-06,7.465906037396053e-06,7.005240539521245e-06,7.216038648039103e-06,7.444762841700022e-06,8.075461645754936e-06,8.136112800831838e-06,8.45387278552094e-06,7.723613786462616e-06,6.749221571366294e-06,7.2952995144358e-06,8.152477660185594e-06,9.125494999453724e-06,7.783506451427716e-06,8.287091274819671e-06,7.113818355719559e-06,7.061053960328481e-06,6.8685683345393045e-06,8.566159819681761e-06,7.738886438346526e-06,8.00351817815681e-06,9.769388175060923e-06,7.771487628959126e-06,7.481668892848704e-06,7.739182500811518e-06,8.732793801868866e-06,7.76833872484123e-06,7.2521743690727325e-06,7.788257831774759e-06,6.378111512124936e-06,7.079413762767217e-06,7.855772407440651e-06,8.59539433553562e-06,8.843782573173733e-06,8.050948393843931e-06,8.602424372838868e-06,7.661503414308552e-06,8.542665811826458e-06,8.40177841989013e-06,7.5231404069551985e-06,6.974427997698109e-06,7.886876985778784e-06,7.607355655636638e-06,7.541348017562618e-06,8.924600576522477e-06,7.87314779553262e-06,9.825612096392433e-06,8.092017148991536e-06,8.128289027808933e-06
10,7.642886037108445e-06,7.713608671043335e-06,7.126947669651902e-06,7.635900752015564e-06,7.380360646585601e-06,8.758870470566243e-06,8.695066042257108e-06,7.892417670518626e-06,8.094147878055772e-06,9.012291229737457e-06,7.644825425387229e-06,7.869178113409992e-06,8.122843541279893e-06,8.652709556317308e-06,8.056765369367307e-06,8.073553658505261e-06,7.667541597454277e-06,7.856149286914232e-06,8.487684112878924e-06,7.5401918911666145e-06,8.692900253383693e-06,8.41914155509065e-06,7.679102670105445e-06,7.4628069493580066e-06,7.002642253913412e-06,7.212368109321687e-06,7.4419882154078576e-06,8.071998280456683e-06,8.132700486385147e-06,8.451251907841183e-06,7.72059423676789e-06,6.747319511864939e-06,7.292991811552313e-06,8.148697482939434e-06,9.120539465988662e-06,7.780452579351862e-06,8.283952824010493e-06,7.111681001829724e-06,7.05863575088856e-06,6.866355022339121e-06,8.562692997618293e-06,7.736685006420885e-06,8.000858815648827e-06,9.765449727925252e-06,7.768466766241258e-06,7.4790551674855775e-06,7.736266596973445e-06,8.729057142886631e-06,7.765215915979157e-06,7.2495967990769055e-06,7.785904703128975e-06,6.3749070591256896e-06,7.07691174284264e-06,7.852879996195896e-06,8.592265799209066e-06,8.83981655616398e-06,8.048078969843255e-06,8.598784290825279e-06,7.658945706781298e-06,8.539698907183125e-06,8.398332950794913e-06,7.5202507051344775e-06,6.971747687337618e-06,7.884429967751137e-06,7.604950976908893e-06,7.537616298790241e-06,8.920910236806126e-06,7.87045818132385e-06,9.82090688239623e-06,8.088781827945921e-06,8.124300029521691e-06
20,1.8993329290793013e-05,1.8984242935268276e-05,1.9064584951896297e-05,1.8972133162046352e-05,1.9029584166938675e-05,1.9233412136340382e-05,1.9100007281644316e-05,1.8982206764870652e-05,1.9025969006087266e-05,1.896906576348556e-05,1.8940428039238695e-05,1.89594687313098e-05,1.909568235339865e-05,1.9105914720002506e-05,1.8990452094037797e-05,1.9092648623579105e-05,1.8996898537200952e-05,1.897425200591966e-05,1.897931848101767e-05,1.9009146587147067e-05,1.9104021675257874e-05,1.902024717180341e-05,1.890775456558913e-05,1.9043709956652797e-05,1.895568285752753e-05,1.893945700430777e-05,1.9000555913671925e-05,1.8971962883066833e-05,1.89324750809807e-05,1.9093065930064768e-05,1.887895739249264e-05,1.8992419707221696e-05,1.8952975306792025e-05,1.908517392727189e-05,1.9066453306651158e-05,1.886267334936877e-05,1.899783632995279e-05,1.8909043402262878e-05,1.8912381351419096e-05,1.8895434436672076e-05,1.9027682742973335e-05,1.912046036522952e-05,1.908840367832454e-05,1.9108103994145303e-05,1.9037193545189343e-05,1.894783391825123e-05,1.8968424180792154e-05,1.9003082059043663e-05,1.8992783287981653e-05,1.8954160292527046e-05,1.8939857209961003e-05,1.897049954398729e-05,1.8709193682298064e-05,1.8888595892646234e-05,1.9039326146192815e-05,1.889730943234595e-05,1.8976538182957278e-05,1.9187722045899136e-05,1.8783512435523637e-05,1.9015013542509853e-05,1.8989754607900977e-05,1.885839108542304e-05,1.8814616649049436e-05,1.8907602327647157e-05,1.897274099367981e-05,1.896090040421083e-05,1.9085004169028252e-05,1.8899597630332856e-05,1.8956479152620886e-05,1.8974459520859073e-05,1.8792069931805598e-05
30,5.858235537645571e-05,5.856512655521294e-05,5.864204164633217e-05,5.847009418245691e-05,5.860425084438823e-05,5.869608763272741e-05,5.8664786739691704e-05,5.855836456712317e-05,5.862895051007088e-05,5.847407237524749e-05,5.854595741609192e-05,5.837286702518789e-05,5.860713127097397e-05,5.864112371813407e-05,5.8514514453503685e-05,5.8635686703685984e-05,5.849531715371302e-05,5.8579323920156054e-05,5.846621297678212e-05,5.8510180097073316e-05,5.8692343400952476e-05,5.864097881515461e-05,5.8537964844920985e-05,5.86055019084597e-05,5.852463864213196e-05,5.843529579578899e-05,5.8614673581624015e-05,5.845293230777315e-05,5.853344765080906e-05,5.873434049370248e-05,5.838714559407284e-05,5.8559219374169166e-05,5.8434325183043256e-05,5.861593799213446e-05,5.8520150762180696e-05,5.842454538651509e-05,5.849360336708885e-05,5.852904756796885e-05,5.85066990457694e-05,5.8448498293728335e-05,5.858309506290057e-05,5.8679748690337874e-05,5.855477902514394e-05,5.862349835775891e-05,5.8554211443008266e-05,5.843828148499597e-05,5.8467430502978936e-05,5.8538459484225314e-05,5.85052996719806e-05,5.864676264040595e-05,5.8498862003594136e-05,5.8357602028991096e-05,5.813823554490227e-05,5.838170486362176e-05,5.856895937728856e-05,5.846630103240552e-05,5.847936547304984e-05,5.862686657565064e-05,5.8291713685321156e-05,5.852827861627492e-05,5.853572438354604e-05,5.843294056048567e-05,5.836029874815183e-05,5.844143041785018e-05,5.8600595366442576e-05,5.8540038185423944e-05,5.862529126586326e-05,5.8498850692910396e-05,5.854555729456479e-05,5.862191077341333e-05,5.822603088745382e-05
40,7.239289216404604e-05,7.244765853371334e-05,7.301361923358247e-05,7.309197490730394e-05,7.266557463768964e-05,7.390128926739894e-05,7.25296484879143e-05,7.26373016768062e-05,7.221033638991605e-05,7.347700011450797e-05,7.269588438506572e-05,7.280832580029394e-05,7.321747971494032e-05,7.269371042529008e-05,7.22515063791755e-05,7.168600980852109e-05,7.302220313119636e-05,7.24007512400033e-05,7.24929530926082e-05,7.26086971311209e-05,7.237106048985599e-05,7.25865263250723e-05,7.328680473923062e-05,7.263920294159713e-05,7.284857611733651e-05,7.136077765608206e-05,7.276481142804598e-05,7.287359570303427e-05,7.237092281951953e-05,7.260416344750763e-05,7.240583411961173e-05,7.281582657014951e-05,7.26326449624209e-05,7.287812568815859e-05,7.217076522970779e-05,7.321477629115439e-05,7.308157594372078e-05,7.23220483368178e-05,7.276477196453004e-05,7.358119955824804e-05,7.251916209265511e-05,7.198937692010077e-05,7.327043058467098e-05,7.292596771884219e-05,7.300117492712544e-05,7.303082134707698e-05,7.304273107397501e-05,7.339560738728323e-05,7.270775006026239e-05,7.327432963806628e-05,7.326176049760901e-05,7.264308806043118e-05,7.360388917732053e-05,7.257641341218876e-05,7.325553552022781e-05,7.193818931806494e-05,7.337571307328299e-05,7.305229974008398e-05,7.316732727405097e-05,7.277920331734304e-05,7.270362208752582e-05,7.282252921359814e-05,7.311411206535047e-05,7.30541635405373e-05,7.248138313621489e-05,7.246764639071975e-05,7.269686414344636e-05,7.253916450164041e-05,7.396969613182591e-05,7.275118537300008e-05,7.271289141499437e-05
50,4.966140742810141e-05,4.8706023571193565e-05,4.925082430418115e-05,4.884807998538376e-05,4.8926102713669966e-05,5.4987907268306504e-05,5.121171588759734e-05,5.065259706587348e-05,5.0480775872195326e-05,5.1753246452790336e-05,4.929257255876839e-05,5.111098074180796e-05,4.89491165243442e-05,5.096267363335232e-05,4.976434549248284e-05,5.12520505253633e-05,5.03567010431046e-05,4.821898752957571e-05,4.8660539505362976e-05,5.066663468217788e-05,4.9255397215557215e-05,4.98884974149405e-05,4.8865113155140233e-05,5.017071319646978e-05,4.932319966933897e-05,4.898082916042768e-05,5.0025056900208696e-05,5.0452302427099006e-05,4.853358533342971e-05,4.829725895110788e-05,5.095186570542864e-05,4.974562160406584e-05,4.8427421881150134e-05,4.977071529178512e-05,5.142534084572819e-05,4.8905051958822045e-05,5.130602460811037e-05,4.741354926161214e-05,4.8725907859134385e-05,4.8510647957300534e-05,5.015466752198297e-05,4.589109403241309e-05,5.081466406409163e-05,5.1726589797334255e-05,5.0827197686119596e-05,4.8815007799670895e-05,5.131718643768405e-05,5.148577656655107e-05,4.905642871845289e-05,5.108665308481167e-05,4.7406847275292074e-05,4.880794009901971e-05,4.828479504794814e-05,4.872095280229494e-05,4.9223813252395086e-05,4.996805331426334e-05,5.1041618217989525e-05,4.735309767056606e-05,4.7561593217122005e-05,4.8885457754994815e-05,4.8288220083729055e-05,4.7565936060842644e-05,4.780979866659941e-05,5.023945935111417e-05,4.968206445078572e-05,4.921275637582755e-05,5.107053220854141e-05,4.765554871072152e-05,5.2160783525323495e-05,4.821268964765257e-05,4.8384136607637626e-05
60,0.00011511483230483341,0.00011430673745322835,0.00011306905859479836,0.00011227253002848906,0.00011013505653967445,0.00012869822863389606,0.00012016336603987691,0.00011410247123635868,0.00011421353858306156,0.0001151665392171708,0.00011310094824121161,0.00011723487054672548,0.00011337869694795121,0.00011752152744465451,0.00011688664483646041,0.00011784653664411356,0.00011391554333039537,0.00011052503681570716,0.00011430869381001685,0.00011689348679889615,0.0001144299776150057,0.00011218354731162046,0.00011124643274039651,0.00011647333594737575,0.00011500879491139794,0.00011408873979235068,0.00011358823793406989,0.00011459908682809328,0.00011176460376351744,0.00011188287903825122,0.00011681902542477473,0.00011282777212237797,0.0001156373508330524,0.00011637659918051213,0.00012213489066602456,0.00011464024438672433,0.00011667242602255244,0.00010999881024789912,0.0001093381414462038,0.000109294700450846,0.00011628024646036446,0.00010715839744079858,0.00011901624893653206,0.00011719273798486316,0.00011693863251773445,0.00010976799354206638,0.0001189026565075517,0.0001172138836409431,0.00011341262826794389,0.00011466927588282323,0.00010998259760806552,0.00011293278415299331,0.0001150555741332937,0.00011272949647106116,0.00011295566068368097,0.00011705689791018482,0.00011563163469119938,0.00011412189905968262,0.00010836397349420522,0.00011076409752534416,0.0001141593228870382,0.00011026961201619137,0.00011255914776282023,0.00011630585242266272,0.00011430458430873437,0.0001144083944382146,0.00011569202355791017,0.00010959765413351687,0.0001176771129394183,0.00011069086055513941,0.00011520002444740385
70,0.00037568786403327877,0.00037236530139731866,0.00037201790352507186,0.00036496721485701315,0.0003736300852232247,0.00038703190927792875,0.00038424687978300836,0.0003747088610943334,0.0003721787847719992,0.0003686978034238564,0.00036992576874413146,0.00037149968913433197,0.00037598711523142725,0.0003758020519109612,0.00037491366315140005,0.0003811485985352192,0.0003701857979952668,0.0003718407297819334,0.0003754314789797978,0.00037753137138982613,0.0003745569498278201,0.0003703245913909216,0.0003687162681793173,0.00037413413811009376,0.00036929538963170397,0.00036762747913599014,0.00037305513509519156,0.00037241543153262074,0.0003691841796834898,0.0003659135569074762,0.0003704003524035215,0.00036757045577710064,0.00037365311548525753,0.00038048229518693026,0.0003733242305720018,0.0003676199111006489,0.0003770022407192492,0.00036789136621254414,0.0003650457530243165,0.00036332149466034025,0.00037981197176045403,0.0003585233171179425,0.00037243609840516,0.00038203994872195547,0.000379539971350153,0.0003712842968525365,0.00037681032712530476,0.0003750417508854298,0.00036892815265234495,0.0003747104571878233,0.00035965278131278375,0.00037858217547181994,0.0003650074067991227,0.000374265964266521,0.0003740539702040882,0.00037183791970495474,0.0003724609744504735,0.0003670872138172854,0.0003596058627913913,0.00036843473700663216,0.00036594668636098505,0.00036528055532334715,0.0003738027670705277,0.0003697684641428258,0.0003773994523928397,0.00037500859153541654,0.0003702589497801715,0.0003667972574006736,0.00037269029417075217,0.00036824682772456974,0.00037348130135796966
80,0.00045149805176864703,0.0004549895906907127,0.00045530570059781894,0.0004501730700632414,0.0004582477875696377,0.00046345502154768577,0.00046436150930070826,0.0004575114820481223,0.00045389446571374994,0.00045183856855146587,0.0004486582366991098,0.00045246501365315395,0.0004631023603547929,0.00045539569824045015,0.00045770543237107203,0.00046203117502348806,0.00045430418166298684,0.00045200406250991873,0.00046521236176236665,0.000458470299684753,0.0004536508372089324,0.000450281490235024,0.000452724911350136,0.0004569400412340959,0.00044726745811261474,0.00043964489013887943,0.0004584895969826668,0.00045423949692728155,0.00044932539766544803,0.0004492507075830813,0.00045103381775940456,0.00044095211062365427,0.00045208713037517067,0.00046180427916412954,0.000451778267031639,0.0004536770679156429,0.00046229882833645925,0.0004571540154178034,0.0004571210091557713,0.000448886177764507,0.0004583280821494322,0.0004451040367712267,0.00044922812667209656,0.0004599851886986902,0.0004641132876522055,0.00046119136636012367,0.0004598907345146137,0.00045843693806091323,0.00045181160761597407,0.00045469472851519555,0.0004404757516637731,0.00046441056474577636,0.0004616210382664576,0.0004591663375173752,0.00045939580565479036,0.0004510377475526184,0.00045568710919069027,0.00044580108442460187,0.0004538435217303534,0.0004546790509126507,0.00045069329983865223,0.0004501405280954655,0.00046230333396966606,0.00044895244236859317,0.00045307274235205515,0.00045839197292633644,0.00044925211945415607,0.00045533023536160227,0.0004478881455725059,0.0004519511353197124,0.0004624420660547912
90,0.00039054728443482637,0.00038573901272482343,0.0003900561617532124,0.0003840974688780709,0.00038864404991669936,0.00039047810631538075,0.0003894263410925745,0.00039142056587426104,0.0003906822976320275,0.0003904928762494819,0.00038666261990991547,0.0003866840157496306,0.0003948376944401499,0.00039119374758394605,0.00038760313147898106,0.0003917623653251212,0.00038667394255753607,0.0003849994317522343,0.00038918317711379914,0.0003912454416664938,0.0003923317695108171,0.00039083157389541157,0.00038674446754157545,0.00039113827709419033,0.00038216948474106924,0.0003847167070489377,0.00039299318356619725,0.00039377406089139794,0.00038640792892478845,0.0003924911734723156,0.00038498483908673125,0.00037912706746003375,0.00038779034030784923,0.00039047386421453816,0.00038776883674371574,0.0003826954655648608,0.00039029157089412605,0.0003935294754972512,0.0003909885484293238,0.00038375465373974293,0.0003875284966581719,0.0003961567381338682,0.0003946056996937841,0.0003896953559505116,0.00039232857310899386,0.0003903754446322897,0.0003844561285580296,0.0003890663856509491,0.0003860663122834702,0.0003899043235419826,0.0003784693540253032,0.00038996405055513605,0.00038015924801584335,0.00038050338079468634,0.00038903252249744173,0.00037826513818634504,0.000388405242276388,0.00038176122689037584,0.00038386965590891324,0.0003857683654552182,0.000380864330024148,0.00038496989309937964,0.0003866942699662306,0.00037752819506594123,0.0003852708097029891,0.00039065621041862124,0.0003902543768552797,0.0003890947050568948,0.0003809073277807329,0.00038811446905151763,0.0003913089982233942
