Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,8.598573052343757e-06,9.448013686239762e-06,7.873175453217604e-06,9.59349517870578e-06,9.382911123713158e-06,8.545782098475943e-06,1.0066851220266648e-05,9.176847655860337e-06,8.858739025941482e-06,1.025067544446756e-05,1.0819067809302116e-05,1.0436675187965916e-05,9.66161166726317e-06,9.59252831004657e-06,9.41414208522046e-06,9.686235121838157e-06,1.1023973786991736e-05,9.682392964108818e-06,9.9409883854865e-06,1.0268866675081274e-05,1.0557624388568981e-05,9.086716630690717e-06,1.0932564891845687e-05,1.0950137766485569e-05,9.870463203235034e-06,9.685895565780812e-06,9.734133065590399e-06,9.185349687375796e-06,8.90377055732054e-06,1.0531235991419958e-05,1.103938948896636e-05,8.685001393342436e-06,1.1723900054396207e-05,9.722478907639104e-06,9.141619153120297e-06,1.0299738668046693e-05,1.0156368845352853e-05,8.053344944611043e-06,1.1300405550359591e-05,9.737506474039037e-06,1.0978084511797143e-05,1.0575584825985177e-05,1.1579991792132205e-05,1.020418940242962e-05,9.419829223732354e-06,9.51809269712325e-06,1.1297552646283293e-05,1.0364324397047759e-05,8.724852250452386e-06,1.070690065466022e-05,8.907476876629517e-06,1.0557633355677932e-05,1.1423837806362896e-05,1.2719689986321706e-05,9.265671951652622e-06,1.0320110625482868e-05,6.62140973872738e-06,1.0792789531666946e-05,1.020427275348497e-05,1.1309930641800747e-05,1.0840846454068737e-05,1.2292297526528273e-05,1.1678887176458375e-05,7.699433938666647e-06,1.0499808632226228e-05,1.0239252801861416e-05,1.2634165462562427e-05,1.013110640606003e-05,1.1152747910509115e-05,1.2560534395897202e-05,8.371783426102613e-06,9.857655489516523e-06,6.943717229053921e-06,1.5597866422467632e-05,9.500725679702424e-06,1.1697723422983401e-05,1.1113245234030598e-05,1.1070296394674159e-05,1.0801591372455732e-05,1.1200379167578013e-05,1.2650688972826174e-05
10,8.599386067847565e-06,9.44809121224184e-06,7.873334804268476e-06,9.594190578354755e-06,9.383590262978377e-06,8.545702322797816e-06,1.0067765618171712e-05,9.176747126778201e-06,8.85840019023656e-06,1.0250215126461626e-05,1.08185687268916e-05,1.0437445947603437e-05,9.661946919412443e-06,9.592019464986207e-06,9.41346964763772e-06,9.684974259016599e-06,1.102440767551473e-05,9.682673203602877e-06,9.941632908651496e-06,1.0268834218247018e-05,1.0557563809225729e-05,9.08720113963162e-06,1.0932711738860234e-05,1.0950447676805198e-05,9.870035365378181e-06,9.683925873105181e-06,9.734155370214495e-06,9.186373887359878e-06,8.904370013303432e-06,1.0531378716076424e-05,1.1039808274896738e-05,8.685003911943148e-06,1.1722349934363872e-05,9.723510147079828e-06,9.14152277194565e-06,1.029987191714099e-05,1.0156445476264994e-05,8.0525458708342e-06,1.130139846106639e-05,9.737333527937153e-06,1.0980232868210546e-05,1.0576096373215284e-05,1.1580134412270127e-05,1.0205876151303528e-05,9.420359985693052e-06,9.518695055464233e-06,1.129860310616745e-05,1.0364577926673902e-05,8.726270081638177e-06,1.0707072411950603e-05,8.905766389943891e-06,1.0556791990397455e-05,1.1423731984905317e-05,1.2719626359588196e-05,9.266110419048346e-06,1.0320661310603954e-05,6.621530928896391e-06,1.0792480711172865e-05,1.0205775362754304e-05,1.1311054549878463e-05,1.0841671561353504e-05,1.2295727060518402e-05,1.1681811884045601e-05,7.699844120777146e-06,1.050114953058154e-05,1.023884369015622e-05,1.2635049400463079e-05,1.0131668515348656e-05,1.115279851378377e-05,1.2561401730193677e-05,8.372976278931472e-06,9.858017316825377e-06,6.944376915877608e-06,1.5597164444140315e-05,9.501687015602198e-06,1.169797848309496e-05,1.1114098827290166e-05,1.1070560056454738e-05,1.0799965707519732e-05,1.1200333685200112e-05,1.2649853829316271e-05
20,1.04029911623608e-05,1.0457258785781622e-05,1.0385417454017443e-05,1.0381541338014917e-05,1.0362677418430117e-05,1.038203728447635e-05,1.045984915817239e-05,1.0355255402541125e-05,1.0372925098175684e-05,1.0404132694930013e-05,1.0406127027332937e-05,1.0406496121318849e-05,1.036383218888659e-05,1.04200026505692e-05,1.0378337644985602e-05,1.0403456409828019e-05,1.0351093784438923e-05,1.0372849782804305e-05,1.040814306309455e-05,1.0424007923575118e-05,1.0461814375818134e-05,1.040261645357532e-05,1.0391210586628101e-05,1.0417617947193018e-05,1.0415429021541347e-05,1.0414952157589141e-05,1.0406650612675285e-05,1.0387598251782038e-05,1.0391923612641061e-05,1.0365790873742475e-05,1.0434390193646928e-05,1.0363922753570547e-05,1.0436996175345625e-05,1.0420520372529763e-05,1.0465303451686244e-05,1.0352449846452925e-05,1.0424386597438379e-05,1.0348890100431163e-05,1.0368628403717506e-05,1.0317563862827228e-05,1.0443031767083863e-05,1.0445756665734387e-05,1.0495436981727835e-05,1.0450677928020014e-05,1.0397168089663242e-05,1.0381989781499694e-05,1.0402450984007113e-05,1.0418815244312946e-05,1.0383073714592683e-05,1.0426651481887756e-05,1.03570551800658e-05,1.0416253231100695e-05,1.0368832695698635e-05,1.0409901809301422e-05,1.0258071688440395e-05,1.0385860076319065e-05,1.0222373475698987e-05,1.0401835456362058e-05,1.0436683541311966e-05,1.0291757462255191e-05,1.0390468794925724e-05,1.0456228096700215e-05,1.0246633792121429e-05,1.044192699087684e-05,1.0299172092547653e-05,1.0384923566911871e-05,1.044399195961887e-05,1.032413046652769e-05,1.0333451284707365e-05,1.0420323690653334e-05,1.0410292513067057e-05,1.0235069718570836e-05,1.042579606291838e-05,1.0392561155943744e-05,1.0442221797088028e-05,1.0427696174524677e-05,1.0396240473450494e-05,1.0349796653944424e-05,1.0323521223654097e-05,1.0387302219377098e-05,1.0305486921424744e-05
30,2.7968717501304732e-05,2.8008421092332963e-05,2.7719639092538273e-05,2.7879119163396983e-05,2.7981432692827127e-05,2.8086703553396675e-05,2.808492618280598e-05,2.7994506916385082e-05,2.8136884079858532e-05,2.7712293558579404e-05,2.79472096960411e-05,2.786318323995481e-05,2.7812437276059594e-05,2.808200381630079e-05,2.7935241878902374e-05,2.8206568231325946e-05,2.7759391893293166e-05,2.782541058060147e-05,2.8003135282363344e-05,2.793226546297471e-05,2.8122591930486332e-05,2.8083751983233795e-05,2.785247893674144e-05,2.793713417001224e-05,2.7882225901795742e-05,2.7921783475903796e-05,2.7894678609182818e-05,2.787190529337143e-05,2.7911750850548475e-05,2.787620677178981e-05,2.7992608520435168e-05,2.7840944732396074e-05,2.7852314745429725e-05,2.815893489374813e-05,2.814758499880554e-05,2.7656249065850197e-05,2.8043786019943102e-05,2.7965042880334128e-05,2.7833959327573068e-05,2.761632947567705e-05,2.798113694422812e-05,2.8048465402265564e-05,2.82023002000642e-05,2.7884715927939395e-05,2.799576357478815e-05,2.800048699244048e-05,2.7830395967092566e-05,2.784489799779023e-05,2.7935652610722173e-05,2.7963313625840436e-05,2.747257640294265e-05,2.804249329942236e-05,2.7768886124809237e-05,2.7883705115527846e-05,2.735776852205163e-05,2.7823054254867554e-05,2.7245730962022208e-05,2.7703237531662534e-05,2.8143489874888804e-05,2.78801676358853e-05,2.79185776263901e-05,2.7870316671396722e-05,2.7398077084702283e-05,2.8338451167136164e-05,2.7576138614272673e-05,2.7763978477406245e-05,2.7963955290033482e-05,2.7732970764152005e-05,2.7667206015596297e-05,2.783613280707295e-05,2.7951118883922594e-05,2.7862973183800932e-05,2.798533023451455e-05,2.7978706081436638e-05,2.790677198000984e-05,2.8035713925915346e-05,2.7883506325971602e-05,2.7736061588990608e-05,2.7862905881193e-05,2.7948445730383837e-05,2.7646565285976976e-05
40,8.851546745669717e-05,8.938084000773315e-05,8.815058754407801e-05,8.89530352791413e-05,8.920769102553118e-05,8.869628696369805e-05,8.816045209964466e-05,8.832259989407918e-05,8.900996917988397e-05,8.701848082637298e-05,8.924337327451572e-05,8.839220019432773e-05,8.859002242168185e-05,8.882254174254327e-05,8.755119445541983e-05,8.764248256435773e-05,8.827632206833056e-05,8.834411719477959e-05,9.052781933860388e-05,8.793393819360062e-05,8.889991216934645e-05,8.715691209155401e-05,9.007931182471414e-05,8.853509061736985e-05,8.772403666553723e-05,8.790044958004729e-05,8.939204569962326e-05,8.889105235236154e-05,8.832772556856713e-05,8.746137445409511e-05,8.880624974456927e-05,8.679844009188506e-05,8.906647879204963e-05,8.914311574033757e-05,8.830832262497602e-05,8.829846384677304e-05,8.943299728439582e-05,8.990437279201366e-05,8.924004608829764e-05,8.844490230330848e-05,9.4724288958657e-05,8.966594566331007e-05,8.883549799065804e-05,8.838078065309674e-05,8.968183292860263e-05,9.034467649670612e-05,8.929097914785545e-05,8.9023983539511e-05,9.021600931191642e-05,8.971011730268244e-05,9.052186942426488e-05,8.934207289712504e-05,8.818516474163446e-05,8.939598471139713e-05,8.97920981515199e-05,8.916543833483771e-05,9.047270941664465e-05,8.667678324353143e-05,9.153261965945025e-05,8.868579243426211e-05,8.956739882079844e-05,8.882829024514649e-05,8.73562724639972e-05,8.969045718133981e-05,8.972715275174576e-05,8.84588727226051e-05,9.09019261598587e-05,8.858727921496435e-05,8.915197253776973e-05,8.939574068823309e-05,8.83743026255009e-05,8.946190306839223e-05,9.054987215980266e-05,9.027575651998632e-05,8.903699615205239e-05,9.028606178003134e-05,8.721849735593423e-05,8.919802783038318e-05,8.792982680461137e-05,8.935345377882614e-05,8.84670444065705e-05
50,0.00011682688792158539,0.00012166613035973299,0.0001058051432967962,0.0001066412494065634,0.00011297075754463307,0.00012438050699919195,0.0001227523574808372,0.00011684453966154251,0.0001180507027624393,0.00011766647594413371,0.00010677834516060596,0.0001201235007064664,0.0001180269559192697,0.0001158883500135165,0.00011747756378848435,0.00012446363628744925,0.00011321486796251044,0.00010712074924148383,0.00012228978812345304,0.00011286388684917863,0.00011101120913875862,0.00011273035449578726,0.00010828648024471476,0.00011454283339844551,0.00011023773492077394,0.00010483221267350018,0.00011064389312401369,0.00010878479080626373,0.00010782289365820093,0.00010351390178144473,0.00011709254584275187,0.0001115375294970223,0.00010697739281358036,0.00011539907990947717,0.00012068640030015053,0.00011175765549913714,0.00012221215068788487,0.00010994150282137774,0.00010983189297047534,0.00010805986403283896,0.00012280690550271953,0.00011671968929883232,8.948904815042624e-05,0.00011564261367311702,0.00012101806312689165,0.00012096768546861744,0.0001163842505775392,0.00011786000827110879,0.00012202816833450925,0.0001089957491660306,0.00010148563742404804,0.00011829211606792259,9.974832408680903e-05,0.00011412514201462425,0.00010697201723814942,0.00011744166038958926,0.00010006952288676985,0.0001110978118958883,0.00012154576027321376,0.00010727761218731757,0.0001190268540672297,0.00010709843445511069,0.0001034656452247873,0.0001243858558674609,0.00010125174533944421,0.00010584329317610424,0.00010687618244749804,0.00010554894853617385,0.00011076934518954388,0.00011680653138633666,0.00011363464566077002,0.00011251819645015833,0.00010910882944396387,9.892769958241843e-05,0.00010926513329780261,0.00011617655570274098,0.00010847711798435609,0.00011177611063871037,0.00012350092401902657,0.00010538858418649321,0.00011322773571009748
60,0.0002037061779992655,0.00020433999910622974,0.00017973972656667078,0.000182392296846956,0.00019735422724404054,0.00020192732751768614,0.00020461588264292766,0.0002019025824234919,0.0001989737973854983,0.0001955414745680173,0.00018787184788739126,0.00019690717691650653,0.00019896208576745156,0.00019820027095689014,0.00019633457841872074,0.0002032519690449893,0.00018921692290383536,0.0001928089939012145,0.00019996885073071877,0.00019791084671548257,0.00019691575569315598,0.0001966142168125121,0.00018295122465739646,0.00019763411595098053,0.00019008413858948245,0.00018683235393837094,0.00019188339102848043,0.00018854521961960322,0.00019437336082131986,0.00018688794502410137,0.00019658523611724377,0.0001883881497913255,0.00018648707653203298,0.00019337095363880508,0.00020651103275465884,0.00018305262308006474,0.00020151759063561544,0.000191607486075637,0.00018737435241647805,0.0001848923211582587,0.00020025468880443701,0.00019736823695835638,0.00017845355068857316,0.00019807028293143957,0.00020089523030420472,0.00020088807918670538,0.00019638971300862197,0.000190524394846554,0.00020299666221035295,0.00019102040014645197,0.00018247877596877515,0.0002009021343176507,0.00018038785414179213,0.00019604303815867752,0.00017823872331064196,0.00019539912006751235,0.00017009500152198598,0.00018857964786203127,0.00020209523129530928,0.0001933466010086704,0.00020038599200967338,0.00020153716104687192,0.00018081207963405177,0.00021064184381560023,0.00017937098406643295,0.00018583590460296434,0.00019706756963084143,0.00018286531857122237,0.00018476837895933486,0.00019443439052813595,0.00020207617975150546,0.00018496923924734196,0.00018980961855656156,0.0001732440020229357,0.00018780620510889485,0.00019662725068659025,0.00019076057547603602,0.00018804383730199452,0.0002057277743006125,0.00018713012587879746,0.00018869904306484386
70,0.0002500331149591754,0.0002462807325948099,0.0002571494430109548,0.0002494269435723814,0.00025706894657444914,0.00024024638072920164,0.00024230846024546473,0.00025893801801813473,0.00026313383393785386,0.00025581410955055617,0.00025837463064458404,0.0002533082074571249,0.000248595217161699,0.0002597282436909154,0.0002477627759456963,0.00025014217681018636,0.0002486441851596326,0.00025205221100816434,0.0002476091566287713,0.00026384867436718195,0.0002641085358426118,0.000259663804432161,0.00025249387156994394,0.0002505591784332258,0.000252742190948791,0.0002635389508213848,0.0002514006872285878,0.0002531757133207672,0.00026323225773761377,0.0002661151816174688,0.00025292680230146896,0.0002557280805866377,0.00026229059165836167,0.0002590469022568247,0.00025074652027493965,0.0002422069262268321,0.0002409706821230142,0.00026975439422213555,0.00025116623269186457,0.0002490839988240623,0.0002481472952890077,0.0002513280323523275,0.0002719153035286581,0.00025689673639135436,0.00025951045130281463,0.00024667292493272966,0.0002485673092970891,0.0002366339297926364,0.0002420949795123306,0.00024824614906563135,0.00024003521539270878,0.00026275869194333524,0.00025188115866442857,0.0002476752354899266,0.00023073405027389525,0.0002418314451256729,0.00026946450816467404,0.0002420108689091586,0.00024976257885679263,0.00025903476489474997,0.000247476000641723,0.00026058790172101,0.00023845012037781999,0.00025930883878442856,0.00024298396238009445,0.00025189587121041346,0.00026453934454669553,0.0002564838145463978,0.0002483479425050232,0.00024136307550728456,0.0002633872516323916,0.00024938619026215747,0.00026107644953299314,0.00024055787556183836,0.00024048883642535657,0.00025962262343337105,0.0002598827060345294,0.00025116190755075115,0.000253044483542908,0.0002645414004429095,0.00024597734154667704
80,0.00039239047153387217,0.0003841218206583074,0.0003971992797839145,0.00037115301954774904,0.00039181728181252376,0.00036621296645275185,0.0003544992129806609,0.00039835274870519673,0.0003959773759699509,0.0003967644715885399,0.00040243591151752127,0.00038918805705402427,0.00038963087188841945,0.0003932101667900993,0.0003748133554301389,0.00038233404605610605,0.000379179710026143,0.0003810580252504707,0.0003754380065532002,0.00040621086372993886,0.00040493699265285754,0.00040030729308325263,0.00038547112082596867,0.0003788105027827745,0.00038385393268000037,0.00038562752888537943,0.00038834874642141643,0.0003876713496235122,0.00040104119072887387,0.0004027660301465902,0.0003836915347104271,0.00039724694887319434,0.0003908870572698876,0.00038762344899246606,0.00038478599324460246,0.00037686888936150353,0.0003714424084663685,0.000409324645509266,0.00038711843852245483,0.0003805601972999284,0.0003660642666675683,0.0003789931436953571,0.0004463602490432095,0.0003962814371334389,0.0003895072165361949,0.0003790964923897072,0.0003824040065020589,0.00036010544123168904,0.00038352946103259455,0.00037650916658157224,0.00039108889177441597,0.00040089957871135664,0.0003930121575159809,0.0003725820521746452,0.0003437309176661074,0.00037424786287188833,0.0004134374757995829,0.00036070526904699487,0.00039571563618003643,0.00040565088420407847,0.0003770147644293805,0.00038631242205156013,0.0003618882280231143,0.00040025284397415817,0.00037615264106231433,0.00038049115235200867,0.0004103224821543942,0.0003981510429487874,0.00037762152512894117,0.00036683060432813626,0.0004011815342689968,0.00037966178691325087,0.0004056083077254395,0.0003983113371456663,0.0003597108755327229,0.0003839076402923697,0.0003861490071618131,0.0003882008672770744,0.00038863407826283947,0.0004081996123525588,0.00038382412458304316
90,0.0003729072449884067,0.00037023061088769247,0.00037429090540778515,0.00035814939563771567,0.00036861039764436455,0.0003406210494826415,0.0003285932456961863,0.0003775727052829768,0.00037924231352767893,0.00036420900869416073,0.0003759929307385773,0.00036863895781737355,0.0003792605791452595,0.00036742408348910624,0.00035356535261277765,0.00035954562190454453,0.00036025016847166365,0.00036423031242175286,0.0003592930661397986,0.0003831799910403788,0.00038234733779413197,0.00037997115681979006,0.0003657029933917026,0.000365225841718105,0.0003552319313813415,0.00037358748377300797,0.00037197100802234583,0.0003710677156050224,0.00037987490958424613,0.00038371508097982096,0.00036316478508524597,0.0003693447719202735,0.00035980912126923125,0.0003655500612051294,0.0003642626365439759,0.00034849829691146236,0.00034582173477821544,0.0003830460852689364,0.0003753020454419732,0.00035909456983063137,0.00034411634052438397,0.0003574256341844956,0.00040412416637991555,0.0003661208276753314,0.00036240743525252725,0.000356242469953079,0.00035899019442565207,0.000336851547073916,0.0003611397651184234,0.0003554924044473065,0.0003664086863864213,0.000370660336391831,0.0003656352211971982,0.0003383939862639333,0.0003198264399543405,0.0003488747315714136,0.0003517802688293159,0.00033047326774223996,0.000367274804210121,0.0003798927864409052,0.00035776195281575767,0.00036461603303905576,0.00035421078791841865,0.0003774493816308677,0.0003479115564712427,0.0003639864009948304,0.00038402069476433097,0.0003715286440383743,0.00035603527659852126,0.0003484246160558148,0.0003848031014462726,0.00034659313678275794,0.00037536130791219574,0.00037004018668085337,0.0003291745857235843,0.00035946672463293684,0.0003660566331486085,0.00036367177475063553,0.0003558279677235987,0.00038499340924684803,0.00036057357501704244
