Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,2.2237846612066883e-05,2.671884548935513e-05,1.974797199485086e-05,2.481174217861665e-05,2.273548550045787e-05,2.2358051605156754e-05,2.3800114047023066e-05,2.2757290037732576e-05,2.3189993976590317e-05,2.219751428356176e-05,2.4963981615408916e-05,2.515600590413669e-05,2.3066336738834664e-05,2.2997214218224997e-05,2.4465589601330815e-05,2.698535809031455e-05,2.3581814730277983e-05,2.2811737271464913e-05,2.2600674063661635e-05,2.383325628519136e-05,2.3186365083697287e-05,2.348721951810668e-05,2.245835049203985e-05,2.407255912354837e-05,2.342046474719638e-05,2.1411380294011907e-05,2.5528100928978903e-05,2.4593664193162112e-05,2.4349040102285523e-05,2.4178963338917746e-05,2.3749939415817304e-05,2.7507099835370005e-05,2.151200778126412e-05,2.3920290215489618e-05,2.2245125617498867e-05,2.2072480192036892e-05,2.2542705060483347e-05,2.131372912117513e-05,2.311908758793472e-05,2.28729857099097e-05,2.0488470519402263e-05,2.3637978079313278e-05,2.430393954000465e-05,2.1126045976416207e-05,2.485222524372052e-05,2.3130925020316347e-05,2.6497103486430465e-05,2.3925903278404004e-05,2.5034548968960735e-05,2.4756528891257716e-05,2.910103721660562e-05,2.2769820961085234e-05,2.4598693125181644e-05,2.6359991276573663e-05,2.434601556160487e-05,2.215984655702748e-05,2.4364847377000842e-05,2.289906347116279e-05,2.23783684057046e-05,2.2352959376803483e-05,2.676293534218579e-05,2.2818319052930747e-05,2.160953530013406e-05,2.705354849500249e-05,2.474870173803841e-05,2.389331684053804e-05,2.805152180371806e-05,2.502425534765534e-05,2.5041902206255515e-05,2.2335017051732353e-05,2.6371013316545737e-05,2.0393683674531832e-05,2.2385717481180716e-05,2.5461164720278855e-05,1.9304091048460187e-05,2.312845587660483e-05,2.252274901236108e-05,2.5209908229836372e-05,2.2338962480716873e-05,2.4505446201161983e-05,2.0719893018394942e-05
10,2.2239784399668376e-05,2.6720851800982252e-05,1.974920648232607e-05,2.481203618327317e-05,2.273536758849919e-05,2.2357039207625868e-05,2.3801307311406426e-05,2.275752319148619e-05,2.319057928823757e-05,2.2198910755832912e-05,2.4966858380835613e-05,2.5158815091975955e-05,2.306895536700419e-05,2.300039492790044e-05,2.446610496382859e-05,2.6985706805741454e-05,2.358410386347844e-05,2.2812032201025295e-05,2.2604237431421226e-05,2.383537431645285e-05,2.318714579394929e-05,2.348774150310159e-05,2.2460805885202716e-05,2.4074731997340373e-05,2.342223052394166e-05,2.1409338296507484e-05,2.5529400919631663e-05,2.459482800531987e-05,2.4350144367952667e-05,2.4181297601077653e-05,2.3751393746351825e-05,2.7509363672624415e-05,2.151204676710432e-05,2.3920907828940516e-05,2.2246319733514814e-05,2.2076602086989234e-05,2.2542262663113145e-05,2.1316407252346504e-05,2.3121843762318492e-05,2.2873559089475748e-05,2.0487836471667314e-05,2.3639473109606696e-05,2.430921017548826e-05,2.11258419767546e-05,2.4853105730328122e-05,2.3130805215930053e-05,2.6499497809189573e-05,2.3928352459877618e-05,2.5035658637762026e-05,2.4758887101252813e-05,2.9103472479619084e-05,2.277081173154081e-05,2.4601072093971127e-05,2.6357364655874942e-05,2.4348992701561657e-05,2.2162859137579847e-05,2.437678904243512e-05,2.2902449551299376e-05,2.238159570631317e-05,2.2360092089002137e-05,2.6763073526703383e-05,2.2821070956524636e-05,2.1616022877424257e-05,2.705722337330891e-05,2.4754026450561167e-05,2.3895766319653307e-05,2.8053821491387983e-05,2.502868374581486e-05,2.504479748158364e-05,2.2337030812294058e-05,2.637121178850066e-05,2.0395798249713455e-05,2.238980202188638e-05,2.5468717467447277e-05,1.9306079853517337e-05,2.3131020320938484e-05,2.252331198958148e-05,2.5214789106499785e-05,2.2343053046824934e-05,2.450809874628111e-05,2.0720586690003984e-05
20,3.442572386120446e-05,3.476154651488522e-05,3.448747762983354e-05,3.458580753291384e-05,3.4474523355255985e-05,3.45693484372792e-05,3.4529079071475165e-05,3.445796229291438e-05,3.454789203957101e-05,3.432722064644622e-05,3.445140235406278e-05,3.455179890175825e-05,3.459436740024213e-05,3.43379890568251e-05,3.444666534265065e-05,3.458153226650514e-05,3.457187328118986e-05,3.446375447748335e-05,3.463939577029253e-05,3.445522956705342e-05,3.447056985281121e-05,3.456957860440265e-05,3.4531371444851784e-05,3.448300461362426e-05,3.465531243284839e-05,3.439598149270751e-05,3.464899336611251e-05,3.4484042847301076e-05,3.4564000217120765e-05,3.446591707019721e-05,3.452526662537518e-05,3.459750321501186e-05,3.442419116394236e-05,3.4426959423510153e-05,3.428713474325681e-05,3.457974175294761e-05,3.446767090951509e-05,3.441031698126938e-05,3.4495337446520373e-05,3.4449083841536776e-05,3.4384267304890924e-05,3.4495133420816585e-05,3.449149062362267e-05,3.4484404022805395e-05,3.435789403738454e-05,3.447638143705645e-05,3.476864699873009e-05,3.4628327053373175e-05,3.4571694868645864e-05,3.46562340163128e-05,3.472248645266518e-05,3.426202138970521e-05,3.473692298799646e-05,3.442040239557779e-05,3.486232672003098e-05,3.4493612326272975e-05,3.47275326930685e-05,3.46860107474013e-05,3.470459176407365e-05,3.457062211964512e-05,3.478266823735158e-05,3.453676981735043e-05,3.499881252840472e-05,3.444330650381744e-05,3.4846730159188155e-05,3.4676329848410275e-05,3.477817420692493e-05,3.467292352128894e-05,3.465721864712476e-05,3.4565815898990424e-05,3.4556756872916594e-05,3.4562114403039836e-05,3.486766945570707e-05,3.465494046395179e-05,3.4438970033079386e-05,3.442086669459165e-05,3.460767766227946e-05,3.472163309432348e-05,3.4417972528899554e-05,3.448950651125247e-05,3.434368372836616e-05
30,0.0002100725085862602,0.00021102114502961436,0.0002099412631650921,0.000210025880817109,0.00020962617160381064,0.0002114329898696659,0.00021021640268079335,0.0002100575186073241,0.0002103426480441814,0.00021025672776886495,0.00020981582516177707,0.00021028909143250513,0.00021064544456418264,0.00021012996501557416,0.00021013550508274312,0.0002110306522808969,0.0002100163309521685,0.00020991806810297356,0.00021066466745521341,0.00021004595716173451,0.00021024199668318033,0.00021060704343004284,0.00020998391342194131,0.00021033225105687354,0.00021046029065646942,0.00020987542229704558,0.00021065958970857242,0.00021037357449434543,0.00021029358767383897,0.0002103657400678663,0.00020997437027593454,0.00021041107538621873,0.00021000622711233937,0.00021004153890450054,0.000209905957389209,0.00020989508058326983,0.0002098936877844512,0.00020936721094502983,0.00020995914146405118,0.00020969276010873728,0.00020887400023639202,0.00021054505425049586,0.00020942336595908273,0.00021091756934765726,0.00020999999143992012,0.00020985646758498133,0.00021017149473274394,0.00021011463691696948,0.0002102564913002425,0.0002101594500659146,0.0002099594770697877,0.00021041092589836228,0.00021033738180099485,0.00020900949311908334,0.00020889404404442758,0.00020999685571319898,0.0002100775600410998,0.00021027482379677481,0.00021084522383964875,0.00020993806174374186,0.00021067708940370388,0.00021002853827667423,0.00021105747146066278,0.00021036399370391985,0.00021047953487141058,0.00021047160463730016,0.0002106962133742248,0.00021009595194075416,0.00020981041247809858,0.00021030101977573994,0.0002113045015398206,0.00020970094677371284,0.00021026478498242795,0.00020906735395935053,0.00020967575671550418,0.00020966262124968668,0.00021110535765598928,0.0002102267034417544,0.00021042319167463575,0.00020975463188687698,0.0002093988689011894
40,0.0005905206284175316,0.0005924175644327921,0.0005898688056428606,0.0005884513966380976,0.0005912013091088002,0.0005991750845818647,0.0005939823571562527,0.0005923408967455065,0.0005930251142752793,0.000592830383538967,0.0005900224995580905,0.0005969494469558858,0.0005888552863545941,0.0005911775136183044,0.0005898607107262839,0.0005931737274901631,0.0005921319035613644,0.0005859703494565963,0.0005943061842117459,0.0005914943641982973,0.0005873860531629852,0.0005887773378552603,0.0005876116532211503,0.0005873373243957758,0.000588178276158278,0.0005903187557123601,0.0005895758457031221,0.0005899169324644996,0.0005878235199762618,0.0005859624371007685,0.000592573465158542,0.000589472803627499,0.0005888896412216127,0.0005913717770188047,0.0005914465000387281,0.0005920282284413199,0.0005950062630673576,0.000588815071916377,0.0005894229832913233,0.0005880704775336199,0.0006008385348000697,0.0005921860345629381,0.0005842653263243847,0.0005907355865929276,0.0005959532726065893,0.0005948480212521789,0.0005944006818546249,0.0005947688299337434,0.0005939905586274108,0.000591168087276887,0.000588448764756322,0.0005936885559508069,0.0005871696455869823,0.0005934057602037986,0.0005953256040811539,0.0005926000172918549,0.0005913220520596951,0.0005908145484964138,0.000596875107889487,0.0005899780808249488,0.0005945005880979201,0.0005872488909517415,0.0005892154683048526,0.0005919851079982306,0.0005898754865888299,0.0005905121672325409,0.0005916195882794757,0.0005890267759671695,0.0005900059612166067,0.000594426604587719,0.0005919093835271067,0.0005920933617744595,0.0005871903267689049,0.0005881408384690682,0.0005923070046784622,0.0005939736684131158,0.0005881908457792763,0.0005902567828607355,0.0005951827042736113,0.0005877094852988522,0.0005880405835341663
50,0.0004033061539909492,0.000416608100446562,0.0003744421216348807,0.0003730865540162015,0.0003937981669832304,0.0004186524435811277,0.00041867736276359326,0.0004028519791685731,0.0004039518759862956,0.00040844425529940054,0.0003778682568938368,0.0004146933129142818,0.0004003265295812691,0.0003979708179196512,0.00040195745446801404,0.0004200044362126694,0.00039514540808990465,0.00037655661389514615,0.00041475080277970325,0.000391608199570328,0.00038356733902429157,0.0003904914691312505,0.0003783951971369485,0.00039084748132154343,0.00038860977206024385,0.00036754927132278683,0.00038313932459606157,0.0003794952669219735,0.00037960224024787106,0.0003713152682100753,0.00039917097232925397,0.00039053457574202464,0.00037315959511593415,0.000399318481468959,0.0004077608593636089,0.0003941694547912838,0.0004142754731123875,0.0003760708548890596,0.0003823000676116446,0.00038617572135990486,0.0004150260938331485,0.00039959884220189316,0.00033350559351674747,0.00039555623079650103,0.0004132643271556222,0.00041198312108846086,0.00040569086309655435,0.0004049873412505054,0.0004138925960432971,0.00038179483817657456,0.0003534688614308834,0.0004065709945280105,0.0003646240050259691,0.00039173150192558143,0.0003815618169028312,0.000405803675601753,0.000373339862562716,0.0003904804521127893,0.0004129485063127835,0.0003846015388262458,0.00041279222400638683,0.0003746096554095857,0.0003678727080114186,0.00041300422994286886,0.0003646683390899044,0.00037471275337828464,0.0003786893445067108,0.0003791755789475295,0.0003896920601686428,0.0004024910318417693,0.0003915178725340714,0.0003956359044726317,0.0003720395810281237,0.00035577654004252207,0.0003837978791645063,0.0004014452645712375,0.00037931689335632006,0.00038954706026068437,0.00042760114956763573,0.00037349049102694987,0.00039582042081747203
60,0.0016159825539216399,0.0015749234223255404,0.0014569451353357483,0.001450928791354482,0.0015600984960299315,0.0016596321116334625,0.0016164741828106344,0.0015939573702206345,0.0015518897540183574,0.0015738701476948336,0.0015055951231193762,0.0015709647737747552,0.001548550313931297,0.0015634430755832882,0.0015642837922581856,0.0015902594071424876,0.0015319283383654519,0.0015173827900692727,0.0015739930427766272,0.0015634871553629637,0.0015103760408237577,0.0015427154846422906,0.001486363192088902,0.0015171698643825949,0.0015428502275238907,0.0014725221553817391,0.0015110134075756274,0.0014859200649273892,0.001555645463111646,0.0015214958355852192,0.0015469407740359505,0.0015345461254652876,0.0014790994374869536,0.0015220163771939442,0.0015858799840013187,0.0015205325575412384,0.0016015319836840622,0.0015276660084385765,0.0014914101268815618,0.0015253958481480367,0.0015951490827969142,0.0015717851260597718,0.001434898265870288,0.0015522605390287936,0.0015917610695683642,0.0016015514204474656,0.001582672239081668,0.0015557289272628463,0.0015422303767991252,0.0015312969385533884,0.001504288474097848,0.0016032474919814956,0.0015132024400652602,0.0015853896620683372,0.0014829620951786638,0.0015697298970605647,0.0014219609438441694,0.0015630672950747199,0.0016324893380938606,0.0015169063117355108,0.0016367659736324543,0.0016420473548350856,0.0014784021768718958,0.0015841580461710691,0.0015665181951286893,0.0014850879661165751,0.0015659834956750275,0.0015288028873563294,0.0015535796690663254,0.0015940821115011433,0.0015579064169691668,0.0015257979976013303,0.0015309498800585668,0.0013925701884242396,0.0015022831170686654,0.0015755946152275066,0.0015383081710232155,0.0015215122290218488,0.0016801839519757777,0.0015233762781409657,0.001479959429707378
70,0.003531073750928044,0.00334948205596043,0.003629488463047892,0.003537773874659951,0.003492325656351787,0.00386357240911041,0.003561575517749354,0.003473137765755191,0.0035023939548225343,0.0036320724029792473,0.003488122548816013,0.0034743807354599846,0.0034509420352564616,0.003513691918642232,0.003533178425448782,0.003594280278775841,0.003470483333027611,0.003381266727265489,0.0033676420987051514,0.003527527501185735,0.0034694468423437613,0.003544152028293216,0.003496777036537727,0.0034448932856321335,0.003637544156628705,0.003659856878221035,0.0033885947909326323,0.003387654423325633,0.0035467279034064095,0.003542798620107914,0.0035818165137122076,0.0035952608942842255,0.003538227881878041,0.003509182840722,0.003532562197910415,0.00348690600783032,0.0035324380242902982,0.0035068528218702836,0.0034117953745221876,0.003419313856284134,0.0036347000527062585,0.0035674236640532283,0.0034096656017936766,0.003487177100032568,0.003583366222875683,0.003473093750347432,0.0034374856888981804,0.003622222706070987,0.003356998393428512,0.0035487053201309054,0.0036269247997552157,0.0035634243606843734,0.00354787355217223,0.0036446393157045045,0.003617504402063787,0.0034159780907615715,0.003671981510706246,0.0035879593021396934,0.003608583112839948,0.0034137764596380293,0.003623897082082206,0.003561506135156378,0.0033521336348106465,0.0035874854906329085,0.0036039826550727915,0.003436346323444293,0.003434592578560114,0.0034901541858030263,0.0034062581059212485,0.0034379422652056893,0.003473336006411248,0.0037677217042073607,0.003676923302312692,0.0029981997795403004,0.003692717757076025,0.0035769429251358105,0.0036407744378915857,0.0034736087217160892,0.0035229950735811144,0.0034770916681736708,0.0032925511943176387
80,0.0024733649318416915,0.0024694363862552025,0.002379876571164156,0.00231736117723183,0.0024754265396961872,0.0026548205808337244,0.0025865859164285565,0.002427553946434177,0.002397614240917507,0.002428762993076816,0.0023759602566169186,0.0024562824294161126,0.0023304508385163817,0.0024323466385601823,0.0024196314981535954,0.002525707289654141,0.002430422400634381,0.002340813939565722,0.0023693321937961237,0.002421230248486002,0.00242595190110688,0.002424223500254032,0.0023344755871221425,0.002338212790588538,0.002526472461232472,0.0024680054280906915,0.0022528262887780946,0.002251004453379816,0.0023389482720042854,0.002405396078698217,0.002432762865598003,0.002425527029957336,0.002408627060224087,0.002389249655917832,0.0024651132989674807,0.002422534896010932,0.002517193273984288,0.0023181555919687858,0.002332900476877589,0.0022912139975233003,0.002360736485570669,0.0024742468983489784,0.0023175993701443076,0.0023897218750789763,0.0024622216894242322,0.0024347942702374176,0.0023498205917089113,0.0025036225050459045,0.00242375151719898,0.002415537048364058,0.0024370175320655107,0.002398162868551233,0.002476046360635127,0.002514968994849672,0.0024112346582114697,0.002434477606807284,0.0026300991885364056,0.0025075365195115066,0.002524764234708114,0.0023138792312238365,0.0024585027074922,0.0023973995994310826,0.0021912305577037237,0.002513409758518849,0.0024666825257655648,0.0023340014866195047,0.0024515388611083227,0.002437429297314857,0.002346344010826821,0.00243547694392603,0.00238338270638552,0.0024951668456196785,0.0026835984705636897,0.0021365247278784714,0.0024154657897140297,0.0024332211461740656,0.0024347734537773897,0.0023653897073780818,0.0024560155579820275,0.002309427077161978,0.0023099845973774792
90,0.0044547789885352055,0.004530720973249387,0.004449966091973086,0.004445956414565444,0.004534295771884013,0.004682709662509816,0.004617340614899031,0.004380501172578845,0.004353705890877526,0.004368387293652631,0.004389396957754169,0.004371479852125049,0.0042752174759340105,0.004417041902232802,0.004414304649895605,0.004513228894211352,0.004513383862407257,0.004295304883271456,0.0043685200757214,0.00440883425064385,0.004450973012269689,0.004408641838901011,0.004398418087512255,0.004368907826331755,0.004555236463183685,0.00487466361373663,0.004213718682407371,0.004181651476149757,0.004383198823779822,0.0044439418031083,0.004438057138274113,0.00443267490929709,0.004432986132227457,0.0044021063637579,0.004504194276200401,0.004430193138042731,0.004533195387155406,0.004299297124486078,0.004284793300643922,0.004230697188177146,0.004333667889503496,0.0045227913428692425,0.00438088463852182,0.004275471228174866,0.004450430272539195,0.004417366960919217,0.004300988455569105,0.004532106941680244,0.004325254318246152,0.004380947302079535,0.004445838928222656,0.004474689125676046,0.004554431443102658,0.004580693707490961,0.004393916786648333,0.004468112219391125,0.004791822517290711,0.0045599841496682374,0.004474401622163979,0.00455564318690449,0.004441775178777114,0.004402953549288213,0.004189800626287858,0.004408920117254768,0.004529655755807956,0.004380034619512466,0.004407989311342438,0.004465861013159156,0.00431942615951239,0.004433286139271683,0.004302042717528012,0.004414836565653483,0.004627503609905641,0.0042526971859236555,0.004447834499712501,0.004426652870999722,0.004548864222929946,0.004376802180382994,0.004582696768920869,0.004384223545877999,0.004237768845632673
