Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,2.3726001745671966e-05,2.5667050168623165e-05,2.905170072153851e-05,2.2924990550494e-05,2.3613607147955364e-05,3.511630555814398e-05,2.720070193801451e-05,2.444769314168202e-05,2.6404156841048853e-05,2.3179179095222935e-05,2.394947968701829e-05,2.4110603348793918e-05,2.3688873101711966e-05,2.698713307946684e-05,2.517806911140831e-05,2.4565679420144686e-05,2.199372643948057e-05,2.5368196290827066e-05,2.566345681641126e-05,2.4793487318675035e-05,2.5616613870974666e-05,2.9062722676696596e-05,2.2803486305444192e-05,2.625790806026392e-05,2.4083484840091496e-05,2.3685386258875953e-05,2.510865762463166e-05,2.33199062336098e-05,2.420033946263549e-05,2.553372690184211e-05,2.5446478139201646e-05,2.391186836365915e-05,2.486377126423087e-05,2.5001759839630346e-05,2.454213048016148e-05,2.306620586166121e-05,2.3836450712846463e-05,2.7358528479288164e-05,2.4328372672747915e-05,2.5900347225160658e-05,2.6282527349914225e-05,2.5394152283084584e-05,2.3310359324568708e-05,2.4968440993689e-05,2.4731173413640233e-05,2.4093808037593445e-05,2.4281795205232422e-05,2.465933644009311e-05,2.6418630483249217e-05,2.511828872762823e-05,1.6985301772365347e-05,3.021128759428393e-05,2.4421666666267603e-05,2.728646139379028e-05,1.815235536923865e-05,2.399883682561007e-05,1.3634002243634313e-05,2.504440428687115e-05,2.8525655331825625e-05,2.8464872912081773e-05,2.5887892074787224e-05,2.8348020123303286e-05,2.1754416745049337e-05,2.6493989675405567e-05,2.0049591082877465e-05,2.581652540986677e-05,2.561899442904784e-05,2.4575902605119475e-05,2.386905551550929e-05,2.5728546543259734e-05,2.5815183916064496e-05,2.3355499858250067e-05,2.8832427839612745e-05,2.1754353838332463e-05,2.2059083156429032e-05,2.723251764582056e-05,2.461648247325294e-05,2.486522481787336e-05,2.4310455955856014e-05,2.644078592441344e-05,2.8133558225817977e-05
10,2.373226941320657e-05,2.5674164438290365e-05,2.9058556341018022e-05,2.2931063624407844e-05,2.3619446863771764e-05,3.512617279609133e-05,2.7207134574001108e-05,2.445394257895379e-05,2.641188903113818e-05,2.3182956908840424e-05,2.395458381619796e-05,2.411566129012499e-05,2.369581323529763e-05,2.699419111663839e-05,2.5183918061135474e-05,2.4571796908882487e-05,2.2000304002609655e-05,2.5375283015980328e-05,2.5672443306185805e-05,2.4801128517234854e-05,2.562452377438044e-05,2.9069635940816496e-05,2.2808531891011323e-05,2.626489025108943e-05,2.4089515930441733e-05,2.368859168200288e-05,2.5115115110360597e-05,2.3326863337539788e-05,2.42071701637435e-05,2.554059630065533e-05,2.545325779162037e-05,2.3916939706116234e-05,2.4869684081680203e-05,2.5009154541760103e-05,2.4548062356188893e-05,2.307269780236051e-05,2.3841755651837477e-05,2.7364967288370032e-05,2.4334449083554833e-05,2.590486138842607e-05,2.6287866083813632e-05,2.540134564600173e-05,2.3318952912632085e-05,2.4973015297291567e-05,2.473788232524193e-05,2.4101267224882337e-05,2.42874505472303e-05,2.4666013878391313e-05,2.6425600850643605e-05,2.5125208398533467e-05,1.698511241556844e-05,3.0216495526308957e-05,2.4427163218486105e-05,2.7293599108209794e-05,1.8152550546801648e-05,2.400558954535399e-05,1.3638838936458342e-05,2.5051072043424938e-05,2.8535935598483775e-05,2.847761106750113e-05,2.5894606111368404e-05,2.8359429052216e-05,2.1763386939710472e-05,2.6503000429199475e-05,2.0056613619898497e-05,2.5823041855451617e-05,2.5627454063699892e-05,2.4583765959397825e-05,2.387593756928389e-05,2.573532658864572e-05,2.5822515049690588e-05,2.3365282686427236e-05,2.8842992226903636e-05,2.1757591184723424e-05,2.2064768537737628e-05,2.72399126409361e-05,2.4623163101620905e-05,2.487393417581071e-05,2.4317836846421415e-05,2.6446520051580928e-05,2.8140875929238974e-05
20,1.5489812067244202e-05,1.5479412805116562e-05,1.5596816562416887e-05,1.552922188308842e-05,1.5504738004455236e-05,1.5536881879337932e-05,1.542805205556966e-05,1.5535854919634356e-05,1.5535412612850072e-05,1.5500086078645836e-05,1.5508176709121427e-05,1.551774130348349e-05,1.556244721238424e-05,1.5519650195060283e-05,1.5496083709448988e-05,1.5428052847710205e-05,1.5434051755662603e-05,1.5501206148713473e-05,1.556858118029985e-05,1.5513895341427997e-05,1.547766334204845e-05,1.5561917069005305e-05,1.5467871647463957e-05,1.5577830284504066e-05,1.5514862362968934e-05,1.5353611161117442e-05,1.562355794615747e-05,1.5471051483473275e-05,1.5562833173402504e-05,1.556700032867206e-05,1.552901075532039e-05,1.5600514766097498e-05,1.5602185263000698e-05,1.5450689749364178e-05,1.547331258835685e-05,1.552850814537773e-05,1.5515815747628375e-05,1.5649734863969073e-05,1.5570393398194434e-05,1.5531079213815246e-05,1.5299032513991862e-05,1.548533705221068e-05,1.560861210236908e-05,1.5601415361743422e-05,1.5405203253306498e-05,1.55219355675447e-05,1.559118075290046e-05,1.5562972820541626e-05,1.5466361645621873e-05,1.554470319551283e-05,1.5389362488349434e-05,1.5570587245085996e-05,1.555812239950263e-05,1.554074409189828e-05,1.5444911150552797e-05,1.547567472345913e-05,1.5425830497406423e-05,1.549119045601652e-05,1.558904949144397e-05,1.5839333627809538e-05,1.5495467651103402e-05,1.5482066942240635e-05,1.547553241228646e-05,1.5485701364273803e-05,1.561564772600832e-05,1.55758997117608e-05,1.566640651920655e-05,1.55770054060599e-05,1.5613950112041225e-05,1.553993891460007e-05,1.5655834431527182e-05,1.5411770618811715e-05,1.573936848823602e-05,1.5632585927960463e-05,1.5514529747763716e-05,1.5468291415097404e-05,1.5562592709881885e-05,1.562773201341418e-05,1.5528363405792334e-05,1.5567933526447732e-05,1.5446771340066334e-05
30,7.212523477695262e-05,7.20810780034366e-05,7.319291520010059e-05,7.253336460472872e-05,7.209153271197707e-05,7.174406138282003e-05,7.186306256992412e-05,7.20966477513828e-05,7.179385910246851e-05,7.255503487613169e-05,7.220070974766219e-05,7.245226211403972e-05,7.249983702257106e-05,7.192591753361437e-05,7.210375787347884e-05,7.157429202682881e-05,7.248955262184609e-05,7.23084284558515e-05,7.2302308711057e-05,7.235028451153388e-05,7.182127077472754e-05,7.192617756248052e-05,7.23032719300439e-05,7.229043330880813e-05,7.235241644102933e-05,7.221343839773909e-05,7.250771112364507e-05,7.205858219094807e-05,7.227407871088123e-05,7.242329698900932e-05,7.221022290953746e-05,7.239875440763381e-05,7.257612686281881e-05,7.17623878721852e-05,7.202433334896341e-05,7.303657899423602e-05,7.216057220878276e-05,7.226790661330928e-05,7.259619398763494e-05,7.280019963218365e-05,7.242067970634838e-05,7.203125564859526e-05,7.224071941891452e-05,7.242988212965428e-05,7.193216381557776e-05,7.215576509847061e-05,7.288222103462821e-05,7.261105163611079e-05,7.21750984666869e-05,7.241097767385734e-05,7.27212813217193e-05,7.210678119339387e-05,7.263694256275463e-05,7.27027024064834e-05,7.366516074398532e-05,7.241100342516617e-05,7.376577195827849e-05,7.276669177748584e-05,7.188452582340688e-05,7.310533510462847e-05,7.232835939434427e-05,7.279305100382771e-05,7.323084961778174e-05,7.161821018339001e-05,7.315507718885783e-05,7.264368233826155e-05,7.216309604700655e-05,7.278908022819588e-05,7.300421593417586e-05,7.264268250773066e-05,7.215602333114172e-05,7.218589962576516e-05,7.250196116122727e-05,7.259428457473405e-05,7.217781343829952e-05,7.193348526972793e-05,7.231620630981135e-05,7.281290703347974e-05,7.240667491714703e-05,7.228581732512695e-05,7.262253493536263e-05
40,5.001508679318552e-05,4.95886814422664e-05,5.005838465876877e-05,4.9671342779989715e-05,4.961388397451985e-05,5.043070216613289e-05,5.0410335520169726e-05,5.0228669112441006e-05,4.9870768749844756e-05,5.046800652053207e-05,4.9611653122593893e-05,5.03143394093875e-05,5.015995140473189e-05,4.9975649303770766e-05,5.0241925183560374e-05,5.0407024446030846e-05,4.9928706522180055e-05,4.962482052167017e-05,4.9737986955733504e-05,5.0290354217092196e-05,4.9600890801789666e-05,5.033683588148311e-05,4.9332904842837404e-05,5.014416662258251e-05,4.976352815107916e-05,5.00123220263049e-05,4.98901129415777e-05,4.9638040612383825e-05,4.963215610854711e-05,4.995111738671474e-05,5.026739270154697e-05,5.0666209622599687e-05,4.978778871680753e-05,4.973025303426278e-05,5.0167830825860925e-05,5.0034223477268824e-05,5.0090547072039427e-05,4.9555696023162454e-05,4.978108358133236e-05,4.971247972207493e-05,4.847881687705272e-05,4.979813414312493e-05,4.968651001036051e-05,5.0006388119072656e-05,4.988179027446007e-05,4.9902945044634275e-05,4.9887776913237755e-05,5.021696453791504e-05,4.973615955350397e-05,4.9672465859751764e-05,4.8705963854445146e-05,5.006473888484338e-05,4.969703933546463e-05,5.016211889596889e-05,4.966861924913246e-05,4.986242262874635e-05,4.8942360081127845e-05,5.0483381246208564e-05,4.969238844668408e-05,5.007124764233595e-05,4.9916957880580614e-05,4.9795191443990916e-05,4.993414465085758e-05,4.9972689469411436e-05,4.944173431593097e-05,5.0005529192276296e-05,4.9126805485381435e-05,4.9756008691044266e-05,4.976576646084949e-05,5.007690239696646e-05,5.014785387579145e-05,4.959032291177815e-05,4.9449025633900114e-05,4.936261454228467e-05,4.998033130375136e-05,4.952651966936197e-05,5.0102784890831185e-05,4.972283383516873e-05,5.039439838583348e-05,4.955423578738329e-05,4.95714892167598e-05
50,8.24372600375985e-05,8.30374302933234e-05,7.84657443849331e-05,7.741963613975364e-05,8.025685088750257e-05,8.708580571692437e-05,8.48233726320623e-05,8.184552548061077e-05,8.232523202734021e-05,8.1689214312064e-05,7.695544295136553e-05,8.339832983233927e-05,8.454130919276257e-05,8.141204031717004e-05,8.300099087885909e-05,8.488674484397052e-05,8.071420381297468e-05,7.765778714144025e-05,8.554892597853072e-05,8.046452683629468e-05,7.851234751377398e-05,8.006710959307384e-05,7.886399442213587e-05,8.17059408291243e-05,7.827979777449933e-05,7.743168971501291e-05,8.058164624549869e-05,7.817276847769487e-05,7.682941384914825e-05,7.496739835328152e-05,8.303881792623239e-05,7.959050442598079e-05,7.909436869970075e-05,8.015963821224698e-05,8.404283491674707e-05,8.048605273610779e-05,8.522516901920378e-05,7.977139235167256e-05,7.976236643062074e-05,7.89933510532137e-05,8.385256660403684e-05,8.202272371644095e-05,6.83223101987096e-05,8.166474581230431e-05,8.416333960332467e-05,8.517951692307466e-05,8.23941446599617e-05,8.380175233724641e-05,8.542345017303887e-05,7.899371460019932e-05,7.717074186075479e-05,8.244129739151421e-05,7.331362959610907e-05,8.363713944466629e-05,8.136369287967682e-05,8.341182146235654e-05,7.316104893106967e-05,7.988835242376181e-05,8.401650583519685e-05,7.816438119334634e-05,8.339007630423512e-05,7.905433631094638e-05,7.80473455961328e-05,8.639000381143498e-05,7.645505532612636e-05,7.760183428987288e-05,7.594146688158313e-05,7.646661524827372e-05,7.997013616895183e-05,8.342899247083125e-05,8.083411780211868e-05,7.997975929659636e-05,7.893771301799764e-05,7.488425399060361e-05,7.977819041116163e-05,8.091884875910465e-05,7.883258695073891e-05,8.061100816708096e-05,8.509752660756931e-05,7.58900553462029e-05,8.018773150979542e-05
60,0.00011329533163613329,0.00011425315918771687,0.00010510096096065051,0.00010594296752690123,0.0001088265300863953,0.00011526441916690342,0.00011696976317550926,0.00011144754477611154,0.00010981584867444832,0.00010875715497604688,0.00010449940209919414,0.00011192981809453697,0.00011315842129988596,0.0001092109439813419,0.00011299478749552851,0.00011607134122944747,0.00010895881747447198,0.00010789334109050068,0.00011373628175143884,0.00010871513397432864,0.000107179415891341,0.00010975752827237426,0.00010452595888637007,0.00011216849476719896,0.00010753826952875695,0.00010389802628196776,0.00010837251360381714,0.00010670221399777802,0.00010600172365015811,0.00010247781427742373,0.00011282560124527663,0.00010468473584086706,0.00010487986974812184,0.00010879745329985758,0.0001153399316535797,0.00010729077725305356,0.00011656148059333454,0.00010666678545848382,0.00010683991352281342,0.00010893971148107084,0.00010884497584941397,0.00011190171759114898,9.535172921459889e-05,0.00010689216942409985,0.00011193451944946948,0.00011300578549516534,0.00010963166382030718,0.00011378998961095421,0.00011491635564198077,0.0001095921607915882,0.0001038218120811507,0.00010888217366300523,0.00010128353135839392,0.0001147160328400787,0.00010608213560772128,0.0001123874801346481,9.80166660156101e-05,0.00010923929321820494,0.0001111529729149135,0.00010647470662661362,0.00011199682413335008,0.00011260238807153655,0.00010495612271673356,0.00011574815913003736,0.00010100371319923498,0.00010536499959506238,0.0001050143027290081,0.00010190054355564737,0.0001068029895476583,0.00011215532055126739,0.0001096104646825956,0.00010302296868758276,0.00010356748922883223,9.960100093546013e-05,0.00011035109803612743,0.00010882721429194819,0.00010395571163306678,0.00010682213254650349,0.00011482051741040777,0.0001022106348003746,0.00010556586858001538
70,0.00037847174137520294,0.0003656391307702978,0.00036780000421761844,0.00037179285158904697,0.0003565350848418083,0.0004071310894297702,0.0003924420504312542,0.0003721514407707697,0.0003750500684792671,0.0003704558403114788,0.00036086916772973504,0.00037040065692462104,0.00038244389967682463,0.000375070357801054,0.0003882827343391802,0.00040052193313992274,0.0003630866655536617,0.00035950140563382094,0.00037205920463228334,0.00037375530460849406,0.0003719156137846697,0.00037545544858273516,0.00036007213425667334,0.0003848192165605724,0.0003691237929853655,0.00034290430485270915,0.0003603869483941385,0.00036412252575246384,0.00036278700589558436,0.00034961087799127846,0.0003863408389346053,0.00035854481113626837,0.00036005980263535795,0.00036839935797260983,0.0003847079092843665,0.0003580472088547789,0.0003869643930413172,0.00035688561778938907,0.00035741790941164615,0.0003470930223556934,0.00036023606662638485,0.0003790215004242937,0.00033699146115395706,0.00037177034828346224,0.000381187748739888,0.0003734292399665145,0.00035737317916105635,0.0003838731849611034,0.0003845225210170611,0.0003698717741042793,0.0003648713754955679,0.000370112216015431,0.0003424157328061903,0.000394743981208497,0.00036268340481910856,0.00037067684693005393,0.00034151208819821477,0.0003706019799273204,0.0003849293650339612,0.0003508753507048823,0.0003782610475618933,0.00036691642162622884,0.00034994185746957857,0.0003934707700474454,0.00034200407066641166,0.0003585198627731118,0.0003519676538417116,0.00034193125142220165,0.0003532825079067455,0.00035890220949711565,0.00038288141432632174,0.00037752547844623524,0.00036559389748920995,0.00031036959020032856,0.00037781476359149177,0.0003726482062521935,0.0003714406442928261,0.00035829370673098074,0.0003695290215546265,0.0003502981665352469,0.00035580862313508985
80,0.00041749273465635874,0.00041245876518250616,0.00039340190172273043,0.0003891897269148523,0.00040038018060046474,0.0004473622705388282,0.0004420275532362622,0.00040526407246943563,0.00040996323422163347,0.00040180605719797313,0.00039734324259988184,0.0004088157515887323,0.00040617781456658673,0.0004109446061633979,0.0004106914888218264,0.0004327784299675841,0.0003997547831940686,0.0003863753798075869,0.0003961739244654642,0.0004125481331720948,0.0004103402544457752,0.0004101133064458346,0.00038031024140461035,0.00040312731580343096,0.00041994593283605007,0.0003800493024755269,0.0003677755777326022,0.00037985214870180545,0.00038845977465183857,0.0003972325282501838,0.0004132096496565888,0.0004056498487793411,0.0004037485738920693,0.00039727295406032125,0.0004086813472288971,0.0003935272429121791,0.0004270448308058181,0.0003742239654953168,0.0003876217840104757,0.0003695471204991918,0.00038406956757950993,0.0004129465879931887,0.00038368172317859717,0.0004107046639546752,0.00040247930691724544,0.00040243714726162386,0.000377546285121103,0.00041273016898214754,0.00041824078198260395,0.0004021308962145323,0.0003796283737756312,0.00040089628733271223,0.0004020457169435059,0.00042679469819025445,0.0003810035908827558,0.00040505878741339764,0.00038525689160451293,0.0004227383539947713,0.00042118238740261984,0.00037737342790933326,0.0004105673350584042,0.000399623535486171,0.00035369635831254226,0.00043430203887900073,0.00039374830198034435,0.00039025381131348413,0.00040117787042011815,0.0003971258861823909,0.00038371982022740496,0.0004007502545252325,0.0004016832552022404,0.0004204037201513226,0.0004343590602123489,0.0003358444349335817,0.0003989384193638606,0.00040575205885152055,0.0004139947330778731,0.00038784090828548575,0.0004109794463147409,0.00038458595574273875,0.00039353222528006884
90,0.0006063693106019249,0.00061880955278563,0.0005745785165345296,0.0005865529215393158,0.0005929857460027443,0.0006444451615347394,0.0006431856750315356,0.0005956065782045602,0.0005971135183302331,0.0005940913542872295,0.0005842960535916557,0.0005939342039969883,0.0005881869274713663,0.0006039382816666285,0.000598178118439939,0.0006223899278362902,0.000595025084510867,0.000571398976291353,0.0005828343086510099,0.0006033941661007702,0.0006047771504829423,0.0005990961544739548,0.0005679165040298054,0.0005926911884065097,0.0006179228745630041,0.0005811826908029616,0.0005649257082334389,0.0005598482348432299,0.0005747133338659564,0.0005870137087655284,0.0005999118450563401,0.0006027151461099633,0.0005924684317925802,0.0005843372605229932,0.0006031927251670924,0.0005806384308795844,0.0006278032911052977,0.0005547682945193214,0.0005642005276770881,0.0005574444912781473,0.0005537667436458703,0.0006010557139079344,0.0005508744397957344,0.0006009138014633209,0.000590303784089261,0.0005942508106512067,0.0005619480233040771,0.0006082618967507427,0.0006116738795753918,0.0005882471744151754,0.0005774581688456238,0.0005981459901456467,0.0005958790429688703,0.0006185134552652016,0.0005759531573858112,0.0006108379944189622,0.0005786005931440741,0.0006138268739771869,0.0006155055862936107,0.0005791070143459365,0.0005888536939227212,0.0005901560107304249,0.0005463428290871283,0.0006251095162172403,0.0005917388585253826,0.0005777216032863809,0.0005968141447131833,0.0005914679530041632,0.000576257731828028,0.0005929925799399178,0.0005962779913615021,0.000607542033928136,0.0006224080182922384,0.0005446931075615188,0.0005935374647378922,0.000596494779789022,0.0006011284588436995,0.0005711734899499964,0.00061701015511062,0.0005763604101713183,0.0005634245899273083
