Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,cross,cycle,dash,depart,descend,drift,flee,float,fly,glide,go,hasten,hike,hurry,journey,limp,march,meander,race,ride,row,run,rush,sail,scramble,swim,taxi,travel,tumble,walk,wander
0,1.1445116090701933e-05,1.115898301038585e-05,1.1242305504310934e-05,1.2488039737945656e-05,1.1575426291344655e-05,1.1417223374467409e-05,1.2822522986396272e-05,1.1225830429098364e-05,1.0549675078183572e-05,1.1622583144799137e-05,1.0844277492224923e-05,1.182927323442323e-05,1.0651258159641381e-05,1.1398516631522922e-05,1.0914278856730293e-05,1.1498194472399822e-05,1.0403699851243195e-05,1.0643425636622344e-05,1.0832662025807491e-05,1.204232259018075e-05,1.1960882700525241e-05,9.446949637289695e-06,1.1376013299013721e-05,1.1629805597597926e-05,1.1087685119751508e-05,9.702171337266918e-06,1.0421952567647227e-05,1.0560859910431949e-05,1.1761243071947212e-05,1.1646295206446666e-05,1.2118488333120089e-05,1.0370675559338102e-05,1.2808981488468327e-05,1.0548180567681366e-05,1.2642080769688215e-05,1.0712083743718332e-05,1.060576345193304e-05,1.1441591058511138e-05,1.0954989675265536e-05,1.092281871706291e-05,1.2097788266765612e-05,1.2036844736940111e-05,1.1496033130242722e-05,1.1228814927514913e-05,1.076799736486129e-05,1.080808044987082e-05,1.0985087803355623e-05,9.926437215312944e-06,1.1238367443215323e-05,1.2552255198401822e-05,1.0604621672008272e-05,1.3737702677948013e-05,1.0404007889519562e-05,1.0434660972740467e-05,1.0610173454740012e-05,1.1924203880136536e-05,1.1630499056013588e-05,1.6125364027175237e-05,1.0242913655626277e-05,1.1176568093035781e-05,1.1377134554398556e-05,1.0304347910356247e-05,1.0739186222963326e-05,1.0765810347866054e-05,1.3257327332717574e-05,1.0423199585472633e-05,9.426560447017046e-06,1.057736313126248e-05,1.1231127928112983e-05,1.0382652530892255e-05,9.393390291734249e-06
10,1.1443127197855722e-05,1.1157233917334384e-05,1.1241650213378307e-05,1.2487291496654506e-05,1.1574548732570765e-05,1.141642392862455e-05,1.2819991437232425e-05,1.1224704786739084e-05,1.0547565755621668e-05,1.1621118375160222e-05,1.084275193276016e-05,1.182772666652454e-05,1.0649853210810706e-05,1.1396766653474929e-05,1.0912918595054446e-05,1.1497479003234426e-05,1.0402684237998896e-05,1.064308593171679e-05,1.0832124660607536e-05,1.2040757228533039e-05,1.1959642226709268e-05,9.4453440055986e-06,1.137563572531993e-05,1.1627571257122327e-05,1.108714041904369e-05,9.699414658825844e-06,1.0420802702297337e-05,1.0559364151655851e-05,1.176009368196794e-05,1.1645795395100234e-05,1.2116271985481338e-05,1.036871521346956e-05,1.2807378958803803e-05,1.0546831522650643e-05,1.263992140189253e-05,1.0711129245269799e-05,1.0603659126517365e-05,1.1440569220543363e-05,1.0953669406733819e-05,1.092229425125879e-05,1.2096342136325628e-05,1.2035817462674459e-05,1.1494035743453423e-05,1.1227595151515407e-05,1.076677949880066e-05,1.0806636367176127e-05,1.0983994191822907e-05,9.924854268206218e-06,1.1237176469703941e-05,1.2549257793249456e-05,1.0603709648211617e-05,1.3735226275457535e-05,1.0404095246485667e-05,1.0434481635234171e-05,1.0608616729110383e-05,1.1921551669564161e-05,1.1629767225723074e-05,1.6125249885590165e-05,1.0243387262360355e-05,1.1175724529703774e-05,1.137505839020984e-05,1.0304128697684337e-05,1.0738410183977168e-05,1.0764588966127564e-05,1.3255142524333982e-05,1.0421606345646848e-05,9.425567376248572e-06,1.0576535784469254e-05,1.122875687542546e-05,1.038141987896588e-05,9.39331443987612e-06
20,3.0299891649691916e-05,3.043808337005666e-05,3.0364047840218216e-05,3.046575906270076e-05,3.0282691355589835e-05,3.0625916874019564e-05,3.052329978550739e-05,3.0356907111982926e-05,3.0531263694718265e-05,3.0474508889710705e-05,3.0207488982992844e-05,3.0139692171360366e-05,3.0164797367020086e-05,3.0364649236699652e-05,3.046700358562007e-05,3.072503848973914e-05,3.0277249390478356e-05,3.0474186224879142e-05,3.0288447110901222e-05,3.041040935689428e-05,3.041066192963626e-05,3.0439153891035987e-05,3.025710364454426e-05,3.0315518233692274e-05,3.0239478061077303e-05,3.034821966139134e-05,3.0310804827275852e-05,3.0278770244270465e-05,3.025008670246119e-05,3.045040269963436e-05,3.0386304012305723e-05,3.0377472425103544e-05,3.0244404989879022e-05,3.0180827263055024e-05,3.0577718057934864e-05,3.0207586892824372e-05,3.037232825495027e-05,3.05733005503002e-05,3.032263602250738e-05,3.0191098630893975e-05,3.0405854286460028e-05,3.0643442642031005e-05,3.0359717493411152e-05,3.0501758278421077e-05,3.0295711258077063e-05,3.03259879729012e-05,3.0231043079734183e-05,3.0260978860496834e-05,3.0280672647144268e-05,3.0625601125806995e-05,3.0131726606878845e-05,3.0637035706604365e-05,3.0055985916987993e-05,3.025214209628757e-05,3.0098699049819423e-05,3.0464643879730087e-05,3.0375770278311316e-05,3.0422167810684186e-05,3.0030586508979064e-05,3.0317423806991428e-05,3.018346348350557e-05,3.0062202459967304e-05,3.0157391948806537e-05,3.0348488000019136e-05,3.061215344738836e-05,3.0264902732171747e-05,3.0449023142864462e-05,3.0285037551478917e-05,3.026607623723976e-05,3.0354382278262676e-05,3.013304030901054e-05
30,8.90146081007048e-05,8.918997169799965e-05,8.913207724011347e-05,8.906833726751546e-05,8.901174110581485e-05,8.954525297407859e-05,8.929279001970445e-05,8.911868559045936e-05,8.935004845187893e-05,8.913079045669292e-05,8.901030530888633e-05,8.883001757975743e-05,8.8830678247508e-05,8.911494770665851e-05,8.916554095990517e-05,8.96125029612449e-05,8.892127525108489e-05,8.920351471796136e-05,8.899679856507905e-05,8.920889512713378e-05,8.922511333366855e-05,8.922441403618515e-05,8.897288498701527e-05,8.912376627752867e-05,8.900783134214136e-05,8.912694611353799e-05,8.905203351112564e-05,8.897226628808615e-05,8.903856565559502e-05,8.913264278934577e-05,8.919505402445794e-05,8.920243215890459e-05,8.896659444592212e-05,8.897554670151886e-05,8.925502495710841e-05,8.878003453511545e-05,8.905305060723454e-05,8.917690932073377e-05,8.895347285482763e-05,8.885956231097225e-05,8.912552956199432e-05,8.930103285820223e-05,8.904390851967036e-05,8.924277752061913e-05,8.902684103783318e-05,8.901324950524472e-05,8.895282920556176e-05,8.896924646251136e-05,8.894706529802e-05,8.927700996123762e-05,8.878355276045532e-05,8.920809826425587e-05,8.867610958986915e-05,8.901977128757886e-05,8.88363885741424e-05,8.925671599255028e-05,8.909066868958475e-05,8.884851285984041e-05,8.857764300450476e-05,8.895117778313131e-05,8.906215274085601e-05,8.875531518721693e-05,8.875353517025899e-05,8.901502227312088e-05,8.93032912346017e-05,8.895561825136303e-05,8.922325962755297e-05,8.900093592772816e-05,8.893993617675733e-05,8.903715114829232e-05,8.87595844687894e-05
40,0.0002944682971763148,0.0002949489259023081,0.00029416509399500984,0.00029339678809404946,0.00029425107162221796,0.00029268679125899714,0.0002950456410255884,0.0002944283461307778,0.0002955527949630271,0.0002927681398432469,0.0002941142075643357,0.00029297407279361265,0.0002929224477459987,0.0002943138564605209,0.00029487076030551074,0.0002967694720913035,0.0002931686678840335,0.00029510854820048884,0.00029400816648766134,0.00029457890739043556,0.0002953516095518493,0.0002945646821379861,0.00029307159245945514,0.00029419472557492556,0.0002936228027840751,0.00029615418170578776,0.0002941287154587166,0.00029348335798810393,0.0002946086738066857,0.000294730766683877,0.0002943312446586788,0.0002939384531390925,0.00029392625751475303,0.0002938582823167793,0.0002951554553065863,0.0002924535209396189,0.0002932425961357933,0.00029508028951981527,0.00029381799072599466,0.0002923055762948934,0.0002944942596591415,0.0002958745099022053,0.00029340928012970834,0.0002946768164340603,0.0002931815201392103,0.00029354895855898834,0.0002931632622851778,0.00029275005181261804,0.00029371300328860124,0.00029336713222702116,0.0002925359469372779,0.0002947102232913797,0.0002906864247051999,0.00029378640227856076,0.0002928531622305384,0.0002954308557408777,0.00029299393801959935,0.0002928869398601819,0.0002922573734799193,0.0002937745361123234,0.0002943003880015264,0.0002929876162295019,0.000292561063866338,0.0002931453927885741,0.0002952642357235567,0.00029419724415237833,0.0002949309086294046,0.0002942844639032809,0.0002914663709816523,0.0002941015541373494,0.00029297525179572403
50,0.0002304095817364853,0.00023286607433369177,0.00023422920761125474,0.00023017505255456153,0.00023274029965388672,0.00020871356121330922,0.00022608546714764088,0.00022831223031971604,0.00022828786820320625,0.0002221730983364978,0.00023190373947188533,0.00022512538939457844,0.00023299391878853467,0.00022851362110955188,0.00023120286384843946,0.00022658510291269826,0.00022838030556505102,0.0002333999619173782,0.0002324758695197358,0.00023031463865966846,0.0002332469974554932,0.00022867740127756924,0.00023247710467937092,0.00022954557013387482,0.00023133710367671614,0.00023624126915819943,0.00022750793141312897,0.00022594105636623377,0.00023301406883333316,0.0002352514507478073,0.00022692032216582448,0.00022745564414295726,0.000234888572147331,0.00023069381673257192,0.0002234790315722219,0.00023144223164958281,0.0002231693692202067,0.00023723935803652486,0.00023230875937649644,0.00023369662812910974,0.00022829819499747828,0.00024192786258936394,0.00022971423750277608,0.00022532166545524408,0.00022496972876404853,0.00023146266924283865,0.00022407372588324442,0.00022331460104396683,0.00023107463588028872,0.0002227671423249624,0.00023649774610441036,0.00023455351886999173,0.00023307641386054455,0.00023321958902596058,0.0002297829356895567,0.00023091264566491273,0.00022692452244315377,0.00023820147362130228,0.00023375967025963796,0.0002315940928663342,0.00023483327628734212,0.00023380813507428293,0.00023346928140165768,0.00022647288042699565,0.00023177799206071845,0.00023252601008076076,0.0002281715236936829,0.00023396532173313562,0.00022136538609629497,0.00023406889889303188,0.00023093815543688833
60,0.00034065246762946953,0.0003450727887900063,0.00034844396577682346,0.0003480692071696887,0.0003494492888928073,0.0003271606900463147,0.00034051138068354056,0.00034314230216813145,0.0003441868801571759,0.00033657962012512144,0.0003435851450589842,0.0003378880917028125,0.0003450558358577616,0.000341530339386681,0.0003438851142110413,0.00034063193258286145,0.00034301745264591385,0.00034897984742316644,0.0003460012740106322,0.0003413180292894443,0.00034391297690140513,0.0003436243376719566,0.00034579335479065774,0.0003406448697205633,0.0003406558331796929,0.00034134944435209035,0.0003426593109672408,0.00034034652101884905,0.00034517733934883246,0.000347371831829209,0.00033978851007608076,0.00034415295522194356,0.0003468405562811173,0.0003417118068048081,0.00033493757493690483,0.0003438515923335217,0.00034096550064676096,0.00034934336541813207,0.0003486815075592014,0.0003521097751217894,0.00034311293634249173,0.0003489509217615705,0.0003317745140520856,0.0003380058991943339,0.0003410155431514508,0.000351437452731521,0.00033824480768791484,0.00033573062682989985,0.00034733310518465164,0.00033529557086612016,0.0003507924201235605,0.0003519352855316053,0.00035347340744920077,0.0003505294978599615,0.0003501042785877683,0.0003386907655195418,0.00034381187288090587,0.00035696672784979455,0.00035132754581152566,0.0003490545177975526,0.00034490467708868285,0.00034727353692775773,0.0003472229862516677,0.00034035130001201823,0.0003406544209509674,0.00034381279777795945,0.00033754878469543267,0.00035020597011504334,0.000330831557221245,0.00034668515954839707,0.000349908706266433
70,0.00038649151109574313,0.0003958329433333819,0.0004047429926382999,0.00041239472383704896,0.00039699496635047226,0.0003909643440108214,0.00039871061556867414,0.0003921472405850449,0.0003976351953600828,0.0003918198108294746,0.0003936241983068118,0.00039718518739243093,0.0003949787783450588,0.0003932476600201688,0.000396182487020269,0.000391607238270808,0.00039779908894117745,0.0003916566316156259,0.0004053033927838052,0.00039420078624971213,0.0003946752220284767,0.0003951558464905247,0.00039144168297449745,0.0003925938217435032,0.0003925674800051465,0.0004044020548462868,0.00039969960738333964,0.0004015340103554384,0.00039328977136927494,0.00040381829087216887,0.0004024944904570778,0.0003962595141134583,0.0004063660016981885,0.00039274726458283707,0.00040152808974703983,0.0004034209263668994,0.0004006603064082906,0.0004027977067215199,0.00040384937577084246,0.0004105224215891212,0.0003951442535679312,0.0004099089637747966,0.0003987920325016603,0.0003812973905281213,0.00038800666470227666,0.0004050400024945182,0.0003999811066151188,0.00038358705842256313,0.00040956808315341137,0.00038467934196391565,0.00040908923502474165,0.00039673550782026723,0.00042309867276344446,0.0004069856944142328,0.0004149771773192132,0.00040112959157506174,0.0004112450456026421,0.00041563858758308925,0.00040482490860287927,0.0004070184453247258,0.00039383886420788866,0.00039510847531229015,0.00039721609910311936,0.00039353140033068356,0.00037023366247821186,0.0003921884617030427,0.0004014311458117196,0.00040515266488411373,0.0003572674686438404,0.00040040320292224777,0.00040738439420238135
80,0.0005297329236684065,0.0005400975717714539,0.0005393795945565216,0.0005518869855082952,0.0005480773371933146,0.0005385944885866982,0.0005438311340948267,0.0005321636255008771,0.0005301433627175379,0.0005357584450393915,0.000530529759010806,0.0005317876544277355,0.0005362261312477516,0.0005359723930296516,0.0005338895542081445,0.0005266304663867535,0.0005372851263105293,0.0005319403219950397,0.0005597856465361214,0.0005365550793552151,0.0005375726345496682,0.0005363859402547989,0.0005367086610446373,0.0005365393483468021,0.0005270222216726295,0.0005111806094646454,0.0005374047947454176,0.0005421746658006062,0.0005321462535956765,0.0005553856406608716,0.000542177363143613,0.0005251468862227809,0.0005482996057253331,0.0005281922031128996,0.000531333028144824,0.0005524642105488706,0.0005391145498020036,0.0005611987885045396,0.000553936681062185,0.000554088932403829,0.0005305883480221072,0.0005742186767747626,0.0005450924159958959,0.0005081343360392278,0.0005350235552453485,0.0005534984179705913,0.0005306604884058368,0.0005261090473140939,0.0005569472712773733,0.0005133413122331893,0.0005545345070109201,0.0005318597904988565,0.0005634258355712518,0.0005442275919913485,0.0005520399848545162,0.000542073949790475,0.0005610375311501044,0.0005487053931574337,0.0005513744674519532,0.0005433287829733812,0.0005339330217490594,0.0005365814875951538,0.0005353552597053176,0.0005415595450694463,0.0004997998120314959,0.0005326549319985819,0.0005362933734431863,0.0005577236358564528,0.0004972169444954488,0.0005421436552208762,0.0005413382576080039
90,0.0005700153202712032,0.0005687643165907098,0.0005786963107918078,0.0005845476232934743,0.0005663143646979964,0.0005502007885037788,0.000571897956580224,0.0005576382402568033,0.0005672235344683964,0.0005688371693395311,0.0005672917705615637,0.0005670481834237521,0.0005668520197187635,0.0005676631664038833,0.0005605291612857185,0.0005711140620405786,0.0005638109567891141,0.0005639072189319738,0.0005731358874722251,0.0005654882884118706,0.0005678568545800562,0.0005684885462479932,0.0005679514542377244,0.0005681762180756777,0.0005585939497760837,0.0005761893931776285,0.0005691708675811007,0.0005784379900433123,0.0005576401990016593,0.0005887504713985348,0.0005666715915625294,0.0005550164966664922,0.0005740240852061945,0.0005661184956362947,0.000565491996692597,0.0005776482550053126,0.0005693808588579199,0.0005824731938032942,0.0005758956322973841,0.0005740650340158027,0.0005649266383075651,0.0005989003329887055,0.0005950219288934022,0.0005547442767573031,0.0005640087735005899,0.0005805573829482975,0.0005603227950734691,0.0005593120231424109,0.0005774609167490091,0.0005609908151778985,0.0005741027029356561,0.0005651418371902158,0.0005669843463692814,0.0005674093857179491,0.0005825609711384209,0.0005404122216119008,0.0005847031071591842,0.000565290614758851,0.0005727509083549699,0.0005704733981894186,0.0005571340870422621,0.0005706192735302192,0.00056888075239301,0.0005641771962358574,0.0005446331083981527,0.0005673016716314891,0.0005732295103371143,0.0005792249965804419,0.0005589418142335489,0.0005757796192666938,0.0005766245012637228
