Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,1.4100650132604641e-05,1.4061912982773114e-05,1.3093207068474536e-05,1.2480127148032457e-05,1.371130144169784e-05,1.606001296750037e-05,1.2361347635012333e-05,1.4051784097845436e-05,1.3416713788006469e-05,1.4693677712784847e-05,1.4340100688620881e-05,1.2427144425526756e-05,1.4352961732749298e-05,1.3812182480636913e-05,1.3557357402425943e-05,1.3291247076570775e-05,1.3662149799962381e-05,1.438090796483853e-05,1.4063077579911415e-05,1.4108834984654094e-05,1.3043337513898642e-05,1.5670858715566283e-05,1.2728775830813295e-05,1.368093347385487e-05,1.3796137950737916e-05,1.7590899733477273e-05,1.2955291433700627e-05,1.4797253034733634e-05,1.4059216691213591e-05,1.3038691679779027e-05,1.3640494131929396e-05,1.3331597948798355e-05,1.410439795808298e-05,1.472635334521772e-05,1.314502128479944e-05,1.3797750755527107e-05,1.4499089741691837e-05,1.408088535919722e-05,1.4175177593971463e-05,1.5098359398280081e-05,1.3518193619737368e-05,1.3088986290622803e-05,1.315117225431095e-05,1.2392685812301352e-05,1.3179389713370351e-05,1.3608794473073335e-05,1.3827428119839169e-05,1.4064993672690706e-05,1.3301731044634835e-05,1.3952269702305534e-05,1.2029293066007085e-05,1.5178957172875842e-05,1.4212144263253252e-05,1.4197628388501471e-05,1.518822709840606e-05,1.427380287595395e-05,1.0437311175337527e-05,1.3923393641468057e-05,1.2481305103309834e-05,2.4305866190843517e-05,1.3762679578400323e-05,1.4856625739412266e-05,1.470739653086639e-05,1.3099403401741125e-05,1.3427852700765976e-05,1.4307733573122488e-05,1.3691692826493333e-05,1.3387098577720369e-05,1.4816801286475243e-05,1.5092846829780305e-05,1.4417590237927572e-05,1.6082496434440447e-05,1.2610038235531343e-05,1.354487623454285e-05,1.3847022273694165e-05,1.4661402320751977e-05,1.4327497280776566e-05,1.4004785923809263e-05,1.540137520805729e-05,1.321630879217747e-05,1.398909253111924e-05
10,1.4100013067945838e-05,1.4061860973150167e-05,1.3092155806286124e-05,1.247952441889748e-05,1.3711105100211874e-05,1.6059377880342902e-05,1.2360261933046727e-05,1.4050572938111528e-05,1.3415316240027579e-05,1.4692489600065528e-05,1.4339054561989744e-05,1.2424887570107654e-05,1.4351814308721453e-05,1.3810700624383047e-05,1.3556089673811049e-05,1.328959372888979e-05,1.3661302150900329e-05,1.4380449953668049e-05,1.4060754129526945e-05,1.4108453166651695e-05,1.3043071941445724e-05,1.5668257203417723e-05,1.2727295343211154e-05,1.3680747057757496e-05,1.3794434698144277e-05,1.7587827460374684e-05,1.2953961062990974e-05,1.4796063680933003e-05,1.4057740522462956e-05,1.3037620023638855e-05,1.3638999359197139e-05,1.3331202056248843e-05,1.4103612023483527e-05,1.4724857936282826e-05,1.3144649301466416e-05,1.3796321549567178e-05,1.4498425122454998e-05,1.4078282881448764e-05,1.4173476137582027e-05,1.509718632064505e-05,1.3515993811909408e-05,1.3087223762456833e-05,1.3151716359516286e-05,1.2390403117024108e-05,1.3178028558812863e-05,1.3607885801703608e-05,1.3826168287778274e-05,1.4063645685861334e-05,1.3300318073561357e-05,1.3950794643027746e-05,1.203016781801125e-05,1.5175923470616743e-05,1.421117969514923e-05,1.4195890950456183e-05,1.5185338907031109e-05,1.427112736527473e-05,1.043910287990002e-05,1.3921764015133798e-05,1.2477815372139132e-05,2.4305158603965538e-05,1.3761516124417226e-05,1.4858119584459928e-05,1.470650371023415e-05,1.3096679465109315e-05,1.3426854126110913e-05,1.430697711839457e-05,1.3689273328054696e-05,1.3385720737254991e-05,1.4816176602565705e-05,1.5091643850970646e-05,1.4414698954270636e-05,1.60829842267655e-05,1.2610535425968314e-05,1.354484750966852e-05,1.3847427648475527e-05,1.4659895854988877e-05,1.432510849294236e-05,1.4003983357079345e-05,1.5401715813823103e-05,1.3215451864740898e-05,1.3988680893817219e-05
20,3.704318587551825e-05,3.689290436644418e-05,3.7158852440673705e-05,3.7179977180830276e-05,3.718295547399446e-05,3.703743017727642e-05,3.699972324783073e-05,3.714493911837436e-05,3.700262510116047e-05,3.7318611930459156e-05,3.706604179625836e-05,3.701542834965132e-05,3.694233060796802e-05,3.701545061961621e-05,3.7138964997960584e-05,3.701364357766579e-05,3.7017192144481845e-05,3.708998959650038e-05,3.6825908734629464e-05,3.707808602484874e-05,3.717166938048859e-05,3.7199732300255815e-05,3.694046841701493e-05,3.688323655903029e-05,3.7030411592226416e-05,3.743046108866111e-05,3.707891418373272e-05,3.7037333261954096e-05,3.704771130715552e-05,3.6995020808160093e-05,3.698255202228514e-05,3.717101236151603e-05,3.707892238498271e-05,3.7274291504972344e-05,3.6945798961419816e-05,3.7251499244510864e-05,3.7146259082395484e-05,3.7252587141913615e-05,3.720646677117974e-05,3.710295754899562e-05,3.6765344702871516e-05,3.6974077413609115e-05,3.7258296742948005e-05,3.699584922287613e-05,3.70157998220652e-05,3.6969258048645174e-05,3.718771871977619e-05,3.7070109931192475e-05,3.697637134791876e-05,3.701831525992522e-05,3.7121553032193336e-05,3.712577910681086e-05,3.7092107595526615e-05,3.7254516428220086e-05,3.6921584978699684e-05,3.7099398617342834e-05,3.715133425430395e-05,3.723235743658232e-05,3.6860401451122016e-05,3.709363954840228e-05,3.700116916837531e-05,3.7166609217820223e-05,3.730295611603651e-05,3.698972484146777e-05,3.720623943890031e-05,3.7194266378019865e-05,3.7158323781720055e-05,3.710281938159218e-05,3.7252473669434915e-05,3.721929808946427e-05,3.7328853068174794e-05,3.747805931197945e-05,3.709160713090872e-05,3.743910262225351e-05,3.716732680913992e-05,3.700672766774312e-05,3.731336697195989e-05,3.71488570841217e-05,3.718852303791209e-05,3.701847554341021e-05,3.711629069584888e-05
30,0.00018721546162851156,0.00018493377461305095,0.00018718146141812517,0.00018578117171553178,0.00018734426279640696,0.00018971268894217377,0.00018746933886676186,0.00018724295334418697,0.00018660659784645644,0.00018929845555248903,0.00018627058163451973,0.00018901572585324473,0.00018431954253394383,0.0001867289168082855,0.00018671409908326014,0.00018666204171798503,0.00018733423591280976,0.0001842892583963591,0.00018595590466117886,0.00018785609436842301,0.00018576496782211156,0.00018680132364222248,0.00018389658245723694,0.000184519473502102,0.00018468965099023154,0.00018953038088511675,0.0001845654793038604,0.00018686047830366684,0.00018484665248679985,0.00018501222732612081,0.00018802911043167114,0.00018814920678358668,0.0001855550200651543,0.00018696713995290692,0.0001858789498025241,0.00018838982448089934,0.00018805034912810172,0.00018834349148991433,0.0001868579672728048,0.00018600947987579275,0.0001887598794253011,0.00018594623992264153,0.00018667088079382665,0.00018602866912260653,0.0001872830409985526,0.00018773192162993118,0.00018798732323505518,0.00018848507425629353,0.00018595981009639218,0.0001866241655079648,0.00018671182624530047,0.0001882987628712065,0.0001860272083341932,0.0001891318182363951,0.00018950402009068056,0.00018774357069597332,0.0001862959106802009,0.0001894949999605787,0.0001865155195859684,0.0001860337688412983,0.00018696045604414276,0.00018366956646787003,0.00018591997892751047,0.00018693369306025228,0.00018651591542746045,0.00018700460182467045,0.00018755694618448614,0.00018666179769957859,0.00018727709364072694,0.0001879956325209859,0.000185286758803866,0.0001891586944111623,0.0001830031251301989,0.00018861105005877712,0.0001886708175464134,0.00018840780226187176,0.00018568488823283196,0.00018566794155518555,0.00018743683358479757,0.00018564929638817092,0.00018614204745972529
40,0.0003372052067425102,0.0003363729629199952,0.0003347741318672585,0.0003319713810924441,0.00033741220507676464,0.00034316898173918683,0.0003443392183286168,0.0003403287157293801,0.0003395777905236081,0.00034342111030127853,0.0003347808012255916,0.00034253853456383306,0.0003304800837103165,0.00033772877500406605,0.0003407843452056541,0.00034300837432965636,0.0003365682967428473,0.0003306805756668077,0.000333662294516606,0.00033965890140583117,0.00033488382827132366,0.00033999917442477975,0.00032570275361649693,0.0003340552560985088,0.0003353185154357186,0.00033963874448090793,0.0003313186832876395,0.00033737329007029376,0.0003332998350207858,0.0003324045077709842,0.00034046181710436943,0.0003403233567951247,0.00033131098629942595,0.00034033472751971426,0.00033907518728584464,0.00033650958565496173,0.00034109155929304267,0.000334341277431866,0.000333247933864975,0.0003316001057100948,0.0003304471694199102,0.00033546823195796066,0.00033314787287963554,0.00033502270525787026,0.00034086143071027964,0.00033855719314152867,0.00033795515649087194,0.00033990411484091166,0.00033498868469905574,0.0003335924098039335,0.0003252119873650372,0.0003376238085117868,0.0003313157682826456,0.0003379388678392085,0.0003308937273686752,0.00033783030337463987,0.00032049322908278555,0.0003426794097196825,0.00033536244617690414,0.000334860771545209,0.0003369344199346679,0.0003281393837823998,0.0003282034837563212,0.0003376847848163119,0.00032629262811193865,0.00033485056886162895,0.0003330804679232339,0.0003320255341203583,0.0003332728994320388,0.0003369180149994455,0.00033660073273090855,0.00033593064290471375,0.0003280240246870865,0.00033505825558677316,0.00034120802800836306,0.0003394597767876437,0.00033491359291864295,0.00033233029887102725,0.000347086363035487,0.0003326404365288297,0.0003345611796248704
50,0.0001657689001876861,0.00017093429967105663,0.00016142099775606766,0.0001557363412128045,0.0001630885812050156,0.0001584473959935297,0.00017083508728612815,0.0001684863795832682,0.0001656189944950239,0.00016367231546610128,0.000163909265671621,0.00016685730031672485,0.00016143664172638884,0.00016361741533425325,0.00016427087573581101,0.00017051851621848377,0.00016346482490397257,0.0001582583404054771,0.00016518403936061077,0.00016456643643323333,0.00016637166957550036,0.00016643627012464485,0.00015505083506771675,0.00016254181949382958,0.00016801281382204108,0.00016429144307039678,0.00015481693328418317,0.00015965888724167598,0.00016565046749105128,0.00016701574631658713,0.00016543931793421506,0.00016939845562984163,0.00015367799152535063,0.00017215161465062965,0.00016638794962394363,0.00016553373292741265,0.00016416153113440438,0.0001591334862909703,0.0001595230839363894,0.00016559595587750664,0.0001605222309340856,0.0001618064991217057,0.00015961648750817403,0.0001598806557012722,0.0001656701267500849,0.000163707551454488,0.0001647414390130767,0.0001643430402046968,0.0001641513858885446,0.00016159838629266294,0.00014241385797504337,0.00016259890716438267,0.00016523127375806397,0.00015670786403158368,0.00015286727284546942,0.00016229767877993422,0.00015799061657162383,0.00016762607265263796,0.0001576542669102888,0.0001698057349130977,0.00017210506156252155,0.00015901185361144599,0.00015073314959105724,0.00016504421780285026,0.000151648091559764,0.00015670296930833362,0.0001665535916496689,0.0001676320208653417,0.00016293345645492622,0.00015987270557046827,0.00015684018661785457,0.00016435004848365983,0.0001596358100262781,0.00015958822283816213,0.0001591957126428107,0.00016871549914040688,0.00015886264736764133,0.00016289031443574782,0.00017808533812058158,0.00016541895945752118,0.000169480184558779
60,0.00032265834452118727,0.00030036015097586506,0.0003603250491626871,0.00035031067494016425,0.0003455511266306703,0.00032045567058958113,0.00030019193546914106,0.0003319004767706103,0.00033848950436008693,0.00034608020359883085,0.00035513494394426407,0.00033069382586792034,0.0003253549970615881,0.00033766756545942786,0.00032755507871864693,0.00031280376363914303,0.0003360751110275963,0.000343505640719027,0.00031984963009433286,0.0003420419517594079,0.00034958566180788553,0.00033954621072293127,0.0003553273457024867,0.00033077281259465965,0.0003488125207479156,0.00037404507165774705,0.0003454354183275193,0.0003486477092640901,0.0003520535818739411,0.0003637744493091539,0.0003359255980467424,0.0003575945789075027,0.0003590488228767824,0.0003428787577587816,0.0003217490658345115,0.0003516261606689243,0.0003133299854342017,0.0003544410944662311,0.0003520759804025629,0.0003467702135822037,0.00034386577317491174,0.0003328048622550225,0.00038303796463878825,0.0003531412250595167,0.0003168528446143395,0.0003187346558613507,0.0003390037884985629,0.0003259632563608568,0.0003064526813432167,0.000340846836354166,0.0003599952033255249,0.00033511831927832895,0.00036947523935500963,0.0003321376182915022,0.00035773540439549835,0.0003290941008623233,0.00038917153142392635,0.000332302867499148,0.00033239962861195886,0.000363855593604967,0.0003232426400939804,0.00033076728868763894,0.0003576110563396166,0.0003153552450904889,0.00037182997362429485,0.0003566402570308688,0.0003532514674589038,0.00037032207855904693,0.00034694094601608985,0.0003241100737894256,0.00033958678250201046,0.00036753234356486547,0.0003748052307249357,0.0003485410464539503,0.00034676237347801883,0.00034426573180901975,0.000365489226948869,0.00035025115345976496,0.000302323456708109,0.00036262088108459533,0.0003550569148501381
70,0.0003231202797420944,0.00030269676116640094,0.0003877192793879658,0.00036782740969031763,0.00036048370430428724,0.00030794337674576255,0.00030602129540526336,0.0003395533609651274,0.00034901493632741553,0.0003474636005194043,0.0003693124543829465,0.0003388022421265249,0.00032501432922965085,0.00034520934048376864,0.0003300493771402056,0.00030647336340431747,0.0003584015645347314,0.0003616658923189639,0.00032773158506773015,0.00034527185392410804,0.00034764405751887425,0.0003506911307340488,0.00037158014815455925,0.000324612629871505,0.00036662764060089276,0.00044027750845998526,0.00035698354575640313,0.00036027319189694634,0.0003639682632638142,0.0003897429609599884,0.00033514381813195843,0.00037885485037874716,0.0003698220825754106,0.00036235478590952415,0.0003339544022714512,0.0003691717130485423,0.0003085666359861773,0.000374787039948966,0.000370732406385703,0.00037472145959327463,0.0003458900152639087,0.00034345620596023434,0.0003929978411179036,0.0003372058912646025,0.000323683257815183,0.0003301410964922979,0.0003534489340381697,0.00033293378791106017,0.0003000217739099753,0.0003479669962714603,0.0003417247149627656,0.0003326035591519692,0.0003932321458705701,0.00033182063392208266,0.00037059792375657705,0.0003324060671729967,0.00041760232124943286,0.00035495408670173893,0.00030761389643885195,0.0003969030804000795,0.00033535921532455433,0.000343650666764006,0.0003638260144119461,0.00031683118348675113,0.0004048488727777213,0.0003702362806786998,0.00035436196291508776,0.00040287850080408474,0.00037360115190191817,0.00034312071668839936,0.0003262936532135225,0.0003601003021079426,0.0004204127665919562,0.00034683825166818377,0.00037291599437594414,0.00034857015204827553,0.0003565909220404657,0.0003695289864657342,0.00031356483486888465,0.0003807253391137581,0.0003489699127385393
80,0.000505609578685835,0.0005138747144007573,0.0005387862620409578,0.0005489362206739875,0.000535705143768529,0.0005008992489560374,0.0004945438174012627,0.0005235044575927436,0.00052418672741992,0.0005295112096064258,0.0005337614853532962,0.0005174348230606743,0.0005231319395754712,0.0005206853878035238,0.0005218171144780867,0.0005053595086792484,0.0005317592481982761,0.0005421726887049508,0.0005396990953678531,0.0005156618496403098,0.0005266257109514509,0.0005223298934911977,0.0005498654298329106,0.0005328006537941595,0.0005152661206444637,0.0005740212975069881,0.0005448503723000026,0.0005347695975312187,0.000539153117878253,0.0005360189238525627,0.0005254171194974334,0.0005203732009529351,0.0005273292072860596,0.0005347359674931617,0.0005351765899427442,0.0005352122311056259,0.0005091994313069767,0.0005528953519057144,0.0005440014920825789,0.0005394498566602124,0.0005212058853690646,0.0005288272018623638,0.0005241744111117441,0.0005091172934044152,0.0005280084503618511,0.0005258374593196143,0.00053756715081233,0.0005240218666394389,0.0005092575092930929,0.0005229941314861082,0.0005505215493030846,0.0005198587869844315,0.0005323474371555047,0.0005212721443967894,0.0005451623670523986,0.0005331693837248093,0.0005461703985929489,0.0005176839697704619,0.0005083999792325565,0.0005619955627480522,0.0005249610988758705,0.0005262291488179471,0.0005806875560665503,0.0005033248370247227,0.000554817077904267,0.0005425105028105183,0.0005136703470877062,0.0005366178414088383,0.0005464927477684493,0.0005286885199959281,0.0005371515419230693,0.0005186223958541328,0.0005509015754796565,0.0005486170751585936,0.000533113838173449,0.0005235415429796105,0.0005214154391848881,0.000544845582138101,0.0005090359663881827,0.000539036757975989,0.0005337710492312909
90,0.0004116193919132153,0.00041904377199157523,0.00044208958570379764,0.0004432327109568108,0.00043632544921946864,0.00038829909421370497,0.0003932486325802822,0.0004200889862228283,0.0004317134127309664,0.0004198076276225038,0.000436068332846058,0.0004147469981963157,0.000431010004831478,0.0004158940190047195,0.00042457567555282045,0.00040993336248599616,0.00043319381109627316,0.0004492702848230831,0.0004416087717150471,0.00042091882787644865,0.0004292861921175455,0.0004239460842135096,0.0004426912571458767,0.00043303192360326647,0.0004104669071874389,0.00045573505340144036,0.0004395306957209663,0.00043777633618447,0.000437275182305123,0.00043527961890738937,0.00043232958259371417,0.0004221813589818059,0.0004267720679098812,0.0004418670276475207,0.00043192366623164463,0.0004228749380022886,0.00040131425530968333,0.0004657988743433221,0.0004539347403817417,0.0004466890313779004,0.00043332175950386694,0.00042885034363667303,0.00044266480472288094,0.00041893394954968245,0.0004258706942078118,0.0004237312645847468,0.0004414732888108119,0.0004111970851418415,0.0004059975744894473,0.00042898538532458116,0.0004235312808305025,0.0004065148744054816,0.0004277344369956364,0.0004092338785994798,0.00043551210837904363,0.00041863973589842114,0.0004278396663721651,0.0004139905183270959,0.00039879229999232024,0.0004495621979003772,0.00043131301576341754,0.00042432336704223417,0.00046798408826968324,0.00040825054747983813,0.00043032691852810484,0.00044389849465985135,0.00041459874676850935,0.0004294688258850847,0.00044519026576179184,0.0004264438186084164,0.0004257305861554212,0.0004144467190296079,0.000450654838156576,0.0004496473993640393,0.0004082077482183065,0.0004229936366991515,0.0004254408912467105,0.0004502433462954697,0.00042896140803350136,0.0004410043296682014,0.000448617190704681
