Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,cross,cycle,dash,depart,descend,drift,flee,float,fly,glide,go,hasten,hike,hurry,journey,limp,march,meander,race,ride,row,run,rush,sail,scramble,swim,taxi,travel,tumble,walk,wander
0,2.6906912980111145e-05,2.5192821710704635e-05,2.0303746623540064e-05,2.6371488694656782e-05,2.6732994585841027e-05,2.1996095841002117e-05,2.823765683593416e-05,2.8573016785302053e-05,2.8171195688490208e-05,2.882199873965874e-05,2.657491974933231e-05,2.6543578314885963e-05,2.7520584064239468e-05,2.6771284272840465e-05,2.7994227692782743e-05,2.852011501393766e-05,2.7443810397796498e-05,2.328639030692321e-05,2.4769826690576986e-05,2.8569575248790595e-05,2.4024586589523376e-05,2.5732317031465106e-05,2.6914595922183555e-05,2.681163011099367e-05,2.6121959828222835e-05,2.426539358566515e-05,2.80915434168785e-05,2.5209844579876517e-05,2.5068209876789136e-05,2.806606613786801e-05,2.7910739481740167e-05,2.799331787173287e-05,2.7313629323963632e-05,2.5896876819430427e-05,2.4288312033604598e-05,3.120991664218309e-05,2.6113806215059748e-05,3.25545183427907e-05,3.019222489215226e-05,2.9105274279572768e-05,2.725992600701036e-05,2.845993822120363e-05,3.1955593840393703e-05,2.7276269879382054e-05,2.628461841499972e-05,2.862278565122064e-05,2.9302822695810167e-05,2.7892784089544875e-05,2.6974723188435873e-05,2.862770468875004e-05,2.894815086340084e-05,3.0145351350559697e-05,2.3210576000565197e-05,3.0782037876113986e-05,2.6266151194406498e-05,3.2804654355541885e-05,2.6025731629840352e-05,2.17150721937287e-05,3.180205915972086e-05,2.781864674873829e-05,2.6429276901277868e-05,2.747202980053869e-05,3.1993096685996364e-05,2.759309691182434e-05,2.499424246909459e-05,3.0515266650121253e-05,2.6896264119256686e-05,2.77691914591067e-05,3.201615322723228e-05,3.113744511027398e-05,3.248617358622141e-05
10,2.6897891382612068e-05,2.5184982439020166e-05,2.0295788620690775e-05,2.6364303588567195e-05,2.6724025448419512e-05,2.1990152163198218e-05,2.8228347424198048e-05,2.8562836365274372e-05,2.8160745985794938e-05,2.8813376957259607e-05,2.656614059908603e-05,2.6535316335087244e-05,2.7512369397851273e-05,2.6761010165941887e-05,2.7986118488222607e-05,2.8510506429787103e-05,2.7436913385480737e-05,2.3280851242424995e-05,2.476093579519199e-05,2.856059870585644e-05,2.4016256723441003e-05,2.5722735829601462e-05,2.6904720580205322e-05,2.680291412010168e-05,2.611435674124449e-05,2.4253268202301113e-05,2.8084153552387555e-05,2.520228144931025e-05,2.5060658395780004e-05,2.8057221360570345e-05,2.7902454130526168e-05,2.7984548208993285e-05,2.730503968870415e-05,2.5889773475450225e-05,2.4280741298652072e-05,3.1203675575852685e-05,2.610648086948985e-05,3.254688420962669e-05,3.018525715462207e-05,2.9097713763803768e-05,2.7252070033663333e-05,2.8448218245102908e-05,3.194507080479525e-05,2.7268318693754018e-05,2.627711805153491e-05,2.8614975092620754e-05,2.9292491649756446e-05,2.788503411466081e-05,2.6966386681594705e-05,2.861820121324854e-05,2.8940899392182472e-05,3.0141770366753917e-05,2.3207384856505087e-05,3.077494097758935e-05,2.6259158748244175e-05,3.279787266695745e-05,2.6018423194463756e-05,2.1709440943595837e-05,3.179587808214516e-05,2.7814167935083298e-05,2.642368023468104e-05,2.746545213926521e-05,3.1984973121426367e-05,2.758470886341833e-05,2.498128297803406e-05,3.0504655480942712e-05,2.6889702894550283e-05,2.77625476956605e-05,3.201121535312268e-05,3.112873541451198e-05,3.247489785280777e-05
20,7.095922019534801e-06,7.126801510484829e-06,7.10574211855904e-06,7.146606297353103e-06,7.078827567528595e-06,7.073085336222513e-06,7.1058143329273364e-06,7.102509047684839e-06,7.0897969543452e-06,7.11843586032046e-06,7.090109215543051e-06,7.086443122029684e-06,7.13043832409753e-06,7.0977624807600286e-06,7.089651957999997e-06,7.106303523111516e-06,7.139741120183663e-06,7.075005151254797e-06,7.024874029022092e-06,7.053818086812195e-06,7.061062940640393e-06,7.0847998391140465e-06,7.055427649902413e-06,7.091274013267442e-06,7.084743701275401e-06,6.9868376158410685e-06,7.1002742633056425e-06,7.086770438036183e-06,7.070641897692386e-06,7.1399996129677615e-06,7.086341587031105e-06,7.046864434064796e-06,7.078479073313177e-06,7.063654107315774e-06,7.035723658393383e-06,7.145028640869506e-06,7.089274001708346e-06,7.16323790005514e-06,7.1474452348214194e-06,7.094202175039754e-06,7.08773002751262e-06,7.130333699478797e-06,7.1547640345670516e-06,7.09639700864117e-06,7.086618729533113e-06,7.090778802064181e-06,7.106263442517702e-06,7.08301624285923e-06,7.1010749550247244e-06,7.086004230090608e-06,7.132699154401332e-06,7.162679594330257e-06,7.069772709655808e-06,7.07981127227552e-06,7.1086439737851396e-06,7.015965490030464e-06,7.078066143441648e-06,7.095221519648476e-06,7.172622291465005e-06,7.145499393328254e-06,7.052151189175978e-06,7.116873910744807e-06,7.148438852608605e-06,7.119746081665292e-06,7.080022846316246e-06,7.091164289621784e-06,7.1150215197641435e-06,7.108378601896543e-06,7.147929125039809e-06,7.1326567959055074e-06,7.135840814953554e-06
30,2.3028024278991744e-05,2.313448924353536e-05,2.307444083271548e-05,2.3018049614620394e-05,2.302083217566892e-05,2.3141597921494395e-05,2.3128558202569687e-05,2.3069449347459858e-05,2.3138692028359274e-05,2.301193069342844e-05,2.3068271696468367e-05,2.2948537550792952e-05,2.306979254309695e-05,2.3115797100190044e-05,2.3044357230366373e-05,2.3244061594596133e-05,2.3010000534538578e-05,2.3096024822826863e-05,2.2948234930351775e-05,2.2986466210568323e-05,2.310384339720118e-05,2.3142850198252874e-05,2.2994323565702264e-05,2.3038528282389356e-05,2.3040240540424184e-05,2.2962785806157626e-05,2.3091919032477534e-05,2.296759710892123e-05,2.3044159688117145e-05,2.3122856110867653e-05,2.3028532159514724e-05,2.302722588445669e-05,2.2939777898920092e-05,2.301987453477544e-05,2.300142882126642e-05,2.2970334872037972e-05,2.300155026540252e-05,2.3104833169120617e-05,2.306344782504399e-05,2.2974099692874006e-05,2.3083698327722463e-05,2.3042587827148964e-05,2.306560072611319e-05,2.309365204143289e-05,2.2993722890724282e-05,2.2956883393427624e-05,2.3008464874389272e-05,2.3017838373107224e-05,2.3007256521819288e-05,2.3092009128462948e-05,2.3000619848272228e-05,2.301518998137908e-05,2.2839205666969064e-05,2.2989546852507057e-05,2.2994431329325068e-05,2.300359830604231e-05,2.2987050381557947e-05,2.2958261524763657e-05,2.3000382397084548e-05,2.3054655601019758e-05,2.305796685201737e-05,2.3012151027077016e-05,2.2984229518543645e-05,2.3010413356173598e-05,2.31682758264166e-05,2.3055978255632166e-05,2.313413122984847e-05,2.3026959532275683e-05,2.3065673985911417e-05,2.3099759988219695e-05,2.29198867600644e-05
40,0.00016153773479320966,0.00016240232583152614,0.00016290548349691866,0.0001630424752455348,0.00016205516791920166,0.0001647545785609899,0.00016245809163064546,0.0001623186941359046,0.0001617678838245618,0.0001636030738154659,0.00016247813268650875,0.00016261095374737086,0.00016326201942071995,0.0001624102347484564,0.00016178018071086092,0.0001615463976728885,0.00016286267020318302,0.00016205326014469507,0.00016165421090720753,0.000161959776111568,0.0001619665059619225,0.0001623672815185273,0.00016301925876177848,0.00016226393830341598,0.00016270998688895137,0.0001598468632437289,0.00016247140475541294,0.0001624666901989258,0.00016188963251325357,0.0001620638476226539,0.00016222883733765531,0.00016248091000866576,0.00016200830102137005,0.0001625561542527447,0.00016143106444764676,0.0001628649037489335,0.0001629107699907189,0.0001619813132988797,0.00016247877884089542,0.00016359621895389864,0.000162163451487357,0.0001606575897312723,0.00016330280050169677,0.00016289797158127554,0.00016252228968752255,0.00016279892796384438,0.00016297705256045192,0.00016353730870832806,0.00016216254478986856,0.0001631743401627649,0.00016309882250005524,0.00016274157314910553,0.00016369517252314835,0.00016225384054135302,0.00016296384023133152,0.00016083705254872754,0.00016333289933891627,0.00016229857828875538,0.0001633465710458242,0.000162562687182799,0.000162652939131173,0.00016260790930915705,0.0001629589108536796,0.00016277238502699948,0.0001623976891601665,0.0001618598762433976,0.000162646323068267,0.00016208529597215896,0.0001644586373004131,0.00016243786021808804,0.0001626005323487334
50,0.0005384219682152459,0.0005387741710162825,0.0005427037734383097,0.0005353232997899445,0.0005370562319950307,0.0005310957993580294,0.0005427428066820628,0.0005418375652630394,0.0005394110089179742,0.0005376108638301957,0.0005398647360975084,0.00054278767047621,0.0005394025197760625,0.000542551402538789,0.0005429620279327912,0.0005425247848810008,0.0005429197876115463,0.0005338121057470341,0.0005382094199636153,0.0005429893095667164,0.0005390293072335996,0.0005348535045673738,0.0005370544797430436,0.0005419905898937335,0.0005401372581550349,0.0005461305030621588,0.000535732597082613,0.0005375105696051227,0.0005348242374191828,0.0005365187244024128,0.0005446728827276577,0.0005320124999763301,0.0005383311531309468,0.0005405469307524347,0.0005361166469002557,0.0005371715929608659,0.0005394750053375518,0.0005363223502751101,0.000538534619102075,0.0005374618340283632,0.0005390425800950207,0.0005264461360638961,0.0005450450000353158,0.0005450457990120508,0.000538477938205592,0.0005383255538098248,0.0005405336966137647,0.0005400550617196131,0.0005363431603121892,0.0005321474454831332,0.0005344878423224705,0.0005417671006095285,0.0005417775391833857,0.0005425745639142257,0.0005358046779794426,0.0005441571490585127,0.0005438943266473029,0.0005383192910812795,0.0005340049392543733,0.0005359987047715829,0.0005387471911186974,0.0005322322421531964,0.0005337251231712462,0.000538083279992009,0.0005417490675528017,0.0005406970120422155,0.0005406603533109384,0.0005316747823775175,0.0005426330244517885,0.0005339187828671312,0.0005379552429076284
60,0.00062641706648031,0.0006197243001898405,0.0006117815598069379,0.0006058671126643626,0.0006059767734377256,0.0006496774731203914,0.0006262080879100869,0.0006246767725850292,0.000620569651386453,0.0006329757088678889,0.0006201879224124835,0.0006287938081279245,0.000613034178968519,0.0006257233529168209,0.0006206862847594654,0.0006308225905134653,0.0006187072542074713,0.0006086371575269989,0.0006094209903884413,0.0006257973207781713,0.0006197728306198349,0.0006196876877636116,0.0006070322318313023,0.0006280609309518089,0.0006213414848649076,0.000637574284337461,0.0006161213302308874,0.0006243974651927905,0.0006167014958063031,0.000610097381849623,0.0006285764106238881,0.0006176351878541306,0.0006106021800615753,0.0006176171022965464,0.000632447358738217,0.0006130575025703625,0.0006212657394108215,0.0006007487642240118,0.0006073493915834431,0.0005989311284793075,0.0006182892217072956,0.0005978491171845235,0.0006379214522894472,0.0006375194704895349,0.0006247597856839236,0.000603178991670055,0.0006244787931025616,0.0006328407325781882,0.0006053217745422193,0.0006366707278754224,0.0006005000412607422,0.0005976674243963013,0.0005987281154375523,0.0006053870928720857,0.0006013506569835389,0.0006359941378997809,0.000620417753159399,0.0005924889555899426,0.0005976870007644822,0.0006062109918835071,0.0006191688046480218,0.0006030648139365498,0.0006060588434424803,0.0006195416281771686,0.0006352104181941184,0.000620353593515208,0.0006268202518445573,0.0005979930872619602,0.0006424439925467595,0.0006094136277307608,0.000610831833910197
70,0.0011383916056287046,0.0011409104810337777,0.0011481600328503798,0.0011436907914825357,0.0011348854337783554,0.0011189992905461363,0.001127544486324393,0.0011381277809942177,0.0011286151601308133,0.0011376155161997303,0.0011436407896977517,0.001143035371977912,0.0011324586247968855,0.0011354060649561386,0.001140073871733073,0.001134444721780407,0.0011550562908052512,0.0011417594918085238,0.001127872200283621,0.0011304727646832666,0.0011398780589493421,0.0011307399524542103,0.0011485993831108015,0.0011448990864058337,0.0011573102720643556,0.0011775338090956212,0.0011373289537826372,0.001129298044058184,0.001155261105090818,0.0011425857045387307,0.0011419795919209719,0.0011557009689008386,0.0011391221532204116,0.0011209251743546406,0.0011341605697655016,0.001154648239857384,0.0011339371634867827,0.0011217643252827904,0.001134813434994185,0.0011504201756906696,0.0011347240676726907,0.0011378516646800563,0.0011443127761594952,0.0011252369364037325,0.0011363094243662137,0.0011363746881085848,0.0011344133026636484,0.0011301489648758434,0.001130897009841584,0.0011521987934512172,0.00115208278517597,0.0011083839732843141,0.0011353720794431866,0.001132554272474835,0.0011285405549830917,0.0011344147549772804,0.0011333495889219545,0.0011380989890312776,0.0011550368023260187,0.0011287262555784905,0.0011565408824632565,0.0011574001256777074,0.0011402177667521217,0.001138439216348972,0.0011458636985884772,0.0011361111076427744,0.0011409899286393607,0.0011385113522861033,0.0011751272686524317,0.0011492910513169125,0.0011521620559506117
80,0.002068315204736349,0.002078554196352208,0.002087729430058971,0.0020535932943368186,0.002050142517148317,0.001991254560250257,0.0020139576649413475,0.0020773286575122792,0.0020687853109940322,0.0020393310842337087,0.0021165383715228536,0.0020694718244770654,0.0020284353945912285,0.0020588229050521145,0.0020607906092396555,0.0020806955775090805,0.002086294896712172,0.00208021814587137,0.0020054526103194803,0.0020494738717873892,0.002101327353515304,0.0020611549532207262,0.002076301060927411,0.002061052938612799,0.0021081661772249,0.0022359782829880714,0.0020507875315454458,0.0020291796875729537,0.0021179121740929345,0.002049153819004254,0.0020550108856211106,0.00214156379045632,0.002063365471817983,0.0020478183571465834,0.0020554365150423515,0.0020183177693979815,0.002019845891290491,0.0019887958928434687,0.00203872743449791,0.002108411630615592,0.002078862167260748,0.002071749637252651,0.0020209196372888982,0.0020808919492226684,0.0020378962281699243,0.0019944764257940864,0.0020426222084400556,0.0020480670646065846,0.0020133236740266197,0.0021025718782435765,0.0020768332904061446,0.0019651202795406184,0.001955082663334906,0.002029657561084902,0.0020280769937832295,0.002069219671697779,0.00205194468670074,0.002030290779657662,0.002053281715941719,0.0020525309096018855,0.0021173616172745825,0.0020765386163807843,0.0020406195965026403,0.002028272845908194,0.0021486092591658235,0.002070525110783902,0.0021150079472655697,0.00200722782192902,0.0021800170361530036,0.002075190085549878,0.0020651041995733976
90,0.002692235419778405,0.002680300941897763,0.002672426732412229,0.0026103818932404887,0.0027407658716687294,0.0026446894542979343,0.0025832712943215045,0.0027531558218612975,0.0027242259806187093,0.0026857860066229478,0.0027764585116349253,0.0027045055663175123,0.0027160622235952,0.0026922113276227856,0.002682422479505048,0.0026652294230492166,0.0027317161716165998,0.002726232388375115,0.002614272608687835,0.0027323320290694635,0.00275927224697975,0.002726728450008003,0.002723910268396139,0.0026922502322122453,0.0027233831037486358,0.002797338692471385,0.0026497541506203914,0.0026405349829777456,0.002801889164701981,0.002639503650096876,0.0027095829260845978,0.0028039834444196178,0.0026846153733248892,0.0026709854570325722,0.0026377997904395065,0.002593347237312368,0.002606113380017249,0.002697164870121262,0.0027014363153153157,0.0027913270314456895,0.002692648695108104,0.0026749501703307033,0.002546643908135593,0.002729961734363123,0.002676185651829368,0.0026117453185309255,0.002641990233474133,0.002705336308281403,0.0026165801943440377,0.0027054207907481627,0.0027208293376203914,0.002551151468651369,0.002578108967281878,0.002644840395078063,0.002588941290139638,0.0027820484035394407,0.0026461310917511582,0.002605014917207882,0.0026690197022010884,0.0026716242902554,0.002790910292727252,0.0027013304192693003,0.0027007161978097566,0.002634396474506404,0.0028165867552161217,0.0026886004065586762,0.0027243755258885877,0.0026333819729306043,0.002775856090011075,0.002704067275068965,0.002637726650573313
