Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,3.1351766034883135e-05,2.668804100486105e-05,2.228234855768581e-05,2.984368882327824e-05,2.9628601059582102e-05,3.6195100879662535e-05,2.767986266448016e-05,2.932912748053097e-05,2.8901040031651293e-05,2.7654462542159308e-05,2.870763540911103e-05,3.0198523819883714e-05,2.6744395489169452e-05,2.8061149778020052e-05,2.8533712911131956e-05,2.8880388830051135e-05,3.050932411410724e-05,2.919518627532864e-05,3.094997318190248e-05,2.985851664561778e-05,3.269735419822749e-05,3.091423960605815e-05,2.9545845973188988e-05,2.9151552947344802e-05,2.876953041979707e-05,3.077736691921018e-05,2.7039716446926186e-05,3.0513854426317266e-05,2.867922061448232e-05,2.5914437804702528e-05,2.9792846313891155e-05,2.813071628574667e-05,2.7539793896161987e-05,2.7439672388626185e-05,3.1164678249398195e-05,2.336209552465464e-05,2.952414223201279e-05,3.1098044432424516e-05,2.7033566065179604e-05,2.708031286147161e-05,2.7229503757553175e-05,2.8406795429854103e-05,3.0112603553789086e-05,2.8831893359893e-05,2.5402106937115987e-05,2.9821841465156083e-05,2.712560455100694e-05,2.7552681522616983e-05,3.150041590060937e-05,2.851031232584601e-05,3.7208757930784486e-05,2.816600334137382e-05,2.807583275800705e-05,3.267601611393426e-05,3.734273868758464e-05,2.6133475738769985e-05,1.8889253169618314e-05,3.1636777121407095e-05,2.5382217328032393e-05,3.4483656236261595e-05,3.058722889177897e-05,2.675989139788726e-05,2.772458810795797e-05,3.4562250740626564e-05,2.8186874007790015e-05,2.8126184546496145e-05,3.146473603313401e-05,2.809053736415589e-05,2.7698364487218054e-05,2.8958638132600163e-05,2.592402678500447e-05,2.8506116602026548e-05,2.4101626574217033e-05,2.2020323437269933e-05,2.6460075657398973e-05,3.088434445467632e-05,3.065448527195258e-05,2.7478100975948167e-05,2.6458958245711983e-05,2.7358596327314996e-05,2.629555146995699e-05
10,3.135316788151007e-05,2.6690046609103404e-05,2.228317111985234e-05,2.9843949540428675e-05,2.9631199670146527e-05,3.6190936693206564e-05,2.7681959577861443e-05,2.933045221939928e-05,2.8902294535685e-05,2.7652963922264462e-05,2.8708593466338545e-05,3.019959980779926e-05,2.6744119085461453e-05,2.8062465816853518e-05,2.8533506455834653e-05,2.8879371711809654e-05,3.0510908497187e-05,2.9196568995090112e-05,3.095334886893397e-05,2.9860432393131e-05,3.269910484959837e-05,3.0913691164512e-05,2.9549437495006715e-05,2.9153247396607185e-05,2.8771581850060825e-05,3.0778938344155905e-05,2.7039628754033813e-05,3.0516340681667014e-05,2.8682006867551108e-05,2.5914201673473263e-05,2.9795198170177173e-05,2.8130509375702015e-05,2.7541431546314227e-05,2.7441242908513765e-05,3.1163923368795724e-05,2.3363218880539144e-05,2.9523631526803672e-05,3.1099834814085625e-05,2.7035961104420165e-05,2.7083382292403257e-05,2.723701930205737e-05,2.84092033751299e-05,3.0112519880276523e-05,2.883391007344471e-05,2.5404463102811286e-05,2.9821426869602875e-05,2.7124631248755446e-05,2.7553620879061463e-05,3.150373009930263e-05,2.851061354108267e-05,3.7217743010842244e-05,2.816823970616414e-05,2.8078976454428183e-05,3.2680772619642084e-05,3.73404863239557e-05,2.6136374057090026e-05,1.888715814857278e-05,3.163710331638616e-05,2.5386078215722758e-05,3.449562700552633e-05,3.058867761904376e-05,2.6764783115140744e-05,2.7723758194042603e-05,3.455433995571054e-05,2.81890345882453e-05,2.812802519586582e-05,3.146324094511025e-05,2.8091278201377807e-05,2.7700460468285774e-05,2.89586852378708e-05,2.5924169272507748e-05,2.850366096633176e-05,2.4108747917731915e-05,2.2022036925288074e-05,2.646411173502981e-05,3.088602175189231e-05,3.065595696430786e-05,2.7478976848684516e-05,2.6459887294549844e-05,2.7360609321874083e-05,2.629580776556395e-05
20,5.154733046462449e-05,5.1082222381848155e-05,5.112120500901559e-05,5.136853617911514e-05,5.1525605365757745e-05,5.1408678180970515e-05,5.111466851949151e-05,5.139053011685304e-05,5.1267472072946545e-05,5.1369071115914267e-05,5.1474072492572216e-05,5.1248448898502606e-05,5.1107751598024287e-05,5.138485126239671e-05,5.149109839454896e-05,5.1508807094554264e-05,5.164709727978334e-05,5.1320764271887256e-05,5.122057388819355e-05,5.133377761618855e-05,5.1545402283619084e-05,5.130925793699654e-05,5.1324661277855436e-05,5.1252484020854656e-05,5.130694418247523e-05,5.1400640950305386e-05,5.1296477331855e-05,5.1443989150357083e-05,5.1412262880202275e-05,5.1283243127756815e-05,5.141608805085222e-05,5.135755208567179e-05,5.14971354557649e-05,5.136722322232544e-05,5.129272297684414e-05,5.133773317668654e-05,5.1500588501527856e-05,5.173158371524716e-05,5.149856706448629e-05,5.131842203809356e-05,5.13114220146755e-05,5.1358310264867155e-05,5.16274312758469e-05,5.133079357619863e-05,5.127814400015938e-05,5.1393155866351565e-05,5.139835806663281e-05,5.132445409815358e-05,5.122918946653954e-05,5.1320740379290736e-05,5.1901328697567804e-05,5.132869972095994e-05,5.1348364650039e-05,5.152848461875692e-05,5.132855658303015e-05,5.133810198606866e-05,5.1794118917314336e-05,5.14921863715903e-05,5.1602958344367586e-05,5.1785443247354124e-05,5.1414872418277925e-05,5.11611492584052e-05,5.1449009333737195e-05,5.1388181288660106e-05,5.1429378901149095e-05,5.132183040796707e-05,5.146276065109608e-05,5.14186756708534e-05,5.145405022496426e-05,5.155929210485664e-05,5.120491227393763e-05,5.188883430188677e-05,5.107417382532731e-05,5.1607041920457654e-05,5.132205894499618e-05,5.162640114907514e-05,5.140857787669769e-05,5.1419002932473834e-05,5.141325300428434e-05,5.1417826230250334e-05,5.119302186358254e-05
30,0.00020425288646947593,0.0002018071363973259,0.0002037757427994317,0.0002027073221352811,0.00020418401816388286,0.00020641048364008645,0.00020393539354347835,0.00020395892294656828,0.00020339001722403954,0.0002052880881819874,0.00020356508339094113,0.00020556430491542785,0.0002015375097416285,0.0002036852886455811,0.00020339810631840545,0.00020297097034926992,0.00020466738230121942,0.00020138371169944354,0.00020328082454008318,0.00020436379825696348,0.0002026379343498355,0.00020328487880760804,0.0002015503899504741,0.00020159405539743602,0.00020173843719050407,0.0002056436409475282,0.00020185018600445362,0.00020365848619500562,0.00020208517346284626,0.00020204888114089807,0.00020501398908284802,0.00020430431434830936,0.0002029983339665565,0.00020329669673739727,0.000202803524896606,0.00020493324544596753,0.00020494955127727926,0.00020519649842754006,0.00020391398361261306,0.00020325473269622307,0.00020679489950582917,0.0002032325515137153,0.00020376997053972445,0.0002035485813394189,0.0002037524077183518,0.00020474450797528814,0.00020463100476523062,0.00020506640149713413,0.0002028939920819539,0.00020368470309065366,0.00020458159560803323,0.0002050295363667167,0.00020333694701548665,0.00020589388441294432,0.00020669948280556129,0.0002042614273983529,0.0002048015157924965,0.00020546787458568299,0.00020458356911231849,0.00020435092665138654,0.0002041960465884517,0.00020035085253766738,0.00020303850518151498,0.00020365943990847363,0.0002038499175493295,0.00020371378363611607,0.00020414478009721885,0.00020375522291688348,0.00020429434274168065,0.00020498071476263372,0.00020167460186510452,0.00020627983030863106,0.0002003131618645663,0.00020484652001565942,0.00020485728081049665,0.00020569420454406796,0.00020236672883454178,0.00020274644808640943,0.000204103285796009,0.00020282035568795566,0.00020314206631155685
40,0.0003620871187498172,0.00036143966200244095,0.00035878744286795455,0.0003589329618709878,0.00036381399244235095,0.0003686055715661496,0.0003652122836830395,0.0003627785029637284,0.0003633006911318089,0.000362170720109134,0.0003614707186639907,0.00036636003404760695,0.00035803997007226854,0.00036224765988828784,0.00036052857587278326,0.0003613749261906681,0.00036207192239262875,0.0003566687707081909,0.00036635372608933333,0.00036011058138683437,0.0003575631560614476,0.0003556424271664582,0.000359940822624291,0.0003589825772602732,0.0003553636599376443,0.00035801888443529604,0.0003612049843087011,0.00036176730767086457,0.00035666218609549106,0.00035302465145040546,0.00036509838653728363,0.0003562427468400878,0.00036037613104921405,0.00036228653263561885,0.0003598548565706652,0.00036166171048535034,0.0003686521461196734,0.00036178857871246606,0.00036175439978601884,0.00035814444709103554,0.00037898145715839097,0.0003638981511454752,0.0003553221540641971,0.00035924404801335186,0.0003678506197358825,0.0003706265749458812,0.0003657477762317285,0.000366679663880189,0.00036658273438661126,0.0003624048296277861,0.00036050985800102354,0.0003651087225245481,0.0003557344347847482,0.0003669602228910662,0.0003694732557050884,0.00036524654168882694,0.0003645548567874357,0.0003587810999055489,0.0003721402397125282,0.0003605662932386622,0.00036624205356303565,0.00035324852433404885,0.00035582080696864676,0.0003619054041337222,0.00036046154289377027,0.00036143340761415085,0.0003630673415803661,0.00035787672799591336,0.0003636354581599503,0.00036788697387007914,0.0003601501488851176,0.0003650491271400824,0.0003589570114854723,0.0003634606982814148,0.0003667011166856225,0.0003683664922922995,0.0003546844797840874,0.00036121842863541396,0.0003685157935251482,0.00035898642225128385,0.00036004962166771295
50,0.00033162379811983554,0.00034404735628480986,0.00030306604579285096,0.0003023010891271182,0.0003211605880200226,0.00033725072613119015,0.0003495431653479294,0.0003329046872079887,0.0003311750755344718,0.00033086567600548733,0.00030995839682154724,0.0003364825887339456,0.00032724849932657725,0.0003268216102944941,0.000330469839494018,0.0003487843484132706,0.00032139631418561166,0.00030813959763898173,0.00033581133071233386,0.00032020604140901317,0.0003179413114244548,0.00032200250149929034,0.00030299790533414733,0.0003237755343434401,0.00031853720429353416,0.0002973305934574455,0.000309234481040133,0.0003123151676239407,0.0003125398635508164,0.00030492684891214594,0.0003294072538847104,0.00032188177955014486,0.00029951350286585063,0.00033250809650692135,0.0003314600423133622,0.00031899152106364326,0.00034068911344021266,0.0003050157392863184,0.0003099749122496627,0.0003115117660854594,0.0003288095384570105,0.0003261471774362206,0.00027793182016466744,0.0003197566853486933,0.00033857338865728756,0.0003393730142545935,0.00032901749925388555,0.00033089470576797204,0.00034007211888820166,0.0003116007207828606,0.00027896517131011935,0.0003326010879721831,0.0002979989674013968,0.00031415529156220146,0.0003000389348017052,0.000330282098136139,0.0002971069043269381,0.00032307355512126254,0.00033488439459523016,0.00032071817258838564,0.00034206471673803784,0.0002975535171572119,0.0002941722874917711,0.00033941348582240086,0.00028917349643759534,0.00030343974403177317,0.0003107727408253898,0.0003083132303467581,0.00031740020548804077,0.00032695923496125817,0.00031448929803445935,0.00032416424558808404,0.00030390721318932873,0.0002975018724100664,0.0003136742223952232,0.0003299695173544543,0.0003066720216468509,0.00031691135401131523,0.0003592458524508402,0.00030731910031617563,0.0003246965061407536
60,0.0007304128857019047,0.0007034961686090186,0.0006935071044911941,0.0006882403538419077,0.0007170159782318374,0.0007398671836459211,0.0007081451551658252,0.0007213546280246718,0.0007181052174537053,0.000715469377610134,0.0007116391667003893,0.0007000783760081596,0.0007059185105996827,0.0007223473098058479,0.0007154385381213883,0.0007193533553315016,0.0007016034717144933,0.0007181738509171748,0.0006915002533267918,0.0007139777780200044,0.0007158884438327872,0.0007165554894267448,0.0007066310034133493,0.0007128104994383951,0.0007131927820395619,0.0006909912917762995,0.0007108718348336556,0.0007121311100490857,0.0007250630543293322,0.0007175421004273719,0.0007113478720809023,0.000718883064109832,0.0007051760521090517,0.0007105773831604094,0.000699000914917431,0.00069711768862492,0.0007157249094330167,0.0007068832902322439,0.0006976220181705542,0.0006898639112478122,0.0007107856716694576,0.000721145600843382,0.0007072673615766689,0.0007115780259482563,0.0007197218242493507,0.0007243033339220442,0.000708206622428926,0.0007001138292253017,0.0006916534002812114,0.0007065571382930823,0.000730534445028752,0.0007332441799173301,0.0007103705568274913,0.0007025333228132998,0.0006854479201138019,0.000712395642114309,0.0006930754752829671,0.0007052179405883212,0.0007423497154377401,0.0007220334373414516,0.0007178850330522544,0.0007005760780884884,0.0007005132307919363,0.000706904917024076,0.0007299069758220059,0.0007011143893648226,0.000730912988850226,0.0007095494832072447,0.0007178983678049581,0.0007154725000119626,0.0007323658468926118,0.0007351931223335365,0.0007367673679254949,0.000676446536090225,0.0006949600231434618,0.0007308229959763393,0.0007256955307509218,0.0007077504339958391,0.0007292938971659169,0.0007204337592408875,0.000692600553156808
70,0.0012619045733784635,0.0012066117142913518,0.0013292050474168111,0.0012789564905688166,0.001275981926724692,0.0013455953282703245,0.0012277291990035483,0.0012495527266046817,0.0012850064704713377,0.0013032931528869085,0.0013033313149252883,0.0012133602547098178,0.0012431113899572556,0.0012859958188721175,0.0012251448529936812,0.001281648874282837,0.0012391638038458214,0.0012507133887302649,0.0011514960039806152,0.0012692089782406887,0.0012999466924856489,0.0012997971685503476,0.0012573241349309683,0.0012401855395485957,0.0013133166025259665,0.0013042173348367214,0.0012148928991894449,0.001241321816147926,0.0013187399339478682,0.0013321362522190376,0.0012719032571961483,0.0013534530612210242,0.001304840971267997,0.001287387786205949,0.0012183307488966319,0.0012266712541791744,0.0012430227568409847,0.0012925129955295813,0.001226916712854641,0.001215484309796011,0.0012277661756213223,0.0012773956838460204,0.0013246849703136832,0.001226297253742814,0.0012831746992704115,0.001257156215510086,0.0011985651957469859,0.0012205316676970636,0.0011972499669354875,0.0012751843821425955,0.0012759560951963067,0.0012844129550186071,0.0013359988148574932,0.0012432668105854343,0.0012408932438120247,0.0012130843111960103,0.0012840399285778403,0.001291905272880505,0.0013033785560930317,0.0012642648944165558,0.0012572142495823804,0.0012071901728631929,0.0011904763717514772,0.0012754578409450395,0.0013294708429990958,0.0012429446778976574,0.0012909604624534647,0.0013077187061470042,0.001267564214584935,0.0012245659447937935,0.0012645219944210516,0.0013853821825856965,0.001486141816712916,0.0011394584046987195,0.0012760699527072056,0.0012977098072455688,0.0013260699010321072,0.0012674883337533702,0.0012990458926651627,0.0013133782977551348,0.001172104780562222
80,0.002005205949147542,0.001983404698505722,0.0018438154462880145,0.0018315459762771541,0.002008282828521974,0.0019213921623304486,0.0019520030191708957,0.0019400076355515538,0.0019202970168730126,0.001982350535399746,0.001940998044669812,0.0019251754678481696,0.0018975574586709793,0.0019249974090295534,0.0018396929536453066,0.0019387030964329217,0.0019232480928102241,0.0019083503601318107,0.0018467747889059996,0.001917936971100668,0.0019919928539401063,0.0019380704990388559,0.0018230516308297715,0.0018305679666809737,0.0019807317977889424,0.001844716351479292,0.0017633207485966023,0.0018066888272490662,0.0019105241579167984,0.0019479339281397482,0.0019040783029049635,0.0019857675920670424,0.0019137971259904308,0.0018548872492207987,0.0018623792437008685,0.0019124798751103558,0.001950086607585514,0.001908606214618141,0.0018445696030934173,0.0018597464877530001,0.0018165984989276954,0.0018872049639615765,0.001992957724723965,0.0019268060568720102,0.001901771125726794,0.001969657338371402,0.0018890563315445824,0.00185910924521618,0.0019700577649928164,0.0019180403855741665,0.0020222918828949332,0.001930411545221101,0.002022559213666962,0.0018866186825713764,0.0018971068901009857,0.0018924547606432925,0.0019853842677548528,0.0019244334724699628,0.0019387923054058444,0.001916749868541956,0.0018650470977468836,0.00181877680006437,0.0017853588603126507,0.001988470304890403,0.001891139425828846,0.0018358178042735046,0.0019633049611002206,0.001965874031196118,0.0019524523113095373,0.0019098221311798773,0.001885854121711519,0.0019140511867590249,0.0021775069180876017,0.0019656809551330903,0.0017938312043302826,0.0019275084933169282,0.0018861673472981369,0.0019163904446853144,0.002093905088258907,0.0018888430800993276,0.0018577001057565213
90,0.0024225359767054517,0.002365128395871984,0.0024124651681631804,0.002343133335503248,0.0024795677598353615,0.0021521797170862556,0.002175995218192017,0.002371480037445987,0.002361209939316481,0.0024488432391081005,0.002468606392439041,0.002336632210894355,0.0023893973733665366,0.002323612359098413,0.0022126200198031524,0.0022560677219492695,0.0023715305225258426,0.002392142187344217,0.00229316670863357,0.00238837501189361,0.0024551867686498623,0.0023806288289571448,0.002407849508648117,0.0022510867992726466,0.002411888376440084,0.002399911405518651,0.0023195663403208938,0.00232235645429076,0.002474852932124015,0.0024843120763468887,0.00228231459390372,0.0024456237935317825,0.002319011508146874,0.002279898151755333,0.002247355975365887,0.0023832402179583107,0.0022491184430883117,0.0025219245369292116,0.002384529460266412,0.002373180497670546,0.002187758285020079,0.002299596488654138,0.002745284087723121,0.00230335631640628,0.0022759776084536783,0.00234927590568795,0.0024080594170040317,0.0021817535539811247,0.002317505881364923,0.0023092028578534595,0.0024558311328291894,0.002378771684809842,0.0025025732779445555,0.002189480389157931,0.0022248342516832053,0.0022597529649810524,0.0024810240138322115,0.002251954323708497,0.0023380143525586886,0.002507612225599587,0.0022742094532135996,0.002258852677186951,0.0022884736536070704,0.002329028893395194,0.002382336814965432,0.0023167097421649555,0.002361768732468287,0.00248909603944549,0.0023988779187978557,0.0022638923947925905,0.0023372034904443556,0.0022864703787490726,0.0026085023613025746,0.002592987574947377,0.0021720448276028037,0.0022849511043712884,0.0022863217745907605,0.0024104416285896852,0.002467201935360208,0.0024965707654869104,0.002306620893068612
