Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,cross,cycle,dash,depart,descend,drift,flee,float,fly,glide,go,hasten,hike,hurry,journey,limp,march,meander,race,ride,row,run,rush,sail,scramble,swim,taxi,travel,tumble,walk,wander
0,1.926914058925389e-05,2.3481944144468462e-05,1.8188874795062777e-05,2.031933776239524e-05,1.9642368414092225e-05,2.2280417787052492e-05,1.8463281570978823e-05,1.8825475023072167e-05,1.985946843738423e-05,1.7247168329959095e-05,1.7793245812451158e-05,1.8794384046412568e-05,1.845172259477708e-05,2.00963863514489e-05,1.871703336612828e-05,1.8885327411529335e-05,1.7722574739309493e-05,1.9022104966040124e-05,2.0198895007134915e-05,1.90387831996001e-05,1.7783845522409627e-05,1.815499273659173e-05,1.9366134947631507e-05,1.8514296410406435e-05,1.8609594751488036e-05,1.2532788969110697e-05,2.142277020128301e-05,1.8959755872553313e-05,1.7767383376528468e-05,1.8567709635282235e-05,1.7907533977753094e-05,1.711510234459778e-05,1.9352840966418556e-05,1.8535098375693006e-05,2.006751750135057e-05,1.8103815014975616e-05,1.7604224120460505e-05,1.7434590187225364e-05,1.9001164766823093e-05,1.8727718327227194e-05,1.890281455803717e-05,1.798214532300335e-05,2.607267251732992e-05,1.8516626847773104e-05,1.7526655550395127e-05,1.8581092945169075e-05,2.0773926607625182e-05,2.2368122841953664e-05,1.953410238566621e-05,2.3436449241258245e-05,1.7562612146530926e-05,2.08340809422225e-05,1.9610954313975527e-05,1.7077354168206362e-05,1.9962310787001304e-05,1.9615571049639996e-05,1.8538555205625643e-05,1.9713002529897494e-05,2.2891524925701862e-05,1.8442766584205227e-05,2.3442581004928796e-05,2.0193462073474357e-05,2.0668558321361802e-05,1.910720305425678e-05,2.0200470114812357e-05,1.7832637228832924e-05,2.561521218272641e-05,2.125146781670464e-05,1.7846159153123153e-05,1.8837917020139402e-05,1.7619343498154195e-05
10,1.9274434450651187e-05,2.348843925035369e-05,1.8194281210526242e-05,2.0323165937532813e-05,1.9646250776428203e-05,2.2285698573146613e-05,1.8467708903171436e-05,1.8829473714611275e-05,1.9863347973379077e-05,1.7252599207040475e-05,1.779700524810009e-05,1.8796694181516185e-05,1.8456924628866766e-05,2.0100740033685174e-05,1.872012482421911e-05,1.8888479758061294e-05,1.7726504373578272e-05,1.9026426470409667e-05,2.0201920993453575e-05,1.9041898485738785e-05,1.7787674145298437e-05,1.8158889166183405e-05,1.9369888711177434e-05,1.8520055406649286e-05,1.861381155149069e-05,1.2535472342278808e-05,2.1429357700746492e-05,1.896442864790515e-05,1.7772106885411846e-05,1.8572047866332616e-05,1.7910934360164296e-05,1.7119202766480157e-05,1.9357486656610072e-05,1.853832553785841e-05,2.007288599593772e-05,1.810741608616289e-05,1.760721232513836e-05,1.7439490710041188e-05,1.9004323452880117e-05,1.8731223747181502e-05,1.8906846831823907e-05,1.7985078557103407e-05,2.6077589973283465e-05,1.851994138154336e-05,1.752914756109117e-05,1.8583805974360854e-05,2.0778379318168543e-05,2.237248605752029e-05,1.953818739287993e-05,2.344056611036649e-05,1.7565514830354145e-05,2.0837685421308077e-05,1.9612812775449128e-05,1.7080246287113536e-05,1.9966432648351625e-05,1.9621265478649136e-05,1.854282378698499e-05,1.9714805716830597e-05,2.2896294416972927e-05,1.8446668505370885e-05,2.344559852645034e-05,2.0196916901563438e-05,2.067215626555952e-05,1.911126896670835e-05,2.020847366818796e-05,1.7836349201530397e-05,2.5619787330859773e-05,2.125571696494937e-05,1.784886023870058e-05,1.8841715226691665e-05,1.7622746463530346e-05
20,3.218928552972077e-05,3.242593299580255e-05,3.215648788075972e-05,3.2361437031515656e-05,3.2598450242046596e-05,3.242552650460441e-05,3.22060911839212e-05,3.230570584099612e-05,3.23423731901176e-05,3.208131170140405e-05,3.212813070053982e-05,3.229724795662095e-05,3.2371914020393774e-05,3.228504710657007e-05,3.222477226860492e-05,3.231133238538556e-05,3.2237371431706596e-05,3.2422308149877227e-05,3.2434030669849433e-05,3.222898070816882e-05,3.242668868691768e-05,3.2271358252598604e-05,3.237685717370671e-05,3.225434726725022e-05,3.234172964723603e-05,3.19855120324064e-05,3.2418278908974773e-05,3.227991768047408e-05,3.227800214731627e-05,3.2176353406318795e-05,3.220233164029196e-05,3.228089344002701e-05,3.2245292389304195e-05,3.219268893549587e-05,3.206306205861943e-05,3.222891252465031e-05,3.221459390165125e-05,3.238254860413938e-05,3.2474457181805e-05,3.2067067877505906e-05,3.223716989754045e-05,3.2003933029045584e-05,3.257823991589248e-05,3.2084256848687995e-05,3.2160448494036435e-05,3.2421666297263335e-05,3.229050143042849e-05,3.24325840210804e-05,3.231991145028211e-05,3.242568610320714e-05,3.213118866719574e-05,3.229889049786531e-05,3.2534022466279566e-05,3.229767404560817e-05,3.1957991801579645e-05,3.237074005565691e-05,3.2249628636617997e-05,3.2470753922098083e-05,3.238973527509693e-05,3.221798895258242e-05,3.259489434033943e-05,3.2280796335481846e-05,3.223789934525956e-05,3.219855785278629e-05,3.223497252393928e-05,3.2175979253839e-05,3.266246624532089e-05,3.2376053387716024e-05,3.239790203224402e-05,3.2280406245997e-05,3.222906507289735e-05
30,6.162950095942408e-05,6.179956566214699e-05,6.166902070011322e-05,6.175079140050982e-05,6.182836337365752e-05,6.146904602896289e-05,6.158412989245863e-05,6.170554022937009e-05,6.16832138216005e-05,6.156009726510092e-05,6.15926337896208e-05,6.173340926227179e-05,6.169648810155746e-05,6.159180195412993e-05,6.164672377053648e-05,6.161050972271671e-05,6.170402372975201e-05,6.173261679094461e-05,6.177402091062894e-05,6.171902821127636e-05,6.168015114291428e-05,6.160195406274787e-05,6.167296863471469e-05,6.165818995214067e-05,6.169943073819879e-05,6.155912560643629e-05,6.169678330949072e-05,6.170753128268795e-05,6.167812804479207e-05,6.161965270181216e-05,6.166421915016447e-05,6.167025080335756e-05,6.172587403013425e-05,6.164899537526613e-05,6.154855105301572e-05,6.173588547296407e-05,6.166189575053163e-05,6.181551527168432e-05,6.181687373998968e-05,6.167333367557148e-05,6.166422014196523e-05,6.160977955005364e-05,6.177647665026598e-05,6.160363524318917e-05,6.162891103916704e-05,6.180393330786111e-05,6.170096301566605e-05,6.171690210976521e-05,6.173753159789063e-05,6.156586261402646e-05,6.165652938272195e-05,6.164160762030708e-05,6.184199010021985e-05,6.171950824827202e-05,6.15678370101297e-05,6.176782864548096e-05,6.172662582567653e-05,6.182910055940738e-05,6.18052752340898e-05,6.169972134207805e-05,6.182461802382023e-05,6.173561472365612e-05,6.17466800610634e-05,6.166505917061439e-05,6.160280261408641e-05,6.16018536108298e-05,6.181284749930325e-05,6.178628439468617e-05,6.168572235765168e-05,6.164855842464877e-05,6.174123627715744e-05
40,0.00035316479035237854,0.00035255560996355834,0.000350668778992258,0.00035045854568194884,0.0003526237722533413,0.00034728974320127496,0.0003520083987349344,0.0003525489124049451,0.0003534313394464081,0.0003489793853077572,0.0003514471654291552,0.00035209680208936334,0.0003498141498615344,0.00035171907229320794,0.0003532575939864139,0.0003545460070502789,0.000351221465929744,0.0003523605188967872,0.00035295053385198116,0.0003529534919653088,0.0003529233190839967,0.00035169334244398797,0.0003494427322099606,0.00035238245327491314,0.00035128744258101853,0.0003561835444997996,0.0003518466570136708,0.00035145489346177783,0.0003527019402313539,0.00035205209485044883,0.0003526595518148194,0.00035116405454643356,0.0003525406802789523,0.00035124990566590326,0.0003529920488492482,0.00035068678906619813,0.0003504578987638907,0.0003535323511724445,0.0003522146115898637,0.00034877955476986244,0.00035247731981105467,0.0003541823352861684,0.0003505644534016028,0.0003507547249012676,0.0003510227720988424,0.0003514337241150705,0.00035112354370332407,0.0003498628648230806,0.00035209009491091853,0.00034946126768111503,0.00034991206193808467,0.00035124478502742323,0.0003496387740597129,0.0003521806727952267,0.00034968679116492897,0.000355045940853994,0.00034976379178534514,0.00035176819801563397,0.0003504517808323726,0.00035149025677058557,0.0003520106877355526,0.000351531406982191,0.00035069924989430647,0.0003506377355619292,0.00035129616218101647,0.00035208500672264824,0.0003520654032139906,0.00035279264885766974,0.00034796251202351414,0.00035136946459386905,0.0003517669276334345
50,0.0002487684608707708,0.00025140090966252265,0.0002514362689301682,0.00024751691067089826,0.0002512837947299115,0.0002227607391042901,0.0002424389341256521,0.00024633351502273523,0.00024573976554188734,0.00023855213657952845,0.0002499230951214508,0.00024253688693255643,0.0002509437000491854,0.00024599978011489537,0.00024823657243841274,0.00024350977097734963,0.00024542558925791776,0.0002517635732170053,0.00025178389894011034,0.0002485949790570885,0.0002515508094802499,0.00024693532655614296,0.00024994480268408857,0.00024758335202932356,0.00024928094676902727,0.0002552694466430694,0.00024516386521657206,0.0002442585106715948,0.0002510414174620939,0.0002538295579612285,0.00024412451059712718,0.00024530594069242047,0.0002537104757301187,0.00024891197701732,0.00023982778818915703,0.00025009681926998643,0.00024002559209628473,0.0002567500368141654,0.0002508126425413774,0.00025010810168168973,0.00024612985292518945,0.00026243834690831136,0.0002489179139956832,0.00024237785806977436,0.0002428141687567787,0.00025013568831907054,0.00024121302231562143,0.00024103824944177177,0.0002491709735828596,0.0002409011093814942,0.00025558755095027243,0.00025148584851801087,0.00024940357689047233,0.00025095489875137883,0.00024755593240742796,0.00025018416239287365,0.00024441547891480587,0.00025620710039220285,0.0002527593011715605,0.0002501137514347927,0.0002544901294944187,0.000253257764783758,0.00025341539272900535,0.0002434810559026192,0.0002487970551656973,0.0002514311165757501,0.00024654882145114243,0.000253462824231622,0.00023786538076819852,0.0002532403883348149,0.0002473981308867224
60,0.0003120779729215428,0.00031344748222855506,0.00031542982227013755,0.0003133035690272943,0.0003176745240240582,0.0002989781039234783,0.0003071880505998589,0.0003146453967144457,0.0003138851504065568,0.0003106141302851029,0.00031438961022901406,0.00030980168572123333,0.0003134805866107909,0.00031047623391107965,0.00031100854017388293,0.00030963836979935877,0.00031288330847885283,0.00031635842449621214,0.000312729313528897,0.0003114509260437141,0.000313256252467489,0.00031406216606098624,0.00031424776398732016,0.00031055462119790415,0.0003115678278152787,0.0003152916440740228,0.00031191321613732725,0.00031170423365741345,0.00031476677498122786,0.0003148977871939179,0.00031043628579936923,0.0003142618224956095,0.00031266803909182694,0.0003108097433903103,0.0003049670712142769,0.0003119952681507649,0.00031046209321510486,0.00031624060780317944,0.00031785230981242136,0.0003164111876685638,0.00031086885335637217,0.00031555827445117757,0.000307123307720758,0.00031157143989970023,0.0003103914802379318,0.00031716247820960626,0.00030739871216243494,0.0003094573621638119,0.0003125953035437149,0.0003110781386071308,0.000316320382989943,0.0003144455234481332,0.0003147122246446088,0.00031500360785926483,0.00031296749185802863,0.00031181149163537407,0.00031210329560112327,0.00031624639814253896,0.00031777032078631845,0.00031602429494691583,0.0003138154686894268,0.00031524225418526,0.0003140362392446992,0.0003096176483636923,0.00031381554759314493,0.00031353410086957373,0.00031014146640830276,0.00031491371543867694,0.0003068192854698282,0.00031464693281787814,0.0003150892385747284
70,0.000632803374272142,0.000640295167815768,0.0006492127092011893,0.0006469221176722875,0.0006435268294785313,0.0006308103495809649,0.0006281555097009386,0.0006418867109745156,0.0006491016055740227,0.0006379618498613127,0.0006452539546219747,0.0006456333533290545,0.0006473956710771855,0.0006399187770897918,0.0006329430335694377,0.0006365265750597852,0.0006417468296907222,0.0006332747311083765,0.0006414688375246312,0.0006449218171959122,0.0006452378252736078,0.0006500199909039241,0.0006376586024028559,0.0006358623562846333,0.0006376014743369841,0.0006496618734672666,0.0006396194371665197,0.0006460863672449099,0.0006415452534223304,0.0006579398703310758,0.0006473451022369166,0.000645549654459151,0.0006515974964713678,0.0006399565270755354,0.0006504949253414654,0.0006414469878239158,0.000637370279659272,0.000657560229724781,0.0006465245198166693,0.0006443299535021652,0.0006367116435827252,0.0006718839358654805,0.0006472198234405369,0.0006220383342894676,0.0006220630008580261,0.0006417556449637881,0.0006293916355883866,0.0006254185536818113,0.0006488980078098268,0.0006308889979581264,0.0006533124972170649,0.0006204837845871225,0.0006405060004908592,0.0006393669897747435,0.000646000543352345,0.0006414055877195841,0.0006495702477242116,0.000653284223517403,0.0006423386496155419,0.000647724516546497,0.0006435334022777776,0.0006438354987861408,0.0006389042219207449,0.0006228847631572133,0.000610158222520517,0.0006359272777078697,0.0006520522001665086,0.0006467136371347512,0.0005818106728838757,0.0006456839213218196,0.0006469187967013568
80,0.0010232175118289888,0.0010326204592948434,0.0010200671919543918,0.0010202808090700552,0.0010290502576463963,0.0010203932428599469,0.0010115916910205757,0.0010272467499781474,0.0010276554562033543,0.0010225000260106754,0.0010282589614184366,0.0010309323635218398,0.0010494818297130141,0.0010274293837772514,0.00101450544932638,0.001031824712602732,0.0010243909949037646,0.0010209350538722983,0.0010358060348413087,0.0010375293165755769,0.001029246411501215,0.0010344504553359002,0.0010244744092536469,0.001025131567924594,0.0010168466814941474,0.001007899665273726,0.0010213794734989924,0.0010319652889544766,0.0010226493468508124,0.001047135127009824,0.001028661640981833,0.0010161530763770526,0.0010392664463814492,0.0010268540828228864,0.0010348025179054174,0.0010329939188003273,0.001024113249609639,0.0010582140265879307,0.0010324691012726132,0.0010134795666090213,0.0010123183582958944,0.0010611910984152928,0.0010299349785782396,0.0010010652783277788,0.001021741568355968,0.0010371940293615418,0.0009997710922585899,0.0010223574863630347,0.0010309233415494513,0.0010083283149552617,0.0010305780671142901,0.0009942519439694781,0.0010165938409045338,0.001017641683574766,0.0010202468918829128,0.0010097413006323304,0.001022273883654145,0.0010255890811095014,0.0010284153282150833,0.0010207636890789636,0.0010344280124021073,0.0010279148963520364,0.001021102990812829,0.0010090287426604075,0.0009919271170575586,0.001017166629687629,0.0010314667140067155,0.001033475345578946,0.0009704314870759845,0.0010251239051713662,0.001033998600905761
90,0.0013689635324644278,0.0013623949381764287,0.0013830364332534373,0.0013577499247800844,0.0013541953470204262,0.0013304749570254768,0.0013378362317809896,0.0013492532969251567,0.0013628075432763258,0.001360251430014614,0.0013623147021496185,0.0013598692532134603,0.0013914523349905555,0.0013643958708130274,0.0013407224186641328,0.00136752951463374,0.0013547584808076777,0.0013634901614623923,0.001356242536400844,0.00136609120760113,0.0013628177649269884,0.0013761923931139921,0.0013663097377866506,0.0013651522419725855,0.0013593144840486938,0.0013853796990588307,0.0013726460878857442,0.001382369101823618,0.0013523535693393035,0.0014012399854348792,0.001350436545908451,0.0013377756874363583,0.0013822332369342733,0.001357692491458079,0.0013691393736129005,0.0013793115940643474,0.0013529378292763507,0.0013876539887860417,0.0013639530312853406,0.0013421211260720156,0.0013431425694316783,0.001414827085682191,0.0013940685661509634,0.0013348862749377364,0.0013571831152627343,0.0013807042501866817,0.0013262699041597284,0.0013509599411918316,0.0013744705948769919,0.0013661501315337691,0.0013663563447502943,0.0013128904878006626,0.0013660531723871828,0.001337125015977238,0.0013617200592275836,0.0012989190978590739,0.0013469792752256317,0.0013453194696921855,0.0013825789145711395,0.0013536188375348082,0.0013694004078085224,0.0013798952180271347,0.0013504135961368404,0.0013420382065715286,0.0013212862346942227,0.0013579250609671528,0.0013754384459129401,0.001376645448016784,0.0013272843207232654,0.0013740320069746685,0.0013860744424164296
