Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,2.3714926731675706e-05,2.64434224003775e-05,2.468198416257413e-05,2.2484426139831508e-05,2.385723052347076e-05,2.07912567670324e-05,2.2534517058609766e-05,2.4441371662856238e-05,2.3582364600413343e-05,2.2941973554679862e-05,2.2813872891236787e-05,2.4340301562767068e-05,2.3573965666979678e-05,2.3362769435621114e-05,2.4556449898227583e-05,2.3962810170511755e-05,2.3380134334296426e-05,2.2660879926373623e-05,2.3268269582591268e-05,2.4550677929558634e-05,2.4317880119129907e-05,2.5628548119779486e-05,2.2208652638558608e-05,2.3395770616237616e-05,2.354642543246478e-05,3.0409087048610673e-05,2.4575832911420635e-05,2.43651718392357e-05,2.612709099861711e-05,2.235861793744862e-05,2.4112504312749176e-05,2.4486062976883168e-05,2.2086415128796943e-05,2.2513906648183785e-05,2.1426621666857198e-05,2.290522331804823e-05,2.3504927711608042e-05,2.518186746866294e-05,2.2734196563651057e-05,2.2032869139820832e-05,2.074023697267486e-05,2.293224308735436e-05,2.2505840433950652e-05,2.2057773185224506e-05,2.3200499718337885e-05,2.458573865289126e-05,2.224253544877034e-05,2.2673188300758373e-05,2.4511453005970907e-05,2.3028820939136244e-05,2.8978773480048402e-05,2.1752274154674854e-05,2.1941443264950067e-05,2.8019188372733577e-05,1.9395719573367386e-05,2.2103407380719936e-05,1.526139431007323e-05,2.0476356032053572e-05,2.183042256960603e-05,3.0741464797756635e-05,2.1298972119781268e-05,2.034268470652023e-05,2.4361715077247936e-05,2.5687181862719755e-05,2.421785792547679e-05,2.3744179256587254e-05,2.4930835388659033e-05,2.198478528386062e-05,2.052591929458248e-05,2.390873943023417e-05,2.497632845511867e-05,2.0218839987743802e-05,2.6545048361488927e-05,1.9479365922355402e-05,2.2962698364738442e-05,2.450139364354273e-05,2.2311917746264953e-05,2.200460385064352e-05,2.7536527795746224e-05,2.1909791381908345e-05,2.1334571283659897e-05
10,2.3700726984922463e-05,2.642875912257565e-05,2.4669309899157572e-05,2.246960448246682e-05,2.384266261725327e-05,2.0776566608609365e-05,2.2520267902432204e-05,2.4426257368759252e-05,2.356916419431181e-05,2.2924453162431746e-05,2.2801485708138596e-05,2.432575573558487e-05,2.3558498689839546e-05,2.3349216669223758e-05,2.4540647160285836e-05,2.3948613602442492e-05,2.3365909707232884e-05,2.264675191626442e-05,2.3255578818342265e-05,2.4535804926320755e-05,2.430273226099626e-05,2.56144468916578e-05,2.2196705255434306e-05,2.3382491902642263e-05,2.3531784227954977e-05,3.0397381124203093e-05,2.4560430765338806e-05,2.4350481718708277e-05,2.6109722956093988e-05,2.2345187810588547e-05,2.4097977117586803e-05,2.447252021598755e-05,2.207356755416885e-05,2.2499829866297306e-05,2.141323521856167e-05,2.2892249782151858e-05,2.349062021111374e-05,2.5163918921448797e-05,2.2721516322772333e-05,2.2020172480097244e-05,2.073179036545168e-05,2.291774469685674e-05,2.248970361051761e-05,2.2044034085411113e-05,2.318358144149993e-05,2.457166057482889e-05,2.2230923254288168e-05,2.2658469229977446e-05,2.449470312626545e-05,2.301420279544455e-05,2.8956603273400106e-05,2.1739335848410107e-05,2.192840854779486e-05,2.8003797903390176e-05,1.9386298663448543e-05,2.209117727553738e-05,1.5246953353198478e-05,2.0465399412105086e-05,2.181493164243875e-05,3.0728762794751674e-05,2.1284583766906527e-05,2.033058342476579e-05,2.4345396620143827e-05,2.5673589334473945e-05,2.4203125854506248e-05,2.3729157006668035e-05,2.491737735302498e-05,2.197168491239677e-05,2.0515531336631857e-05,2.3894034834606952e-05,2.4963270940740283e-05,2.0207755369483493e-05,2.65369277864617e-05,1.9467526726657525e-05,2.295076696360151e-05,2.448704969549896e-05,2.2300345270715688e-05,2.1990868360937326e-05,2.7521358788362704e-05,2.1896105970560765e-05,2.132216804966447e-05
20,2.965280451462604e-05,2.971212112849268e-05,2.9459134414840566e-05,2.9565688069291914e-05,2.970811156161819e-05,2.9419040531917873e-05,2.988237241468948e-05,2.960861593237496e-05,2.9584436077452147e-05,2.96401335617702e-05,2.9575425399759107e-05,2.960465618733516e-05,2.9593937638723716e-05,2.963323312900629e-05,2.9809946906478966e-05,2.971395656459208e-05,2.965061581302767e-05,2.9614047290826557e-05,2.945905264693595e-05,2.9674144340485023e-05,2.982189370623718e-05,2.970283955099668e-05,2.966096964276706e-05,2.9752313882151308e-05,2.9772260873754035e-05,2.999557327711955e-05,2.966913724512485e-05,2.9634806764988753e-05,2.9751109361634864e-05,2.952360700287353e-05,2.9700674106910205e-05,2.9631373693588943e-05,2.9663791722738937e-05,2.96043091754943e-05,2.9630791990105838e-05,2.947531610126524e-05,2.9627929578916673e-05,2.9454999755464748e-05,2.9554319728750747e-05,2.9282903824423556e-05,2.9596613135903942e-05,2.9648485828960125e-05,2.9462989914463833e-05,2.9626364630530587e-05,2.955296737414564e-05,2.9707670661369585e-05,2.962946865799105e-05,2.9501046491643872e-05,2.9734480790466478e-05,2.9609585108746302e-05,2.9923444890300745e-05,2.973976618456866e-05,2.9507666127196548e-05,2.9669980600980732e-05,2.9445646396197846e-05,2.9478558162179756e-05,2.9036147680017166e-05,2.932308548067873e-05,2.9378384748600762e-05,2.9672074560949113e-05,2.9581476517568683e-05,2.9506028340620105e-05,2.9332646287609048e-05,2.9761963170520695e-05,2.934053089928865e-05,2.951631168588602e-05,2.9703886078398985e-05,2.942582105661327e-05,2.9506632944065603e-05,2.9582978108387045e-05,2.950571069959551e-05,2.9535365077511717e-05,2.9589302963965263e-05,2.9626864791983582e-05,2.9553134092046613e-05,2.9832992438898218e-05,2.9573165582925348e-05,2.9507469046239427e-05,2.983226886499324e-05,2.9501860984307596e-05,2.9550857470894697e-05
30,0.00015434062283020466,0.00015462780828346258,0.0001544414287006172,0.00015431907242880418,0.00015435944078490138,0.00015411028497120633,0.00015484043087194403,0.00015429839894702462,0.00015415536693615627,0.0001548453592477017,0.00015411367941716754,0.00015444777595896122,0.0001545291187622669,0.00015433283591515976,0.00015480728265281548,0.00015445234991299608,0.0001544854943252479,0.00015436538938680498,0.00015408852933822864,0.00015466207444357375,0.00015461607858574446,0.00015447904479515273,0.0001543689596777161,0.00015469173037369426,0.00015488220078478906,0.00015475891705136747,0.00015449336276487298,0.00015471892917654864,0.00015460325127659256,0.00015428997416635075,0.00015451581644204755,0.00015461766116249448,0.00015452156059417085,0.00015410229708522375,0.00015438922127941623,0.0001543785900659194,0.00015418100500889858,0.00015368511297062716,0.00015425819925352348,0.00015408821400342276,0.00015348380215332976,0.00015436312690887482,0.00015382221863546874,0.00015507768985116853,0.00015450892724881045,0.00015432076485778548,0.00015439502292013328,0.00015426952488365044,0.00015465884598597768,0.0001542836325825192,0.00015521217719651758,0.000154757283532738,0.00015429843400712484,0.0001542424264092309,0.00015387485036626457,0.00015434811731600867,0.00015379647084046155,0.00015430287347608726,0.00015383808402640915,0.0001545613704365678,0.0001543280732710295,0.00015419820556417108,0.00015454396149531627,0.00015434120307743018,0.000154177443619119,0.00015444722062406632,0.000154204146626095,0.0001541887066059155,0.0001543230118167466,0.00015446693250523494,0.00015417558542038832,0.00015414162044180557,0.00015409406235752007,0.0001540386268364576,0.0001539829868956336,0.00015435905015102116,0.00015443517414886237,0.00015432589017080084,0.00015500190966122318,0.00015417652198763078,0.00015450332866748795
40,0.0004198253135352085,0.0004228467695173566,0.0004198668442162064,0.00042133736245047586,0.000419651855540733,0.00041987980200376896,0.00041792194749559123,0.00041901047983341604,0.0004211690455905009,0.00041311256973131094,0.000421322587184769,0.000416246403189262,0.0004236463891257617,0.0004215137054085393,0.0004203092508867164,0.0004211216704182637,0.00041853637230815366,0.00042370136840492957,0.0004208825048408471,0.00041996142477728426,0.0004246354788147773,0.00042199021949532574,0.00042460178995194536,0.0004227771423757076,0.00042215286428847956,0.0004212920553982258,0.00042430379741539755,0.0004201770861982368,0.0004232612900737235,0.00042155994414051453,0.00041800354490987955,0.0004187424682850878,0.00042317057523177937,0.0004193721365370992,0.0004219923349511292,0.0004178892070610475,0.000417619561056582,0.00042049922260709786,0.0004202266324014145,0.00041921945376088843,0.00042105622040773075,0.0004223151549825722,0.00042110116919502616,0.0004250388650689274,0.0004206005205081678,0.0004200757095149081,0.00041756151393721147,0.00041659974228598894,0.0004237004523020005,0.00042088172480801185,0.0004254142928402871,0.000424350720343434,0.0004206840582460595,0.0004173892763598512,0.00041502087842673065,0.0004185682949039857,0.00042072551150340587,0.00041486575179893907,0.00042251673188399184,0.0004220461050863378,0.00042047543152015133,0.0004229805163049605,0.00042105735337827355,0.00042492232751101255,0.000422586863149061,0.00041902922675944864,0.00042254586005583403,0.00042040140608385685,0.00041864821266952075,0.0004186489698498065,0.0004234193636673606,0.00042284331963552785,0.0004248464053186278,0.00041760888901383925,0.00041210707942289967,0.0004197823385671749,0.0004226200419777472,0.0004212938398385661,0.0004158650044701062,0.0004220259646853792,0.0004213550069835037
50,0.00021598737473444392,0.00020895902923291065,0.00021943421234027483,0.00021528307093271557,0.00021624123777816943,0.00021419394345554923,0.0002082889813238815,0.00021434776174014827,0.00021546974441455087,0.00021340494913602015,0.0002180800214840996,0.00021272851094812612,0.00021408850752226445,0.00021601358744329914,0.0002156030571581248,0.0002120460121659562,0.0002140174252590874,0.00021751183254608907,0.00021180335949923444,0.00021778567461296915,0.00022009361038306872,0.00021952104050017494,0.00021829912109145273,0.00021511040637657667,0.00021878187429152487,0.00022671494516544045,0.00021777482353143335,0.0002136101114350216,0.00021842943576356287,0.00022091920137397886,0.0002145998595127215,0.00021709536947757722,0.0002206596254836768,0.0002117490847722809,0.00021816098726251058,0.00021509151857961633,0.0002080149972339553,0.00021815518927972087,0.00021675761760330298,0.00021539073713938706,0.0002165384274641318,0.0002124254013401793,0.00021611780721286777,0.00022200055536814034,0.00021261550213430862,0.00021077848520546563,0.00021384419544899304,0.0002105544384297294,0.00021195343379076803,0.00021504478843718092,0.00022074181179050357,0.00021451181038917804,0.00021786182635248855,0.00021667668625013903,0.0002152561108232476,0.00021248638905508785,0.00021814214414916933,0.0002128436151843775,0.0002146256116578694,0.00022034734138287604,0.00021023967620035412,0.0002217580986325629,0.00021699814048285285,0.00021511997952724675,0.000219416731043667,0.00021521422537401893,0.0002195479202782735,0.00021849024004393046,0.00021696577796656466,0.00021111570888089837,0.0002191903347718633,0.0002179948011568437,0.0002245447540190071,0.00020419010737289986,0.00020737943746748248,0.0002187785821779353,0.00021952751246447275,0.00021679584918479856,0.00020645530639740173,0.00021847361770161122,0.0002192041793023236
60,0.0002937674425387134,0.0002770679447739558,0.0003110376079954828,0.00030112158766804406,0.00030641210312613203,0.0002938341266209526,0.0002877689565197685,0.0003039633660304581,0.00030737537010189713,0.00030584542400902137,0.00030807410776442675,0.0003015929553895352,0.0002999440290626477,0.0003045940287517045,0.0002992112617528833,0.00029185198157695896,0.00029992093896864737,0.0003000781919270801,0.0002988803675439807,0.0003144020554221546,0.00031409113390299564,0.00030588578166706223,0.00030882407581278435,0.0002968494722153991,0.0003131265107113572,0.00032348769600503146,0.00030016762086175264,0.0003039675351222589,0.0003072848216534647,0.00031566613160389205,0.00030331727078494926,0.0003178609667184691,0.0003093775337150034,0.000301527558604437,0.00030290268477983773,0.0003027834009117214,0.00028663439412699327,0.00031430487499826336,0.00030346607462592784,0.0002974934550366015,0.0002970831368916801,0.00029497346134876157,0.00033601216637180187,0.0003225770138669759,0.00029452965674480716,0.00028795819319049387,0.0003011307492020673,0.0002887050227799224,0.00028847293333456037,0.0002975621513353966,0.00029661839944310485,0.000303765417563475,0.0003135430910893214,0.0003008210478583351,0.0003031931119039655,0.00029363742392814283,0.0003024074685527012,0.00029769687058307743,0.00029867859980599445,0.0003268673608545214,0.00029879033591182684,0.00029766100306005683,0.00029414656940692413,0.0002999786686684404,0.0003056559891976778,0.0003073692003873965,0.0003014907939359546,0.0003156115849232001,0.0003015694458520523,0.0002814822055206441,0.00029983671265654266,0.00032048567178814363,0.00032094701115662855,0.0002877924440933081,0.00030647894267791083,0.0003049437195900223,0.0003210839952641566,0.0003037883987182736,0.00028321428726485465,0.00031276486269609234,0.0003204613298294134
70,0.0006647448280515771,0.0006308524990109381,0.0007670473860343918,0.0006879981154969965,0.0007430142671447483,0.0006089077048402812,0.000637466087937355,0.0007159391932777668,0.0007245006397826291,0.0007068405666359467,0.0007424979610081165,0.0007110608371012673,0.0006744018261969993,0.0007156448621324009,0.000678917023640893,0.0006371145742984178,0.0007238836205076604,0.0007395529423256794,0.0006874854526748615,0.0007308030469963948,0.0007294754770835146,0.0007194519166660029,0.000759943911107257,0.0006495268336342027,0.0007576618781535043,0.0008767797495238483,0.0007248457508056515,0.0007310830187634565,0.0007405484893003149,0.000791758434065888,0.0006773040858873477,0.0007696480046993551,0.0007444667739596647,0.0007202878460236938,0.000705731772339075,0.0007107605067306265,0.000619036779282492,0.0008088598525236276,0.0007291560977169996,0.0007494766814488685,0.0006883061308014606,0.0006921593876347501,0.0008335788515978493,0.0007317354320548475,0.0006881277046264394,0.0006624382755130922,0.0007269065644192909,0.0006520270347991435,0.0006174054988150601,0.0006830821803305298,0.0006670236354693771,0.0007085708202794194,0.000759134610192492,0.0006559547036886215,0.0006928251474164427,0.0006556812714196133,0.000785308366175741,0.0006957771296709262,0.000622594707899473,0.0008170633809641004,0.0006967569164360964,0.00070243637310341,0.0006683899167304238,0.0006878780716631029,0.0007423090121139669,0.0007337246824485751,0.0007073640260690202,0.0007842211641110881,0.0007202746009743014,0.0006469651571105796,0.0006834637800542017,0.0007113285537343472,0.000780158385168761,0.0006537008691035832,0.0007133487878101212,0.0007191632047307665,0.0007236989497739289,0.0007257512038303239,0.0006536531254823785,0.0007645048721039965,0.0007518196245655418
80,0.0009789365180768073,0.0009635875251627078,0.0010512943990761414,0.0009572511601548356,0.0010167169347818045,0.0009349532940957163,0.0009024517109332185,0.0010092174358616926,0.0010028492380817762,0.001014687975839479,0.00103938491601083,0.0009868863592285436,0.0009900449923324313,0.0009977009895285873,0.0009783107910633965,0.0009724809448622788,0.000995197377744175,0.0010165387773414768,0.0009807743585302628,0.0010247143373514215,0.001033333143613373,0.0010170983389668567,0.0010597896800997356,0.0009797251938531797,0.0010048116488929188,0.00107288658618927,0.0010419956017886439,0.0010193479829467833,0.001044228977715487,0.0010327133669277592,0.000979494044246773,0.0010117793482585023,0.0009782811237248378,0.0010050126825595592,0.001021579538549607,0.0009684660035418347,0.0009415080053976885,0.0010777115398509936,0.0010038895128541682,0.0009825837441894691,0.0009150859550572932,0.0009860516138166743,0.0011283299536444247,0.0010002620576415211,0.0010102069323980494,0.00097451665205881,0.0010114957894464688,0.0009341164780045418,0.0009633961162762716,0.0009575448363240616,0.0010176142794080078,0.0010029009956104512,0.0009953399072401225,0.0009459831295923019,0.0009247964364476502,0.0009661393931458647,0.0010408751550130546,0.0009471199390928036,0.000992612045427615,0.0010831886174855754,0.0009779780783930854,0.000973930764303077,0.0009649304556660354,0.001017411597006555,0.0009897994896164164,0.0009915765007742895,0.0010100464918650688,0.0010166034598143832,0.0009651555565479039,0.0009147954269874472,0.0010370900789793166,0.000998496145863707,0.0010357071878388524,0.0009781394134430836,0.0009540707521539714,0.0009810785799250973,0.0009769968206195959,0.0010012912145260001,0.0009528793016215786,0.0010420323384753545,0.0010193910973612219
90,0.0015571701899170876,0.0015614049043506384,0.0016795462676479171,0.001580561500472518,0.0016249696638647325,0.001427562890707382,0.0014257816402542015,0.001573668632006861,0.0016035141270088998,0.0015616828823112883,0.0016597395153417262,0.00155245567130267,0.001625906679581738,0.0015591866077474233,0.0015574354541433208,0.0015497571827533345,0.0016053043835286406,0.0016516991861494658,0.0015766631196519093,0.0016192175121977925,0.0016343404055358126,0.0016177636633593856,0.0016860569237420956,0.0015894919478644928,0.00159126207128995,0.0017216487554833292,0.0016379190229570432,0.0016360903997944358,0.0016695355106254711,0.0016573925911929578,0.0015840197602907816,0.001601862533089633,0.0015735351726806795,0.0016046209976349661,0.0015925943347004552,0.0015222707443172112,0.0014643928412911727,0.0017030919288200412,0.0016537278530143022,0.0015925932166283019,0.001500087374422167,0.0015663727090020286,0.001824390870751813,0.0015683762030676007,0.001569608103876051,0.0015402681010432148,0.0016158509151344852,0.0014609496881205,0.0014991993557487149,0.0015468472421193368,0.0015930996043607593,0.0015316457191312854,0.001599309242849883,0.0014568649203283712,0.0014830713509581984,0.0015012890347564708,0.0015617238823324442,0.0015261007416672234,0.0015014125542207198,0.0016424296773038805,0.0015671985093704474,0.0015433056105393916,0.0015955875860527158,0.0015801915932180627,0.0015682087266921168,0.0016111325839749321,0.00158389030645291,0.0016134167678393825,0.0015302757965400815,0.0014921445472937849,0.0016109405939156811,0.0015647051623091102,0.001665093159923951,0.0016207825780535738,0.0014308824403477566,0.001549084913499605,0.0015624973540460424,0.0016203644345589583,0.0015419616247527301,0.0016607795509376696,0.0016522092977538706
