Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,1.3360600387386512e-05,1.1524779943607024e-05,1.1231194093852537e-05,1.3580626490203521e-05,1.324259383066799e-05,1.3146811917457463e-05,1.308326550168849e-05,1.227176974345256e-05,1.2869727055934888e-05,1.4688310130850368e-05,1.3689120536313297e-05,1.4822047024627325e-05,1.4330375286204578e-05,1.3030244576150311e-05,1.2791187413420308e-05,1.3099290223787344e-05,1.3894395719727895e-05,1.258732048927989e-05,1.38070355108409e-05,1.4010552210190023e-05,1.3312071940582916e-05,1.2463251055448512e-05,1.354610634734854e-05,1.2093373834431987e-05,1.2814482777194205e-05,1.1350401200616033e-05,1.3730386120685932e-05,1.3155678601606269e-05,1.2874858374048285e-05,1.4611318412731165e-05,1.3307016136726209e-05,1.3852774565328638e-05,1.3994705035167079e-05,1.3045251884383417e-05,1.4438487242942858e-05,1.5671602925846984e-05,1.308201542004003e-05,1.5138862264310857e-05,1.3767230062644175e-05,1.3340963988639487e-05,1.6331320239260094e-05,1.2339081654608115e-05,1.704939279534301e-05,1.3170909642212792e-05,1.099444668733141e-05,1.3069404045190344e-05,1.3729845263047276e-05,1.4247143326429068e-05,1.2631711072685903e-05,1.4967337851258294e-05,1.4785181883780752e-05,1.5191937563940883e-05,1.5122906825126848e-05,1.538563806965006e-05,1.2667233613683493e-05,1.4074560614081209e-05,1.6480426438647555e-05,1.4357684590479415e-05,1.4951601770007983e-05,9.252501968148863e-06,1.2971891293844199e-05,1.3434283914648404e-05,1.5936589382666472e-05,1.3908959252668346e-05,1.3277168730180872e-05,1.3875147627774053e-05,1.4051792368263704e-05,1.4586693083323534e-05,1.6315090445257534e-05,1.458518808421276e-05,1.3878818157940663e-05,1.2641866002619887e-05,1.1850552406637386e-05,1.6713211152818985e-05,1.385196303869764e-05,1.2724927450840547e-05,1.4515797569661767e-05,1.3872739266902969e-05,1.4227779956854647e-05,1.3426813859209573e-05,1.133118312282022e-05
10,1.335984276617334e-05,1.1523685164623506e-05,1.1230953229339017e-05,1.3579762624151324e-05,1.324229819883955e-05,1.3142954750427244e-05,1.308326428413913e-05,1.227108770021196e-05,1.2869480341106293e-05,1.4686782265016518e-05,1.3688955996370584e-05,1.4821358416490827e-05,1.4328635092114741e-05,1.303000014944921e-05,1.2790879019816845e-05,1.3098760102063048e-05,1.3893401008620762e-05,1.2586673631320288e-05,1.3806645548746538e-05,1.4010107612800008e-05,1.3311808397002796e-05,1.2461821134885603e-05,1.3544516405090689e-05,1.2092493155554015e-05,1.281406418586682e-05,1.1351093962730375e-05,1.372989678319784e-05,1.3154188138742029e-05,1.2874828499822317e-05,1.4609692639609303e-05,1.3306501799282462e-05,1.3851292771085775e-05,1.3994235604723844e-05,1.3044044907274372e-05,1.4436935215498022e-05,1.5669899271740307e-05,1.3081203758845636e-05,1.513566811891823e-05,1.3766446987705948e-05,1.3338668196638537e-05,1.633181734307852e-05,1.2338441244556885e-05,1.7048217500814644e-05,1.3169519934308483e-05,1.0993982366352084e-05,1.3068529020337767e-05,1.3728552494285395e-05,1.4245916545724755e-05,1.2629902272465188e-05,1.4965755471605697e-05,1.4786285464651883e-05,1.5190481504264012e-05,1.5121852689284984e-05,1.5383403858019545e-05,1.2665806707445881e-05,1.4073339895860823e-05,1.6477154531457927e-05,1.4355414554427562e-05,1.4950862598859452e-05,9.25006463603495e-06,1.2970306949183953e-05,1.3431961747301102e-05,1.5931333564367378e-05,1.3906966354885039e-05,1.327597892163289e-05,1.387430778637421e-05,1.405196402023042e-05,1.458506834927492e-05,1.6313136640106945e-05,1.4583613138457369e-05,1.387823522236431e-05,1.2639559978803542e-05,1.1850266673718579e-05,1.6710901642606284e-05,1.3850663630624435e-05,1.2723323421100345e-05,1.4514701238762687e-05,1.3871231662080625e-05,1.4225120139599312e-05,1.3425304205004007e-05,1.1330053621350088e-05
20,1.9209766275404642e-05,1.911549049880166e-05,1.8988223473570542e-05,1.918559845272774e-05,1.9179849177702104e-05,1.9393478266595465e-05,1.9243234272571206e-05,1.9193882963008946e-05,1.9293835826322755e-05,1.9231868009228492e-05,1.9172597581299344e-05,1.923433562612389e-05,1.926224313413541e-05,1.924842981128622e-05,1.9230185010682735e-05,1.9355719359737122e-05,1.917181457212705e-05,1.9115821303301666e-05,1.936697221286262e-05,1.918498375744093e-05,1.9212458629716332e-05,1.930578329328065e-05,1.9199302575240532e-05,1.9320585912889025e-05,1.9219666639747585e-05,1.9097924814559518e-05,1.9190903032957125e-05,1.9187222316456125e-05,1.921387323390638e-05,1.9270337302699653e-05,1.9251133441381777e-05,1.9281901096781858e-05,1.913926581227525e-05,1.9247543826988874e-05,1.9406157257940828e-05,1.9160846639871515e-05,1.9286335492851275e-05,1.9244148544120517e-05,1.9171699351723677e-05,1.9040438132833515e-05,1.916140432253347e-05,1.9217800690193085e-05,1.9271962401035125e-05,1.919620226544794e-05,1.9100181050721165e-05,1.9207683190439924e-05,1.9122454276449778e-05,1.9170053076921152e-05,1.9287015675217845e-05,1.9169589779329695e-05,1.8992918558069505e-05,1.937081800530326e-05,1.9189465442300738e-05,1.922923517364931e-05,1.8842592180590145e-05,1.9218327368583472e-05,1.916552173497621e-05,1.9140969643244874e-05,1.9311329941212367e-05,1.8878369246522197e-05,1.9195962737793835e-05,1.918832208502863e-05,1.918568796099862e-05,1.930728623327533e-05,1.8929850486731288e-05,1.917967400424039e-05,1.9035850103440075e-05,1.908781249307707e-05,1.917962171555027e-05,1.9166227666737705e-05,1.92886855074903e-05,1.915795595171706e-05,1.9004116135571774e-05,1.9204018826712854e-05,1.923301143896034e-05,1.905419681956024e-05,1.9340756807650905e-05,1.916412519119237e-05,1.914053632390278e-05,1.9141754926428857e-05,1.9105314640910366e-05
30,8.007693007433166e-05,8.072841107302035e-05,7.94635610266899e-05,8.029995918220195e-05,8.002803113850871e-05,8.012912024111886e-05,8.011682040242087e-05,8.001941750990227e-05,8.045408082315462e-05,7.96349745542102e-05,8.015829973126889e-05,7.949065065429527e-05,8.074144980954853e-05,8.03578495282581e-05,8.037988822359373e-05,8.082279236987233e-05,7.967984007943112e-05,8.055217896773822e-05,8.058399310227417e-05,7.96943516858543e-05,8.078348283351471e-05,8.070453246286238e-05,8.064568770350888e-05,8.080115755243848e-05,8.058444562641579e-05,7.927720580482855e-05,8.070286205639281e-05,8.036128550277984e-05,8.073539390940877e-05,8.065226974130999e-05,7.988103015425926e-05,8.007470611258983e-05,8.033456623916909e-05,8.055149453689299e-05,8.055968404126664e-05,7.940827877713932e-05,8.002716659623394e-05,7.996402167588134e-05,8.007888680433361e-05,7.995383657544153e-05,7.903484116208606e-05,8.053261084801596e-05,8.054933005041676e-05,8.041427136049606e-05,7.986016326436871e-05,7.990227711975182e-05,7.960560687934049e-05,7.958963084220478e-05,8.034064899220539e-05,8.00784718790212e-05,7.981645467225462e-05,8.046947385247967e-05,8.018772020407666e-05,7.931635930920795e-05,7.777521605021321e-05,7.985178508905086e-05,7.963406824273989e-05,7.937014567593499e-05,8.047428259901194e-05,7.965194163261913e-05,8.018897251433803e-05,8.031001380004454e-05,8.006372566645344e-05,8.045476403952177e-05,7.96094158835735e-05,8.012514803200387e-05,8.018893374052519e-05,7.992716501742321e-05,7.97767669508984e-05,7.987306142584546e-05,8.126318021418733e-05,7.953808744787239e-05,8.052265184232965e-05,8.014109819972266e-05,7.949774797972558e-05,7.964241017539103e-05,8.101778387624239e-05,8.017798849792715e-05,8.038033956836443e-05,8.028158041239646e-05,7.999814479262569e-05
40,3.775554127059877e-05,3.784307436607951e-05,3.758433861852003e-05,3.787425146303856e-05,3.7823762784084255e-05,3.781875576740796e-05,3.758395647427308e-05,3.766508349431924e-05,3.778272753439938e-05,3.746177344510215e-05,3.788958655391463e-05,3.759773719547392e-05,3.7971587572070405e-05,3.776343135431296e-05,3.756716379190466e-05,3.762797481006904e-05,3.766391944823443e-05,3.788678915515436e-05,3.815954291245102e-05,3.752610539474214e-05,3.7864019451752446e-05,3.75903157094269e-05,3.8212880705638476e-05,3.7927688147950296e-05,3.7627944298687256e-05,3.751278054551221e-05,3.807282008628752e-05,3.780821498367004e-05,3.785654792890829e-05,3.769004468913115e-05,3.773802163777873e-05,3.7500413152604146e-05,3.795312162625263e-05,3.77886712291312e-05,3.769695346515315e-05,3.76807344244818e-05,3.7860597187414225e-05,3.7934459462783046e-05,3.7931798438679044e-05,3.7752385424028034e-05,3.862785472717535e-05,3.7994384640230835e-05,3.776646371989045e-05,3.770733019337058e-05,3.775200055219772e-05,3.8017837735089034e-05,3.785039734793827e-05,3.7756297068993085e-05,3.8122925502648286e-05,3.794663063735211e-05,3.824928353424184e-05,3.803255458478816e-05,3.778857445957748e-05,3.777951375620129e-05,3.785564767895266e-05,3.783359961187448e-05,3.8608886825386435e-05,3.739773405711809e-05,3.836324388182468e-05,3.7574027373921126e-05,3.7947497818799266e-05,3.7724424601037754e-05,3.797637752237885e-05,3.779802552474264e-05,3.806483103592958e-05,3.790169883779107e-05,3.816260262586487e-05,3.78068348596884e-05,3.795190382839387e-05,3.7975487413843425e-05,3.8014312546389796e-05,3.79008931001105e-05,3.813617028451214e-05,3.813881085079629e-05,3.778332809036199e-05,3.785332662957515e-05,3.7792828412161074e-05,3.7964428003995693e-05,3.754468025363167e-05,3.785822160092981e-05,3.7769259142805824e-05
50,4.2091637345341346e-05,4.371881563942966e-05,3.883196010671478e-05,3.933233615848272e-05,4.1173460920594776e-05,4.35899143797412e-05,4.4456698472664183e-05,4.2262749215488406e-05,4.2218643735579946e-05,4.2339720494055655e-05,3.9316754973023545e-05,4.292005568069206e-05,4.2597423475165144e-05,4.1572401669603124e-05,4.226035932387116e-05,4.414607171080812e-05,4.129907384118442e-05,3.936326711367126e-05,4.3908542076159005e-05,4.07744467035324e-05,4.026047242335223e-05,4.0838639506546315e-05,3.964924081325686e-05,4.157927814958384e-05,4.0441969701085266e-05,3.852443624055013e-05,3.995085535279941e-05,3.9940099024230825e-05,3.975716535933316e-05,3.8365354949717347e-05,4.228002711897716e-05,4.084390457137488e-05,3.9028109103338255e-05,4.2119906006186416e-05,4.269513414732905e-05,4.1147603496938245e-05,4.396747169123142e-05,4.015575359517243e-05,4.013942818719114e-05,4.036063614876184e-05,4.3232675255109954e-05,4.1999915741511594e-05,3.4475627217034344e-05,4.077868416061392e-05,4.291600443569845e-05,4.327963902860095e-05,4.228597234552061e-05,4.2749095021128214e-05,4.378482270794848e-05,4.0208179566904835e-05,3.760923864319921e-05,4.2503729094857014e-05,3.764232072941153e-05,4.1308834928107295e-05,4.003344220109284e-05,4.256677018521278e-05,3.8271755329333246e-05,4.112654077571592e-05,4.2658400078917936e-05,3.926909266738221e-05,4.344462540366196e-05,3.901724676325102e-05,3.896860835084226e-05,4.378360089114202e-05,3.762714050026261e-05,3.9302624393782864e-05,3.9136553823482245e-05,3.920561304708357e-05,4.0825573301440774e-05,4.234887593476152e-05,4.038763897066625e-05,4.0857221089633335e-05,3.9472112500031166e-05,3.8913306222336054e-05,4.1057209663059826e-05,4.1571883926948216e-05,3.981991111296728e-05,4.092060491471315e-05,4.5255565964907873e-05,3.891731581507356e-05,4.147268809902016e-05
60,0.00010576739655031512,0.00010193662806327834,0.0001049763492725712,0.00010492128058103845,0.00010640641764289688,0.00010725738580471702,0.00010468645069199885,0.0001056130811201384,0.0001054219118705538,0.00010656507993189734,0.00010456221386931124,0.0001055258079740808,0.00010535393525832191,0.00010444942866646063,0.00010570307024275226,0.00010443018951870424,0.00010473805949524311,0.00010512490313621001,0.00010610942263156176,0.00010497074642141039,0.00010571004901206694,0.00010585438979303165,0.00010614050959702582,0.0001067282481623503,0.00010691929076399122,0.00010734911338659004,0.00010576783390734494,0.00010556290499152965,0.00010611578729688464,0.00010485290887675458,0.00010728868781977022,0.00010514712658522722,0.00010578968445210754,0.00010532304573954629,0.00010596174130720708,0.000106870577708053,0.00010596094340910081,0.00010453873718771237,0.00010592005996128926,0.00010546769908614806,0.00010911283399244505,0.0001058403444055349,0.00010228216524410527,0.0001049493599566631,0.0001017715139345168,0.00010397758497243845,0.00010589195538029474,0.00010595905941476016,0.00010432718113406736,0.00010594561793148951,0.00010701605788199231,0.00010526272738140754,0.00010527550464478107,0.00010792439206852578,0.00010854311476578004,0.00010606054749995546,0.00011029486631741747,0.00010410135367018138,0.00010624680197162723,0.00010606207069940865,0.00010406333478718435,0.00010590350484562805,0.00010890688887836102,0.00010559469748321655,0.00010552369915078291,0.00010571915313798505,0.00010460208868607878,0.00010486370365959041,0.00010493936477157856,0.00010450081701803667,0.00010526152052787236,0.00010597527943900786,0.00010678107840552305,0.00010134098556591198,0.00010848137234071536,0.00010524423955108173,0.00010643572854210756,0.00010576280328677967,0.00010266741628583986,0.00010427497065637824,0.00010534668836044147
70,0.00010060798599927997,9.532523297282212e-05,0.0001093752404509966,0.00011115195084130392,0.00010369430260019542,0.00010103271779371426,9.852967911771679e-05,0.00010296825003981786,0.00010635541106170467,0.00010339983191443025,0.00010684876654938116,0.00010121619546838219,0.00010139580439444575,0.00010402891436542356,0.00010292210765114492,0.0001002387337697049,0.00010428083753920094,0.00010494040621848353,0.00010161702786198086,0.00010364652650120357,0.00010469381422108898,0.00010644407172679036,0.00010756761990099525,0.00010560906302998773,0.00010595990285750419,0.00011496889928821474,0.0001051308287470977,0.00010785014819703065,0.00010773756212609655,0.00010841686866291227,0.00010509830802523842,0.00010597751203861732,0.00010816247637334387,0.00010843645790506654,0.00010047700723387404,0.0001070336037238511,9.825827510212548e-05,0.00010364918390140784,0.00010783312933769145,0.00010507426486583427,0.00010557953334812607,0.00010345593901992617,0.00010797495542647084,0.0001001718090265058,9.931219813695766e-05,0.0001010993380699993,0.00010176533344617513,0.00010147412525073282,9.75221964836237e-05,0.00010473246847737003,0.0001029645121889189,0.00010416004740611903,0.00010831316467374563,0.0001055469516965483,0.0001096001455152873,0.0001014291875454008,0.0001221691600221675,0.00010400239211619543,9.95862904925492e-05,0.00010839005517482292,9.98849603591577e-05,0.0001032985164783895,0.00011142092262161896,9.941152114021991e-05,0.00011067905729254967,0.00010730468515808192,0.00010669424567216386,0.00010967244068974308,0.00010876647488826334,0.00010264823484593196,0.00010307953440739463,0.00010636632335566294,0.00011592255032155663,0.00010250949344481342,0.00010966214072790795,0.00010461632129071014,0.00010777978137152136,0.0001069774196718842,9.614875489205588e-05,0.0001089692154548037,9.979349415516481e-05
80,6.39897246825664e-05,6.390045112951796e-05,6.896796033591575e-05,6.966812669326409e-05,6.62937339636957e-05,6.449934828976569e-05,5.9719130266814556e-05,6.559357734658988e-05,7.008800793865024e-05,6.78161065934546e-05,6.960087216331302e-05,6.345336070659627e-05,6.584725898309526e-05,6.601209602332815e-05,6.299010659431053e-05,6.505202615395926e-05,6.43742673890388e-05,6.480314090068429e-05,6.63999150804427e-05,6.59893057794155e-05,6.703231802720648e-05,6.897905443890653e-05,6.581832635371635e-05,6.73655647309109e-05,6.507025971095862e-05,6.821162824053318e-05,6.979049225441074e-05,7.080590262376063e-05,7.0043248406899e-05,6.74954405234706e-05,6.616728807178636e-05,6.858988294530158e-05,6.755544032225422e-05,6.857365734481946e-05,6.363354704161693e-05,6.519887028844096e-05,6.296486964473795e-05,6.690009997162798e-05,6.821944078687208e-05,6.327560959107359e-05,6.84570477460511e-05,6.542845438432662e-05,6.971265975153074e-05,6.384124280884862e-05,6.268185844467218e-05,6.610113322446858e-05,6.511765511407118e-05,6.0906844003495696e-05,6.321616444893152e-05,6.517451135456715e-05,6.347043454297818e-05,6.996235639565963e-05,6.727987616054284e-05,6.550419251046453e-05,6.624521956837271e-05,6.614452293582204e-05,6.827705510659143e-05,6.17099673224308e-05,6.660417023919184e-05,6.800672963436227e-05,6.339715377356286e-05,6.238039077288704e-05,7.248053831669192e-05,6.232189168388556e-05,6.833562403901144e-05,6.675037063989574e-05,6.80277107070045e-05,6.584499198887047e-05,6.711419714351737e-05,6.423510375997966e-05,6.662905838715637e-05,6.357544104200012e-05,7.54058103969631e-05,7.111867247052335e-05,6.533289914451805e-05,6.563497772258887e-05,6.875357446136019e-05,6.676439196810187e-05,6.571059384441469e-05,7.236281750056533e-05,6.59233694022987e-05
90,2.2359494372115782e-05,2.195161781586379e-05,2.33627762706116e-05,2.1833070926592113e-05,2.231509882486661e-05,2.0567771311367062e-05,1.9916035178598136e-05,2.2189820547761262e-05,2.3457774429366913e-05,2.2642227690994332e-05,2.281220436145057e-05,2.1574399713189245e-05,2.341437732067072e-05,2.1874684479729638e-05,2.1128343648931202e-05,2.1657880779457628e-05,2.1533071698546076e-05,2.218160418262322e-05,2.340062097313681e-05,2.2595779785964017e-05,2.2680599319685896e-05,2.3082562815294034e-05,2.154307325933284e-05,2.219469733972801e-05,2.1564155513404995e-05,2.156805021513719e-05,2.3420669065437265e-05,2.342494508411619e-05,2.307576116222395e-05,2.226205214678738e-05,2.215381330946305e-05,2.280573307171625e-05,2.130154790882863e-05,2.2876699448516307e-05,2.1663977652982187e-05,2.15341203621782e-05,2.1071759300340138e-05,2.2423639165936038e-05,2.294568153102083e-05,2.1512478042495786e-05,2.302879277392224e-05,2.1769049898795587e-05,2.2822914161224617e-05,2.2095752956374782e-05,2.171070436337399e-05,2.1997256532669876e-05,2.2582689156739174e-05,2.026960704058997e-05,2.1967000179756724e-05,2.191186363547629e-05,2.106823703798e-05,2.2873131456435658e-05,2.1887734545508954e-05,2.1505386181767488e-05,2.1326387286535465e-05,2.192400279454887e-05,2.1262649170239456e-05,1.9892170492876804e-05,2.1870274808448315e-05,2.206349017797038e-05,2.1247489321369788e-05,2.068937465082854e-05,2.262429764717429e-05,2.1945649028306695e-05,2.1226397974613872e-05,2.2045046213091923e-05,2.2020658677017005e-05,2.187041965014707e-05,2.3376163830511763e-05,2.1270002180900264e-05,2.289943182000166e-05,2.0981852988673683e-05,2.4262220298017684e-05,2.2148079248533275e-05,2.0664340939090054e-05,2.193058048465286e-05,2.2552095937758816e-05,2.254369660330403e-05,2.149734382328461e-05,2.3591359468282616e-05,2.225383468612563e-05
