Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,2.334374121952957e-05,2.521563308416969e-05,2.7745020967510452e-05,2.5882887236478453e-05,2.368892814899217e-05,2.3369554583041463e-05,2.4080791321936095e-05,2.4046151482157018e-05,2.5583140857726235e-05,2.290538293436839e-05,2.3118513115745664e-05,2.3831260756307937e-05,2.7549768316076193e-05,2.3248511200962998e-05,2.4321782214375324e-05,2.7330851480655838e-05,2.678851702902258e-05,2.735734257459879e-05,2.3707652124877704e-05,2.4540989773716622e-05,2.1659811206448535e-05,2.9169722681997102e-05,2.49876539237448e-05,2.6236764976298826e-05,2.2209246390769885e-05,2.2781146799388808e-05,2.4688918411782417e-05,2.5987424976392504e-05,2.5950720266658156e-05,2.4216099899926883e-05,2.363965338493775e-05,2.4485079988013378e-05,2.6486259894926872e-05,2.6374741426524253e-05,2.434597510930164e-05,2.4842535058918918e-05,2.3350738142892768e-05,2.3167724562385544e-05,2.522549791784371e-05,2.3084231600023486e-05,2.9422721906615023e-05,2.4381274534847606e-05,2.433084455333301e-05,2.1563947484537493e-05,2.9490139623751594e-05,2.529365124485737e-05,2.5787882090558662e-05,2.5502114001204046e-05,2.7257207790398752e-05,2.301416178193778e-05,2.6286295178579166e-05,2.163355359450427e-05,2.5365544199583104e-05,2.27441739752976e-05,2.9832297332177405e-05,2.4471270303272793e-05,2.305503312527435e-05,2.7344181474071428e-05,2.2598681508415293e-05,2.0781934836122673e-05,2.3384673123248548e-05,3.3307105923086056e-05,3.0147562332179707e-05,2.4544507791038734e-05,2.4468018258024433e-05,2.188320592652487e-05,2.4223570289905182e-05,2.3498810405335365e-05,2.3602907377709118e-05,2.396651067298277e-05,2.4045764196974535e-05,2.3625040284969145e-05,2.0526984371826984e-05,2.1572478848005023e-05,2.2632202282173758e-05,2.2084000807194275e-05,2.3726058381206322e-05,2.532277961754223e-05,2.5242007495762664e-05,2.3608533280951504e-05,2.663896120793652e-05
10,2.3340702913022445e-05,2.5211992040028605e-05,2.7739128957667465e-05,2.588108905351524e-05,2.368609676534705e-05,2.3366339779126326e-05,2.4076686948378225e-05,2.4041528496653835e-05,2.5578471995456162e-05,2.2905040850673686e-05,2.3115167365446082e-05,2.3828708491441367e-05,2.754884189926088e-05,2.3244240889074387e-05,2.431673412288279e-05,2.7325485840871504e-05,2.6784880089638007e-05,2.7353253428856667e-05,2.3705318296509047e-05,2.4538362728587043e-05,2.165609000188012e-05,2.916663899148781e-05,2.4984829239353226e-05,2.6231759663157087e-05,2.2206938944965792e-05,2.2781549887440633e-05,2.4685130293003185e-05,2.5984467204883305e-05,2.5945963759167012e-05,2.4213548092502018e-05,2.3636725478960823e-05,2.448482679868063e-05,2.648383500714912e-05,2.6372824289332707e-05,2.434226209718165e-05,2.4841821365433653e-05,2.3347890706454084e-05,2.3165993215198714e-05,2.522281175263644e-05,2.3081239874045423e-05,2.941921359576684e-05,2.4377206374722054e-05,2.4325666799995815e-05,2.156288273909013e-05,2.9486355838583366e-05,2.5289591413686715e-05,2.5786315005201946e-05,2.5499456090696376e-05,2.725469647657519e-05,2.301109978769342e-05,2.6282618091499898e-05,2.1633254205384716e-05,2.536476656762086e-05,2.274464554830047e-05,2.982659625558881e-05,2.4468304069827985e-05,2.3048556613503024e-05,2.734079391992619e-05,2.2594036636292003e-05,2.0779149053851143e-05,2.338143795279921e-05,3.330282584101951e-05,3.0139000045892317e-05,2.4542254193095558e-05,2.4465438349984146e-05,2.1880281103501777e-05,2.4222683047507115e-05,2.349662668899738e-05,2.360048046688866e-05,2.3963946754159774e-05,2.4043230951065198e-05,2.3623215687014938e-05,2.0524964687259246e-05,2.1572760791362573e-05,2.2630702005699277e-05,2.2082723510472782e-05,2.3724437596683856e-05,2.531999597698403e-05,2.5242975880246377e-05,2.3606279239725192e-05,2.663727527760784e-05
20,2.7191725457669236e-05,2.7259670012561536e-05,2.727231503740768e-05,2.734548870648723e-05,2.715866114296567e-05,2.7494440863457775e-05,2.724761282391433e-05,2.729244385447696e-05,2.7324197974307993e-05,2.719706628795393e-05,2.7193004926731293e-05,2.7227441766014207e-05,2.7321558346474458e-05,2.7268112358852346e-05,2.7236209280090407e-05,2.723665860078957e-05,2.7321330651916686e-05,2.733748889240124e-05,2.726469587547139e-05,2.7295166413144517e-05,2.7066309205390728e-05,2.7365245484491296e-05,2.7182673123509932e-05,2.726973428555842e-05,2.713768616746483e-05,2.717928000492975e-05,2.716701704142202e-05,2.7313200310648728e-05,2.73215593658867e-05,2.7244370563318127e-05,2.725133274604256e-05,2.7372162968766552e-05,2.7201005965392913e-05,2.7230993465509086e-05,2.7380511609307076e-05,2.7179115769675783e-05,2.7204412426248093e-05,2.7096321487492375e-05,2.7198184178847574e-05,2.7197966801395523e-05,2.7101224467125057e-05,2.721995586282301e-05,2.721071996347746e-05,2.7245857927482577e-05,2.7299128736271278e-05,2.7252483318749768e-05,2.721284311389484e-05,2.7365590779625466e-05,2.722294846080331e-05,2.721887651581522e-05,2.7277813205728308e-05,2.72000835883029e-05,2.7219940770569687e-05,2.725425792959868e-05,2.7345556918589865e-05,2.7259148533185183e-05,2.722703811741667e-05,2.7318277653680055e-05,2.7301213942171838e-05,2.7049613436247455e-05,2.7184943035301273e-05,2.7466945084597683e-05,2.735723561878937e-05,2.717731539243167e-05,2.7253948398235178e-05,2.7150895011100845e-05,2.7193226803016538e-05,2.7247111438066317e-05,2.7157994130296476e-05,2.7189587526335925e-05,2.7307293445725616e-05,2.7059093554271385e-05,2.7263509158122663e-05,2.7158165418465312e-05,2.7176699014879497e-05,2.712585067799067e-05,2.7262895465745324e-05,2.7291091922257515e-05,2.7090847652289085e-05,2.7229387770228856e-05,2.7285255055176093e-05
30,0.00012098714961515119,0.00012045932332209001,0.00012136507393734064,0.00012082786997780204,0.0001209288913995334,0.00012192949985287019,0.0001211391124431224,0.0001212370526972288,0.0001210446054664075,0.00012127810123274685,0.0001207859028830699,0.00012154285784107538,0.00012046957007524642,0.00012096626828265885,0.0001208937240709715,0.00012080063455262764,0.00012138740939484532,0.00012041625689827142,0.00012094065199822321,0.00012129762161445494,0.00012034728838793504,0.00012104846895713958,0.00012024061880462492,0.00012045952050054136,0.00012035741706818549,0.00012167778477305547,0.00012021142585229339,0.0001209322128185401,0.00012070011374924113,0.00012062291622691367,0.0001213547457397605,0.00012136613916551981,0.00012051558797583521,0.00012096868433617624,0.00012114073009191391,0.0001212822954974919,0.00012130304735604256,0.00012097661568656225,0.00012098573397561705,0.00012068730256942217,0.00012176835921958887,0.00012071932894499735,0.00012095341298845597,0.00012078972649760544,0.00012105083825238245,0.00012122295256152651,0.00012134933120770646,0.00012157233472782791,0.00012081680142728146,0.00012100037032535605,0.00012078535801265388,0.00012115894589276815,0.00012075977059654319,0.00012171986600151286,0.0001223168226715643,0.00012110078253555207,0.00012089998563169502,0.00012163874057948525,0.00012093507195293734,0.00012072257959516719,0.00012092352761844453,0.0001207967143272981,0.00012098977943727125,0.00012121834983450494,0.0001208650068696847,0.00012074451671931176,0.00012086157803423703,0.00012108002400015711,0.00012091078598233353,0.00012113719223946048,0.00012038431790036459,0.00012113403984888767,0.00012038080361283694,0.000121241018253689,0.00012111394919754405,0.00012120978414253392,0.00012068930612128627,0.00012079833616172113,0.00012079698171874043,0.00012067124863133664,0.00012078518338967114
40,0.00021047394645089905,0.0002102521253551391,0.00020967597811250016,0.00020927062208871716,0.00021011218402086746,0.00021386941911519637,0.00021261596444791423,0.00021140439409799385,0.0002112500380600885,0.00021125481907802168,0.0002095140629939528,0.000212375322304552,0.00020973304741677236,0.00021068880023173705,0.0002108211791731746,0.0002111902467731852,0.00021066566287550987,0.00020840293429408787,0.0002113064427768612,0.00021093706134706736,0.00020856620439399894,0.00021019002036025216,0.00020848269011670102,0.00021002931462135165,0.00020843191328273703,0.00020988844917155803,0.00020927860168740153,0.00021051897480598805,0.00020884794203619307,0.00020802260241321017,0.00021196580569570264,0.00021067405144164624,0.00020903992565133824,0.00021060643094398718,0.00021089505430104004,0.00021010442651459016,0.00021224253731289586,0.00020961789943447167,0.00020992389146563969,0.00020875289828836685,0.00021219370994783406,0.00021074807699868813,0.00020846287043241318,0.0002099541379720904,0.00021223034357382474,0.00021246442200591493,0.0002109041391772085,0.0002123155066153247,0.0002112829379257164,0.0002101160514876969,0.0002080812759231776,0.000211364663714035,0.00020809448279368763,0.00021181587362661958,0.00021125665953150019,0.00021106407832715432,0.00020729291281895712,0.00021069566418159883,0.0002123911452310329,0.00020883580873487517,0.00021123574587882004,0.0002085024243569933,0.000208054538234137,0.00021122250057357763,0.00020838228293642815,0.00020971402655749652,0.00020958256306281934,0.00020899482291086667,0.0002094566221381279,0.0002114380285592733,0.00021027040363858559,0.00021001079342871284,0.0002090549727048104,0.00021001906134188175,0.00021132686483075043,0.00021137092481730144,0.00020893892880329595,0.00020972138701190782,0.00021264815040922258,0.0002090002131548577,0.00020910880120936782
50,0.00013403270965985334,0.0001369187876763236,0.00012577798103545015,0.0001267373171196176,0.00013053917045678496,0.00014066427788098475,0.00013754614513844342,0.0001328785694663805,0.0001342848662244262,0.00013326435600902187,0.00012584374080351727,0.00013545362637568342,0.00013558412738899332,0.0001324775911405485,0.00013467850795303307,0.00013830407594165686,0.00013107757045613004,0.00012733472516329936,0.00013712322626296164,0.00013075971694585556,0.00012837707618018612,0.00013102333351915668,0.00012804519123164936,0.00013248860438276703,0.00012768809762155075,0.00012523941550171002,0.00013007882854811127,0.0001282883140447666,0.00012659630738198757,0.0001229384180342388,0.00013387923342331003,0.00012924434849992394,0.00012760890324268705,0.0001310109432890341,0.0001356237601915685,0.00012982433509023394,0.00013728539038550624,0.00012824512139724737,0.0001291698914341045,0.0001276223520108033,0.00013765901219033237,0.00013350865435526467,0.00011278966667305212,0.00013272943106130698,0.00013623816285919594,0.00013750530733408307,0.00013302880782118466,0.00013502589966887362,0.00013755905160905968,0.00012810125052306704,0.0001260662858840078,0.00013445354852592573,0.00012036727941729343,0.0001332749828482823,0.00012931776436744257,0.00013467865640877234,0.0001217897079186514,0.00012911589322451116,0.00013747593435585838,0.00012619288645510096,0.0001348400228282547,0.00012806812355847796,0.00012524096867612874,0.00013887855415565094,0.00012372905338351201,0.00012607767286961183,0.00012636782388047624,0.0001247600247483871,0.00012884965575789533,0.00013449797506427376,0.0001322396500553522,0.00013020622160790177,0.0001278457129956223,0.00012184468626704377,0.0001279033416981942,0.0001326823070745117,0.00012820130931296653,0.0001304587840422755,0.00013848139406036353,0.0001245167840344581,0.00013019342732150107
60,0.00030706323605651656,0.0002788785900015177,0.0003408191356963168,0.0003306938158437753,0.000315929611605486,0.00033038675402557213,0.0002888061881681243,0.0003113106741741496,0.0003178880568019032,0.00032703384931664914,0.0003280907845624757,0.0003159008753885116,0.00030709877098684734,0.0003161386848660186,0.00032054281618911775,0.0003068575661018258,0.00031921535593851117,0.0003213214262866097,0.0003037182229620937,0.0003225457026079918,0.0003215467463283298,0.00032955032552958334,0.00033589786461864907,0.00032155128525725255,0.0003284504637122154,0.00034209194709546866,0.00032357255751717717,0.0003368575316926581,0.00032271921603858254,0.00032874317173170106,0.000324575950896057,0.0003296697440628822,0.0003347169045949928,0.0003214773484903229,0.00030771199898380373,0.0003289414905469,0.0003027445663495823,0.00030918402957137334,0.0003250899664350752,0.0003160753312840825,0.0003283614434102284,0.00032181431851448846,0.0003307774350105319,0.0003171616612235084,0.0002949996855214091,0.0002994887996464968,0.00031179197436098806,0.00032282785705000717,0.00029130937218724284,0.00032140904471001204,0.0003443385357968509,0.0003091582832646302,0.00032877805933821945,0.0003228180600369039,0.0003315441383165307,0.0003069418509804397,0.00036513403756543994,0.00031087620500956886,0.00032495876075699925,0.00032242360612144694,0.0002923982624109754,0.0003117578417004552,0.0003356288652867079,0.0003079946119604366,0.00032601578439223685,0.0003266258389115907,0.0003188908158335835,0.0003236475009759087,0.0003107472029687078,0.0002973435094227662,0.00032224866380501125,0.0003325356713806589,0.00033298274502158165,0.0002888622523945135,0.0003293923426619066,0.00032459595826508887,0.00033324712005976053,0.00032142086791047347,0.0002674856204976095,0.00032202700253756045,0.00031349843484349547
70,0.0003686600865330547,0.0003403466306971731,0.00039354008428441983,0.0004037159906986814,0.00035749485309506895,0.0003963177524773138,0.0003592782116855585,0.0003653869314707424,0.0003720606143786749,0.0003738527957466431,0.0003751037760212282,0.0003624039943263467,0.0003656044030900706,0.00037199029104544246,0.0003815125643193503,0.0003780461447604466,0.00036974484447412016,0.0003644910757429898,0.00036550031862654056,0.00037166906869970265,0.00036271668415373336,0.0003807589200732764,0.000379941751404355,0.00038540298022174586,0.0003759352058830065,0.00039655553991906344,0.0003704749026163031,0.00038716794430608087,0.00037387454717913095,0.0003667053712096306,0.0003818418182587872,0.00037183459230268805,0.00037735848980866227,0.000380689300960157,0.00037126300028628774,0.0003828954644892032,0.00036289219209912087,0.00034577745034105396,0.00037754680302151173,0.0003695339364639949,0.0003918433961059366,0.00037563513646130155,0.00035430763091426343,0.0003639955160906538,0.0003629129787441343,0.0003652942434296404,0.00036563414614647626,0.00038651500168877345,0.00036151079621049576,0.00037704919492986437,0.0003875798312947154,0.00036376526589844036,0.00036926851854122316,0.0003868724403825278,0.0004025945643661544,0.00036282634733206763,0.0004094510804861784,0.00037383558308898377,0.000373871938791126,0.0003680666850414127,0.0003657408330279092,0.00037805640749866143,0.0003975368842172126,0.0003693286978107478,0.00038350850485989615,0.000370791040880319,0.0003651550291882207,0.0003727617666065212,0.00037169117799580646,0.0003668595947585329,0.0003665104514867481,0.00037413892763045925,0.00038442159226785105,0.0003350201004650444,0.00040977362992375026,0.00037308512467213654,0.0003806466847890988,0.0003712513369523109,0.0003337946254760027,0.00036987557394837004,0.00034857275313697754
80,0.0005097727221436798,0.0005003655527683872,0.0005025631059349204,0.0005079788621515036,0.0004890069750114049,0.0005553771209503923,0.0005110025531687443,0.0004983207568569158,0.000507973488921276,0.0005074112214060733,0.0004964167457706306,0.0004958980793979171,0.0005051530941714053,0.0005076944066924184,0.00050853454569519,0.0005288809467553316,0.000492676651490564,0.00048691889380187363,0.0005010848908568732,0.0005017419811338186,0.0004926268342667474,0.0005132468733271318,0.0004861831959957878,0.0005200084793614224,0.00050727186571171,0.0005028349347412586,0.00047501994835798657,0.000491152598139403,0.0004868212789434063,0.0004931251413279003,0.0005121460871305316,0.0004926161804737953,0.0005022524408279703,0.0004967583443475432,0.0005049920323977454,0.0005012420338711568,0.0005078199177851753,0.0004530287326567552,0.0004995673511272678,0.0004753741122840438,0.0005183819032806371,0.0005180705019812833,0.00045448973469319753,0.0004987854976207018,0.0005013074949506278,0.0004990281322725901,0.00047890380249425234,0.0005223846508255392,0.0005130991003170493,0.0005059435741337627,0.0005041253636591137,0.0005002175563607703,0.0004977720218728511,0.000520663937398543,0.000498757409513928,0.0004985497216694057,0.0005010454187868163,0.0005118185764676409,0.0005249081401747059,0.0004559533845167607,0.0005065334303009134,0.0005062460513727274,0.0004958797265620282,0.0005137466983537056,0.0005172066165768127,0.000494972363454648,0.0004972994948426883,0.000496351444575515,0.00048663987345881415,0.0005105048258629468,0.0004923294699336919,0.0005053759814472869,0.0005143426630335549,0.0004354546157022317,0.0005155581290767129,0.0005069716739794845,0.0005189567538244384,0.0004920119256806379,0.00046745167855988257,0.0004821115524601974,0.00047897889744490384
90,0.0005368267251954725,0.000521265960910737,0.0005315062856728522,0.0005310725649066556,0.0005182425515089608,0.0005538810011265534,0.0005252473023457212,0.0005310778816285739,0.0005379635925387044,0.0005501709856616799,0.0005327593808257837,0.0005224627051835082,0.000533849506279115,0.0005369942637943578,0.0005345727104748435,0.0005434426808884988,0.0005225853092269972,0.0005268988411732112,0.0005197011736787058,0.0005352462824278822,0.000524628574315172,0.0005462749665769349,0.0005274535533195982,0.0005429960864906509,0.0005268767145314505,0.0005464299232698977,0.000528687561933522,0.0005257228919314608,0.0005222312167889494,0.0005253204135149117,0.0005348874760481219,0.0005277624586597085,0.0005351272870589477,0.0005293225819137083,0.0005363875211009549,0.0005264070995118735,0.0005252814838681125,0.0005085512609432706,0.0005274936413050192,0.0005201878448133357,0.0005401140827286456,0.0005392413128147576,0.0005088662583148107,0.0005327229911927134,0.0005342379858790848,0.0005301745718737182,0.0005185925755150882,0.0005397936773461927,0.0005427685155154904,0.0005318441348961266,0.00055349578615278,0.0005339411489496177,0.0005227479183724006,0.0005427328481649359,0.0005176683102035895,0.0005257633705956063,0.000551294069737196,0.0005249233438697612,0.0005397744561460885,0.0005187367059988901,0.0005259882544182361,0.0005298712785588577,0.0005284920237803211,0.0005337926475996417,0.0005396950566339203,0.0005289918752028965,0.0005279925341407458,0.0005289165159782535,0.0005284460699099496,0.0005327428034024297,0.0005237590456898841,0.0005311781424097717,0.0005294108608116707,0.0005114964830378691,0.0005321571287432951,0.0005380304748730661,0.0005417824473365077,0.0005298235435827425,0.0004992820722691249,0.0005226405988009099,0.0005199557752348482
