Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,1.938104060779248e-05,1.9747872843085873e-05,1.7585113710083533e-05,1.860118407841163e-05,2.151454104990345e-05,2.4526025819276193e-05,1.595306052730584e-05,1.977510559850328e-05,1.9460892866546496e-05,1.9903405473087332e-05,1.9837923317049618e-05,1.981984225531793e-05,2.0461759352959536e-05,1.9165689881254256e-05,1.900044497982462e-05,2.187753144274514e-05,2.072599116737755e-05,1.876686437293457e-05,2.0625996447571587e-05,1.8949545058906854e-05,2.018973164712616e-05,1.9038380238660985e-05,1.8100519519066438e-05,2.0132850143757725e-05,1.8577573788957484e-05,1.8753522272163537e-05,1.9722462800399947e-05,2.1367236001879064e-05,1.830904509594856e-05,1.9036706553085806e-05,1.902216325106565e-05,1.7709146574746297e-05,1.7689771574133865e-05,2.0769143092610003e-05,1.7430701013331094e-05,1.848098700715387e-05,2.0513786454868848e-05,1.8093969629262574e-05,1.9739129754040722e-05,1.6748632305052524e-05,1.6321480091262076e-05,1.986364342419039e-05,1.8441146153236332e-05,1.7242487592739054e-05,2.112395826483599e-05,2.096472818314061e-05,1.9969015933643925e-05,1.930355801960104e-05,1.9095934305823903e-05,1.8703685406041494e-05,1.925489923451096e-05,1.896159805751681e-05,1.771743219041337e-05,1.9304247416584985e-05,2.2070306022214937e-05,1.750337920310237e-05,2.1318031031114515e-05,1.9542644246218422e-05,1.8257002259567592e-05,2.3356832343779388e-05,2.150790094928716e-05,2.0419544398464495e-05,1.814529650800978e-05,1.8140561743556255e-05,1.861398931800472e-05,1.9481987034781082e-05,1.8517387252359187e-05,1.8931294303050675e-05,1.636172084915786e-05,1.921460609885692e-05,2.00069741064605e-05,2.2231605119789794e-05,1.6490291576095235e-05,1.9709571309552604e-05,1.7273535896882614e-05,1.822247694300521e-05,2.0080903401061994e-05,2.0258533375512812e-05,1.7699814179650275e-05,1.8599292299095853e-05,1.9204734508093678e-05
10,1.9376120308152166e-05,1.9741300497520973e-05,1.7581827554143576e-05,1.8596385920178504e-05,2.1510271306143766e-05,2.4518269908315104e-05,1.5946957759179866e-05,1.976760472045594e-05,1.945442539791553e-05,1.9899102539966407e-05,1.9832234315406734e-05,1.9814043224293845e-05,2.0456762864672452e-05,1.91601213483602e-05,1.899271330116522e-05,2.1868677871831704e-05,2.072170385266266e-05,1.8761223940071177e-05,2.0622153929902458e-05,1.894365542587669e-05,2.018404709535669e-05,1.9032803801824878e-05,1.8096600518523093e-05,2.0124094074465878e-05,1.857045596793002e-05,1.8751511925074736e-05,1.9716722905990713e-05,2.1363381070689986e-05,1.8304496242147732e-05,1.903067541500223e-05,1.9016437254322226e-05,1.7703662776441957e-05,1.7685208586744222e-05,2.0761970684295038e-05,1.7425808083418007e-05,1.847648824033448e-05,2.0508152637806854e-05,1.80893528687937e-05,1.9734990194384486e-05,1.674396264661482e-05,1.631932965600364e-05,1.985749404024744e-05,1.843465759066021e-05,1.7238215241377476e-05,2.111433250798942e-05,2.0959008294372134e-05,1.996340428637008e-05,1.9298045185279445e-05,1.90900829295515e-05,1.86987132533902e-05,1.925220785778947e-05,1.8958574897128116e-05,1.7712787617850923e-05,1.929776575101035e-05,2.20686367356393e-05,1.749910003053053e-05,2.1310021111276e-05,1.9538429490960972e-05,1.8250744026524693e-05,2.3347192836808972e-05,2.1501291397022038e-05,2.0417672089934058e-05,1.8141258806281257e-05,1.813243216020055e-05,1.861024063348143e-05,1.9476909605705608e-05,1.8511703516802905e-05,1.8925765572774215e-05,1.635796456866956e-05,1.9209698014795624e-05,1.9998910021159747e-05,2.222493367298739e-05,1.648888307196709e-05,1.9708156590543997e-05,1.7270086053550976e-05,1.8216092975272693e-05,2.0075159747128574e-05,2.025363911314109e-05,1.7691238667794096e-05,1.8593083415694043e-05,1.9197975507267984e-05
20,4.572729415182645e-05,4.5828573800261234e-05,4.58079681872429e-05,4.6043137710792225e-05,4.597830056924597e-05,4.515170491816077e-05,4.5507288779199667e-05,4.5780420853253944e-05,4.567579576993196e-05,4.605430217452522e-05,4.5926182747841525e-05,4.572915639407572e-05,4.599947671081419e-05,4.565048182099197e-05,4.579362105098827e-05,4.5535869048762834e-05,4.588609170328016e-05,4.592136339184274e-05,4.5770628795643074e-05,4.58549105678685e-05,4.572423024980638e-05,4.562896544614757e-05,4.582810511540932e-05,4.586676695907954e-05,4.588260500375847e-05,4.5722141658188774e-05,4.593620425082683e-05,4.570783880808449e-05,4.5796689450713426e-05,4.615351187361915e-05,4.5741741438784325e-05,4.5955115078518596e-05,4.596468667072119e-05,4.578243387208559e-05,4.5297828465764825e-05,4.626322229991534e-05,4.58127605701233e-05,4.58925096609164e-05,4.602243170227732e-05,4.630618468581815e-05,4.549895415298774e-05,4.577447586424123e-05,4.6202387238736264e-05,4.581799694278743e-05,4.5832794536468815e-05,4.601018494883503e-05,4.592040095303673e-05,4.583235986182556e-05,4.5461746935870906e-05,4.583989972035914e-05,4.647559835575521e-05,4.553099444654601e-05,4.6070711967051745e-05,4.54900673503289e-05,4.667716166295577e-05,4.5732232639257205e-05,4.686006286647171e-05,4.6070548705756664e-05,4.555872179811228e-05,4.572780835587764e-05,4.591734109600375e-05,4.6613097310910234e-05,4.615489463806929e-05,4.5544093674314876e-05,4.6268909298103405e-05,4.600963388489058e-05,4.575983936471554e-05,4.6014090130288375e-05,4.609809275279986e-05,4.592868106818322e-05,4.5961694720770334e-05,4.618745151674375e-05,4.565485141938552e-05,4.580383271483394e-05,4.5354243151710504e-05,4.558992696292517e-05,4.5565937658206425e-05,4.620981722367897e-05,4.5898457756266e-05,4.595770502312328e-05,4.629008544725366e-05
30,0.00015960764818980048,0.00016048032342007868,0.00016057660589770725,0.00016085970072219006,0.00016016664578066549,0.0001576631101280717,0.00015881519380678993,0.00015957471834170925,0.00015966650216451175,0.0001591050267961691,0.00016027508482457725,0.0001590820632242997,0.0001611238778533527,0.00015951998405701792,0.00015991437557043837,0.00015899712161626667,0.0001602781639597933,0.00016083494561895304,0.00016016598185940114,0.00015953840707273533,0.00016032964340411126,0.0001595716109607435,0.00016105188192644466,0.0001602909076609649,0.00016088688737779324,0.00015923827304504813,0.00016069564158134462,0.00015988798774439297,0.00016072237939464257,0.00016116779818642704,0.00015914164095496137,0.00015970107331388415,0.00016071137472933444,0.0001602019085733379,0.00015955520454250896,0.0001605197438558597,0.00015951730720668197,0.00015961293221070346,0.00016041026424044316,0.0001613368322068709,0.00015937693491910717,0.00015995830781708294,0.00016105026224977337,0.00015982553304638714,0.00015960204626409044,0.00015960190319578703,0.00016022585290816746,0.0001594650759790583,0.0001596217070982675,0.00016018758770800997,0.00016077851178124546,0.00015897895553445613,0.00016075937209489684,0.00015912150289902152,0.00016075118619482965,0.00015943733100988428,0.00016237469390034676,0.00015972068449000604,0.0001589581343895671,0.00016107081319205463,0.00016011107025758152,0.00016268263243546244,0.00016144811525009573,0.00015956416817581548,0.0001612246002575072,0.00016023624809279751,0.00015966711313618968,0.00016086369766027576,0.0001605542375829019,0.00015990755786628438,0.0001603803587689375,0.0001600327183647702,0.00016096432712705186,0.00016004139615688473,0.00015832918247074952,0.00015884475474844554,0.00016036327204866602,0.00016119013255980286,0.00016004521421564277,0.00016055572773095126,0.00016103523230412975
40,0.0001014369412829789,0.0001016102175560297,0.00010226170403863459,0.00010229598097234534,0.00010164448205982865,0.00010068436573159747,0.00010051835441469936,0.00010116175642332037,0.00010116428460651726,0.00010099193241330795,0.00010194208907368766,0.00010109626853182836,0.00010255129922315422,0.00010135436296519457,0.00010121510208324146,0.00010055019993160386,0.00010194464171252635,0.00010225584099063343,0.00010205310510562933,0.00010137400880921632,0.00010171702709228087,0.0001010279220281518,0.00010285717978452643,0.00010171894828090445,0.00010177204159036692,0.00010147070861421525,0.00010227182663642921,0.00010135016009371611,0.00010188461413182428,0.00010217681553894504,0.00010112672937490667,0.00010143865969999191,0.0001025027419158365,0.00010130569042791271,0.000100986793566133,0.00010252063215635385,0.00010128704582855694,0.00010216792857549576,0.0001021902189458193,0.00010283195979354787,0.00010259394912282005,0.00010171023840233287,0.0001020770851027919,0.00010177842996199616,0.00010137170772252016,0.00010157843207707629,0.00010185297474630975,0.00010156087342980562,0.00010170157452193962,0.00010199140907106681,0.00010344329348299652,0.00010147749840557067,0.00010231193339747664,0.00010151352156147671,0.00010350003722123802,0.00010157792742259572,0.00010486963219591416,0.00010146653271633489,0.00010142595684473318,0.00010189247223024722,0.00010192812381622691,0.00010329448105039774,0.00010313783423043787,0.00010132023037710627,0.00010345063714743851,0.00010200477364168574,0.00010208917471269767,0.00010258028260557361,0.00010235312415547755,0.00010200150525732268,0.0001017695491706642,0.0001023621516651474,0.00010217846526453893,0.00010218402652147536,0.00010055440153727042,0.00010116676474519244,0.00010181215683197869,0.00010263930427402468,0.0001008452454698272,0.0001020502533735277,0.0001025446028506849
50,0.00010904342071929326,0.00011116813213987,0.00010560012075681395,0.00010306777504201118,0.00010686374851134076,0.000107606324101133,0.000113453821541043,0.0001096112148508454,0.00010808648746401732,0.00010846002896869322,0.00010562845919695165,0.0001106103169446697,0.00010860256125769493,0.00010714018483695602,0.00010853387100402924,0.0001109855202230392,0.00010821746253073105,0.0001035798118152078,0.0001103767169427426,0.00010809215561797221,0.00010621351942133446,0.00010726949247847577,0.00010328259823533396,0.00010713100394544502,0.00010824259874107878,0.00010506671824259684,0.00010357529730930353,0.0001048350503272862,0.0001058021276976968,0.00010613658730196016,0.00010887089039897546,0.0001099438069594236,0.00010249838347730334,0.00010988914170699967,0.00010875133618052739,0.00010926363497024536,0.00010985452517113452,0.00010437579608564688,0.0001050528492680358,0.0001087046898646804,0.00010658151794424546,0.00010700379456504883,0.00010186928830080433,0.0001050632243277505,0.00010954839442427711,0.0001094229360827931,0.00010895327764696309,0.0001099137494237399,0.00010988446797455254,0.000105712432020388,9.689188445918261e-05,0.00010692186135036701,0.0001052265397447627,0.00010584416789545988,0.00010478765980224126,0.00010807408888263589,0.00010249104889226146,0.00010981186265968878,0.00010535582656633447,0.00010836764340638183,0.00011277025263826613,0.00010531585303397151,0.00010074442373782706,0.00010965222567652486,0.000100850613509667,0.00010353191307960794,0.00010444911846813435,0.00010763667117033194,0.00010667377837644717,0.0001072619651913064,0.00010223606578721147,0.00010792860242266518,0.0001015592206385918,0.00010487055139189276,0.00010623052990662732,0.0001080542901650301,0.00010438754231602485,0.00010699234389316951,0.00011688934318954125,0.00010561064448688931,0.00010943778543150983
60,0.0003190028469543904,0.0003127126115874422,0.00029332465298163396,0.0002906906349100889,0.0003090809610351048,0.00031902191611672085,0.00032063225291729453,0.0003132200122069518,0.00030676793908299523,0.0003087881104875123,0.0002982025729983838,0.00031036762841406984,0.00031149332415114975,0.0003082738458584627,0.00031055015210500534,0.00031429127193405293,0.0003039232826614309,0.00030343434102892217,0.00031188986135280823,0.00030891327517262347,0.0003020408164817267,0.00030542305051182794,0.00029557729062313834,0.00030549413543970634,0.00030389336068996245,0.0002920284925494343,0.0003016128821106958,0.00029749071594172466,0.0003033993373666068,0.00029927836059810475,0.00030767772695980964,0.00030175444464055967,0.0002958039860039627,0.0003023706885869615,0.00031427701469510794,0.000303182720017503,0.0003164544208342896,0.00030284691258037293,0.00029765227276562565,0.0003063112435484072,0.0003086454359748002,0.0003100668118543368,0.0002851389581337571,0.0003054667147807777,0.000314882571968299,0.0003142426663544029,0.0003108924227750062,0.00030966510071027046,0.00031291528466681484,0.0003026886109276755,0.0003013288544025272,0.00031060868323865264,0.0002946853428371609,0.0003104046093843256,0.0002977797877974808,0.00030911219786206376,0.0002831205929396674,0.0003073370838858958,0.00031397815539755606,0.00029969341994728893,0.0003193529452302403,0.0003176981153956149,0.00029275564884301275,0.00031585765620028336,0.00030066096304734755,0.000296526735361952,0.0003041205646392579,0.00029861630658463884,0.00030429867587776645,0.00031145304144645396,0.00030804915715836815,0.0003013199263174708,0.0002941694886734088,0.00028368747734930366,0.00030204282042437365,0.0003074020653427881,0.000301693963202914,0.00030120741470337603,0.00032810944321681745,0.00029733326768369546,0.0003020386560820043
70,0.0008406898441414038,0.000813795939191348,0.0008157796207039306,0.00080681058148352,0.0008129880261088756,0.0008635115227662027,0.0008443663499483298,0.0008172713102172374,0.0008115376068774281,0.000839019296108745,0.0008004055758018369,0.0008178836290667555,0.0008289520734582435,0.0008181025773272709,0.0008340938489281518,0.0008444226186838932,0.0008101530128485701,0.0007984363179229483,0.0008100589828765285,0.0008223974378779531,0.0008164568750474316,0.0008143047879067515,0.0008127564673001568,0.0008220580348279327,0.0008245804457969609,0.000777932908385992,0.0007976171712676484,0.0007917352595541161,0.0008095389820964021,0.0007965119720827188,0.0008304502287258704,0.0008062867944737753,0.0008060972300322297,0.0008052284456647523,0.0008303848315133817,0.0008085412576162655,0.0008420937619551918,0.000816486278464171,0.0007913639367114842,0.0008059580650296994,0.0008237814430945686,0.0008266140549552647,0.0007703862866037525,0.000823191658128053,0.0008425525309959132,0.0008178312564268708,0.0008138076119524028,0.0008443598272973312,0.0008272777322417824,0.0008162796955981195,0.0008616933599114418,0.0008263270931572399,0.0007843466623363873,0.0008358032888888071,0.0008249667007476091,0.000808712513167031,0.0008015204512048513,0.0008202713577012563,0.0008354917412031103,0.0007733098900644109,0.0008443485036672603,0.0008253960768342949,0.0007833635124067465,0.0008525281113439373,0.0007874623907911074,0.0007965859074969418,0.0007852465806839367,0.0007795467888260441,0.0007904779540021318,0.0008029004853629918,0.0008270558383729723,0.000848620276277264,0.0007785222260281444,0.0007409088527007649,0.0008332506736873516,0.0008204368664278323,0.000819956251819219,0.0008005281471865132,0.0008429844529018737,0.0007870821353192872,0.0008046428556554019
80,0.0009159232233650982,0.0009009582033656814,0.0008328592036074648,0.0008264658220398885,0.0008815365948101294,0.0009302162382352565,0.0009416015048871838,0.0008792794641952863,0.0008583510463285154,0.0008846697965054773,0.0008501020579219416,0.0008965304195025594,0.0008715641945882728,0.0008804083962318008,0.0008822655380593942,0.0009096092156444987,0.0008751372539942773,0.0008527983158319905,0.0008510425437374838,0.0008837486935469012,0.0008794976693864625,0.0008678415781884853,0.0008319543814286589,0.0008573585791358103,0.0009022093856603735,0.0008121495484374464,0.0007962942946769838,0.0008062523884291295,0.000830397821675219,0.0008636269156986307,0.0008780756313353777,0.0008665298340089906,0.0008723354840185493,0.0008468674875585726,0.0008694290396912644,0.0008824793497166995,0.0009191995295144519,0.0008278973294760693,0.0008420251051794333,0.0008630594893475063,0.0008465827642274755,0.000880584271223423,0.0008366440670215525,0.0008918941195588559,0.0008839140921880148,0.0008811284800207145,0.0008512739324942232,0.0009119122211510936,0.000915799850190524,0.0008790816653596141,0.0009081788943149149,0.000862473251552067,0.0008859825396659569,0.0008914518305876603,0.000872159592108801,0.0008683847667345283,0.0009036652045324445,0.0009143962886120225,0.0009058429542082278,0.0008009215089259669,0.00088918866321785,0.0008841484304866754,0.0007770004934476068,0.0009281090460717678,0.0008620323917259359,0.0008446376188658178,0.000892229708066831,0.0008802765934047119,0.0008626191513569749,0.0008897780611699967,0.0008540338668454853,0.0009124273104437938,0.0008850659554203352,0.0008014013680318991,0.0008536704450047442,0.0008772197610384168,0.0008706682544600751,0.0008549308974667633,0.000913184710952919,0.0008203878105097614,0.0008543766627553851
90,0.0012520628810549776,0.0012483879259821992,0.001220206623353685,0.0012252574553713203,0.0012469385320297147,0.0012391304397689445,0.001229804292726781,0.0012458416979490338,0.0012339101146458637,0.0012526246355264448,0.0012390646166570577,0.0012431824651109626,0.001233063267797909,0.0012393146612201676,0.001226638992974425,0.001236293202964589,0.001234676415887883,0.0012281849137448435,0.0012077910027333669,0.001247210754081607,0.001253369556238445,0.0012399311194063298,0.0012355194194242358,0.0012315190901669363,0.0012462771227878947,0.0012474448187276721,0.0012076837198448278,0.001194853944374093,0.0012276014189838487,0.0012518673714610837,0.0012266950650761525,0.001237104194632803,0.0012431966472202195,0.0012143829868674824,0.0012311251290763419,0.0012372539474329511,0.001239879631229039,0.001242515186525204,0.001221853461262422,0.001242331629327964,0.0011794919347656624,0.0012334866952051983,0.0012509795487858355,0.0012309298035688698,0.0012268348302888242,0.001235754981538967,0.0012188225635327398,0.0012345600887528506,0.0012484769176808186,0.0012227261437962216,0.0012886443408206105,0.0012387013041668317,0.0012540957612845187,0.0012113041690705966,0.0012098488747142254,0.001225373002092297,0.00128652632702142,0.0012327903432065043,0.0012514753140170467,0.0012421562569215894,0.0012323792375403867,0.0012461542646633461,0.0012038583712031443,0.0012534829189202615,0.001247934754549836,0.0012249438557773828,0.0012594123681386312,0.0012591850332995898,0.0012270112800049698,0.0012281073492255298,0.0012317155099784334,0.0012509672475668292,0.0012624002993106842,0.001250245957635343,0.001199581360976611,0.0012240936758915906,0.0012271739875099488,0.0012298588886962183,0.0012503226462285966,0.0012339530806174549,0.001219671207945794
