Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,2.425427207829974e-05,2.476838269810994e-05,3.085004270057349e-05,2.4218629578871723e-05,2.2603945650143366e-05,1.8688361056514884e-05,2.238938681799599e-05,1.8867929862895644e-05,2.0743141220331772e-05,2.0220658996095153e-05,2.2109096834704102e-05,2.5033606589761116e-05,2.4314260482435312e-05,2.251795085199278e-05,2.038630674873917e-05,2.671921667266967e-05,2.419257632590459e-05,2.5240132748001975e-05,2.4717612502302343e-05,2.1214659360945614e-05,2.325008647928301e-05,2.2518634880595657e-05,2.2713866164849606e-05,2.2066289117598594e-05,2.4753391468067772e-05,2.4980201123980807e-05,2.3811464797613405e-05,2.622506267850137e-05,2.3626713391422528e-05,2.1874965612721185e-05,2.640532706815672e-05,2.3642861308941905e-05,2.263754794722235e-05,2.432070184623604e-05,2.5107387197446467e-05,2.6614269448340826e-05,2.360383436289818e-05,2.0384810341056436e-05,2.3325380743151607e-05,2.3063425089731027e-05,2.6651148021171268e-05,2.231577318138505e-05,1.924492642046971e-05,2.461756157572381e-05,2.0651005079822714e-05,2.3385344100365488e-05,2.780068722521329e-05,2.431465170622304e-05,2.5751159398623713e-05,2.4268682868123818e-05,2.8468908931245095e-05,2.4808567021946974e-05,2.346457926810567e-05,2.5572007871232927e-05,2.5934338646038667e-05,2.597261008842758e-05,1.6732641597627662e-05,2.272806548340856e-05,2.0727818909191146e-05,2.4127783262883895e-05,2.238772480444412e-05,1.9116598082291603e-05,2.60591808303919e-05,2.457037966710881e-05,2.4701570989944026e-05,2.2540395226454934e-05,2.2660363477674157e-05,2.4102244453622974e-05,2.4727974972746677e-05,2.4539622532134048e-05,2.429673622827977e-05,1.6791928374004783e-05,2.5421089352069732e-05,2.11487889221947e-05,2.2699303112208975e-05,2.2480316879586832e-05,2.4324568715071238e-05,1.9959758909012195e-05,2.01705420295184e-05,2.238994365976365e-05,1.8685379109228963e-05
10,2.4245666742596466e-05,2.47612298254454e-05,3.083525749995412e-05,2.4212142908744193e-05,2.2595900570851443e-05,1.867881370084693e-05,2.238216384578282e-05,1.8862122188741188e-05,2.0735468297061743e-05,2.0214277640207e-05,2.2099839778677027e-05,2.5024938808275358e-05,2.430641713792945e-05,2.2509364284952895e-05,2.037980818974628e-05,2.6712575390774873e-05,2.4185000527376404e-05,2.5230798154886622e-05,2.4709825895895066e-05,2.1206797585667423e-05,2.3240498187358474e-05,2.2509768005615376e-05,2.270546683575958e-05,2.205910016831088e-05,2.4743532430009163e-05,2.4969381956907456e-05,2.380494565694525e-05,2.6215309314162976e-05,2.3615025432210293e-05,2.1868772423218735e-05,2.6397281374859933e-05,2.363606500484121e-05,2.2628358342794505e-05,2.43107394187352e-05,2.5099235649071892e-05,2.660351767807307e-05,2.3594895298485523e-05,2.037434205703903e-05,2.3317231911694608e-05,2.3053120173699426e-05,2.663653971727139e-05,2.2306972189827766e-05,1.9237738001720572e-05,2.4608078911114716e-05,2.0643932609681015e-05,2.3377278462009456e-05,2.779138349069399e-05,2.4305694332245987e-05,2.574062651206077e-05,2.4259198598570195e-05,2.8451780235627665e-05,2.479758735386316e-05,2.3456181644668013e-05,2.555893418805984e-05,2.592299215393723e-05,2.596183870137997e-05,1.6725359273550566e-05,2.2720834937805695e-05,2.072077239228582e-05,2.411883633612888e-05,2.2378195211864314e-05,1.911209790250723e-05,2.6048225966709044e-05,2.456318881221315e-05,2.4691390459944767e-05,2.2532273417779764e-05,2.2653714343808435e-05,2.4093128294841718e-05,2.4718594503341324e-05,2.4530556602913493e-05,2.428993381424031e-05,1.678670499435005e-05,2.540784771554172e-05,2.114154919278614e-05,2.2687351442332977e-05,2.247045044482961e-05,2.4312450087953558e-05,1.9953419943645244e-05,2.016389510117733e-05,2.2381322295808512e-05,1.8677521256904584e-05
20,3.597007050605801e-05,3.6130032337193065e-05,3.6337327098105256e-05,3.620929038823726e-05,3.5778380439711054e-05,3.59536700541087e-05,3.605888149092695e-05,3.585331035681424e-05,3.598379836044911e-05,3.615180798988149e-05,3.591643802298486e-05,3.606248994438662e-05,3.6024343210032605e-05,3.609381107680471e-05,3.5994981547393014e-05,3.6408689235637816e-05,3.586700620958471e-05,3.614019051037988e-05,3.624352549585248e-05,3.595145598713619e-05,3.59883562151271e-05,3.615030332834327e-05,3.6088526491463806e-05,3.609202140069101e-05,3.605731370274923e-05,3.6332128365756945e-05,3.607505629676574e-05,3.6107376142050875e-05,3.59907814366606e-05,3.5948383165598515e-05,3.60959719788904e-05,3.5813226042172086e-05,3.604647589292234e-05,3.601475611681164e-05,3.6408921813644054e-05,3.584919204513426e-05,3.604848873357313e-05,3.5635271739341654e-05,3.58734487893245e-05,3.586040543268609e-05,3.581525795328032e-05,3.61211557205063e-05,3.5584435863711406e-05,3.631814870459493e-05,3.6035071389051154e-05,3.614882750154816e-05,3.588705866215085e-05,3.60684468767814e-05,3.616776939452393e-05,3.5902481205743366e-05,3.62280014087446e-05,3.604573000550524e-05,3.5858675367377984e-05,3.584005207812879e-05,3.5779417885350995e-05,3.598582800489622e-05,3.557835043466184e-05,3.586291984839622e-05,3.590932399013334e-05,3.6067580367671326e-05,3.595613859317226e-05,3.5792766539088916e-05,3.596706665121019e-05,3.63669335326579e-05,3.574987193941423e-05,3.588504181467355e-05,3.601612503795574e-05,3.5856965491460554e-05,3.589421164549465e-05,3.60058353131486e-05,3.61051703900254e-05,3.56257787643699e-05,3.608042849615837e-05,3.5903120078728534e-05,3.605645179050043e-05,3.601666387773796e-05,3.609033150756399e-05,3.578359158587597e-05,3.559266770025715e-05,3.59476867101073e-05,3.5933555045630784e-05
30,0.00010766885582900917,0.00011043863438923533,0.00010726357747140962,0.00010899221244751691,0.00010750631770838194,0.00010672370990505442,0.00010794866219868944,0.0001077168054555506,0.00010885984420959096,0.00010590955162115279,0.00010819373144638828,0.00010576618037053518,0.00011002655986830536,0.00010883343014883752,0.0001089237944517449,0.00011018108792389587,0.00010663954301327023,0.00011028057698136832,0.00010902351173821703,0.000106947741296608,0.00011016345894089541,0.00010938591120585832,0.00011001165597311532,0.00011037064614356495,0.00010972929539136766,0.00010612164478516207,0.0001102969674262098,0.00010861711871257285,0.00010989722162348163,0.0001094816024922165,0.00010706838317370663,0.00010695718139266738,0.00010901987969611163,0.0001089575051127013,0.00010965784854811823,0.00010558614511475233,0.00010734520813122417,0.00010678514213809235,0.00010772288078442216,0.00010789404313982232,0.0001042492565050322,0.00010941766107707542,0.00010828535505424952,0.00010951017102343031,0.00010797280188662146,0.00010741465536595665,0.00010614118738366025,0.00010632515011565646,0.00010874068539123982,0.00010778912825305175,0.00010764014587039128,0.00010766105101951821,0.00010791510537204047,0.00010547736201260705,0.00010209906540694646,0.00010704106386342295,0.00010536998524912633,0.00010526152668874068,0.000108575153386813,0.00010855603795789648,0.00010796887911192732,0.00010982931780745275,0.0001078247344897439,0.00010951245349133387,0.000107100915960877,0.0001077228516805917,0.00010825903348935148,0.00010736107057015542,0.0001066638982997069,0.00010693097263700454,0.00011094902583863586,0.00010565923245546098,0.00011070648906752467,0.00010686289897421375,0.00010626078022011955,0.00010673553343067043,0.00010991589858479398,0.00010830330193716838,0.00010806395675899694,0.00010897715352456078,0.0001081146670912858
40,4.084211027172084e-05,4.137393059661715e-05,4.139391421631444e-05,4.185715498841511e-05,4.0623012715007494e-05,3.9994142883058104e-05,3.963086548479154e-05,4.037909591141598e-05,4.0681237829009164e-05,3.933168022740574e-05,4.1382130645761656e-05,3.9599536444720986e-05,4.227240082620869e-05,4.1058235265981324e-05,4.059630120857893e-05,4.059862324841864e-05,4.068500848439899e-05,4.2364665366417456e-05,4.138985605095513e-05,4.057513016353672e-05,4.200864680639755e-05,4.1201514185169276e-05,4.2795915942406285e-05,4.184111324624003e-05,4.142998890500397e-05,4.1159668762702494e-05,4.222054133518419e-05,4.102404962698832e-05,4.1886749514721004e-05,4.1994086190712666e-05,4.0251731649429225e-05,4.060408928825591e-05,4.202781901067983e-05,4.0622711156440965e-05,4.0996488880611854e-05,4.0651441655167476e-05,4.002930013245388e-05,4.154664599230852e-05,4.148745026750804e-05,4.161161950833048e-05,4.1037172715212887e-05,4.1418017915814146e-05,4.183459623163799e-05,4.1849655463011e-05,4.0140070938689044e-05,4.049579832721256e-05,4.0216299644920844e-05,4.0146081422183975e-05,4.127854379021301e-05,4.137444472595736e-05,4.307972267270088e-05,4.114200055482797e-05,4.1826863539776804e-05,4.0286432219242364e-05,4.068521629960742e-05,4.0524586995384103e-05,4.285734576114919e-05,3.991548334758183e-05,4.1074492235731505e-05,4.139216707699234e-05,4.0920141664075776e-05,4.251158134138677e-05,4.2442052290425636e-05,4.141970566706732e-05,4.2508399827865e-05,4.11871055033631e-05,4.2020999292920656e-05,4.168910018834335e-05,4.11416918487467e-05,4.065959892777919e-05,4.166696534310985e-05,4.112888746021781e-05,4.267404195464527e-05,4.1187656582527175e-05,3.957382432417944e-05,4.043183477509271e-05,4.1905443140421994e-05,4.1672230186269456e-05,3.8948215205891756e-05,4.182314241457605e-05,4.1335125933983365e-05
50,8.732137663173489e-05,8.184361959811886e-05,9.284160205424996e-05,9.393905890577186e-05,8.912175874258215e-05,9.069224012949104e-05,7.990119399525406e-05,8.524942500355935e-05,8.765463755043117e-05,8.631914124634932e-05,9.011379208661513e-05,8.43314982728548e-05,8.998931926643391e-05,8.87489761336121e-05,8.851866908063291e-05,8.355409302870005e-05,8.767086863025768e-05,9.329374126214652e-05,8.711680714311245e-05,8.883534542595346e-05,9.038884510608533e-05,8.995803896790935e-05,9.564610004114607e-05,9.069353303251168e-05,8.743620786671749e-05,9.724837436806411e-05,9.482026073401943e-05,9.041494255749664e-05,8.977487013908103e-05,8.942290092349023e-05,8.838892152804571e-05,8.567817782862291e-05,9.835152153615266e-05,8.302039403621697e-05,8.875547731198215e-05,8.791785246233173e-05,8.491823107186447e-05,9.526302561756562e-05,9.296221999768505e-05,8.879911456460832e-05,9.12019147238295e-05,8.886363262872886e-05,8.788646391622024e-05,9.401350471307523e-05,8.515410790048343e-05,8.627529459772631e-05,8.63234340483489e-05,8.669599951086606e-05,8.593422717240173e-05,9.068406811350323e-05,0.00010802016622619703,8.763675677156161e-05,8.861952290037433e-05,9.401249189977534e-05,9.723051698529162e-05,8.805144319253764e-05,9.513268014416099e-05,8.540697145408245e-05,8.985223460265182e-05,8.711431655683555e-05,8.17912536227615e-05,9.549244259687839e-05,0.00010012138106200534,8.809395720683304e-05,9.804788634129282e-05,9.303794470794785e-05,9.107696896535345e-05,8.798892065564731e-05,9.011495859778263e-05,8.97315091876678e-05,9.512203541817144e-05,8.80303377925884e-05,9.819946717470884e-05,8.804780979213926e-05,8.756812686832356e-05,8.806873141453819e-05,9.376573247469164e-05,9.117698972395081e-05,7.496251146221766e-05,8.951629007708657e-05,8.784587007539812e-05
60,0.00022276598669122903,0.00022116539238831374,0.0002159699312566469,0.00021682973221266786,0.00021951594533652208,0.0002226978457266731,0.0002235795226654098,0.000218598144496546,0.00021892123950698379,0.00021726885006501107,0.0002108538079752449,0.00022147528973303507,0.00022388393082303193,0.00021417590412029037,0.00022145117982290684,0.00022543958948517684,0.0002157517370679194,0.00021911486213337157,0.00022483555949293077,0.00021681718120817095,0.00021943760735806652,0.00022074095509846562,0.00021348724025301635,0.0002280966805604597,0.00021778205977863676,0.00022430226090364158,0.00021866402981216988,0.00022063237611291697,0.00021439884457161978,0.00020657667130674986,0.00022850732610095294,0.00020966533842371203,0.00021798041052534245,0.00021822626539931927,0.00023014828831138503,0.00021838640402295693,0.0002250542969896311,0.000208993447648192,0.00021881282772077807,0.00021879646828892874,0.00022816901868541857,0.00022157558216465676,0.0001943541174114216,0.00021592083212453871,0.00021206275031497506,0.00021676169386697247,0.00021756685767156472,0.0002246626874630078,0.00022727926170773571,0.00021852487507517096,0.00022321062861010432,0.00021096753268714318,0.00020549022906030025,0.00022773157494763532,0.00022398527798941358,0.00022083806581985283,0.00021607255621347576,0.00021195663982231556,0.00021269675529434937,0.00021931475930614397,0.0002130964410714104,0.00021874984486203175,0.00022848794712141776,0.00022992274690685527,0.00020170807207856947,0.00021535559342457698,0.00021058239023356387,0.00020587542006665822,0.0002074632419087855,0.0002176966051453607,0.00021554142100891718,0.00020737017378754294,0.00020339743544658026,0.0002095391343270118,0.0002316219511807763,0.00021476732727968703,0.00021213761647231877,0.0002147759110342914,0.0002089770423481241,0.0002042024434635126,0.00021874314406886697
70,0.0002505471712599198,0.00026004102309579375,0.00022512575984971286,0.0002441729374158268,0.00023933224007192575,0.00023345189401879907,0.0002493731815540682,0.0002434053647831254,0.00024511243523941435,0.0002373731595071149,0.0002301202086842458,0.0002403173124066041,0.00025467162777204067,0.00023951533314009959,0.000245311064474449,0.0002525695005412369,0.0002364164104489776,0.00024202732974221294,0.0002519290958714139,0.00024037744132025788,0.00024764149230367574,0.00024290697079517746,0.00023455371750363458,0.00025726338596238443,0.00022964910691833154,0.0002148117549950257,0.00023521227699201255,0.00023795608103682753,0.00024053161203696887,0.00022446853718945697,0.00024758637397705267,0.00022110657328784538,0.00023451911077315273,0.00023984948134833447,0.00024922407303367637,0.0002283894448607628,0.0002519001709036897,0.0002315935734341937,0.0002338688007797148,0.00023099897589418106,0.00023694008164706508,0.0002413162685425437,0.0002144488535122946,0.00024045942263910546,0.0002412614680667359,0.0002450003126317537,0.00023674199286948092,0.00023854559728071062,0.0002569897719695291,0.00023834854926400143,0.0002469979575835168,0.00024285696748517114,0.00021844254129414016,0.00024571420362917706,0.00022852838883409278,0.0002454898542277895,0.0002285153095726855,0.00023232574939952586,0.0002315222187793221,0.00022692064521834254,0.00023512239552288245,0.00024079563809209503,0.0002563184340639661,0.0002558807089891551,0.0002112287879248874,0.0002342409684877986,0.00023486989181643972,0.00021951273068039607,0.00023385659046147743,0.00024314721176287512,0.00025433776318095624,0.0002255793612372751,0.00021540335243723044,0.0002438643811425815,0.00023167103686968664,0.00023777495601740606,0.00022916550057873662,0.00023424744833919835,0.0002483551379555138,0.00022693735405757726,0.0002356368917389773
80,0.000297773551234665,0.0002984551748441946,0.0002781630513103058,0.0002891245712257492,0.0002913431067732929,0.00027606186839485806,0.0002759834939253426,0.0002900259603752363,0.00030080101263408747,0.0002938442448794376,0.00029399950918885246,0.00028581957110650457,0.0003045793357269951,0.0002902694651504245,0.00027875071631141884,0.00029354014865627204,0.0002818804601875378,0.0002893049826571435,0.0002892150883521286,0.00029378980398178103,0.00030255667247379626,0.000300308633086388,0.0002758220794688289,0.0002922715008025989,0.0002847739459765661,0.00026959248352795837,0.0002697613010475893,0.00028753423703165026,0.00029589731146937567,0.0002922331149156596,0.00028904400048001356,0.00029312630739206303,0.00029019081529650767,0.00028300364185891274,0.0002798766719125625,0.00027358253750467805,0.0002833834815215883,0.00028383306396955794,0.00028384874219983724,0.00027767199935624376,0.0002744789858947375,0.00028172829897425315,0.00030105859696050175,0.0002953322764369659,0.00027949928220263436,0.00029182787264672743,0.00027945680381630413,0.00026920600845315086,0.0002984719508276612,0.00028464451002193904,0.00029365287628024817,0.0002961991360114718,0.00029174443132852994,0.00027433144593184505,0.00026994213403668254,0.00028090778297545124,0.0002659774909261614,0.000277729212719915,0.00028378192589364267,0.0002833536491380073,0.00027689295044789713,0.00027532531021279283,0.0002933302360664432,0.00029787617053703537,0.0002741409601488461,0.0002818007895257324,0.00029166659126834326,0.0002863726660644295,0.0002883651181441059,0.00027822783801008253,0.0002900493741940914,0.000277392529824283,0.0002999908077375342,0.00029958119315172854,0.0002639036122543205,0.0002881476563755302,0.00028810097137466073,0.0002892246614670336,0.00029576223096228205,0.00029201165992109217,0.0002851108947652392
90,0.0003858598849425713,0.00037504570274096396,0.0003811269173941885,0.0003747449999746795,0.0003775500510436117,0.00034008454947200207,0.000339294076125483,0.0003780374831158521,0.0003943821279732864,0.0003876593764289282,0.0003902306837708126,0.0003696167158504606,0.00040269698630171746,0.00037386720412707126,0.0003587738235878265,0.00036833278863923624,0.00036490802137580303,0.0003899603152258581,0.00037643591557363313,0.00038539419377533096,0.000391832531358187,0.00039347428537439555,0.00037442950842281184,0.0003748735044306765,0.000370462696226905,0.0003635722561739385,0.00037879263888293454,0.00038252298145380337,0.00039003083229010156,0.00038773354308138934,0.00037031020037829875,0.0003890265630056652,0.0003692217209251024,0.0003712451857054697,0.0003646345463089852,0.0003592793657714667,0.0003499434776466315,0.00039072814979590476,0.0003861257333395419,0.00037532208625634667,0.0003493238805926272,0.0003656513457671997,0.0004051755713589955,0.0003811653732554987,0.0003642753045393252,0.00037061748505373926,0.0003759703357770507,0.0003412642547852572,0.0003809200497926213,0.0003677005079225637,0.0003809151181485504,0.00037112243642861193,0.00037844737962586803,0.00034016486218509573,0.00034317338722758,0.00036024789466066473,0.0003530376561684534,0.0003467784092584946,0.0003660711465107108,0.00037341661663958803,0.00035865635952852187,0.0003512888724799268,0.0003859095595544204,0.00038206113718583116,0.00036890407419478934,0.0003715098078828305,0.0003720370101897667,0.00038236460816841174,0.00038514524661608176,0.00035370965836976594,0.000386322916407759,0.0003630244949211677,0.0004099499686465909,0.0003861996568351363,0.0003381717043729233,0.0003679375766697884,0.00036379951468136696,0.00038232310720148587,0.000364107072527986,0.00038846325326883117,0.00037394346145447344
