Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
50,0.0016054666666666668,0.0015525925925925924,0.0015533333333333334,0.0015255384615384614,0.001579873417721519,0.0017028571428571427,0.0015677419354838708,0.0015630263157894737,0.0015997468354430379,0.00160625,0.0015251851851851852,0.0015957142857142856,0.0016272727272727274,0.001596969696969697,0.0016138823529411761,0.0016091666666666667,0.0015576190476190475,0.0015621518987341773,0.0016164285714285714,0.0015564,0.0015535384615384615,0.0015646428571428571,0.0015978666666666666,0.0015813333333333335,0.0015296825396825396,0.0015220000000000001,0.0016250000000000004,0.0015239583333333335,0.0015130588235294118,0.00149,0.0015798666666666664,0.001522692307692308,0.001613076923076923,0.0015082926829268293,0.001632222222222222,0.0015582142857142858,0.0016102631578947368,0.0015681818181818184,0.0015699999999999998,0.001526875,0.0016642857142857143,0.0015854255319148935,0.00134125,0.001661,0.0016294736842105263,0.0016265263157894737,0.001598142857142857,0.0015851754385964912,0.0016309375,0.001531896551724138,0.0016120000000000002,0.0016154545454545451,0.0014473846153846154,0.001638333333333333,0.001619,0.0016208163265306124,0.001545,0.0015151724137931035,0.0016809090909090912,0.00149,0.0015525806451612905,0.0015675,0.00159,0.0016314285714285714,0.0015827777777777778,0.001540153846153846,0.001516,0.0014889247311827957,0.0015905555555555553,0.0016161261261261263,0.0016777777777777778,0.00159,0.0015966666666666666,0.0013683333333333334,0.0015057142857142856,0.0015924675324675323,0.0015792857142857143,0.0015791935483870968,0.001555,0.0014917647058823526,0.0015809999999999997
60,0.003736266666666667,0.0033614814814814814,0.00379,0.0036467692307692308,0.003718101265822784,0.0038985714285714288,0.003677741935483871,0.0037351315789473684,0.0036931645569620243,0.00381875,0.0037186419753086424,0.0037340816326530612,0.0037112121212121213,0.003716818181818182,0.003778823529411765,0.0036629166666666668,0.0037175,0.003688354430379747,0.003647142857142857,0.0037532000000000004,0.003687230769230769,0.003727678571428572,0.0038004000000000002,0.0036749999999999994,0.0038279365079365076,0.0037279999999999995,0.003667096774193548,0.00369125,0.0037276470588235295,0.0037804838709677422,0.003764,0.003852307692307692,0.003731538461538462,0.003649024390243902,0.0037022222222222226,0.00383375,0.0037068421052631577,0.0037209090909090916,0.003686746987951808,0.003720625,0.003727142857142857,0.0037454255319148934,0.0037212499999999997,0.0037519999999999997,0.0036373684210526318,0.0036030526315789465,0.003691285714285715,0.003788947368421053,0.0035162500000000003,0.003696637931034483,0.0038059999999999995,0.00364909090909091,0.003809230769230769,0.0038708333333333333,0.0037289999999999997,0.0037022448979591835,0.00377,0.0037706896551724135,0.003793636363636363,0.0037099999999999998,0.0037090322580645165,0.0037287500000000003,0.0037649999999999997,0.0036071428571428574,0.003910277777777777,0.0036936923076923076,0.0035506666666666664,0.003795591397849463,0.0037749999999999997,0.003611261261261261,0.0036822222222222226,0.00392,0.0038666666666666663,0.003283333333333333,0.003854285714285714,0.0037538961038961036,0.0038292857142857143,0.003750483870967742,0.00363,0.0037234453781512604,0.0037219999999999996
70,0.004206666666666667,0.003915555555555555,0.0045091666666666665,0.004450769230769231,0.004231139240506329,0.004525714285714286,0.004284032258064517,0.004075131578947368,0.004119620253164555,0.004338750000000001,0.0041901234567901235,0.004073469387755102,0.004203030303030303,0.004161969696969697,0.004221764705882354,0.004134583333333333,0.004225,0.004155443037974682,0.004021785714285715,0.004112933333333333,0.0041069230769230775,0.004197321428571428,0.004320933333333335,0.004102333333333334,0.004487460317460317,0.0046240000000000005,0.004001451612903226,0.0040375,0.004260000000000001,0.0043546774193548386,0.004279733333333334,0.0045084615384615384,0.00427076923076923,0.004184634146341464,0.004227777777777778,0.004348214285714286,0.00425,0.004263636363636363,0.004148192771084337,0.00426875,0.004308571428571428,0.0042735106382978715,0.0041375000000000006,0.004056,0.004231052631578948,0.004116526315789474,0.004129857142857143,0.004426228070175438,0.0039309375,0.004331637931034483,0.004488,0.0040645454545454535,0.004528538461538462,0.004458333333333333,0.004555,0.004178775510204081,0.00442,0.004522068965517241,0.004109090909090909,0.00425,0.004346989247311829,0.004095,0.004263333333333333,0.0041314285714285715,0.0047213888888888896,0.004170923076923077,0.003852,0.004384301075268817,0.004291018518518519,0.0042104504504504505,0.0039766666666666665,0.004761666666666667,0.004896666666666667,0.0036616666666666672,0.004781428571428571,0.004258571428571429,0.004336428571428571,0.0042907258064516125,0.004253750000000001,0.004207983193277311,0.004013999999999999
80,0.0055655999999999995,0.0056500000000000005,0.005427500000000001,0.005674,0.00574379746835443,0.005927142857142857,0.005875645161290324,0.005439342105263158,0.005464050632911393,0.00556625,0.005426543209876542,0.005439387755102042,0.00539909090909091,0.005505,0.005464470588235295,0.00559125,0.005582380952380952,0.005509620253164558,0.005489642857142857,0.005316,0.005489230769230769,0.0054971428571428576,0.005375866666666666,0.005467999999999999,0.005712698412698412,0.005926,0.005044677419354838,0.005133541666666667,0.005386823529411765,0.005534032258064516,0.0055865333333333335,0.005568076923076922,0.0055525,0.005449024390243902,0.005572777777777778,0.005617499999999999,0.005664210526315791,0.005259090909090909,0.005386385542168674,0.005331875,0.005492857142857142,0.005674361702127659,0.005017499999999999,0.005266,0.005605263157894737,0.0056558947368421045,0.0053914285714285705,0.005709473684210526,0.005485624999999999,0.005607068965517242,0.005815999999999999,0.005358181818181818,0.0058329230769230776,0.005818333333333334,0.005845,0.005659183673469388,0.006005,0.0058137931034482745,0.0055172727272727266,0.005345000000000001,0.005510860215053764,0.00529875,0.005641666666666667,0.005472857142857142,0.005972777777777778,0.005360153846153846,0.005268666666666667,0.005613010752688172,0.00571138888888889,0.0057254054054054065,0.005308888888888889,0.00556,0.006703333333333333,0.005196666666666666,0.005674285714285714,0.00566,0.005535714285714285,0.005568467741935483,0.005671249999999999,0.0052933613445378174,0.005163
90,0.0056093333333333325,0.005691851851851852,0.005760000000000001,0.00594846153846154,0.0059069620253164555,0.0055957142857142855,0.005585322580645162,0.00551671052631579,0.005606708860759494,0.005665625,0.005678518518518519,0.0054602040816326535,0.005601515151515151,0.005546818181818181,0.0055832941176470596,0.005507500000000001,0.005812261904761905,0.005748227848101266,0.005765714285714285,0.005556266666666666,0.005622307692307692,0.005615357142857142,0.005735466666666668,0.0056766666666666675,0.005596507936507936,0.006213999999999999,0.005460161290322583,0.005461666666666667,0.005658352941176471,0.0056801612903225815,0.005695866666666666,0.0056123076923076925,0.005725576923076924,0.005741341463414634,0.005668888888888889,0.005725178571428571,0.0055161842105263155,0.005802727272727273,0.0057280722891566264,0.0056749999999999995,0.005767142857142857,0.005786595744680851,0.00561,0.005444,0.005688947368421053,0.005723894736842105,0.005699571428571429,0.005661754385964912,0.0054971875,0.005711206896551724,0.0057079999999999995,0.0054927272727272715,0.005838615384615385,0.005819166666666667,0.0058779999999999995,0.005666326530612245,0.00637,0.005718965517241379,0.0055018181818181815,0.00585,0.005617096774193549,0.0056275,0.005978333333333333,0.005421428571428572,0.005912222222222222,0.005662307692307692,0.005451333333333333,0.005733010752688172,0.005972592592592593,0.005734594594594597,0.005335555555555555,0.005463333333333334,0.0063033333333333335,0.005836666666666667,0.005542857142857143,0.005705324675324674,0.0057657142857142855,0.005905403225806452,0.005967500000000001,0.005726638655462184,0.005484999999999999
100,0.004638133333333333,0.00466925925925926,0.004706666666666666,0.004935692307692308,0.004869873417721518,0.004681428571428572,0.004680322580645161,0.004510263157894737,0.004567848101265823,0.004525,0.004611481481481481,0.004453469387755102,0.0045857575757575755,0.004522727272727274,0.004642941176470588,0.004510833333333333,0.004840952380952381,0.004764683544303797,0.0048621428571428565,0.004612799999999999,0.0046098461538461545,0.0046408928571428565,0.004688533333333333,0.004758,0.004549365079365078,0.005178,0.0044872580645161295,0.004543333333333333,0.00461635294117647,0.004612258064516129,0.004787066666666666,0.00455,0.004718269230769231,0.004812439024390244,0.004584444444444444,0.004686964285714286,0.0045296052631578956,0.004695454545454545,0.00470710843373494,0.00484125,0.0049528571428571425,0.00476595744680851,0.0045024999999999996,0.0046619999999999995,0.004692105263157895,0.004720000000000001,0.004665714285714287,0.004735877192982457,0.004545,0.0048054310344827576,0.004693999999999999,0.0044245454545454544,0.004757692307692308,0.004771666666666666,0.005063,0.004628571428571429,0.00481,0.004756551724137931,0.004624545454545455,0.004805,0.004622258064516128,0.0046324999999999995,0.005025000000000001,0.004595714285714286,0.004769444444444445,0.004603230769230768,0.004530666666666666,0.004669784946236559,0.0049015740740740756,0.004724774774774776,0.0043055555555555555,0.004548333333333334,0.005003333333333333,0.004561666666666666,0.004520000000000001,0.00487025974025974,0.004849285714285715,0.004845806451612903,0.0050574999999999995,0.004683865546218488,0.004574000000000001
150,0.0036953333333333335,0.003732962962962963,0.0033800000000000006,0.0031181538461538465,0.0035332911392405063,0.0038714285714285712,0.0032785483870967735,0.0037971052631578955,0.003446582278481013,0.003449375,0.002980246913580247,0.0036844897959183677,0.0037369696969696974,0.0037280303030303033,0.003501058823529412,0.0035829166666666665,0.0032391666666666667,0.0036030379746835443,0.004026785714285714,0.0035798666666666673,0.0038715384615384614,0.003725,0.003114266666666667,0.0032843333333333327,0.0030563492063492063,0.004301999999999999,0.003704354838709677,0.0036908333333333337,0.00339235294117647,0.003478709677419355,0.0034769333333333325,0.0032173076923076925,0.0033525000000000004,0.003510365853658536,0.003805,0.0029721428571428572,0.003755526315789473,0.0035090909090909088,0.003843493975903614,0.003350625,0.0042728571428571425,0.0038280851063829794,0.0032112499999999997,0.004134,0.003671578947368421,0.0039591578947368415,0.004077,0.0035265789473684214,0.0045415625000000005,0.003643448275862069,0.003646,0.0049854545454545455,0.003293,0.003989166666666667,0.004091,0.0036728571428571426,0.00393,0.0032024137931034482,0.004468181818181818,0.003415,0.003534301075268817,0.0035725,0.004098333333333333,0.004475714285714285,0.0033036111111111113,0.0034333846153846155,0.003976,0.0035755913978494616,0.0038021296296296297,0.003538738738738739,0.00314,0.0036349999999999998,0.003906666666666667,0.0032983333333333337,0.003612857142857143,0.0040066233766233765,0.0037064285714285715,0.003481290322580645,0.00425,0.0036202521008403352,0.003767999999999999
200,0.005454,0.005140740740740741,0.0036366666666666665,0.003741076923076923,0.004809620253164557,0.00416,0.003312741935483871,0.004638157894736841,0.004485443037974683,0.0036968749999999996,0.003808271604938272,0.004280204081632653,0.00555969696969697,0.004020909090909091,0.004272941176470589,0.004029166666666667,0.004676904761904762,0.0047599999999999995,0.004499642857142857,0.005052000000000001,0.003967076923076923,0.00560125,0.003951200000000001,0.0035909999999999996,0.0029792063492063486,0.007486,0.005266129032258064,0.004603958333333334,0.004187176470588235,0.0035880645161290325,0.003732933333333334,0.0029992307692307697,0.003715,0.004415731707317074,0.004445,0.003689464285714286,0.003992631578947369,0.003415454545454545,0.004007710843373494,0.003320625,0.003828571428571428,0.004152234042553192,0.00537125,0.002653,0.003792631578947369,0.00460221052631579,0.004735571428571429,0.003698684210526316,0.004523124999999999,0.004325344827586206,0.0037679999999999996,0.004410909090909091,0.003293076923076923,0.0038,0.004894999999999999,0.003520816326530612,0.004595,0.0032175862068965517,0.003923636363636363,0.0034725,0.0036753763440860216,0.00311,0.00413,0.0047799999999999995,0.004152222222222222,0.0033339999999999997,0.0036373333333333336,0.0034159139784946235,0.003950833333333333,0.004037387387387388,0.0032288888888888888,0.0031300000000000004,0.0052899999999999996,0.003486666666666666,0.0030485714285714283,0.003692467532467533,0.005754285714285714,0.004565080645161291,0.00316625,0.002920588235294118,0.0033770000000000002
250,0.0049704,0.004953703703703704,0.0037858333333333338,0.003230923076923077,0.004041645569620254,0.0035185714285714286,0.0026666129032258067,0.004161447368421052,0.003621012658227847,0.00334875,0.0034561728395061725,0.0032520408163265306,0.005373939393939394,0.0035325757575757574,0.003523764705882353,0.003874166666666667,0.004295,0.004275063291139239,0.004351428571428571,0.0045701333333333346,0.0036538461538461542,0.0055417857142857135,0.0036764000000000002,0.002743666666666666,0.002805238095238095,0.008144000000000002,0.004861129032258062,0.0043675,0.004278117647058825,0.0034795161290322577,0.0033942666666666667,0.002829230769230769,0.003613653846153846,0.003586463414634147,0.0038355555555555556,0.0030651785714285716,0.003247368421052632,0.002510909090909091,0.003256626506024096,0.002925,0.002687142857142857,0.0029089361702127657,0.00503625,0.002444,0.0028510526315789473,0.003446842105263157,0.0034122857142857145,0.002808508771929825,0.0035890625000000002,0.003250948275862069,0.002464,0.0040736363636363635,0.0031090000000000002,0.002441666666666667,0.004756000000000001,0.0033714285714285717,0.0034600000000000004,0.0030327586206896546,0.0027954545454545454,0.0025875,0.002317741935483871,0.0028425000000000004,0.0028216666666666668,0.0036814285714285716,0.003696388888888889,0.002751846153846154,0.0028086666666666663,0.003159569892473118,0.0028600000000000006,0.002857027027027027,0.0028011111111111114,0.003583333333333333,0.005626666666666666,0.0029600000000000004,0.003295714285714286,0.0026437662337662343,0.00438,0.0036730645161290325,0.0026575,0.0028055462184873943,0.00306
300,0.0041016,0.00482962962962963,0.0035741666666666678,0.0034336923076923077,0.0037899999999999995,0.0035328571428571427,0.0025722580645161286,0.004217105263157895,0.0034796202531645567,0.0034781250000000003,0.0035045679012345675,0.0032426530612244893,0.005023030303030303,0.003707424242424242,0.0033656470588235296,0.003254166666666667,0.004342738095238096,0.004384303797468354,0.004409642857142857,0.004712933333333334,0.003609230769230769,0.00468875,0.003640533333333333,0.002872666666666667,0.0031217460317460315,0.005738,0.004455483870967742,0.004352291666666667,0.004494823529411765,0.003705483870967742,0.0035381333333333338,0.0034726923076923077,0.0033782692307692307,0.003603414634146342,0.0036899999999999997,0.0032578571428571426,0.002961184210526316,0.0024627272727272727,0.002670481927710843,0.003046875,0.0024142857142857147,0.002671489361702128,0.0046175,0.002253,0.002606842105263158,0.003106,0.002982,0.002920087719298246,0.00284125,0.003133965517241379,0.00206,0.0027163636363636365,0.0034036923076923077,0.002514166666666666,0.003328,0.00332734693877551,0.003025,0.0031493103448275855,0.0023981818181818184,0.0028575,0.0021818279569892477,0.00241125,0.0026466666666666665,0.0023728571428571427,0.003008888888888889,0.002637076923076923,0.002772666666666667,0.0031654838709677417,0.0026453703703703704,0.0025636036036036035,0.00264,0.003181666666666666,0.0046099999999999995,0.00281,0.0025514285714285717,0.0023925974025974027,0.003450714285714286,0.0038583064516129035,0.0022275000000000003,0.002940672268907563,0.0027929999999999995
