Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,6.363926954994289e-05,6.263913463852886e-05,6.0662550064686606e-05,5.563481080081636e-05,5.712360049258251e-05,7.4848148610077e-05,5.839837150790939e-05,5.394737289814082e-05,5.820930152678349e-05,6.104044109633833e-05,5.2779465477215126e-05,6.122318507327784e-05,5.4549508797318786e-05,6.216796155609755e-05,5.9471433183609724e-05,6.457916606450453e-05,6.196177898908943e-05,5.585696264829552e-05,5.888571903207256e-05,5.4777032322211504e-05,6.126310033253574e-05,6.112353681991018e-05,5.518865647900384e-05,5.4994720570296826e-05,6.109412280484177e-05,5.2822791622020306e-05,5.705731816687471e-05,6.616910673074017e-05,6.020483438880868e-05,5.51675210214941e-05,5.8091063256142664e-05,5.307995245227805e-05,4.735572964329129e-05,6.02755809911575e-05,6.791875522240944e-05,5.367362937899348e-05,5.802306481870657e-05,5.608050791620785e-05,5.536502514193003e-05,5.041448946485616e-05,5.6445333549553265e-05,5.959409815872316e-05,4.3116469896631315e-05,6.271167258091737e-05,5.856461633045814e-05,5.558730552270151e-05,5.31321857124567e-05,5.963691040833191e-05,6.355318572559554e-05,5.6184125461531324e-05,4.6091181866358964e-05,5.4359567002393305e-05,5.269606083927031e-05,4.9124467902098935e-05,5.540553665923653e-05,5.457458183275089e-05,6.988417680986458e-05,5.229610906098969e-05,7.453540473017546e-05,4.348226912043174e-05,5.6931690563434006e-05,4.523113943832868e-05,5.6781345241082214e-05,7.729472365878922e-05,5.367568347638654e-05,5.472403961623338e-05,5.408989988306227e-05,5.194350563225046e-05,5.196030564615352e-05,5.168755340672031e-05,6.810304047475156e-05,4.36213983145232e-05,5.70521478948649e-05,3.857623626875769e-05,6.62388514943554e-05,5.4248032974065643e-05,6.330635967190444e-05,5.070927966610931e-05,6.0316829603834776e-05,4.8899549584661635e-05,4.088395580765791e-05
10,6.363557307243657e-05,6.26396590464369e-05,6.0669781153895506e-05,5.5631745775686936e-05,5.712234294922474e-05,7.485289929068781e-05,5.8394754271449204e-05,5.3942631271447204e-05,5.820715755995664e-05,6.102870429458562e-05,5.2774903990750854e-05,6.121970345331498e-05,5.454945356618599e-05,6.216252704965e-05,5.9464687386507115e-05,6.457540204489003e-05,6.195956766099524e-05,5.5857847367901104e-05,5.8886948214162006e-05,5.476992914433746e-05,6.125828636308703e-05,6.111732230757687e-05,5.5185504194620686e-05,5.499108356161741e-05,6.108897414089861e-05,5.281260782794561e-05,5.70526876359626e-05,6.617136121652341e-05,6.0200857072178385e-05,5.516436718725374e-05,5.8085244721344985e-05,5.307478351404335e-05,4.7351049348575405e-05,6.027287706340913e-05,6.790713733708899e-05,5.366870368561649e-05,5.801909568809175e-05,5.607769162452314e-05,5.536178425070129e-05,5.041441261255386e-05,5.644811244565062e-05,5.959359309889941e-05,4.310371764404408e-05,6.270064623095095e-05,5.8561687757518434e-05,5.558532973641138e-05,5.3129982760375634e-05,5.9638276979967486e-05,6.354537123343107e-05,5.6180230817047015e-05,4.6087929513305424e-05,5.4355324292290874e-05,5.269258086068126e-05,4.9125716789906924e-05,5.540253332583234e-05,5.457414779960586e-05,6.987355391174788e-05,5.229300799767551e-05,7.45356633573961e-05,4.348466154624475e-05,5.693010804265292e-05,4.522953645391681e-05,5.6784199841786176e-05,7.729953176749405e-05,5.367173818942522e-05,5.4718644829475894e-05,5.408309395230996e-05,5.1936782647414954e-05,5.195573935957832e-05,5.168397312756808e-05,6.809048257612933e-05,4.361470018920954e-05,5.7060993034004546e-05,3.856956785360429e-05,6.624143809728724e-05,5.424288000150617e-05,6.330806770295437e-05,5.070529558056038e-05,6.030374424881302e-05,4.88938348702382e-05,4.087646539119305e-05
20,1.5525843567350726e-05,1.553713819804317e-05,1.5450079066188966e-05,1.5458292182302102e-05,1.5387803349640998e-05,1.5433693858670138e-05,1.541112809014345e-05,1.5461640175903756e-05,1.54582265375073e-05,1.5557084793726972e-05,1.5453921891835137e-05,1.5465182959629528e-05,1.549383319577442e-05,1.544410108842633e-05,1.5448272760669864e-05,1.5539716476572114e-05,1.5458918001275467e-05,1.5479904217085554e-05,1.556761061952524e-05,1.5413627261295913e-05,1.545678908139682e-05,1.5551456775548494e-05,1.5473167465340036e-05,1.5430140016784814e-05,1.549088707208053e-05,1.5424579396494663e-05,1.5526884160335024e-05,1.551546603195675e-05,1.5490608722543318e-05,1.547493036102218e-05,1.5459477908734697e-05,1.5394847371051303e-05,1.542430513486929e-05,1.547496469534164e-05,1.5473634347371342e-05,1.54776848505987e-05,1.5466867496702196e-05,1.543642892184752e-05,1.546308750955385e-05,1.5413942321629293e-05,1.5423146968324935e-05,1.5485100738395827e-05,1.5346633404078602e-05,1.5547667680948506e-05,1.543617925467276e-05,1.544143587556104e-05,1.5545393216598315e-05,1.550103291249303e-05,1.5473360207352016e-05,1.5503013220699485e-05,1.5382082528958564e-05,1.5475051110446326e-05,1.5463478652796205e-05,1.541783118833943e-05,1.543621146993246e-05,1.5410020082805315e-05,1.5395774425996933e-05,1.538610831630649e-05,1.5511927317261737e-05,1.547644478705479e-05,1.550106457392347e-05,1.5323056345550867e-05,1.557834669559573e-05,1.553637009367646e-05,1.5525273005955063e-05,1.5446528581938206e-05,1.5437508773175067e-05,1.546877757068761e-05,1.5455491081781844e-05,1.552047100024841e-05,1.552916678014703e-05,1.5282454872552382e-05,1.552042886032723e-05,1.541207575428416e-05,1.5391027643220567e-05,1.5466798981538273e-05,1.5521515706495848e-05,1.5410026457351294e-05,1.5422323031089036e-05,1.5432077014017577e-05,1.5356815220002316e-05
30,6.375334235296275e-05,6.381579280261778e-05,6.365306338314743e-05,6.366070827845341e-05,6.336845740118901e-05,6.364839230497767e-05,6.354323200104127e-05,6.359409311890456e-05,6.35542591099474e-05,6.374879058057559e-05,6.358484465579997e-05,6.36343290668209e-05,6.384916989852421e-05,6.359922223385762e-05,6.36474316706881e-05,6.381652565323748e-05,6.362204848777591e-05,6.369798552153537e-05,6.374973054334987e-05,6.363247298092271e-05,6.362445442041812e-05,6.378072053589026e-05,6.369305347713331e-05,6.375805387506261e-05,6.365961829913662e-05,6.366110173985362e-05,6.385293137657666e-05,6.376022004891031e-05,6.36599660912693e-05,6.370445830285579e-05,6.36135574313812e-05,6.346114745471053e-05,6.368014930138507e-05,6.353328566680231e-05,6.369632683345117e-05,6.369196567642835e-05,6.358193394063212e-05,6.338537191781639e-05,6.369002449539411e-05,6.363713100654422e-05,6.338388733898423e-05,6.373163388219682e-05,6.332996144919889e-05,6.388817200786434e-05,6.368732130412307e-05,6.358833465798709e-05,6.376751095688503e-05,6.373095273279193e-05,6.371467725330149e-05,6.366939669533167e-05,6.351951451506465e-05,6.374040491540323e-05,6.363653150261737e-05,6.365252071797538e-05,6.349717441480606e-05,6.361961737750288e-05,6.367599780787714e-05,6.359309115615706e-05,6.367912150877105e-05,6.379814294632524e-05,6.373947838656805e-05,6.357817255775444e-05,6.40752380907846e-05,6.369589391397312e-05,6.390678188634208e-05,6.371898399755502e-05,6.348252791212871e-05,6.365064747183414e-05,6.365229428747962e-05,6.382507100325866e-05,6.380426849419664e-05,6.313896907765108e-05,6.365351388618971e-05,6.358018436003476e-05,6.34175116179644e-05,6.35641167777917e-05,6.39384109360565e-05,6.367176361128523e-05,6.372008556354558e-05,6.355972216609364e-05,6.35322110611014e-05
40,4.0882631243827445e-05,4.068162875396579e-05,4.058603038477789e-05,4.059993846637483e-05,4.0175110014019935e-05,4.126655143669008e-05,4.082704611890574e-05,4.085398086317582e-05,4.072794141807841e-05,4.0739413861956564e-05,4.059252328991051e-05,4.0772369806179584e-05,4.146424279579978e-05,4.08687373044703e-05,4.0919958701124413e-05,4.138000834548924e-05,4.0598144724277694e-05,4.090118952113192e-05,4.0755517017844666e-05,4.093834252368348e-05,4.0772399090481205e-05,4.127253233881285e-05,4.079252903466113e-05,4.123460045472408e-05,4.0576533859758266e-05,4.0885813359636816e-05,4.115696009971397e-05,4.050411894240824e-05,4.064581962131128e-05,4.093739716476956e-05,4.074482159921899e-05,4.108219484176236e-05,4.089262956068314e-05,4.038834577375205e-05,4.1092615396741574e-05,4.054706817311983e-05,4.063547155390935e-05,4.0288893532388926e-05,4.065379098721174e-05,4.055412637171685e-05,3.965619076292829e-05,4.091633432990614e-05,4.0270780573337106e-05,4.110247391508892e-05,4.071186757707772e-05,4.0655108329558156e-05,4.032313398576142e-05,4.076301880367713e-05,4.0886408328333346e-05,4.052396462643158e-05,4.016748280264437e-05,4.102805475916036e-05,4.0558499005363465e-05,4.071149608838217e-05,4.014002297481056e-05,4.0467840391306245e-05,4.042909495183267e-05,4.0674373629936496e-05,4.080391127817248e-05,4.060196533828275e-05,4.080313921941104e-05,4.075937022207654e-05,4.1243584443388194e-05,4.10199146634633e-05,4.076197142745109e-05,4.0825695759849626e-05,4.017381676627944e-05,4.056282181096243e-05,4.043272784420643e-05,4.0861752987021226e-05,4.144904354082731e-05,4.035927910687557e-05,4.050339824364831e-05,3.9858062640026524e-05,4.0067389428648834e-05,4.0256451738260496e-05,4.128502301422746e-05,4.0616353016371105e-05,4.058871400047792e-05,4.046390560933021e-05,4.036889986309688e-05
50,7.024059940401154e-05,6.840028746174303e-05,6.78629060833676e-05,6.641522626383588e-05,6.792194389036703e-05,7.478762147781839e-05,7.01556237477381e-05,6.927219601493562e-05,6.982454523713847e-05,6.953656929908902e-05,6.623682866906344e-05,7.020660869988651e-05,7.258590245107894e-05,6.93626549918642e-05,7.056305565878147e-05,7.126917262212373e-05,6.849510884335142e-05,6.7289769319785e-05,7.212899462112026e-05,6.900249301300694e-05,6.742412912829493e-05,6.898715628267382e-05,6.863611435013202e-05,6.966587401014597e-05,6.646470126089831e-05,6.795804147259332e-05,7.042207841051652e-05,6.696299419672869e-05,6.545957867809407e-05,6.47445060401937e-05,7.009186680079438e-05,6.739303143359184e-05,6.94372828757668e-05,6.674671225837523e-05,7.204977737274021e-05,6.814610365576559e-05,7.112104053943001e-05,6.835918776976706e-05,6.836866537397951e-05,6.689176620966464e-05,7.110839942470193e-05,6.974136820335456e-05,5.865818411621149e-05,7.061453470669221e-05,7.14171062434999e-05,7.144151719617903e-05,6.961357165502185e-05,7.0709217221807e-05,7.210422620573809e-05,6.73374050103152e-05,6.885384063934908e-05,6.961997926489197e-05,6.276848216657527e-05,7.267084220075049e-05,7.019638032943477e-05,7.030388335305342e-05,6.444976315833628e-05,6.729723714544952e-05,7.185380772253583e-05,6.639044204348465e-05,6.952845210288351e-05,6.845882444395102e-05,6.943174351666433e-05,7.344729030072423e-05,6.746172433243676e-05,6.715836285506016e-05,6.44342728871076e-05,6.51244276581252e-05,6.809106647172787e-05,7.07322422484238e-05,7.08047979666541e-05,6.786510978903e-05,6.805525723999987e-05,6.243976713449229e-05,6.70182027014172e-05,6.848216373753105e-05,6.88700261629752e-05,6.859177204704235e-05,6.908451950948802e-05,6.473348634351757e-05,6.823927469667979e-05
60,0.00021086494768193613,0.00021255207280369682,0.00017813227592948047,0.00018045156735192554,0.0001956428386620246,0.0002059772897544982,0.00022409776495131212,0.00020458161452552304,0.00019828384549466045,0.00019303491717437282,0.00018192550519022826,0.00020433203329104093,0.0002088359403635629,0.00019619075112242365,0.00020193705859128386,0.00021307916601169077,0.0001938684728797636,0.00019164005319493576,0.00020952066344242276,0.00019821846508421003,0.00019216172603102257,0.00019597547751410666,0.00017713956884108484,0.0002007649183118095,0.00018974100904805318,0.00018274639151059092,0.00019011997855775388,0.00018302218995813746,0.0001860520660343087,0.00017831452714744955,0.00020153369444111984,0.00018391561276915198,0.00018107621284658447,0.000190719700629238,0.00022047998289862234,0.0001857325361405466,0.00021382442355388775,0.00018881410373565316,0.0001855858828499352,0.0001897223273772397,0.00019577800620546832,0.0001986680312876025,0.0001614419406905654,0.00019387516003916972,0.00020616517959799814,0.0002029681674014826,0.00019733392951561005,0.0002016069420757336,0.0002181602071686939,0.0001913568340914308,0.00017252354882657528,0.0001936363008677621,0.0001717961290313934,0.00020762182005758709,0.00017878410435514524,0.0002011263785213802,0.0001503507883171551,0.0001959897625934461,0.00019629580492619425,0.00018856457245419733,0.00021122973859785826,0.00020447603128559422,0.00017889189136136943,0.00022099023460344012,0.00016932163291332673,0.00018381669875592566,0.000180269078797816,0.0001756988150650956,0.00018306466666183918,0.00019986895901499198,0.00019310830167442974,0.00017564396330271848,0.00017064300482161343,0.00016646773777514076,0.00019776277310614075,0.00018994651894333058,0.00018444418102652499,0.0001851954528378443,0.0002183992364734877,0.00017484846515600577,0.0001946603792021051
70,0.0003348580538295209,0.0003326041128106967,0.0003051094511950699,0.00030771779621808,0.00032113199258559157,0.0003132950847170183,0.0003455598404886381,0.0003310163343772537,0.0003231914394941841,0.0003192230797139928,0.00030360767863228064,0.00033426691590314163,0.0003361685746561059,0.00032145094706775677,0.0003358299049603588,0.00033035095778662554,0.00032430361759560624,0.0003238684277468703,0.00035005978030052835,0.00032542900861396145,0.0003218321691607483,0.00031592290075163225,0.0003180647303815931,0.00032709112711017954,0.0003160439389628462,0.00030422039562836287,0.0003162366633806678,0.0003056839689937381,0.0003095260518260629,0.00030650366862837767,0.00032634749465311567,0.0003011901017788869,0.00030951887087072606,0.0003086743738272273,0.00034561604843474925,0.00031490593937633093,0.0003349105069278984,0.0003309358871774748,0.00031154921488045343,0.000316628491418669,0.0003224534822428333,0.00031990169187106113,0.00029476898271241225,0.00033563470060471445,0.0003350499295935917,0.00031537630114287726,0.00032649907495527127,0.00033218974797484026,0.0003316869961054181,0.00031281356985283343,0.00032142180134542286,0.0003248563073363832,0.0002907460446854552,0.00033751890684167546,0.00030501392902806403,0.0003265930667557583,0.00029497567447833717,0.0003138461706212497,0.00030788054308769375,0.0003234413525206037,0.0003371144247789597,0.0003301036631455645,0.0003200694967138891,0.00034231917067830054,0.00028392104933219444,0.00031505405405858676,0.0002884266228647903,0.0002936543338188541,0.0003063690004367985,0.00031656751210952326,0.0003320020526492347,0.00030472715055414784,0.00026622872489194077,0.0002989632145424063,0.00032107008779088834,0.00031656108406529605,0.0003150534092648221,0.00031077278224749476,0.00033449822876718827,0.00029627416926600477,0.00034646440763026477
80,0.00024540312762837856,0.00024512477803337215,0.00023897013549382487,0.00023987646922110937,0.00024043883936025816,0.0002408117558973442,0.0002415107833991398,0.00024855163103079816,0.00024246769685363044,0.0002372954886595835,0.00023829478290460912,0.000247295312429018,0.00024830301690874904,0.0002466265912957941,0.00024994296596988157,0.0002444151972061566,0.0002444597620134508,0.0002498123664011047,0.00024719350767554715,0.0002481541798139612,0.0002469603086445624,0.0002440993482325991,0.00024526771157979966,0.0002470102185422244,0.00023647823296154717,0.0002510666468879208,0.00023714651944183355,0.00023674543172091944,0.00024063700727899285,0.0002461318297484409,0.00024513775114125264,0.00023607696102072412,0.00024284610285226686,0.0002413727286294466,0.0002546192998933192,0.0002370016276732453,0.00024062061435726814,0.0002485680385937237,0.00024216856768197683,0.0002415627504888107,0.00023084958333389035,0.00024250916891453906,0.00024782145374047104,0.000243814624263905,0.0002550051216722319,0.00023766284284647553,0.00024105651911148534,0.00024337345747514055,0.0002424511967547005,0.0002379041415506749,0.0002454786648740992,0.0002398749149340967,0.0002367175818877653,0.0002403453751564181,0.00022347858612192795,0.00024060049416183742,0.0002398369906586595,0.00024187444269673192,0.00023915028776338494,0.0002565400063758716,0.0002480791773714666,0.000250041553954361,0.0002455410406885979,0.0002539307461120188,0.00023602335770394548,0.00024269673986754452,0.00023599802904451886,0.00024142176440481336,0.00023947631631960608,0.00023822609410172345,0.0002515213321506356,0.00024102699292901283,0.00022362336070121577,0.00023129292094381526,0.0002354015305172652,0.00024245784133400573,0.0002423058925030221,0.00024395040224678064,0.0002379917714279145,0.00023569014342110446,0.00024279643257614226
90,0.00014674826971410463,0.00014831373172691437,0.00014097350140218623,0.0001472679273529838,0.00014387465029058955,0.00015199739053579315,0.00014784465911948393,0.0001487966837885324,0.00014752765744998226,0.00014111989867160446,0.00014227455324510596,0.0001477651893189747,0.00014358092029755372,0.00014828013566633066,0.0001505896943854168,0.00014939232945228773,0.0001468402185439897,0.00014800127596399876,0.00014522145881658486,0.00014703696312305206,0.00014625683028358393,0.00014780454876017757,0.00014580456520585963,0.00014997988085572919,0.00014087380005216727,0.0001492224633693695,0.00014414745612978755,0.00014383436458350238,0.00014313265770290266,0.00014542867422513212,0.00014918939511214072,0.00014116256100421125,0.0001483343708409498,0.00014744546241694833,0.00015180788290712776,0.0001399450940360631,0.00014447940664372014,0.00014549367849461058,0.00014629842242203564,0.00014141155224933755,0.00014483439320299243,0.00014764916696994408,0.00013714984561374877,0.00014432023308472708,0.00014965751631136395,0.00014519625217776353,0.00014212653124039725,0.00014720940421204687,0.0001464538127038395,0.00014542467428766721,0.0001444954250473529,0.00014215313355882907,0.00013925653849862732,0.00014454958242519447,0.0001370241785480175,0.0001449564436797471,0.00014799736527493224,0.00014463026409743931,0.00014642508441201326,0.00014629703218815848,0.00014843955432297662,0.00014970107622502837,0.0001539030490675941,0.00015117330310334052,0.00014143615872954897,0.00014591053343163086,0.00014714760472998024,0.00014088779339887283,0.0001415535823778353,0.00014807611860141897,0.00014676697416386256,0.0001410518719543082,0.00013514531989737102,0.00014058874997620782,0.0001416486598567904,0.00014784796879318385,0.00014806630497332662,0.00014403241209126258,0.00014406073751160875,0.00013897991607145663,0.00014219652366591616
