Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,cross,cycle,dash,depart,descend,drift,flee,float,fly,glide,go,hasten,hike,hurry,journey,limp,march,meander,race,ride,row,run,rush,sail,scramble,swim,taxi,travel,tumble,walk,wander
0,1.4970039667271005e-05,1.8331527624266324e-05,1.534414044120543e-05,1.5642342476404827e-05,1.586101111743004e-05,1.8688841399645234e-05,1.658224965144801e-05,1.5859583821592797e-05,1.431567989705319e-05,1.616497138456907e-05,1.5484926942367623e-05,1.5315924317793378e-05,1.6688563873961385e-05,1.5013359023379797e-05,1.5061320434196044e-05,1.471623295401514e-05,1.4988150112349969e-05,1.4389315126635079e-05,1.4900842221062963e-05,1.5366358469085146e-05,1.5603025076416088e-05,1.7636359611320325e-05,1.5934143563451166e-05,1.447179617268072e-05,1.5726451303115546e-05,1.5483368224522563e-05,1.531068543895784e-05,1.5314607897683647e-05,1.4491619009170201e-05,1.420978250896423e-05,1.559387736657906e-05,1.6731327097939076e-05,1.55818058829027e-05,1.6207014786507284e-05,1.7744104752637213e-05,1.731848926413347e-05,1.5176505557017089e-05,1.4023141540581657e-05,1.481030064047467e-05,1.64155148354439e-05,1.533594790321621e-05,1.6502566836607002e-05,1.6847466940816958e-05,1.5597384222737194e-05,1.622266963271326e-05,1.5936403224259264e-05,1.5691843484825784e-05,1.539469847955388e-05,1.5026489446144892e-05,1.4248985528617844e-05,1.5616131773080828e-05,1.5102236526824223e-05,1.536806576041272e-05,1.647177700482532e-05,1.6813353277970676e-05,1.272600630644857e-05,1.6870143016241993e-05,1.5060676105349557e-05,1.4779768295941014e-05,1.5908538136080518e-05,1.5901948639414817e-05,1.605298307710058e-05,1.4451544525736946e-05,1.588099880914465e-05,1.4242377195235653e-05,1.6426564668238696e-05,1.48249278026924e-05,1.43225594559138e-05,1.593051217696484e-05,1.619076719554655e-05,1.2747589835271356e-05
10,1.496720423765018e-05,1.8327617706543402e-05,1.534259657394917e-05,1.5640182902223805e-05,1.5857729424537922e-05,1.8685038672369308e-05,1.657859458294209e-05,1.5857072046891715e-05,1.4312273597630636e-05,1.6163087934728537e-05,1.5481792829239478e-05,1.5313441787040982e-05,1.6686869154606637e-05,1.5010407265215305e-05,1.5059021804036627e-05,1.4711262925478271e-05,1.4986392952345168e-05,1.4385785222277516e-05,1.4898114581488439e-05,1.5363638861648118e-05,1.55995943014904e-05,1.7632007987750903e-05,1.5933011776117687e-05,1.446895031828414e-05,1.572381506054034e-05,1.547959091112716e-05,1.5308815539854903e-05,1.531081094678181e-05,1.448895082991358e-05,1.4208692934311507e-05,1.5589276348085453e-05,1.6729003443917743e-05,1.5579206232219942e-05,1.6203596651605547e-05,1.774146678851846e-05,1.731749661563039e-05,1.5173985532687526e-05,1.4022708869147623e-05,1.4808641267391286e-05,1.6414838626133132e-05,1.5333224876079103e-05,1.6499423281857162e-05,1.684639109953423e-05,1.5596524271562596e-05,1.6220188392349213e-05,1.5935076128568783e-05,1.5690358471450356e-05,1.5391741015946536e-05,1.5023790700948227e-05,1.4245475705882365e-05,1.5615017988378757e-05,1.5101971560701108e-05,1.5368890581157756e-05,1.647009224941531e-05,1.6810365148808942e-05,1.2724200380696196e-05,1.686802368821709e-05,1.5057526979944669e-05,1.4778666872593425e-05,1.590527105970698e-05,1.5901510202335582e-05,1.6051623152702876e-05,1.445136242889728e-05,1.5878170800918655e-05,1.4240361451811623e-05,1.6423775803134474e-05,1.4819837978003697e-05,1.4320696968459214e-05,1.592772480307758e-05,1.6189844692777696e-05,1.274713249586057e-05
20,3.104978623014176e-05,3.131725639428219e-05,3.101752129926657e-05,3.1313422256901574e-05,3.116863375954047e-05,3.085160850397577e-05,3.1259597005461526e-05,3.1214157941433894e-05,3.107130329756072e-05,3.112456397502683e-05,3.119408238153146e-05,3.1149935833183214e-05,3.11060879484461e-05,3.0962524540496595e-05,3.121923787950757e-05,3.1060049650477595e-05,3.1239043718891304e-05,3.1256998468800505e-05,3.125036801066017e-05,3.127113297523465e-05,3.1317254755637035e-05,3.1154606501461656e-05,3.129676942383715e-05,3.1264347793088136e-05,3.120651146875591e-05,3.0887144384905695e-05,3.1237282259568135e-05,3.114167945265459e-05,3.128562046399833e-05,3.10431064903124e-05,3.120220477285329e-05,3.127009474085823e-05,3.137399121792091e-05,3.126791764157662e-05,3.1233691717918395e-05,3.135792017669051e-05,3.109029268288348e-05,3.118010995835489e-05,3.108313160419677e-05,3.149610552100057e-05,3.118374258926277e-05,3.136053237540182e-05,3.088683552050497e-05,3.111189643708425e-05,3.10956041893836e-05,3.136839241051348e-05,3.12436938832418e-05,3.1148689970450505e-05,3.1149179731387294e-05,3.097233969707634e-05,3.131658589924113e-05,3.1153176829927055e-05,3.161729255225509e-05,3.130114240849828e-05,3.131110980606975e-05,3.107127486146055e-05,3.134367255380087e-05,3.124437398582813e-05,3.151856081886864e-05,3.1144590152857394e-05,3.144089835889948e-05,3.134982103137024e-05,3.1327634840434053e-05,3.113809935376258e-05,3.107793034157819e-05,3.1193576787345944e-05,3.09640898714341e-05,3.130951443146783e-05,3.128430012111494e-05,3.120577216080875e-05,3.122145644738339e-05
30,8.016473529514278e-05,8.002512886714949e-05,7.982398286306609e-05,8.043846632622612e-05,8.018064646778299e-05,7.981657524526651e-05,8.017601630267416e-05,8.031115073975467e-05,7.983077357263787e-05,8.032729510887293e-05,8.022408633504385e-05,8.066589673814763e-05,8.014662991186152e-05,7.990835806457184e-05,8.039396138081107e-05,7.978143366926815e-05,8.054770781503369e-05,8.002819074907257e-05,8.043291070082757e-05,8.03840471780859e-05,8.017842673535387e-05,7.983058016439568e-05,8.023228409001604e-05,8.047185110626742e-05,8.026507266405379e-05,8.01884918473661e-05,8.007679747196005e-05,8.047892257915616e-05,8.024560426265988e-05,7.985581373026023e-05,8.046202953361595e-05,8.025149872992188e-05,8.072668340621301e-05,8.034383164729576e-05,8.029074928749146e-05,8.062066327901058e-05,8.031791127761703e-05,8.001267203574322e-05,8.013663607991738e-05,8.055726311795297e-05,8.010601541559965e-05,8.011688987608068e-05,8.002867980394512e-05,8.006355461762531e-05,8.032962451627674e-05,8.06487217362571e-05,8.046904194838645e-05,8.039193676268042e-05,8.027332886082024e-05,7.99118815021674e-05,8.04369661916728e-05,8.064868779911194e-05,8.125360473059118e-05,8.049095450420579e-05,8.049538230587696e-05,7.991115522930737e-05,8.047641610466344e-05,8.03116345196031e-05,8.071921244360662e-05,8.020449548404521e-05,8.01756240737935e-05,8.041591894242072e-05,8.061228005250019e-05,8.028721352168652e-05,7.971477801523481e-05,8.022243194070391e-05,7.9753537907631e-05,8.037439047550452e-05,8.032817822822835e-05,8.001355473891276e-05,8.085655645118095e-05
40,0.0005013700960065566,0.0004958194180357235,0.0004912293807137758,0.0004942426399793476,0.000496326492586515,0.0004904836574236729,0.000499208471850462,0.0004993036113149833,0.0005004875987467556,0.0004935019605909474,0.000497385948597465,0.0005001597016175487,0.0004928706506634074,0.0004984697668326341,0.0005032112743185066,0.0005035362531392215,0.0004972963465011812,0.0004953222391284012,0.0004988394804448555,0.0005008368155298133,0.000500350001339729,0.0004969334352478784,0.0004916658838434766,0.0004999468394089491,0.0004960810562359199,0.0005091867875307799,0.0004969984987720607,0.0004961512889470517,0.0004987796265221037,0.0004982076277355513,0.0005002311384305358,0.0004982360361072307,0.0005000604847177434,0.0004959626605214421,0.0005021753184135176,0.0004960096032716267,0.0004947135048017739,0.0004989882978737693,0.0004958773935802775,0.0004915931822324637,0.0004987049497356836,0.0005045790931035299,0.0004927542322548106,0.0004939355023548399,0.0004967676717665438,0.0004948336261025231,0.0004967694212131104,0.000493287682729715,0.0004971957000791384,0.0004929937448733571,0.0004947004703213819,0.0004966622752059872,0.000496768779703416,0.0004994550004734524,0.0004941758535127958,0.0005021703519477425,0.0004928563045518052,0.0004969381625414826,0.0004931412905635727,0.000495709416617711,0.0004960903994894276,0.0004969458214648229,0.0004952833308683088,0.0004957484011643206,0.0004949076424559786,0.0004992994896359983,0.0004952054025904674,0.0004979723920358435,0.0004897585495200474,0.0004961060608557167,0.0004978861688869074
50,0.000890347282669658,0.0008800883510115522,0.0008933952679702392,0.0008657242431162069,0.0008887174801570893,0.0007605453803470093,0.0008478157415670614,0.0008662140839185347,0.0008644187473692,0.0008314876140502747,0.0008914837618013499,0.000853523040043038,0.0009008914789636478,0.0008809357505842028,0.0008893501225804143,0.0008535888337064534,0.0008631719614467805,0.0008860970972565628,0.0008977517988699089,0.0008968250600931545,0.000904654329105352,0.0008763805375825281,0.0008834822600086531,0.0008735341912445922,0.0008871557859940425,0.0009293814306147397,0.0008628496589447041,0.0008525296131362362,0.0008949702831587809,0.0009181485436255893,0.000860754370999833,0.0008726185814549143,0.0009248419765544196,0.00088082579895854,0.0008583071596351349,0.0009032565773980293,0.000829903981770928,0.0009331899663348767,0.0008783347004216658,0.0008886847317626234,0.0008666798261246901,0.0009899761789711192,0.0008877098676748574,0.000833041074465176,0.0008472726361728028,0.0008737385913264006,0.0008419869978720191,0.0008334936974279117,0.0008888711542160058,0.0008357294110200283,0.0009375788952009036,0.0009043807513080537,0.000901363743469119,0.0008998104093159187,0.0008749629427068706,0.000883831716650589,0.0008512470077583065,0.0009455368999624625,0.0009001194541471907,0.000886634940532251,0.0009113844949752093,0.0009120253064314164,0.0009143685176106239,0.000849358388222754,0.0008660618138189117,0.0009026262189515612,0.00087170723210355,0.0009020975215413097,0.0008024987109820358,0.0009089379269089707,0.0008700913342181594
60,0.001856483399515619,0.0018664321913901302,0.001853936167511468,0.0018954406743152783,0.0019070240889994215,0.0017340030587677444,0.0018144464364365463,0.0018425496870323138,0.0018508858548453714,0.0018128349620383233,0.0018717902712523937,0.001805139178106067,0.0019070755542171273,0.0018467571759229581,0.0018128240727545584,0.0018008356758703787,0.0018401840421748126,0.0019006466793627301,0.0018755209499171802,0.0018608939197535315,0.0018996670161588833,0.0018903032198847672,0.0019029578162978093,0.0018340768486571808,0.0018299251798510787,0.0018106071511283517,0.0018456261210714378,0.0018452114187918294,0.0019002062446602126,0.0019340882858922405,0.0018035863774518172,0.0018416195570562894,0.0019043396616605325,0.0018728015088844438,0.0017554653911954826,0.0018789913987607829,0.0017925606792376033,0.0019407801076092503,0.001887465714959495,0.0018980583190568723,0.0018452747422765862,0.002039024926489219,0.0018384092720225454,0.0018190895391039942,0.001846601870401125,0.0019233469402284494,0.001781061775737295,0.0017988286963372957,0.0018862054536745337,0.0018155632265420122,0.0019264190207020594,0.0018149739577590178,0.0018626009812578558,0.0018659448061062365,0.0018762487452477217,0.0018298038154501808,0.0018422445482624474,0.0019056810124311596,0.001926285030397897,0.0018966804383895718,0.0019135398324579,0.0019389797097212203,0.0019310363104860127,0.001802884923243845,0.001842024024679429,0.0018799948829601144,0.0018546775016667588,0.0019462857509948194,0.0017197009292431176,0.0019300089378160338,0.0018991565681062638
70,0.0017364428227616322,0.001779700586296342,0.0018302436316541086,0.001812764284057686,0.0017900158934106556,0.001675181822585208,0.0017030766691952463,0.0017696474382069474,0.0018015986903794582,0.001743622138747014,0.0018148396601095611,0.0017996159078059147,0.0018316137773746793,0.001775969371947488,0.0017123876755838008,0.0017626154828273382,0.0017682637290341691,0.0017301287307533659,0.001763029780704528,0.0018042312981560826,0.0018234439570313462,0.0018334698855012124,0.0017631050602843364,0.0017453581133546928,0.0017465892125896755,0.0018292669672518968,0.0017630395314265643,0.0018018206562070798,0.0017919995917883866,0.001895414543293056,0.0017927933763712644,0.001801306341524021,0.0018750105809886009,0.001798344854547014,0.001783408392738137,0.0018013644626729988,0.001748275164955933,0.0019068689593537288,0.0018139308478391494,0.0018432284996379167,0.0017680297209385861,0.002061278617475182,0.0017693923320621252,0.0016643401897071225,0.0016839572412304972,0.0017889951438909131,0.001686690838827768,0.0016792528804217,0.0018298926929830863,0.0017046706793321805,0.0018730818186528408,0.0016615802305750549,0.0017396892653778195,0.0017629518549015023,0.0018098053145061794,0.0017392811661755497,0.0018328313142441774,0.0018438740371493623,0.0017989619809668511,0.0018156556233477133,0.0017954108770936728,0.0018234388409582999,0.0018018266559078325,0.0016772936744330167,0.001636943133133981,0.0017597020615811472,0.0018396666855551302,0.0018281026211972799,0.001497356002801098,0.0018372201710986364,0.0018114430247806012
80,0.0012541321213231295,0.0012593144244790353,0.0012627703448136647,0.0012807055466020336,0.0012769429536265192,0.0011463176592120103,0.0012027407027480582,0.0012569980371706917,0.0012538932555626275,0.001243074075318873,0.0013017772946989647,0.0012571660193557643,0.001312549529371388,0.0012599082697168783,0.0012161258286248673,0.0012475982536367762,0.0012696610494805057,0.0012448178493724312,0.0012788013139340495,0.0012835497090903421,0.0012874151168104548,0.0012781211407855153,0.0012825707051282128,0.0012533357929593572,0.0012381971178073731,0.0012497647199779748,0.0012427079519482269,0.0012833170318723812,0.0012762789614498616,0.0013582174865258557,0.0012496184092015028,0.0012671967650441309,0.0013245210575405508,0.0012660983023991765,0.0012308423885972137,0.0013254975336686975,0.001247560173444646,0.00137870076154782,0.001335283704186195,0.0013292899311636575,0.0012372543439615835,0.0014929819299140945,0.001250965881627053,0.0011742546186341268,0.0012586273847294874,0.0013291358798077065,0.0011801536990484844,0.001220732496221899,0.0012893972834090478,0.0012142891699278896,0.0013450557536158997,0.0011733349917146068,0.001252324553206563,0.0012450378580608082,0.0012647917429948676,0.0012026133163916793,0.001287228801482988,0.0012629175325855613,0.0013278678331213694,0.001285601878323807,0.0012804807396605612,0.0013254970532431396,0.0013070219035769158,0.0012390407757741308,0.0011844774384775923,0.0012421844974643999,0.0012815898184531502,0.0013529795476408194,0.001168288305052556,0.0013320110542621433,0.0012996503384783864
90,0.0018852683054786678,0.001843628292489383,0.0019774837516403445,0.001960687045581066,0.0018782091453742188,0.0016370008566549846,0.0017881293859963695,0.0018367188704181828,0.0018827693973066685,0.0018614967266330495,0.001960424822755158,0.00188581616741282,0.0019718562958366942,0.001886469560717656,0.0018156786202726996,0.0018397602204155798,0.001891194142877967,0.001879036041931544,0.0018699920869299344,0.001884203290877243,0.0019085462724503417,0.0019029303803108633,0.0019704456347972156,0.0018703775208753844,0.0018894390502412403,0.001977403671480715,0.0018888651506013929,0.001958339589085275,0.001889041136018932,0.0020838608071508426,0.0018497181745866934,0.0018886083584780304,0.0019882889464497566,0.0018889151302404529,0.0018587317576424943,0.0020366778356089655,0.0018847263310913388,0.0020272783003747463,0.0020086644862565292,0.0019969300701632164,0.0018688963089594022,0.0021758218063041568,0.001937472226563841,0.0017836842759463348,0.0019040841719527779,0.002010225265153817,0.0017876044853198294,0.0018237592521472834,0.0019553083312248104,0.0018895697906952012,0.002037935580413502,0.0017533803766127676,0.001936242647934705,0.0018448488482711266,0.0019511566497385502,0.0016877044902437112,0.0019290622609156754,0.001867787999799475,0.0020454965124372393,0.001934550587947552,0.0018903854303061961,0.002067081618963951,0.002017508166048814,0.0018814502992910577,0.0017349628291817175,0.0018663425300899264,0.0019136926774600787,0.002063103224856839,0.001828672204283066,0.0020502364710990747,0.0020356575842015445
