Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,4.771359934541882e-06,6.116567882835861e-06,4.880014747262369e-06,5.689806284163541e-06,5.4770748791477535e-06,4.3554477672712115e-06,5.781512167994796e-06,5.386224050820793e-06,5.598914591430486e-06,5.418570012238888e-06,6.242834587406653e-06,5.135530430806637e-06,6.013633916760834e-06,5.33088361655907e-06,5.911626393593478e-06,5.564313018642982e-06,5.6715617301419804e-06,5.2505146877132276e-06,6.646446503769507e-06,5.077873623425452e-06,5.375414730224293e-06,5.3598936631260585e-06,5.7560779805498895e-06,5.6612275026661035e-06,5.1669760667873705e-06,7.024409296718659e-06,5.264551774534114e-06,5.2708895784311e-06,4.961868800070506e-06,5.3090383362946485e-06,5.887625638933968e-06,5.879713617454959e-06,5.717917247238802e-06,5.752015063191676e-06,5.314114585214864e-06,5.503914625900766e-06,6.120454893215011e-06,5.251543970271913e-06,6.519204085437316e-06,5.365052160755113e-06,5.284694939941151e-06,5.311415022449782e-06,6.615277015953325e-06,5.701546820091608e-06,5.6050670848076395e-06,5.39131078767241e-06,5.808149593836528e-06,5.905220792045472e-06,5.708322248665354e-06,5.578620477441793e-06,6.040993048372911e-06,5.812361306115318e-06,6.351793095186272e-06,4.98453058147182e-06,7.073079336805676e-06,5.533783645920007e-06,5.488493115990423e-06,6.690653616056681e-06,5.791081238467913e-06,5.7859080015987274e-06,5.882411705799744e-06,5.419119986527221e-06,5.68906299728648e-06,5.230594622064798e-06,6.018291142279648e-06,6.639598565855592e-06,5.412003004797346e-06,6.179511794999275e-06,5.9021485362286e-06,6.227686361574973e-06,5.068896143711754e-06,7.043877189971681e-06,5.544597721988491e-06,8.447909522146801e-06,6.733226168112846e-06,5.537500257631038e-06,4.863708909397246e-06,6.663582481788551e-06,7.925987404178159e-06,6.003127970236638e-06,6.290792134677758e-06
10,4.77176399272139e-06,6.117114093353006e-06,4.880795889524355e-06,5.6910107314951554e-06,5.477844766412804e-06,4.355764986030408e-06,5.782139561644374e-06,5.386752613838708e-06,5.599270200980731e-06,5.41930440078886e-06,6.243631054935071e-06,5.1357597580395776e-06,6.0137620177115565e-06,5.3310465504678594e-06,5.912450454642942e-06,5.564708146721387e-06,5.672504031616925e-06,5.251240671711883e-06,6.647016269718213e-06,5.078616395621794e-06,5.376284212406272e-06,5.360304811574679e-06,5.756636719524977e-06,5.661805494128202e-06,5.16749780275397e-06,7.026710454738349e-06,5.265222768919616e-06,5.2714689739256455e-06,4.962331938847509e-06,5.3095594840934e-06,5.888545113824269e-06,5.880667073982365e-06,5.719067556898293e-06,5.752576157647127e-06,5.314964470118058e-06,5.5048012979698664e-06,6.121268846096714e-06,5.252370783637161e-06,6.519988026039174e-06,5.365940410229086e-06,5.284388505190561e-06,5.311318618430263e-06,6.617977419409726e-06,5.702000385099381e-06,5.605169618368229e-06,5.392122289106881e-06,5.808845220859179e-06,5.906005933291836e-06,5.709045268531554e-06,5.579099185273788e-06,6.040748939994956e-06,5.812402770805585e-06,6.352580822539704e-06,4.98574898225949e-06,7.074197401379933e-06,5.534577843607213e-06,5.490926923812367e-06,6.692321856713408e-06,5.79069350434028e-06,5.786683573205664e-06,5.883030057067185e-06,5.4197740269046335e-06,5.689314017824169e-06,5.231822115092655e-06,6.019117203474404e-06,6.64111364760454e-06,5.412405425886391e-06,6.1805417586309815e-06,5.902952380067829e-06,6.228370231944716e-06,5.068485127897778e-06,7.044365323357245e-06,5.5441053821899304e-06,8.450202585663646e-06,6.734963530366908e-06,5.5384019094174604e-06,4.863758558063377e-06,6.664418725493658e-06,7.927435319743381e-06,6.003921231133384e-06,6.292992202361347e-06
20,1.7785741001716814e-05,1.797898585209623e-05,1.7826762814365793e-05,1.782457119798682e-05,1.785659181142721e-05,1.7716826343010844e-05,1.7951532666507597e-05,1.7928046944641545e-05,1.7957374277816426e-05,1.7865134395833593e-05,1.791894260630799e-05,1.789754587290951e-05,1.7948797462987855e-05,1.7854868129881762e-05,1.7921083182206047e-05,1.8050206563202664e-05,1.7817834629698025e-05,1.7880427434117992e-05,1.7913022215257763e-05,1.788595982361585e-05,1.7895187612828943e-05,1.7969182116368237e-05,1.7873383840196765e-05,1.7990826442352652e-05,1.7877883129542516e-05,1.8071059457724914e-05,1.7895426730495772e-05,1.7842170526212914e-05,1.781351217205691e-05,1.7912288175495867e-05,1.7888355529673087e-05,1.788539360019898e-05,1.7895121205723488e-05,1.7877724153882677e-05,1.7793186493185607e-05,1.7781125442135298e-05,1.7922995299924975e-05,1.784844326638532e-05,1.7872717817445814e-05,1.794772765606467e-05,1.7887295533520436e-05,1.7902309604749538e-05,1.788583927009313e-05,1.7779558038455435e-05,1.7906183386098985e-05,1.7894416535120017e-05,1.7832944467954804e-05,1.7933899503157335e-05,1.783427455848141e-05,1.7864984046950825e-05,1.7910967289935798e-05,1.7803217071394268e-05,1.7892712849760964e-05,1.774751475143906e-05,1.790272599464515e-05,1.781869639448907e-05,1.7732163541950285e-05,1.78754044413679e-05,1.7876767907926645e-05,1.7789273442758713e-05,1.793022007620092e-05,1.7905303593579447e-05,1.7803959660038043e-05,1.7895934174053503e-05,1.7842253126016454e-05,1.7928358255840767e-05,1.78411099720203e-05,1.7817515414521117e-05,1.7855739298721784e-05,1.7874623875098035e-05,1.7968040386525292e-05,1.7876420012422994e-05,1.7892975544479366e-05,1.7695177727243088e-05,1.776617162769461e-05,1.789170618122897e-05,1.782053745305997e-05,1.794701136297531e-05,1.8203292484031408e-05,1.78436057314623e-05,1.785920139809605e-05
30,7.975745296183353e-05,8.088229730708042e-05,7.946435956303806e-05,8.02611041133507e-05,7.990049796924584e-05,7.936356684824984e-05,8.008463626010194e-05,8.002905221809143e-05,8.035526595069567e-05,7.895660155554651e-05,8.014035991459142e-05,7.921010071687325e-05,8.081254539623235e-05,8.00813657847219e-05,8.029842026778223e-05,8.070094645518111e-05,7.941905165526328e-05,8.066595864299496e-05,8.026047882075156e-05,7.96216600186502e-05,8.080781856104014e-05,8.057692152111226e-05,8.056372239176805e-05,8.07746546342969e-05,8.048787080158021e-05,7.952747255330905e-05,8.086915958331027e-05,8.021801128658505e-05,8.062472967567908e-05,8.049387343494492e-05,7.975954863165194e-05,7.968949089095426e-05,8.037941342291351e-05,8.035321883564792e-05,8.007691374384901e-05,7.908643900529049e-05,7.984902674108621e-05,7.978025744457476e-05,7.994882634445373e-05,8.013361411940423e-05,7.88470299864587e-05,8.043799777837232e-05,8.045499089348596e-05,8.010907404241153e-05,7.995716479950046e-05,7.979885137358093e-05,7.943173643850189e-05,7.94929234089387e-05,8.005311769920809e-05,7.996497967316576e-05,8.000745583558455e-05,7.980418211611158e-05,7.999957893984034e-05,7.906790597189683e-05,7.808834780007601e-05,7.956149338682809e-05,7.86684722697828e-05,7.901568786674661e-05,8.019892199875109e-05,8.025803799682762e-05,8.007445316624037e-05,8.076806534518255e-05,7.991030239888157e-05,8.051697867423562e-05,7.973350936178274e-05,8.000486917668381e-05,7.998554986746361e-05,7.978481364496533e-05,7.958843000071486e-05,7.967344585644619e-05,8.117390017206263e-05,7.919125710031949e-05,8.115717112862815e-05,7.95701610816953e-05,7.9095882288779e-05,7.959501666633727e-05,8.060455521834748e-05,8.02548132806776e-05,8.084688215603819e-05,8.028780704240918e-05,7.990798840182834e-05
40,0.0005565389571711421,0.0005611760748757257,0.0005586765522214895,0.000559557606287014,0.0005551983272255975,0.0005594141299038061,0.000555670291613487,0.0005571493031885965,0.000558232588699394,0.0005475850339280441,0.0005596341668731637,0.0005551340231881002,0.0005657150353671926,0.0005577277889559892,0.0005580838728586541,0.0005591276373403767,0.0005559748263164822,0.0005623612101956071,0.0005602254864892789,0.000558162476712217,0.0005624048367071037,0.0005612171402650087,0.0005624067348738511,0.0005626354579968999,0.0005578624005133789,0.0005618740804493427,0.0005642950803326864,0.000557545052288333,0.0005607407142901246,0.000559944297081881,0.0005570975093481442,0.0005581205791363922,0.0005629112856695428,0.0005551735677461071,0.0005564960237178537,0.0005574274265589858,0.0005560122303186768,0.0005591770962134681,0.0005599620719776904,0.0005603899007837754,0.0005588407844438084,0.000560929286021224,0.0005602807941613719,0.0005615596775896848,0.0005561768316271666,0.0005583744698302134,0.0005548296080503081,0.0005575293790459176,0.0005605569931503851,0.0005586676972974412,0.0005678734160028398,0.0005614265841855245,0.0005588090700957064,0.0005555863657112544,0.0005588425032328814,0.0005557681576405861,0.0005626191850751638,0.0005551420898851136,0.0005592462627894499,0.0005601592129096389,0.000560342043798457,0.0005621216041618027,0.0005654646083712578,0.0005611512294438269,0.000564753427170217,0.0005595739568189646,0.0005606968576709429,0.000560030400607815,0.000558122937541662,0.0005590315254799485,0.0005646765219151146,0.000559313785439978,0.0005639621328252057,0.0005574670794885606,0.0005452183624064284,0.0005558956438651332,0.0005619099829345942,0.0005621553404301765,0.0005584657119470648,0.0005591892991449778,0.0005582916375715286
50,0.0018432749932010969,0.0017242434098281795,0.001973580210081612,0.0018691029542913804,0.0018475853758451494,0.0017776850810540573,0.0017218099730539947,0.0018216544045380463,0.001823770032629748,0.0017622736704652198,0.001931857001496318,0.0017997187619306603,0.0018333705586635253,0.0018303417918187652,0.0018282111268490553,0.001749351048298801,0.0018370382798214753,0.001891271398355595,0.0017744662431401334,0.0018821447715163231,0.0019382580022255962,0.001905047648636225,0.0019004041235893964,0.0018428479282495875,0.0019132560026639746,0.002101614000275731,0.0018800042640988626,0.0018528385796040918,0.001919989489868064,0.00200244466090695,0.001857193239654104,0.0019194583560769947,0.00194668675137039,0.001796892594983347,0.0018357872096304265,0.0018875099402586265,0.0017125604116651964,0.001913563221354376,0.0019088705751977592,0.0018911796069005504,0.0018270309748394148,0.0017924066372909287,0.002038602455286309,0.0019100819248706103,0.001760178999240069,0.0017640599257949935,0.0018105912645946123,0.0018009792823393486,0.0017574051598785445,0.0018729314173908968,0.0019705207785591485,0.0017730029702017253,0.001987206649321776,0.0018749588246767719,0.0019189074169844388,0.0017936074707124914,0.0019117668853141367,0.0018582495957099158,0.00175846987192265,0.0019895069708582014,0.0017815914414372415,0.001995487546082586,0.0019087079757203658,0.0017775412249777997,0.001992415610907806,0.0018799705341315041,0.001944079304424425,0.001979965930654397,0.0019041082446670367,0.0017984690750856792,0.001858458608492381,0.0018725493767609198,0.0019982658559456468,0.0018394113479492564,0.001730949983799032,0.0018929898642100298,0.0019221736168089723,0.001915424931681745,0.001732732998789288,0.001955407835003145,0.0019057767349295318
60,0.0010867838351987303,0.0010079149333587676,0.0012702971677451085,0.0012276517988469165,0.0011636391193664904,0.0010606930923781224,0.001030377943196424,0.0011175301884864702,0.001141507415059671,0.001145949227066012,0.001201556398343571,0.0011349011673496999,0.0011275191438581908,0.0011217592426956717,0.0011203222339698936,0.0010552566939926085,0.0011641562908023065,0.0011609899126217241,0.0011113740952818521,0.0011614353962553043,0.0011743558194631568,0.001144533178636006,0.001228004121997704,0.0011363402397061388,0.0011932976093024961,0.0013064745813608169,0.0011673603787071883,0.0011966624939911223,0.0011716831174186048,0.0012195696875888615,0.0011715834316176673,0.0012170153405839722,0.001233650982612744,0.0011539519196603356,0.001093218879153331,0.0012392133482665355,0.0010751006354295992,0.0011933567266995933,0.0012205706661039717,0.0012130893992434721,0.0011722308284203922,0.0011175487325477235,0.0012935810082126409,0.0011854145675897598,0.001049713544106405,0.001061071505108358,0.0011531271863662238,0.0011449172631265562,0.001051869434377295,0.0011631244440273992,0.0012724680360406636,0.0010848095725205812,0.0012618059740186884,0.001159716528491117,0.0012865979108028114,0.001128948674945883,0.0013400057796388865,0.0011458615912927378,0.0010712815459224987,0.0012813371722586453,0.00108576985514192,0.001104907576518599,0.0012875399940336745,0.0010661082758036042,0.0012619255430763587,0.0012315894530799526,0.0011281627152735989,0.0012655192328947446,0.0011814922030747835,0.0011078476159086636,0.0011024919416134555,0.0012465603164552401,0.0012182342664649088,0.0012396912400921185,0.001231915517044919,0.0011448822855078555,0.0012250153148280723,0.0012081920097942553,0.0010122899620910175,0.0012081969331777772,0.0012383238004986196
70,0.0007132203904135773,0.0006667093192744586,0.0008593457459937781,0.0008316737935484315,0.0008158674143119185,0.0005907084310560354,0.0006552974049437551,0.0007381934272799347,0.000755203651673974,0.000720151334462571,0.0008055898486665323,0.0007540225122618127,0.0007412883842886058,0.0007368689641060138,0.0007217449940713671,0.0006172697891694648,0.0008255446411480772,0.000832821640386423,0.0007704139092571235,0.0007388715286894391,0.0007480251656558651,0.0007567893657583877,0.000861177920208623,0.0006906840445784231,0.0008192844360896815,0.0010447057778947056,0.0007690889272658575,0.0007920694594455805,0.0007860551406766343,0.0008627974607553633,0.0007199513985930631,0.0008429924469405356,0.0007907482196550028,0.0007695539420748856,0.0007446191060201576,0.0008440347056810944,0.000665697761609121,0.000839348406192254,0.0008437316752521388,0.0008682746683916776,0.0007387106888927519,0.0007400099947265884,0.0008593970342190005,0.0007421447371598333,0.0006724465286089597,0.0007105321344600893,0.0008290577101953594,0.0007355043413362613,0.0006495797179013607,0.0007544706855571411,0.0007694911095313728,0.0006829942550129173,0.0008918163765114374,0.0007023318806507935,0.0008367749396711588,0.000754147213265984,0.0008786951948422939,0.0008060032238878695,0.0005873842217790133,0.0009791838529054075,0.0007421327692266273,0.0007295086215890478,0.0009012939747966205,0.0006731764879077673,0.0009294943091744143,0.0008467494039975394,0.0006914113454210262,0.0009249599515310218,0.0008565594204507457,0.0007657221663189499,0.0006751982210617927,0.0007617964292876422,0.000895800224194924,0.0007818487889987106,0.0008508377276094896,0.0007354210409813548,0.000739921464368568,0.0008489423407515842,0.0006682736857328564,0.0008160545857047991,0.0008034495200263337
80,0.0012846975470893085,0.0012946231182906086,0.0014521169456808518,0.001433590877478799,0.0013949885556203184,0.0011495016016332166,0.0011747090029530227,0.0013341466087455813,0.0013496493154405793,0.001321287483733613,0.0014254572638885382,0.0012872788012122773,0.001382174030313212,0.0013217915980159446,0.0012942172456806636,0.0012377862076391466,0.0013883508384294277,0.0014678357085036232,0.0013719895255884954,0.0013015724516784151,0.0013773481057097131,0.001359802479523101,0.0015025080523143211,0.0013491251117860278,0.0013202634540253452,0.001650316291488707,0.001393632770838937,0.0013966487579940197,0.001446249885895454,0.001455869235571534,0.0013266488715695838,0.0013815125298256485,0.0012983017054816277,0.0013533416899807024,0.0013555496116168797,0.001340348263121476,0.0012130312097724527,0.0015110396145080979,0.001415291531796915,0.0013760417423327453,0.0012011798597606166,0.001334755628201318,0.0014473126648226753,0.0012424622313119472,0.001340069039112055,0.001320024378181092,0.0014020053096049066,0.0012603962473293538,0.00124814629816683,0.0013128022697417002,0.0014103113440796732,0.0012680181005800312,0.0014024352005575426,0.0012180331492951761,0.0012924924725666643,0.0013177694339419203,0.0013001917395740747,0.0013119437117611282,0.001199901135723022,0.0015448307967744768,0.0013165390513266526,0.0012706490451819263,0.0015385011211037636,0.0012608782853931189,0.0014481857878207746,0.001442845919742607,0.0012276255525648593,0.0014185570906447146,0.0013967923565629732,0.001274506781178921,0.0013903625658713281,0.0012822819893093158,0.0013906221526364486,0.0014117145522808034,0.0013050928745152695,0.0013166956456874001,0.0013000343710051052,0.0014522843557642773,0.0012852459112764336,0.00140410808537218,0.001340226427419111
90,0.0012433615412252644,0.0011861026632013145,0.0014640261991492782,0.001388304546708241,0.0013356729501952664,0.001036490554854806,0.0010818736599532948,0.001254146398614945,0.0013101145638376947,0.001259538643353153,0.0014298269000582765,0.0012086104216738319,0.0013409442141313445,0.0012541499216405844,0.0012296427369994276,0.0011859652780306835,0.0013397993136008847,0.0014323029833657173,0.001261741471742945,0.0012672740515942374,0.0013103231805591628,0.001315194093746998,0.0014657518733292819,0.0012873872086250533,0.001281399897018832,0.0015519487904384732,0.0013490697395266784,0.0013707492313794016,0.001408342196715667,0.0014454916348650812,0.0013015202285411457,0.001343948674800161,0.001285387079965753,0.0013223864065721722,0.0012538038232984643,0.0012696576595772058,0.0010856075264439966,0.0015328312768939543,0.001447673017405961,0.0013707473153772298,0.0012034443123931332,0.00128085742967124,0.0016112510929815471,0.0012182642763946205,0.0012504630844647948,0.001231587602830443,0.0013680452805212033,0.0011483386803312194,0.0011397491016396089,0.0012891081318355583,0.0012609798461198807,0.0011679155445149677,0.0013772991897824866,0.0011074359887667622,0.00119822109118104,0.001168025473408325,0.0012637735344469547,0.0012720685757311254,0.0010964526763101194,0.001384055067319423,0.0012870070672223485,0.0011742732021957636,0.0013943244703114033,0.00117807650739061,0.0013633638785298292,0.001419837238231244,0.0011626293145430586,0.0013726140117092478,0.0013032145005935389,0.0012193462493628063,0.0012583247541139524,0.0012347915132219593,0.001358003937639296,0.0013805354343882452,0.0011684752867690154,0.0012471392212508173,0.0012389451439958066,0.0014300470830940252,0.0012541469041025266,0.0013787064935127664,0.00133822052157484
