Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,cross,cycle,dash,depart,descend,drift,flee,float,fly,glide,go,hasten,hike,hurry,journey,limp,march,meander,race,ride,row,run,rush,sail,scramble,swim,taxi,travel,tumble,walk,wander
0,9.16265945134738e-06,1.0239763351246776e-05,9.81686722904366e-06,9.35261648989511e-06,8.449304891367814e-06,8.999224714248807e-06,9.595194239497481e-06,9.481948150185453e-06,1.0617250643894916e-05,9.54095159499957e-06,9.2607922874496e-06,9.47804450593789e-06,1.023035542168531e-05,9.43353021890895e-06,9.974719555697554e-06,1.1821137036349683e-05,9.69786078387967e-06,9.347118405837793e-06,1.0168331527893315e-05,8.840876228835744e-06,1.0196551934663707e-05,9.64376381164454e-06,9.79679746402932e-06,9.917347748948183e-06,9.029202695432653e-06,9.296474718212267e-06,9.338614276085508e-06,9.027714564050863e-06,9.28198806992869e-06,9.29770081095358e-06,9.95975408841332e-06,9.740277111912012e-06,8.493592216697065e-06,9.038229817697146e-06,9.81440416580881e-06,1.0017547944179178e-05,1.0264799273404366e-05,8.988741972809128e-06,9.991697978360875e-06,9.560438456901466e-06,9.701753629571535e-06,1.1657439586088003e-05,7.987491426320047e-06,9.139303672686525e-06,1.011733844327529e-05,1.0212381000331204e-05,9.46621094443432e-06,8.953444904591379e-06,1.0089476992608729e-05,9.321671437977454e-06,1.0360199932900006e-05,9.200751643826758e-06,9.260138313038624e-06,1.0031002500686647e-05,1.0017689513413894e-05,9.713688417501874e-06,9.440849661127344e-06,9.96199753444671e-06,9.767930369738073e-06,1.1167900433625058e-05,9.694945371544842e-06,1.0325419504125978e-05,9.093973172066736e-06,9.325365693724519e-06,9.682488224724591e-06,9.54711165761253e-06,1.0239124078127912e-05,9.639711856101301e-06,9.12956289766953e-06,9.94196494395831e-06,8.07381838967558e-06
10,9.161016986876643e-06,1.023775378901822e-05,9.815283495602975e-06,9.350391900835138e-06,8.447817050136443e-06,8.999470602637822e-06,9.593563588843549e-06,9.480450426410385e-06,1.0615004163200059e-05,9.53905390588261e-06,9.259679234359574e-06,9.476297292371319e-06,1.0228512812979964e-05,9.431415629947107e-06,9.972842690331163e-06,1.181869663469115e-05,9.69642046367794e-06,9.345288036237883e-06,1.0167618955035454e-05,8.839283758182622e-06,1.019592258531842e-05,9.642812943054326e-06,9.795404318235039e-06,9.915372644779079e-06,9.02778280818431e-06,9.294456594943767e-06,9.336403309134766e-06,9.026549596076924e-06,9.280764098708887e-06,9.295448080592905e-06,9.95813211678372e-06,9.738601997574173e-06,8.492015135393907e-06,9.036931958182196e-06,9.811877741109734e-06,1.001465769994476e-05,1.0262838313074577e-05,8.986647489192281e-06,9.989976063819535e-06,9.558104068219109e-06,9.700180769752788e-06,1.1655147773126373e-05,7.98595663127344e-06,9.137989859721673e-06,1.0116271196717494e-05,1.021027221993011e-05,9.464426448016239e-06,8.95106047948957e-06,1.0087684366790827e-05,9.319219605624147e-06,1.0358544631554441e-05,9.197294427091643e-06,9.259576336262398e-06,1.0029147066531123e-05,1.0015840839984995e-05,9.712256376753265e-06,9.439252867147149e-06,9.960178374512907e-06,9.765081592326573e-06,1.1165968883757999e-05,9.692996900412255e-06,1.032328293970955e-05,9.09145653075164e-06,9.323427679322907e-06,9.681092301939821e-06,9.54496159442011e-06,1.0237735198513422e-05,9.637869045637935e-06,9.125896042405657e-06,9.939090761094611e-06,8.072215950960527e-06
20,2.6658806254508328e-05,2.6832126793494723e-05,2.6576553864288144e-05,2.6595450113885677e-05,2.6466722524271028e-05,2.678883980219585e-05,2.668258161241782e-05,2.6638870265599633e-05,2.668541736379148e-05,2.664749149516865e-05,2.668746236412079e-05,2.6723684641183354e-05,2.6761968029225528e-05,2.6643258796398047e-05,2.6721158300300457e-05,2.6700452508521266e-05,2.6691584805251167e-05,2.6644440989497802e-05,2.6782101161058692e-05,2.655724631040357e-05,2.6720286013397318e-05,2.6722787976853268e-05,2.660251722166625e-05,2.6621938983832174e-05,2.6686291502777576e-05,2.6610627537593244e-05,2.6634593972806713e-05,2.670099365786882e-05,2.6636603284072516e-05,2.6660207837384434e-05,2.6654963633821656e-05,2.6679916397999757e-05,2.6518690097313643e-05,2.6613607016855005e-05,2.6723070732259657e-05,2.6732343453009628e-05,2.6641317186946062e-05,2.657505650528368e-05,2.67138864027325e-05,2.6638645863386046e-05,2.666050873968027e-05,2.6779939162224764e-05,2.6534193239058368e-05,2.6575276742254284e-05,2.6758955477577585e-05,2.6665718334178174e-05,2.673667884728434e-05,2.6819365587016364e-05,2.6650549161472712e-05,2.6892840733952735e-05,2.6809392035759697e-05,2.6588598757371074e-05,2.6718984918261414e-05,2.6681149355848606e-05,2.6618210540618747e-05,2.676983769395685e-05,2.6751770111400464e-05,2.665505917320843e-05,2.6768268576739098e-05,2.665615449167e-05,2.6826368897066764e-05,2.673341320284332e-05,2.6696417198426962e-05,2.6714384951340327e-05,2.671180502349873e-05,2.6720552010705102e-05,2.6871729720109476e-05,2.6673381941485963e-05,2.671558195288526e-05,2.6679590457909498e-05,2.6672022613638546e-05
30,6.688714662182925e-05,6.701660620617784e-05,6.68581105855992e-05,6.668422608457219e-05,6.667319753375258e-05,6.701881440156805e-05,6.690288876510045e-05,6.68584689265117e-05,6.69500893505019e-05,6.680553042315296e-05,6.684852116540029e-05,6.685010202072219e-05,6.68429484269864e-05,6.684205635048619e-05,6.688413619378801e-05,6.69764579773376e-05,6.676639921871745e-05,6.685178029524823e-05,6.687419824759542e-05,6.683337162636842e-05,6.686328885664876e-05,6.699683620224408e-05,6.673331120206664e-05,6.688938180256324e-05,6.68742874358219e-05,6.665896944468841e-05,6.68021697962221e-05,6.692452067606307e-05,6.681513700374018e-05,6.683924349941193e-05,6.686282945641627e-05,6.688932206508561e-05,6.666983916567496e-05,6.685556158921573e-05,6.691473673628125e-05,6.675222357444e-05,6.682325587653874e-05,6.672707439230925e-05,6.678964432850704e-05,6.675449594695237e-05,6.687585645271068e-05,6.68767779643531e-05,6.673703392152674e-05,6.687752695717408e-05,6.691876072804199e-05,6.677022444949087e-05,6.690390938801054e-05,6.698075276290183e-05,6.678101585591854e-05,6.708889916560359e-05,6.689005900765411e-05,6.665028377028648e-05,6.660345025011338e-05,6.684909808706036e-05,6.68087548170849e-05,6.703114129116081e-05,6.691009466228406e-05,6.667754769296153e-05,6.671160655160848e-05,6.678410293086647e-05,6.6967557844085e-05,6.681519325181681e-05,6.674682602654987e-05,6.683089317825229e-05,6.684333816843314e-05,6.6895660220089e-05,6.70215584770111e-05,6.678805795907524e-05,6.685618791379966e-05,6.681237634645087e-05,6.677883939119056e-05
40,0.00022092783792932341,0.00022095239492719648,0.00022158167363765338,0.0002214791857673285,0.0002202293634800759,0.00022364307161686675,0.00022083503309629798,0.00022130040537483771,0.00022055718018467054,0.00022285845261649229,0.00022125133061005423,0.00022220052006578415,0.00022189525815051502,0.0002210879571397196,0.00022062433828764103,0.0002198446867017386,0.00022154139203069332,0.00022035870182363293,0.00022114169925251708,0.00022145803241680067,0.00022026329646066117,0.000221369561456543,0.00022161494513663152,0.00022136061452329158,0.0002215932779816083,0.00021852182399015874,0.00022098310610970423,0.00022208032987691695,0.00022027360408922986,0.00022050122014104177,0.00022122944763395936,0.00022159707833242675,0.00022071829516789876,0.0002215766475866224,0.00022062065383781574,0.00022184157595412607,0.00022221213600316428,0.00022002973789560863,0.0002209943109430395,0.00022261336198425852,0.00022103070009603818,0.00021931726041657384,0.00022224119456950575,0.00022164292060647552,0.00022225214526866023,0.0002217969611852563,0.00022225131460959746,0.00022300048203760525,0.00022108060774967428,0.00022316132195886564,0.00022216536274824577,0.00022082890185023038,0.0002225408228696324,0.00022145991281330663,0.0002223008080457883,0.00022098492164249447,0.00022287558816168056,0.00022087799334258307,0.000221449840561642,0.00022104372328612953,0.00022163534595165402,0.00022126737292305196,0.0002217761563467017,0.00022209812517315654,0.00022078227710961882,0.000220736869128554,0.00022130184204018275,0.00022046717499653177,0.000223543449465069,0.00022080826204751437,0.00022129563585622237
50,0.00021753146968360335,0.00021808020473043952,0.00021729617098268741,0.00021429334122401018,0.00021573975520161322,0.00021776486287957856,0.00021969553715954986,0.00021960706548199203,0.00021913253700012883,0.0002181350482715061,0.00021711863429331576,0.0002185035278968399,0.00021612910231025043,0.00021936837980650705,0.00021743850409299792,0.0002211219477127694,0.00021691737440830496,0.00021588145051581808,0.00021671893097975823,0.00021876089236078162,0.00021726283414934117,0.0002177298366794795,0.00021535179344937206,0.0002190251218659493,0.00021659771935822117,0.00021824112627655268,0.00021640361322375435,0.00021841153193236096,0.00021516621619572534,0.00021478790867765764,0.00021922196494415403,0.0002146654358232179,0.00021448794023644252,0.00021833161110069256,0.00021730658530335253,0.00021371251256953525,0.00021867175382794812,0.00021330380960452285,0.0002160440854789936,0.00021460036896314705,0.00021829400607880126,0.00021016681239416357,0.00022052480053389445,0.00022299956196404405,0.00021871019577558495,0.00021653763064283078,0.00021800735205607978,0.00022005702930982807,0.00021518355048289682,0.0002190190346234224,0.00021224944077682896,0.0002154503648246949,0.00021075226250104605,0.00021628710935462495,0.0002157240092417161,0.00022162324140398678,0.00022033717319299218,0.00021144449601706583,0.00021233900446936281,0.00021551293298566285,0.00021775785426143558,0.0002120616069684426,0.000212866475151343,0.00021714955263641068,0.00022068255121767934,0.00021807404723344975,0.00021926185062121867,0.00021316205839543874,0.00022124130009615328,0.00021463095581260736,0.00021338566293707117
60,0.00036119089093738913,0.0003576686948589567,0.0003560352609686864,0.0003512630530167371,0.00035674384459145837,0.0003503198843515877,0.0003513364264959349,0.0003611801452386905,0.0003591732713659117,0.0003632091738836607,0.0003606424006535729,0.0003577024504846456,0.0003552145746212001,0.00035623627561356193,0.00035365293528336815,0.00035751454439984326,0.00035599168317969,0.0003580571755713819,0.00035252012457931414,0.0003575215962094565,0.0003580849720702435,0.0003609209348464252,0.000355614743505915,0.00035821710965440917,0.00035749884998603234,0.00036852735793218016,0.00035530472392096156,0.0003589199501827049,0.0003601867366609547,0.0003561910791998549,0.00035739688047518333,0.0003580192300992516,0.0003512345540982026,0.00035494246972226647,0.000353505172016513,0.0003533289340599107,0.0003544137159080588,0.0003529531267386946,0.0003582419934878911,0.00035522779216989875,0.00035381775864578305,0.00035713350735022686,0.00036026596208103,0.0003650874392693176,0.0003564216447749028,0.00035466642044152,0.000352254671477631,0.0003601010703278007,0.0003508812901443513,0.0003667730171318081,0.0003534170288520937,0.00034669216741652537,0.00034383178863208743,0.0003520571769272186,0.0003485891020631996,0.0003648187928113409,0.00035582866672406434,0.00034331827555433847,0.0003537889117271536,0.00035494064930110023,0.00035803415812551975,0.0003542318346820051,0.0003525457596643483,0.00035444825918094867,0.00036734776545522944,0.0003584694841501678,0.00035886678961105645,0.0003510356808903687,0.00036369268491398543,0.00035695015269863816,0.00035151583433616905
70,0.00031778821013742,0.00031853243773285713,0.0003204702297807671,0.00031508194694582084,0.0003167543684786681,0.00030481210394230274,0.00030494699932469597,0.0003174508610219859,0.0003192441042842744,0.000316224974085344,0.0003237022431193632,0.0003191094325228157,0.00031960170599631965,0.0003180338389938697,0.00031072329558596456,0.00031647119006568875,0.0003170935035866153,0.00031594785565475025,0.00030957506013302397,0.0003189910373960932,0.0003225410688453569,0.0003226635043185005,0.00031960227875970303,0.0003153967603187387,0.00031948398100212216,0.00032620307756587864,0.00031343688240139593,0.00031448350394687924,0.00032350839019807824,0.0003274425407946711,0.00031684717551494636,0.0003230789085276998,0.0003224209095396173,0.00031671610993852967,0.0003161736515014329,0.00031708672135469636,0.00030915469304952577,0.0003239335598085414,0.0003163606329562973,0.00032313702649844345,0.0003143367580475008,0.0003427458468650002,0.00031912829435896126,0.0003101626000563173,0.00030873567876896186,0.00031335499744662747,0.000305333235015145,0.0003109745257461327,0.00031652449051134996,0.00031771517189388925,0.0003246740386552679,0.0002999367522230993,0.0003001907811267301,0.00031034562651220026,0.00031102712041345136,0.0003142163596666333,0.000314473083445562,0.0003153374454996083,0.00031862273236684914,0.0003144949683561348,0.00032305688170405726,0.0003251862960682321,0.0003161739411923379,0.00030825299400676813,0.00031522369439092773,0.0003149923516963548,0.0003229850429176752,0.0003171871637365961,0.00030752109159948304,0.0003224228970518633,0.0003161555010592565
80,0.00045794383992403244,0.00045336442525257116,0.0004517197812674567,0.000445059116016357,0.0004466055915248875,0.00042036742836769136,0.0004243597969405293,0.0004551144900010424,0.0004591464703825974,0.0004493830037972657,0.000471865335036713,0.00045512607546846327,0.0004597743179395118,0.00045340229707741827,0.00043929850525113154,0.0004594816637109034,0.0004512125829240263,0.0004537302626391189,0.0004349127973130505,0.00045857731796180207,0.00046364468244764097,0.0004606025052323405,0.00045550712772334613,0.0004499835912914326,0.0004545924496755654,0.000476248434279114,0.0004422166746207363,0.0004481686628423631,0.0004653470659190241,0.00046632322764414696,0.0004469121460958074,0.00046810772059521137,0.00046228114772999944,0.0004553081816993654,0.00044911667322998657,0.00044761176676339734,0.00043758448890385856,0.0004622946091165597,0.0004531410940030747,0.0004656832770706387,0.0004461515989610331,0.0004970783375028986,0.00044786974031012504,0.00044827425766638234,0.00044597291546922765,0.0004457586274449048,0.00042873648354750974,0.00044719179368257755,0.00044280537007705727,0.00045569151618771934,0.00046262336724724336,0.0004213972497382201,0.0004069977119797841,0.0004381645133490769,0.0004365795145437507,0.0004411185800563544,0.0004395023122885495,0.00043713350169127807,0.0004516114188138292,0.0004491139677926325,0.00046336044130536417,0.00046373259743064723,0.0004517537195675282,0.00043768761024038467,0.0004649850953784254,0.0004464581222485074,0.00046692959689867815,0.00044855615288402225,0.0004510775142989587,0.0004625604588229272,0.0004518223489867523
90,0.0005623761244351044,0.0005477526164786131,0.0005644075451224732,0.0005412747170059727,0.0005560966604241889,0.0005122136083498065,0.000510136179547126,0.0005561586174949565,0.0005613693969672004,0.0005524644802790135,0.0005787486551088039,0.0005532413814929599,0.0005681469161627871,0.0005541389793065856,0.000533983634565683,0.0005469002705164409,0.0005541136477924218,0.0005634638511787959,0.0005276893633500939,0.0005627659289166331,0.0005677575429077618,0.0005675805425978199,0.0005685376080994804,0.0005511592656451588,0.0005611233211802466,0.0005766370100900531,0.0005425697529590839,0.0005509149959834758,0.0005774447656757034,0.0005717444836327265,0.0005464772538592418,0.0005813010457831507,0.000567875006079423,0.0005521035467566879,0.0005367975811370545,0.000548434481710761,0.0005276089539524707,0.0005779947942673144,0.0005618786594987544,0.0005939726397627965,0.0005431882049417757,0.000612127514614258,0.0005414369254140184,0.00055048426331364,0.0005491745615329005,0.0005480506748426706,0.0005223234258122382,0.0005442396841317532,0.0005474018080035578,0.0005533951757983727,0.0005742126307897986,0.0005096085466599712,0.0005120076995808632,0.0005366608627587177,0.0005351313227257723,0.0005466356815304607,0.0005361802534260337,0.0005237589321041014,0.0005597828340897751,0.0005533357423980935,0.0005664533101177464,0.000571525824989783,0.0005578651641068669,0.0005383001939867632,0.0005641592724714428,0.00054473249814715,0.0005707007367163897,0.0005570070441594467,0.0005453462799778208,0.0005752909600836452,0.0005550304893404245
