Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,1.6594297424793088e-05,1.6200667451576685e-05,1.8818637120906107e-05,1.6934446676504403e-05,1.5258626182360245e-05,1.918084464185605e-05,1.4628721425152992e-05,1.535554456734788e-05,1.7107153302898537e-05,1.7014576599194697e-05,1.7743207406988122e-05,1.6926737455888748e-05,1.73180299250155e-05,1.5778686178457452e-05,1.6106728381761486e-05,1.7576263284505938e-05,1.5322352645680005e-05,1.7395443189308957e-05,1.846031052212181e-05,1.7988997569773346e-05,1.547661943802198e-05,1.5008518663047912e-05,1.740201450350772e-05,1.679618236873163e-05,1.6282833827957917e-05,1.9050869559578133e-05,1.727451528436617e-05,1.5295385660844357e-05,1.7016269917161587e-05,1.708572596080851e-05,1.5670840239181415e-05,1.5905925640534126e-05,1.703579850807448e-05,1.5846131335398774e-05,1.820309934272599e-05,1.656068432761718e-05,1.6264853893756625e-05,1.7061688926002137e-05,1.7114035532599757e-05,1.782358154400754e-05,2.1783247185729643e-05,1.6722425117861466e-05,1.5434570173056272e-05,1.6528780633962015e-05,1.4514585042266653e-05,1.6948932591874742e-05,1.7655292380628192e-05,1.634928720337931e-05,1.570441568787828e-05,1.7153326133478096e-05,2.04545982342097e-05,1.2431085120955355e-05,1.662764266956611e-05,1.655790583754424e-05,1.6617288019915576e-05,1.5745918786631926e-05,1.8326604731555562e-05,1.7181406261003978e-05,1.555987033828966e-05,2.0728760318888817e-05,1.5912331540460802e-05,1.6608172927590203e-05,1.262487694475567e-05,1.670650051112586e-05,1.8398573906274072e-05,1.7368868814698476e-05,1.8498944761328555e-05,1.7273167134502024e-05,1.6557630336440827e-05,1.604502523224329e-05,1.8345450876545834e-05,1.6101886709899798e-05,2.2104285865983304e-05,1.4071541500015883e-05,1.893115677376045e-05,1.4966819110538512e-05,1.4768559399921547e-05,1.7029498192847137e-05,1.6948294671692565e-05,1.7354781971908097e-05,1.6386544029955984e-05
10,1.6590342929703184e-05,1.6195225742666042e-05,1.88162992647752e-05,1.6931040674815168e-05,1.5255175565218014e-05,1.91736958835723e-05,1.4625328599175837e-05,1.5353557764204818e-05,1.71033039759429e-05,1.70115675928173e-05,1.773986797262397e-05,1.692323176215797e-05,1.731378647078104e-05,1.577476204643476e-05,1.61038849482258e-05,1.757367105407563e-05,1.5318754413956847e-05,1.7391345501224188e-05,1.845618474557601e-05,1.7986032198678003e-05,1.5473773020438295e-05,1.5005110875725742e-05,1.7398711255130667e-05,1.6791838500770003e-05,1.6280271478218124e-05,1.904973505588714e-05,1.7271228157809555e-05,1.529120785903615e-05,1.7011591604814918e-05,1.7082040189521768e-05,1.566849048685981e-05,1.590250531080528e-05,1.7033768340997296e-05,1.584127236550025e-05,1.8198464557725754e-05,1.655883764734816e-05,1.6261224022616117e-05,1.70583874602347e-05,1.71106496372338e-05,1.7822390759647533e-05,2.1779700026464915e-05,1.6718186011433878e-05,1.5436020532888506e-05,1.65247008226288e-05,1.4513103930144816e-05,1.6945131114641155e-05,1.765119843314876e-05,1.6346071864366724e-05,1.5699928312074007e-05,1.7149621212724766e-05,2.0447023052838632e-05,1.2428686370020097e-05,1.6624400926118072e-05,1.6554428611925687e-05,1.6612409945082617e-05,1.5743067947647544e-05,1.833034275477985e-05,1.7178369426832872e-05,1.5556086840330284e-05,2.0726013644889463e-05,1.5907825272929634e-05,1.6605061659902276e-05,1.2622762369574048e-05,1.67016322458429e-05,1.839443520010617e-05,1.7365575975138478e-05,1.849471506526849e-05,1.7269599675762616e-05,1.6555049481010225e-05,1.6042590146212575e-05,1.8339680132663085e-05,1.6097518406847183e-05,2.2094965970609337e-05,1.407121681040735e-05,1.8926983362429644e-05,1.4964479081069615e-05,1.476335579094926e-05,1.7026789442576457e-05,1.694492135584369e-05,1.735125889132453e-05,1.6383711044909433e-05
20,2.2991649360240747e-05,2.2993114153332835e-05,2.292414425634585e-05,2.3040699530751087e-05,2.2960587453850122e-05,2.2658132106049118e-05,2.287904557775736e-05,2.284709504046508e-05,2.2748324238508055e-05,2.2837321239421726e-05,2.2904177001939028e-05,2.2961946064131145e-05,2.2945225227334902e-05,2.2808677000064176e-05,2.2847454216817448e-05,2.276433019687829e-05,2.300959117530424e-05,2.299467236804923e-05,2.2892863658593603e-05,2.288064490130637e-05,2.304840538552246e-05,2.2851421947832152e-05,2.3086682898186457e-05,2.2761723691170725e-05,2.2980188395382675e-05,2.278557549288962e-05,2.29198748779562e-05,2.3043621695251204e-05,2.306981030629044e-05,2.2925323631375982e-05,2.286513042539203e-05,2.2785817306542482e-05,2.2936864752409747e-05,2.2950193097796462e-05,2.2775412415083134e-05,2.3078736993349075e-05,2.2998680330937005e-05,2.312504842517559e-05,2.2979352000121767e-05,2.2917738078831462e-05,2.3103513480496724e-05,2.2947289448409796e-05,2.2939560267332126e-05,2.2768130293115973e-05,2.280414685772389e-05,2.300551495864056e-05,2.324577183441891e-05,2.2948521067870354e-05,2.30182876634899e-05,2.304252451534106e-05,2.341123945370782e-05,2.2923241307249885e-05,2.293039647506353e-05,2.2926113160792738e-05,2.3329995383392087e-05,2.2933399512632085e-05,2.30490059038857e-05,2.2898628356352705e-05,2.28146623571361e-05,2.3044766749080736e-05,2.293376783982435e-05,2.2822468508820748e-05,2.2967734973159775e-05,2.2985182243116598e-05,2.3068636892276118e-05,2.303487000552615e-05,2.315842296714739e-05,2.314319630464544e-05,2.3069861493207066e-05,2.2976777095741988e-05,2.3023711845679725e-05,2.286872616726517e-05,2.3103564672055654e-05,2.329932097685135e-05,2.293028098522752e-05,2.2969939135538125e-05,2.2837467700550667e-05,2.297110549695771e-05,2.2917678052181145e-05,2.2994585210768537e-05,2.2856926261738408e-05
30,0.0001066773147128212,0.00010539113120305249,0.00010553957023754872,0.00010562266117911069,0.00010685386002443943,0.0001079675494111143,0.00010702013347444364,0.00010669924440184044,0.00010686507236722361,0.00010586020471237134,0.00010595761220126103,0.00010720649493587374,0.00010463882856790654,0.00010662097933659838,0.0001061293637201957,0.0001070948022364367,0.00010618084880185225,0.00010468595437602364,0.00010619209466053039,0.0001066678652811485,0.00010617160218176791,0.00010637746696115105,0.000104798766260501,0.00010500973561041367,0.00010498875145992589,0.00010732622176874429,0.00010484328243276855,0.00010593999968477874,0.00010534458655028549,0.00010515028160655,0.0001070998107509998,0.00010627317729253824,0.00010511195614526514,0.00010698206789107289,0.00010663371398954446,0.00010615962505003804,0.00010737128142959831,0.00010743192185393788,0.00010594626287621143,0.00010466841376910452,0.00010809475185981552,0.00010615749325803878,0.00010669775019778172,0.00010523935197852552,0.00010658571447588896,0.0001073794995471345,0.00010683424417428406,0.00010666469952730837,0.00010604018712001562,0.00010641916516509934,0.00010491871944395825,0.00010723949063421142,0.00010525509160988104,0.00010724543608375825,0.00010702716535888612,0.00010633701607062272,0.00010350230513722636,0.00010637028854348343,0.00010670699570751326,0.00010597220898489468,0.00010630647183686334,0.00010438829303893726,0.00010387529133974265,0.00010836370867244633,0.00010488804744252573,0.00010557953243663248,0.00010632179182721302,0.00010579486780609655,0.00010570596316904778,0.00010627036366762745,0.00010511460034952809,0.00010730711073847488,0.00010509730054764077,0.00010723612043269289,0.00010700787035083132,0.0001075595912868278,0.00010478662027578269,0.00010499672099549864,0.000106116164715786,0.00010587597573264072,0.00010492996007087641
40,0.00023529269907157868,0.00023612374907652675,0.00023303340033938488,0.00023391442462945215,0.00023770861013032072,0.00023719628890311078,0.00023737948762455715,0.00023577907497957838,0.00023674681934504475,0.000233534708058869,0.00023518005270298201,0.00023768742316953686,0.00023146774963772094,0.0002353307888067017,0.00023428875257891109,0.00023417093386039292,0.00023505733389313156,0.0002310678089859813,0.00023875069746281952,0.00023447107504277179,0.00023400111173172124,0.00023152251040820765,0.00023375479659686486,0.00023278179675495874,0.000232142430918646,0.0002337727026315406,0.00023328259515936577,0.00023674633879030202,0.0002328175979474669,0.0002297723582277315,0.00023774214244137208,0.00023162199067883193,0.00023282678935524577,0.00023800251251597683,0.0002346586374591829,0.0002350247806524359,0.00023954592459056969,0.00023799522949213332,0.00023527587139810692,0.0002325053410459077,0.0002480469951738736,0.00023634678546705857,0.00023334016441367567,0.00023239711590576916,0.00023928552936443962,0.00024113482596524257,0.000239068890472741,0.00023774909986011488,0.00023807012303223019,0.00023693982539357264,0.0002354786149226129,0.0002365490707399493,0.000231597386188626,0.0002381255556732261,0.00023967128654476256,0.0002376569372041113,0.00023224014148581773,0.00023307026301687262,0.00024076484657019716,0.00023559416877105832,0.00023752075581816377,0.00023067246729624458,0.00022798185576296723,0.00023853264948619262,0.00023328297336572886,0.00023358915350399912,0.00023858809921269616,0.00023384232206084837,0.0002359550883368313,0.0002369484920547604,0.00023194276663060818,0.00023692240453480432,0.00023697445673557618,0.0002400811887734259,0.0002400461962679401,0.0002411978323822962,0.00022896560611635714,0.00023470720817943315,0.00023899823281681165,0.0002354058701674133,0.00023392710427287965
50,0.00019804300701556105,0.00020179059140867106,0.0001916898982017301,0.00019030440352463092,0.00019547994922009543,0.00019677149871962944,0.00019731895759656664,0.00019784635246890647,0.0001993258025046273,0.0001933701896632556,0.00019404691026724276,0.00019793781898535637,0.00019211880509939158,0.00019697984019082716,0.0001970301353139803,0.00020261482920129006,0.0001943833360980664,0.0001901219854252177,0.00019796961039121795,0.00019634274241980165,0.0001991628055783132,0.0001984268643095025,0.00019015530657876903,0.0001952186833174589,0.00019847829978624802,0.00019981521472800523,0.00018869493167937522,0.00019185973057271136,0.00019808703406905647,0.00019678235454897907,0.00019874468717413643,0.0001978536098389528,0.00018872047523753002,0.00020155358794088498,0.00020058429799973965,0.00019448088538151102,0.00019523731699384945,0.00019502732638184997,0.00019324702703034933,0.00019194278320355806,0.00020240431851042167,0.00019496546914563216,0.0001848407064244384,0.00019797459099208937,0.00019709285544721703,0.00019619125967820813,0.00019477555386921658,0.00019324409955164841,0.00019459197028481867,0.0001935109064326188,0.00018225624808110297,0.00019722777836829084,0.0001931857925508386,0.0001900922967858302,0.00018604427750688047,0.0001943894689878905,0.00018564149650046602,0.00019287211511380458,0.000196615058071488,0.0002011562100960873,0.0001980812861196076,0.000193604018932092,0.00018093955441145226,0.0002015836362261325,0.00018474532286442505,0.00018710469415124793,0.00020002113791027417,0.00019680118887379806,0.00019325265478713577,0.00019168802972270495,0.00019330606381926272,0.0001966285975261902,0.00020098480066129318,0.00018247389137589684,0.00018604683074434952,0.00020348367847459898,0.00019098445669182444,0.000194089615111044,0.00020059927555848844,0.00019725801021118938,0.0001975318737095222
60,0.00022198816868088518,0.00021012030386676392,0.0002484076127681571,0.00024862023330150313,0.00024028203142158498,0.00022151327617133835,0.00020181830228877164,0.00022923941000236052,0.000238402657832691,0.00023865736511652358,0.0002480039371602973,0.00022782244299638217,0.0002219365970549089,0.00023583774225588775,0.00022596937813111308,0.00021752590691903606,0.00023110060958840352,0.0002396665266685518,0.00022107638973726092,0.00023887605231720955,0.00024667112985088564,0.00023715600166594543,0.0002474559738766402,0.00023266100906766952,0.00024130887888734124,0.00026332754641771315,0.0002429793333454478,0.0002470114138001615,0.00024897003330646414,0.00025277284341075667,0.0002350999671034515,0.000246290478501648,0.0002522393585352872,0.00024232595325617982,0.00022353132387959503,0.00023772389379571126,0.00021449490419687018,0.0002464571509997106,0.0002459183532368751,0.00023378346759272972,0.0002429595250370247,0.00023143627960111034,0.0002684513801796129,0.00024559171870350836,0.0002196726977433029,0.00022281108724296484,0.00023533003778928625,0.00022017696181520527,0.00020915179607072787,0.00023895498540288577,0.00024981793540064247,0.00023676218353846872,0.0002551385076143421,0.00023075557207145417,0.000251495985139627,0.00022775835591624965,0.0002763699012575671,0.00022303553825999,0.00023452385423958978,0.00025963495500036515,0.0002182187029487273,0.0002288874820806086,0.000246198845464581,0.00022131724316360696,0.00025357291734609235,0.0002491535822628066,0.00025596684815051656,0.0002562579586513601,0.00023582404375904135,0.00022223118808265222,0.00023969360497883626,0.0002523571577815649,0.0002647584624355659,0.0002469626779202372,0.00023628905598473336,0.0002432932253048586,0.0002547382745043641,0.0002402775940173606,0.00020307647537265439,0.00025689618382211617,0.00024114566185744478
70,0.00026173757389187814,0.00026065665480456556,0.00032485088740941137,0.0003070465096523269,0.0003110692651037575,0.0002329441756176363,0.00023784219933253143,0.0002861675190950719,0.00030705893631063734,0.00028456428390200017,0.00032081867296559113,0.000281478613923893,0.0002610825265009859,0.0002917963790947176,0.0002596065402030945,0.0002501011713320622,0.00029720251058322554,0.0003073725131372744,0.0002569753295184845,0.0002952643326716498,0.00030073592228850777,0.0002976804522144708,0.00030323417556549735,0.00026384631394951914,0.0002996553311176184,0.00037789797934237865,0.00030311891755592377,0.0003094742232860881,0.00032061335120541867,0.0003438698601507161,0.00027604264769858373,0.0003203029840593584,0.0003196154718282812,0.00032038103150936387,0.00026879773698359105,0.00029347726480669474,0.00024307340036581367,0.00032648936956485903,0.00031295742598328607,0.00031350650624517584,0.00027827330840019774,0.00028651066113912323,0.0003553041897248477,0.000269790951278992,0.00026777278598226413,0.0002790520817813415,0.0002917335347904425,0.00024591506282153555,0.00023771130054228706,0.00028997031717906417,0.0002577902050688863,0.00028512467741331255,0.0003370223918374485,0.00026647443519323133,0.00028739083791151643,0.00026963358894655746,0.0003683401155285537,0.00028060296407884694,0.0002528436267642643,0.0003344702345202677,0.00026020904100419935,0.0002904374305217061,0.00028636618905390304,0.0002670440049509385,0.0003364961707524748,0.0003142211662354664,0.0003406706760870293,0.00035688892130174185,0.000309785832979725,0.0002843110718835682,0.00027660962627528026,0.00029037582862656564,0.0003688198048621416,0.00031903654113799956,0.00027847675872700553,0.0002992963919177192,0.00029956413241702,0.0003096456630080337,0.00026737885673355777,0.00034632566071921537,0.00027267661498626695
80,0.00027185664783852795,0.00028135448573502126,0.0002883847482735291,0.0002861623538102811,0.0002978834341268373,0.00022945834747848233,0.00023562751072947116,0.0002821072781731154,0.0002867167674099343,0.00028662885051744524,0.00029871968428868753,0.0002773740677500372,0.0002774693937019699,0.00027407806037720576,0.0002608451144838267,0.0002577393382428757,0.000282997547314846,0.0002881206299069255,0.00027925380969203876,0.00028288203951281807,0.00029087188393952184,0.00028153152041860655,0.00029168135855191696,0.0002685993584843042,0.0002702566056368163,0.00029029950383119285,0.00030923367434767103,0.00029885985501702333,0.0003068021187038325,0.0002966480223544603,0.0002717424682729567,0.00029226119994956,0.00028074351212126203,0.0002881854509213576,0.0002745661469008256,0.00027489358762977645,0.000259588312665552,0.0003254717554558407,0.0002881057522924482,0.00029632652149302885,0.0002712303415007357,0.00026996537626280075,0.00032829426345415413,0.0002782845258479938,0.00027199104615168547,0.0002858449593125107,0.00030136944177294413,0.00024640661056190237,0.00026498266834096285,0.0002772419476090802,0.00029080482781864705,0.0002893751159056344,0.0002892463684055166,0.0002549056819892333,0.00027174347633263096,0.0002746361842953923,0.0003029927902389318,0.0002468581650614867,0.0002670090179890394,0.00032200742134591565,0.0002633179483186674,0.00027294946994516067,0.0003001620668025377,0.0002673777427324759,0.0002748085939351262,0.00028347102746080895,0.00029735212447121737,0.00029206558294038497,0.000289661176524263,0.00027027809499502854,0.00028678087336528633,0.00025767210900085047,0.00029380799969658256,0.00034906282477701706,0.0002633576909179932,0.00027922346701168203,0.0002674777746766007,0.0002933266037988717,0.0002941830771305831,0.00031840295052476726,0.0002867110088118352
90,0.0003843376797158271,0.00039300121500639726,0.00040899588930187747,0.00039824545584941424,0.0004152667957735307,0.00031521113539513735,0.0003273361637125603,0.00038723253046076645,0.0003994901569138717,0.00038247993052209495,0.00041321120932726995,0.0003844236376533779,0.00040411953390999275,0.00037260175568834796,0.00036417292927474,0.00036028922234739486,0.00039331786510523497,0.00041157227577612136,0.0004007465634328712,0.00039373427105601874,0.0004050247483134556,0.0003887760467478074,0.0004068663607661923,0.000378852699456426,0.0003775734736654346,0.00040561610949225725,0.0004106298872483744,0.00041042054605592665,0.0004238033023498514,0.0004198065000837819,0.00038144973611148694,0.00039840185378964705,0.00037810399338083627,0.00039442012383937607,0.0003760487177512712,0.0003832757078531098,0.00035223394431676224,0.00045490564132871276,0.00042235150271241207,0.0004165365462540649,0.0003733106631053878,0.0003787394508687244,0.0004754512156068813,0.00038602494460064917,0.000377505993942338,0.0003838307568864701,0.00041833013632900214,0.00034159672826430514,0.0003604526191338664,0.0003866488517940462,0.00038743606419302525,0.00037935717740434814,0.0004076555053381106,0.0003372482666842795,0.00036897718091495336,0.00036350904746522785,0.00037496800359804183,0.0003491700105047945,0.0003658062646123157,0.0004271727229934186,0.0003805056161757919,0.0003775195618800353,0.0004074970978156974,0.0003762097954417446,0.00038137913280580606,0.00039950917349555173,0.00039249029359780254,0.00040792600988405405,0.00039967574708431065,0.0003698892977407521,0.00039875949409583374,0.0003655902740623181,0.00042243926630665857,0.0004383832080444942,0.00034872270771302283,0.0003733173063381684,0.0003717727252348725,0.0004117897099809676,0.0004003455505880993,0.0004361854657528828,0.00040486585639882834
