Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,cross,cycle,dash,depart,descend,drift,flee,float,fly,glide,go,hasten,hike,hurry,journey,limp,march,meander,race,ride,row,run,rush,sail,scramble,swim,taxi,travel,tumble,walk,wander
0,4.03113671799892e-05,4.417913788967309e-05,3.936802537888676e-05,3.7754879583819555e-05,3.250996513410819e-05,4.010320922783909e-05,3.788284539041342e-05,3.763668838455844e-05,3.8419747075358484e-05,3.562632116427267e-05,3.844436900248251e-05,3.86308377955527e-05,4.3252637459028683e-05,4.151154955638269e-05,3.6817968440813914e-05,4.555973403815491e-05,3.356724049635453e-05,3.680725457561954e-05,3.908645034503674e-05,3.713681381971886e-05,3.9824653210346765e-05,3.8484069997528945e-05,3.483354223135393e-05,3.769987015402876e-05,3.152776047326846e-05,3.232636590837501e-05,3.7102555500994994e-05,3.618005124887228e-05,3.671461578479092e-05,3.554683955313052e-05,3.6665082273733184e-05,3.6794578031381556e-05,4.2238233233477404e-05,4.250410182616771e-05,3.944749561115815e-05,3.678225867328625e-05,3.495048138957875e-05,3.141340212922924e-05,3.7113883202009786e-05,3.650076371286559e-05,3.960017886825842e-05,3.164059694427124e-05,3.4891258110292256e-05,4.280042718930513e-05,3.799226149950348e-05,3.41956406373356e-05,3.745167125663628e-05,3.746612117083714e-05,3.358909183871533e-05,4.139937035771172e-05,3.487882426830206e-05,3.3899166282935767e-05,4.266589203325566e-05,3.7541813999640145e-05,4.093596970929427e-05,3.768855789200064e-05,4.00109339029915e-05,4.698160682892194e-05,3.428020916847648e-05,3.7563692435819226e-05,3.957626807581012e-05,3.519301823274951e-05,3.763577197551732e-05,3.900418939772387e-05,4.157551989515519e-05,3.77043247267879e-05,3.834825812581195e-05,3.598501362214466e-05,3.7519244870054536e-05,3.7354195931683755e-05,3.7840535696886946e-05
10,4.031638939744192e-05,4.419157738555913e-05,3.937971814593766e-05,3.775824846413273e-05,3.251033387089051e-05,4.010348259596087e-05,3.788552083044065e-05,3.7638551493371635e-05,3.842635624671776e-05,3.562873314422177e-05,3.8448974088550816e-05,3.863428119817696e-05,4.325930923655643e-05,4.1517755865546256e-05,3.682290047008257e-05,4.556464849277594e-05,3.3570810436296074e-05,3.6812448078181444e-05,3.9087821603191385e-05,3.714081602083752e-05,3.98286613115208e-05,3.849036360341935e-05,3.483708006873106e-05,3.770414868995431e-05,3.153164570470662e-05,3.2335519790649414e-05,3.7108392256589966e-05,3.618776217232759e-05,3.671850588622927e-05,3.555002918038818e-05,3.6670379704446534e-05,3.6798954065139136e-05,4.224337198348412e-05,4.251368460076222e-05,3.9448098505090456e-05,3.678564446220532e-05,3.495199529137799e-05,3.141866678065112e-05,3.7116156949721986e-05,3.6506156561699754e-05,3.960512859966331e-05,3.16457212647947e-05,3.489598184387432e-05,4.280260509403888e-05,3.799484716421974e-05,3.4201203626642905e-05,3.745745343302699e-05,3.747081905203231e-05,3.3593653189858865e-05,4.140183839560698e-05,3.48832576282103e-05,3.389985658941441e-05,4.268124321242795e-05,3.7544833707661194e-05,4.09440697945558e-05,3.769211649672467e-05,4.0013241193254765e-05,4.6983333504613256e-05,3.4284476340771005e-05,3.7568626500545246e-05,3.9580931600842934e-05,3.519804048205172e-05,3.7638342948614285e-05,3.900880814775896e-05,4.157758343757855e-05,3.770827389452244e-05,3.835171043777207e-05,3.5988483403109e-05,3.751933854800882e-05,3.7356284177375905e-05,3.785046956181759e-05
20,1.561884152112258e-05,1.5639922249074852e-05,1.5661681800338556e-05,1.5653548367621484e-05,1.556851916402708e-05,1.5497306776524056e-05,1.555908231180623e-05,1.5576911851787692e-05,1.5509518435246257e-05,1.5734025453184586e-05,1.5593120999121175e-05,1.573281309790719e-05,1.5762684680256907e-05,1.557402851121327e-05,1.5615362559294546e-05,1.553936215259455e-05,1.563823696501675e-05,1.5557839808163315e-05,1.559133550342397e-05,1.5631235194935772e-05,1.552910867198639e-05,1.56229419709624e-05,1.5571722675910376e-05,1.5501841183625704e-05,1.558040742291644e-05,1.5452875777555165e-05,1.5662831379637694e-05,1.5572172155013202e-05,1.5539867961385478e-05,1.5664148841390287e-05,1.557385636260733e-05,1.5564297567694805e-05,1.5685631611771758e-05,1.558268011353374e-05,1.5583903253476212e-05,1.5701951188670398e-05,1.5639770385620833e-05,1.565518662325551e-05,1.57134943684326e-05,1.572833730278944e-05,1.5573176756817626e-05,1.5646390579604486e-05,1.5573909513477703e-05,1.556392324250498e-05,1.5609189597997007e-05,1.566490691402578e-05,1.5676315055507555e-05,1.554594709318735e-05,1.5690049292908074e-05,1.562722114944005e-05,1.5707520707599963e-05,1.5739886900216032e-05,1.5577938847854965e-05,1.566224481004091e-05,1.5676079344522242e-05,1.5592223875997163e-05,1.5687717912500844e-05,1.5724529248473118e-05,1.5803337267546642e-05,1.566409528795003e-05,1.5710777491525128e-05,1.5625039087617844e-05,1.5755260316533775e-05,1.5677413332243533e-05,1.5729198821645696e-05,1.564682611092689e-05,1.5592529832377166e-05,1.563168215427375e-05,1.5653109358026995e-05,1.5708867082873186e-05,1.56376897393784e-05
30,4.853394253783532e-05,4.8632323240680205e-05,4.860942317463923e-05,4.859719819460924e-05,4.854910486433773e-05,4.842012016784533e-05,4.8524398681042984e-05,4.849659358025711e-05,4.851672128086049e-05,4.860411422669131e-05,4.858122095659686e-05,4.852301869078121e-05,4.8708968582407884e-05,4.855465356906114e-05,4.852295173537534e-05,4.854681067930263e-05,4.84907010710837e-05,4.857468086845961e-05,4.853560390724202e-05,4.851645557209849e-05,4.853985978675505e-05,4.867127485600317e-05,4.858296932070516e-05,4.8416863137390465e-05,4.85618225029034e-05,4.843153947149403e-05,4.867319066468025e-05,4.844988681422061e-05,4.851683770539239e-05,4.86788372185284e-05,4.8461612944568815e-05,4.855006115506582e-05,4.85293744881906e-05,4.8519950850763856e-05,4.846796238982481e-05,4.864746097155148e-05,4.854296673185768e-05,4.8692610024855554e-05,4.8671888651435704e-05,4.8686780473872204e-05,4.8497397306454466e-05,4.86613976136141e-05,4.8530531421420166e-05,4.849840575173546e-05,4.849572180414964e-05,4.8566222488131775e-05,4.856788932796151e-05,4.843327383241558e-05,4.8609692604604164e-05,4.866359019863673e-05,4.863504590712882e-05,4.868798684280288e-05,4.846572592214216e-05,4.855641912269805e-05,4.856951473529675e-05,4.854970327208073e-05,4.855212123353555e-05,4.8662514018360525e-05,4.873458753233232e-05,4.859038851394031e-05,4.868468677159399e-05,4.856934021752808e-05,4.8654090648967586e-05,4.8580517220732476e-05,4.8753173662892855e-05,4.8610636251585486e-05,4.860509423971442e-05,4.857804930408395e-05,4.858524016526644e-05,4.872528199270806e-05,4.840192341362126e-05
40,0.0003086760651156608,0.0003085848562747102,0.00030934933602111414,0.0003102230673763328,0.0003089533954463852,0.00030924526176282337,0.0003082040146241085,0.0003087995105934348,0.0003075251912792461,0.00031108570874494035,0.0003091304708145743,0.00031000883698615493,0.00031050267385911536,0.0003089104138780385,0.0003084715541369994,0.0003065546491901235,0.00030973712446644814,0.00030800841138639215,0.0003088307411027407,0.00030949369460965195,0.00030796180228487806,0.0003085102216573432,0.0003102134692016989,0.00030816155679834386,0.00030938680847323246,0.00030634302529506383,0.0003095991902932104,0.00030913610983892187,0.00030809179708525975,0.00030897147136725367,0.0003085523599293083,0.0003092593811183738,0.0003097458063096453,0.00030913683288015943,0.0003078860770781628,0.0003113622083869164,0.00030977382802551513,0.0003091947344893759,0.0003097106542028711,0.000311743087877403,0.0003082665712002942,0.00030833608980174176,0.0003101528564002365,0.000308937699484982,0.0003093873472320602,0.00031034179056795046,0.0003102085340702743,0.00030955885358707746,0.0003096138614888207,0.00030977823718620294,0.00031084748893940394,0.00031006511805268627,0.0003121138375718147,0.0003095191169283068,0.00031012226124936396,0.00030789425363764167,0.0003105441217250641,0.00031053815473569557,0.0003116698458648494,0.00030919720436661287,0.00030964255371751883,0.00030985892993167684,0.00031115141151800616,0.0003102035780840025,0.00030845916545432474,0.00030889323808240717,0.0003089124469884804,0.00030903825902515243,0.0003113679376838263,0.0003096242459733509,0.0003094625077210367
50,0.00044632853658530057,0.00044047565703901154,0.0004448855494653496,0.0004345090079228752,0.00044020748648592096,0.00045455417213296253,0.0004493069009772772,0.0004501934100499413,0.00044843607178382295,0.0004505000797507819,0.00044450031616437584,0.00044997815429993277,0.00044492767703945213,0.00045417762091595,0.00044611922177650474,0.0004537412120650212,0.0004453535206959627,0.00043544088802713007,0.00044141253082281243,0.000455433379781122,0.00044546665919299885,0.00044476438051788136,0.0004397783416789025,0.0004468777779644976,0.0004427726745479814,0.00044748513610102234,0.000443224735546767,0.00044454239347639185,0.00043720467022948846,0.00044021816950501693,0.00045126404729671775,0.0004412210490465021,0.00044188411433984025,0.0004468023083930792,0.00044873516728532396,0.00043958517770598907,0.0004463336016143378,0.00043750874200751156,0.0004385686402366194,0.00043743060632550623,0.0004451046685410782,0.00043035124690504745,0.0004568536882288754,0.00045561621051379725,0.00044676161181230687,0.0004393446778911831,0.00044874001903001936,0.0004489867606025655,0.0004404008088448759,0.0004473119122187861,0.00043458265024058233,0.0004439641876767079,0.00043137408210895954,0.0004418106459803423,0.0004394483212622461,0.00045208644852126866,0.00045146595690429453,0.00043476630162331276,0.00043298348140928685,0.0004392470246574913,0.0004435238525426636,0.000431700932895965,0.00043505017324437005,0.00044231017268061434,0.0004484312117306723,0.00044590385642821913,0.00045307849982886443,0.0004319016379961414,0.00045088974366080947,0.0004377177441512242,0.00043169623240828513
60,0.0008837058251358669,0.0008705227864319804,0.0008574907842557877,0.0008525539905979083,0.0008570235016272415,0.0009027866929370378,0.0008717167619315367,0.0008757575517794227,0.0008701736636495194,0.0008857110660756007,0.0008724979656736975,0.0008750629768117654,0.0008725896918666408,0.0008803760151336478,0.0008615170762983753,0.0008748790860408917,0.000861082684769783,0.0008582947893610483,0.0008589900015587253,0.000886443400134643,0.0008799910760269715,0.0008757628602324985,0.0008650523230123023,0.0008749103096003333,0.0008652560904415117,0.000871765473857522,0.0008636460866734025,0.0008699605932633858,0.0008719904403037884,0.0008707992937190518,0.0008722850206928949,0.0008583889687612939,0.0008699051641787474,0.0008773830635364839,0.0008729562299170842,0.0008672238795302942,0.0008581716645398716,0.0008559642486612905,0.0008528901050877141,0.0008477652554574888,0.000865700963062254,0.0008759684133110568,0.0009015946998260915,0.000896688149384174,0.0008773244984791075,0.000853321117548538,0.0008684895072834926,0.0008812945598037913,0.0008557509788480619,0.0008889174681495537,0.000848574215062679,0.0008332057235141596,0.0008402535051573068,0.000846538958804948,0.000844082556231397,0.0008926627977581865,0.0008678766711044216,0.0008398133795708418,0.0008515305526088923,0.0008559133114221577,0.0008818938202845554,0.0008612802810466257,0.0008686393007843031,0.000862300111744385,0.0008928699729343256,0.0008757384456149846,0.0008838454918337188,0.0008539427386318905,0.0008820050788926892,0.0008659978551758814,0.0008620272390544414
70,0.0008637557503125454,0.0008604393935658865,0.0008693606747935215,0.0008427974114266153,0.000870813643618758,0.0008101068919391505,0.0008089608201126177,0.0008641214249199073,0.0008695225689642698,0.0008588884702476207,0.0008799035086319494,0.000857426916790784,0.0008754841418880405,0.0008612953622077564,0.0008273065994110178,0.0008547953863550598,0.00085174971346056,0.0008558033931634943,0.0008352995604842103,0.0008712562297781308,0.0008754246814463001,0.0008856318839077305,0.000874465573579073,0.0008495232556015253,0.0008485764847137034,0.0008483104174956679,0.0008477418769841954,0.0008578583474445622,0.0008764861398102606,0.0008894963435933835,0.000851893062548091,0.0008613446351284018,0.0008662684816114891,0.0008609422555648137,0.0008390607706840254,0.0008515908006562053,0.0008216726648817329,0.0008923279555429789,0.0008638105642734971,0.0008693574018252548,0.0008460756173317737,0.0009510785603197291,0.0008573051134590059,0.0008416704521024306,0.0008307430078275501,0.0008537634741514922,0.0008103177237340756,0.0008333270161529072,0.0008569690950841097,0.0008533447557552295,0.0008634955223757201,0.0008006398372041682,0.0007879272510763258,0.0008223080622716521,0.0008271294605821885,0.0008391391602344811,0.0008516156224794285,0.0008288067692774348,0.0008632873731484222,0.0008540373841802088,0.0008733396496002873,0.0008789662851311106,0.000862914731475973,0.000817081160520346,0.0008515261579304934,0.000854976071564892,0.0008778095237045948,0.0008729456744584886,0.0008100158302113414,0.0008771042730815772,0.0008453250105958432
80,0.0005864901629408721,0.0005798959539754799,0.0005851005892812585,0.0005777834753434246,0.0005896768040507089,0.0005209332947353167,0.0005300896028206955,0.0005820370752903103,0.0005816825583748095,0.0005813180778204696,0.0005992295936951529,0.0005764604269346336,0.0005888882601125674,0.000571040203794837,0.0005577118762577062,0.0005647779653372709,0.0005837930827207553,0.0005842902604785241,0.000568769801507837,0.0005842391808982938,0.0005863574203641082,0.0005841317636493061,0.0006022471251587073,0.0005699181676997493,0.0005708814123719339,0.0005675363936461508,0.0005687786854856137,0.0005821955182909733,0.0005952307725023917,0.0005924586946475169,0.0005708256200887263,0.0005852717865939037,0.0005820463870455009,0.0005742759209635212,0.0005545755395562284,0.0005890461772131468,0.0005513820498507764,0.0005978980387391692,0.0005967265099472176,0.0006012192952766782,0.0005648883776070471,0.0006300602908595465,0.0005634768458548933,0.0005647649844544695,0.0005722109936055188,0.0005914027894115342,0.0005499286231944305,0.000567739086363872,0.0005756054740451308,0.0005656325215981765,0.000588522858855028,0.00054380464280257,0.0005500800180016086,0.0005558956532064369,0.0005587824592206242,0.0005541015628047965,0.0005740500793802322,0.0005540265556192026,0.0006015354738337919,0.0005799626564392103,0.0005895659211091697,0.0006005264510731063,0.0005952187876337794,0.0005668690328503044,0.0005733529881884655,0.0005701015111476231,0.0005892273308875572,0.0006016925272565606,0.0005729678741772659,0.0005957459247800201,0.0005786030757008121
90,0.0008555138782547736,0.0008433623567085575,0.000856617281291013,0.0008502246185134236,0.0008751082468388861,0.000761357501947454,0.0007787132823479272,0.0008437617159192907,0.000846212771809601,0.0008487891536788084,0.0008683417820268207,0.0008365374571662776,0.0008714402369646864,0.0008252532799925768,0.0008167614817948026,0.0008072229490304986,0.0008571316963449741,0.0008719448115134353,0.0008360721777925002,0.0008500698146720727,0.0008484269734113835,0.0008416855562245473,0.0008972889883443713,0.0008297426373853038,0.00083985850713881,0.0008106870809569955,0.0008360566092549914,0.0008491878033964895,0.0008702622596448397,0.0008551880300435568,0.0008315375835324327,0.0008570760569105354,0.0008534611686347768,0.0008444429448329259,0.0008009169541765004,0.0008787419272786272,0.0008156452776778391,0.0008876061447980729,0.0008868681328618024,0.000891704490641132,0.0008306163177389573,0.0008889731980161741,0.0008090798452030868,0.0008312610106689757,0.0008522195196220357,0.0008873701552926962,0.0008135990151857728,0.0008302952428493882,0.000847698286665475,0.0008148495213721286,0.0008686264278367162,0.0008112939879841482,0.000856426206883043,0.0008357707708028659,0.0008234441629610956,0.0008055999271825633,0.0008412873339889351,0.00080089987750398,0.0009048600719931225,0.0008567043660710064,0.0008608264227708181,0.0008920038592130427,0.0009071925542903719,0.0008576362119014333,0.0008313533164457314,0.0008294737335391246,0.0008491142528198127,0.0009053291503204814,0.0008486789447488263,0.0008858504681652333,0.0008665665867738426
