Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,4.304448637412861e-05,4.4639895619453726e-05,4.509913439202743e-05,4.16411661157886e-05,4.401086040115267e-05,3.3105717323321316e-05,3.906613059253657e-05,4.37767727912854e-05,4.3793865418742425e-05,3.8491444854571455e-05,4.191834202095907e-05,4.522069632782534e-05,4.334348038052364e-05,4.549867670985722e-05,3.9671045092023526e-05,4.456715108365946e-05,4.228846327827168e-05,4.59642281304143e-05,4.206058841711118e-05,4.6020138276314054e-05,4.29928236721585e-05,4.797096439038536e-05,3.775246160027261e-05,4.4408763642422855e-05,4.365977362058835e-05,4.655985612771474e-05,4.620787633264685e-05,4.708054416369123e-05,4.23076501379803e-05,4.4198271655571464e-05,4.5595100236823785e-05,3.997841101339033e-05,4.101034304627459e-05,3.92999098971259e-05,4.079599107677091e-05,3.976094265973578e-05,3.915163027781282e-05,5.299950895608742e-05,4.120618986377509e-05,4.1479580545455974e-05,4.6854551848290225e-05,4.436280147622691e-05,3.9819911307859e-05,3.924916072719498e-05,4.1004048015517915e-05,4.471602541774413e-05,4.474948140601295e-05,4.460792704201978e-05,3.9769550539858756e-05,4.1963697703036375e-05,4.772368629346602e-05,4.136542272383601e-05,4.4100063055688784e-05,4.654887970900745e-05,4.9457628665550144e-05,3.9126828800808465e-05,3.0321935810206924e-05,3.703955083218371e-05,3.680244018059139e-05,5.567925200011814e-05,3.9751650899321955e-05,4.333111587584426e-05,4.500223743283035e-05,3.479176978414346e-05,4.874465523446108e-05,4.439568801899441e-05,4.554474180622492e-05,4.362042994715364e-05,4.017557091207925e-05,4.282546880760394e-05,5.042495447721901e-05,3.386558789012876e-05,4.225050664293425e-05,4.188336333754705e-05,3.208679975484431e-05,4.873228464056375e-05,4.588073482279599e-05,4.073429347279729e-05,4.06273838962079e-05,4.1363510083575425e-05,4.127666688873433e-05
10,4.3058510952202295e-05,4.465542163719268e-05,4.5114724798622774e-05,4.1658129283370305e-05,4.402633788266007e-05,3.31096796019535e-05,3.907895376370664e-05,4.378866271125796e-05,4.3808274715991476e-05,3.8503440805470746e-05,4.193185500130144e-05,4.5236950037568544e-05,4.335420618934388e-05,4.5512190395542845e-05,3.9684732773286455e-05,4.4582571793701696e-05,4.230111203252731e-05,4.5977961385285166e-05,4.207359614026375e-05,4.6034702681936326e-05,4.30068043407608e-05,4.798917588491999e-05,3.776790591170235e-05,4.442233445539993e-05,4.3673038470885894e-05,4.6585781819885594e-05,4.6224185332961966e-05,4.709773781996773e-05,4.232115583470338e-05,4.420932160545847e-05,4.561022120469716e-05,3.999101800917952e-05,4.1027167368995906e-05,3.931401037024022e-05,4.080296770957325e-05,3.9773793754907926e-05,3.9164308107405976e-05,5.301313550179739e-05,4.122048142244787e-05,4.149227174821135e-05,4.687668687048634e-05,4.43766212288694e-05,3.9829991465012426e-05,3.925823184545152e-05,4.1018196115098695e-05,4.473055316913432e-05,4.47627259356003e-05,4.462031862012258e-05,3.978161828399607e-05,4.197726951227604e-05,4.773252294398844e-05,4.138136335479265e-05,4.411396729875168e-05,4.656675234097444e-05,4.946344160998706e-05,3.914489897564339e-05,3.0327947570185643e-05,3.705635791792984e-05,3.681381365988107e-05,5.569163022300927e-05,3.976369204196168e-05,4.333658080213354e-05,4.501989891044408e-05,3.480689727959023e-05,4.8758141626118835e-05,4.440961283062979e-05,4.555611497683761e-05,4.363201906114707e-05,4.019033615434266e-05,4.2838999565123365e-05,5.0445560797622115e-05,3.38717630559889e-05,4.226568247152803e-05,4.189682264647369e-05,3.210188567339044e-05,4.874849757659642e-05,4.5897192389280205e-05,4.0746415966315265e-05,4.063258302267059e-05,4.137471149675059e-05,4.1292126843472944e-05
20,1.2531324306716367e-05,1.2490946169742125e-05,1.2489646451285807e-05,1.2413497139417673e-05,1.2482576079768293e-05,1.2625999651001102e-05,1.2528995519518972e-05,1.254804440003155e-05,1.2567755588919037e-05,1.2423672558270482e-05,1.2469695433043663e-05,1.2503012710242598e-05,1.2422335892166082e-05,1.2582876079801336e-05,1.2508453929673551e-05,1.2628019324741521e-05,1.2447144854377257e-05,1.2494562368005915e-05,1.2430762646025479e-05,1.2541258984128945e-05,1.2522980614448898e-05,1.2559031249890853e-05,1.2410956696840002e-05,1.2493616395659046e-05,1.2445442951589247e-05,1.260878998436965e-05,1.2505992286136344e-05,1.2465905228964402e-05,1.2445641711083762e-05,1.2467751495874367e-05,1.2522427447644683e-05,1.2480866679162808e-05,1.2527720593005562e-05,1.2510820475077575e-05,1.2602172066383193e-05,1.2309054162480087e-05,1.2522590383780066e-05,1.2480932293163443e-05,1.2362930318480919e-05,1.2351924397080438e-05,1.2468235191980576e-05,1.2556818885368944e-05,1.2362501934148895e-05,1.2435190637916093e-05,1.2644698568022394e-05,1.2503794172708264e-05,1.2384569877862565e-05,1.2466762575314261e-05,1.2466095341778782e-05,1.2435565842114838e-05,1.2404391964082605e-05,1.2564833179401996e-05,1.2392087788052428e-05,1.2639466300849259e-05,1.2218898973515024e-05,1.247331332780625e-05,1.2036476618959568e-05,1.245179414424989e-05,1.241931659023976e-05,1.2637541658477858e-05,1.2434074706498093e-05,1.2516742344814702e-05,1.2324415668748164e-05,1.2628871445485856e-05,1.2313918760911394e-05,1.2396990468215125e-05,1.2359628150685846e-05,1.2330066946101054e-05,1.2347504791789646e-05,1.243802694466672e-05,1.2516602813169206e-05,1.2328324373811483e-05,1.2450592597209228e-05,1.2258638889761642e-05,1.2554580410194052e-05,1.250697450459838e-05,1.2558413410650765e-05,1.2387878754335332e-05,1.2523473856163037e-05,1.2415840356276144e-05,1.2405536472215317e-05
30,5.7944980023118355e-05,5.862928150303627e-05,5.774276147955485e-05,5.816698758280836e-05,5.7883576360675564e-05,5.7951877741808335e-05,5.798140439090334e-05,5.804893857872996e-05,5.834016356178076e-05,5.738773643315653e-05,5.802026669384141e-05,5.74067004835138e-05,5.845591206735028e-05,5.832278271334486e-05,5.8220817471224374e-05,5.866133687959518e-05,5.754834914807274e-05,5.857593797499467e-05,5.8068927761009294e-05,5.7797336485236886e-05,5.8600420967335455e-05,5.8418619768677414e-05,5.83909071671466e-05,5.858630562822024e-05,5.8398240821949756e-05,5.751023127231747e-05,5.867151060468337e-05,5.816601007306114e-05,5.841715114108999e-05,5.835764591944509e-05,5.772754569382717e-05,5.777898891560303e-05,5.837656324449479e-05,5.822494446275835e-05,5.837042610639603e-05,5.710127223730004e-05,5.781981446106281e-05,5.7650567958427764e-05,5.770956678210803e-05,5.780224341833673e-05,5.673672889575495e-05,5.840370377359733e-05,5.7881500652001705e-05,5.828736611874774e-05,5.821875138759711e-05,5.776207881832593e-05,5.73928453377448e-05,5.7438047039332764e-05,5.808436276311113e-05,5.782943371114329e-05,5.7679070596350354e-05,5.8108581222106956e-05,5.7897800490116845e-05,5.741686951902617e-05,5.5944033374544236e-05,5.774090964316238e-05,5.6677979955566116e-05,5.7266782999343785e-05,5.81195021037605e-05,5.830928967043292e-05,5.7906255464605305e-05,5.8520424772723345e-05,5.770828890187355e-05,5.841825519122982e-05,5.7639575465549977e-05,5.788363996543922e-05,5.7873140273538105e-05,5.763419481339834e-05,5.746906191672207e-05,5.762598444922693e-05,5.9017722378484905e-05,5.7306859162054025e-05,5.8657260524341837e-05,5.723743076183988e-05,5.7553079386707395e-05,5.7618628347114137e-05,5.860754208697472e-05,5.7961703210058925e-05,5.825328753417125e-05,5.8160412556710927e-05,5.796999539597891e-05
40,0.0003661101416219026,0.0003705626187621857,0.0003692570365577315,0.00037156287715053903,0.0003671037092881537,0.00036502928872193607,0.0003577984401002346,0.0003642089244462305,0.00036752608875873725,0.00035401283639657777,0.00037106778867899173,0.00035989333991892636,0.0003731192414169059,0.0003689084079462301,0.0003624181290540625,0.00036374570481712,0.0003649132119053753,0.00037485795483122806,0.0003709904745587015,0.00036380093273085854,0.0003729969307851906,0.0003651160628318654,0.0003787919436581433,0.0003701211807007591,0.0003677018472762217,0.0003665337571874261,0.00037590921067843033,0.00036644045576395,0.0003715071464231347,0.00037016369582664583,0.000362088883218045,0.0003606181092506561,0.00037499659195488604,0.00036543972858386794,0.0003668103971803147,0.00036451656706049107,0.00036364475779823566,0.0003709899055221203,0.00036951444456802615,0.00037024732773716096,0.00038088858959132006,0.0003714719415701767,0.000368615106708603,0.0003716639999765903,0.00036735295342575565,0.00036739511292819914,0.00036483347607177814,0.0003625333422525345,0.000372368465832551,0.00037042302774979957,0.00038085636333562434,0.0003723772454329512,0.0003705249078428516,0.00036568068753695115,0.00036777273053303363,0.0003664198364796383,0.00038056570338085294,0.0003575807294792271,0.0003732910607306456,0.00037179968057898805,0.0003686117709949813,0.0003759936553251464,0.0003724459869166215,0.00037051188077644577,0.0003783618287545525,0.00036779648239294497,0.00037551851904330154,0.0003703351436753667,0.0003692072037935119,0.00036692568300258335,0.00037381741114788584,0.000370954168223155,0.0003787595099614312,0.00036641594488173723,0.000358463593459289,0.0003671385238231341,0.0003707066332156371,0.000371946299574413,0.000356034332071431,0.0003720544830860742,0.00037082890921738
50,0.0005046761854706952,0.00047017469747785343,0.0005190044466871768,0.0005205599165772303,0.0005159952041922915,0.000536703596091164,0.0004574421210206985,0.0004885800655373666,0.0005061087228764509,0.000511172629558132,0.0005062173615083283,0.0004924995265188341,0.0005110937018991646,0.0005118812193607234,0.0005048487828496625,0.00048257780993784155,0.0004992166132502635,0.000526500736507646,0.0004973012879158237,0.0005004080633322398,0.0005055517907469318,0.0005035938260594516,0.0005421353589432935,0.0005061393875318269,0.0004920268409131538,0.0005212570249568671,0.000542466807077759,0.0005019433635122065,0.0005005572614369586,0.0004961187627369298,0.0004958665498998017,0.0004753625734548013,0.00055406166267438,0.00046982502592471994,0.0005099765306416278,0.0005006325424931544,0.0004956713917061662,0.0005251126342707059,0.0005206539911352636,0.0005000867495255079,0.0005469397666664528,0.0005097012704317558,0.00046267902507679537,0.0005429641925729812,0.000502767082683644,0.000501561868862298,0.0005083565593979854,0.0004940209968991807,0.0004986652083971421,0.0005055315476934554,0.0005943673546425998,0.0005148893291003664,0.0004885816776480239,0.0005344508366154818,0.0005511902156285942,0.0005135148210089882,0.0005407886783359572,0.00048016811367766613,0.0005380674688653512,0.0004882843495579436,0.0004679554371133206,0.0005284866820147727,0.0005584895795133585,0.0005056597666615355,0.0005575842151301913,0.0005218911342895948,0.0005092655871218691,0.0004903060400993713,0.0005210760020957052,0.0005181542592991546,0.000568003429281008,0.0005146195326233283,0.0005489931985115012,0.00045915321485760313,0.0004909732171134758,0.0005068442687488995,0.0005323741435339409,0.0005150832211872894,0.00043496030775713734,0.0004952296234585126,0.000510235846741125
60,0.00037235584187631806,0.00031890702289442914,0.00044687696451243636,0.000415814512122709,0.0004009729534198966,0.00039401810915608494,0.00034363055320066067,0.0003872209446471013,0.0004004591193987363,0.00041196717211278155,0.00042855857140643313,0.00039295062104392113,0.00038253066480992305,0.00040061792132098964,0.00038968055159784856,0.00036515465399133973,0.0003996277122323157,0.0004040100199135044,0.00036698671465273947,0.0004117555600047732,0.0004163653567397537,0.000412391794400589,0.00043369525325639795,0.00039074732436953735,0.0004240997423905702,0.00045145562035031617,0.00040346507950978833,0.000418148160254835,0.0004116599465145127,0.0004395874493638985,0.00039751761864560345,0.0004379281879384787,0.000433083353877569,0.00039991906367770465,0.0003733097821370595,0.000416644791455058,0.0003580214384113022,0.00040634927625598556,0.0004112188818623278,0.00039828824083087966,0.00039344054364067106,0.0003936300594471098,0.00047313550385297276,0.00041732963582035153,0.0003622257576544622,0.0003588708670577034,0.00038684722655619097,0.0003872166724473222,0.0003474139334684878,0.0003972399800690694,0.0004234947613440454,0.0003898070664780045,0.0004406835508864158,0.00038975752007293824,0.00041455458267591894,0.0003728972512121521,0.00045483678695745766,0.00039644716638702386,0.0003943903059486977,0.0004266886753612198,0.00036462740371784856,0.0003691718738991767,0.0004097677641160165,0.0003709932539745101,0.00043108597714712634,0.00042167647535769413,0.0003972696683680018,0.00043277411035672633,0.00040263629677981416,0.00035020335630392066,0.0003999638623402764,0.00045055567655557144,0.0004486922698561102,0.0003546960433595814,0.0004156485041936061,0.00040643409237737295,0.0004422800993779674,0.0004118395992273074,0.00031679006315243896,0.0004246535613406997,0.0004174711852101609
70,0.0005857140807590137,0.0005226333785146751,0.0006964107500001168,0.0006356598406385344,0.0006267648345725965,0.0005780224704981915,0.0005489591083812317,0.0006032530310269641,0.0006232918888519082,0.000615257880781428,0.0006574077857227099,0.0005955295750101534,0.0005847311792119095,0.0006213248045903376,0.0005874529097448378,0.000558200878003845,0.0006226337784374621,0.0006359587084572715,0.0005682842020178214,0.0006165576334266613,0.0006195443874905602,0.0006306785310568687,0.000655802897332857,0.000583485539148872,0.0006589387452954219,0.0007579312310554087,0.0006162963263998409,0.0006319316847414788,0.0006424529601217193,0.0006828495327593578,0.000594318718649447,0.0006768166629346804,0.0006531378620331032,0.0006248084828257561,0.0005892058106837794,0.000632367345783028,0.0005491909151284122,0.0006407436105126345,0.0006349706816829247,0.000639850230072625,0.0006193774586011257,0.0006088566702562682,0.0007040644413791597,0.0006010321143548935,0.0005879276049151821,0.0005809672311634609,0.0006115630227473697,0.0005917109055301632,0.0005356628662411822,0.0006054535519195207,0.0006239512062165886,0.0006007079262582755,0.0006797188566102145,0.0005788491932131971,0.0006399285717634484,0.0005686212074467723,0.0006823945441283286,0.0006304087733512681,0.0005585227680223232,0.0006924412300577387,0.0006024647305058616,0.0005751330827479251,0.0006093498862658938,0.0005727565024114613,0.0006940809164209188,0.0006370044604409486,0.0006009685205450902,0.0006837789642108825,0.0006454013470189508,0.0005715344104336927,0.0005859374650754035,0.0006541498296428472,0.000731063929075996,0.0005484326684381813,0.0006726825293818754,0.0006165784967355672,0.0006445714056358806,0.0006409670574113636,0.000545214737940114,0.0006578442593645148,0.0006195312947966158
80,0.000835406129869322,0.0008074788449987493,0.0008712746057426557,0.0008291849535173522,0.0008584334503246259,0.0008330420990075384,0.0007988191472606793,0.000839294474357494,0.000849306072061292,0.0008477980009047315,0.0008673244357155061,0.0008152268698667081,0.0008293978859331797,0.0008491827404324079,0.000814124257714652,0.0008322610932130677,0.0008297874162616651,0.0008605479202351144,0.0008168478213649775,0.0008273298937516907,0.0008536469451008508,0.0008614824369682797,0.000851356709220757,0.0008337439813961585,0.0008490093353588784,0.0009310170891694725,0.0008268958012077717,0.0008286219914831842,0.0008578183923793189,0.0008684397654442657,0.000825787412468344,0.000858454575511412,0.0008265464779329845,0.0008297379642565985,0.000841289218644508,0.0008208757468050212,0.0008056648879765385,0.0008467228935015472,0.0008364485293424811,0.00080916457955027,0.0008025608092014279,0.0008416627973387453,0.0008773557347012684,0.0008018527529202402,0.0008511782599318968,0.0008325332463228781,0.0008343395735469779,0.0008058887875736936,0.0008136997257679468,0.0008176836668883033,0.0008682697312906385,0.0008401668482375416,0.0008579418376589624,0.0008067377493716776,0.0007952289946842938,0.000812201280793061,0.0008515358495060354,0.0008288404767819006,0.0008233935117128898,0.0008911111508496106,0.0008232293059668874,0.0007706695832894184,0.0008356429073804369,0.0008330850728920528,0.0008674649353553024,0.0008367324471831895,0.0008120411696533362,0.0008456022466122303,0.0008354122077839242,0.0008002777703458796,0.0008558664380365775,0.0008375378674827516,0.0009028826413365701,0.0008084945244869838,0.0008381230789901954,0.0008319715867968058,0.0008381667846281614,0.0008431376101666942,0.0008076192025328055,0.0008402416930620034,0.0008199596137274057
90,0.0009669091692194342,0.000906697006602944,0.0010211019737956424,0.0009698097092600969,0.000978914935354002,0.0009103852706695241,0.0009005961915282833,0.000958433076831218,0.0009707625840401536,0.0009913254252751358,0.0010158516240973072,0.0009327797915273327,0.000971247519676884,0.0009702263359389635,0.0009333588593803784,0.0009369051088773025,0.0009553447376847977,0.0009876075443882447,0.0009209686915190625,0.0009587028870979945,0.0009732322176345266,0.0009887231353786774,0.0010014087551583847,0.000955519803877299,0.0009701054012920293,0.0010838305111974477,0.000966364543156458,0.0009632373463925129,0.0010018424295327242,0.0010160865842349708,0.0009507492378664513,0.0009951809031638103,0.0009665079537976104,0.0009488634837552814,0.0009511125519768231,0.0009574153019847083,0.000904158427913085,0.0010021229602650485,0.0009858651305492743,0.0009685689619800542,0.0009432942606508732,0.0009629817820708961,0.0010930638381978497,0.0009305782907176763,0.0009615187545454031,0.0009501235633108177,0.0009762504054898662,0.000914628676694344,0.0009295555119024357,0.0009477899278361542,0.0010052498430013657,0.0009733598086644303,0.0009985574601719587,0.0009299633529735729,0.0008938860555645078,0.0009154011732993685,0.0010148335713893175,0.000951380800086491,0.0009265467048284005,0.0010388009541202337,0.0009466710735753339,0.000889424278284423,0.0009498760919086635,0.0009376984089612961,0.000996693063320385,0.0009805167058052925,0.0009193298678534727,0.0009883142487015775,0.0009667547117849743,0.0009265515695300859,0.0009474431345653203,0.0009626949904486537,0.0009916884979854028,0.0010065588867291808,0.000948519678786397,0.0009549757421875445,0.0009621440299919673,0.0009871010876057909,0.0009386848760186695,0.000992616727564703,0.0009647666243836284
