Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,cross,cycle,dash,depart,descend,drift,flee,float,fly,glide,go,hasten,hike,hurry,journey,limp,march,meander,race,ride,row,run,rush,sail,scramble,swim,taxi,travel,tumble,walk,wander
0,1.7891998183856503e-05,1.9073729702170197e-05,1.9600852321370137e-05,1.7686910870487248e-05,1.7730166942046593e-05,2.4647024344760992e-05,1.7895509509182902e-05,1.8768042447810133e-05,1.8969640758412056e-05,1.5138351784571569e-05,1.6878160401833112e-05,1.9623789944025518e-05,1.8148282007049684e-05,2.0507302851359725e-05,1.6590092582191573e-05,2.0099078180161694e-05,1.665498923774153e-05,1.586861642149588e-05,1.784609639798873e-05,1.7830651146747792e-05,1.8496420894874835e-05,2.006666239497333e-05,1.614800386960269e-05,1.6949629480222938e-05,1.953686178095513e-05,2.008683713938808e-05,1.709150954030197e-05,1.8646096312598576e-05,1.798423074754229e-05,1.6109551163554576e-05,1.8807922527533566e-05,1.8124824534355026e-05,1.8411043339046257e-05,1.926566718011177e-05,1.9108256411628747e-05,1.6187022278505276e-05,1.647173776650322e-05,1.726782027782809e-05,1.5533773876086343e-05,1.4738280242454493e-05,1.9009093600114747e-05,1.4776000227811892e-05,1.6570159459661227e-05,1.9000433463875915e-05,1.7181214053906795e-05,1.692204741630121e-05,1.755657704929865e-05,1.776428561583998e-05,1.6497295546444016e-05,1.674456474244256e-05,1.6456444994289016e-05,1.978003804955127e-05,1.779767953848932e-05,1.80732592377112e-05,1.9343090037903586e-05,1.8389311083989345e-05,1.704052901033954e-05,1.9118800992146134e-05,1.4210390051832494e-05,1.7323747208418074e-05,1.8009274632883414e-05,1.6151755228561978e-05,1.4766060059156627e-05,1.812472410247292e-05,2.3126574382735675e-05,1.636332187338773e-05,1.9932409746356177e-05,1.7032440243178093e-05,1.7996047063206788e-05,1.5560819672889218e-05,1.4896129141561686e-05
10,1.788546909345904e-05,1.9069410511831478e-05,1.959561238133271e-05,1.768226406616472e-05,1.772411913038865e-05,2.463971811396602e-05,1.7890430538705737e-05,1.8762818488575447e-05,1.8964747302757304e-05,1.5134618990941817e-05,1.6872831021132303e-05,1.9617311260603577e-05,1.8142049239858434e-05,2.0502346201696625e-05,1.6585712375458303e-05,2.0092158119192998e-05,1.6649130040085375e-05,1.5863334277738326e-05,1.7840161896336732e-05,1.782572501421479e-05,1.8490783231055293e-05,2.0058613366862638e-05,1.6142148754928106e-05,1.694548897527663e-05,1.953105800653464e-05,2.008054143516347e-05,1.7087661402207055e-05,1.8640367064411596e-05,1.7977964543045827e-05,1.6105506127191362e-05,1.880233171201932e-05,1.8119865269629652e-05,1.8405059274930234e-05,1.9258865777797034e-05,1.9105729633237286e-05,1.618141560097034e-05,1.6466838557885478e-05,1.7263190701752055e-05,1.5528705245676712e-05,1.4733392163179815e-05,1.900340588632544e-05,1.4772581209854252e-05,1.656638178246794e-05,1.899615510506249e-05,1.7176123774812654e-05,1.6916810578290357e-05,1.7552875126631606e-05,1.775911718482348e-05,1.6492349267348893e-05,1.6740922546887305e-05,1.6451612229782488e-05,1.9771930662197217e-05,1.7790833589970133e-05,1.806753462748317e-05,1.9338936595133796e-05,1.8382332696505315e-05,1.7036432343037857e-05,1.9110505036223913e-05,1.4206874488485886e-05,1.7319261937350697e-05,1.8004517672428242e-05,1.614725030571384e-05,1.4761268596851517e-05,1.811896752950086e-05,2.311901395538977e-05,1.6358461752216417e-05,1.9922600845997556e-05,1.7028180478049643e-05,1.7989793377637397e-05,1.5557114743043575e-05,1.4891916907799897e-05
20,6.35707211536961e-06,6.354071602901159e-06,6.336156085732607e-06,6.36297948473769e-06,6.336410738013116e-06,6.281054603667664e-06,6.3309037379381594e-06,6.324858710357541e-06,6.319962134903453e-06,6.345985184452729e-06,6.297377554509705e-06,6.302024563150813e-06,6.3591050313720405e-06,6.336449463229986e-06,6.333489807944074e-06,6.315344440584643e-06,6.315447849590869e-06,6.308816795399828e-06,6.278375297240148e-06,6.330658895118783e-06,6.3332734988272515e-06,6.342696540936491e-06,6.282897320488701e-06,6.29438656384688e-06,6.330504263695773e-06,6.3018787841429e-06,6.3166931546044406e-06,6.308243371222488e-06,6.337290254604715e-06,6.340383217848871e-06,6.311447935634836e-06,6.334138019016022e-06,6.357430563114646e-06,6.339481789710103e-06,6.322394054020859e-06,6.3249664370752205e-06,6.330922546064692e-06,6.429469232733192e-06,6.325485650537653e-06,6.318843816188746e-06,6.323135334667391e-06,6.405230408290663e-06,6.324172909444315e-06,6.359955310280814e-06,6.31442055811548e-06,6.269321050110323e-06,6.301908813424106e-06,6.283603312340347e-06,6.325159645335777e-06,6.2671460082955575e-06,6.318400035245129e-06,6.3882958253695206e-06,6.302051588136237e-06,6.274296148538789e-06,6.36204971481769e-06,6.312025148376548e-06,6.28933530704241e-06,6.3712220708112e-06,6.302337333686915e-06,6.347452892021885e-06,6.331465222804885e-06,6.292161429804745e-06,6.293803679640135e-06,6.341288406327146e-06,6.3504976929430595e-06,6.329686336605598e-06,6.37745519530394e-06,6.304299587657536e-06,6.302870076524414e-06,6.320298310304931e-06,6.2518115555576514e-06
30,2.981271321717744e-05,2.9869131308428393e-05,2.9815969355695415e-05,2.9729646261190422e-05,2.979034710549484e-05,2.9611999967268537e-05,2.979386842907256e-05,2.974754872911053e-05,2.9827582670517173e-05,2.972152515212656e-05,2.9750144205064754e-05,2.952092717703413e-05,2.981235102748597e-05,2.9821159428551752e-05,2.972748103168081e-05,2.98554225537373e-05,2.9626910894703108e-05,2.982104952830992e-05,2.9617249700614983e-05,2.9721270402660592e-05,2.982071390971004e-05,2.9910563430998343e-05,2.973021345193653e-05,2.9643471740807097e-05,2.975599036001349e-05,2.972694819618482e-05,2.982504517398587e-05,2.9612502582191762e-05,2.9785952018060282e-05,2.9892866428605387e-05,2.9630246838981596e-05,2.9770020004294704e-05,2.9667879621578882e-05,2.9727705411862063e-05,2.9701156866697904e-05,2.9699622538308696e-05,2.9694007839440784e-05,3.001919255687178e-05,2.9778798515431537e-05,2.969954266518471e-05,2.977686441188277e-05,2.9959404628243647e-05,2.971122430608375e-05,2.979699724834829e-05,2.966522195875816e-05,2.9551719983698734e-05,2.9619566703331657e-05,2.960105337024288e-05,2.9733896694935916e-05,2.9759077402890068e-05,2.969766144535522e-05,2.972894753838773e-05,2.9444806204992347e-05,2.9586180823330045e-05,2.972325599894875e-05,2.9769947022114966e-05,2.9608657363281456e-05,2.9748494398518233e-05,2.9643962079717312e-05,2.9777648747907594e-05,2.9818537465568323e-05,2.9691775379951554e-05,2.9623558964010078e-05,2.972137157452347e-05,2.9968626323453565e-05,2.9823812589959495e-05,2.9917285246483516e-05,2.970794849393461e-05,2.9736100714217173e-05,2.984431186265864e-05,2.9419959901133552e-05
40,0.00030377995721504996,0.00030448975761558997,0.0003043738106498495,0.00030391991514569294,0.0003044036919946629,0.0003018388732536031,0.00030361433258099905,0.00030361014011991665,0.0003031711934040053,0.00030399504794331733,0.0003034558727831384,0.00030241079737755415,0.00030430979324702287,0.0003038536431797018,0.000303221374462523,0.00030237749524530955,0.0003037289099579322,0.0003037408887278996,0.0003025060775274012,0.0003038724857227256,0.00030359305942860934,0.00030352247215757543,0.0003041839036935319,0.00030235249335722376,0.0003034335663653023,0.0003025891142897308,0.00030431259543664996,0.0003030611454353978,0.0003037174355567378,0.00030413596569785786,0.0003027477344342818,0.00030361394881485746,0.0003040833493846898,0.00030362695525941805,0.0003029460478703388,0.0003045045190706982,0.0003034618225922857,0.00030552991665899754,0.0003039889880568238,0.00030466024145425763,0.0003035072413114633,0.00030520582731696777,0.00030389534949790684,0.0003044393547737089,0.00030273512912620056,0.0003032974898815155,0.00030330709399238815,0.00030290013273770455,0.0003039145958609879,0.00030250158108008856,0.0003041420299828482,0.0003040095616597682,0.0003031275584362447,0.00030207378511811243,0.00030383998568266117,0.00030296331864189017,0.0003034249736717151,0.000304100256471429,0.0003046921572402223,0.000304032574282386,0.00030391074639434613,0.0003035814562056374,0.00030362323606688597,0.0003037514070128636,0.00030356617127027776,0.00030409794734706253,0.0003051024063357285,0.00030354963570472694,0.0003042078678845428,0.0003040940312476938,0.00030270917632151394
50,0.0007250974343372258,0.0007161505313383208,0.0007260314159793779,0.0007068115841740599,0.0007166814227010819,0.0007262579747475684,0.0007282491809042592,0.0007321683178637541,0.0007279966257901603,0.000727813458070159,0.0007231289543855338,0.000728694594949864,0.0007229549087104247,0.0007358740108567431,0.0007252649835530011,0.000734522778657265,0.000724513870192736,0.0007083791763450997,0.0007155438839358144,0.0007384955526019136,0.0007246185649329653,0.000719413195578714,0.0007161861867643893,0.0007255282408247392,0.0007204844751247456,0.0007327747764065862,0.0007178534372454329,0.000719917024980532,0.0007121691706261652,0.0007166497976398996,0.0007317357130038241,0.0007142427001291743,0.0007191874196555895,0.0007267390285770214,0.0007236469666370087,0.0007116830425470003,0.000723351148496333,0.0007139911388301036,0.0007144212042520115,0.0007131593556550797,0.0007232376863496339,0.0006998545140959322,0.0007419795787427574,0.00074032681234377,0.0007229614469810928,0.0007128571218345314,0.0007254593074321747,0.0007257951110659633,0.000714295933621229,0.0007216736028732902,0.0007057812978298618,0.0007222994851569334,0.0007031164248473942,0.0007162999482920431,0.000715004268166577,0.0007360789459198713,0.0007312011514459887,0.0007075393441482447,0.0007021372924403598,0.0007145132967987313,0.0007215213573848208,0.0007006903097624339,0.000703034084398058,0.0007178744590665037,0.0007298079306363232,0.0007245232458468285,0.0007356043081797127,0.0007008067449562311,0.0007328811261686496,0.0007099130008948826,0.0007025583239737898
60,0.0011783694625026673,0.0011620135973552587,0.0011553276369037728,0.0011391285054672222,0.0011405369423070474,0.0012286839108648045,0.00118019973160699,0.0011741473675048089,0.0011667015982933248,0.0011823542372439988,0.0011654995219425562,0.0011819480984870876,0.0011566955116436336,0.0011813607222090166,0.0011708726099801852,0.0011835770613591496,0.0011578353774634057,0.0011415254365935734,0.0011494091117388702,0.0011834964629573127,0.0011674654759609927,0.0011602057534868696,0.0011422528869782884,0.0011744558694772422,0.0011668516237968727,0.0011870934860780836,0.0011520186897307153,0.0011640359819769703,0.0011565215652808547,0.0011508645820281199,0.001178218397932748,0.0011588762930701845,0.0011640760852829912,0.0011700077136696943,0.0011988914080171122,0.0011564904125407338,0.0011705297848062688,0.0011363160500133579,0.0011354523594491184,0.0011314793446217664,0.0011662894691479332,0.0011282999694230966,0.001194697734899819,0.0011989411248482372,0.0011757573676540664,0.0011312522218629186,0.0011735846239485238,0.0011802460903709289,0.001142645891001127,0.001180555819618431,0.0011309744234984883,0.0011376548500265926,0.0011481692083179951,0.0011407208500658066,0.0011389703521954603,0.0011998131892389872,0.0011660486330798956,0.001140019463491626,0.0011227184052889545,0.0011411473199796792,0.0011665139657755692,0.0011335675133973039,0.0011428802827140316,0.0011664911641042915,0.0011909415221048726,0.0011677295392887158,0.0011732452964809323,0.0011206339132190952,0.0011909264358109795,0.0011407903922886094,0.001155224465765059
70,0.0014092482837244264,0.0014046783628011191,0.0014269523962866515,0.0014174251387325616,0.0014163541306941947,0.0013779739716223308,0.0013760958156067758,0.0014157557161524892,0.001425058258214046,0.0014092502169660293,0.001424718856593065,0.0014168530042112178,0.001425734004993556,0.0014104296516796405,0.001391225854647072,0.001400625435053371,0.0014114273473664763,0.0013986282533954217,0.0014009334221814892,0.0014229508955031632,0.001422204329775503,0.0014297308371169493,0.0014085712811599176,0.0014036865206435323,0.0014033697209217483,0.0014295251341536642,0.0014034914295940149,0.0014132685464574024,0.0014221220934653982,0.0014446533713189343,0.0014143911981955172,0.0014222977871003633,0.0014311445053093708,0.0014098260692472374,0.001418976261953099,0.0014081998940257887,0.0013950357372921548,0.0014414954718879678,0.0014144942355173897,0.0014246776336221956,0.0014028832925721368,0.0014892993494868279,0.0014266552752815187,0.0013818790413145173,0.0013791274365135713,0.0014064656271200095,0.0013780279223921529,0.0013764309405814856,0.0014177532384878602,0.0013994329862973907,0.0014304126577021983,0.0013669970503542572,0.001378712267614901,0.0013946753698496185,0.0014160465176120914,0.0014149174305864356,0.0014145485981697998,0.001419768697815016,0.001410194950747407,0.0014173671818123413,0.0014215718644360702,0.0014191343716936566,0.0014035914748631141,0.0013734875089564437,0.0013679422231184111,0.0014003815428752983,0.0014318266600769544,0.0014158669002954998,0.0013217058294685557,0.0014246536972502073,0.001409473840612918
80,0.0011787533451727515,0.0011700253450760134,0.0011754173319786787,0.001176676932328309,0.0011844422971782616,0.0011131945066154003,0.0011148415975302697,0.0011726531117935391,0.0011741329467843606,0.00117169145232765,0.0011868210779617965,0.0011653746597050708,0.0011853688135460923,0.001166209646423037,0.0011441769187941272,0.0011431679425489467,0.0011711590992663765,0.0011661280767367329,0.0011670321899665786,0.001180957907345146,0.0011788036190689757,0.0011818744096672162,0.0011831819545477628,0.0011624228674918414,0.0011522850818148562,0.0011344556231051683,0.0011531191928717758,0.0011798379928222857,0.0011810945251080043,0.0012077531972599605,0.0011655885175180932,0.0011658506432118325,0.001187598628278535,0.001156523282271485,0.001154809000177516,0.0011826372137875296,0.0011408261895044952,0.0012177211147817698,0.0011954924704630423,0.0011904183775186539,0.00114452269701089,0.001272995155886747,0.0011761938803829253,0.0011258355378614443,0.0011549123348423133,0.0011856876596409295,0.0011197348695101315,0.0011474162347440142,0.0011814286840019811,0.0011375445597381754,0.0011938131772554837,0.001122171786846593,0.0011391060426831246,0.0011383316881137388,0.0011651656000296875,0.0011481590336188674,0.0011689072607525735,0.0011637224233709276,0.0011889158631674945,0.0011709985708316358,0.0011822988123943408,0.001183365919797491,0.0011624954851059657,0.0011519912235975803,0.0011154570901352498,0.0011512986800101186,0.0011860653259126203,0.0011973424806191975,0.001112123703933321,0.0011885087656350259,0.001164415548555553
90,0.0016454423091852583,0.0016099724927227253,0.0016499174331935744,0.0016315761075999873,0.0016264951437169426,0.0015168814986412013,0.001534939762355099,0.0016051831828685953,0.001622579878349376,0.001615598397620488,0.0016300808523356178,0.0016077556362261577,0.0016222761513552432,0.0016048109568091054,0.0015764819827916868,0.001574407773053584,0.0016064190879530673,0.0016179505331866161,0.0015976844505140825,0.0016174823387215536,0.0016129426998444474,0.0016245350956783763,0.001632864436445137,0.0015996153349988162,0.0016007952868849749,0.0016100706066936254,0.0015984717850393104,0.001630733650623976,0.0016164423254154184,0.0016501805230584596,0.0015965606660271684,0.001599512886829101,0.0016198092623828696,0.0015997444144125249,0.001591919669105361,0.001629957465671136,0.00156765992869623,0.0016497068043628876,0.0016359710274825253,0.001631459417694714,0.0015862237270723315,0.0016911002894630656,0.001634663122240454,0.0015751590866497473,0.0015902072828459111,0.0016381568025930651,0.0015553170825322077,0.0015898377350822557,0.0016263809761610524,0.0015932429708879101,0.0016383786246968576,0.0015485137798047315,0.001608409034088254,0.001593491841791844,0.0016048193010019846,0.0015541332858529959,0.0016045268569942763,0.0015737327048555017,0.0016499663017586702,0.0016122335568070413,0.0016283686893681685,0.0016449264548618787,0.00161606682080741,0.001611154657570427,0.001565040917032295,0.0015937075300093788,0.0016324587049894035,0.0016455634716793053,0.001604289427632466,0.0016442923777259322,0.001615867018699646
