Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,1.2457428929337767e-05,1.2867947976634173e-05,1.066379411440721e-05,1.1825288828941456e-05,1.3232124568080334e-05,1.542653171782149e-05,1.4757067498477784e-05,1.341177143163613e-05,1.26203401606877e-05,1.2926327940476767e-05,1.3406459862538067e-05,1.2546117283577308e-05,1.2588389491804374e-05,1.220067518013159e-05,1.4386034832996836e-05,1.5858217333667806e-05,1.2850795461158018e-05,1.3617140240644921e-05,9.58866951350501e-06,1.3186335145292105e-05,1.3861047661451336e-05,1.3303404386988404e-05,1.2223876819916767e-05,1.5116102925579374e-05,1.3373855872198455e-05,1.0414072403364116e-05,1.2785005809189076e-05,1.1495338156919388e-05,1.312976251831381e-05,1.4514712985704048e-05,1.3642858223950801e-05,1.164994532350997e-05,1.3179595612200501e-05,1.2976016056732411e-05,1.268148983197332e-05,1.3028643374062604e-05,1.3271405584036026e-05,1.2628036529349629e-05,1.2705570037702186e-05,1.1195756968618298e-05,1.1040411404142755e-05,1.4221919197185112e-05,1.3369262887863442e-05,1.1565525983314729e-05,1.3959341925472377e-05,1.3522970613465938e-05,1.2181728191405584e-05,1.2033580552477424e-05,1.2702972128408874e-05,1.3500406904031165e-05,1.0921752800641115e-05,1.5203871953417547e-05,1.337420063254495e-05,1.3013718444199185e-05,9.915658074532984e-06,1.292544744983945e-05,8.4803812114842e-06,1.3809851115466104e-05,1.2033695384161547e-05,1.1127531251986511e-05,1.3194361281910127e-05,1.2183722674308228e-05,1.537649905003491e-05,1.2923217452355726e-05,1.1289632804315866e-05,1.2401767589136187e-05,1.1967810344989023e-05,1.1750550833488476e-05,1.371480155504051e-05,1.3261940009895395e-05,1.2477653298345911e-05,9.826074726030734e-06,8.839573789979719e-06,1.778819402413016e-05,1.2015880007051497e-05,1.3952074723065734e-05,1.126178299922945e-05,1.3562480552125987e-05,1.626887910788355e-05,1.3057944467901438e-05,1.1654978106889757e-05
10,1.2456574113457464e-05,1.2868532108027634e-05,1.0663677054859969e-05,1.1824819816515977e-05,1.323143016887553e-05,1.5426504432980437e-05,1.475613828827796e-05,1.3411074902298998e-05,1.261964591114658e-05,1.2925013066933388e-05,1.3405438859294524e-05,1.2546560123972049e-05,1.2588595878200563e-05,1.2199967441671161e-05,1.4385155068071873e-05,1.5857818311815208e-05,1.2850038388023677e-05,1.3616606148515749e-05,9.587991582650699e-06,1.318622784310719e-05,1.3861229350508298e-05,1.3302952863471415e-05,1.2222827135701664e-05,1.5115647587056931e-05,1.3373063038237715e-05,1.041458726831479e-05,1.2784649089230844e-05,1.1495027507635314e-05,1.3129968042716534e-05,1.4513695664537672e-05,1.3642116003514578e-05,1.1649941772982576e-05,1.317824374452287e-05,1.2975606734205319e-05,1.2681645355567323e-05,1.3028825191798075e-05,1.3270745679811194e-05,1.2627043319794625e-05,1.2704842436461884e-05,1.119500188906386e-05,1.1042157698934066e-05,1.4221266494442194e-05,1.3369546707053814e-05,1.1565943259483901e-05,1.3957077929884881e-05,1.35222341573114e-05,1.2180847612138938e-05,1.2033035633513672e-05,1.2703546573789026e-05,1.3499358440891103e-05,1.092136963052326e-05,1.5201687595187899e-05,1.337360027509231e-05,1.301047795247238e-05,9.913735766531317e-06,1.2924966215775515e-05,8.477807796225534e-06,1.3809260179124098e-05,1.2031386631861096e-05,1.1128581604680221e-05,1.319378063310988e-05,1.2186269714220543e-05,1.5373116032909213e-05,1.2923425077003361e-05,1.1289940731431772e-05,1.2400876711091348e-05,1.1967669009512367e-05,1.1750763679697473e-05,1.3714434931831352e-05,1.3261638897503118e-05,1.247895716005587e-05,9.827427826773297e-06,8.839529224739332e-06,1.7789136412223645e-05,1.2013983580670487e-05,1.3951252108731219e-05,1.1261014638616221e-05,1.3562129699875509e-05,1.626876724003523e-05,1.3057021758776645e-05,1.1654178570097428e-05
20,5.17597406966767e-05,5.152151398188262e-05,5.129234007957469e-05,5.1449950898621374e-05,5.1668294815234604e-05,5.1435527503989374e-05,5.1785966089453485e-05,5.187485251218803e-05,5.164960711675731e-05,5.1492165539457346e-05,5.1615568444515105e-05,5.165916853893206e-05,5.150021961801968e-05,5.1664629691830754e-05,5.1779578301220144e-05,5.1423515894081597e-05,5.169333274222611e-05,5.1774014709620514e-05,5.125737542195046e-05,5.169558217554974e-05,5.1671063052848553e-05,5.158789216303765e-05,5.1675177140471835e-05,5.185892187000718e-05,5.173908767386502e-05,5.147676274646074e-05,5.1710589809039036e-05,5.147507067704282e-05,5.178440179032109e-05,5.1929987861395574e-05,5.1720974006457255e-05,5.121543808155156e-05,5.167369713140383e-05,5.14794152500477e-05,5.150178367330227e-05,5.157674734488994e-05,5.1823185267015726e-05,5.139617000664161e-05,5.1752097588397157e-05,5.142285112924583e-05,5.164893393936966e-05,5.1734009715839925e-05,5.1844571316905785e-05,5.136300023877993e-05,5.15380161232315e-05,5.155100290338803e-05,5.178013421495312e-05,5.1460327692135856e-05,5.160399280157435e-05,5.1691041209841356e-05,5.178146020625718e-05,5.201534374712289e-05,5.1679371077065855e-05,5.1711481319216546e-05,5.161339540791232e-05,5.147766717768996e-05,5.14511666551698e-05,5.170494917145898e-05,5.1723658213053234e-05,5.1838050239894073e-05,5.15014572136019e-05,5.150767083250685e-05,5.2297173776120566e-05,5.208744083315001e-05,5.1574004424360785e-05,5.171406704063814e-05,5.163648359787961e-05,5.1529172157633405e-05,5.1592260037809695e-05,5.1870625480529136e-05,5.152646634895872e-05,5.160819637239911e-05,5.0669742146662124e-05,5.1902517952839844e-05,5.16205769339909e-05,5.178953057560199e-05,5.1207688946825715e-05,5.155089404011491e-05,5.21483716511284e-05,5.167868233407151e-05,5.157148043508641e-05
30,0.0002323132937696452,0.00022999556838638254,0.00023154883577565974,0.00023088753402519685,0.00023232686537453504,0.00023379673699050078,0.00023227153513054815,0.00023247399095501016,0.00023179218932673854,0.00023239216261572437,0.00023148614890948168,0.0002335300369126418,0.00022945953374305233,0.00023166642627488315,0.00023135886037968756,0.00023062412765284535,0.00023246540530678993,0.00022962568526722113,0.00023080758702625253,0.00023266317652693638,0.00023059574349855002,0.00023107542178227698,0.00022963722178246827,0.00022989347683809077,0.00023020559456199408,0.0002335002413019538,0.00022984213630420966,0.00023124766297163055,0.00023046221998383236,0.0002308570755919772,0.0002329734571200485,0.0002312769356649369,0.000230872057167849,0.00023158213511257,0.00023107596482279606,0.00023303832650916384,0.00023306541104255686,0.00023228691531006586,0.00023204108180495045,0.00023091791990736965,0.00023515342867800167,0.00023117586982713894,0.00023287529074877966,0.00023044400004437193,0.00023172534833735737,0.0002326488514786194,0.00023347534151980654,0.00023263719534346214,0.00023110337360776612,0.00023202350975821148,0.00023204180761240422,0.00023327184317167848,0.0002313361113640265,0.0002340166077677471,0.0002353045594645664,0.00023205838271901392,0.00023162444995250553,0.00023339470298479087,0.0002316817924359136,0.00023257379507413134,0.0002318226777064684,0.00022941687166166957,0.0002323362617365395,0.00023309504363818893,0.0002315771517815948,0.00023169518390204759,0.0002318726027927672,0.00023185362571835397,0.0002320030902477878,0.0002329445349394453,0.00022926542442291975,0.00023327106706953296,0.00022780162786754468,0.00023397411617528027,0.00023290459856590523,0.000233720906393288,0.00022991236411533983,0.00023067883434592777,0.00023271892496268265,0.0002309921823203282,0.00023069719172781334
40,0.0006114176233919959,0.0006116306456668233,0.0006081757310312241,0.0006076165251075648,0.0006169280290745105,0.0006159931737264353,0.0006163894882305495,0.0006140171616080854,0.0006144056921895546,0.000612117368291365,0.0006117365131856023,0.0006194904444226045,0.000601604176953322,0.0006112319048649321,0.0006090020103489652,0.0006071307846771864,0.0006132611895390298,0.0006018156175430911,0.0006158118672569149,0.0006105101970024407,0.0006045568976193093,0.0006010519344792036,0.0006060171849094332,0.0006039955245796591,0.0006047999079797476,0.0006089086411520839,0.0006060957009228127,0.000612187724376175,0.0006049800609402797,0.0006005413278246358,0.0006168234317253034,0.000601497080284529,0.0006069636807436696,0.0006152728399284547,0.000608774510005282,0.0006148575703264214,0.0006216594269254097,0.0006118644325231963,0.0006118565685598247,0.0006080541861592792,0.0006406599007147763,0.0006120922712688434,0.000606186811637599,0.0006041003274731338,0.0006207264040743834,0.0006223048261170716,0.0006218596203585289,0.0006179258614378213,0.0006163392590678995,0.0006142296965820072,0.0006107961409725249,0.000614443524020978,0.0006045556734674252,0.0006203266675584018,0.0006270913872867823,0.0006171152570608015,0.0006139828474260867,0.0006103007973910406,0.0006211137568408793,0.0006132788257673383,0.0006164209691867713,0.0006014846585458145,0.0006034342610898117,0.0006134077058439809,0.0006088771058582804,0.0006094115132537598,0.0006163212664735813,0.0006088657030505278,0.0006145488161429832,0.0006188889189312855,0.000602382306371712,0.000615356519119814,0.000606607471127063,0.0006216663556794325,0.0006221108321499612,0.0006253055331611691,0.0005974891204719565,0.00061089969183799,0.0006245624244911596,0.0006095222838246459,0.0006102507992181927
50,0.0004000891838222742,0.0004125163541175425,0.0003771176173662146,0.0003729959770750541,0.00039215933692146425,0.0004009711514559707,0.0004116305222381808,0.0004016076226865775,0.0004004940042077693,0.0003984822724305559,0.0003827835625773411,0.0004071827416013622,0.0003911316717593846,0.000395034328297091,0.0003975995764930678,0.0004123904460963483,0.00039312392168323553,0.0003767046702383204,0.0004041055653942749,0.0003915745151850084,0.00038816204491572885,0.00039067366742528975,0.0003756483279479047,0.000389682980797564,0.0003941790995350669,0.000378952210303396,0.00037560833199325227,0.0003789882011915324,0.00038686094545375776,0.00038339951424859464,0.0003979120582031707,0.0003919917619966257,0.0003707531057163858,0.0004024391226532937,0.0004032680913547261,0.0003959049250365102,0.00040445773591177146,0.00037780278679830104,0.0003826166780143752,0.00038906360168766696,0.00040719140503954677,0.00039334813729820255,0.00034988904371857643,0.00039100913854781536,0.00040416829410548275,0.0004019552271960205,0.00039984013502752144,0.00039679355706954213,0.00040193564200308174,0.00038330056574115335,0.0003495172946713865,0.00039996500973674386,0.00037673116469075186,0.0003844684227563751,0.0003773956996155903,0.00039805359164328904,0.00037590308056678623,0.0003917761134979283,0.00039758332952095026,0.0003965890355175361,0.00040932469506828133,0.00037637764762621373,0.0003632928370886172,0.0004064754715987614,0.0003634795033980885,0.0003723629280172575,0.00038582041937236983,0.000388288836029949,0.00038997377527670725,0.0003945029021853262,0.00038103581755422056,0.00039687008150697994,0.0003791804483626038,0.00036338623613119125,0.0003784710549682911,0.0004053065525337618,0.00037661158837311504,0.0003889234719662777,0.00042559675785014406,0.0003827711197492831,0.000399832398397848
60,0.0007825861894525587,0.000717836597080653,0.000834325595254389,0.0008110745657736865,0.0008111874826393928,0.000817164229894323,0.0007383701355842452,0.000795964452615743,0.0008019147333217479,0.0008275023610622156,0.0008301702270537246,0.000794789983121184,0.0007684897105773967,0.0008058285818675138,0.0007945407099802705,0.0007634761398852182,0.0008023771934815505,0.0008065529076288207,0.0007662461367934677,0.0008172771520912648,0.0008085821853735699,0.0008076373103124622,0.0008351071559203168,0.0007861687452532351,0.0008302120693279283,0.0008580813184380532,0.0008089116210260638,0.0008163607781170867,0.0008305706015294966,0.0008491181013655037,0.0008046949072740972,0.0008316378359897778,0.0008334610387324714,0.0008031675068905759,0.0007740945050803324,0.0008331888654668416,0.0007659896540357486,0.0008071516322988001,0.0008169387808035925,0.0008067310373007786,0.000831854113909815,0.0008041298969282194,0.0008606568881077692,0.0008215543231926859,0.0007625907647276396,0.000772369654211951,0.000806093352314617,0.0007905255152492604,0.0007279001765709836,0.0008098272301140241,0.0008433206239715219,0.0008033225206996907,0.0008565893459420365,0.0008113414029746006,0.0008395949203986675,0.0007876595957394765,0.0008961419225670397,0.0008012253754964933,0.0008236497841690751,0.000840979497297667,0.0007774759639775561,0.0008051116310525686,0.0008341147331520915,0.000767332809378526,0.0008724950134314389,0.000824132846453442,0.0008239966041098039,0.0008539900544189638,0.0008202037128352526,0.0007824825567638014,0.0008033922058530152,0.0008632460279234996,0.0008733839301081995,0.0007595754965829352,0.0008115139956186925,0.0008303705896190428,0.0008513120826267238,0.0008166041516233236,0.0007402269911835901,0.0008415807639698678,0.0008031692181248218
70,0.00109863384704416,0.0010011220454341834,0.0012627266599641491,0.0011932238936424255,0.001139415102374233,0.001159724114196641,0.0010598965323409966,0.0011146908394661487,0.0011354443518433108,0.0011616330593824387,0.0011886635415807919,0.0011070288506298497,0.0010778120997587614,0.001145064261932434,0.0011220381964984186,0.0010841630307065013,0.001147629259364857,0.001133359546472519,0.0010691313114615955,0.0011462817216912906,0.0011253135341506165,0.0011574085874599405,0.001188327313090364,0.0011034359340555966,0.0012007759050613948,0.0013560867169871925,0.0011357882711660837,0.001155864484947718,0.0011778870467370486,0.0012252304295543581,0.0011347348871640862,0.0012080703253069748,0.0011964180985859667,0.001162121629643413,0.0011198906803555372,0.0011886116512219555,0.0010635295728111248,0.0011483183003623378,0.0011649129222180829,0.0011656039314402733,0.001183654589112848,0.0011456213789952405,0.001205829219543375,0.0011194379592780023,0.0011095909530443972,0.0010951768098350027,0.0011291938792315445,0.001144100280311122,0.0010231951437162934,0.0011505369826597322,0.0011726133176125585,0.0011187755576842887,0.0012300470826001123,0.0011481814823734264,0.001231390261091292,0.0010838473586327567,0.0013075642054900527,0.001169406758733736,0.0010998716567304325,0.0012183332291897386,0.0011295685469503364,0.0011345003877067938,0.001156552442504714,0.0011029101193084248,0.001275671532817392,0.0011628124298742758,0.0011253190149242678,0.0012345381302668924,0.0011707548762421572,0.0011117880721366754,0.0010839627292524609,0.0012112834762471418,0.0013183092620844643,0.0010157460152792435,0.001253802778332361,0.0011649359276143278,0.0011902771865217282,0.0011628598102458542,0.0010447763270349242,0.0011956723545826658,0.001097627985291183
80,0.001643964182585478,0.0015937889779538469,0.0016719373331094782,0.0016009030308431157,0.0016329130496759016,0.0017491825689960802,0.0016266770075045287,0.0016285657904135358,0.0016184048903988132,0.0016563839599257335,0.0016408115021746468,0.001615618526631472,0.0015910868497678275,0.0016500191942957992,0.001634746028439087,0.0016603310456654679,0.0016200068237681297,0.0016083001023559254,0.0015922974395964826,0.0016319184936583041,0.0016237308414509663,0.001646200880973733,0.0016254873387515545,0.001633710158057511,0.0016651885040725272,0.0017344288062304258,0.0015789680333147126,0.001572105276864022,0.0016081677722361157,0.0016505916512781574,0.0016401042323559523,0.0016074788828308766,0.001633037877931761,0.0016054299705457397,0.0016509618661883804,0.0016579962206638551,0.0016278102534430985,0.0015571165025572884,0.0016267867590558816,0.001561920544190798,0.0016294020959841354,0.0016741577828144455,0.0015796705411048606,0.0016005967743694782,0.0016596838403002995,0.0016100301774904916,0.0015854909417352507,0.0016736109800260972,0.0016242048332060222,0.0016243882057786886,0.0017037628218531608,0.0016234897246414964,0.0016555068360713239,0.0016888137227700402,0.001627945469226688,0.0016183819175146672,0.0017565728048793972,0.0016569417403561287,0.0016919789751144972,0.001610101287951693,0.0016408640671000687,0.0016112175071612,0.0015906071639619768,0.0016665864968672395,0.0017264214758243826,0.0016190443313322388,0.0016133436079447468,0.001662052255274067,0.0016123739403189608,0.0016384561638440097,0.0016162183730759555,0.0016700867175435026,0.0017541902295003335,0.0014625876016604404,0.001667323156393,0.0016443674987810966,0.001657473754936031,0.0016155741111780967,0.001544682148960419,0.0015884879976511002,0.0015681960037909448
90,0.001982201950935026,0.0019115648335880702,0.0020442791865207255,0.001975122303701937,0.0019731242961214877,0.002005418895610741,0.0018974439083268085,0.0019694456407849336,0.0019741602731232024,0.0020147420873399824,0.0020117126491472678,0.0019312332389039956,0.0019519828810271892,0.001989009649013028,0.0019636307719766216,0.001965996576473117,0.001967849355423823,0.0019626818343855537,0.0019110832779136086,0.0019909393601119517,0.0019735362792674166,0.002011023887981927,0.001995685730750362,0.0019905709312297406,0.0019586377071275835,0.0021640417631715535,0.001969806271635236,0.00195798355465134,0.0019932830678846907,0.0020083322437600263,0.0019799019644657773,0.0019542291052997685,0.0019960683443619367,0.0019666426034258087,0.0019878900364144808,0.001974660635044399,0.001920457552554772,0.0019520223352380774,0.0019836742627288564,0.0019243873757659458,0.002018151854697083,0.0020041256632774753,0.002007935239817016,0.0019207407487556339,0.001992689733589558,0.0019558634510950038,0.0019446237960697285,0.001966191370963331,0.0019436377042438835,0.0019597941848995357,0.002068581245839596,0.002013458965600214,0.001979060599114746,0.0020319282290680953,0.0019177039503119886,0.0019356250995770097,0.0021441165590658784,0.0019465736033202246,0.0019844984318214383,0.002060912433080375,0.001962722857452689,0.001952447579242289,0.001962489273864776,0.001959097754609372,0.0020246157105753403,0.0019933406747161195,0.0019494660043468078,0.001993643825933818,0.001977853193508323,0.001974131964432361,0.0019285186297363704,0.001945215102750808,0.002013387391343713,0.0019678951357491314,0.0019461456686258316,0.0019989296576225913,0.0020354336260684897,0.0019823990240242454,0.0019057522586081177,0.0019927371445918034,0.0019395216484554112
