Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,cross,cycle,dash,depart,descend,drift,flee,float,fly,glide,go,hasten,hike,hurry,journey,limp,march,meander,race,ride,row,run,rush,sail,scramble,swim,taxi,travel,tumble,walk,wander
0,2.503940373031042e-05,2.5105201968000512e-05,2.0611282858832663e-05,2.477627854554717e-05,2.63984344270238e-05,2.4351185467302067e-05,2.7254849042477753e-05,2.643153175977561e-05,2.4087809500007453e-05,2.2484328724203806e-05,2.564568091690523e-05,2.3397579047459473e-05,2.701499157741306e-05,2.5318040818753865e-05,2.5922585764954635e-05,2.4810474580287217e-05,2.4508257822509178e-05,2.4001390752518886e-05,2.526989322047614e-05,2.7934054960496722e-05,2.382908987783594e-05,2.351796612336849e-05,2.514783272393591e-05,2.7640759950979068e-05,2.5292127911742438e-05,2.1061807638034223e-05,2.4092142387915727e-05,2.4620230647087737e-05,2.560859800937846e-05,2.575230189083208e-05,2.5977296487932715e-05,2.856727769540157e-05,2.473122521433442e-05,2.3580959287057848e-05,2.6685184416742737e-05,2.3870469005617322e-05,2.475541899864191e-05,2.2726521737323228e-05,2.4520338064828236e-05,2.272963706673181e-05,2.6837792439495232e-05,2.2952893687033793e-05,2.9491391978808677e-05,3.0303201798999095e-05,2.5870447385195325e-05,2.4607601803186948e-05,2.415731993702745e-05,2.8710897396422297e-05,2.3994532268951497e-05,2.5844093959842045e-05,2.49655326255239e-05,2.286907791434108e-05,2.2459331557911354e-05,2.3743112882473317e-05,2.4783389531437243e-05,2.6521095109770116e-05,2.4752903114584957e-05,2.5768590717234474e-05,2.1154501609998988e-05,2.5826169369863166e-05,2.153522709704703e-05,2.404391331657935e-05,2.5277652563697e-05,2.468839317713843e-05,2.6236334532667468e-05,2.6030675321458324e-05,2.2103679969274837e-05,2.4361478762652803e-05,2.4527213895453315e-05,2.4820087498230977e-05,2.8264671709621324e-05
10,2.503981061857524e-05,2.510507706406147e-05,2.061173411978719e-05,2.477678882804377e-05,2.6399236877652953e-05,2.4348000416856458e-05,2.725380274216971e-05,2.6430962844089807e-05,2.408725212941895e-05,2.2484673650069453e-05,2.564434980965337e-05,2.3395074020634046e-05,2.7015206355964906e-05,2.5317392665976623e-05,2.5922033284373088e-05,2.4808647784387478e-05,2.4507919089869357e-05,2.400050156602792e-05,2.5272434803420246e-05,2.7932880317772894e-05,2.3830379821167577e-05,2.3517490343952625e-05,2.5148812019324394e-05,2.7638787681401785e-05,2.5292023983927228e-05,2.1061857114546e-05,2.4092332310946432e-05,2.462013515014405e-05,2.5610070909298134e-05,2.575057869175761e-05,2.5975157962723947e-05,2.8567413245092703e-05,2.47311868581444e-05,2.3580719349664895e-05,2.6685769070253526e-05,2.3870955455354954e-05,2.4754413408644676e-05,2.2726517933981746e-05,2.4520059890942705e-05,2.272939559588849e-05,2.683733050326601e-05,2.295349963787885e-05,2.9489081316569355e-05,3.0302976196444913e-05,2.5868184045401376e-05,2.4606955983992002e-05,2.415709093583517e-05,2.870971857760196e-05,2.3994223440616945e-05,2.5839657444686797e-05,2.4964582728269027e-05,2.287246691897356e-05,2.246305321023101e-05,2.374280408118039e-05,2.4784380033891247e-05,2.6523825826271523e-05,2.4752239476838048e-05,2.5767199986148626e-05,2.1155166728527143e-05,2.582588935743283e-05,2.153752090331788e-05,2.4043079740236393e-05,2.5277245741664148e-05,2.4687589290339463e-05,2.623107441953228e-05,2.603005948724065e-05,2.2105556516700225e-05,2.4361137826828427e-05,2.4530666905775433e-05,2.4820024162242797e-05,2.8261264560569543e-05
20,2.6780811379934233e-05,2.698087586462929e-05,2.6764037405276515e-05,2.6840512733682633e-05,2.6720825120765433e-05,2.651807699294295e-05,2.674711909240878e-05,2.689974494655069e-05,2.667752313398155e-05,2.6779385848385573e-05,2.6863062503477444e-05,2.6678430523523794e-05,2.6864358115937758e-05,2.671511419700409e-05,2.6806613994481536e-05,2.678219880181132e-05,2.686361044436039e-05,2.6700040426833226e-05,2.6778392696412213e-05,2.6844254583314373e-05,2.6767513022955077e-05,2.6648100466835395e-05,2.6680080942848387e-05,2.6896192745577235e-05,2.6692581481516493e-05,2.6663182870834136e-05,2.6693977845077883e-05,2.6740890727220783e-05,2.6712382511023487e-05,2.683430897553579e-05,2.6771423290483653e-05,2.6731707363908823e-05,2.6707278336219202e-05,2.6811093977262636e-05,2.671031446273749e-05,2.6903612739001153e-05,2.6777171282638417e-05,2.6752465022251602e-05,2.6799377787006873e-05,2.685133290469821e-05,2.677964528900586e-05,2.6515113859204575e-05,2.674359711818397e-05,2.6939503234308704e-05,2.680684835803205e-05,2.6649414290399623e-05,2.682070076014242e-05,2.6826451005490526e-05,2.6742907956414174e-05,2.684103211239827e-05,2.6832126786757725e-05,2.671496167749865e-05,2.6861483638640495e-05,2.6758841214563736e-05,2.685224353626836e-05,2.6707422875915654e-05,2.679776754189578e-05,2.6910890028375434e-05,2.6699198770074872e-05,2.680101094413728e-05,2.657434100304575e-05,2.679414061393829e-05,2.6825580789591186e-05,2.6783473626605597e-05,2.6972334025130193e-05,2.6892836198290846e-05,2.66859300869068e-05,2.680163911903829e-05,2.6637123028194765e-05,2.675812018943751e-05,2.703189675230533e-05
30,8.098650898712033e-05,8.124976496522625e-05,8.109295170773596e-05,8.099268978604904e-05,8.094322365189938e-05,8.066632498022435e-05,8.09395097612944e-05,8.107694128400409e-05,8.096042254208763e-05,8.09186021797359e-05,8.109649440293764e-05,8.0682870507839e-05,8.113323719678165e-05,8.097889870193534e-05,8.094875100890503e-05,8.107816878085335e-05,8.098288197375258e-05,8.112913624993584e-05,8.091756977332157e-05,8.094286546111107e-05,8.105076189027527e-05,8.098228421918716e-05,8.098879198466117e-05,8.102879437501542e-05,8.086858332038872e-05,8.091352647170425e-05,8.103661891636289e-05,8.085262152235373e-05,8.096057486802559e-05,8.116970228354236e-05,8.08133171328033e-05,8.088902457250067e-05,8.082506092950307e-05,8.098489562926685e-05,8.079676788636587e-05,8.110478406056895e-05,8.096398845449777e-05,8.09944242725826e-05,8.10333015151737e-05,8.103246773316641e-05,8.099414241014722e-05,8.07327942311531e-05,8.089360635494813e-05,8.100280415658887e-05,8.093506231058487e-05,8.079834879026748e-05,8.093605867000868e-05,8.08707400210551e-05,8.095653111954091e-05,8.109503621447153e-05,8.09727195771232e-05,8.074012293945998e-05,8.088298054644837e-05,8.080414676330794e-05,8.098433744603896e-05,8.090246212139556e-05,8.087276004790579e-05,8.116419758152915e-05,8.081276610027999e-05,8.098451552751402e-05,8.088642158933604e-05,8.10156723732249e-05,8.099912068886354e-05,8.092589013284778e-05,8.127641275576834e-05,8.111420590596805e-05,8.102433951405277e-05,8.104311106557537e-05,8.084361252258532e-05,8.107527965501718e-05,8.102889332803898e-05
40,0.0001197267515267044,0.00012051009872704055,0.000120634758786764,0.0001206035881365936,0.00012027329869886648,0.00012006820699233296,0.00011994593273078451,0.00012012203589227854,0.00011963088128382717,0.00012051101339238812,0.00012033627403362505,0.00011974902528371396,0.00012074376850664108,0.00011995266807692435,0.00011966267758158639,0.00011938729070000893,0.00012036691199076206,0.00012041029724428029,0.00012000872344028071,0.0001198894939928626,0.00011989984721787131,0.00011994177605499447,0.0001208583579864353,0.00011992179230825665,0.0001202420009778709,0.00011891356407431886,0.00012028827768517658,0.0001202191851916723,0.00011995007705135162,0.00012020568347877762,0.00011973043273125465,0.00011992486487053192,0.00012001480004423334,0.00012029990331177752,0.00011952200697527992,0.00012078328927600523,0.000120448030429543,0.00011996628613401712,0.00012034513008940674,0.00012108105920560774,0.0001199971841142929,0.00011922874818992568,0.00012055167608195915,0.0001204783444623708,0.00012013220885388652,0.00012040741068111466,0.000120316818905402,0.00012046149481648172,0.00012019769370642186,0.00012041292079216377,0.00012055644961387421,0.00012021483113737001,0.0001207161731144879,0.00011980438611484418,0.00012061078525911053,0.00011936966554706238,0.00012057169712328863,0.00012073728794348426,0.00012071271056710329,0.00012031008193914134,0.00012010099599137902,0.00012042371181255426,0.00012065590110271134,0.00012026305056359568,0.00012035184206777356,0.00012020507030636557,0.00012033303002161639,0.00012028071673299681,0.00012087308004993247,0.00012035319726413288,0.00012051552475895732
50,0.0001582809294435523,0.00015836876183230843,0.00015906461461175544,0.0001577416515479294,0.0001575477891734247,0.0001643759127806074,0.00016209863209834082,0.00016146015881460306,0.00016038666723909069,0.0001616604322407511,0.0001585077390902572,0.0001612457224614538,0.00015786978386159083,0.00016083548909977475,0.00015914193337427122,0.00016215690387374101,0.0001603368097372974,0.00015671215207268825,0.00015743917486231242,0.00016017888517429432,0.0001581236836500466,0.00015834084037383685,0.0001579611998749897,0.00016027011539942275,0.00015790928995961117,0.0001574299909407273,0.00015898451895355397,0.00016027673852174,0.00015632239742177154,0.00015572546779425936,0.0001612457021838054,0.0001568561000077842,0.00015559213156498468,0.00015991079204087687,0.00015986066945414577,0.00015626275515907246,0.00016210239482461475,0.00015362378193954513,0.00015812179498677422,0.00015781693764438387,0.00015992314644229717,0.0001476041943533346,0.00016149350703926758,0.00016491647846506616,0.00016115059245892457,0.00015820698151531231,0.00016160500506470142,0.00016256310573226074,0.00015709070844579777,0.00016046847370241514,0.00015299899247251094,0.0001576431022840552,0.000155621359590441,0.00015750708063228094,0.00015832206228314418,0.0001605394751426171,0.0001623667681136579,0.00015411281492561102,0.00015457205315922492,0.00015727158427650395,0.0001570455050872018,0.00015390039866311996,0.00015436740741952908,0.00016000099440298236,0.00016174717327683337,0.00015845917680832957,0.0001610125442052127,0.0001544414520932121,0.0001650224185141269,0.0001554150486383548,0.00015749989252071827
60,0.0002435158965306835,0.00024284482168257927,0.00024305747259253016,0.0002390668722980011,0.00023624175055029131,0.0002640375127417168,0.0002521314165806548,0.0002443205280453149,0.0002429090172075961,0.0002445495783831575,0.00024150840325114307,0.0002489289288451819,0.00023987535281445491,0.00024688480907846525,0.00024941715785055694,0.0002500219634384848,0.00024342920040085336,0.00023694575047326758,0.00024301466484238126,0.0002459198849586149,0.00024076325599498187,0.0002383649009841195,0.0002364676137221977,0.00024615810301232465,0.00024472154507834817,0.0002455783251207322,0.00024122783619414775,0.00024403148199780844,0.00023749582178425043,0.00023584219419600202,0.00024825380397184443,0.00024261610759332633,0.0002433424849116888,0.0002441931966703039,0.0002569018777446925,0.00024287902098356945,0.0002505253004002091,0.00023313959272028032,0.00023616329733147678,0.0002368407704125275,0.00024612915009864547,0.00022185476700542495,0.0002455956986523233,0.00024928399331034407,0.00024728824179251924,0.00023606840695720167,0.00025104787678094256,0.00024771764992692624,0.0002400450175628066,0.00024351862190418285,0.00023532261044378034,0.0002464254915442628,0.0002487932055373676,0.00024276954087438252,0.00024136071994595616,0.0002480499851199883,0.0002461325794067835,0.00024523660977138206,0.00023251377206179313,0.00023756050751007235,0.0002399054045478503,0.00023390896623373352,0.00023834088440505892,0.00024787841736011813,0.00024566582093636197,0.00024332913328960006,0.0002415288909105584,0.00023200819886105525,0.0002506621694919886,0.00023471447345683305,0.00024556718271924184
70,0.0003275311484341384,0.00032684329306465333,0.0003264626332869132,0.0003224835113192407,0.0003249624366813068,0.0003377582844612854,0.00033697782454246113,0.0003267880808790306,0.000325070671247955,0.0003228581863368163,0.0003232933263967021,0.0003263632551890475,0.0003269938143520531,0.00032807677317495376,0.0003298239193528014,0.00033277952995073673,0.0003245068337058737,0.0003260640936603039,0.000330904993461445,0.0003286861259645472,0.0003256875735062819,0.00032256011971704926,0.0003226457741887619,0.00032694771556028476,0.00032558365233449475,0.00032430774881504477,0.00032712810301041654,0.00032613571905433975,0.0003228371651322745,0.0003197144744204237,0.00032663462256702285,0.00032340321586861345,0.00032718995050974906,0.0003307850897409628,0.0003301265161199909,0.00032500980575735284,0.0003317111167186675,0.00032018623791042376,0.0003189731347907604,0.00032022587038227357,0.00033147343492601067,0.00030964132747612894,0.0003282879129983485,0.00033140239324175606,0.00033063609490024026,0.0003248571472275736,0.00033139423753151246,0.00032699885832698783,0.00032519665973236914,0.00032678287772631103,0.00031816054162426064,0.00032990229859327275,0.0003275937400758266,0.000329894822670565,0.00032955973011698444,0.00032872385980392045,0.0003277778964094137,0.0003270886045356747,0.00031675949463129253,0.0003235059436589766,0.0003216706255140404,0.0003200024729394304,0.0003258931074351831,0.0003260487776044085,0.00032767753711798124,0.00032782008532773364,0.00032385193584819457,0.00032066457319043334,0.0003237425407860428,0.0003213941595544491,0.00032800807093735784
80,0.0005821770661183306,0.0005962932158985899,0.0005882183031644672,0.000579956176583297,0.0005877829463327232,0.0005905917330112841,0.0006006660255333108,0.0005902669645900674,0.0005838416702455923,0.0005783760279882699,0.0005829393968595491,0.0005870907869170971,0.0005985468989379252,0.0005885713335098417,0.0005896774949232007,0.0006074975365966869,0.0005839579375571615,0.0005878135392477712,0.0006041250432774957,0.0005915682211828729,0.0005875340376335841,0.0005794269849762454,0.0005845278757624328,0.0005892438134954621,0.0005817203468362254,0.0005794020602479577,0.0005898178787901998,0.0005803693408476344,0.0005828878089018605,0.0005784548636931445,0.0005816574992301563,0.000575517715053418,0.0005886356319444111,0.0006015686789354266,0.000584931462071836,0.0005862279680773749,0.0005973727368798695,0.0005914253838868303,0.000582294306137139,0.0005855820600118022,0.0005944145309610015,0.0005705358562408946,0.0005752829427365213,0.0005922678024753144,0.0005972177084339293,0.0005895457197246807,0.0005898425935587863,0.0005899843508814229,0.0005828853523968879,0.0005835892833684655,0.0005708951420204427,0.0005882241918394963,0.0005901259835809469,0.000594262123982213,0.0005901162492528815,0.0005849682493135333,0.0005901151540769284,0.0005738672552979551,0.0005811038669586802,0.0005861267859402757,0.0005898987020676335,0.0005793068445317688,0.0005933881275942204,0.0005806463913203359,0.0005943692522123456,0.0005924160283832968,0.0005828194885647722,0.0005804876852761804,0.0005798410056740977,0.0005797724608339745,0.0006010068056639284
90,0.00045303087618604705,0.0004664368677401432,0.0004577440073868881,0.00045395412598736584,0.00046374379580581114,0.00046358131138341766,0.00047428785605476266,0.000467775300528635,0.00045961689106719213,0.0004558176406135317,0.0004623338323586655,0.00046064901790505617,0.0004681211324747313,0.0004618911749055383,0.0004645639592233826,0.000472528956985722,0.00046229141194739247,0.0004661658961514506,0.00046606136103426773,0.0004626561177428812,0.0004677586185817535,0.00045609870409992127,0.0004629217095983525,0.0004647807033810144,0.00046133035599874955,0.00045761823421344163,0.0004635368583671328,0.00045167151802161243,0.00046395735185155096,0.0004539840494192416,0.00045779076560089986,0.0004612109791756106,0.0004678066845651931,0.00047217319289027433,0.00045995493322455633,0.0004550624092059609,0.0004706482164022562,0.0004716812400147319,0.0004587615377280906,0.0004723056645161705,0.00046860535648909023,0.00045250827679410577,0.0004530373844318092,0.00046788850848219896,0.00046868025613213446,0.00045625505320328686,0.0004626923322926782,0.00046144362295308383,0.0004577120123250442,0.0004543296183163131,0.0004525941527950076,0.0004664143270929344,0.00045549134665634483,0.0004566626038820464,0.00046858659359337443,0.00046003806214271623,0.00046542078076351073,0.00046094084609649144,0.00045261499973195087,0.0004600373772868457,0.0004602349130436778,0.0004530060033048553,0.00046193641389470066,0.0004547028013123283,0.00046813837899309065,0.0004652248515578156,0.00045744673116132617,0.00045534937512016883,0.00045874336137785576,0.00045765691217692457,0.00046967920497991144
