Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,3.667544893687591e-05,3.9482244271008916e-05,3.995991376844662e-05,3.570201174275448e-05,3.8451474913155746e-05,3.7694173443014733e-05,3.602453096156692e-05,3.9795031003258806e-05,3.9277371567400624e-05,4.4116105300417985e-05,4.201874320710043e-05,4.2368750544074846e-05,4.327612860475766e-05,3.983545625349948e-05,3.934341655301122e-05,4.158697811362799e-05,3.5152521052493413e-05,3.829935840143132e-05,4.144257003905035e-05,4.16159283243663e-05,3.7999274018847455e-05,3.932935263557218e-05,4.0291008093239116e-05,3.833390637737466e-05,4.000490422647942e-05,3.507437504595146e-05,4.017159341357558e-05,3.4340537695243256e-05,3.892250341082485e-05,3.853326958755309e-05,3.823889400033901e-05,3.684210605570115e-05,3.8517480683927155e-05,3.7697975862900465e-05,3.816929650686992e-05,3.413643290579265e-05,3.969957556125193e-05,3.717757962559435e-05,3.4813564207618045e-05,3.4891659311142575e-05,3.216359358962758e-05,3.865193321929682e-05,3.688920128297468e-05,4.0208205064118374e-05,4.3101172578692635e-05,3.573018913907857e-05,3.500729115850325e-05,3.4761287045177214e-05,4.0711234873924695e-05,3.580017899147261e-05,3.689270160975866e-05,3.389767070158004e-05,3.453197567488622e-05,2.9121630480707e-05,4.203797834634315e-05,3.150437982074028e-05,4.005912251159316e-05,3.555873307301101e-05,4.047585935040843e-05,3.7393100228655385e-05,3.817569434245978e-05,4.4466471763371374e-05,3.6460311700163096e-05,3.791393776607167e-05,3.300859945435756e-05,3.610576085730617e-05,3.3944669363942616e-05,3.36996470318271e-05,3.0943141491998516e-05,3.502844896223627e-05,4.342574094254006e-05,3.3418356603457745e-05,3.4878080138393365e-05,2.7998527608967077e-05,3.143244859009948e-05,3.6048922001183115e-05,3.902739133211851e-05,3.3501445966154986e-05,2.5173890094265516e-05,3.4394872563396106e-05,4.555815958156018e-05
10,3.667825124769782e-05,3.9482577550289636e-05,3.995867579457505e-05,3.570538547837014e-05,3.8454362017742086e-05,3.7700661518361554e-05,3.602747643350496e-05,3.979713332419602e-05,3.928137023568881e-05,4.411935583448212e-05,4.2021722397350214e-05,4.237511336900845e-05,4.327833338527743e-05,3.98394818424122e-05,3.934613833895556e-05,4.1590157024984364e-05,3.515421383867977e-05,3.830048965166405e-05,4.1447850955072294e-05,4.1619205827979995e-05,3.80027811423553e-05,3.933039774243038e-05,4.029444751116292e-05,3.83391413076121e-05,4.000552250963953e-05,3.5079295048490164e-05,4.018139442186728e-05,3.433996353881715e-05,3.892370933659977e-05,3.853864704832367e-05,3.824315531043491e-05,3.6843247331629616e-05,3.852192947726088e-05,3.7698811511069013e-05,3.8172676391291636e-05,3.414031929034016e-05,3.9702255530995134e-05,3.718162191613704e-05,3.481686581583646e-05,3.489350876861863e-05,3.216819043570597e-05,3.865449519814339e-05,3.689641653181752e-05,4.0214124965132214e-05,4.310396348285538e-05,3.573333349202968e-05,3.5011263818367814e-05,3.476434908646441e-05,4.0713632472488825e-05,3.580146695357739e-05,3.6898705366184005e-05,3.3898728526599534e-05,3.453582734297155e-05,2.913112105792e-05,4.203993557894137e-05,3.150449840771272e-05,4.0064147469820455e-05,3.556454769217265e-05,4.048032844201027e-05,3.7399861412268365e-05,3.817948722875156e-05,4.447287278708245e-05,3.64624684152659e-05,3.7915861997004997e-05,3.301088915779676e-05,3.610866215939705e-05,3.3947380507015625e-05,3.3701461987181564e-05,3.094685208722054e-05,3.503284368160347e-05,4.342376976435642e-05,3.342000096987855e-05,3.488133218828201e-05,2.799881713144714e-05,3.14390170907635e-05,3.60519050020655e-05,3.902998884898677e-05,3.350660178893445e-05,2.518187864097854e-05,3.4396658054351936e-05,4.5565476102638056e-05
20,2.1473282783214623e-05,2.1597888715203022e-05,2.1650866377361428e-05,2.1537676170387735e-05,2.155961625202842e-05,2.1530394276071873e-05,2.161874650600141e-05,2.1625080774499923e-05,2.1569145730286955e-05,2.1613331000480684e-05,2.1565912857674706e-05,2.1702229898845854e-05,2.161013181841664e-05,2.1545541985136822e-05,2.1556430532227214e-05,2.1469035497527027e-05,2.1599955029419755e-05,2.162158113916823e-05,2.157685061579936e-05,2.1659907652065158e-05,2.158964374617566e-05,2.1527652539329472e-05,2.1664851592504418e-05,2.1520545305975248e-05,2.158535804367617e-05,2.129513486579526e-05,2.1520274135729132e-05,2.1548353174694057e-05,2.162238580400727e-05,2.1555591722003996e-05,2.1646033516541744e-05,2.1528067288902374e-05,2.1665175049397825e-05,2.157632823626755e-05,2.1567577480002204e-05,2.15319677993518e-05,2.1651023536450292e-05,2.1463827579282224e-05,2.1494330431745633e-05,2.1428661852951336e-05,2.158101493218315e-05,2.1524113319483536e-05,2.149842612197972e-05,2.162927012250293e-05,2.154361333707225e-05,2.148734196165797e-05,2.1566007645950387e-05,2.149827224983662e-05,2.1609422844903747e-05,2.156606707762092e-05,2.1611060947179795e-05,2.1409499492041174e-05,2.1539526474393474e-05,2.134223056297439e-05,2.1777867186756338e-05,2.1443822705044353e-05,2.187063182645943e-05,2.1577286792433308e-05,2.1539992634312842e-05,2.18724367186951e-05,2.1557301024390606e-05,2.145670691788837e-05,2.159560790460091e-05,2.1561922039836645e-05,2.1486857046208268e-05,2.1523924666465833e-05,2.1548302296044616e-05,2.1519831798580144e-05,2.1565953459314727e-05,2.1516869162803994e-05,2.1395789695412128e-05,2.1538871502950013e-05,2.1692453325764898e-05,2.1234579738423538e-05,2.135481606403898e-05,2.152538281852567e-05,2.1598745661322027e-05,2.1508496340703138e-05,2.1367501403801725e-05,2.152803758422926e-05,2.1584523346973582e-05
30,7.6711940637324e-05,7.643221060452224e-05,7.713403526092104e-05,7.653467574318012e-05,7.68954473469536e-05,7.688719779253006e-05,7.681756664345401e-05,7.695355758953251e-05,7.671131422710781e-05,7.723899534539669e-05,7.673937961729359e-05,7.737054871466505e-05,7.649929444376153e-05,7.672983977527386e-05,7.667155458715141e-05,7.645606213676122e-05,7.715302265188213e-05,7.647942393190004e-05,7.664269365445111e-05,7.708738189345847e-05,7.654790634450574e-05,7.661096593177977e-05,7.65953919229408e-05,7.635701525335511e-05,7.670510586606161e-05,7.682483701501041e-05,7.622171289122273e-05,7.659435702104626e-05,7.662647429456496e-05,7.665443040276577e-05,7.700252191474041e-05,7.688801829667333e-05,7.66118926269253e-05,7.668915687401483e-05,7.687858912201288e-05,7.701879232107396e-05,7.701890679431687e-05,7.681542642372237e-05,7.671857239041724e-05,7.65623944971594e-05,7.732219715502911e-05,7.65619088463396e-05,7.655463105038507e-05,7.669082697248086e-05,7.687471990816688e-05,7.668982564753509e-05,7.692525770315634e-05,7.69257262219438e-05,7.67630726841162e-05,7.675764039771005e-05,7.67042045481503e-05,7.659778665666553e-05,7.670643395753219e-05,7.686296339670662e-05,7.775411650072784e-05,7.672007424324485e-05,7.729950448265299e-05,7.706608549001273e-05,7.667715544812381e-05,7.705823190917727e-05,7.671599928227063e-05,7.647516576980706e-05,7.679228171279344e-05,7.679939777257719e-05,7.65434112205791e-05,7.660851865344179e-05,7.658170361537486e-05,7.669652678555639e-05,7.677266370996626e-05,7.679905035262425e-05,7.603168018653782e-05,7.702657239860855e-05,7.61554886897405e-05,7.613853328318025e-05,7.674139799616699e-05,7.680949056521058e-05,7.652393313557175e-05,7.657732690389704e-05,7.632182678207755e-05,7.655542886066603e-05,7.68226593208965e-05
40,8.909267460694537e-05,8.916908457952862e-05,8.924021312850527e-05,8.90333227849064e-05,8.925345090447772e-05,8.910937737839828e-05,8.932964391856183e-05,8.939907619558079e-05,8.934973604620517e-05,8.94821791916911e-05,8.91245810500415e-05,8.937164031002405e-05,8.896878672671984e-05,8.932300801406558e-05,8.91888386617853e-05,8.935213281802135e-05,8.924816843535241e-05,8.913823086591555e-05,8.88914821968813e-05,8.937031544822579e-05,8.932327394946836e-05,8.927817452786257e-05,8.90575239706474e-05,8.89478156750556e-05,8.942855700817225e-05,8.871618629200385e-05,8.884252747520804e-05,8.904970021224774e-05,8.927703867597943e-05,8.933196729612387e-05,8.917254240562518e-05,8.915848397569229e-05,8.906426578155682e-05,8.93458694385694e-05,8.951951895141974e-05,8.895077605432431e-05,8.926741630650787e-05,8.899292747214945e-05,8.889591231583113e-05,8.88434296939522e-05,8.879650392503078e-05,8.903980987986173e-05,8.909693951864028e-05,8.928150418796577e-05,8.936571861053572e-05,8.876828475254832e-05,8.890847592348498e-05,8.885100077461909e-05,8.903112848202e-05,8.89901485011094e-05,8.857532957335934e-05,8.904115185776556e-05,8.910536220915114e-05,8.859343385362688e-05,8.870419333106838e-05,8.891162650222529e-05,8.868129953043535e-05,8.896332242172854e-05,8.914349018596113e-05,8.947261812863871e-05,8.896495422451026e-05,8.914518912206404e-05,8.867432916304097e-05,8.927924188485901e-05,8.845940606584513e-05,8.885557035682723e-05,8.885049901437014e-05,8.886641765173565e-05,8.874920388700923e-05,8.87979725260405e-05,8.89193704804509e-05,8.91539881801388e-05,8.882722856166463e-05,8.797573051803435e-05,8.889009248897699e-05,8.906215565753858e-05,8.918053416501997e-05,8.881656920552374e-05,8.880666246113833e-05,8.908037308793311e-05,8.930991098168306e-05
50,5.2834480399421106e-05,5.292580074941119e-05,5.299906600460721e-05,5.328610103998262e-05,5.309996929180313e-05,5.2776940200211743e-05,5.278998170040488e-05,5.310298734241913e-05,5.3104717406750764e-05,5.316729152582411e-05,5.336596568892595e-05,5.302049449172194e-05,5.25948694716631e-05,5.3206845085228316e-05,5.2833606434219024e-05,5.284044421690245e-05,5.2945873860499846e-05,5.348075680984361e-05,5.2411558109659904e-05,5.3250026103341954e-05,5.334108377260586e-05,5.33202411523754e-05,5.319506099719244e-05,5.299949213319148e-05,5.321135852552418e-05,5.248377929092385e-05,5.323914669016601e-05,5.3048859930034574e-05,5.333744655431741e-05,5.3485838091751984e-05,5.270733022674297e-05,5.308029456220818e-05,5.326012538157206e-05,5.294926108390649e-05,5.2975528281725324e-05,5.253518539965236e-05,5.268095240975718e-05,5.285955888790671e-05,5.29114671275216e-05,5.283534642330778e-05,5.2558468658909465e-05,5.3065301549492124e-05,5.358445287129143e-05,5.315009730111342e-05,5.29246575943513e-05,5.250993371622539e-05,5.256657022982836e-05,5.2377557502742935e-05,5.2782961915909254e-05,5.29757703432175e-05,5.2729231538251045e-05,5.326212439368564e-05,5.3293914662880036e-05,5.243438044999493e-05,5.2218987184460276e-05,5.263445371160835e-05,5.4147702030604705e-05,5.253774913304871e-05,5.3409955646863885e-05,5.341051564755617e-05,5.255136154598296e-05,5.280346522340551e-05,5.29864943625095e-05,5.276199070587089e-05,5.275722833175678e-05,5.334427120172992e-05,5.322763827280142e-05,5.2841783271819574e-05,5.2744701086474515e-05,5.25707231366772e-05,5.308025396920534e-05,5.3353286299776905e-05,5.310503547661938e-05,5.18314470051943e-05,5.265257953267012e-05,5.2954631652713256e-05,5.334168417903129e-05,5.2678481992071255e-05,5.218835258347099e-05,5.325257083344344e-05,5.2986466835136524e-05
60,0.00012516449360797801,0.00012067950969880999,0.0001241896225110395,0.00012193967827792781,0.00012459566301291903,0.0001279366364802367,0.00012442123613342823,0.00012587431841606494,0.00012552904109161086,0.0001261062161574955,0.0001244214875408,0.00012490998719562302,0.00012495241433939418,0.00012572166407621944,0.00012520761485896348,0.00012560802315420005,0.00012374372584287942,0.0001242605505490534,0.000123087573228986,0.00012580639789424217,0.00012597114400705322,0.00012617221961720913,0.00012466189548528443,0.00012459148371514553,0.00012574195947280035,0.0001226548440172337,0.0001235768692323848,0.00012414495101135495,0.00012482804527013178,0.00012538464380345578,0.00012506709482598428,0.0001257953610127935,0.00012457916958597847,0.0001239966146474727,0.00012558114273512425,0.00012283772295112222,0.00012456278483640696,0.00012386756332654676,0.00012286470050037088,0.00012148520727350842,0.00012252223054279706,0.00012569006929047743,0.0001240808705915697,0.00012516550123109482,0.00012442552313012513,0.00012295554387444435,0.0001226253406327617,0.00012384493758170784,0.0001228692390213837,0.00012331837519766474,0.00012342161207925528,0.00012518936934859747,0.00012333573574254002,0.00012407849135342985,0.00012135646538808942,0.0001227874956236278,0.0001222145110659767,0.0001230462397055315,0.00012672816691602665,0.00012486542800616007,0.000123881697745478,0.00012301394781388808,0.00012175330994068645,0.00012538544043699012,0.00012250621107846705,0.00012331300005406285,0.000123357182504454,0.00012310427888634524,0.00012338713868639725,0.00012122871251179006,0.00012583422762367668,0.00012626613412673274,0.0001266578838112764,0.00011318160007552554,0.00012364154307371273,0.00012558883935962986,0.0001258020825584286,0.00012343907233556702,0.00012184718343632994,0.00012367362925193876,0.0001240974583197385
70,0.0003046123085853954,0.0003030683815099851,0.00029930686044584337,0.00030670520052528724,0.00030449526351316583,0.0003084268287888595,0.0003110755881812844,0.00030452111470941946,0.0003058294893855441,0.0003054402804991696,0.00029767392635098256,0.000301854053573987,0.0003051475567079968,0.0003037585808091204,0.0003036073682939305,0.0003087097223518261,0.0003023147700809031,0.00030126874250377514,0.0003016311290723804,0.0003021360949302713,0.00030602683859447445,0.0003039250072366225,0.00030082463519647717,0.000305720983305946,0.0003052743556927742,0.0003003389458172023,0.00029614749772947344,0.0002957175702249515,0.00030548422980834457,0.00030148060003768715,0.0003098011657129973,0.0002997643437433558,0.00030241561146864953,0.00030361254956493743,0.0003096119390748855,0.0002976305183567872,0.0003088201020115153,0.00030338876372711224,0.00029764747799722004,0.0002962032249342883,0.00030237550215263454,0.00030577298287213085,0.000287305152596673,0.00029907017305959017,0.00030569227773843234,0.00030167418391149686,0.00029664813773706556,0.00030457638326640194,0.00029995242948643863,0.00030478554078305523,0.00030373242916539314,0.00030418608962050217,0.0002980535057409165,0.0003109140961896628,0.0003038789989659563,0.0003025963087566197,0.0003058580186916515,0.0003023023229365333,0.00029850550080564887,0.0003040812589460984,0.0003034745858448948,0.00030334894836414605,0.00030557777790818363,0.0003096530604774931,0.0002950715800883093,0.00030006508907088296,0.0002957700130840143,0.00029580357518317477,0.0002991418985874151,0.0003046096197165851,0.000304787652567029,0.00030759409128222615,0.0003049614606425166,0.0002859548500661428,0.00030807972819145234,0.0003050877501002767,0.0003018120686257524,0.00029983230682949897,0.0003069690974371042,0.00029784982496708194,0.0002947364846477285
80,0.00048208513491166137,0.0005002439957698462,0.0004375921344035305,0.0004676109748498465,0.00048416767555253603,0.0004835389637654381,0.0005103654628093805,0.00047795505088288337,0.00047243031366622144,0.0004753266166517278,0.0004577728169452813,0.00048217199011040587,0.0004696178339972076,0.0004726651346903633,0.0004672535777311115,0.0004825488867936656,0.0004768744873304275,0.000466425345379482,0.0004716858612872394,0.000468329832656309,0.0004810952469527435,0.0004653062195367446,0.0004468991184451928,0.0004646610594742621,0.0004787287496525558,0.00043422559392638507,0.0004373317421977258,0.0004448955908931869,0.00046226556536138933,0.00046346258116705766,0.00047997274397251505,0.000468545256388517,0.0004746407861463152,0.00046230450935559576,0.0004756085497016708,0.00046714762616569975,0.0004981692101481665,0.0004574688500724733,0.00045455277003965015,0.0004633285298041301,0.00046717429566862326,0.00047225115803427043,0.00044081722808186896,0.0004760177893331274,0.00047228573576400156,0.0004881056350361752,0.00046438633248076905,0.00047907250649459137,0.00048692678501538467,0.000478066488947912,0.0004876634280662984,0.0004729955160821026,0.00047833752267671605,0.0004829888033176151,0.0004918526392430067,0.00048153386130567866,0.00046555217704735696,0.00047889410654596725,0.00047198934374715793,0.0004609991447068751,0.00046924092952081915,0.00046953559649409726,0.00046544296492356807,0.0004833842935373208,0.0004541413945844397,0.0004560363622239003,0.0004712833402057489,0.00046555742011806096,0.00048168212567732015,0.00048764585124051854,0.000462740074403377,0.00046978921454865485,0.0005038467352278531,0.000473385439060318,0.0004592397142135139,0.00048006586685123576,0.00046427425695583224,0.0004673265305633146,0.0005103974253870547,0.0004550374228949463,0.0004636223544366658
90,0.0007342646907394131,0.0007565438023044004,0.0007097034686012194,0.0007224503456829832,0.0007541868798847345,0.0007141973640370582,0.000734236677207293,0.0007396531237693699,0.0007348720365958406,0.0007321535958908498,0.0007278885258315706,0.0007368199638927318,0.0007235680999601203,0.0007259502176153051,0.0007141300949596746,0.0007253033060502881,0.0007347925046425578,0.000731408744136791,0.000737997582681211,0.0007329563113550345,0.0007535939848122115,0.0007235811530595779,0.0007224651938304305,0.0007150706447040041,0.0007333307090910181,0.0007038369309157133,0.0007124063155178221,0.0007108474189105133,0.0007431699017829755,0.0007311332869463631,0.0007283025646271805,0.0007256120420956555,0.0007189530375538967,0.0007187463059203654,0.0007337251445278525,0.0007152043669650863,0.0007353401528426298,0.0007430800945836712,0.0007225903198515704,0.0007106162593117915,0.000700350252113172,0.000726495288000343,0.0007333117900998332,0.0007160345499869436,0.0007294595492758641,0.0007378493435680866,0.0007304772867688111,0.0007087534907265779,0.0007288184388016816,0.0007195380021585152,0.0007347751525230706,0.0007299601936458864,0.0007308712448530759,0.0007085244142217562,0.0007189616269897669,0.0007283984795117713,0.0007365854107774794,0.000710000898207313,0.0007287953525188972,0.0007477081235265359,0.000720258027325154,0.0007274283489095978,0.0007341350913823893,0.0007385764453959252,0.0007028323096973407,0.0007119827491876025,0.0007329219874615471,0.0007232486518220075,0.000735358693486045,0.0007189208382597982,0.0007325805102785429,0.0007027183989218125,0.0007766066895176967,0.0007512005395255983,0.0006941433280839451,0.0007209921242100755,0.000712594503836174,0.0007267978944582865,0.0007793665718054399,0.0007350556684477928,0.000714799581328407
