Checkpoint,split_a_landlord,split_b_landlord
50,0.9758656873032528,0.9724310776942355
60,0.9989506820566632,0.9994987468671679
70,1.0,1.0
80,1.0,1.0
90,1.0,1.0
100,1.0,1.0
150,0.9994753410283316,0.9979949874686717
200,0.9905561385099685,0.9869674185463659
250,0.8955928646379853,0.9578947368421052
300,0.7355718782791185,0.9308270676691729
350,0.7193074501573977,0.9203007518796993
400,0.5125918153200419,0.8681704260651629
450,0.39087093389296956,0.7934837092731829
500,0.46747114375655824,0.8967418546365915
550,0.4286463798530955,0.9027568922305764
600,0.4632738719832109,0.9258145363408521
650,0.5876180482686254,0.9448621553884712
700,0.4832109129066107,0.9092731829573935
750,0.43441762854144805,0.8817042606516291
800,0.5996852046169989,0.9568922305764411
850,0.5409233997901364,0.9398496240601504
900,0.440713536201469,0.893734335839599
950,0.43126967471143757,0.9007518796992481
1000,0.4968520461699895,0.9428571428571428
1050,0.3578174186778594,0.8411027568922306
1100,0.36935991605456453,0.9042606516290727
1150,0.4422875131164743,0.9278195488721804
1200,0.4826862539349423,0.9162907268170426
1250,0.30325288562434416,0.8305764411027569
1300,0.36778593913955926,0.8676691729323308
1350,0.23399790136411333,0.72531328320802
1400,0.3777544596012592,0.8491228070175438
1450,0.32266526757607555,0.8215538847117795
1500,0.35047219307450156,0.8711779448621554
1550,0.38037775445960126,0.8411027568922306
1600,0.30692549842602307,0.8265664160401003
1650,0.3704092339979014,0.9032581453634085
1700,0.09601259181532004,0.4421052631578947
1750,0.3247639034627492,0.8100250626566416
1800,0.3782791185729276,0.8766917293233083
1850,0.2848898216159496,0.8395989974937343
1900,0.26862539349422876,0.812531328320802
1950,0.2901364113326338,0.8235588972431078
2000,0.3357817418677859,0.8631578947368421
2100,0.229800629590766,0.749874686716792
2200,0.263903462749213,0.8300751879699249
2300,0.363588667366212,0.8646616541353384
2400,0.35099685204617,0.8290726817042606
2500,0.23399790136411333,0.7213032581453634
2600,0.38405036726128017,0.869172932330827
2700,0.304302203567681,0.8365914786967419
2800,0.40713536201469047,0.869172932330827
2900,0.2990556138509968,0.775438596491228
3000,0.38562434417628544,0.8641604010025062
3100,0.3441762854144806,0.8616541353383459
3200,0.2759706190975866,0.8140350877192982
3300,0.2796432318992655,0.8536340852130326
3400,0.32214060860440713,0.8295739348370927
3500,0.3646379853095488,0.8416040100250627
3600,0.31951731374606507,0.7924812030075188
3700,0.34312696747114374,0.8265664160401003
3800,0.22560335781741866,0.6541353383458647
3900,0.3704092339979014,0.8270676691729323
4000,0.4155299055613851,0.8065162907268171
4100,0.28751311647429173,0.8075187969924812
4200,0.2953830010493179,0.7834586466165413
4300,0.27492130115424973,0.7413533834586467
4400,0.25970619097586567,0.7649122807017544
4500,0.3006295907660021,0.7759398496240602
4600,0.2733473242392445,0.7879699248120301
4700,0.20828961175236096,0.724812030075188
4800,0.2565582371458552,0.7197994987468672
4900,0.19045120671563484,0.6887218045112782
5000,0.3058761804826863,0.7794486215538847
5100,0.2465897166841553,0.7799498746867168
5200,0.2518363064008394,0.755889724310777
5300,0.3305351521511018,0.7949874686716792
5400,0.3641133263378804,0.8145363408521303
5500,0.2864637985309549,0.7674185463659148
5600,0.32633788037775446,0.724812030075188
5700,0.29800629590766003,0.7488721804511278
5800,0.2607555089192025,0.7769423558897243
5900,0.3179433368310598,0.8330827067669173
6000,0.28226652675760755,0.7283208020050125
6100,0.3646379853095488,0.7598997493734336
6200,0.28436516264428124,0.6656641604010025
6300,0.29590766002098634,0.7578947368421053
6400,1.0,1.0
6500,0.4994753410283316,0.8571428571428571
6600,0.3142707240293809,0.774937343358396
6700,0.2901364113326338,0.7889724310776942
6800,0.25603357817418676,0.7042606516290727
6900,0.2801678908709339,0.7614035087719299
7000,0.24816369359916055,0.6847117794486216
7100,0.22455403987408185,0.7468671679197995
7200,0.323189926547744,0.7824561403508772
7300,0.2707240293809024,0.8010025062656642
7400,0.23767051416579224,0.7213032581453634
7500,0.29485834207764955,0.8055137844611528
7600,0.3074501573976915,0.8205513784461153
7700,0.2712486883525708,0.7448621553884712
7800,0.22875131164742918,0.7704260651629072
7900,0.30272822665267574,0.7879699248120301
8000,0.2660020986358867,0.7388471177944862
8100,0.21773347324239245,0.7488721804511278
8200,0.21773347324239245,0.7308270676691729
8300,0.25603357817418676,0.775438596491228
8400,0.27859391395592864,0.780952380952381
8500,0.21825813221406087,0.7192982456140351
8600,0.2691500524658972,0.768922305764411
8700,0.15634837355718784,0.5739348370927319
8800,0.27911857292759706,0.8010025062656642
8900,0.23714585519412382,0.6736842105263158
9000,0.3058761804826863,0.7463659147869675
9100,0.24239244491080797,0.706766917293233
9200,0.2906610703043022,0.8340852130325814
9300,0.30325288562434416,0.8170426065162907
9400,0.2644281217208814,0.793984962406015
9500,0.21773347324239245,0.7127819548872181
9600,0.26652675760755506,0.681203007518797
9700,0.2061909758656873,0.6701754385964912
9800,0.27229800629590767,0.7869674185463659
9900,0.2696747114375656,0.7774436090225564
10000,0.2953830010493179,0.7934837092731829
10100,0.2696747114375656,0.7664160401002507
10200,0.2901364113326338,0.7453634085213032
10300,0.21091290661070305,0.7473684210526316
10400,0.24239244491080797,0.718796992481203
10500,0.26180482686253936,0.7528822055137845
10600,0.26180482686253936,0.7609022556390977
10700,0.2738719832109129,0.7929824561403509
10800,0.2675760755508919,0.800501253132832
10900,0.25813221406086045,0.7523809523809524
11000,0.22088142707240294,0.7654135338345864
11100,0.3037775445960126,0.7909774436090226
11200,0.2439664218258132,0.8055137844611528
11300,0.3551941238195173,0.8230576441102757
11400,0.2675760755508919,0.7914786967418547
11500,0.2366211962224554,0.6947368421052632
11600,0.2203567681007345,0.7243107769423559
11700,0.22875131164742918,0.7047619047619048
11800,0.3410283315844701,0.8335839598997494
11900,0.2497376705141658,0.7639097744360902
12000,0.2738719832109129,0.731328320802005
12100,0.20776495278069254,0.7634085213032581
12200,0.23871983210912906,0.6902255639097744
12300,0.31899265477439664,0.7974937343358396
12400,0.29853095487932846,0.7789473684210526
12500,0.24606505771248688,0.7784461152882205
12600,0.2518363064008394,0.7609022556390977
12700,0.2439664218258132,0.712280701754386
12800,0.25970619097586567,0.7213032581453634
12900,0.2061909758656873,0.7263157894736842
13000,0.229800629590766,0.7258145363408521
13100,0.25236096537250785,0.7744360902255639
13200,0.2728226652675761,0.7734335839598997
13300,0.21511017838405036,0.7473684210526316
