Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,2.0201461629767437e-05,1.8871498839332532e-05,2.2666066342935665e-05,1.889857146754646e-05,1.813899561506033e-05,2.0816299443790092e-05,1.772367638677092e-05,1.829000282333781e-05,1.9813528639663018e-05,1.862514426420603e-05,1.8470717726431982e-05,1.8993233852040935e-05,2.1371166247153077e-05,1.95574892159405e-05,1.799497352241066e-05,1.8356590620290564e-05,2.066116856743368e-05,1.9233397474233208e-05,2.0823986103226033e-05,1.995176129033401e-05,1.914112645653614e-05,2.0226432931329847e-05,1.9229673768374292e-05,1.7476924525302215e-05,1.7452677927813345e-05,1.873831861303188e-05,1.982197693817603e-05,1.98146611107101e-05,1.9100108275939847e-05,1.951440520814128e-05,1.8740690211416223e-05,1.9244774718502482e-05,1.8566653842264295e-05,2.1151162045276667e-05,2.1536909773405772e-05,2.015206239645652e-05,1.9965548098729125e-05,1.9263797350338958e-05,1.9331272169547884e-05,2.1454127818287816e-05,2.039055029204714e-05,1.7464765975053023e-05,1.7702992067825107e-05,2.121622492268216e-05,2.179000923780749e-05,2.1009795694369946e-05,1.9905981259528615e-05,1.9821463315326438e-05,1.8628331275749588e-05,2.092347940639417e-05,1.6919207882892807e-05,1.8294042423473332e-05,1.7912296523438552e-05,1.9783093345419427e-05,2.1737605948146665e-05,1.8501143706683307e-05,2.4036308786890004e-05,2.1665830774571956e-05,1.684885062951997e-05,2.012066011047864e-05,1.964705103502286e-05,2.084938864754804e-05,1.805581162746724e-05,1.9397671556881896e-05,1.9393470691082053e-05,2.009227262953153e-05,2.0565299928421153e-05,2.213276881472363e-05,1.9338912394501944e-05,1.8990224144782826e-05,2.08482102203157e-05,2.46455338128726e-05,2.296243959184115e-05,2.4578566202156555e-05,2.647178942944655e-05,1.9626606504002726e-05,1.9697211558065775e-05,2.065580813523998e-05,2.1074057826808712e-05,1.9767789909878537e-05,2.0140201104368317e-05
10,2.0199233816432146e-05,1.8870242759779405e-05,2.2663446012908633e-05,1.8896047493819004e-05,1.8136275005567364e-05,2.0812974201232593e-05,1.772235488363461e-05,1.8288513801005473e-05,1.9810428667266094e-05,1.862122820739387e-05,1.846847912312103e-05,1.899212428706589e-05,2.1369090394397393e-05,1.9555021109144118e-05,1.7992753611692666e-05,1.83542161191023e-05,2.0658954510855393e-05,1.9230666491895606e-05,2.0819039004241597e-05,1.9949964250069268e-05,1.9139479305662323e-05,2.0224012798410384e-05,1.9226340918976347e-05,1.747479351858298e-05,1.7451252865107057e-05,1.8737598475127014e-05,1.9820088900521496e-05,1.9811787391669593e-05,1.909860060122275e-05,1.951066604071398e-05,1.8738462446587316e-05,1.924356551031591e-05,1.856506742115016e-05,2.114902972385696e-05,2.1534270470308708e-05,2.014981467774695e-05,1.9962418335987758e-05,1.9261278794147074e-05,1.932802124100412e-05,2.1452254145515326e-05,2.0386571902365957e-05,1.7462446628106843e-05,1.7699496765999356e-05,2.1213282707321923e-05,2.1785668411068497e-05,2.1007557695970477e-05,1.9902800938455455e-05,1.9819865301223328e-05,1.8625663869897835e-05,2.0921389211158886e-05,1.691606576059712e-05,1.8292083619929723e-05,1.7909443060768982e-05,1.9778098627890966e-05,2.1733933317591435e-05,1.849818328286792e-05,2.4028568986977916e-05,2.1662821977927174e-05,1.684737501570701e-05,2.0114227481826674e-05,1.9645225894305685e-05,2.084488880882418e-05,1.8052303554820053e-05,1.939651299055965e-05,1.939087858065452e-05,2.0089127932666228e-05,2.056130275983984e-05,2.2130483088286354e-05,1.9335746569763784e-05,1.8986697378332373e-05,2.0849576584522663e-05,2.4643509883996256e-05,2.2960308039425097e-05,2.4576397057292827e-05,2.646817042010038e-05,1.9622615369584095e-05,1.9697246313756166e-05,2.0652603750697323e-05,2.106698082116054e-05,1.976564031532949e-05,2.0134197711740853e-05
20,2.6857109769480303e-05,2.6761955976124024e-05,2.7096155463368632e-05,2.687889732792078e-05,2.6854500833042614e-05,2.666660657268949e-05,2.6732387772015853e-05,2.6875055554180443e-05,2.68461461226114e-05,2.6818033916242712e-05,2.6829609222333578e-05,2.673893475136482e-05,2.6878805466835868e-05,2.6806522713961772e-05,2.6855834563748966e-05,2.6795870932498172e-05,2.686504408952065e-05,2.6915579711166622e-05,2.6945928376725143e-05,2.6781521543549995e-05,2.6788461260506524e-05,2.684078630669059e-05,2.6834499246130386e-05,2.6758178076609814e-05,2.6752797306731475e-05,2.6803800574271007e-05,2.7023379486983628e-05,2.6824680882479395e-05,2.687885821882553e-05,2.687688914105116e-05,2.6834564293191456e-05,2.670375145568799e-05,2.684684351641828e-05,2.683359024359095e-05,2.693918779388898e-05,2.702660296043697e-05,2.685070378567233e-05,2.6753701108232647e-05,2.6888218084181916e-05,2.6812312512447534e-05,2.7020201222122913e-05,2.678886019256947e-05,2.705186511775537e-05,2.6808179245563225e-05,2.678926026228031e-05,2.6834270082824667e-05,2.689733955776319e-05,2.691502906696099e-05,2.6868907184507407e-05,2.6858283035835484e-05,2.6636946859071032e-05,2.6934382813950915e-05,2.6805917584099985e-05,2.6944512986422826e-05,2.7065025642514227e-05,2.6807586306988795e-05,2.698607204365544e-05,2.6619249685358354e-05,2.6626482808338054e-05,2.7082266115030507e-05,2.6811022126498904e-05,2.703801283132634e-05,2.6951235668093432e-05,2.659626001591927e-05,2.7039658157769332e-05,2.6932080464365963e-05,2.6809215584459403e-05,2.6990406343341625e-05,2.6946489217354814e-05,2.6839379200749602e-05,2.6927351427730173e-05,2.7034495057402335e-05,2.7124443780242775e-05,2.7176700920487445e-05,2.6806690584635362e-05,2.692463636162461e-05,2.6847667998351555e-05,2.6980538516527892e-05,2.7089263994639623e-05,2.6863500115265014e-05,2.6803403670783155e-05
30,7.458024386626978e-05,7.519859920850852e-05,7.47245042778862e-05,7.505335715205338e-05,7.470270406596268e-05,7.405341187092875e-05,7.46042605896946e-05,7.480025612350896e-05,7.507942506050267e-05,7.352561124207568e-05,7.476684873432128e-05,7.392234470082295e-05,7.51993425320975e-05,7.484152350419511e-05,7.48937067007372e-05,7.528154734851948e-05,7.437125367730568e-05,7.527297584832163e-05,7.519446210478366e-05,7.435487515370672e-05,7.521697418549313e-05,7.493005627371272e-05,7.521304748176287e-05,7.518832668817292e-05,7.505282943990703e-05,7.432976126438006e-05,7.549749352619983e-05,7.460678822705329e-05,7.523831582682974e-05,7.512168433036535e-05,7.438371064684664e-05,7.422451436958418e-05,7.488984276558488e-05,7.513066503168198e-05,7.541239796814302e-05,7.432861938078921e-05,7.461210790145407e-05,7.440153752792288e-05,7.469257462912812e-05,7.45736074350134e-05,7.415084525876279e-05,7.499343074085389e-05,7.524855300289346e-05,7.478361803805455e-05,7.459726399055829e-05,7.458323364660732e-05,7.447648801774318e-05,7.424769367054595e-05,7.490046186831023e-05,7.47715014861977e-05,7.367370708379894e-05,7.460326874438165e-05,7.463599400720201e-05,7.428722104426318e-05,7.364853590843267e-05,7.433980945093862e-05,7.387703226413578e-05,7.352161277406688e-05,7.4645963402211e-05,7.552252282039262e-05,7.472418100630704e-05,7.58574924475397e-05,7.450057698103289e-05,7.51975759547869e-05,7.468973288066789e-05,7.456214225385339e-05,7.438739363957817e-05,7.471520646465241e-05,7.45123736662747e-05,7.434107684677148e-05,7.532701905195911e-05,7.447743943581979e-05,7.62470056846117e-05,7.475140106786664e-05,7.404602261626028e-05,7.435114433998e-05,7.50921644794289e-05,7.500106532402682e-05,7.496507441828726e-05,7.505237083038816e-05,7.463602378265932e-05
40,3.5705239036663745e-05,3.5660295839921605e-05,3.563549125829013e-05,3.5690477502962144e-05,3.570242994170212e-05,3.5931489817033124e-05,3.571001428598163e-05,3.5697257101817647e-05,3.572676138866905e-05,3.548565018718364e-05,3.566465126408011e-05,3.576289496517607e-05,3.582942989658367e-05,3.571685749303663e-05,3.5520593562122324e-05,3.555581300436946e-05,3.5658767566409164e-05,3.561717496751631e-05,3.6221585885089424e-05,3.5562019814581924e-05,3.551321284388765e-05,3.5335824577487074e-05,3.597595767738919e-05,3.5740707850588176e-05,3.523154927755795e-05,3.540358738973737e-05,3.599777148572743e-05,3.570073636183224e-05,3.547987828770762e-05,3.533019550940803e-05,3.576922666979954e-05,3.5363328117035475e-05,3.571153271108275e-05,3.562433346637479e-05,3.5664215829456225e-05,3.576805478847486e-05,3.593844806011092e-05,3.577778393677859e-05,3.582053973496589e-05,3.559144670362002e-05,3.6685912553886215e-05,3.5900104852229796e-05,3.550652672856813e-05,3.560817858669907e-05,3.588781213406228e-05,3.614920451103612e-05,3.5833314853204815e-05,3.592544810983287e-05,3.614038996602176e-05,3.5842943581318935e-05,3.569382897694595e-05,3.594856653680009e-05,3.543593022466387e-05,3.601464595703874e-05,3.6274243757361543e-05,3.580609239977594e-05,3.61759630322922e-05,3.527043222204846e-05,3.631604307553392e-05,3.568048396118684e-05,3.593481733821713e-05,3.571705656213453e-05,3.559109609341249e-05,3.576902495946602e-05,3.6055289052051696e-05,3.5797184794388995e-05,3.584957812563516e-05,3.567025796460208e-05,3.5877405025530607e-05,3.601058287549185e-05,3.571009518863219e-05,3.596476866126371e-05,3.618233313318342e-05,3.5983732838455275e-05,3.5887367890349454e-05,3.589352221657558e-05,3.5391672229577254e-05,3.584372843174459e-05,3.577597908588359e-05,3.56819096132389e-05,3.5536522409529427e-05
50,5.6889408588176595e-05,5.7588716083921975e-05,5.3286754640187915e-05,5.448551192575206e-05,5.6069067657609836e-05,6.200953482350866e-05,5.756623513955293e-05,5.586502696755097e-05,5.7379982467001024e-05,5.7350558790858486e-05,5.265454045136856e-05,5.759205698862444e-05,5.813941298225528e-05,5.6786398393645264e-05,5.752113219761454e-05,5.863333020291369e-05,5.5660935643009866e-05,5.451195323110346e-05,5.955689812253695e-05,5.4962112189969046e-05,5.390669634485116e-05,5.469795347120713e-05,5.579087999649346e-05,5.6318682497173236e-05,5.3124157155195014e-05,5.1902153791161255e-05,5.6963324471237886e-05,5.4379260291170795e-05,5.280659902114969e-05,5.02540005982155e-05,5.6730657088337464e-05,5.293771629602326e-05,5.556936894908386e-05,5.461400031912845e-05,5.828375409085614e-05,5.511286164099667e-05,5.9405390952873093e-05,5.536374638640237e-05,5.5400831970254365e-05,5.3345823971540085e-05,6.109102624967428e-05,5.756507395764199e-05,4.460167360775813e-05,5.769584022345953e-05,5.874758196449349e-05,5.9326729694332336e-05,5.691667185081834e-05,5.751811304913932e-05,5.956945506113698e-05,5.449312880829956e-05,5.598293209914118e-05,5.846030895058489e-05,4.9098364937750514e-05,5.809481232669592e-05,5.752566321461927e-05,5.826107795024766e-05,5.217486796027515e-05,5.342212622555711e-05,6.086405946089971e-05,5.199037968850462e-05,5.6264608374281076e-05,5.4418708714365494e-05,5.492297532327939e-05,5.986015405921664e-05,5.394980977750189e-05,5.413880582916765e-05,5.27214324392844e-05,5.142765854465305e-05,5.540695491180048e-05,5.854014454746141e-05,5.824387375873307e-05,5.60092897406624e-05,5.585799347803307e-05,5.0132272008340806e-05,5.496060787533809e-05,5.6136935849541e-05,5.477343386571322e-05,5.555839919496418e-05,5.689845147571759e-05,5.160367532773628e-05,5.514802433026489e-05
60,8.305921728606336e-05,7.555455441534933e-05,9.393839112211329e-05,8.985927449360204e-05,8.681334523466427e-05,9.062112284092498e-05,8.016627144834567e-05,8.559126988410226e-05,8.771320200956993e-05,8.986311831904459e-05,8.956593062324783e-05,8.76112386248103e-05,8.445294720745137e-05,8.694296984961538e-05,8.850040458663203e-05,8.494150218515036e-05,8.774299043406721e-05,8.717759339583896e-05,8.514318545037116e-05,8.865279455979665e-05,8.912138381184867e-05,9.003597538789368e-05,9.218224401896198e-05,8.746086580989262e-05,9.106073204228389e-05,9.363415010739118e-05,8.880685709300451e-05,9.112848905109179e-05,8.750962545437848e-05,8.963295817187416e-05,8.876504104894896e-05,9.027606239005063e-05,9.113634657226682e-05,8.839954996180562e-05,8.586794784706499e-05,9.013498246141742e-05,8.319117535536766e-05,8.668115994871847e-05,8.861534954932327e-05,8.555284421163378e-05,8.772926854102739e-05,8.777609725663578e-05,9.097472320718225e-05,8.841184462653473e-05,8.120204802253284e-05,8.157003555281431e-05,8.455491619575436e-05,8.805200840262777e-05,8.077142126694525e-05,8.775785895052431e-05,8.776003815000877e-05,8.552816474217583e-05,8.927705334477091e-05,8.931078627938405e-05,9.215901445713826e-05,8.404550495395931e-05,9.740364839672111e-05,8.522810207194134e-05,8.856591541023755e-05,8.932309356168844e-05,8.068999871098366e-05,8.507320035278099e-05,8.779662797072281e-05,8.491440842460309e-05,8.734861977346655e-05,8.966454020432698e-05,8.575473232970883e-05,8.816195356782266e-05,8.577960788561204e-05,7.958326858823893e-05,8.771696108548592e-05,9.187951945932582e-05,9.285469665580119e-05,7.577815570887954e-05,9.049121685425885e-05,8.88147042132914e-05,9.069474253919907e-05,8.807234697146228e-05,7.290229223144706e-05,8.766301446584515e-05,8.778564661042765e-05
70,9.753189369803295e-05,9.1752173762803e-05,0.00010495166316104587,0.00010430934299410392,9.785414442399375e-05,0.00010297891068538385,9.927476006146941e-05,0.00010032725693140252,0.00010182790609615961,9.975404600481852e-05,0.00010097065531249146,0.00010024644603729438,9.77801294842114e-05,0.00010104014952296645,0.00010345407046021565,0.00010139983775540411,0.00010101834950979711,9.9933715986642e-05,0.0001016405723411091,0.0001010130097468694,9.906420421500046e-05,0.00010175195672802926,0.0001028404090902768,0.00010176010352248946,0.0001026790317458411,0.00010885408264584839,0.00010237242449581953,0.00010412730701621815,0.00010003441557808614,9.9447050747732e-05,0.00010193116031587124,0.00010027516943339903,0.00010119282524101436,0.00010314317904242383,0.00010303521250736796,0.00010328721600671997,9.746561064323607e-05,9.841301917648789e-05,0.00010212972251409441,0.00010016722217187635,0.00010375473357271403,0.00010092907193230782,9.824963308346923e-05,0.00010065093301818706,9.899360003672835e-05,9.8022396483238e-05,9.92746174493472e-05,0.00010264176665243627,9.712557857710635e-05,0.00010040105070370843,9.568228124408051e-05,0.00010013567357832058,9.861584504296143e-05,0.00010455434191195916,0.00010794415138661861,9.822755103469921e-05,0.00010746047337306663,0.00010018772571066651,9.822289840402928e-05,0.00010499019663257059,9.959709922274855e-05,0.00010193912476097466,0.00010120524530066177,9.96392814808392e-05,0.00010066242046175628,0.00010129193061192592,9.817004853781933e-05,0.00010094175259808018,0.00010119201686864942,9.724853746750316e-05,9.929569205269217e-05,0.00010073706774467912,0.00010302338341716677,8.921675544115715e-05,0.00010869762939234664,0.00010117148967647272,0.00010126084816874936,0.00010007272847419259,9.048693846125389e-05,9.99496371471597e-05,9.986466902773827e-05
80,8.778053529871007e-05,8.873148342697984e-05,8.932147587377888e-05,8.978024740757134e-05,8.715393013966306e-05,9.555560245644301e-05,9.46565929963629e-05,8.817994612878752e-05,8.857330295207168e-05,8.729925775696756e-05,8.632479516507621e-05,8.887075774528428e-05,8.803094731940126e-05,8.882688185126013e-05,9.25662013126866e-05,9.297319532682498e-05,8.943946747985181e-05,8.740880840849957e-05,9.181935638480354e-05,8.822759933536872e-05,8.699729156572945e-05,8.802222990717772e-05,8.936796997052928e-05,9.108862359425984e-05,9.079024242791569e-05,8.952137432061136e-05,8.792265221164862e-05,8.767575476061514e-05,8.625878801788478e-05,8.581714979710898e-05,9.026984548351417e-05,8.692056704043913e-05,8.775791936316706e-05,8.957608109240693e-05,9.346287333755754e-05,8.934410548785568e-05,9.206835152566016e-05,8.473536780167541e-05,8.798172383243779e-05,8.633683819425642e-05,9.034811643817063e-05,9.172194427748686e-05,8.05719255367876e-05,8.845186457620002e-05,9.074119589058682e-05,8.801130959335224e-05,8.69838722532482e-05,9.339487587567419e-05,8.928244778871886e-05,8.913975172367043e-05,8.402149833273143e-05,8.787060307275334e-05,8.612525701979533e-05,9.369268142715252e-05,9.181341156363487e-05,9.064835303805161e-05,8.461509423796088e-05,9.193953030325216e-05,9.025746377036822e-05,8.710529073141515e-05,9.12912562520804e-05,9.018899618240539e-05,8.774152956902981e-05,9.035475730862734e-05,8.910502118750528e-05,8.838389834496551e-05,8.469053670220697e-05,8.626391589190931e-05,8.660988202825172e-05,8.972131003214567e-05,8.860609038189675e-05,9.196696313059267e-05,8.755269906638811e-05,7.760350126773119e-05,9.56446082065148e-05,8.946237792699392e-05,8.953062725985157e-05,8.686345174810999e-05,8.431779315287713e-05,8.507737850265562e-05,8.977840698207729e-05
90,0.00010248962450229252,0.000104943849523638,0.00010155549413563374,0.00010368989572340909,0.00010205584573058434,0.00011131305343172113,0.00011255564177483921,0.00010248251783195883,0.00010243115795236906,0.00010294638968844083,0.00010052346363936746,0.00010323799461748793,0.00010087882974678932,0.00010404296192449912,0.00010813344595269027,0.00010883856157306582,0.00010463389567337886,0.00010223695472298379,0.00010474503479989445,0.00010261407713793839,0.00010176074473957459,0.00010243071496266307,0.00010304299871980523,0.00010542762562787781,0.00010626934979680098,0.00010253516811644658,0.00010232195774968263,0.0001008792282846116,9.98588466352564e-05,9.93233239099819e-05,0.00010525188583415001,0.00010222052878816612,0.00010419021572698302,0.000104339359251487,0.00010815051993833751,0.00010370108183061737,0.00010886747747319628,9.779332255923443e-05,0.00010032428558971957,0.00010155412928725127,0.00010547189594944939,0.00010623927045479774,9.413164571014931e-05,0.00010466563544468954,0.00010560979066404368,0.00010372818260772252,0.00010158823798909518,0.00010949061055598257,0.00010508435207157163,0.00010426341063505569,0.00010116822813870386,0.00010259400071597405,0.00010098321005128898,0.00010982582110348933,0.00010837880690814928,0.00010673002068461775,0.00010211918197455816,0.00010867555954911071,0.00010454303397140889,0.00010086456131830346,0.00010511803280209161,0.00010471101995790377,0.00010209804531768896,0.00010532894728904856,0.00010380178112730694,0.00010268618688524629,0.00010102308200051387,0.00010058702955771018,0.00010144441889510576,0.00010595779862309395,0.00010231652413494885,0.00010819566644689378,0.00010088261236281444,9.704721135979828e-05,0.00011047340480477683,0.00010520239258956092,0.00010469383726428662,0.00010143128395523695,0.00010281093454977963,9.858696560077995e-05,0.00010444613653817214
