Checkpoint,split_a_landlord,split_b_landlord
50,0.9706190975865687,0.9719298245614035
60,0.9989506820566632,0.9994987468671679
70,1.0,1.0
80,1.0,1.0
90,1.0,1.0
100,1.0,1.0
150,1.0,1.0
200,0.9952780692549843,0.9924812030075187
250,0.8525708289611752,0.9388471177944863
300,0.7749213011542497,0.9503759398496241
350,0.7229800629590766,0.9238095238095239
400,0.45120671563483733,0.8265664160401003
450,0.3252885624344176,0.7548872180451128
500,0.3604407135362015,0.7899749373433584
550,0.49527806925498424,0.8847117794486216
600,0.5167890870933893,0.9323308270676691
650,0.7103882476390346,0.9689223057644111
700,0.5739769150052466,0.9438596491228071
750,0.6736621196222455,0.9463659147869674
800,0.7439664218258132,0.9568922305764411
850,0.6715634837355718,0.9573934837092731
900,0.7492130115424974,0.981453634085213
950,0.7581322140608604,0.9664160401002506
1000,0.7681007345225603,0.9734335839598998
1050,0.7061909758656874,0.9523809523809523
1100,0.6925498426023085,0.9649122807017544
1150,0.7187827911857293,0.9669172932330827
1200,0.8405036726128017,0.9694235588972431
1250,0.6526757607555089,0.9218045112781955
1300,0.75498426023085,0.9363408521303258
1350,0.6899265477439664,0.949874686716792
1400,0.776495278069255,0.9624060150375939
1450,0.6652675760755509,0.9358395989974937
1500,0.7355718782791185,0.9609022556390977
1550,0.7413431269674712,0.9543859649122807
1600,0.5514165792235047,0.8807017543859649
1650,0.5724029380902413,0.9383458646616541
1700,0.9412381951731374,0.993483709273183
1750,0.559286463798531,0.9182957393483709
1800,0.7067156348373557,0.9513784461152882
1850,0.6190975865687304,0.9042606516290727
1900,0.6327387198321092,0.9558897243107769
1950,0.6600209863588667,0.9197994987468672
2000,0.6201469045120671,0.943358395989975
2100,0.6217208814270724,0.9408521303258145
2200,0.6243441762854145,0.9388471177944863
2300,0.5629590766002098,0.8050125313283208
2400,0.5860440713536201,0.8847117794486216
2500,0.37355718782791186,0.7112781954887218
2600,0.5503672612801679,0.9167919799498747
2700,0.48530954879328436,0.8676691729323308
2800,0.55299055613851,0.7879699248120301
2900,0.574501573976915,0.8335839598997494
3000,0.6227701993704092,0.8892230576441102
3100,0.608604407135362,0.912781954887218
3200,0.5965372507869885,0.9007518796992481
3300,0.5477439664218258,0.9197994987468672
3400,0.5078698845750262,0.837593984962406
3500,0.546694648478489,0.819047619047619
3600,0.6044071353620147,0.8766917293233083
3700,0.5776495278069255,0.8576441102756892
3800,0.5661070304302204,0.8731829573934837
3900,0.5141657922350472,0.7714285714285715
4000,0.5891920251836307,0.8661654135338346
4100,0.5031479538300105,0.8205513784461153
4200,0.4685204616998951,0.7964912280701755
4300,0.5136411332633788,0.8210526315789474
4400,0.4790136411332634,0.8355889724310777
4500,0.49580272822665267,0.8461152882205514
4600,0.4821615949632739,0.825563909774436
4700,0.4895068205666317,0.7869674185463659
4800,0.5608604407135362,0.8661654135338346
4900,0.45435466946484787,0.7844611528822055
5000,0.5351521511017838,0.825563909774436
5100,0.5120671563483735,0.881203007518797
