Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
50,4.133333333333334e-05,4.1851851851851864e-05,3.666666666666667e-05,3.738461538461539e-05,4.025316455696204e-05,4e-05,4.3064516129032274e-05,4.105263157894738e-05,4.025316455696204e-05,4.1875e-05,3.7530864197530867e-05,3.9999999999999996e-05,4.030303030303031e-05,4.075757575757577e-05,3.952941176470589e-05,4.208333333333334e-05,3.845238095238096e-05,3.7848101265822795e-05,4.000000000000001e-05,3.906666666666667e-05,3.784615384615385e-05,4.0535714285714287e-05,3.746666666666667e-05,3.900000000000001e-05,3.7777777777777785e-05,4e-05,3.693548387096775e-05,3.8125e-05,3.7882352941176475e-05,3.741935483870969e-05,4.106666666666668e-05,3.461538461538461e-05,3.7500000000000003e-05,4.158536585365855e-05,4.111111111111111e-05,3.928571428571429e-05,4.171052631578948e-05,3.545454545454546e-05,3.91566265060241e-05,4e-05,4e-05,3.9361702127659586e-05,2.5000000000000005e-05,3.6e-05,4e-05,4.126315789473685e-05,4.085714285714286e-05,4.114035087719298e-05,4.15625e-05,3.9396551724137934e-05,3.8e-05,4e-05,3.453846153846154e-05,4e-05,3.800000000000001e-05,3.938775510204082e-05,3.5000000000000004e-05,4.20689655172414e-05,3.909090909090909e-05,4.25e-05,4.225806451612903e-05,4e-05,3.8333333333333334e-05,4.142857142857143e-05,3.5555555555555574e-05,3.646153846153846e-05,3.933333333333334e-05,3.827956989247313e-05,3.814814814814815e-05,3.963963963963963e-05,4e-05,3.8333333333333334e-05,4e-05,4e-05,4e-05,4.038961038961039e-05,3.714285714285715e-05,3.983870967741936e-05,4.3750000000000006e-05,3.773109243697479e-05,4.000000000000001e-05
60,6.626666666666666e-05,6.333333333333333e-05,6.5e-05,6.307692307692308e-05,6.544303797468353e-05,6.857142857142857e-05,6.516129032258065e-05,6.578947368421051e-05,6.645569620253163e-05,6.687499999999999e-05,6.518518518518519e-05,6.571428571428571e-05,6.454545454545454e-05,6.606060606060605e-05,6.64705882352941e-05,6.583333333333333e-05,6.404761904761904e-05,6.50632911392405e-05,6.428571428571427e-05,6.719999999999998e-05,6.599999999999998e-05,6.714285714285713e-05,6.413333333333332e-05,6.633333333333332e-05,6.587301587301586e-05,6.4e-05,6.53225806451613e-05,6.583333333333333e-05,6.517647058823528e-05,6.596774193548388e-05,6.519999999999999e-05,6.615384615384616e-05,6.480769230769233e-05,6.512195121951219e-05,6.5e-05,6.482142857142857e-05,6.552631578947368e-05,6.272727272727274e-05,6.433734939759036e-05,6.25e-05,6.428571428571427e-05,6.659574468085105e-05,6.749999999999999e-05,6.6e-05,6.526315789473682e-05,6.578947368421051e-05,6.357142857142858e-05,6.596491228070174e-05,6.59375e-05,6.474137931034482e-05,6.4e-05,6.545454545454545e-05,6.438461538461538e-05,6.583333333333333e-05,6.300000000000001e-05,6.469387755102042e-05,6e-05,6.448275862068965e-05,6.727272727272725e-05,6.5e-05,6.526881720430107e-05,6.5e-05,6.333333333333333e-05,6.714285714285713e-05,6.416666666666668e-05,6.507692307692307e-05,6.466666666666668e-05,6.38709677419355e-05,6.462962962962964e-05,6.378378378378379e-05,6.777777777777777e-05,6.5e-05,6.333333333333333e-05,6e-05,6.285714285714285e-05,6.649350649350648e-05,6.714285714285713e-05,6.443548387096774e-05,6.25e-05,6.453781512605042e-05,6.400000000000001e-05
70,0.00015306666666666668,0.0001433333333333333,0.000155,0.00014876923076923075,0.00014721518987341774,0.00015857142857142855,0.00015064516129032266,0.00015342105263157894,0.00015240506329113924,0.000155625,0.0001530864197530864,0.0001526530612244898,0.00015151515151515152,0.00015424242424242428,0.00015588235294117646,0.0001566666666666667,0.0001504761904761905,0.00014810126582278486,0.0001510714285714286,0.00015506666666666668,0.0001530769230769231,0.00015303571428571428,0.00015386666666666668,0.00015500000000000003,0.0001528571428571429,0.000148,0.00015241935483870973,0.00015479166666666666,0.00015105882352941174,0.00014887096774193547,0.0001522666666666667,0.00015153846153846153,0.00015230769230769234,0.00014987804878048778,0.0001527777777777778,0.00015,0.0001511842105263158,0.00014909090909090908,0.00014963855421686745,0.0001475,0.0001528571428571429,0.00015287234042553192,0.00015000000000000001,0.00015700000000000002,0.0001563157894736842,0.0001498947368421053,0.00014957142857142863,0.00015543859649122806,0.00015375,0.00014896551724137932,0.000156,0.0001527272727272727,0.00014376923076923076,0.00015166666666666668,0.000154,0.00014632653061224488,0.00015,0.00014827586206896551,0.00015545454545454543,0.00015,0.0001549462365591398,0.00015000000000000001,0.00014666666666666666,0.00015714285714285716,0.00014333333333333334,0.00014984615384615386,0.00014533333333333333,0.0001453763440860215,0.0001475925925925926,0.0001436936936936937,0.00015666666666666666,0.00015166666666666668,0.00014000000000000001,0.00013499999999999997,0.00015285714285714287,0.00015246753246753248,0.00015642857142857144,0.0001475806451612903,0.00014375,0.00014789915966386557,0.00015500000000000003
80,0.0002969333333333333,0.0002866666666666667,0.00028749999999999994,0.00027615384615384617,0.00028468354430379744,0.0002971428571428571,0.0002866129032258065,0.00029605263157894733,0.000289873417721519,0.00029625,0.00029012345679012335,0.0002969387755102041,0.0002918181818181819,0.00029545454545454547,0.0002947058823529412,0.0002970833333333333,0.0002861904761904762,0.00028670886075949373,0.00028357142857142855,0.0002994666666666666,0.0002930769230769231,0.0002935714285714286,0.00028546666666666665,0.0002926666666666667,0.0002887301587301588,0.000278,0.00028306451612903233,0.00028375,0.0002850588235294117,0.0002893548387096774,0.00028906666666666663,0.00028615384615384614,0.00029115384615384615,0.0002857317073170732,0.00029222222222222225,0.00028803571428571425,0.0002924999999999999,0.00028272727272727266,0.0002902409638554217,0.00028875,0.0002857142857142857,0.00028978723404255314,0.00029624999999999996,0.00030099999999999994,0.00029631578947368425,0.00028652631578947367,0.0002847142857142857,0.000293859649122807,0.0003025,0.00028637931034482754,0.000296,0.00029636363636363633,0.0002853076923076923,0.00028999999999999995,0.00027800000000000004,0.0002824489795918367,0.00030000000000000003,0.00028965517241379314,0.0003018181818181818,0.0002825,0.00029516129032258065,0.00029875,0.00027166666666666664,0.0003071428571428571,0.0002819444444444445,0.0002872307692307692,0.00029933333333333336,0.0002898924731182796,0.0002835185185185185,0.00028522522522522525,0.0002988888888888889,0.0003,0.0002733333333333333,0.00027,0.00028285714285714286,0.0002888311688311688,0.0002914285714285714,0.000284758064516129,0.00027625,0.0002826050420168067,0.00029099999999999997
90,0.00018119999999999999,0.00017518518518518518,0.00018333333333333334,0.00017538461538461542,0.0001767088607594937,0.00018142857142857145,0.0001725806451612903,0.00018328947368421053,0.0001829113924050633,0.00018375,0.00018345679012345681,0.00018285714285714292,0.00018121212121212122,0.00018348484848484847,0.00018141176470588236,0.00018291666666666665,0.00017738095238095238,0.00017999999999999998,0.00017428571428571425,0.00018480000000000005,0.00018123076923076925,0.00018410714285714284,0.00018133333333333334,0.0001836666666666667,0.00017793650793650792,0.000184,0.00018451612903225802,0.00018312500000000002,0.00018129411764705885,0.00018274193548387094,0.00017893333333333334,0.00017923076923076923,0.00018192307692307692,0.0001802439024390244,0.00018166666666666667,0.0001780357142857143,0.00017710526315789475,0.00018000000000000004,0.00018240963855421688,0.000179375,0.00017714285714285713,0.00017968085106382978,0.0001875,0.000183,0.00017947368421052632,0.00017863157894736838,0.00017742857142857144,0.00017763157894736846,0.0001821875,0.00017767241379310344,0.000184,0.00018181818181818183,0.00017600000000000002,0.00017500000000000003,0.00016800000000000002,0.00017469387755102042,0.000185,0.00017655172413793107,0.00018272727272727275,0.000185,0.0001806451612903226,0.00018,0.00017833333333333338,0.00018714285714285713,0.00017777777777777779,0.00018184615384615385,0.00018733333333333335,0.0001801075268817204,0.0001739814814814815,0.00017774774774774774,0.0001866666666666667,0.00018166666666666667,0.00017333333333333336,0.00017833333333333338,0.00017285714285714284,0.00018012987012987016,0.00018071428571428573,0.00017806451612903228,0.00017,0.000180672268907563,0.000185
100,0.00016693333333333334,0.00016518518518518518,0.00016916666666666667,0.0001666153846153846,0.0001658227848101266,0.0001742857142857143,0.0001648387096774194,0.00017210526315789476,0.0001710126582278481,0.00017312500000000002,0.0001697530864197531,0.00017081632653061227,0.00016727272727272728,0.00017166666666666667,0.00017035294117647058,0.00017458333333333337,0.00016595238095238097,0.0001672151898734177,0.00016678571428571423,0.00017213333333333336,0.00016815384615384614,0.0001730357142857143,0.0001692,0.000172,0.00016698412698412698,0.000166,0.00017467741935483873,0.0001708333333333333,0.00016941176470588237,0.0001674193548387097,0.00016759999999999998,0.0001665384615384615,0.00017019230769230767,0.00016914634146341463,0.00017055555555555558,0.00016821428571428573,0.00016960526315789475,0.0001681818181818182,0.00016783132530120482,0.000164375,0.00017,0.00016851063829787237,0.00017250000000000002,0.00016900000000000002,0.00017,0.00017021052631578947,0.0001692857142857143,0.00016789473684210526,0.00017187500000000002,0.00016663793103448277,0.00017400000000000003,0.00017181818181818184,0.00016307692307692304,0.00017,0.000165,0.00016632653061224493,0.00018,0.0001672413793103449,0.00017272727272727275,0.00017250000000000002,0.00017086021505376345,0.00017125000000000002,0.00016333333333333334,0.00017142857142857145,0.00016805555555555557,0.00016907692307692308,0.00017400000000000003,0.00016387096774193548,0.0001636111111111111,0.00016864864864864868,0.0001766666666666667,0.00016666666666666666,0.00015999999999999999,0.00017,0.00016571428571428572,0.00016857142857142857,0.00017357142857142859,0.00016572580645161293,0.00015874999999999998,0.00016764705882352942,0.00017300000000000003
150,0.00031653333333333335,0.00034962962962962964,0.00022833333333333334,0.00030261538461538463,0.00031481012658227846,0.0003771428571428571,0.0003982258064516129,0.0003017105263157894,0.0002958227848101266,0.000301875,0.00024975308641975305,0.00029877551020408166,0.0002818181818181818,0.0002995454545454545,0.0003429411764705882,0.00033041666666666663,0.0003048809523809524,0.00030518987341772154,0.00029785714285714284,0.000308,0.0003152307692307692,0.0003153571428571429,0.00029386666666666664,0.000273,0.0002858730158730159,0.000288,0.000282258064516129,0.000295,0.00027917647058823533,0.00025209677419354835,0.00029173333333333334,0.0002711538461538462,0.0002725,0.0003157317073170732,0.0002938888888888889,0.00027303571428571427,0.0003492105263157895,0.00023727272727272722,0.0002918072289156627,0.00025374999999999996,0.00032285714285714285,0.00035808510638297877,0.00025,0.00026499999999999994,0.00033631578947368424,0.0003593684210526316,0.00029014285714285714,0.00032605263157894736,0.0003503125,0.0003136206896551725,0.00029,0.00034363636363636367,0.0002423076923076923,0.000325,0.00026199999999999997,0.00030489795918367345,0.00038,0.00031896551724137944,0.00032272727272727276,0.00028500000000000004,0.0003078494623655914,0.000265,0.00029166666666666664,0.00037142857142857143,0.0002558333333333333,0.00029553846153846156,0.00028599999999999996,0.0002503225806451613,0.0002590740740740741,0.0003137837837837838,0.0002511111111111111,0.00032166666666666666,0.00028000000000000003,0.000285,0.00031999999999999997,0.0003315584415584416,0.0003471428571428571,0.0002916129032258065,0.00032875,0.0002515966386554622,0.00021700000000000002
200,0.00036999999999999994,0.00041777777777777777,0.0001625,0.0004055384615384615,0.0003963291139240506,0.0003742857142857142,0.0006001612903225807,0.0003534210526315789,0.0003631645569620253,0.00028,0.0002434567901234568,0.000323469387755102,0.0003303030303030303,0.0003184848484848484,0.00041282352941176474,0.00037791666666666665,0.0003935714285714286,0.0004275949367088607,0.0002578571428571429,0.00033400000000000004,0.00033630769230769234,0.0003916071428571428,0.0003462666666666666,0.00033266666666666655,0.0002403174603174603,0.00031800000000000003,0.00030177419354838716,0.000324375,0.0003410588235294118,0.0002537096774193548,0.0002746666666666667,0.00018,0.00026615384615384614,0.0004315853658536586,0.0003711111111111111,0.0002803571428571429,0.0003819736842105262,0.0002836363636363636,0.0002862650602409638,0.000210625,0.00024857142857142857,0.0004406382978723405,0.00035625,0.00022200000000000003,0.00044421052631578946,0.00038873684210526306,0.00039757142857142855,0.00034429824561403507,0.00038250000000000003,0.0003599137931034483,0.00035600000000000003,0.0003190909090909091,0.00021376923076923078,0.00034333333333333335,0.00024999999999999995,0.00025448979591836734,0.000205,0.00026413793103448275,0.00032636363636363635,0.00020250000000000002,0.00034903225806451614,0.00025875,0.00031833333333333334,0.00037999999999999997,0.00023333333333333336,0.0002770769230769231,0.0002786666666666666,0.00022881720430107527,0.00023601851851851852,0.0004102702702702703,0.00029111111111111113,0.00023833333333333332,0.0002566666666666667,0.00022666666666666666,0.00024142857142857142,0.0003441558441558442,0.00048714285714285705,0.0002830645161290322,0.000275,0.00020546218487394957,0.000196
250,0.00041093333333333337,0.0004807407407407407,9.583333333333334e-05,0.0005483076923076923,0.0004991139240506327,0.00039571428571428575,0.0008087096774193549,0.0003996052631578948,0.00038189873417721515,0.00020812499999999998,0.0001428395061728395,0.00024142857142857147,0.00021,0.00027606060606060606,0.00044305882352941185,0.000265,0.000411904761904762,0.0005816455696202531,0.00021892857142857144,0.0002786666666666666,0.0002933846153846154,0.0003725,0.00031773333333333327,0.0003473333333333333,0.00018238095238095237,0.000116,0.0002477419354838709,0.00038666666666666667,0.0003671764705882353,0.000182741935483871,0.00020346666666666666,6.884615384615385e-05,0.0002728846153846154,0.0006424390243902439,0.0005283333333333333,0.00043357142857142856,0.00043710526315789464,0.0003772727272727273,0.00040638554216867475,0.000255625,0.00022428571428571427,0.0008473404255319149,0.00035999999999999997,0.000309,0.0007263157894736843,0.0005601052631578948,0.0006282857142857143,0.0004855263157894738,0.0004359375,0.0005719827586206896,0.0006919999999999999,0.00031363636363636365,0.00023215384615384618,0.0004616666666666667,0.00023000000000000003,0.00029714285714285715,0.00031,0.00024172413793103448,0.00049,0.00011999999999999999,0.0006073118279569892,0.00042124999999999997,0.00036333333333333335,0.0003785714285714286,0.00024305555555555563,0.00043646153846153845,0.0004993333333333333,0.0002927956989247312,0.00034194444444444436,0.0008213513513513518,0.00042888888888888897,0.00023666666666666663,0.00025333333333333333,0.00036833333333333336,0.00027857142857142864,0.000549090909090909,0.0008178571428571428,0.000375,0.00040625,0.00025075630252100844,0.000221
300,0.0006772000000000001,0.0005703703703703704,7.666666666666666e-05,0.0006741538461538461,0.0005678481012658228,0.0004585714285714286,0.001403548387096774,0.0006749999999999999,0.000740759493670886,0.0002025,0.00013802469135802467,0.00040346938775510195,0.00013575757575757578,0.00036333333333333335,0.0005472941176470589,0.00016166666666666665,0.00037642857142857145,0.0009265822784810125,0.0001667857142857143,0.00032680000000000003,0.0003667692307692308,0.0005485714285714286,0.00031133333333333333,0.000431,0.00011301587301587301,0.000146,0.0002737096774193548,0.00062875,0.0005209411764705884,0.00017483870967741936,0.00024280000000000005,0.00011076923076923076,0.0003728846153846154,0.000854390243902439,0.0009755555555555555,0.0006407142857142858,0.0008735526315789474,0.0006709090909090909,0.0009540963855421686,0.0005412500000000001,0.0005557142857142858,0.0021708510638297866,0.00042625,0.00048000000000000007,0.0019352631578947368,0.0012613684210526313,0.0016078571428571433,0.0009685964912280701,0.0009934375,0.0010285344827586206,0.00116,0.0008127272727272727,0.0002934615384615385,0.0009783333333333334,0.0008219999999999998,0.0005136734693877551,0.000495,0.0004893103448275862,0.0014427272727272728,0.0002875,0.0011886021505376346,0.00173125,0.000795,0.0012685714285714284,0.000395,0.0010055384615384616,0.0007419999999999999,0.000562258064516129,0.0005136111111111112,0.0020113513513513514,0.0009033333333333334,0.00030333333333333335,0.0005633333333333333,0.0008266666666666666,0.00045571428571428575,0.0013502597402597401,0.0011964285714285712,0.0007230645161290322,0.0009624999999999999,0.00039773109243697476,0.00043300000000000006
