Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,cross,cycle,dash,depart,descend,drift,flee,float,fly,glide,go,hasten,hike,hurry,journey,limp,march,meander,race,ride,row,run,rush,sail,scramble,swim,taxi,travel,tumble,walk,wander
0,2.0743236604716543e-05,2.4096661642640054e-05,1.9239264133830147e-05,2.267486856558557e-05,2.2475718536423046e-05,2.0265010009877316e-05,1.9431523425385335e-05,2.2730267689849807e-05,2.146004200905644e-05,2.0887035532268783e-05,1.963553886189065e-05,1.9649412767036237e-05,1.983181270285665e-05,2.1211175890405713e-05,2.177831567464369e-05,2.1604971000973212e-05,2.052085812920268e-05,2.1878500647980666e-05,1.921461362793967e-05,2.280978006941344e-05,2.1627075651709813e-05,2.144344210007278e-05,2.12140790487562e-05,2.0081085206887413e-05,2.06546386661579e-05,1.8316541172680445e-05,2.1014420605253337e-05,1.831953109861691e-05,2.0791959147626426e-05,2.120024363384507e-05,2.1256165788751482e-05,2.2323437616041003e-05,2.164551577922024e-05,2.19436251850417e-05,2.1502782197381344e-05,2.0113721502314418e-05,2.156499206912007e-05,2.5174400599842723e-05,1.981552450380117e-05,2.336749588494058e-05,2.2115390115783506e-05,2.0633808958336886e-05,2.0731596578116296e-05,2.0111498136094796e-05,2.043341975973147e-05,1.8490708907847874e-05,2.2873413240232732e-05,1.8285203083223678e-05,2.0990334981998504e-05,2.0124588652172612e-05,2.333977725076973e-05,2.138147230349811e-05,2.111886533384677e-05,2.101694479613204e-05,2.3041328608212945e-05,1.8569496205600444e-05,2.224134971007144e-05,2.2076867708165082e-05,2.032334153530731e-05,2.0375509344515963e-05,2.543697016032335e-05,2.0754636523790434e-05,2.0814617090326027e-05,2.0112695470776122e-05,1.735524842337731e-05,2.2969178431807236e-05,1.825805890933095e-05,2.0967499795592778e-05,1.8117445051757386e-05,2.1824276364215712e-05,1.9295879883429735e-05
10,2.074147136767892e-05,2.4098287212837022e-05,1.923679212723073e-05,2.2677424175736422e-05,2.247621632935229e-05,2.0266735711110024e-05,1.9432985423449162e-05,2.2731955462351086e-05,2.146054545466794e-05,2.0889366680876265e-05,1.9637896081276043e-05,1.965088007896806e-05,1.983218341840918e-05,2.1211027897703445e-05,2.1778673673158183e-05,2.1604656543180074e-05,2.0521356949150988e-05,2.187873842903852e-05,1.921526628783405e-05,2.2811304649318724e-05,2.1627315562419916e-05,2.1443393945576516e-05,2.1215064807620366e-05,2.008182012408118e-05,2.065712305920897e-05,1.8311258099856786e-05,2.101608819312758e-05,1.8319331900329416e-05,2.0792962266782793e-05,2.120216640099487e-05,2.1257221730290134e-05,2.232456608908251e-05,2.16466883452645e-05,2.1947045223536997e-05,2.1503354825351078e-05,2.0115414843400815e-05,2.1565308968188458e-05,2.518014405888442e-05,1.9815295946686837e-05,2.3368206257146085e-05,2.211644637777391e-05,2.0638435557884804e-05,2.073423065667157e-05,2.011188117696867e-05,2.0433897081698218e-05,1.8491233497895467e-05,2.287326228804631e-05,1.8284960134451467e-05,2.0992341213623777e-05,2.01206944852443e-05,2.3342465192399685e-05,2.138348615214151e-05,2.1121088775544194e-05,2.101708433860485e-05,2.304256078536253e-05,1.8567137637794737e-05,2.22432188879353e-05,2.2077774701756425e-05,2.0326374093807924e-05,2.037627204677287e-05,2.5435255399012627e-05,2.07570850302203e-05,2.0816498380116644e-05,2.0113577422536992e-05,1.7359837885224908e-05,2.296994468699929e-05,1.825524142467267e-05,2.096950938281342e-05,1.8115114244210417e-05,2.182522362205464e-05,1.9297061680845217e-05
20,3.0042601989604207e-05,3.0150269190522118e-05,2.9790955674495006e-05,3.0024286780434733e-05,3.0264407956288963e-05,3.0213833659737637e-05,3.0178406837700506e-05,3.00843069756714e-05,3.0192087101971118e-05,3.025284172508691e-05,3.0102960599721468e-05,3.0134764900288487e-05,3.0073683140499547e-05,3.0128812713056423e-05,3.0200849141692743e-05,3.0220602108480914e-05,2.9890966613623148e-05,3.0145148264614074e-05,3.0082741562052562e-05,3.008485900257559e-05,3.0213447966021845e-05,3.0263495903324967e-05,3.0040688094838212e-05,3.0104899815341922e-05,3.0013631874767488e-05,2.9930746313766578e-05,3.0200858389200163e-05,3.0008784581999255e-05,3.015952358563321e-05,3.007181496814742e-05,3.012193257745821e-05,3.0001011999467246e-05,3.0033793721556252e-05,3.0097313948465664e-05,3.0243453996566434e-05,2.9823372025410727e-05,3.0238146121662697e-05,3.006393291632941e-05,2.991883589111897e-05,3.0108554369689955e-05,3.0099574979295598e-05,2.9804996756865876e-05,2.9883199931646232e-05,3.0105780081756068e-05,3.004771246387942e-05,2.975409988721367e-05,3.0088777604855988e-05,3.0113548803001322e-05,3.0038700813371368e-05,3.005892424632541e-05,3.001549199465304e-05,2.9544812302143935e-05,3.0058326046855655e-05,3.000025742726486e-05,2.9976730917857413e-05,3.0023672562410038e-05,3.020996501295632e-05,2.9768217927994556e-05,2.9762485711317924e-05,2.992660243202968e-05,3.0162546803088238e-05,2.9921458800315797e-05,3.002406979417342e-05,3.00400388532744e-05,3.00842038996052e-05,3.0121844318202493e-05,3.008619504336301e-05,2.9997574940000872e-05,3.0105717087280937e-05,2.9994666683629446e-05,2.9958478080516215e-05
30,7.373839046497753e-05,7.372294365066207e-05,7.34860938488661e-05,7.367593934759498e-05,7.389795285269406e-05,7.376023131655529e-05,7.375105997198261e-05,7.374105617225937e-05,7.379538874374703e-05,7.388859785351087e-05,7.37961043925657e-05,7.38502418912225e-05,7.375956722006032e-05,7.375474601620667e-05,7.381395476199138e-05,7.383925397637843e-05,7.366945811511305e-05,7.380054721349402e-05,7.381302176716937e-05,7.37583121129622e-05,7.38320903530201e-05,7.388037530680387e-05,7.368320492484297e-05,7.371108877123334e-05,7.370271013646815e-05,7.392802217509598e-05,7.380860293896177e-05,7.370621400089779e-05,7.380802408614032e-05,7.370612882134023e-05,7.378906952605273e-05,7.363226037481442e-05,7.380917584389233e-05,7.372449215117105e-05,7.393813050132141e-05,7.36600361830954e-05,7.390249103130038e-05,7.367827889869328e-05,7.366498938203419e-05,7.372518666670658e-05,7.376397920876464e-05,7.34720915716025e-05,7.3626955418149e-05,7.374183999337746e-05,7.370443261032434e-05,7.348660915990227e-05,7.377991693047399e-05,7.37607970222598e-05,7.376331124195813e-05,7.368313130097125e-05,7.3713020482011e-05,7.341543641814496e-05,7.38476745027583e-05,7.375936993226713e-05,7.364677831305769e-05,7.376293995713985e-05,7.381436819653777e-05,7.358626317000017e-05,7.360303101854192e-05,7.363093307223887e-05,7.374966468584413e-05,7.364492616503529e-05,7.371913920063957e-05,7.374780607852363e-05,7.371868236481937e-05,7.384978748809595e-05,7.379124716473078e-05,7.366826374040571e-05,7.37755744921742e-05,7.365129763571577e-05,7.373670669039712e-05
40,0.0003882050879985547,0.00038647285610851314,0.0003830448501200105,0.0003833556176127436,0.00038760431115279754,0.0003797739461463477,0.00038725356881191294,0.0003867597203911739,0.0003886355390725068,0.0003833726586890407,0.0003862101703244089,0.0003862954790190775,0.00038332262281046223,0.00038684925829963476,0.00038925080888849845,0.0003908257422153838,0.0003853771316547257,0.0003867151780802568,0.0003868337610453766,0.000387292846183603,0.0003883685195782723,0.00038641714387007857,0.00038300846082468825,0.00038627460307907315,0.00038509160817955576,0.00039511858485639093,0.0003866287400840872,0.00038446723798794363,0.00038800649618839515,0.00038716808100411245,0.00038741064025089145,0.0003851096721169037,0.0003877675201063259,0.00038484118805743407,0.00038998977753282007,0.00038461971260923225,0.0003846449663366289,0.0003876724777827886,0.0003856785657832466,0.00038196718924154993,0.0003871652331733283,0.0003907007849193178,0.00038249297358561307,0.00038455999425710425,0.00038423627970348063,0.0003833233382985262,0.00038496648490412585,0.00038237420994846616,0.00038650808459476986,0.00038158524231138557,0.0003838663828971151,0.00038424507753613096,0.00038410261913668364,0.0003866090460642412,0.0003824719611218135,0.0003893870585174723,0.00038273480372823856,0.0003858959498757031,0.00038369677026316314,0.00038515734396731623,0.0003850203201485177,0.00038533455783611425,0.00038435386630697867,0.0003846391588701187,0.00038520159432664514,0.0003881998214259889,0.00038621163236842094,0.0003867827040413695,0.0003802385072049219,0.0003856649644821569,0.00038626919267699124
50,0.00034154568778388704,0.00033905599762133705,0.000342621698412889,0.00033364178200897117,0.00034165065485064554,0.00031411616198186366,0.00033340019863023756,0.00033799474933367295,0.0003377640235998161,0.00033007141428242903,0.0003422377785570046,0.0003339921213966813,0.00034321976250573766,0.000341788351899154,0.00034116611624246135,0.0003362250560409545,0.0003356230923340523,0.00033997342117938296,0.0003411971130325193,0.0003446665627416223,0.0003455743762270476,0.0003387406429413074,0.00033962563533956804,0.0003376511536771432,0.00034058037618662986,0.0003514509880915284,0.00033530988894786025,0.00033246432515928365,0.0003420489321476506,0.00034673757580739835,0.00033682782338776936,0.0003363053508040209,0.0003475066089147451,0.00033988693639701013,0.0003354915906028408,0.0003410287177497854,0.0003289836347807738,0.00034840598130937326,0.00033799162785331887,0.0003400336045160657,0.0003364040657811045,0.00035832860885420814,0.00034321855346206573,0.00033223524377191146,0.000331135712086076,0.0003351195952356128,0.00033150117138702946,0.0003302588829683373,0.00034044632449312584,0.00032973938637455416,0.00034883455731547796,0.0003420045225842235,0.00033899031695909797,0.00034127574193063286,0.00033575245119021115,0.0003413071337325329,0.0003347255481076577,0.00034901430626632646,0.0003404751195274811,0.0003395161278044375,0.0003451938993142297,0.0003425290768024742,0.0003423916156558941,0.00033138867146188713,0.0003388666728925374,0.0003441102264521571,0.0003407123523564743,0.0003406628621310266,0.0003245134503231384,0.000343616317640677,0.000334062849287875
60,0.0012648087891599011,0.0012557314562231855,0.0012408818874973804,0.0012413864256814121,0.001249966020047476,0.001275039793524359,0.001252537619532837,0.0012581931294727267,0.0012573892784104505,0.001255666466022376,0.001258460306102571,0.0012496276639820058,0.0012606943350736842,0.0012688489055797231,0.0012413291452342972,0.0012566833805370454,0.001237417184581448,0.0012518378531654612,0.0012460785967830037,0.0012708157192294796,0.0012761623365804553,0.0012670772516035608,0.001251854410705467,0.0012537968539011975,0.0012446638946938845,0.0012565850978717209,0.0012426069175313797,0.0012462325369900402,0.0012643446789725738,0.0012690281258865952,0.0012490608450025321,0.0012379462087455278,0.0012646608587461882,0.0012655407054956223,0.0012498094713211888,0.0012490358058130369,0.0012328275494694122,0.001251669928685508,0.0012382937171664763,0.0012351782861514948,0.001251795623907225,0.0012856963003287092,0.0012768674292601644,0.0012709908432474261,0.0012565212912465397,0.0012394310357714338,0.0012388630145180382,0.0012523749574029353,0.0012467047922184755,0.0012577255997298794,0.0012449566677857477,0.0012033644403951864,0.0012260695337317884,0.0012360706958653672,0.00123143691473223,0.0012718970591033046,0.0012508672937470418,0.0012383579596644267,0.0012389286647602501,0.0012458959522728737,0.0012768511039515336,0.001257022403390898,0.001259222139466416,0.0012340036919340491,0.001273888383164174,0.0012641473455572284,0.0012691958025763078,0.0012492440216573736,0.0012292229512240738,0.0012590601050271456,0.0012564738979563117
70,0.0023585952664222066,0.002359536799809171,0.0023775006217571595,0.002316561395015854,0.002382060686786529,0.002308016543143562,0.0022927820757632296,0.0023729826698043184,0.002382256520935629,0.0023350793635472655,0.0023931778484472524,0.002362802981075888,0.002392510742400632,0.002374986130179781,0.002300043132923105,0.002384011633694172,0.0023376845970882903,0.0023517836109275304,0.002327706091039415,0.002389631231004993,0.0024054658814118457,0.0024061954921177986,0.002368506902518372,0.0023410132620483638,0.00233663913483421,0.0023727865424007176,0.002340181781384613,0.002349268994294107,0.0023936436402008814,0.0024124048199624785,0.0023463604909678302,0.002357362796409199,0.002392481493118864,0.002382563930654595,0.0023440447920519444,0.0023396109900204465,0.0023107834031658343,0.00241724573160437,0.0023427377581169985,0.0023667662171646953,0.0023619516633768033,0.0024990264500956982,0.0023549061035737394,0.0023284671877167725,0.002307076291426232,0.002328667410516313,0.002273969084694328,0.002307537168235285,0.0023521673353790336,0.0023422200783071194,0.0023509681780034533,0.002220913903632512,0.00222075239289552,0.0023078514377073366,0.002307307842219698,0.0023266997569325295,0.0023600370197566925,0.002301060943864286,0.0023219814142470974,0.002342312913746215,0.0023774150138099986,0.0023813798963542906,0.002366114933802574,0.0022657419364010027,0.0023431547451764345,0.002355841242454269,0.002390167925373784,0.0023663643815164124,0.0022237150405999273,0.0023860536543104578,0.002358019142411649
80,0.0024151237134041417,0.0024343847849026875,0.002420945248256127,0.0024049942901071446,0.0024696222205846745,0.0022807843717081206,0.0023109611431737583,0.0024322427754454755,0.002420306600677439,0.002402417972916737,0.0024711343051612746,0.0023992527656409206,0.0024378298019820995,0.002402628704933732,0.0023629074971027236,0.002412106259725988,0.0024219532081458184,0.0024287584989296294,0.002429665415547788,0.002427025168823699,0.002459107360874231,0.0024249973316078205,0.002474314356222749,0.002390827153188487,0.0023939453420184905,0.002425236301496625,0.0023965225160692727,0.0024070917279459536,0.0024706484037725364,0.0024574813432991505,0.0023903487840046486,0.002419587932168864,0.0024280413143480052,0.0024162428020391355,0.0023530493749098647,0.0024196257665088134,0.0023533186973317675,0.002482032805511897,0.002466656434551689,0.002488384663593024,0.0023984447755712145,0.0025417267461307347,0.002347719459794462,0.002361789345741272,0.002392570902348349,0.0024155879825619713,0.0023344999185371165,0.0023857792766648345,0.0024041336116075902,0.002354243727908893,0.0024353536436907373,0.002264557251085838,0.002352444129064679,0.0023647312512051085,0.0023665999078416617,0.002371501177549362,0.0024412790693903483,0.0023177989933174103,0.0024583712802268565,0.002414884873164388,0.0024584914091974495,0.002452074449950008,0.0024456096688044017,0.0023599099262978313,0.0023977483570989636,0.002413428080110968,0.002437340594562037,0.0024567998517605084,0.0023791265266481787,0.0024481131910432537,0.0024395976681262253
90,0.0026701803136667287,0.002680722089415347,0.0026433255213002362,0.0026523924396874812,0.0027553588594015264,0.002584130802590932,0.0025861578610455317,0.002687766212130002,0.002684195160488539,0.0026599047851050273,0.0027167526775120215,0.002651140678255838,0.0027025140694935212,0.0026496504715672045,0.0026271110099247274,0.002639537075689683,0.00267666831357582,0.0027063195298932777,0.0026748928524154636,0.002674678588906924,0.0027090746694459363,0.0026765664889743285,0.002732071339463194,0.002646285908607145,0.002651914935706863,0.0026597249787300827,0.0026481777669921996,0.0026535242213867605,0.0027240785057930385,0.0026590360155809793,0.0026543180147806803,0.0026715103214463363,0.0026619381298167775,0.0026854191484406245,0.0026191440022860966,0.002613827257716496,0.002616032905950162,0.0027459174479273233,0.0027117498965193347,0.002714501417358406,0.002661426237070973,0.002657470788108185,0.0025721041951328517,0.002643374824210217,0.0026400418682514053,0.0026497553302241225,0.002603147791600541,0.002668083361641038,0.002645289376859778,0.0025960070250386543,0.0026816021704759736,0.0025418816173138716,0.002672220324166119,0.0026259087168668607,0.002604270153197235,0.0026236461390825834,0.0027001606405622535,0.0025472607230767608,0.0026683014390679696,0.0026429088392223303,0.0027021129926045736,0.002682473257644683,0.002701173366168169,0.0026319780479277578,0.0026700193217645087,0.002673679726899831,0.0026619970199785064,0.0026889258766576887,0.002670827292604372,0.0026745756759363063,0.002673342567868531
