Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,1.2936053183996894e-05,1.4619859198487743e-05,1.3039299953258402e-05,1.3542134120843212e-05,1.3962003385695656e-05,1.353265906800516e-05,1.3960436857110658e-05,1.3364741789700929e-05,1.2742485166741005e-05,1.2573707181218197e-05,1.1916888637148796e-05,1.1410909736492167e-05,1.3977334371399289e-05,1.2969273567167958e-05,1.3557233523897594e-05,1.3107995187056076e-05,1.3366331602680606e-05,1.2978629180181571e-05,1.430616157449549e-05,1.3304767411076075e-05,1.3636922827012873e-05,1.3204100915637745e-05,1.3550927512066362e-05,1.3270937203439341e-05,1.2258660710416273e-05,1.1964530858676881e-05,1.2597550024903256e-05,1.3210255938626384e-05,1.3070284052553367e-05,1.301078834565546e-05,1.380084961662457e-05,1.2052438793174448e-05,1.2624535753065384e-05,1.3466988742415773e-05,1.5959970748250878e-05,1.4948328336166533e-05,1.3468986049989134e-05,1.261924684182635e-05,1.3561487529764839e-05,1.3576377625668101e-05,1.2454689827531443e-05,1.3974805877761027e-05,1.0717197596932238e-05,1.4349917455547256e-05,1.4557426814127738e-05,1.3546288602427874e-05,1.3471490767967355e-05,1.2415480497159143e-05,1.3445976435377816e-05,1.3893595239316145e-05,1.64570716151502e-05,1.171576530561486e-05,1.3136088787527675e-05,1.197367650244511e-05,1.3833514549332903e-05,1.3219124541917284e-05,1.7228499473276315e-05,1.3931334627880555e-05,1.3646500354463404e-05,1.4635106936111697e-05,1.4127736634965073e-05,1.326512085597642e-05,1.3955066757868432e-05,1.4450010114939818e-05,1.4648604822771935e-05,1.3713052367865412e-05,1.2092674144999668e-05,1.3454854730122363e-05,1.3725389319713739e-05,1.3365335300543003e-05,1.390044558825644e-05,1.2356776854479298e-05,1.4481022541682856e-05,1.1524624824232887e-05,1.5148887022015905e-05,1.3098944313620072e-05,1.3461393661730523e-05,1.351825494566583e-05,1.1598340961427311e-05,1.2854102909337033e-05,1.0547436886554351e-05
10,1.2937822963673777e-05,1.462254185416559e-05,1.304187602120995e-05,1.3544726677467294e-05,1.3965218748793792e-05,1.3534760000766255e-05,1.3963087264029685e-05,1.3367299348637493e-05,1.2744597163102206e-05,1.2575357288824307e-05,1.1919321338980268e-05,1.1412578752075502e-05,1.3979288255403375e-05,1.2971523284994129e-05,1.3559222984708065e-05,1.311061612341291e-05,1.3368454823475553e-05,1.2980559058863186e-05,1.4308824168957862e-05,1.3306508196061865e-05,1.3639237232172701e-05,1.320679645492159e-05,1.3552771076016749e-05,1.3272582327772397e-05,1.2260971938563411e-05,1.1965487283305265e-05,1.259917225539656e-05,1.3211008251801104e-05,1.3072062804841314e-05,1.301287954535632e-05,1.3803913595135478e-05,1.2053983692357388e-05,1.262711814083909e-05,1.3469310022451171e-05,1.5962870444733806e-05,1.4950996014054649e-05,1.347142399242186e-05,1.2622520526664713e-05,1.3563461029168894e-05,1.3578205255271314e-05,1.2457166121748742e-05,1.3976692924459596e-05,1.0719873216658016e-05,1.4351511254062643e-05,1.4560724833388935e-05,1.3548447331183859e-05,1.347406488483622e-05,1.2417324381985645e-05,1.3447855749859627e-05,1.389585212689718e-05,1.646085911488626e-05,1.1719060901007403e-05,1.3138303907348577e-05,1.1975671251699774e-05,1.3836245943821269e-05,1.3222028465694462e-05,1.723602827041759e-05,1.3933138814473781e-05,1.3649443231274331e-05,1.4636204241469386e-05,1.4129669105836568e-05,1.3267383451420756e-05,1.3957961224756824e-05,1.4451245988311712e-05,1.4650060519569604e-05,1.371538234637298e-05,1.2093204804841663e-05,1.3456606392469195e-05,1.3727330669839662e-05,1.3367593981472981e-05,1.390119147496686e-05,1.2359047256419823e-05,1.4482061790962083e-05,1.1527558854140807e-05,1.5153320288975789e-05,1.3100957007677667e-05,1.3465130223266897e-05,1.3519733061589396e-05,1.1601576147768355e-05,1.285631182357623e-05,1.0550057231739629e-05
20,3.157550483592786e-05,3.146284062596452e-05,3.1549894932444054e-05,3.128070790038551e-05,3.153508874628976e-05,3.145548180327751e-05,3.1501086713462666e-05,3.1530700677027004e-05,3.142145689270353e-05,3.137180806334072e-05,3.140818282392704e-05,3.137498064535642e-05,3.1547096472367585e-05,3.140977379657808e-05,3.140989645223325e-05,3.136870357896745e-05,3.144780081735613e-05,3.144421208173897e-05,3.142992305324047e-05,3.149343935850387e-05,3.1422578215894576e-05,3.15392945334939e-05,3.1518449735206865e-05,3.151527671434451e-05,3.139214072328445e-05,3.135656588710844e-05,3.138846474734413e-05,3.1479933416752225e-05,3.1567901383181486e-05,3.144639081696251e-05,3.1534443308676904e-05,3.145946371100413e-05,3.142409598065289e-05,3.147747711187637e-05,3.129007887360381e-05,3.13811447410574e-05,3.139720348898616e-05,3.128345633740537e-05,3.143910314054621e-05,3.131620724161621e-05,3.138762570285637e-05,3.1499181785236825e-05,3.1367159408546286e-05,3.1288313402910715e-05,3.1319670118759144e-05,3.1557125858901266e-05,3.1573987403784744e-05,3.137946993790632e-05,3.1505465699410706e-05,3.1523744037885674e-05,3.177988473908044e-05,3.1545788012656637e-05,3.14498806591683e-05,3.139613090752391e-05,3.160157248203177e-05,3.148687429362623e-05,3.1869396480033174e-05,3.156009966162322e-05,3.158215490243906e-05,3.116958396276459e-05,3.149291507959846e-05,3.126992805846385e-05,3.1633513572160155e-05,3.175060347920018e-05,3.1550241854145294e-05,3.144285197217519e-05,3.1420622447816035e-05,3.1584165328475195e-05,3.1507585306287556e-05,3.1602071340695057e-05,3.144158270313508e-05,3.137882777082268e-05,3.1849507649894804e-05,3.122949298510017e-05,3.147223209712787e-05,3.156343939133569e-05,3.140541126153299e-05,3.146858245834723e-05,3.125974308204604e-05,3.1436930220777626e-05,3.1068130920175466e-05
30,0.00013085671739342312,0.00012825858774939897,0.00013165279112096565,0.0001290896379102308,0.00013006748246615518,0.00013214832454520677,0.0001307161207566218,0.0001303415402186434,0.0001292145721499419,0.00013318407218321227,0.00012969563932181048,0.0001326952682278233,0.00012874870673950875,0.00012970517546460596,0.00012968177333652205,0.0001285826683670166,0.00013145797077283663,0.00012836028133589728,0.00012954893047987883,0.00013150555683144678,0.00012813590213996717,0.00012939247374431164,0.0001284744148142636,0.0001288101516062549,0.00012871213899444907,0.00013241560664027928,0.00012839527734022046,0.0001303169359137731,0.00012852191858281218,0.0001288308174539012,0.00013149749245106553,0.00013144682676423914,0.000129508598407623,0.00012878880806965753,0.00012884282922540378,0.00013244012396691169,0.0001307312544859566,0.00013028397171927446,0.0001304459104844627,0.0001302581958952942,0.00013230329412700876,0.00012934601615230117,0.00012887770026281942,0.00012970418756594882,0.0001306018296561792,0.00013097047064404346,0.000131567661030983,0.00013198007875696037,0.0001299767152431741,0.00013010339823487247,0.00013176199281588196,0.00013115779438521713,0.00013014491688898908,0.0001323684822030676,0.0001352359657175839,0.00013139298793322845,0.00013345384650165215,0.0001331800986322221,0.00013014060889624736,0.0001290860745939426,0.00013032669898733416,0.00012767880070896354,0.00013132243232879168,0.0001289225640773241,0.00013130719768620716,0.000130932485514607,0.0001298510537405188,0.00013067761013003926,0.0001314420541247172,0.00013170745673427896,0.00012842680735047907,0.00013161143821586543,0.000127565976678549,0.00013014890767711526,0.00013207357759321376,0.00013145534882953922,0.00012878985892582153,0.000129788105867544,0.00012995119868719485,0.00012907798910961573,0.00012969090894330293
40,0.0006465038261376321,0.0006422885689298036,0.0006400107765027011,0.0006335567897902086,0.0006398429506151831,0.0006615021266043186,0.000657149457237533,0.0006489807151650128,0.0006478350039253223,0.0006546583572344389,0.0006380419334523196,0.0006555986581180169,0.0006408205548668224,0.00064603648779942,0.0006494404227637193,0.0006571737346045362,0.0006429809582186863,0.0006374833107737329,0.000639807347657292,0.0006481623253785074,0.0006356524088634894,0.0006477438728325069,0.0006301539919028679,0.0006438524811528623,0.0006373226892070047,0.000642020849045366,0.0006394586028275831,0.0006398507005845507,0.0006357311230043278,0.0006346844602376223,0.0006489316521522899,0.0006472602701531007,0.0006386161056490472,0.0006405734755212395,0.0006483815797966801,0.0006423921482304909,0.0006508367376610343,0.0006288305051963438,0.0006368641057107821,0.0006338668936223257,0.0006316198767828089,0.0006446183344567234,0.0006260162408580072,0.0006421447091270238,0.0006527030583176958,0.0006498465424795684,0.000642790412530303,0.0006494977651368173,0.00064680660761951,0.000636180950095877,0.0006237892899662256,0.0006497846492989497,0.0006309968235795028,0.0006463413834959889,0.0006389072339516133,0.0006450318448644664,0.0006304457492660731,0.0006488972777051145,0.0006471823911521245,0.0006337157101370394,0.0006453925023926923,0.0006270759986364283,0.0006381448668738207,0.0006432538419695837,0.0006309157066021322,0.0006433245752794811,0.0006294279320475956,0.0006331414364839113,0.0006382187690447878,0.0006496014612567451,0.0006540571792154677,0.000639781093923375,0.0006264036831756433,0.0006264437203450749,0.000642844450859619,0.0006433622828418655,0.0006409162680418896,0.0006365290943405501,0.0006594722144654952,0.0006317327859490609,0.0006350036419462413
50,0.00029485528434937196,0.00029115730366255675,0.0002884643035940826,0.00028319143681213835,0.00028898139650744824,0.0002934059760134135,0.00029509385715373944,0.00029220180141764055,0.0002919333059299454,0.0002909547310991911,0.00029052247618106597,0.0002921062749715484,0.00029308105833038235,0.0002916597608639153,0.00029192784225896877,0.00029433690845811117,0.0002874809184244701,0.00029146102186339566,0.00028852865320264494,0.0002913026096454511,0.0002915449727040071,0.00029406513879491413,0.00028621541530204317,0.0002919734455645084,0.0002893621438286371,0.00028185826959088446,0.0002926831925100076,0.0002882181882644848,0.00028815386775771484,0.00029112556395346237,0.0002895140911762913,0.00029179756305753614,0.00028712511882006837,0.0002888218523145131,0.00029098964943033125,0.00028807631471344005,0.0002892372212954797,0.00028035614840601653,0.00028682652726230853,0.0002862126402760623,0.00028112980986147055,0.0002906235214198959,0.00028889036548207514,0.0002896511694416404,0.0002953222673999048,0.0002957082335150948,0.0002915826060676149,0.00028976031809865513,0.0002961048394354293,0.00028709105089515577,0.00027819600654765964,0.00029312692773105067,0.000287279183528601,0.0002883282213588245,0.0002821205504005775,0.0002914823333932353,0.00029388428083620965,0.0002890870904405441,0.0002964502200484276,0.0002921492196037434,0.00029252678711688327,0.00028123358060838655,0.0002863533542646716,0.00029165378821614595,0.00028777006567300606,0.0002895824454474048,0.0002893361495807767,0.0002875674872093343,0.00029085855957991616,0.00029038876816336705,0.000294830986402101,0.0002936760283773765,0.00028437737879964214,0.0002791135242053618,0.0002849853938511972,0.0002920597159702863,0.00028951359854545444,0.0002886278772137068,0.0002973922419187147,0.00028812387217611013,0.00028761919820681215
60,0.0007971846828392396,0.0007028164217007105,0.0008619938259168217,0.0008023507391604094,0.0008000666216675993,0.0008339237953935351,0.0007415543856745165,0.0007998164441424274,0.0008157257320760172,0.000821168563561514,0.0008458661829569826,0.0007877325863643948,0.0007974309758565416,0.0008225523303157057,0.000807790896471809,0.0007851711901215216,0.0007994643958573718,0.0008199128117471273,0.0007490889880240761,0.0008292958807821075,0.0008342394551548821,0.0008449888752823297,0.000848483817341427,0.0008034408907406032,0.000833167676954338,0.0008352476754225791,0.0008022639949265267,0.0008369060378754511,0.0008218692375949639,0.0008640171652058921,0.0008014566684141755,0.0008667725912975863,0.0008390973570595423,0.0008026619580937777,0.0007675000201238112,0.0008097011190589651,0.0007565615317281825,0.0008071723330596632,0.0008023845127233898,0.0007809608869138174,0.0007615729035543543,0.0008171064546331763,0.0008995128810056485,0.0008195064088795334,0.000778824147633522,0.0007645066073899598,0.000778690237452143,0.0007879027007699111,0.0007422444778057979,0.0007934441342387862,0.0008584994822740555,0.0008053666282318194,0.0008412866396471285,0.0007750233441280822,0.0007719510234892368,0.0007663380309502233,0.0008252567204181105,0.000792550589439684,0.0008264158122156831,0.0008088279864750803,0.0007623613074106435,0.0007359050650848076,0.000796579901361838,0.0007806325281438019,0.0008457643707515672,0.0008204201845308909,0.0007965757550361256,0.000834049860401059,0.0008160021383513662,0.000733222283039091,0.0008393308898020121,0.0008887389364341894,0.0008823351818136871,0.0006860952901964387,0.0007975814015870648,0.0008316472038179153,0.0008681841177998909,0.0008146894218835739,0.000715387926902622,0.0008321682970966955,0.0007974075677338987
70,0.0011878782627172768,0.0010611223880443031,0.0013699170085601509,0.0011975139397411392,0.0012005119307461796,0.0012152762252039143,0.0010982106755217237,0.0011852596201750107,0.0012109464114013163,0.0012281057024665643,0.0012849589269378302,0.001150191167597564,0.0011858979335308752,0.0012315858894549874,0.0011556121719288914,0.0011589238808179896,0.0011885955041396386,0.001209082793668384,0.0010879870574821585,0.0012227863686469693,0.001240373704618273,0.0012512398149868073,0.001253737189496557,0.0011454679324136427,0.001290072518814769,0.0013456667540594936,0.0011477955089386313,0.0012010867540084291,0.001255154185106649,0.0013230839254139292,0.0011715553017954032,0.001348247800846226,0.0012524901360918123,0.0011933813348594235,0.0011561900998155277,0.0011909729312589792,0.0011119867160328124,0.0012639297267676077,0.001186250217387969,0.001192833577079,0.0011474568496591278,0.0012104779523995487,0.0013682290009455755,0.0011832551448605956,0.001200684278860296,0.0011451969162168864,0.0011585022821756347,0.0011586000052231707,0.001109436985643697,0.0011808692662302277,0.0012708489084616303,0.0011662448523566127,0.0013062932461392707,0.001121155422879383,0.001161428482737392,0.0011042801957881572,0.0011989135527983308,0.0012156294682866026,0.001183011833663014,0.0012509940279414877,0.0012035759914446101,0.0010855801810976118,0.0011205818445887417,0.001182936497830919,0.0013098924537189305,0.0011973813167200065,0.0011377050075680017,0.0013011524150829002,0.0012278551412573844,0.0010826158036293277,0.0011866855072892373,0.001313346263486892,0.001463539432734251,0.000996974859541903,0.0012580934978489364,0.0012136891570438135,0.001271403328116451,0.001221599032907116,0.0011410705919843167,0.0012575585665103018,0.0011811692384071648
80,0.0023536410105104246,0.0022243653743148403,0.002304717277487119,0.0021226520829189283,0.0023187840080383837,0.00216926313338003,0.0021518171922634203,0.0022776101725053436,0.002254313593317719,0.0023066441863193177,0.002334118942891098,0.0022131029792053967,0.0022718335826401458,0.002283549206119708,0.002158456114942537,0.0022442596964538097,0.00223437625044469,0.0023063601707874596,0.0021007858241708682,0.0022708268867184717,0.0023491311854181383,0.0023356763038983835,0.0022307365946471693,0.0021779024430240196,0.002315472628522132,0.0023987064603716137,0.0020664089186597737,0.0021213204745436087,0.0022784882156616625,0.0023812278016139905,0.0022064607124775647,0.0023333513885378265,0.0021994694834575057,0.0021586435557365783,0.002208801697836154,0.0022128543870556833,0.0021588203105095184,0.0022922011981294913,0.0022069895064951964,0.002178517017455306,0.0020133611147425006,0.0022334374866369083,0.0024730551231186837,0.002215164713561535,0.002273246609164696,0.0022243705443351675,0.0022011871965202903,0.0021426321554667595,0.0022759250859962776,0.002209114102478107,0.002422284474596381,0.0021962520920417524,0.002371632121503353,0.002100952221856763,0.0020376460161060095,0.0021198270391026624,0.0023075868375599384,0.002225808373748742,0.0022273566362194038,0.002322898100828752,0.0021879198943435024,0.0020662691968027502,0.0020683272547709444,0.0023557453116934213,0.0022847732373823724,0.002210786066447886,0.0022150257990385096,0.002365747792145578,0.002235810143045253,0.002130182920367801,0.002289396788304051,0.0022520829224959016,0.0024381650146096945,0.0021593391235607364,0.0021044352324679494,0.0022306604168752767,0.0022134327196649145,0.0022681085430386085,0.002274999671499245,0.0022160643085586923,0.0021431754576042295
90,0.00276257891052713,0.0025552401138055655,0.002901337662478909,0.0027141070996339503,0.002779160471503399,0.002397922316699156,0.002381153427244675,0.0026948783105533373,0.0027142274178729594,0.002808958954119589,0.002894674213660628,0.00260672826386456,0.0027292662046172404,0.0026847083601310396,0.0025127532796057708,0.0025518853799439967,0.002688774621457837,0.002785313195148129,0.0024544838233850896,0.002728641073529919,0.002766362592004813,0.0028049249397424448,0.0028228018634642166,0.0026011055956284205,0.002736920622059159,0.0029989251866936683,0.0026440006556860624,0.0026691567545640282,0.0028577159569763083,0.0029372105791774248,0.002608560745914777,0.002808304821463445,0.0026773522549774498,0.00260276887878185,0.002562636600082947,0.0026859273867947714,0.0024249488840149226,0.002915313795462928,0.0027865428485941276,0.0027352371471351944,0.002478176312121962,0.0026579742800404735,0.0032795636798255146,0.002574304083827883,0.002598589598691385,0.002636691869089478,0.0027293082077189217,0.0024528429198095152,0.00259413543244591,0.0026405940649244166,0.002839525928720832,0.0026559042109345846,0.0028723967342207638,0.00242606335086748,0.0023768446990288794,0.002462659568088699,0.0029454719042405486,0.0025675945056216985,0.0025878587780012326,0.0029002910596318543,0.0025906937537334297,0.002456116781104356,0.0026174600740584233,0.0026341877611620085,0.002801671814975432,0.0027264159548884403,0.00260990917061766,0.002886069730745368,0.0026723136920568154,0.0025493041853428826,0.0026513184938165876,0.002628591978767266,0.002855319995433092,0.002928439682970444,0.0024841575151575463,0.002624229924124363,0.0026307589640574796,0.002782010390693622,0.0026423979725223035,0.0028326058429626734,0.0025790153071284295
