Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,1.9056673166536106e-05,1.9137814719956453e-05,2.0006719599526452e-05,1.7214186818119532e-05,1.7874239899897418e-05,1.6501461556929697e-05,1.7067483404095965e-05,1.6845867489073978e-05,1.8588377545861072e-05,2.0877844633560017e-05,1.8299298343337772e-05,1.692294257996504e-05,1.877579710928716e-05,1.783690212312539e-05,1.8409864627328182e-05,1.557861124486711e-05,1.8693051569720237e-05,1.725486553472296e-05,1.7724234989405625e-05,1.8126894586506146e-05,1.901311195699516e-05,1.9931398859236132e-05,1.8908454658230768e-05,1.6213091203098885e-05,1.8139024971802313e-05,2.062919575109845e-05,1.7449072959519277e-05,1.9631145922479238e-05,1.8158758147739505e-05,1.7141592398993745e-05,1.661170525039779e-05,1.704999812528303e-05,1.7004777698905225e-05,1.7598902270880744e-05,2.147409446075067e-05,1.8080754655004838e-05,1.853694654504292e-05,1.53340857154531e-05,1.7785891623682266e-05,1.7742449927027337e-05,2.0741174271928946e-05,1.837035043013686e-05,1.4061996807868127e-05,1.8137450388167055e-05,1.782710918824274e-05,1.843602287025485e-05,1.687695164166923e-05,1.7498860974260505e-05,2.1860878888446678e-05,1.9034904065345723e-05,2.3105118998500984e-05,2.0162765064345546e-05,1.6970827006774086e-05,1.9121735097845278e-05,2.2877917217556387e-05,2.0005469140210616e-05,1.5125997833820293e-05,2.0129457597845588e-05,1.6441237097420856e-05,2.1774817469122354e-05,1.9302250229786726e-05,1.79827087549711e-05,2.133493217115756e-05,1.9005472235481386e-05,1.767526130909876e-05,1.7494491644006653e-05,1.7464300011245844e-05,1.7542781054260716e-05,1.7932172155539133e-05,1.677921446972906e-05,1.6754615090677464e-05,1.7673420037075022e-05,2.0823662149875115e-05,1.6292703700552618e-05,2.2182055805127936e-05,1.9167340535393844e-05,1.9487181167018468e-05,1.8099344357881732e-05,1.8361887555329304e-05,1.7320666959393818e-05,1.4657269002782413e-05
10,1.906518627341332e-05,1.914871484553226e-05,2.001834559450799e-05,1.7223447642978638e-05,1.788284777220828e-05,1.6506146494066343e-05,1.707752260464927e-05,1.6853724733472948e-05,1.8597479147156493e-05,2.088577622316734e-05,1.830845143064644e-05,1.6931209032992803e-05,1.8785167054430172e-05,1.7845841284724884e-05,1.8418208374521995e-05,1.5587709943550483e-05,1.87017461658321e-05,1.7263524839534833e-05,1.773466491223579e-05,1.8136134240194224e-05,1.90224955076701e-05,1.9941780871184684e-05,1.8917998798618403e-05,1.62213289210437e-05,1.8149174434617475e-05,2.0641607807192486e-05,1.7456114399523827e-05,1.964243220224186e-05,1.816780855091672e-05,1.7148454741888394e-05,1.6620253821505077e-05,1.705952270360565e-05,1.7014887388401032e-05,1.760812548992562e-05,2.1485250625927518e-05,1.8089719917822678e-05,1.8544936120921e-05,1.534052807983244e-05,1.779308921134335e-05,1.7750608378719335e-05,2.0751584608141066e-05,1.8378198053548485e-05,1.4069834037400142e-05,1.814589331843308e-05,1.7836091692994448e-05,1.844610230220592e-05,1.6885317953503026e-05,1.750840219596795e-05,2.1872398349387367e-05,1.904346783609573e-05,2.3116262491384985e-05,2.017215138039319e-05,1.6978086778880633e-05,1.9129882654548663e-05,2.2889349384058733e-05,2.0013542056478065e-05,1.5129077837627847e-05,2.0139832329356257e-05,1.6449050814447798e-05,2.1779105509267538e-05,1.9312826958822926e-05,1.799346580355632e-05,2.1344413047093742e-05,1.901269518254724e-05,1.7682252771717482e-05,1.7503924713170048e-05,1.7474425233861743e-05,1.7550914440449872e-05,1.793994745942958e-05,1.6787257311637052e-05,1.676369174674619e-05,1.7679299768739536e-05,2.083405343000777e-05,1.6298939954140224e-05,2.2192287750450695e-05,1.9177293797366036e-05,1.949545120234169e-05,1.8108202374195015e-05,1.83690800668046e-05,1.7328751450155062e-05,1.4664586751678144e-05
20,4.249666453688405e-05,4.263425028141312e-05,4.2357065467513166e-05,4.252830554972976e-05,4.271025032790885e-05,4.267550632773366e-05,4.2674157920109496e-05,4.2601584314788375e-05,4.285355947714275e-05,4.280025359548745e-05,4.259997872451757e-05,4.259537791415137e-05,4.261358635355436e-05,4.269523726014251e-05,4.273272318053333e-05,4.259500095334564e-05,4.2549566474224864e-05,4.259705318976488e-05,4.2561720095233924e-05,4.265691003335329e-05,4.2590885725355924e-05,4.269133036619418e-05,4.2706299039612836e-05,4.2627842170380366e-05,4.256204013631398e-05,4.277454863768071e-05,4.25428699541484e-05,4.249712552943189e-05,4.2603910739725346e-05,4.258035504232882e-05,4.249627493360701e-05,4.2557322348539645e-05,4.2712156125792084e-05,4.257226331591061e-05,4.322164022596553e-05,4.2290481555288094e-05,4.2662878704983375e-05,4.244673585741442e-05,4.262322970562199e-05,4.234830703353509e-05,4.2753714556706e-05,4.275093848031866e-05,4.2286133520974545e-05,4.2750676584546454e-05,4.2559299464827695e-05,4.2596133847071444e-05,4.224937090059809e-05,4.251628457783035e-05,4.272745161415514e-05,4.2513475473869815e-05,4.231810162309557e-05,4.261064929199744e-05,4.239872678926286e-05,4.21776382305931e-05,4.237486755300779e-05,4.257901977956751e-05,4.2659426981117576e-05,4.24883900419006e-05,4.28062472069128e-05,4.2568621211103164e-05,4.2778803852401794e-05,4.302811930756434e-05,4.216885281493887e-05,4.245733206127105e-05,4.228733026441963e-05,4.2517529520689727e-05,4.223735013511032e-05,4.2287238160966924e-05,4.2237725379150276e-05,4.235095131973451e-05,4.27401319029741e-05,4.2411724280100316e-05,4.257597053462329e-05,4.2033896534121595e-05,4.279181147077387e-05,4.2503610695183106e-05,4.2583289021942096e-05,4.246230500646033e-05,4.273047352398862e-05,4.255762486987622e-05,4.248267723596655e-05
30,7.95067910803482e-05,7.980169202373536e-05,7.964389745514684e-05,7.943311233807786e-05,7.959554444179175e-05,7.982427528726735e-05,7.963092455963394e-05,7.971254547699478e-05,7.989396231729372e-05,7.967223700688919e-05,7.97610725980413e-05,7.954299359639385e-05,7.98739217288764e-05,7.978944841218463e-05,7.98976406633087e-05,7.961172711172064e-05,7.972371271794796e-05,7.980568671548928e-05,7.961128669973862e-05,7.971557856459791e-05,7.986306165828585e-05,7.990538558390523e-05,7.980885071447119e-05,7.990322119439952e-05,7.990854311852701e-05,7.984643307281658e-05,7.958678672307982e-05,7.966446355567314e-05,7.986693509498282e-05,7.98729150471533e-05,7.951624099708473e-05,7.982075504304912e-05,7.973970689188439e-05,7.970009951017478e-05,8.043216277858139e-05,7.914535763120512e-05,7.962836465786065e-05,7.951690812743354e-05,7.959526117767645e-05,7.956660783747793e-05,7.9521000900838e-05,7.987256662516379e-05,7.947051653900417e-05,7.988512516021729e-05,7.965518919885845e-05,7.943407300014147e-05,7.918734564944835e-05,7.947038638552553e-05,7.982324996191892e-05,7.952845985057829e-05,7.939597126096487e-05,7.959656001978807e-05,7.952966978057073e-05,7.925924061661742e-05,7.898230542195961e-05,7.944023495003086e-05,7.89398472988978e-05,7.945704369219662e-05,7.976792138916525e-05,7.97281591076171e-05,7.978879594086339e-05,8.023481404961785e-05,7.933483357192017e-05,7.989067255818685e-05,7.919599738670513e-05,7.950523297320334e-05,7.927506473303462e-05,7.941994275609832e-05,7.918310971204105e-05,7.926068464839445e-05,7.988432237956052e-05,7.911539311559561e-05,7.969213523513947e-05,7.866884819425952e-05,7.97550642995962e-05,7.940340063734246e-05,7.994038345974072e-05,7.959836523608124e-05,7.961474420881132e-05,7.969491450828227e-05,7.963249372551217e-05
40,3.73205619204479e-05,3.731215636232971e-05,3.712736391510892e-05,3.719593290812694e-05,3.724818001317061e-05,3.7768116661547015e-05,3.756526536064132e-05,3.738713731811578e-05,3.740878471230817e-05,3.7628069549100474e-05,3.721864297044647e-05,3.7521438237175114e-05,3.738579019255033e-05,3.7383110104587324e-05,3.746865644215551e-05,3.74830112074657e-05,3.733524620959846e-05,3.7256899787867557e-05,3.730639413593703e-05,3.7402023202351606e-05,3.719143631035247e-05,3.739668077936845e-05,3.72134415859667e-05,3.741280282459532e-05,3.711132948020739e-05,3.726537470356561e-05,3.727238342229788e-05,3.725865462911315e-05,3.717230082496398e-05,3.7134460604471726e-05,3.739643584898052e-05,3.7405883771358414e-05,3.730631026253552e-05,3.7231210515573164e-05,3.762259055090706e-05,3.71527502725907e-05,3.748373939360088e-05,3.719613430968655e-05,3.724930888071308e-05,3.713343608069408e-05,3.721418189733023e-05,3.7456579640151024e-05,3.697023612403427e-05,3.7326163874240595e-05,3.734954110481531e-05,3.740333145527218e-05,3.7135384367762264e-05,3.744243922323732e-05,3.738679879461415e-05,3.7204216541481555e-05,3.71679721865803e-05,3.734164519383657e-05,3.7042990404118494e-05,3.7368134750674166e-05,3.710643431986682e-05,3.7291824754698163e-05,3.704122900671791e-05,3.738696589074419e-05,3.7482771652073346e-05,3.698606087709777e-05,3.74095936265764e-05,3.7256599171087146e-05,3.71226318141756e-05,3.732415383897855e-05,3.701508416674592e-05,3.734019880469602e-05,3.7060032142714286e-05,3.705237684952926e-05,3.7071805747001677e-05,3.7335924741807855e-05,3.7529445964739556e-05,3.706817612207184e-05,3.7003298833345376e-05,3.701039531733841e-05,3.758044788680438e-05,3.723950978926407e-05,3.732181461860559e-05,3.7167806230201915e-05,3.754187673621345e-05,3.712318412457718e-05,3.706156785483472e-05
50,7.963285635923966e-05,8.194822092061966e-05,7.402000179960548e-05,7.51916636475541e-05,7.799341205376365e-05,8.444129239900835e-05,8.221009023057582e-05,7.9061996841215e-05,8.000319645315691e-05,8.014568402359146e-05,7.427055085973274e-05,8.092234202194959e-05,8.10102344875111e-05,7.897209803614356e-05,8.033944738118032e-05,8.276573923164203e-05,7.786945865345409e-05,7.56076797533521e-05,8.234962634950145e-05,7.712894463717627e-05,7.589688858178516e-05,7.70916574635651e-05,7.646835171423541e-05,7.880992828480278e-05,7.531709002611774e-05,7.264516170835122e-05,7.749022487616693e-05,7.571277948651793e-05,7.45068335056524e-05,7.173510212235288e-05,7.94229644331305e-05,7.570316595844745e-05,7.597209353731999e-05,7.789473109857304e-05,8.131766339324208e-05,7.72407621687827e-05,8.271949148988107e-05,7.634622835956344e-05,7.671095450662626e-05,7.553228738288453e-05,8.272741979453713e-05,8.01337229975306e-05,6.411259801097913e-05,7.887471474532504e-05,8.159891455618076e-05,8.244272237214701e-05,7.965362248277025e-05,8.05040109665705e-05,8.272964282696194e-05,7.5978328258598e-05,7.522874366259203e-05,8.033711955332282e-05,7.014371801163249e-05,7.952395268754724e-05,7.713218510616571e-05,8.094244311701468e-05,7.4148007115582e-05,7.664009272361752e-05,8.259466928641565e-05,7.354981607932132e-05,8.055500153224334e-05,7.504215636799927e-05,7.555166303063743e-05,8.295160660054535e-05,7.325354373380024e-05,7.49141047260939e-05,7.40707628816987e-05,7.323849950485202e-05,7.698289273658129e-05,8.050246725434663e-05,7.927642258841338e-05,7.736872369908572e-05,7.562355312984437e-05,7.199610020810117e-05,7.724781815860686e-05,7.873899793795116e-05,7.580264355055988e-05,7.753602635456181e-05,8.296791838802164e-05,7.314398766645943e-05,7.733114325674251e-05
60,0.00015277740390350422,0.00014546481246792677,0.0001530438870152769,0.00015016571963385035,0.00015263795418682497,0.00015962407633196563,0.0001476961812342427,0.00015278283708060995,0.00015335132729312216,0.00015505604824284092,0.00015289789968656007,0.00015167549712231802,0.00015210956961241072,0.00015366872244295806,0.0001542511084527873,0.00015329490634030662,0.00015024832966792885,0.00015289424951748238,0.0001485126717203197,0.00015327953966334462,0.00015392780747228803,0.0001556283153019779,0.00015423277761631956,0.0001529112293307359,0.00015282646904418628,0.00015289662405848503,0.00015175661810057898,0.00015398767118313117,0.00015251172624309274,0.0001530456354357152,0.00015253181646888455,0.0001533198972957997,0.0001534955168048887,0.00015242741050670015,0.00015277019459366178,0.00015001220526755787,0.00015059417225864692,0.00015189868546175686,0.0001501197078481249,0.0001479737288718752,0.0001504484098404646,0.00015562004951557066,0.00014935109538782854,0.00015302680403692648,0.00014933385720819627,0.00015037366959548212,0.00014956133371535023,0.0001514602637351409,0.0001477080963923072,0.0001510443900519147,0.00015491437807213515,0.0001532943953696469,0.00014975110422640753,0.00015327215684616627,0.00014833380264462904,0.00014990999551052798,0.00015426176832988858,0.00014878960064379498,0.00015648612382144412,0.00014885012569720857,0.00014825752684070417,0.0001511791124357842,0.0001493597010266967,0.00015358862791409983,0.00015065174415617043,0.00015059817076409953,0.00015203346071454387,0.0001501734628246957,0.00014916062503255456,0.0001455048206136436,0.00015761105977516208,0.00015431253026084354,0.00015712940754989782,0.00013445406269359714,0.0001515432190249807,0.0001555191573698993,0.00015452415391337126,0.00015132311179308266,0.0001465562545490684,0.0001516277388720421,0.0001470956063712947
70,0.00012347145442618057,0.00012022007986497893,0.00012930695326455557,0.0001263605385947113,0.0001225055053924458,0.00013318482836309289,0.0001247716509462935,0.0001242365909236373,0.0001264265467651495,0.00012637971667572856,0.0001264089791400266,0.00012241659284455283,0.00012453074878342733,0.00012669759874397917,0.0001253911930047359,0.00012957714140308477,0.00012280913437106867,0.00012220626671524435,0.00012019813194846003,0.00012610980697597067,0.00012690969183145522,0.00012719854943757776,0.00012495806266088038,0.0001249522855990411,0.00012678970048751032,0.00012575458822539076,0.00012207115744991648,0.00012440955545874507,0.00012601013021434055,0.00012596439633090348,0.00012641198011503245,0.00012731153849297418,0.00012614154002221767,0.00012654368011437062,0.00012629527554963715,0.00012143847405760815,0.00012380170444789416,0.00012620837316552007,0.00012142428714874571,0.00011939725345655461,0.00011960203326972467,0.00012729827474376702,0.00012271987270651152,0.0001234913601365406,0.00012655838394206703,0.00012378206570007788,0.00011920465663674154,0.00012447499166387787,0.0001223934505105717,0.0001248382486664923,0.00012398630497045815,0.0001237859601546502,0.00012401215527251433,0.00012806407964186897,0.00012235882168170064,0.00012171081025557288,0.00012421508290572092,0.0001250071265907348,0.0001280743778228167,0.00011958319737459533,0.000124656447579944,0.00012351974964985857,0.00011800018910435028,0.00012733212497550994,0.0001238321502670361,0.0001227618774954373,0.00012394878479729716,0.0001242357582825246,0.00012188794183506009,0.00011944715856566086,0.00012608063439579887,0.0001290648287977092,0.00013507259912633648,0.00011007575449184515,0.00012765762949129567,0.0001269367588880508,0.00012787475809870687,0.00012298217581936172,0.0001249361785085057,0.00012606226267075917,0.00011793474914156832
80,0.00024528817855753006,0.00024906396747273566,0.0002401621338018837,0.00024207216248704264,0.00024483874226519483,0.000251882742824299,0.0002563416555565181,0.00024142913599988739,0.00024202870683231732,0.00024297026448039105,0.0002403669815616866,0.00024264866672693845,0.0002430855516153811,0.00024226237093733454,0.00024317823408637196,0.0002491240090118178,0.00024446754746133506,0.00023904704832165396,0.00024186762883411056,0.0002421796399479111,0.0002464125192580888,0.00024010699494933112,0.00024096539108237872,0.00024017759957738842,0.0002497262935826762,0.00024020378477871419,0.00022937185290615043,0.00023161433637142181,0.00023855907099513228,0.00024187791554610276,0.00024507685040589425,0.00024371711221577314,0.00024255782605345862,0.00023903832689251342,0.0002480621244305641,0.00024165026297851,0.0002503337110331478,0.00023989989395803687,0.00023510416160360068,0.00023448976662621135,0.0002301111983667527,0.00024638223189964615,0.00023143851467466448,0.00024298773205373437,0.00024237169495073,0.00024317996561110607,0.0002357488327626405,0.0002480744706668989,0.00024393690227952902,0.0002430628787963009,0.00024980746675282715,0.00023552659761414608,0.00024661732101007006,0.00025506137778090004,0.0002474922162946314,0.00024605697800158236,0.00023832113947719336,0.00024970501394348284,0.0002428730050186542,0.0002355457763769664,0.0002435335621265294,0.00024226957430073526,0.00023250386584550142,0.0002483907883288339,0.00024309405408631492,0.00023811336991807016,0.00023651161366918436,0.00024502843281038866,0.00023933646217402484,0.00024188648666011858,0.0002397179778199643,0.0002465594686024512,0.00026207169867120683,0.00022290956015543392,0.00024635656986252537,0.00024413150038219406,0.0002423137183151474,0.00023940817646366815,0.0002498912035662215,0.00023812625888332004,0.00023893353063613175
90,0.0003948072472121567,0.00041168973634571386,0.0003929681915906258,0.0004086021092147208,0.00040349449418614845,0.00039606464062152166,0.00041141349356621504,0.0003920253852572243,0.0003947535691093182,0.00039471510899602436,0.00039604623273107003,0.00039116561778688004,0.0003975382538611126,0.00039352762519918156,0.00039900712230626277,0.0003991221589482545,0.0004035025568945067,0.000399614183255766,0.0004037796128873846,0.00039478925600027045,0.00040387140112355926,0.0003887334033996532,0.0004036032292060554,0.00039564700273331255,0.00040367340377073674,0.00039998338907025753,0.000385987269128823,0.0003835327612857024,0.00039752946296871147,0.00039750059189710523,0.0004016159117842714,0.00039930838213946956,0.0004007831331154403,0.00039503649913524163,0.0004050729589329825,0.0003963395704756424,0.00040340036732806385,0.00040414203646254134,0.00039137638116491037,0.00039593490146216936,0.0003824768812462155,0.0004024995717546962,0.0003854315618809778,0.0003960292786359787,0.0003990907525325096,0.0003977142084438942,0.000394850126966568,0.00040319801579850417,0.0003922217338185874,0.0003986264757635393,0.0004090124042704701,0.0003836710609241643,0.0004056018387648062,0.0004089618911772656,0.00041234722302760927,0.0004054897129820774,0.00039246841333806515,0.0004052536768822706,0.0003880978011610833,0.0003979118409915827,0.00039892835055618114,0.00040559235640103,0.0004023530103343849,0.0003959146477947278,0.0004020980389517111,0.0003972198836541233,0.00038591400953009726,0.0004032120275716748,0.0004023235726183177,0.00039815619694874495,0.0003911962105323457,0.00039445599638080847,0.00042270548874512315,0.0003959913058982541,0.0003995750490243414,0.0003972216070835273,0.00039329105389437506,0.0003997297791366075,0.00042059488987433724,0.00040020198221788,0.00039361396920867264
