Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,1.3662516369853013e-05,1.5399452186775982e-05,1.5557848655589623e-05,1.3038517576765466e-05,1.4454462128509753e-05,1.2989790905391732e-05,1.5470496757716907e-05,1.5152855140561433e-05,1.4489596162116246e-05,1.4184819775664437e-05,1.398065631764001e-05,1.3878479041188851e-05,1.3682155261476785e-05,1.367275987115246e-05,1.4110121131071697e-05,1.4871361846265549e-05,1.3269810335172916e-05,1.4402982028686778e-05,1.594763135212166e-05,1.4709342079489337e-05,1.5038941385752809e-05,1.4387750240985042e-05,1.2879374838424458e-05,1.525590436510053e-05,1.3836697574348248e-05,1.405203647664166e-05,1.3758966962350608e-05,1.3623026148934514e-05,1.4040698410741135e-05,1.2606906370966762e-05,1.5038357735951043e-05,1.4118738923011384e-05,1.3936125434646294e-05,1.475046627913288e-05,1.273222402333987e-05,1.2966599976087828e-05,1.5034734701657726e-05,1.4521037056428296e-05,1.3708630650585127e-05,1.2368733791845443e-05,1.3365233436551144e-05,1.3737458417342574e-05,1.2407051826812676e-05,1.208839703394915e-05,1.3326700570216513e-05,1.4348369040817488e-05,1.3002876227931535e-05,1.4452666966079911e-05,1.532215154043115e-05,1.3609390975943825e-05,1.162292046501534e-05,1.3530430516601138e-05,1.2468864221003828e-05,1.217231207798856e-05,1.0075401132780825e-05,1.4018395381290061e-05,9.982787560147699e-06,1.5398230594843788e-05,1.2224691545270616e-05,1.5880750652286224e-05,1.3651572385487105e-05,1.3270457657199586e-05,1.0983958190990961e-05,1.6669220843011446e-05,1.203401322098014e-05,1.2651884697753793e-05,1.4535423967269404e-05,1.2543594322622046e-05,1.2596863619499479e-05,1.4256392987918261e-05,1.427905277119458e-05,1.2162561233708402e-05,1.254369575084032e-05,1.0799456201008676e-05,1.4296949562516861e-05,1.4185964727249638e-05,1.4343148385315934e-05,1.4101432861201418e-05,1.3213993156568904e-05,1.3343580610867435e-05,1.3557089278037893e-05
10,1.3661499676042391e-05,1.5396741993619663e-05,1.5557995311610284e-05,1.3038558280151427e-05,1.4453258164751247e-05,1.2988965214130335e-05,1.5469537959600735e-05,1.5151968784122896e-05,1.4488269531698912e-05,1.418302224465151e-05,1.3979657984394034e-05,1.387753952388136e-05,1.368065259708656e-05,1.3671271262589443e-05,1.4108306132744903e-05,1.4868565889022042e-05,1.3269834485505444e-05,1.4402391139189109e-05,1.59469243824008e-05,1.4708315666212001e-05,1.5037944628532456e-05,1.438679333887194e-05,1.2878116952682225e-05,1.5254188156177406e-05,1.3835667102414715e-05,1.4053058475838042e-05,1.3757252968242674e-05,1.3623791981369019e-05,1.4040314240179106e-05,1.2605283854422705e-05,1.5038055177380254e-05,1.411761541721017e-05,1.3935332442717761e-05,1.4748525040331736e-05,1.272987479852519e-05,1.2966626846783974e-05,1.5033238175994101e-05,1.4519424522322053e-05,1.370732375052975e-05,1.2368760565095727e-05,1.3366759438732906e-05,1.3736384187994074e-05,1.2403913729031046e-05,1.2086738297512057e-05,1.3325038133572028e-05,1.4347829676951638e-05,1.3002333233609015e-05,1.4451638415330467e-05,1.5321398237233552e-05,1.3608541817590996e-05,1.1622012425505091e-05,1.3529626854010116e-05,1.246765141331707e-05,1.2171400536923708e-05,1.007751457109407e-05,1.401939073043557e-05,9.981395578506636e-06,1.5399505314392095e-05,1.2224006613078844e-05,1.5882246998444316e-05,1.3651838060624907e-05,1.3270110798657697e-05,1.098547553131842e-05,1.6669288145619377e-05,1.2032899184709499e-05,1.2650793534983397e-05,1.4535552327288315e-05,1.2542726566881425e-05,1.2596441201316742e-05,1.425588866081566e-05,1.4276495474203128e-05,1.2161497276489778e-05,1.2543842179487305e-05,1.0798944231282803e-05,1.429720941814594e-05,1.4185249167528494e-05,1.4343222931399526e-05,1.4101086629770795e-05,1.3210385418460646e-05,1.3342915693812314e-05,1.3557916872741771e-05
20,5.04664068769974e-05,5.066613677492434e-05,5.059988264595935e-05,5.060076140440427e-05,5.065956641293626e-05,5.0177540937771224e-05,5.079489153192093e-05,5.0474589826128644e-05,5.044947240002088e-05,5.005600428376056e-05,5.057849171233685e-05,5.065758827817151e-05,5.068600534507299e-05,5.034369248526425e-05,5.05640078592799e-05,5.0097846421219096e-05,5.044220402591496e-05,5.069309559133481e-05,5.0533014083547254e-05,5.0522474630270154e-05,5.061813678296928e-05,5.042274701086821e-05,5.068347313984608e-05,5.063666612841189e-05,5.064367400740998e-05,5.094068037578836e-05,5.040827701093569e-05,5.055125855809214e-05,5.0636364604168405e-05,5.036629813877235e-05,5.0530951266409826e-05,5.034369006842518e-05,5.080885190321939e-05,5.0691845411542665e-05,4.988754355710828e-05,5.047676398005153e-05,5.050161167960859e-05,5.045603194792586e-05,5.056687964004442e-05,5.0588365411385894e-05,5.058895424424138e-05,5.0390472135907834e-05,4.99852458233363e-05,5.029806707170792e-05,5.043018341223758e-05,5.059588614753202e-05,5.058583841933536e-05,5.0596251113395406e-05,5.080067512608366e-05,5.0539186837528994e-05,4.998569274903275e-05,5.031475897836076e-05,5.050124958730661e-05,5.0158422103171084e-05,5.061174560978543e-05,5.05878625536214e-05,5.004199920222163e-05,5.077588226915144e-05,5.016195989975875e-05,5.1054879804723896e-05,5.060891017301499e-05,5.06725759805704e-05,5.006996555797135e-05,5.039994513416397e-05,5.056386412939496e-05,5.068101650417353e-05,5.078752074041404e-05,5.044733196520747e-05,5.0665742660553575e-05,5.058311911820023e-05,5.039102001723627e-05,4.9983842473011464e-05,5.0921229558298364e-05,5.019760222542876e-05,5.025060350557656e-05,5.073980497258304e-05,5.072537351225037e-05,5.0653533347236416e-05,5.0493647449911805e-05,5.042559074476643e-05,5.0971423843293453e-05
30,0.00034999592462554575,0.00035073458436980017,0.00035207807619978365,0.00035090399547838246,0.0003503878719521144,0.00034843480846445473,0.00035071026180840786,0.00034983905635798643,0.00034937570814656306,0.0003502476574794855,0.00035024648438851684,0.0003510608441167872,0.0003505650683743597,0.0003492524481385551,0.0003504918110967778,0.00034876918895558145,0.0003507929009390951,0.00035106111649435627,0.00034977338405691886,0.000350544136405612,0.0003503056843048678,0.0003493893657702886,0.00035077950024666886,0.00035039579670410604,0.0003513964669158061,0.0003516998374834657,0.0003501041792333126,0.00035057995531436365,0.00035070105805061756,0.00035019948207322627,0.0003501927782781422,0.00035035215282382874,0.0003513260235195048,0.0003503342450130731,0.0003486054936527378,0.0003517849446715055,0.0003502086907055376,0.00034950777295638215,0.00035093105166690444,0.00035142633532814216,0.0003506403840479574,0.0003496291149318456,0.00034811445948434994,0.00035009900748264047,0.00034987166873179376,0.0003502502749477954,0.0003515834749643026,0.0003508704716008843,0.000350906992025557,0.0003504863642115981,0.0003499990911222994,0.0003491358021909202,0.0003508589167792637,0.00034976443809379515,0.000352282973472029,0.000350970500481448,0.00035114797356072813,0.0003518480737292176,0.00034834306676533413,0.0003524252970237285,0.00035072367053769367,0.00035141941043548286,0.00035127720426923287,0.0003491882317965584,0.00035147913957997743,0.00035120259585360496,0.00035045493471746645,0.0003509684143492812,0.00035162457357660904,0.000351323623961123,0.00034943482347039715,0.00034954954268566024,0.00035080048837698996,0.00034955590672325343,0.00034995872660407,0.00035039533055145533,0.000350980570406786,0.0003511816938689369,0.00035061102971667424,0.00035013515133402865,0.00035237907723058016
40,0.0005698098777793348,0.0005701247632882938,0.0005735968976902465,0.0005698606121138885,0.0005699114039941114,0.0005694286914409272,0.0005731905797391289,0.0005714390687276854,0.0005702720431882087,0.0005721739325963426,0.0005705631582388355,0.0005721988854929805,0.0005697329073551704,0.0005706080665924784,0.0005725536426967558,0.0005720722571519824,0.0005713008140446618,0.0005708894990030912,0.0005672432640234806,0.0005724466126412153,0.000571741820133936,0.0005729520094713994,0.0005675993479477863,0.0005702546623069793,0.0005744930203368385,0.0005760250496678054,0.0005679837824220979,0.0005696530630909061,0.0005713974098291467,0.0005729309970422858,0.0005705960475218793,0.0005744173630284002,0.0005705988475640949,0.000571697594728548,0.0005710576790281468,0.0005724743574059435,0.0005697596161074838,0.0005686908050186255,0.0005692332465459693,0.0005717046769859735,0.0005644643596107406,0.0005683596933290284,0.0005668149606208317,0.0005714104452636092,0.0005704623702178268,0.0005674435340456272,0.0005704117523107145,0.0005704667444724851,0.0005694441133528017,0.000569130148505792,0.0005641596391797066,0.000569326062263413,0.0005715039697511551,0.0005678961169905961,0.0005685586656909436,0.000570526872809064,0.0005638321454171091,0.0005745251426184229,0.0005640108667483383,0.0005725242372136563,0.0005701007121192512,0.000572082499274984,0.0005688855017069727,0.0005694462951006633,0.000567729324555128,0.0005696771666407585,0.0005682133759061496,0.0005710880217012219,0.0005700473352421627,0.0005697736459960406,0.0005688624999796351,0.0005688170591990153,0.0005677457471999029,0.0005656301897640029,0.0005683353935767497,0.0005702760921754911,0.0005736512040519821,0.0005698950389482741,0.000570923883060459,0.0005697736256372402,0.000574069918366149
50,0.00018775705810791503,0.0001823154716812833,0.0002060470020902964,0.00019513477275792795,0.00019022625616067854,0.00017159971009407724,0.00018315839899456007,0.0001898114958174502,0.0001871174093058828,0.00018106357128999662,0.0002054939830509003,0.00018657641829827762,0.0001795817573138541,0.00018861699804388493,0.0001856086539405891,0.00017875005081198955,0.0001929382870869068,0.00019511126871132352,0.0001774439764890953,0.0001963671799361085,0.00020179099654062436,0.00019669913282476564,0.00019185169502937546,0.00018860138613187397,0.0002059702937480151,0.00021325674024410545,0.00018786915719711913,0.00019482864809106104,0.00020443505422650452,0.00021775843244188677,0.0001891475362936035,0.00020789077433829123,0.00019289432636399468,0.0001945596686266249,0.00018500557052902877,0.0001954684277214775,0.00017408201873829392,0.00019397541870024395,0.0001950308062340952,0.00019927857556467643,0.00017667988764255175,0.0001837497942726762,0.00024274294810311403,0.00018947361822938547,0.00017940090956950657,0.0001771504849832701,0.00018379470607864538,0.00018275674958938013,0.00017622931773075834,0.0001955970008817405,0.00018338224908802657,0.00018216557906601918,0.00022233064653566823,0.00018261536509574702,0.00018508580105844886,0.00018171786107312965,0.00019500989583320916,0.0001973603507865156,0.00017321600435851988,0.00021314792684279382,0.00018743341269161833,0.0002009782456298126,0.00018427855684421957,0.0001760604978439265,0.0002000119970438795,0.00019581858449293157,0.0002049140011270841,0.00021264801754476,0.00019353680949684026,0.00017905102684561097,0.00017876199369008342,0.00019619418647683537,0.00019619180723869553,0.00020166512452609217,0.00018584160300503884,0.00019377383990092323,0.00019842986096461703,0.00019277489838948953,0.00018372876002104022,0.00021125568750024844,0.00019662734121084213
60,0.0003363406848317633,0.0003259360819356516,0.0003533338167471811,0.00034608110794439337,0.00034794732346199453,0.00032738612415934246,0.0003359723200593444,0.00034248633279563174,0.0003459549986439038,0.0003394013001525309,0.00034735172614742667,0.0003414537287816139,0.0003375175032433066,0.0003412118967389688,0.00033584460342193353,0.00032648709808806114,0.00034371454967185855,0.0003407742836235586,0.00034113973587019634,0.0003491401420130084,0.0003470086922439245,0.000335955224207802,0.0003480187803506851,0.0003368454985320568,0.00035273476267263056,0.00036488919868133963,0.0003401417540566575,0.0003394352958518236,0.00035122563473551587,0.0003558909961758482,0.0003468601436664661,0.00035668723061322595,0.00034966191014973447,0.0003409690053980207,0.00033831934625696804,0.0003546430920583329,0.000333672151579154,0.00035486410541290587,0.00035058095432672064,0.00034955729461216833,0.0003503755890830819,0.0003331646311129047,0.0003673891696962528,0.0003582161763915792,0.0003354893292692539,0.00033395931608729847,0.0003478729702432507,0.00033535226937505955,0.00032909960054894327,0.00034328289018895736,0.00034103573998436334,0.00033841317318464547,0.0003656991871629054,0.00034366206818958744,0.0003607602877309546,0.00034582833890156936,0.0003462984168436378,0.00035024953379841716,0.0003316819784231484,0.000374030954844784,0.0003506393611220823,0.00034214229526696727,0.00035166481878453243,0.0003265109969236489,0.00036657360437352,0.00035332303601675306,0.00034214546321891247,0.0003678371681661535,0.00035689668665226136,0.0003437498460632858,0.00032949980878685083,0.00036234845659540343,0.0003595641561939071,0.00036515143195477623,0.000358205775098343,0.00034311337150064864,0.000362380690473531,0.00035009648408665655,0.0003364329859323334,0.000358368967612814,0.00036825091228820384
70,0.0012625618030627569,0.0012585499724890622,0.0013594544143415987,0.0012939471348475378,0.0013998944365384081,0.0011753643630072474,0.001268111172154726,0.0012897452290513013,0.0013142473947056392,0.0012900516303488985,0.0013111539229601161,0.0012919736874042725,0.0012571457403034649,0.00127953579155446,0.0012370367856312761,0.0011699878135308002,0.0013355830132717355,0.0013560543427703596,0.0012570504581422678,0.00128793389769271,0.0012983418033959773,0.0012865465978393331,0.0013454794588809212,0.0011900560096061478,0.0013832367415214696,0.0015763961942866444,0.0012742808715800844,0.0012576474218803924,0.0013470881913021644,0.0014300362588161783,0.00127112770297875,0.0014039324327873497,0.0013426513200661598,0.0013066585723696866,0.0012951971988918053,0.0013299959984059179,0.0012277819340325597,0.0014496450206603515,0.0013262635077271297,0.0013887106724723708,0.0013094974315858313,0.0012792382981291319,0.001435622776625678,0.0012935091508552432,0.0012697931624164706,0.0012691737226161518,0.0013361204290829067,0.0012507398276826727,0.0011298478511889698,0.0012997252699027866,0.001247400091961026,0.0012993011835285208,0.0014528514911384823,0.001257669801513354,0.0013452431187033654,0.0012772638833017222,0.0013881693012081087,0.0013670619850143276,0.0011436528716744347,0.0015016669931355864,0.0013194698740237503,0.0012886799086118117,0.0012855495248610775,0.0012422241104234541,0.0014546627143216836,0.0013381503979102351,0.001283637504093349,0.0014359581782432494,0.00134780908626487,0.0013010213314136071,0.0012291533704329696,0.0013899154922304053,0.0014801921012500923,0.0012874871802826722,0.0013415829577882374,0.001318333942636654,0.0013280848922607089,0.0013560119142282693,0.0013073925656499341,0.0013743758812045852,0.0013565816334448755
80,0.002223161651442448,0.0023413985165663892,0.0021829724428243935,0.0022080103759295664,0.0023994686854178016,0.0022148111103368656,0.002311460506696735,0.0022452769886800333,0.0022181435974456274,0.0021977543146931566,0.002211556929439582,0.002239736402882453,0.0021320971145266385,0.002214131165987276,0.002183071734821972,0.0021934902033535764,0.0022902214342528687,0.0022809074946997473,0.0022204226282026085,0.0021841322196026643,0.002276077771630998,0.0022044300130801275,0.0022259258835886915,0.0021303576029216248,0.002267249056049401,0.0024044828955084086,0.002178626022331657,0.002154584134890077,0.002248608603087418,0.00224441783164718,0.0022191966325044634,0.0022546959315569927,0.0022232964782653232,0.0022365501968235504,0.002289688777333746,0.002226262983250698,0.0022623744367401264,0.0023282759568908,0.002180620210234031,0.002218854053353425,0.0021608565834217836,0.002234435090398852,0.0022638747468590736,0.002150387701112777,0.0023040515248124536,0.0023393697963145217,0.0023096760618500412,0.0021949278919859544,0.0021400601472123526,0.0022139945599362896,0.002308252127841115,0.002238426410423761,0.0023100364013001894,0.0022047192712003985,0.002306728519033641,0.002293170116157556,0.002399748540483415,0.0022576803477994843,0.002176412804560228,0.0024081781739369035,0.0022176031889494068,0.0021523063187487423,0.0022386861965060234,0.0022176955161350115,0.002255678707216349,0.002154977900835757,0.002230114008610447,0.002239094470046781,0.0022803107060974945,0.002235011910801535,0.002235746037008034,0.002210627601016313,0.002534939208999276,0.002348346713309487,0.00217786301592631,0.0022647259046335694,0.002173613091664655,0.002269064860170587,0.0023972157505340874,0.00223174158722444,0.0022204031934961676
90,0.0028596893356492123,0.0030169931964741815,0.0029545645811595023,0.002958107659091743,0.0031040074669201915,0.0027214437390544583,0.0027992487246651324,0.0028558828328785145,0.0028742974435415447,0.002727650702581741,0.0029080925152901514,0.002841076927677709,0.002807919669783477,0.002807510611036736,0.0028051482650506146,0.0027712310935991504,0.002988902657913665,0.002964241698360707,0.0029487332961122903,0.002841431566824516,0.0029466339351179507,0.0028417802740088,0.002953753862529993,0.002842501496585707,0.0028332345010269257,0.003223312785848975,0.002820109922228561,0.0028492131435389942,0.002977230608025018,0.0029433269049942254,0.0028916255881388984,0.002831101301126182,0.0028535708776102043,0.0029193530563355946,0.0028965205549158985,0.002840362164923655,0.0027783186156547777,0.003041315209967169,0.002966632056667144,0.0028588251443579793,0.002848581111590777,0.002906410910308044,0.0030940703582018614,0.0027321485569700597,0.0028992048954885256,0.002928949320247691,0.002973908613369401,0.002746738229976281,0.0026852892624447122,0.0028522957873065025,0.0027881342452019454,0.0028108191591772165,0.0029497728503953954,0.0027272020233795047,0.0028259429149329663,0.0028348649300786915,0.003052055137231946,0.002864192516928346,0.0027341784655370498,0.0030800472595728934,0.0028829895478162553,0.002828924363711849,0.003002144085864226,0.0028185383416712284,0.002858673377583424,0.0028821082355884407,0.0028687074314802884,0.0028726935289019057,0.002900563454238215,0.002841993655615092,0.002822800125512812,0.002720376942306757,0.00303504786764582,0.003052166352669398,0.0027019409130194356,0.00284708570084208,0.0028716432030445765,0.0029875843376371888,0.003115464875008911,0.0029612006091301432,0.0028531595133244993
