Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,1.5086087023519212e-05,1.5484486236042965e-05,1.4924085917300545e-05,1.534206912065901e-05,1.6164848522196194e-05,1.4625989284208377e-05,1.542646807519627e-05,1.615127044523864e-05,1.5321524228332962e-05,1.4755483562112204e-05,1.48335054100356e-05,1.5230902470054333e-05,1.5553697432386055e-05,1.5923373039737328e-05,1.4947946195153396e-05,1.4469206234934973e-05,1.5073456265348622e-05,1.5457166227861308e-05,1.734741960847584e-05,1.5003480457380647e-05,1.6452139796176477e-05,1.501556083180081e-05,1.477985956929236e-05,1.50086627551597e-05,1.589374666749906e-05,1.4825720609223935e-05,1.582578550134654e-05,1.3494073944760506e-05,1.5388438077934553e-05,1.5036530906018602e-05,1.670079818723025e-05,1.5907462651599555e-05,1.6257067115405404e-05,1.553387762503074e-05,1.556755298932128e-05,1.579448790575303e-05,1.6011072698586903e-05,1.5194839348127557e-05,1.7564109861356323e-05,1.489473464744151e-05,1.7663746153370346e-05,1.6235156379557435e-05,1.2923728263558587e-05,2.0933136056555668e-05,1.424128233913124e-05,1.5071368598958209e-05,1.569486928799181e-05,1.5179616531512644e-05,1.4995686143493003e-05,1.664191548680437e-05,1.785576550901169e-05,1.6203077806990635e-05,1.5833399342787184e-05,1.3098274090831788e-05,1.5068944321683375e-05,1.655236576193509e-05,1.2967827842658153e-05,1.4306808005695248e-05,1.746649236751678e-05,2.0702605979749933e-05,1.4720230625752392e-05,1.4652869083420228e-05,1.557770095435747e-05,1.5231975079846702e-05,1.6500183973120227e-05,1.451467664642573e-05,1.7194123332349896e-05,1.5680323187591976e-05,1.65920709807526e-05,1.6950234161462554e-05,1.5105335326855615e-05,1.661379110373673e-05,1.534679237617335e-05,1.4112552435108228e-05,1.4786525493296462e-05,1.606652004774297e-05,1.702672430578137e-05,1.4651880816575524e-05,1.452028294579577e-05,1.6448764149916452e-05,1.370063764625229e-05
10,1.5083685514885777e-05,1.5483720003599216e-05,1.4922486495076251e-05,1.5340768592208265e-05,1.616297355857442e-05,1.4625441898325725e-05,1.5425112348654487e-05,1.614952011670156e-05,1.532020496597397e-05,1.4754844869457884e-05,1.483207223726721e-05,1.5228264285780119e-05,1.555247446517707e-05,1.5921747476430468e-05,1.4946881979352945e-05,1.4469401700504628e-05,1.5070749365501493e-05,1.545609437108638e-05,1.7344711685447172e-05,1.5001590151465886e-05,1.6450314580232283e-05,1.501477593787318e-05,1.4777726391912438e-05,1.5008935891576887e-05,1.589219376304148e-05,1.4826250844635069e-05,1.5824342771368045e-05,1.3492436702714864e-05,1.5386364831262173e-05,1.503516706737085e-05,1.669946330366656e-05,1.5906297868731108e-05,1.6254299610479324e-05,1.553240132103028e-05,1.55656304185767e-05,1.5792568985619126e-05,1.6009959871984104e-05,1.519379318117651e-05,1.756282154567461e-05,1.4893084369305143e-05,1.765935355381641e-05,1.6233886521768774e-05,1.2922781138513528e-05,2.0929666334268404e-05,1.4241166211018266e-05,1.5069921966259196e-05,1.5693540288858846e-05,1.5177915425387287e-05,1.4993688637332525e-05,1.663998179914227e-05,1.784905980457552e-05,1.6199043040449563e-05,1.583211297097128e-05,1.3096536880160178e-05,1.5068474795043585e-05,1.6551240549938948e-05,1.296809841733193e-05,1.4304989988510176e-05,1.7464484947347294e-05,2.070045002255938e-05,1.4718274791624524e-05,1.464894847913456e-05,1.557855648570694e-05,1.5232741264169039e-05,1.649871286544011e-05,1.451290018639366e-05,1.719162331331366e-05,1.5677793550322905e-05,1.658946310153961e-05,1.694875430706537e-05,1.5105713979816452e-05,1.661216992943082e-05,1.533972833082468e-05,1.4110659170304038e-05,1.4783587435626292e-05,1.606444039361441e-05,1.702388070563237e-05,1.464994972461535e-05,1.451848612532558e-05,1.644731132766553e-05,1.3696982659894274e-05
20,1.9005199331634988e-05,1.898332811833825e-05,1.8847362298402004e-05,1.899672063770525e-05,1.903931718780895e-05,1.892084583232645e-05,1.907648314250588e-05,1.910038870272202e-05,1.9071479568359607e-05,1.8995296386492555e-05,1.8986993269703097e-05,1.8981497175575767e-05,1.9056641824797474e-05,1.9071714329281047e-05,1.9011684044551872e-05,1.903679746343793e-05,1.8948676716674873e-05,1.895840158553417e-05,1.9126318810387083e-05,1.9085173965625774e-05,1.9081335994997062e-05,1.8945643335298102e-05,1.9016033353788466e-05,1.9057855267116488e-05,1.9079249030919673e-05,1.8930624355562033e-05,1.902054200106631e-05,1.8959617174611292e-05,1.9014644374906577e-05,1.904026568456996e-05,1.899801420222502e-05,1.899647521405803e-05,1.9081148541142913e-05,1.901427008195286e-05,1.898982837802679e-05,1.8985031991698114e-05,1.898770810121756e-05,1.9006389762084424e-05,1.9014410461377667e-05,1.8977705281031376e-05,1.8845461974186556e-05,1.9009495112999153e-05,1.8864939193008468e-05,1.9224242169002537e-05,1.896148023661226e-05,1.9008197647819638e-05,1.8955435007228515e-05,1.897326457541918e-05,1.8923398386050394e-05,1.900022977585242e-05,1.9088882254436612e-05,1.9021551865576342e-05,1.899862713449133e-05,1.881988434130714e-05,1.90250801097136e-05,1.890303592146517e-05,1.9197985238861293e-05,1.894812904256155e-05,1.917649784776255e-05,1.8932821149064694e-05,1.8966855193827532e-05,1.904633177218784e-05,1.8949975128634833e-05,1.885462344424533e-05,1.8907769066976874e-05,1.8936337269573973e-05,1.9023984956826705e-05,1.8950462696031086e-05,1.901473364409025e-05,1.903201700770296e-05,1.8865292076952755e-05,1.9135430799603153e-05,1.9060854053047176e-05,1.8916123432669945e-05,1.8997243127419745e-05,1.906652408712483e-05,1.8897609801829924e-05,1.897592552092148e-05,1.90934026704781e-05,1.899945530896134e-05,1.894040087790927e-05
30,0.00010194161703111604,0.00010145371979214596,0.00010200231978766776,0.00010179006819201346,0.00010185541759710759,0.00010208641366002016,0.00010205028147245156,0.00010213945336688899,0.00010181851541370012,0.00010223801064057625,0.00010171457733470303,0.0001023250420539811,0.00010162682729335783,0.00010198747997602561,0.00010184732022667851,0.00010194024980592076,0.00010198609977253779,0.00010139968209749654,0.00010188840808820845,0.00010229566396446899,0.00010175508158191896,0.0001016476734158849,0.00010144310828763992,0.00010163004553760402,0.00010174857616509562,0.00010226769227301702,0.00010147864609720156,0.00010178175004208849,0.00010156759809058926,0.00010181577888415045,0.00010211784130660817,0.00010203886547690042,0.00010185662400684893,0.00010175487708382694,0.00010190527650087865,0.00010219736122962786,0.00010196327399937313,0.0001018655067045157,0.00010192167904180284,0.00010176897785640904,0.00010202901674866942,0.00010170676382295689,0.00010111755727848504,0.00010240363626508042,0.00010196789777470066,0.0001019188164623062,0.00010206355779830898,0.00010219264865889655,0.00010160390729652136,0.00010184224805110214,0.00010193525231443346,0.00010211948326534845,0.00010173195075297442,0.00010186741322589417,0.00010261523057124578,0.000101915733503862,0.00010226168888038956,0.00010234186228099761,0.00010182803486135195,0.0001018926141114207,0.00010180226649202766,0.00010188364831265062,0.00010169480204543409,0.00010154802293982357,0.00010154745986154821,0.00010172953479923308,0.000101779805845581,0.00010179552762526318,0.00010206738039010411,0.0001021299054578727,0.00010119659095329957,0.000102169681971039,0.0001013150395010598,0.00010170627623059166,0.00010212548451298582,0.00010207832251167433,0.00010152756970325884,0.0001016556814706306,0.00010196935090789339,0.00010155989173868233,0.00010176019932259806
40,0.00046362983295693993,0.00046356278471648693,0.0004643482922498758,0.00046267621353483546,0.000461984347313336,0.0004669718411085861,0.00046620456475554215,0.00046628248444329455,0.0004658207961923997,0.00046236640446295496,0.0004630401841203832,0.00046384123531740385,0.0004639821788507768,0.00046613178335863984,0.0004667716775336029,0.00046925580803266104,0.000462849616139595,0.0004626003129384186,0.00046156188286009377,0.00046749800948115686,0.00046686762899088747,0.0004689233179046174,0.00045896702446043494,0.00046491110406350346,0.00046707953498255285,0.00046831397921778264,0.00046226774969498717,0.0004631692154362099,0.00046483789235079553,0.0004667912998552164,0.000464457084890455,0.0004679991722626325,0.00046330847600564506,0.0004646511657572374,0.00046779228270881705,0.00046303728647347143,0.00046208008739325265,0.00046220261190848595,0.00046153222414081443,0.00046142756582412403,0.0004521703937955733,0.0004630798125327466,0.00046247740101534873,0.0004698939999798313,0.00046419174300114577,0.00046031672881278947,0.0004604936390283651,0.00046213057985847915,0.00046087437658570707,0.0004615257185550631,0.0004573598445858806,0.0004656500214795497,0.00046318750179265267,0.0004598633968271315,0.00045548693160526457,0.0004617764919815699,0.00045256172597873956,0.0004662591913827406,0.0004607074290767989,0.00046672081225551665,0.00046245044914715154,0.0004651943381759338,0.0004614049394149333,0.00046617037982546857,0.00045788126428508095,0.00046072232071310283,0.00045979905407875774,0.00046267002784667076,0.00046035976130817153,0.00046093183095558536,0.0004639766605881353,0.0004641369984407599,0.0004613101967455198,0.000457042086054571,0.0004586961502874536,0.000462023692142049,0.0004670152494717123,0.000461492296674424,0.00046456234849756584,0.00046280131772152703,0.0004640736704459414
50,0.00019903329860729475,0.00019532668509917266,0.00020229446333056936,0.00019755215594509186,0.00019780220519132393,0.00019552528933023235,0.0001961375955649982,0.000199315873224374,0.00019873927337783566,0.00019515739222697448,0.00020197683795826672,0.00019731728938569753,0.00019624423073378927,0.00019896174997098348,0.00019795732137829284,0.000197157200697499,0.00019787364536092528,0.00019809713806733016,0.00019552639839405726,0.0002012198007044693,0.0002025227078075449,0.00020124843675668153,0.00019756117117746423,0.0001983719877898693,0.00020221739038196762,0.00020642968302126975,0.00019794217904188459,0.0001969715858649579,0.00020123169969712547,0.00020571036176050023,0.00019862834713421762,0.00020273121201451152,0.00019942524606729142,0.00019874750627999808,0.00019971523741130822,0.00019936832047408513,0.0001928323229214201,0.00019896866896570745,0.00019874798620669507,0.00020025304456794402,0.00019569041614886373,0.00019595688849841146,0.00020526487242022995,0.00020175355457467957,0.00019683940550557484,0.00019481486064921083,0.00019635003970636588,0.00019575103738533105,0.00019440942469373113,0.00019874000607724782,0.00019390437519177793,0.00019658541978887197,0.00020409770771108855,0.00019741652552814534,0.00019575604383135215,0.00019586101537855455,0.0001997881699935533,0.0001988184060259112,0.00019556751993315464,0.00020628447964554653,0.0001975614979665386,0.00020209921240166295,0.00019508165617783865,0.00019602749463436858,0.00019896083459672,0.00019776526919136253,0.0002017867334264641,0.00020339238921791234,0.00019961243675357696,0.0001946814741828135,0.00019645912430456115,0.00020117761111274982,0.00020152919266062477,0.00019307474819167206,0.0001939208762321089,0.00020130073924567066,0.00020022009058655904,0.00019875338858260113,0.0001970933190023061,0.00020273284303775732,0.00020119585969951003
60,0.0004920440349572649,0.00045382290220543465,0.0005205538376079252,0.000506734494298983,0.0004992306135194022,0.0005069964265983019,0.00047756257727967513,0.0004987101844897935,0.0005017648564498352,0.0005042698758188635,0.0005069480340117243,0.0004991665749801133,0.0004967118297689453,0.0005004076542029383,0.0005016039016053957,0.0004896378207680149,0.0004990278615704959,0.0004973828323226705,0.000489229236596397,0.0005076764908153563,0.00050719880964607,0.0005052274651201774,0.0005136154921880613,0.0004996454711848249,0.0005122407783924173,0.0005269772373139858,0.0004992032214255643,0.000505945425175014,0.0005016833379426423,0.0005122012277546849,0.0005084708938375115,0.0005145585813667052,0.0005137906465768957,0.0004989325956912803,0.0004954186523617762,0.0005128938875194373,0.0004852173538222958,0.0005005461862310767,0.0005057441268441638,0.0005007398685847875,0.0005063484755477735,0.0005013531057208657,0.0005134071143402252,0.0005104090116219596,0.0004816337865409686,0.00047769329945654854,0.0004940904722648806,0.0005013447680220564,0.0004732494599011261,0.0004993763474791696,0.0005133851838763804,0.0004900835126384416,0.000512348674909355,0.0005098526089568622,0.0005088039819383994,0.000491910542204634,0.0005282410711515695,0.000496004699079063,0.0005012814230708914,0.0005195869016461074,0.0004834453553406982,0.00048823530232766643,0.0005120420294891422,0.00048746849227297517,0.0005118782331313317,0.0005069136986723886,0.0004877443891018629,0.0005130074087089749,0.0005004615908277359,0.0004794198433923124,0.0004961132621651308,0.0005257372686173767,0.0005212724208831787,0.0004632302831547956,0.0005195657639498157,0.0005041493768894489,0.0005194059922359884,0.0005048180814370543,0.0004577996369334869,0.0005034380367401393,0.000510309636592865
70,0.0012070255323002735,0.0011122388338359694,0.00127701034458975,0.0012674388269750545,0.0011889510051217638,0.0012477101824645484,0.0011907487876728297,0.001196417857978591,0.0012117739482429115,0.001206807886774186,0.001212822723225403,0.0011809130902497135,0.001213382225779986,0.0012164262571428535,0.0012227652628686936,0.0012080433468023937,0.0012056525142508604,0.0011938076114128757,0.001182688761868381,0.001204871698282659,0.0012105255065342556,0.001221094831375272,0.0012378743772084515,0.0012114835223959138,0.0012443226481240893,0.0012940125074237586,0.0011705856605042373,0.0011960516227797295,0.0012155205011367797,0.0012234070933529087,0.0012258376320824027,0.0012316304312732357,0.0012227512242344136,0.001209501159326287,0.0012123505390870075,0.0012213808555056208,0.0011825577040374476,0.0012048628519881856,0.0012032722672784184,0.0011996530956821516,0.0012208154824163233,0.0012222124682243992,0.0011738442990463227,0.001189251127652824,0.0012047827476635575,0.0011693786290523252,0.0011785194352601789,0.0012356458924171563,0.0011621199955698103,0.0012084098777669515,0.0012518676929175853,0.00118847252716395,0.0012177386661418356,0.0012488581899863978,0.0012474897899664938,0.0011789279203500826,0.0012652331497520208,0.001227388776646092,0.001177265086549927,0.0012342330010142177,0.001214269889138078,0.0011752718273783103,0.0012210109659160178,0.0011974839560155357,0.0012471989967808542,0.0012010133422266406,0.001128079288173467,0.0012241103936747838,0.0012189976373014764,0.0011667688571227093,0.0011878587797077165,0.001268651996118327,0.0013024400686845183,0.0010433684510644525,0.0013165106398186513,0.0012110632907768543,0.0012315193224432214,0.0012111450064807168,0.0011473588383523747,0.001194765276721671,0.0011750959209166467
80,0.0028574366836498183,0.0028173633661397078,0.002718011033721268,0.002763231861619995,0.002795277511158699,0.002979644407917346,0.0029288899311194975,0.002787008590530604,0.002800107877583632,0.002761000650934875,0.0027405407041150294,0.0027598189094997184,0.002791796556927941,0.0028206457941313133,0.0027749882175532336,0.0028868471175276986,0.0027672277383750214,0.002738092278861264,0.0027398536497327897,0.0027650325000286103,0.002841954010252196,0.002812716448845874,0.0026708531581486265,0.0027762971818447112,0.0028512222758893457,0.002819819562137127,0.0025194499279267246,0.0025994136764590317,0.002705229151829639,0.0027783990259312333,0.0028153975214809178,0.0027829893828871157,0.002776968695868093,0.002717570387531163,0.00279363084377514,0.0027374622254033704,0.002833234538373194,0.002621175424957817,0.0026944509331496007,0.0025930799092748202,0.0026850643501217875,0.0028345132942628514,0.002601389540359378,0.0027229249477386474,0.0028079578432401546,0.002769852030140005,0.002628551277198962,0.002821471791289616,0.002823710849042982,0.0027662023976204337,0.0028215863741934298,0.0027584545525976205,0.0028304375994663974,0.002875276239744077,0.0027251929277554154,0.002772220885571168,0.002765138866379857,0.002875322267284681,0.002816233487630432,0.0026881654048338532,0.0027785919110981687,0.0026755759899970144,0.0026310752922048173,0.0028628833991076264,0.0028166023548692465,0.0026981486598602854,0.002674409553098182,0.002792901648659139,0.0027549135891065278,0.002763660617281792,0.002735605515125725,0.002835582747745017,0.0030910433270037174,0.0024483774905093014,0.0027628207712301184,0.0028035589418216765,0.0028170954402802245,0.0027325713515071377,0.0027941676671616733,0.0026444115092930922,0.002653416362591088
90,0.0019270055104667941,0.0018943931941908818,0.0018505628104321659,0.0019289958111655253,0.0018938951919303287,0.00197409452604396,0.0019734482292176015,0.001877026036565535,0.001885580000632643,0.0018919133508461528,0.0018674503885393525,0.0018376197965283478,0.0018665537971890335,0.0019048745338240583,0.0018796916955205448,0.001910412092305099,0.001898254787582638,0.0018639247201359536,0.0018535404898492353,0.0018726829392835499,0.0019166898985321706,0.001898469407543806,0.0018587329424917698,0.0018778537322456637,0.0019142687697673128,0.0019643968669697644,0.0017771208790251084,0.0017855835685622878,0.001853124685037662,0.0018808693782756886,0.0018979701508457462,0.0019014305166470318,0.0018940254029495497,0.001861025374837038,0.001893896874712987,0.0018642604513193614,0.0018931685634398538,0.0018204474419524724,0.0018331920377438866,0.0018013070730376057,0.0018485108157619834,0.0019205686849284363,0.001764748609275557,0.0018360576475970447,0.0018929779762402177,0.0018870378317507473,0.0018221861466632358,0.0019075097199611104,0.0019045113513129763,0.0018817659975270387,0.0019072511000558733,0.0018960684749551795,0.0019115160496977087,0.0019608244086460522,0.0018709139549173415,0.0019025887239116188,0.001965003553777933,0.0019219238953343753,0.001891605418429456,0.001905297627672553,0.0018589009270472553,0.0018402330169919878,0.0018559922852242987,0.0018813506633575474,0.001919384053002836,0.0018490495733343639,0.0018029951180020968,0.0018970590405246264,0.0019124926540017542,0.0018888678640831967,0.0018102122832917506,0.0018625723314471543,0.0020103075075894594,0.0018217937322333455,0.0019014003087899514,0.0019168741214875278,0.0019112045244712914,0.0018710911906729903,0.0019441558688413352,0.001831553247365944,0.0017721058451570571
