Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,cross,cycle,dash,depart,descend,drift,flee,float,fly,glide,go,hasten,hike,hurry,journey,limp,march,meander,race,ride,row,run,rush,sail,scramble,swim,taxi,travel,tumble,walk,wander
0,2.4824543866211694e-05,2.3320493744028715e-05,1.8653454465796433e-05,2.3015330393368808e-05,2.3358470628673913e-05,2.0547046655597762e-05,1.9534228789369435e-05,2.2126503858553226e-05,2.2644942724075953e-05,1.7238503517091885e-05,2.2007055111002338e-05,2.0743151272116088e-05,2.2433522231453523e-05,2.0414763853158078e-05,2.1542106397271925e-05,1.826522607946875e-05,2.1676753720255094e-05,2.2810077823549685e-05,2.3044382227713607e-05,2.01597419315173e-05,2.1711151734612382e-05,2.2121185825848704e-05,2.2438169786861787e-05,2.1399883007688913e-05,2.132316266007755e-05,1.5611207709298468e-05,2.0930850246992534e-05,2.358169732967023e-05,2.2274608401109136e-05,2.0348159802280508e-05,2.0141896845113174e-05,2.011640778549078e-05,1.963249659498755e-05,2.137232278856086e-05,1.7364880578598888e-05,1.9755623587311027e-05,2.103895727295343e-05,2.0747392475393347e-05,2.1185584090010497e-05,2.0179256665642242e-05,2.157463886567015e-05,2.2256949023358175e-05,1.8631953389558474e-05,2.1851470065532913e-05,2.3309493563398353e-05,2.3778197932447906e-05,2.1222194502849578e-05,2.2643455082516084e-05,2.1411882095168856e-05,1.8470410023755076e-05,2.1187398823922894e-05,2.4113973040584824e-05,2.0546851828839863e-05,2.1680582365809882e-05,2.325678423372226e-05,1.9097476731324356e-05,1.9960748960006788e-05,2.2392740447685355e-05,2.1756151176709358e-05,2.1636771005152976e-05,2.1459991997592928e-05,2.2209091937799703e-05,2.0093766600574008e-05,2.102554797782612e-05,1.8281128682752347e-05,2.472967053581197e-05,2.390875839150145e-05,2.239883895805589e-05,2.409929277291667e-05,2.0630993070071092e-05,2.042182577497442e-05
10,2.4830079536440206e-05,2.3326732557675483e-05,1.865800709310861e-05,2.3018168772418552e-05,2.3363194981633385e-05,2.055418670871794e-05,1.9538385165487264e-05,2.2130603682336524e-05,2.265057106871862e-05,1.7241106377241522e-05,2.201295038828925e-05,2.0747997950820718e-05,2.2441096200164985e-05,2.0420224824523427e-05,2.1546406167223776e-05,1.8269784883765777e-05,2.1680547704471836e-05,2.2814569863932107e-05,2.3050442320839337e-05,2.0161525292981725e-05,2.1714576317977983e-05,2.212591020419755e-05,2.2442369336204137e-05,2.1405273158355462e-05,2.1328140339016775e-05,1.561310109536862e-05,2.0935696122779197e-05,2.358511390336086e-05,2.22786551763848e-05,2.0353336250052727e-05,2.014394731304492e-05,2.012153135393209e-05,1.9634289611321248e-05,2.1375532014644705e-05,1.7368233784509357e-05,1.976052158982254e-05,2.1043359801727713e-05,2.0750801344216928e-05,2.1190269006797007e-05,2.018544910242781e-05,2.157941758304468e-05,2.2262019228946883e-05,1.863500810941332e-05,2.185329230997013e-05,2.33156089483313e-05,2.3784789690190726e-05,2.1226856871866755e-05,2.2650861922102195e-05,2.141623480744376e-05,1.847345980753413e-05,2.1192084008921835e-05,2.4116414654902957e-05,2.055193981504999e-05,2.168387549763607e-05,2.3261193275865134e-05,1.9102725507929623e-05,1.9965914342260132e-05,2.239871844267327e-05,2.1760968264869815e-05,2.1641350618805377e-05,2.1466020977338e-05,2.2213898803109317e-05,2.0098770804637484e-05,2.1029061114146514e-05,1.8288336529318865e-05,2.4734898010161462e-05,2.3913814727295956e-05,2.2404360826781598e-05,2.4105037823574094e-05,2.0635204531144528e-05,2.0428886546142167e-05
20,2.46168671789771e-05,2.4579689124948345e-05,2.4610110055315697e-05,2.4378071024190062e-05,2.458474927716682e-05,2.4408938770648092e-05,2.4408661785503595e-05,2.45238728644372e-05,2.450512607837585e-05,2.430778067719075e-05,2.4424288234131606e-05,2.4525075490118422e-05,2.4445652866923023e-05,2.447303262615054e-05,2.4388185021748273e-05,2.4483325357020174e-05,2.4443547794189292e-05,2.441938863451964e-05,2.4394419987012433e-05,2.4517434188358796e-05,2.4457042029378218e-05,2.4498423434644273e-05,2.444535552058369e-05,2.4469260824844242e-05,2.4563900383544112e-05,2.4489075076417067e-05,2.4511302927426334e-05,2.4475045203568396e-05,2.4417216456426747e-05,2.436462801274648e-05,2.446860805018029e-05,2.4500153883239433e-05,2.4398647418330747e-05,2.4554872483307453e-05,2.4297751325421916e-05,2.4308231559189153e-05,2.442973702368602e-05,2.444219585000114e-05,2.4396294098682644e-05,2.4486323923156306e-05,2.4491380943490707e-05,2.460140103721642e-05,2.4194001161959024e-05,2.4593653315126796e-05,2.446503657617876e-05,2.4555891208625067e-05,2.4441487878727474e-05,2.4460551060201396e-05,2.4429144120623624e-05,2.458694788484453e-05,2.4451381278385478e-05,2.4565361551746417e-05,2.425792881695088e-05,2.4553293992446886e-05,2.4539932288964087e-05,2.4558501205650497e-05,2.441268850972886e-05,2.4290919327540905e-05,2.4365747423063214e-05,2.4469354544775204e-05,2.4655858214828186e-05,2.439346249585831e-05,2.436828525013105e-05,2.4421935286063507e-05,2.4311563417237874e-05,2.4530027170745692e-05,2.4484352382257513e-05,2.4438376238967684e-05,2.4473418989146012e-05,2.4497239975681324e-05,2.4391176339122467e-05
30,6.974775149845644e-05,6.959800143872767e-05,6.96778085208886e-05,6.954969979303245e-05,6.970099786508687e-05,6.953040844694312e-05,6.953221905390702e-05,6.968951849700591e-05,6.950090543876838e-05,6.965416469029151e-05,6.961370304508572e-05,6.985818721919454e-05,6.962480410672443e-05,6.959184820791988e-05,6.96056685924037e-05,6.940119177064237e-05,6.976483893508667e-05,6.949303230002545e-05,6.960990607954695e-05,6.973030996353676e-05,6.956578010711102e-05,6.952048910794215e-05,6.964815276054044e-05,6.969669363267409e-05,6.973888253375503e-05,6.96835297276266e-05,6.956224622685582e-05,6.968735867000457e-05,6.959934219005791e-05,6.938714490857936e-05,6.967142428038642e-05,6.963538320493311e-05,6.975436945839856e-05,6.972914690227616e-05,6.95271806358101e-05,6.965193434942713e-05,6.96302172161124e-05,6.946592078417201e-05,6.9591477099548e-05,6.979679983487586e-05,6.959205556802075e-05,6.965645297896117e-05,6.946847061044537e-05,6.966514928009067e-05,6.963437772355974e-05,6.987257480172308e-05,6.967048766295703e-05,6.972383812353655e-05,6.963436680962332e-05,6.967108955987814e-05,6.969458644072382e-05,6.974339824713145e-05,6.989176545175723e-05,6.979665266378422e-05,6.96799234619589e-05,6.966956491603263e-05,6.970289572935692e-05,6.952139301574789e-05,6.97095110808732e-05,6.957687918866913e-05,6.970359972910956e-05,6.960949199261664e-05,6.966739945508177e-05,6.96204517373337e-05,6.927800374493624e-05,6.963039768025182e-05,6.950789247639477e-05,6.964723803731988e-05,6.969662626943318e-05,6.956069728021095e-05,6.985438303672709e-05
40,0.00045645836743878553,0.0004526871672607268,0.0004552485285482059,0.00045723717328375924,0.0004547115469121527,0.00046140799947482137,0.0004540804586741292,0.00045662598716387267,0.00045311508023863824,0.0004614002609741874,0.00045609008628633564,0.0004609256438739902,0.00045716331629647,0.00045618320820556784,0.0004555240040645003,0.0004506237322251157,0.0004591754747837383,0.00045139304158879043,0.0004553944870297398,0.0004580852098297328,0.00045267068422757663,0.00045410357155820487,0.00045752464211545885,0.00045653373235836624,0.0004576891628352718,0.00045242873020470145,0.0004554225874486409,0.00045733867834011715,0.0004531947122065022,0.00045332430783028325,0.0004568254101711015,0.0004576511351982705,0.0004572862341704492,0.00045618531767950327,0.0004541873802534408,0.0004595285608957056,0.0004586277714942729,0.0004530818259809166,0.00045554637901922576,0.0004608002145687351,0.000454965341363122,0.0004525422009464819,0.0004580115055432543,0.00045539878039179663,0.00045853118890112166,0.0004584048770733976,0.000458946378274592,0.00045943697114125825,0.00045625238246806284,0.00045897477221759885,0.00045892238849774,0.00045600015194698546,0.00046626827388536186,0.0004581812560102161,0.00045833380487426343,0.00045516794886101377,0.0004595745028176856,0.00045732427679467946,0.0004574381503819798,0.00045517039521095844,0.000455543160205707,0.0004567739851672643,0.00045854264748481066,0.0004590132262196962,0.0004512474859236843,0.00045475305637114914,0.0004537960984245209,0.0004543201608729789,0.0004631569499906618,0.00045453811391108054,0.00045815056946594266
50,0.00039057891872535283,0.00038316353392373357,0.00038758722075726837,0.00037922780611552296,0.00038355711149051785,0.0004005084421286093,0.00039275801945252406,0.00039274305420215516,0.00039161514171069087,0.0003944738637073897,0.00038737893991321786,0.00039539806490136806,0.0003854207020732715,0.00039754018617906803,0.0003906947057283319,0.00039646748336963356,0.00039131017893807786,0.0003785671304492869,0.00038474030692928603,0.0003970491113917281,0.00038720486067736953,0.00038717092684237286,0.0003826444336057951,0.0003905137651599944,0.0003883324989435514,0.00039388182340189816,0.00038681688930674067,0.0003889485791053933,0.0003814402998507242,0.00038248975197934816,0.00039634534584668776,0.00038608561534112174,0.00038606205019347655,0.0003881519152728711,0.0003959331629125194,0.00038614944787696004,0.0003922244121847478,0.0003797653956677426,0.00038105428060348405,0.0003805610213021282,0.00038920062503708093,0.00037659695590264164,0.00039792816096451133,0.0003956417648097206,0.0003902205385537328,0.00038218946636854004,0.0003931483188991255,0.0003929011509171687,0.0003857670963043347,0.00039027408506213266,0.0003800260082173806,0.0003841536575540279,0.00038320629100780935,0.0003865994352666775,0.00038213101476591464,0.00039612555569461125,0.0003942773597294925,0.00037910511309746653,0.0003763055380356188,0.0003825689849551194,0.00038406404588992396,0.00037726586821028383,0.0003784285444352362,0.00038792942372687696,0.0003870023614985661,0.0003891116701362824,0.00039575176820757667,0.0003763576821638121,0.00039283110891119577,0.00038032162520729255,0.00037904490891378374
60,0.00159761356032529,0.0015568328995464577,0.0015171762788668275,0.001503677132467811,0.0014955632350277864,0.0016895893661837494,0.0015771749988949346,0.0015644947404735814,0.0015621195588543823,0.0016003884957171977,0.0015568048204582783,0.0015899857140279242,0.001535461598188814,0.0015959834757571418,0.0015445494544966255,0.0015972657662738736,0.0015405401936732233,0.0015124734992137815,0.0015252702204244478,0.00159838133957237,0.0015741297545341345,0.001564130760795836,0.0015206652972847223,0.0015914961424035332,0.0015600583763674847,0.0016115451231598853,0.0015427244999896615,0.0015704368997830898,0.0015547745984376353,0.0015436229033155306,0.001585535630583763,0.0015339655443452871,0.0015429444924498408,0.0015702018985351504,0.0016076730939352678,0.0015426730699670901,0.001539001098870741,0.0014950840691612525,0.0014881500469363597,0.0014664815753349103,0.001555122674115874,0.0015497146814595908,0.001674965408165008,0.0016147425263433864,0.0015725451386778763,0.001486089313402772,0.0015708867597328336,0.001603755954420194,0.0015158979884541497,0.001624195391989567,0.001485924399457872,0.0014229470883340885,0.0014453023090027274,0.00148410424922726,0.0014822643916604333,0.0016445704121989283,0.0015537996015321182,0.0014393859746633098,0.001468768378900778,0.0014995530444698838,0.0015806353806207577,0.001510999857708411,0.0015122295471546412,0.0015451801481430193,0.0015968113051106532,0.001563282551957512,0.0016195994768557803,0.0014918452539976926,0.0016106579714687541,0.001530030302061629,0.0015086612198501824
70,0.005074773537548813,0.005014659871381742,0.00502740351172785,0.004850880078111704,0.004972629644023844,0.004875347417380128,0.004871757363059347,0.005027613082133672,0.004975491586506744,0.004946109838783741,0.005055516742652765,0.005011165923229894,0.004971225181538047,0.005026826218730121,0.004919098240925985,0.00506325102954482,0.004997301547388945,0.005015837871528502,0.004858220295448389,0.005017243002851804,0.005056562539763176,0.004999492766468653,0.005047001292308171,0.005016204202547669,0.005052860574944625,0.00512628611177206,0.0049347216376073415,0.004893877514405176,0.005099894643268164,0.00500705263637487,0.004945144299417734,0.0050522469055767245,0.004995554972153444,0.00498821695746724,0.004911679826262925,0.004980445174234254,0.004876061593868623,0.00493917063894597,0.0048603880280875655,0.0049730387690942734,0.00500500577680291,0.005086781980935484,0.0049997372552752495,0.005002612051995177,0.004953991489386873,0.004881963187030384,0.0048487519747332525,0.004953503143042326,0.004876793691374618,0.005074528067118742,0.004927088273689151,0.004720144051437576,0.004629109939560294,0.004837977020450088,0.004801598377525806,0.0049856601452285595,0.004883718471573565,0.004803899908438325,0.0049065796063385075,0.004858832043380692,0.005089200707152486,0.0050522635330355935,0.004960057787010791,0.004897463145909143,0.005167591747724348,0.0049823070876300335,0.005002004061160343,0.004918364954421357,0.005198174039833248,0.005012022311791402,0.004934713011607528
80,0.004978457509816901,0.0049309816935824025,0.0049246399430558085,0.0048313514616053835,0.004883620628639113,0.004614361295742648,0.004636014188309351,0.004961505258346305,0.004966907698331,0.004874398582614958,0.005091829558857429,0.004919683655761942,0.004825795041114995,0.004890123152907825,0.004814742987646776,0.004944076897421231,0.0049190557384420006,0.004959399705823464,0.004705379143290754,0.004907131331662337,0.0050250123613155805,0.004924164207685473,0.004971089474856853,0.004864429992934068,0.004969782062939235,0.005297053232789039,0.004825070237500533,0.004799519607331604,0.00507234661730335,0.004879095877010015,0.004831162517269452,0.005095560909607089,0.004899619075541313,0.004907166948108826,0.004809847153309319,0.004749450466728636,0.004715208818915447,0.004791339224373753,0.004841804768082248,0.005062256474047899,0.004911470568758693,0.005060140450950712,0.004799330746755004,0.004981319591599076,0.004813759592606833,0.00471630331594497,0.004751351216742606,0.004857339146838058,0.0047353591834162845,0.004957395309413021,0.0048981861766571036,0.004599636963879068,0.004455049056559801,0.004734462521476101,0.0047282870489590125,0.00492520486427979,0.004812447146402412,0.0046827786427456886,0.004847478134454125,0.004858866659924388,0.005040920199826359,0.004929561235551392,0.0048522285435831656,0.0047490393411502374,0.005152425547647808,0.004889798710461368,0.005018060328438878,0.004765793887688027,0.005181096086744219,0.004941724156647795,0.004854007670655846
90,0.005989734643466167,0.0058003743524076765,0.005803879505644242,0.005679092280423412,0.005961659617863501,0.005528363066592387,0.005388899642463413,0.005941589892494912,0.0059727678205110605,0.005879106203792617,0.00611626045824385,0.0058738869253774076,0.005899957211857492,0.005840522448786281,0.005670310047400348,0.005755675840191543,0.0058527749608315175,0.00591400360594256,0.005561237389753971,0.0059625894514222936,0.006036889266509277,0.005995166305053447,0.005957911623020967,0.005826858012005687,0.005864120583744749,0.006142744608223438,0.005680483255174852,0.0057732418839198845,0.006131951976567507,0.00586905742004033,0.005815036402394374,0.006168508955922265,0.005882765694807928,0.005819601721541826,0.005609724153247144,0.005564749798005713,0.005519836068790602,0.006042123645205389,0.005875337602436004,0.006204767792951316,0.005765771656792531,0.0062595276976935565,0.005672940704971552,0.005904959269652241,0.005710779321625044,0.005633643974683114,0.005525011526371695,0.005759489562478848,0.005662688598084938,0.005773930471729149,0.005947144195222511,0.0053678289405070245,0.0052899907808750864,0.005622759584945684,0.0055064632685790805,0.006000854667614807,0.005712788932586229,0.005382265371736139,0.005709644213008384,0.005799871826401124,0.005979704856872559,0.005840306480725606,0.005795797938912141,0.005598544271092291,0.006102369063430362,0.005772934899991983,0.005992886344236987,0.005709583634480594,0.005898187111597508,0.005933735132248712,0.005676203733310103
