Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
0,1.984812725519684e-05,1.7348108553118504e-05,1.73875429633578e-05,1.7745041245339403e-05,1.8564719677577827e-05,1.9736947901297492e-05,1.85859265501119e-05,1.775977386841987e-05,1.8078185037873345e-05,1.7622877408030035e-05,1.6870156983197464e-05,2.0437669542045522e-05,1.7460625024272524e-05,1.7080246200776223e-05,1.8417921402193743e-05,1.8487242565849254e-05,1.7596107741588812e-05,1.8908445470722517e-05,1.4763876557870909e-05,1.7427291944234942e-05,1.7794787079485384e-05,1.6573085596454412e-05,1.759142685235323e-05,1.7412374412136462e-05,1.7885133419195118e-05,2.216335469711339e-05,2.0408346450318688e-05,1.7999980173044605e-05,1.7792955494609058e-05,1.751478641615963e-05,1.7437760707252892e-05,1.8618957046083568e-05,1.7433404965371526e-05,1.822840992711618e-05,1.7974715926053857e-05,1.6718771153786554e-05,1.8106884370258502e-05,1.6684111539110415e-05,1.7435302263301453e-05,1.7734403570557333e-05,2.1107459230864022e-05,1.7788068579977065e-05,1.2614340846539562e-05,1.7436547932447865e-05,1.6891416060771964e-05,1.641491940302474e-05,1.8626437161271627e-05,1.7200102870686495e-05,1.9515270622605385e-05,1.7429706609806906e-05,1.926501645357348e-05,1.7229308468813542e-05,1.688164573771736e-05,1.555539233777381e-05,1.823311768021085e-05,1.6699137965903845e-05,1.1764258033508668e-05,1.8913053407169204e-05,2.0300005086358976e-05,2.292037629558763e-05,1.5888842544002053e-05,1.7684630620351527e-05,1.5633427665306954e-05,1.8639562897858142e-05,1.74685901962827e-05,1.6129695751050557e-05,1.3641210413576725e-05,1.8115796128083558e-05,1.6370376350230935e-05,1.6607329152074278e-05,1.666380548057431e-05,1.6178393858960288e-05,1.8289674396025173e-05,1.2640646976554612e-05,1.8760870781469358e-05,1.7860699132710012e-05,1.675383802129155e-05,1.5824316252996318e-05,2.0262225802980538e-05,1.676811513919217e-05,1.5536109640379436e-05
10,1.98452313998132e-05,1.734647405639946e-05,1.7383354361300007e-05,1.77419560853965e-05,1.8562695994303426e-05,1.9736788220013424e-05,1.8584965214212125e-05,1.7758211039395782e-05,1.8077838693080835e-05,1.7622695395402843e-05,1.6868701567108036e-05,2.0435184654031347e-05,1.74585472698461e-05,1.7080175597804942e-05,1.8415777252384408e-05,1.8486612323916535e-05,1.7594092149747232e-05,1.8907057340043196e-05,1.476279869296247e-05,1.7424996137075748e-05,1.7793210365478164e-05,1.6570311166625678e-05,1.7589526772402073e-05,1.74106899673158e-05,1.7884065066085434e-05,2.215887543570716e-05,2.0406737730222483e-05,1.7998951856649608e-05,1.7791807541096418e-05,1.7514208050875646e-05,1.7435983263567323e-05,1.8617632751836656e-05,1.7431803249005148e-05,1.8225608938536892e-05,1.797348366178792e-05,1.671747540805362e-05,1.8105806960097414e-05,1.66849436440812e-05,1.7433826904007548e-05,1.773204053279187e-05,2.1102160514731493e-05,1.7787045543569703e-05,1.2612747468665475e-05,1.7434659912396456e-05,1.6888336415975476e-05,1.6413455422910996e-05,1.8625603622370233e-05,1.7199468143109953e-05,1.9513585044705906e-05,1.7428686956479616e-05,1.926222521433374e-05,1.722878344232661e-05,1.6880944555780912e-05,1.5553359086576773e-05,1.823019629227929e-05,1.6698889655289144e-05,1.1762203484977363e-05,1.8910938988797012e-05,2.02965480143162e-05,2.292062686137797e-05,1.588739071663166e-05,1.7683861756268016e-05,1.5631339617054134e-05,1.863681258587998e-05,1.74670504217526e-05,1.6128640170511343e-05,1.3641958503285423e-05,1.811568250970243e-05,1.6369408260490876e-05,1.660655767114509e-05,1.6662530267947455e-05,1.617825212936926e-05,1.828841595852282e-05,1.264230316640654e-05,1.8760987716502443e-05,1.7859186146932944e-05,1.6751038791491218e-05,1.5823085750672626e-05,2.0261325403225783e-05,1.6766386858510204e-05,1.5536540013272314e-05
20,4.339007384260185e-05,4.336616661425473e-05,4.308101021403369e-05,4.312213400575834e-05,4.312949381471034e-05,4.357577667438558e-05,4.3459848682452445e-05,4.313229965191567e-05,4.3295004857848456e-05,4.348239826867939e-05,4.3130789071042666e-05,4.3306488211727605e-05,4.309098122493279e-05,4.3418312998255715e-05,4.3391375519978975e-05,4.3524246545227165e-05,4.3281768263287156e-05,4.316169269017498e-05,4.315299403450419e-05,4.3295806584258874e-05,4.33735458780295e-05,4.334989353083074e-05,4.3286079890094694e-05,4.337908600670441e-05,4.3553622076398736e-05,4.3351213389541957e-05,4.335840340870838e-05,4.337596298379746e-05,4.3214537564541814e-05,4.3267339811615286e-05,4.3168070260435345e-05,4.350531526142731e-05,4.3154546871776874e-05,4.336889367373149e-05,4.353074655227829e-05,4.3147888521031875e-05,4.330715297615634e-05,4.313895756653933e-05,4.314094082682382e-05,4.287307956474251e-05,4.312777881360879e-05,4.323936759356776e-05,4.2855337596847676e-05,4.345085471868515e-05,4.3391800174599904e-05,4.313586587637761e-05,4.3362874670752455e-05,4.32344225836252e-05,4.343087368852139e-05,4.317796095886573e-05,4.27380931796506e-05,4.354033543760042e-05,4.316807165965796e-05,4.310787456536976e-05,4.300028303987347e-05,4.3108342948954135e-05,4.24384943471523e-05,4.33226291377274e-05,4.310646942361597e-05,4.3538096178963315e-05,4.313200566997772e-05,4.304565572965657e-05,4.297599965260209e-05,4.397071773252849e-05,4.319690247535214e-05,4.312231903895736e-05,4.282380493047337e-05,4.313763788705992e-05,4.305654254966174e-05,4.3224415446627415e-05,4.3175080160532765e-05,4.3352496504667215e-05,4.33263267041184e-05,4.305366201151628e-05,4.347450521891005e-05,4.312173901284537e-05,4.32199831266189e-05,4.30659233790075e-05,4.344545732237748e-05,4.317010837844808e-05,4.3303322308929636e-05
30,0.00018512922960023086,0.0001857788479861079,0.0001851907315237137,0.00018504470644984395,0.0001842691583331981,0.0001856850929990677,0.0001852761509531598,0.00018479491260031385,0.00018501352932144994,0.00018595599249238148,0.0001845940700329748,0.0001850128360924178,0.00018609312599327302,0.0001855949956348702,0.0001857349359745379,0.0001854730120006328,0.00018514643428109898,0.00018564859719039236,0.00018532993012091277,0.00018524907354731113,0.00018555347319656554,0.0001853034362803945,0.00018599411259250095,0.00018640195436698075,0.00018638984895207814,0.00018441247229930013,0.00018635770867413452,0.00018589652487814115,0.00018556410299531897,0.0001858541333105325,0.0001844231807626784,0.0001856255487207538,0.0001855805494415108,0.00018458867590397414,0.00018555822720777037,0.00018478278746312884,0.00018451432640033185,0.00018402932354630056,0.00018501392683485546,0.00018510901645640843,0.0001822653949992465,0.000185384926419616,0.00018368878045293968,0.00018703377281781286,0.00018561679156080477,0.00018425148844375815,0.00018459198327036574,0.000184779423682158,0.0001857806664702366,0.0001846348665100683,0.0001847362582338974,0.00018590858169111678,0.00018523187262382216,0.00018407974251507161,0.00018301496893400327,0.00018483466244236167,0.0001846411032602191,0.00018517490715221982,0.0001849802171239968,0.0001849421205406543,0.00018488535136785558,0.00018533219372329768,0.00018590148344325522,0.00018527041330734,0.00018551031381422136,0.0001856252356307008,0.0001838275435147807,0.00018491710755868905,0.00018493930703563684,0.00018494796985340817,0.00018638360941420414,0.00018433682513811314,0.00018542071241730204,0.0001834474242059514,0.00018492589255661836,0.00018379028471543564,0.0001862950812210329,0.00018529766549040834,0.00018572990666143596,0.0001850690324096197,0.00018572593107819558
40,0.0007394586162020763,0.0007439087515834857,0.0007422343090487024,0.0007431349529025073,0.0007334836667309268,0.0007442613215451794,0.0007304012101338876,0.0007360793633300713,0.0007413258588920005,0.0007231550043798052,0.0007415079938558241,0.0007286343001285378,0.0007536697102654161,0.0007450310284074283,0.0007395208922817427,0.0007445853116223589,0.0007363037598441311,0.0007528786560744518,0.0007411310569815603,0.0007392261573113501,0.0007503587492884925,0.0007456095429785949,0.0007547767305125793,0.0007493397201566647,0.000744912267056486,0.0007410392165184021,0.0007547862938560185,0.0007361739129313113,0.0007474795956274165,0.000748944522309748,0.0007301503187045455,0.0007382689867741787,0.0007514785270009619,0.0007334537420807997,0.0007462963403668255,0.000735350742096281,0.0007311514560378304,0.0007375905829989774,0.0007405536521383258,0.0007403338313451968,0.000732223827591432,0.000744526545725208,0.0007382812909781933,0.0007566306914668531,0.0007387495134025812,0.0007336341328673849,0.0007303519848002387,0.0007300769283207493,0.0007461991190211847,0.000739155003524,0.0007459776825271547,0.0007516933308744973,0.0007432022906589107,0.0007316276363174742,0.0007277383701875806,0.0007339641760692609,0.0007481679203920066,0.0007288370919735011,0.0007428477507677268,0.0007437170279445127,0.0007394699164495993,0.0007515086035709828,0.0007526201952714473,0.0007491882923724395,0.0007522875530412421,0.0007406534698720162,0.0007375429462020596,0.0007423775437067673,0.0007374362108681385,0.0007363274737538115,0.0007572101377364662,0.0007449982028144101,0.0007509857338542739,0.0007255134793619314,0.0007163303837712322,0.0007298435417136975,0.0007541536885712828,0.000743666032400553,0.0007245270098792389,0.0007431066992199596,0.0007442826754413545
50,0.0003108594293007627,0.00029426631226669997,0.00032389686384703964,0.0003122392753049588,0.00031101235606312706,0.00030961476815199215,0.0002990690162762128,0.0003094590360170083,0.0003103893117601924,0.00030895628333382774,0.0003192822465437384,0.00030578730440204395,0.0003049907849565374,0.00031358408600543487,0.0003090890302487156,0.0003014456336435008,0.0003099799981836917,0.00031614708703135057,0.0003007331854730312,0.0003177356071925412,0.0003188395702566665,0.00031794372521939555,0.00031649594428017735,0.00030805431209349383,0.0003189710403112547,0.00032949575688689947,0.00031793086541696423,0.0003103383569396101,0.00031632762453655765,0.00032751696445273173,0.000306370563339442,0.00031784722523298115,0.00032070401357486844,0.0003051170665790645,0.00031408211927757494,0.0003106314200392392,0.0002958198682264131,0.0003130952272013846,0.00031224056076909227,0.000311453966787667,0.0003021709105399038,0.00030419421044767815,0.0003314342066005338,0.00032165759184863416,0.0003061236355662052,0.0002993873896469411,0.0003062071494891175,0.00030140663415965577,0.00030031686492293375,0.0003109555954920481,0.0003092567669227719,0.00031044878414832056,0.0003234197613962281,0.0003131906463143726,0.0003091983147896826,0.0003045238174346029,0.00031597928318660706,0.0003095003379838027,0.0003085306168279865,0.00032469235156895593,0.00030066228036077755,0.0003212103547411971,0.00031312720481461537,0.0003061303993620511,0.0003214637375397918,0.0003156392297779138,0.0003137176293724527,0.00031951386875833475,0.0003146171968385008,0.00030056627122223846,0.0003166911386263867,0.0003181963208286713,0.0003227436973247677,0.0002933874663237172,0.00030330235936811993,0.0003125038868808127,0.00032205461424642375,0.0003105964013581885,0.00029303548217285424,0.0003199513398498265,0.00031631721649318936
60,0.001499373745173216,0.0014011012131555213,0.0013208883998837944,0.001273580201758215,0.0014406735448850483,0.0015204070867704494,0.0015552644636632213,0.0015196718350604275,0.0014788620638118797,0.0014479480378213339,0.0013905415964675033,0.0014491434724602317,0.001476374306631359,0.0014948223498791006,0.0014565987800083616,0.0015093101634799193,0.0013973199269717693,0.001390140975937483,0.0014493652290963968,0.001502877170375238,0.001461548287457285,0.001445098290527572,0.0013444978332457444,0.0013884952990338207,0.0014318341716370057,0.0013249523704871534,0.0013694638177947772,0.0013428342620803353,0.0014108326032702975,0.0014310696475853724,0.0014143670823735495,0.001462335765469246,0.0013335332813977192,0.0013794304289082746,0.001536548512780832,0.001329027211925547,0.0014582535881536866,0.001457537746649574,0.0013291030289066664,0.0013070162531221285,0.001312679860607854,0.001421491995062481,0.0014219422082533129,0.0015167572651989757,0.0015311658468195482,0.0014461184796681137,0.0014074634852087391,0.0013699458218628965,0.0014544431251124479,0.0013532431410818264,0.0012422547093592583,0.0015089201465757055,0.0013481640149481022,0.0014289014410072316,0.001216184755321592,0.0014010856215537963,0.0010758646239992231,0.0014248692896217108,0.001477015268226916,0.0014522401324938983,0.001548616838971934,0.0014066317089600489,0.0012158885753403108,0.0015329678343342884,0.0013511539566227132,0.0013598343079838041,0.0013697632122784853,0.0013860183591473728,0.0013913739223628202,0.0013491403052440702,0.001484120426337338,0.0014547081276153524,0.001447969814762473,0.001138439663918689,0.0013655202596315316,0.001441557099437946,0.001461055637004652,0.0013709907598827304,0.0015736338391434401,0.001395899391568759,0.0014461507089436054
70,0.005428826169421275,0.005086166991127862,0.005512088304385543,0.004781394100819643,0.005566601311387141,0.005489824206701347,0.0054850584466851525,0.005580206904070158,0.005515326465821907,0.005631765045109205,0.005472809817917921,0.00544765152569328,0.005369857257006295,0.0056035550501705575,0.005324013380552916,0.005455276880335684,0.005348717258866167,0.00539129430463514,0.005133941944222897,0.005625489465892315,0.005662119209479827,0.005472666754420581,0.005452206510429581,0.004954007508543631,0.005765811200179751,0.005579507630318403,0.005195792494041305,0.005068534078115287,0.005497914714300457,0.005780406972213137,0.005263976917291681,0.005764751247345255,0.005421532774702287,0.005158741083904737,0.005561874131672084,0.005020283486893666,0.005222956916488903,0.006189937618645755,0.005070770899933505,0.005094294392620213,0.005000880320689508,0.0054014000863312405,0.006016414146870375,0.0057359844446182254,0.0058241128725440875,0.005168745495182903,0.005235457333869167,0.0052084277910915645,0.0050158327430835925,0.0051519904799502475,0.005296672135591507,0.0056842689995061264,0.005416147640118232,0.005182474269531667,0.0046879404457286,0.005030276938056459,0.004760837880894542,0.005341264098111926,0.005342038813978434,0.00562370743136853,0.005710816992226467,0.005093853163998574,0.004373082619470854,0.005721548771751779,0.005190037979951335,0.0052645959246617096,0.004984130073959629,0.005369950909548069,0.005168709966474799,0.004764054763458065,0.005637772898707125,0.005847004242241383,0.005698955773065488,0.004302201171716054,0.005221696237900427,0.0055492773996787025,0.005656851688399911,0.005253279024937881,0.0057892396580427885,0.005441968213813771,0.005694456677883863
80,0.004651893048236768,0.004473309110229214,0.004391452996060252,0.003971328059784495,0.004633785623326143,0.004605461178081376,0.004656994399885016,0.004623865708708763,0.00442098138582763,0.004500614304561168,0.004488620958808396,0.004555536814186038,0.004310543691231446,0.0045827117776780415,0.004419511452536372,0.0046023709486083435,0.004468778264708817,0.004462541225425239,0.004170456884561905,0.004583454073096315,0.004741693058839211,0.004517179801561204,0.004388631004840136,0.004154210987811287,0.004681584521359395,0.004547326033934951,0.004167657754864664,0.004114567957003601,0.004427847575725001,0.004605040284654786,0.004388514459133148,0.004567314584094744,0.004340086271090863,0.0042918849929531174,0.004619932539450626,0.004300974758474955,0.004537252834875528,0.004624423126436092,0.004220698831086776,0.004128874483285472,0.003800001328012773,0.004440396219155097,0.0049111482803709805,0.004507007752545178,0.00470326593341796,0.004417461813672593,0.004342911778283971,0.004365068178199101,0.004478340306377504,0.004282418514023824,0.004625137615948916,0.004443328637121754,0.004553283473405128,0.004376408954461415,0.0039875162299722435,0.004336246246548027,0.004555757623165846,0.004516724529194421,0.004539439878003163,0.004692334856372327,0.004430856207706114,0.004189361556200311,0.0037347480732326708,0.004898000874423555,0.004283937586781879,0.004273944552271412,0.004418001448114713,0.004553102567711825,0.0042900254592058,0.004153124472076023,0.00463008073469003,0.0046633572007219,0.0049113924615085125,0.003996481730913122,0.0041906576537128004,0.00442065543785401,0.004357486431087766,0.004314537738419829,0.004777045134687796,0.00428940520715751,0.0043945216806605455
90,0.0061387142911553385,0.005937794033713915,0.006229361519217491,0.005831627691021332,0.006273897983652505,0.005752498017890113,0.00573367609326998,0.006126230692883071,0.006064893005863775,0.006001972651574761,0.006277990975865611,0.005941594076551953,0.005908949639309536,0.006087205161086537,0.005760611045886489,0.005943047455123936,0.006009988104259329,0.006020388259446319,0.005642531680808004,0.006152595362315575,0.006380189403605002,0.006159464770462364,0.006162385226537784,0.005736780228714148,0.006186964522515025,0.006552510242909193,0.005862177218190364,0.005861392797669396,0.006371858431135907,0.006395336263062012,0.0058782089377443,0.00617682346357749,0.005884087554967174,0.005807043672198566,0.0060146397445350885,0.00573565751879609,0.0057370748438284195,0.006256443490697579,0.005972201060728136,0.005622306402074173,0.005311774356024606,0.005920254645195413,0.006963568506762385,0.005751721258275211,0.006005584997566123,0.005878625141064587,0.005930563920576657,0.005517059640975245,0.005730131873860955,0.005733456773731601,0.006066552083939314,0.006089259658686139,0.006174635392828629,0.0055867523575822515,0.005188907706178724,0.005696134076320699,0.006149417022243142,0.005816418460795078,0.00586331711912697,0.006419117678888142,0.005807405835898814,0.005624356970656663,0.005583968013525009,0.006172819861343929,0.005885480527973009,0.005919089583823314,0.005895717659344276,0.006141767526666324,0.005676179050674869,0.005578982190707246,0.006138859316706657,0.0058342696477969485,0.0064621721394360065,0.006121764347578089,0.005509857786819339,0.005849491287772725,0.005925315199419856,0.005884435825846007,0.006290051795076579,0.006179776023134214,0.0057571596466004845
100,0.0072634376337130865,0.006885043552352322,0.007220758746067683,0.006578259442288142,0.007059764688763815,0.006790917566312211,0.006575236551373476,0.007127187735597162,0.007232238562141038,0.007002906932029873,0.007361111610575959,0.006971189609671734,0.007030300386814457,0.007217642127987788,0.006721628440872711,0.00710054279382651,0.006840010644823667,0.006985611305866815,0.006304901891521045,0.007157758778582017,0.007472091297117563,0.00728026738423588,0.007162738358601928,0.006781809078529477,0.007172222263992779,0.007412565127015114,0.006782746633454677,0.006995187325325484,0.007414420732461354,0.007536265255522824,0.006822162227084239,0.007282182699642503,0.006908042320551781,0.0067100915376369545,0.007122021660001742,0.006520786222868732,0.006615613023505399,0.007057571783661842,0.006968152928109987,0.006272398808505386,0.006172811479440757,0.006875475858675039,0.007786688162013888,0.006911543989554047,0.006998943262978604,0.006832651541519322,0.006814549544027874,0.006323188751641857,0.006755866968887858,0.006616753377502078,0.006763670593500137,0.007188718850639733,0.006964577542832837,0.006196869090975572,0.00579418339766562,0.006563663777268055,0.00701434095390141,0.00673915111813052,0.0068000021221285515,0.0070147954393178225,0.006839031654019509,0.00646827177843079,0.0066668333020061255,0.007335446708436523,0.006808322776729862,0.006949171416748029,0.00684950752183795,0.007088216236962747,0.006472201703150791,0.006489059648703079,0.007146885954878396,0.006666625151410699,0.007393603368351857,0.006851209482798974,0.006425870449415275,0.006730695572597059,0.006922990083694458,0.00681433551794579,0.007121182046830654,0.007094351856523201,0.006461551133543253
150,0.006639940746439,0.00576287673579322,0.00783628000256916,0.005654862150549889,0.006635470398336272,0.005919706342475755,0.005259950658411628,0.006736419433237691,0.006780419928976629,0.006755947004421614,0.007409590652879374,0.006428902579129351,0.006817719320569075,0.006900418588581185,0.006256231561522273,0.006646231360112627,0.0060960436156684795,0.006715627431374373,0.006222647523307907,0.006711985742052396,0.007130536759415498,0.0067602806624823385,0.006523334871356686,0.0066878541217496,0.007408214651698631,0.007438946980983019,0.006444402523489008,0.006569506765420859,0.00691982695065877,0.0075142828432182155,0.006712536914274096,0.00748980319342361,0.006844753336806137,0.006401813645824426,0.006793975700727767,0.005979977560595476,0.005933462988315641,0.007148144851354035,0.006764230455821717,0.006396277545718476,0.006324829134557929,0.006062111302100597,0.006976546661462635,0.006655182503163814,0.006782903532056432,0.0056844414701979415,0.006335045397281647,0.00576245783534097,0.005775439152785111,0.006189992195717862,0.00683538094162941,0.005895534509115599,0.006843874510377645,0.005788840916162978,0.0061200976371765135,0.0059717302733310025,0.007181151770055294,0.0061437347903847694,0.005662254057824612,0.006144166458398104,0.006302680472232481,0.007051521330140531,0.006167378819858034,0.006296141871384212,0.006904144279865755,0.006742320123773355,0.0067017242001990475,0.006931905184061297,0.006609452989694007,0.005909357440179667,0.0070746952874792945,0.006360967565948765,0.006811526603996754,0.0061610919656232,0.006494433153420687,0.006043741464397156,0.006206409656442702,0.0062161961574137455,0.00577106699347496,0.006957025427621703,0.00661954702809453
