	canoe	trudge	kayak	trek	stride	vault	trot	hop	exit	scurry	bike	raft	dart	speed	lurch	inch	gallop	paddle	creep	stagger	meander	stumble	hike	skate	tumble	wander	cycle	hasten	chase	plunge	dash	scramble	glide	limp	taxi	row	crawl	depart	journey	float	race	hurry	arrive	drift	swim	ride	flee	cross	march	sail	descend	fly	ascend	walk	climb	rush	run	travel	go	refund	bequeath	ask	dictate	yield	guarantee	tell	mail	allot	forward	promise	trade	rent	cede	relay	read	lease	feed	explain	deny	teach	allocate	issue	show	pass	grant	award	deliver	present	offer	pay	sell	assign	transfer	give	checkpoint
Layer 1	1.0	1.0	1.0	0.5	0.5	0.0	0.5	0.0	1.0	1.0	0.0	0.6666666666666666	0.6666666666666666	0.6	0.4	0.8	0.4	0.6666666666666666	0.14285714285714285	0.2857142857142857	0.5	0.3333333333333333	0.2	0.2	0.4	0.2727272727272727	0.5454545454545454	0.6666666666666666	0.5	0.6666666666666666	0.25	0.4166666666666667	0.6153846153846154	0.5714285714285714	0.6666666666666666	0.25	0.30434782608695654	0.4	0.3548387096774194	0.42857142857142855	0.6595744680851063	0.4489795918367347	0.4	0.6708860759493671	0.5108695652173914	0.5978260869565217	0.6521739130434783	0.5217391304347826	0.4673913043478261	0.43478260869565216	0.5	0.34782608695652173	0.43010752688172044	0.46236559139784944	0.3118279569892473	0.4946236559139785	0.41935483870967744	0.3655913978494624	0.4946236559139785	0.6	0.25	0.6470588235294118	0.5	0.22727272727272727	0.5172413793103449	0.5161290322580645	0.53125	0.696969696969697	0.5641025641025641	0.6153846153846154	0.8113207547169812	0.5714285714285714	0.6666666666666666	0.6666666666666666	0.7123287671232876	0.7567567567567568	0.6891891891891891	0.7432432432432432	0.5675675675675675	0.6621621621621622	0.6621621621621622	0.7027027027027027	0.6756756756756757	0.5540540540540541	0.6081081081081081	0.8918918918918919	0.6351351351351351	0.6351351351351351	0.8108108108108109	0.5675675675675675	0.6486486486486487	0.6216216216216216	0.9054054054054054	0.40540540540540543	0
Layer 2	1.0	0.0	1.0	1.0	0.5	1.0	1.0	0.0	0.5	0.6666666666666666	0.0	0.6666666666666666	0.6666666666666666	0.6	0.6	0.6	0.6	0.6666666666666666	0.7142857142857143	0.7142857142857143	0.875	0.6666666666666666	0.4	0.5	0.6	0.45454545454545453	0.6363636363636364	0.5833333333333334	0.6666666666666666	0.5833333333333334	0.16666666666666666	0.3333333333333333	0.3076923076923077	0.5	0.3333333333333333	0.625	0.6956521739130435	0.4	0.3870967741935484	0.7428571428571429	0.7659574468085106	0.46938775510204084	0.4857142857142857	0.5569620253164557	0.6413043478260869	0.7065217391304348	0.7717391304347826	0.5217391304347826	0.7065217391304348	0.5	0.5978260869565217	0.4673913043478261	0.46236559139784944	0.4838709677419355	0.4946236559139785	0.7204301075268817	0.6344086021505376	0.6236559139784946	0.5268817204301075	0.6	0.75	0.17647058823529413	0.22727272727272727	0.4090909090909091	0.3793103448275862	0.7096774193548387	0.625	0.7575757575757576	0.6410256410256411	0.6153846153846154	0.2830188679245283	0.32142857142857145	0.5079365079365079	0.5555555555555556	0.8082191780821918	0.47297297297297297	0.6891891891891891	0.7027027027027027	0.3108108108108108	0.5135135135135135	0.8648648648648649	0.6621621621621622	0.47297297297297297	0.7027027027027027	0.5540540540540541	0.6486486486486487	0.43243243243243246	0.7972972972972973	0.4864864864864865	0.47297297297297297	0.8243243243243243	0.40540540540540543	0.8108108108108109	0.43243243243243246	0
Layer 3	1.0	0.0	1.0	1.0	0.0	0.5	1.0	0.0	0.5	0.6666666666666666	0.3333333333333333	0.6666666666666666	1.0	0.6	0.4	0.8	0.4	0.3333333333333333	0.5714285714285714	0.8571428571428571	0.625	0.5555555555555556	0.3	0.4	0.7	0.6363636363636364	0.7272727272727273	1.0	0.9166666666666666	0.5	0.16666666666666666	0.3333333333333333	0.6153846153846154	0.5	0.4	0.8125	0.5652173913043478	0.56	0.3870967741935484	0.5428571428571428	0.6382978723404256	0.4489795918367347	0.5285714285714286	0.4810126582278481	0.6521739130434783	0.7391304347826086	0.532608695652174	0.6195652173913043	0.8478260869565217	0.5652173913043478	0.4673913043478261	0.41304347826086957	0.5161290322580645	0.7311827956989247	0.5053763440860215	0.8172043010752689	0.7204301075268817	0.6236559139784946	0.43010752688172044	0.8	1.0	0.47058823529411764	0.5	0.3181818181818182	0.4482758620689655	0.6774193548387096	0.65625	0.6363636363636364	0.6923076923076923	0.41025641025641024	0.2830188679245283	0.5	0.36507936507936506	0.4305555555555556	0.821917808219178	0.4864864864864865	0.47297297297297297	0.6486486486486487	0.3918918918918919	0.6216216216216216	0.8243243243243243	0.6891891891891891	0.4864864864864865	0.7702702702702703	0.7972972972972973	0.36486486486486486	0.36486486486486486	0.8783783783783784	0.6621621621621622	0.5675675675675675	0.7297297297297297	0.7027027027027027	0.8513513513513513	0.40540540540540543	0
Layer 4	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.5	0.3333333333333333	0.6666666666666666	0.6666666666666666	1.0	0.6	0.4	0.8	0.4	0.8333333333333334	0.42857142857142855	0.8571428571428571	0.75	0.5555555555555556	0.4	0.6	0.9	0.45454545454545453	0.7272727272727273	0.8333333333333334	0.8333333333333334	0.25	0.25	0.3333333333333333	0.5384615384615384	0.6428571428571429	0.4666666666666667	0.8125	0.5652173913043478	0.36	0.2903225806451613	0.42857142857142855	0.7021276595744681	0.5714285714285714	0.4714285714285714	0.5063291139240507	0.5978260869565217	0.6086956521739131	0.5978260869565217	0.6521739130434783	0.6521739130434783	0.6195652173913043	0.5543478260869565	0.3804347826086957	0.5591397849462365	0.6021505376344086	0.6774193548387096	0.6989247311827957	0.6344086021505376	0.6236559139784946	0.3763440860215054	0.8	1.0	0.6470588235294118	0.36363636363636365	0.5	0.5172413793103449	0.6129032258064516	0.65625	0.6363636363636364	0.7435897435897436	0.5641025641025641	0.3018867924528302	0.5357142857142857	0.5555555555555556	0.3611111111111111	0.7534246575342466	0.4864864864864865	0.6351351351351351	0.6486486486486487	0.3783783783783784	0.6081081081081081	0.8378378378378378	0.6216216216216216	0.40540540540540543	0.7162162162162162	0.7027027027027027	0.43243243243243246	0.4594594594594595	0.8378378378378378	0.6891891891891891	0.5405405405405406	0.6891891891891891	0.7567567567567568	0.7567567567567568	0.40540540540540543	0
Layer 5	1.0	0.0	0.0	1.0	0.5	0.0	0.5	0.0	1.0	0.3333333333333333	1.0	0.6666666666666666	1.0	0.6	0.6	0.6	0.4	0.6666666666666666	0.14285714285714285	0.8571428571428571	1.0	0.5555555555555556	0.4	0.5	0.8	0.36363636363636365	0.6363636363636364	0.8333333333333334	0.5833333333333334	0.4166666666666667	0.08333333333333333	0.3333333333333333	0.46153846153846156	0.6428571428571429	0.4	0.6875	0.6521739130434783	0.32	0.2903225806451613	0.42857142857142855	0.6595744680851063	0.6326530612244898	0.5714285714285714	0.6708860759493671	0.6086956521739131	0.5434782608695652	0.5978260869565217	0.6739130434782609	0.6304347826086957	0.6195652173913043	0.6956521739130435	0.358695652173913	0.6774193548387096	0.7204301075268817	0.5591397849462365	0.7204301075268817	0.6559139784946236	0.5806451612903226	0.46236559139784944	1.0	1.0	0.5882352941176471	0.45454545454545453	0.45454545454545453	0.3793103448275862	0.5483870967741935	0.65625	0.7878787878787878	0.7948717948717948	0.48717948717948717	0.41509433962264153	0.5535714285714286	0.7142857142857143	0.3055555555555556	0.6712328767123288	0.5405405405405406	0.6486486486486487	0.6351351351351351	0.527027027027027	0.7027027027027027	0.8243243243243243	0.4864864864864865	0.4594594594594595	0.7297297297297297	0.7297297297297297	0.5675675675675675	0.32432432432432434	0.7702702702702703	0.7432432432432432	0.6081081081081081	0.6216216216216216	0.7297297297297297	0.7972972972972973	0.35135135135135137	0
Layer 6	1.0	1.0	0.0	1.0	0.5	0.5	1.0	1.0	1.0	0.3333333333333333	1.0	0.6666666666666666	1.0	0.8	0.4	1.0	0.4	0.8333333333333334	0.42857142857142855	1.0	0.75	0.4444444444444444	0.7	0.4	0.6	0.36363636363636365	0.6363636363636364	0.5833333333333334	0.5	0.16666666666666666	0.08333333333333333	0.3333333333333333	0.3076923076923077	0.5	0.5333333333333333	0.8125	0.6521739130434783	0.48	0.3225806451612903	0.4857142857142857	0.6808510638297872	0.7551020408163265	0.4857142857142857	0.5189873417721519	0.5108695652173914	0.6304347826086957	0.5869565217391305	0.7717391304347826	0.6847826086956522	0.7608695652173914	0.6086956521739131	0.5108695652173914	0.5806451612903226	0.6881720430107527	0.5376344086021505	0.7096774193548387	0.6344086021505376	0.6021505376344086	0.46236559139784944	0.8	0.75	0.5882352941176471	0.36363636363636365	0.5909090909090909	0.3793103448275862	0.5161290322580645	0.5625	0.8181818181818182	0.8205128205128205	0.41025641025641024	0.33962264150943394	0.5178571428571429	0.47619047619047616	0.4027777777777778	0.6438356164383562	0.527027027027027	0.6081081081081081	0.6351351351351351	0.6081081081081081	0.5405405405405406	0.8783783783783784	0.47297297297297297	0.581081081081081	0.6891891891891891	0.6891891891891891	0.4864864864864865	0.3918918918918919	0.7837837837837838	0.7702702702702703	0.6351351351351351	0.527027027027027	0.7972972972972973	0.7972972972972973	0.4189189189189189	0
Layer 7	1.0	1.0	0.0	1.0	0.5	0.0	1.0	1.0	1.0	0.3333333333333333	0.6666666666666666	0.6666666666666666	1.0	0.6	0.6	0.8	0.6	0.6666666666666666	0.14285714285714285	1.0	0.75	0.5555555555555556	0.4	0.4	0.9	0.2727272727272727	0.5454545454545454	0.6666666666666666	0.5833333333333334	0.3333333333333333	0.3333333333333333	0.25	0.23076923076923078	0.5	0.3333333333333333	0.75	0.6086956521739131	0.36	0.25806451612903225	0.4857142857142857	0.574468085106383	0.6122448979591837	0.4857142857142857	0.6075949367088608	0.6521739130434783	0.4891304347826087	0.5434782608695652	0.6521739130434783	0.5217391304347826	0.717391304347826	0.6847826086956522	0.2826086956521739	0.6236559139784946	0.7311827956989247	0.5591397849462365	0.6559139784946236	0.5591397849462365	0.5591397849462365	0.40860215053763443	0.8	0.75	0.47058823529411764	0.36363636363636365	0.2727272727272727	0.3448275862068966	0.6129032258064516	0.625	0.7878787878787878	0.7435897435897436	0.4358974358974359	0.39622641509433965	0.5178571428571429	0.6349206349206349	0.4305555555555556	0.6438356164383562	0.43243243243243246	0.6081081081081081	0.5540540540540541	0.4594594594594595	0.6216216216216216	0.8783783783783784	0.5	0.527027027027027	0.7837837837837838	0.7162162162162162	0.6216216216216216	0.33783783783783783	0.7702702702702703	0.8513513513513513	0.5540540540540541	0.5945945945945946	0.6756756756756757	0.7837837837837838	0.47297297297297297	0
Layer 8	1.0	0.0	0.0	0.0	0.5	0.5	1.0	1.0	1.0	0.6666666666666666	1.0	0.6666666666666666	1.0	0.6	0.2	1.0	0.6	0.6666666666666666	0.2857142857142857	1.0	0.375	0.4444444444444444	0.6	0.4	0.8	0.36363636363636365	0.5454545454545454	0.6666666666666666	0.5	0.3333333333333333	0.3333333333333333	0.16666666666666666	0.38461538461538464	0.7142857142857143	0.4	0.875	0.5652173913043478	0.4	0.16129032258064516	0.5142857142857142	0.6170212765957447	0.7346938775510204	0.5142857142857142	0.45569620253164556	0.5978260869565217	0.5978260869565217	0.6304347826086957	0.6304347826086957	0.6956521739130435	0.782608695652174	0.5978260869565217	0.391304347826087	0.5591397849462365	0.7311827956989247	0.5161290322580645	0.7419354838709677	0.5591397849462365	0.5268817204301075	0.5376344086021505	1.0	0.75	0.5882352941176471	0.45454545454545453	0.3181818181818182	0.3448275862068966	0.6129032258064516	0.65625	0.696969696969697	0.6666666666666666	0.38461538461538464	0.4528301886792453	0.5	0.3333333333333333	0.5138888888888888	0.7808219178082192	0.40540540540540543	0.44594594594594594	0.527027027027027	0.47297297297297297	0.5	0.8918918918918919	0.47297297297297297	0.5675675675675675	0.8378378378378378	0.7027027027027027	0.4189189189189189	0.4189189189189189	0.8378378378378378	0.7972972972972973	0.527027027027027	0.6486486486486487	0.7432432432432432	0.8378378378378378	0.4594594594594595	0
Layer 9	1.0	1.0	0.0	0.5	0.5	0.0	1.0	1.0	1.0	0.3333333333333333	0.6666666666666666	0.6666666666666666	1.0	0.8	0.2	0.8	0.4	0.6666666666666666	0.5714285714285714	0.7142857142857143	0.5	0.4444444444444444	0.5	0.6	0.6	0.5454545454545454	0.45454545454545453	0.5833333333333334	0.5	0.3333333333333333	0.5	0.25	0.5384615384615384	0.6428571428571429	0.3333333333333333	0.875	0.8260869565217391	0.36	0.2903225806451613	0.5428571428571428	0.6808510638297872	0.673469387755102	0.45714285714285713	0.4810126582278481	0.7391304347826086	0.6413043478260869	0.6304347826086957	0.6739130434782609	0.6847826086956522	0.7934782608695652	0.6086956521739131	0.42391304347826086	0.5376344086021505	0.6236559139784946	0.5591397849462365	0.7526881720430108	0.43010752688172044	0.5806451612903226	0.41935483870967744	1.0	0.625	0.4117647058823529	0.5	0.3181818181818182	0.5172413793103449	0.6451612903225806	0.53125	0.6363636363636364	0.6153846153846154	0.5384615384615384	0.33962264150943394	0.48214285714285715	0.30158730158730157	0.5277777777777778	0.6301369863013698	0.4864864864864865	0.6351351351351351	0.527027027027027	0.5675675675675675	0.527027027027027	0.8513513513513513	0.44594594594594594	0.527027027027027	0.7162162162162162	0.6621621621621622	0.6351351351351351	0.4594594594594595	0.8243243243243243	0.7432432432432432	0.6351351351351351	0.6351351351351351	0.7837837837837838	0.8648648648648649	0.5405405405405406	0
Layer 10	1.0	1.0	0.0	0.5	0.5	1.0	1.0	1.0	1.0	0.3333333333333333	0.6666666666666666	0.6666666666666666	1.0	0.6	0.2	0.6	0.4	0.6666666666666666	0.42857142857142855	0.8571428571428571	0.375	0.4444444444444444	0.5	0.6	0.6	0.6363636363636364	0.36363636363636365	0.6666666666666666	0.5833333333333334	0.16666666666666666	0.5833333333333334	0.4166666666666667	0.46153846153846156	0.7142857142857143	0.4	0.875	0.782608695652174	0.52	0.25806451612903225	0.45714285714285713	0.7446808510638298	0.673469387755102	0.4857142857142857	0.5316455696202531	0.5760869565217391	0.6304347826086957	0.5760869565217391	0.75	0.7391304347826086	0.7608695652173914	0.6195652173913043	0.44565217391304346	0.44086021505376344	0.6559139784946236	0.6666666666666666	0.8172043010752689	0.44086021505376344	0.5806451612903226	0.45161290322580644	0.8	0.75	0.47058823529411764	0.5454545454545454	0.3181818181818182	0.4482758620689655	0.6129032258064516	0.59375	0.7272727272727273	0.5897435897435898	0.5641025641025641	0.33962264150943394	0.6071428571428571	0.31746031746031744	0.5277777777777778	0.5753424657534246	0.5405405405405406	0.6216216216216216	0.6081081081081081	0.5945945945945946	0.5	0.8243243243243243	0.43243243243243246	0.581081081081081	0.7297297297297297	0.7297297297297297	0.5675675675675675	0.5135135135135135	0.7837837837837838	0.7027027027027027	0.5945945945945946	0.527027027027027	0.8243243243243243	0.7432432432432432	0.47297297297297297	0
