	canoe	trudge	kayak	trek	stride	vault	trot	hop	exit	scurry	bike	raft	dart	speed	lurch	inch	gallop	paddle	creep	stagger	meander	stumble	hike	skate	tumble	wander	cycle	hasten	chase	plunge	dash	scramble	glide	limp	taxi	row	crawl	depart	journey	float	race	hurry	arrive	drift	swim	ride	flee	cross	march	sail	descend	fly	ascend	walk	climb	rush	run	travel	go	refund	bequeath	ask	dictate	yield	guarantee	tell	mail	allot	forward	promise	trade	rent	cede	relay	read	lease	feed	explain	deny	teach	allocate	issue	show	pass	grant	award	deliver	present	offer	pay	sell	assign	transfer	give	checkpoint
Layer 1	0.0	0.0	1.0	0.5	0.5	0.0	0.0	0.0	0.0	0.3333333333333333	0.6666666666666666	0.0	0.6666666666666666	0.8	0.6	0.8	0.4	0.6666666666666666	0.2857142857142857	0.8571428571428571	0.5	0.4444444444444444	0.8	0.5	0.6	0.2727272727272727	0.5454545454545454	0.6666666666666666	0.5833333333333334	0.4166666666666667	0.3333333333333333	0.3333333333333333	0.46153846153846156	0.5	0.4666666666666667	0.4375	0.4782608695652174	0.24	0.41935483870967744	0.4	0.46808510638297873	0.40816326530612246	0.4714285714285714	0.4936708860759494	0.3804347826086957	0.44565217391304346	0.4891304347826087	0.45652173913043476	0.43478260869565216	0.4891304347826087	0.5	0.45652173913043476	0.44086021505376344	0.4946236559139785	0.4731182795698925	0.5053763440860215	0.45161290322580644	0.4731182795698925	0.45161290322580644	0.6	0.875	0.6470588235294118	0.6818181818181818	0.6818181818181818	0.4827586206896552	0.5483870967741935	0.5	0.5757575757575758	0.48717948717948717	0.4358974358974359	0.6037735849056604	0.6071428571428571	0.5873015873015873	0.5138888888888888	0.5068493150684932	0.5	0.6756756756756757	0.6621621621621622	0.5945945945945946	0.4864864864864865	0.5945945945945946	0.5675675675675675	0.5135135135135135	0.5945945945945946	0.6081081081081081	0.5	0.5540540540540541	0.527027027027027	0.5945945945945946	0.5405405405405406	0.5405405405405406	0.4594594594594595	0.5540540540540541	0.7297297297297297	0
Layer 2	0.0	0.0	1.0	0.5	0.0	0.5	0.0	1.0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0	0.4	0.4	0.6	0.2	0.3333333333333333	0.5714285714285714	0.7142857142857143	0.5	0.3333333333333333	0.4	0.1	0.3	0.36363636363636365	0.36363636363636365	0.3333333333333333	0.4166666666666667	0.08333333333333333	0.16666666666666666	0.08333333333333333	0.3076923076923077	0.21428571428571427	0.13333333333333333	0.3125	0.391304347826087	0.2	0.3548387096774194	0.11428571428571428	0.3617021276595745	0.32653061224489793	0.3	0.43037974683544306	0.2608695652173913	0.2608695652173913	0.2826086956521739	0.22826086956521738	0.29347826086956524	0.31521739130434784	0.358695652173913	0.2608695652173913	0.3870967741935484	0.3655913978494624	0.3548387096774194	0.3763440860215054	0.3655913978494624	0.3548387096774194	0.3225806451612903	0.6	0.75	0.7058823529411765	0.7727272727272727	0.9090909090909091	0.8620689655172413	0.7419354838709677	0.6875	0.8484848484848485	0.6410256410256411	0.7435897435897436	0.6037735849056604	0.7142857142857143	0.8253968253968254	0.75	0.6712328767123288	0.7162162162162162	0.7162162162162162	0.7297297297297297	0.7567567567567568	0.6486486486486487	0.7432432432432432	0.6891891891891891	0.6891891891891891	0.8108108108108109	0.7432432432432432	0.5540540540540541	0.6756756756756757	0.6351351351351351	0.6351351351351351	0.6621621621621622	0.7027027027027027	0.5945945945945946	0.7432432432432432	0.7567567567567568	0
Layer 3	0.0	0.0	1.0	0.0	0.0	0.5	0.0	1.0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0	0.2	0.2	0.6	0.2	0.3333333333333333	0.42857142857142855	0.7142857142857143	0.25	0.4444444444444444	0.5	0.1	0.3	0.36363636363636365	0.5454545454545454	0.4166666666666667	0.4166666666666667	0.0	0.16666666666666666	0.16666666666666666	0.3076923076923077	0.42857142857142855	0.3333333333333333	0.3125	0.43478260869565216	0.2	0.41935483870967744	0.11428571428571428	0.44680851063829785	0.32653061224489793	0.3142857142857143	0.4810126582278481	0.29347826086956524	0.31521739130434784	0.32608695652173914	0.20652173913043478	0.2608695652173913	0.31521739130434784	0.358695652173913	0.29347826086956524	0.3655913978494624	0.3655913978494624	0.3655913978494624	0.3978494623655914	0.3655913978494624	0.34408602150537637	0.3333333333333333	0.6	0.625	0.7058823529411765	0.7272727272727273	0.9090909090909091	0.8275862068965517	0.7096774193548387	0.71875	0.8787878787878788	0.6153846153846154	0.7435897435897436	0.6226415094339622	0.7321428571428571	0.8095238095238095	0.75	0.6986301369863014	0.6891891891891891	0.7027027027027027	0.6891891891891891	0.7162162162162162	0.6891891891891891	0.6756756756756757	0.6486486486486487	0.6351351351351351	0.8243243243243243	0.7702702702702703	0.5945945945945946	0.6891891891891891	0.6891891891891891	0.6756756756756757	0.6486486486486487	0.7297297297297297	0.6081081081081081	0.7432432432432432	0.7567567567567568	0
Layer 4	0.0	0.0	1.0	0.0	0.0	0.5	0.0	1.0	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.0	0.2	0.4	0.6	0.2	0.3333333333333333	0.5714285714285714	0.7142857142857143	0.5	0.3333333333333333	0.5	0.2	0.4	0.45454545454545453	0.5454545454545454	0.4166666666666667	0.25	0.08333333333333333	0.16666666666666666	0.16666666666666666	0.38461538461538464	0.2857142857142857	0.26666666666666666	0.3125	0.43478260869565216	0.2	0.45161290322580644	0.22857142857142856	0.425531914893617	0.3673469387755102	0.38571428571428573	0.4936708860759494	0.25	0.33695652173913043	0.29347826086956524	0.2717391304347826	0.31521739130434784	0.42391304347826086	0.391304347826087	0.391304347826087	0.3655913978494624	0.3978494623655914	0.41935483870967744	0.3978494623655914	0.3870967741935484	0.3655913978494624	0.34408602150537637	0.6	0.5	0.6470588235294118	0.6363636363636364	0.7727272727272727	0.896551724137931	0.7096774193548387	0.6875	0.7575757575757576	0.5641025641025641	0.6153846153846154	0.6226415094339622	0.6071428571428571	0.8095238095238095	0.7361111111111112	0.5616438356164384	0.6756756756756757	0.6891891891891891	0.7027027027027027	0.7297297297297297	0.7027027027027027	0.6756756756756757	0.5945945945945946	0.6486486486486487	0.7432432432432432	0.7027027027027027	0.581081081081081	0.6621621621621622	0.581081081081081	0.6756756756756757	0.5135135135135135	0.6486486486486487	0.6351351351351351	0.7162162162162162	0.5945945945945946	0
Layer 5	1.0	0.0	1.0	0.5	0.5	0.0	0.5	0.0	0.5	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.2	0.8	0.8	0.2	0.5	0.42857142857142855	0.7142857142857143	0.375	0.6666666666666666	0.5	0.7	0.5	0.45454545454545453	0.8181818181818182	0.5833333333333334	0.3333333333333333	0.5	0.5	0.25	0.6153846153846154	0.5	0.4	0.4375	0.4782608695652174	0.4	0.4838709677419355	0.4857142857142857	0.5106382978723404	0.5102040816326531	0.42857142857142855	0.4936708860759494	0.45652173913043476	0.44565217391304346	0.45652173913043476	0.44565217391304346	0.5	0.5978260869565217	0.5217391304347826	0.44565217391304346	0.3763440860215054	0.5806451612903226	0.4731182795698925	0.5376344086021505	0.4838709677419355	0.4731182795698925	0.44086021505376344	0.8	0.5	0.7058823529411765	0.7727272727272727	0.6363636363636364	0.5862068965517241	0.5161290322580645	0.65625	0.5454545454545454	0.5641025641025641	0.5128205128205128	0.660377358490566	0.6428571428571429	0.6984126984126984	0.5555555555555556	0.5616438356164384	0.5540540540540541	0.6081081081081081	0.5405405405405406	0.6216216216216216	0.6216216216216216	0.527027027027027	0.5405405405405406	0.581081081081081	0.6486486486486487	0.5675675675675675	0.6621621621621622	0.5405405405405406	0.47297297297297297	0.6216216216216216	0.5405405405405406	0.6216216216216216	0.47297297297297297	0.6891891891891891	0.5405405405405406	0
Layer 6	0.0	0.0	1.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.2	0.2	0.6	0.6	0.5	0.7142857142857143	0.8571428571428571	0.625	0.4444444444444444	0.5	0.4	0.4	0.7272727272727273	0.8181818181818182	0.3333333333333333	0.5	0.16666666666666666	0.3333333333333333	0.3333333333333333	0.38461538461538464	0.2857142857142857	0.26666666666666666	0.4375	0.43478260869565216	0.32	0.3548387096774194	0.3142857142857143	0.48936170212765956	0.46938775510204084	0.5	0.4430379746835443	0.45652173913043476	0.4891304347826087	0.42391304347826086	0.3804347826086957	0.5108695652173914	0.4891304347826087	0.44565217391304346	0.4782608695652174	0.45161290322580644	0.5161290322580645	0.5053763440860215	0.5483870967741935	0.44086021505376344	0.46236559139784944	0.41935483870967744	0.8	0.75	0.6470588235294118	0.5454545454545454	0.6818181818181818	0.6206896551724138	0.5161290322580645	0.6875	0.45454545454545453	0.5384615384615384	0.5641025641025641	0.49056603773584906	0.7142857142857143	0.5555555555555556	0.6111111111111112	0.5753424657534246	0.5945945945945946	0.5675675675675675	0.6621621621621622	0.5945945945945946	0.5675675675675675	0.7297297297297297	0.5675675675675675	0.5675675675675675	0.6756756756756757	0.6216216216216216	0.581081081081081	0.6081081081081081	0.6216216216216216	0.527027027027027	0.5405405405405406	0.6351351351351351	0.5405405405405406	0.6351351351351351	0.5945945945945946	0
Layer 7	0.0	0.0	1.0	0.5	0.0	0.5	0.5	0.0	0.5	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.2	0.2	0.8	0.6	0.5	0.5714285714285714	0.8571428571428571	0.625	0.4444444444444444	0.5	0.2	0.4	0.8181818181818182	0.8181818181818182	0.3333333333333333	0.5833333333333334	0.25	0.5	0.3333333333333333	0.3076923076923077	0.35714285714285715	0.3333333333333333	0.375	0.43478260869565216	0.28	0.3870967741935484	0.3142857142857143	0.574468085106383	0.42857142857142855	0.5285714285714286	0.4936708860759494	0.391304347826087	0.5	0.42391304347826086	0.41304347826086957	0.5	0.4782608695652174	0.45652173913043476	0.45652173913043476	0.43010752688172044	0.5053763440860215	0.5483870967741935	0.5483870967741935	0.4731182795698925	0.4946236559139785	0.41935483870967744	0.8	0.875	0.6470588235294118	0.6363636363636364	0.6818181818181818	0.6206896551724138	0.6451612903225806	0.59375	0.6060606060606061	0.5641025641025641	0.6923076923076923	0.4716981132075472	0.6964285714285714	0.5396825396825397	0.5555555555555556	0.5753424657534246	0.5540540540540541	0.5675675675675675	0.5540540540540541	0.5540540540540541	0.5540540540540541	0.7162162162162162	0.6081081081081081	0.5540540540540541	0.6621621621621622	0.6891891891891891	0.581081081081081	0.5945945945945946	0.5945945945945946	0.5540540540540541	0.581081081081081	0.6351351351351351	0.4864864864864865	0.6216216216216216	0.6351351351351351	0
Layer 8	0.0	0.0	1.0	0.5	0.0	0.5	0.5	1.0	0.5	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.2	0.2	0.8	0.6	0.16666666666666666	0.5714285714285714	0.8571428571428571	0.625	0.4444444444444444	0.5	0.3	0.5	0.8181818181818182	0.8181818181818182	0.3333333333333333	0.6666666666666666	0.16666666666666666	0.4166666666666667	0.3333333333333333	0.38461538461538464	0.21428571428571427	0.4	0.5625	0.4782608695652174	0.36	0.3870967741935484	0.3142857142857143	0.5106382978723404	0.3877551020408163	0.45714285714285713	0.45569620253164556	0.3695652173913043	0.44565217391304346	0.43478260869565216	0.391304347826087	0.44565217391304346	0.43478260869565216	0.44565217391304346	0.45652173913043476	0.45161290322580644	0.5591397849462365	0.5591397849462365	0.5268817204301075	0.43010752688172044	0.4946236559139785	0.41935483870967744	0.8	0.875	0.6470588235294118	0.5454545454545454	0.6818181818181818	0.7931034482758621	0.6451612903225806	0.59375	0.6363636363636364	0.5897435897435898	0.6410256410256411	0.4339622641509434	0.7321428571428571	0.5714285714285714	0.5416666666666666	0.5205479452054794	0.6486486486486487	0.581081081081081	0.6351351351351351	0.5405405405405406	0.581081081081081	0.7297297297297297	0.5945945945945946	0.5675675675675675	0.6351351351351351	0.6486486486486487	0.581081081081081	0.5945945945945946	0.5405405405405406	0.5540540540540541	0.5675675675675675	0.6486486486486487	0.5675675675675675	0.581081081081081	0.6486486486486487	0
Layer 9	0.0	0.0	1.0	0.5	0.0	0.5	1.0	1.0	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.2	0.2	0.8	0.6	0.16666666666666666	0.5714285714285714	0.7142857142857143	0.625	0.5555555555555556	0.5	0.2	0.4	0.8181818181818182	0.6363636363636364	0.25	0.5	0.16666666666666666	0.25	0.4166666666666667	0.3076923076923077	0.21428571428571427	0.3333333333333333	0.4375	0.5217391304347826	0.28	0.3870967741935484	0.34285714285714286	0.46808510638297873	0.40816326530612246	0.45714285714285713	0.4810126582278481	0.40217391304347827	0.42391304347826086	0.41304347826086957	0.3695652173913043	0.3695652173913043	0.44565217391304346	0.42391304347826086	0.45652173913043476	0.4731182795698925	0.5268817204301075	0.5268817204301075	0.5268817204301075	0.4731182795698925	0.5268817204301075	0.40860215053763443	0.8	0.875	0.5882352941176471	0.5	0.6818181818181818	0.7586206896551724	0.6129032258064516	0.59375	0.6363636363636364	0.5384615384615384	0.6923076923076923	0.39622641509433965	0.7142857142857143	0.49206349206349204	0.6111111111111112	0.5616438356164384	0.6486486486486487	0.4864864864864865	0.581081081081081	0.5675675675675675	0.6216216216216216	0.6891891891891891	0.6216216216216216	0.5675675675675675	0.7027027027027027	0.6216216216216216	0.5405405405405406	0.581081081081081	0.5540540540540541	0.5135135135135135	0.5405405405405406	0.6351351351351351	0.581081081081081	0.581081081081081	0.6486486486486487	0
Layer 10	0.0	0.0	1.0	0.5	0.0	0.5	0.5	0.0	0.0	0.6666666666666666	1.0	0.3333333333333333	0.6666666666666666	0.2	0.2	0.8	0.8	0.5	0.7142857142857143	0.8571428571428571	0.75	0.5555555555555556	0.6	0.3	0.5	0.8181818181818182	0.7272727272727273	0.25	0.5	0.25	0.25	0.5	0.46153846153846156	0.21428571428571427	0.3333333333333333	0.375	0.5217391304347826	0.56	0.3870967741935484	0.37142857142857144	0.574468085106383	0.46938775510204084	0.5142857142857142	0.5443037974683544	0.41304347826086957	0.5	0.5108695652173914	0.41304347826086957	0.44565217391304346	0.4891304347826087	0.44565217391304346	0.5108695652173914	0.5483870967741935	0.5591397849462365	0.5483870967741935	0.5698924731182796	0.5053763440860215	0.5806451612903226	0.43010752688172044	0.8	0.75	0.7058823529411765	0.5	0.6363636363636364	0.6896551724137931	0.6129032258064516	0.625	0.5454545454545454	0.4358974358974359	0.6666666666666666	0.41509433962264153	0.5892857142857143	0.5555555555555556	0.5694444444444444	0.5616438356164384	0.5945945945945946	0.47297297297297297	0.5540540540540541	0.4864864864864865	0.581081081081081	0.7162162162162162	0.5540540540540541	0.5405405405405406	0.7027027027027027	0.6081081081081081	0.527027027027027	0.527027027027027	0.5675675675675675	0.5135135135135135	0.5540540540540541	0.6216216216216216	0.4864864864864865	0.5675675675675675	0.581081081081081	0
