	0	10	20	30	40	50	60	70	80	90	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	1050	1100	1150	1200	1250	1300	1350	1400	1450	1500	1550	1600	1650	1700	1750	1800	1850	1900	1950	2000	2100	2200	2300	2400	2500	2600	2700	2800	2900	3000	3100	3200	3300	3400	3500	3600	3700	3800	3900	4000	4100	4200	4300	4400	4500	4600	4700	4800	4900	5000	5100	5200	5300	5400	5500	5600	5700	5800	5900	6000	6100	6200	6300	6400	6500	6600	6700	6800	6900	7000	7100	7200	7300	7400	7500	7600	7700	7800	7900	8000	8100	8200	8300	8400	8500	8600	8700	8800	8900	9000	9100	9200	9300	9400	9500	9600	9700	9800	9900	10000	10100	10200	10300	10400	10500	10600	10700	10800	10900	11000	11100	11200	11300	11400	11500	11600	11700	11800	11900	12000	12100
0	0.5585	0.5585	0.55775	0.55775	0.5585	0.55825	0.55825	0.55825	0.558	0.55825	0.558	0.558	0.5575	0.55775	0.55775	0.55775	0.55775	0.55775	0.55775	0.55775	0.5575	0.55675	0.55625	0.55525	0.555	0.55425	0.554	0.554	0.55325	0.55275	0.554	0.55275	0.55275	0.5525	0.5525	0.55275	0.5525	0.5525	0.55275	0.55275	0.5525	0.55125	0.552	0.5525	0.5525	0.5525	0.5525	0.5525	0.5525	0.552	0.552	0.552	0.55125	0.55125	0.55125	0.55125	0.55125	0.5495	0.5495	0.54675	0.55025	0.54875	0.5465	0.54575	0.54575	0.54575	0.54575	0.54575	0.54575	0.546	0.546	0.54575	0.54575	0.54575	0.54575	0.54575	0.54575	0.546	0.54575	0.546	0.546	0.546	0.54575	0.546	0.546	0.546	0.546	0.54775	0.546	0.546	0.546	0.546	0.546	0.548	0.54775	0.548	0.548	0.54875	0.54875	0.5485	0.5485	0.548	0.54775	0.548	0.548	0.548	0.548	0.54575	0.5455	0.546	0.548	0.548	0.546	0.548	0.546	0.5445	0.546	0.546	0.546	0.546	0.546	0.546	0.546	0.546	0.546	0.54725	0.54725	0.5445	0.5465	0.5445	0.5445	0.5445	0.5445	0.54525	0.54525	0.5445	0.5445	0.5445	0.5445	0.5445	0.5445	0.5445	0.5445	0.541	0.5445	0.543	0.541	0.5465	0.5465	0.5465
1	0.74325	0.74325	0.73575	0.74275	0.743	0.74525	0.754	0.754	0.753	0.75575	0.754	0.78075	0.80875	0.8295	0.857	0.88175	0.8985	0.90725	0.91225	0.91775	0.92175	0.922	0.92475	0.9245	0.9305	0.93475	0.94025	0.94	0.94025	0.942	0.94275	0.9425	0.94125	0.94025	0.94225	0.94025	0.9415	0.939	0.9385	0.93875	0.9375	0.94025	0.94375	0.94725	0.94125	0.94175	0.94225	0.9365	0.94125	0.936	0.9385	0.938	0.94	0.93725	0.93975	0.9375	0.936	0.9375	0.93625	0.93675	0.9385	0.9335	0.93975	0.93325	0.942	0.93825	0.937	0.9345	0.93775	0.9405	0.94025	0.93975	0.9325	0.934	0.9315	0.93575	0.93825	0.939	0.9405	0.93425	0.937	0.93575	0.9375	0.93825	0.93425	0.937	0.939	0.9365	0.932	0.933	0.936	0.9345	0.86775	0.94175	0.93825	0.93125	0.93025	0.93075	0.93275	0.929	0.9275	0.93225	0.9315	0.93475	0.9325	0.93275	0.92875	0.9335	0.93425	0.93475	0.93325	0.931	0.93	0.92975	0.934	0.93575	0.93325	0.9395	0.93825	0.93475	0.93	0.93	0.9315	0.93175	0.93275	0.93575	0.93225	0.939	0.93625	0.93	0.93325	0.9315	0.9285	0.933	0.92875	0.932	0.9295	0.9315	0.93175	0.934	0.93325	0.938	0.93575	0.93725	0.93475	0.9345	0.9335	0.93625	0.94075	0.932
2	0.75875	0.7585	0.73525	0.7435	0.74175	0.74375	0.7605	0.76025	0.7615	0.75825	0.7605	0.7895	0.8155	0.847	0.87325	0.8895	0.90525	0.913	0.91925	0.92075	0.92975	0.9255	0.928	0.93	0.934	0.9355	0.94325	0.9455	0.94425	0.94825	0.94725	0.94575	0.94675	0.94575	0.948	0.9465	0.94575	0.94375	0.9425	0.944	0.94075	0.9445	0.94425	0.95275	0.94975	0.94475	0.9445	0.942	0.9445	0.942	0.942	0.941	0.94275	0.94325	0.94225	0.942	0.94375	0.945	0.94325	0.94	0.9435	0.943	0.94775	0.941	0.947	0.944	0.94525	0.9435	0.944	0.944	0.941	0.94125	0.93775	0.94225	0.939	0.94	0.94175	0.943	0.94125	0.93775	0.94	0.9355	0.9445	0.94175	0.937	0.938	0.94075	0.93875	0.9355	0.937	0.93975	0.93775	0.87825	0.9465	0.94525	0.9395	0.94125	0.936	0.93725	0.9345	0.9355	0.937	0.9395	0.938	0.9335	0.93325	0.933	0.93475	0.93625	0.93675	0.93675	0.9395	0.939	0.93875	0.93725	0.93875	0.93775	0.942	0.939	0.941	0.93575	0.938	0.93525	0.93825	0.934	0.93775	0.93525	0.94175	0.93925	0.93725	0.938	0.9335	0.9345	0.937	0.9385	0.939	0.935	0.9325	0.93325	0.9335	0.93525	0.939	0.93575	0.938	0.93575	0.93875	0.9345	0.93875	0.9385	0.93375
3	0.7665	0.76725	0.733	0.74425	0.74475	0.7485	0.75775	0.76275	0.76375	0.76325	0.764	0.791	0.82175	0.8515	0.875	0.8955	0.90725	0.915	0.92175	0.92525	0.932	0.92975	0.932	0.934	0.93925	0.9405	0.945	0.9475	0.949	0.949	0.9495	0.94825	0.949	0.95075	0.95475	0.952	0.9525	0.94875	0.947	0.94775	0.95025	0.95075	0.94425	0.9565	0.95225	0.94975	0.94925	0.9485	0.95175	0.95175	0.94675	0.948	0.94825	0.94975	0.94875	0.9475	0.948	0.94875	0.949	0.948	0.95025	0.95175	0.952	0.95275	0.954	0.95075	0.95225	0.9495	0.9485	0.954	0.95025	0.9485	0.947	0.95075	0.94625	0.95	0.94875	0.949	0.95025	0.9445	0.94675	0.94825	0.9455	0.95075	0.94625	0.94625	0.949	0.94575	0.9465	0.94575	0.945	0.94775	0.88925	0.954	0.9495	0.949	0.95075	0.94875	0.94425	0.946	0.946	0.94925	0.94875	0.949	0.94625	0.9425	0.948	0.9495	0.947	0.94625	0.944	0.9465	0.94525	0.9465	0.94775	0.94825	0.94975	0.9495	0.94775	0.94525	0.94725	0.94625	0.94725	0.94725	0.94625	0.94825	0.94625	0.94525	0.95075	0.9465	0.95075	0.94875	0.95	0.9475	0.94725	0.9475	0.94725	0.9475	0.94525	0.947	0.949	0.95	0.9475	0.94675	0.947	0.947	0.9425	0.94575	0.94675	0.94525
4	0.7755	0.77475	0.7395	0.74775	0.7455	0.75125	0.75975	0.764	0.7625	0.763	0.7705	0.798	0.825	0.8555	0.8775	0.89875	0.9185	0.92025	0.9265	0.93225	0.937	0.93375	0.937	0.94225	0.9465	0.947	0.95075	0.95375	0.95425	0.95225	0.95625	0.955	0.9545	0.957	0.959	0.95925	0.958	0.957	0.95975	0.9585	0.962	0.96075	0.95025	0.96475	0.959	0.95925	0.958	0.95725	0.96125	0.96075	0.96075	0.96125	0.9625	0.96125	0.96325	0.965	0.9665	0.96375	0.9665	0.967	0.9675	0.969	0.969	0.96975	0.96825	0.97025	0.96775	0.9675	0.97	0.96875	0.9685	0.969	0.97125	0.973	0.965	0.96875	0.97	0.97	0.97275	0.9705	0.97	0.97075	0.969	0.97025	0.97075	0.97025	0.97125	0.97175	0.974	0.9735	0.97175	0.9705	0.89075	0.973	0.97575	0.9735	0.97425	0.97425	0.9745	0.9725	0.9745	0.9735	0.9715	0.9755	0.97125	0.97175	0.973	0.974	0.97375	0.97375	0.975	0.9775	0.97425	0.9755	0.9745	0.97425	0.972	0.97375	0.97275	0.973	0.9775	0.97625	0.97625	0.97425	0.973	0.97075	0.97575	0.97675	0.97525	0.97475	0.975	0.97575	0.9745	0.976	0.97575	0.97575	0.97475	0.97525	0.977	0.972	0.97275	0.97425	0.97525	0.97625	0.9755	0.9755	0.978	0.9765	0.9765	0.97525
5	0.7635	0.76275	0.737	0.7485	0.7455	0.75225	0.76375	0.766	0.76175	0.764	0.76575	0.80175	0.8295	0.855	0.88125	0.89975	0.921	0.921	0.92925	0.936	0.9415	0.94025	0.94425	0.9505	0.9535	0.953	0.9555	0.95925	0.95775	0.9595	0.96275	0.9625	0.96075	0.96225	0.96275	0.965	0.966	0.96175	0.96225	0.9645	0.9665	0.966	0.96025	0.97075	0.9665	0.9635	0.9655	0.963	0.96575	0.96525	0.966	0.967	0.965	0.96625	0.96925	0.969	0.97325	0.9725	0.9715	0.97075	0.97525	0.9745	0.97575	0.975	0.9755	0.977	0.9795	0.97425	0.9775	0.979	0.9775	0.9765	0.97825	0.97675	0.975	0.9765	0.9775	0.97975	0.98	0.98175	0.978	0.97975	0.9815	0.9795	0.9785	0.97875	0.979	0.98075	0.9805	0.98225	0.98025	0.9805	0.89475	0.9805	0.9825	0.982	0.98475	0.983	0.9825	0.98225	0.9825	0.98175	0.97975	0.98175	0.9815	0.982	0.9825	0.98325	0.98275	0.98225	0.98375	0.98675	0.9835	0.9825	0.98175	0.9835	0.9845	0.98375	0.98225	0.98425	0.98475	0.9845	0.98625	0.98275	0.98425	0.98375	0.98525	0.98575	0.9845	0.98275	0.9855	0.98325	0.98525	0.98575	0.986	0.98525	0.9855	0.98375	0.986	0.98475	0.986	0.985	0.986	0.9875	0.9855	0.986	0.99075	0.9865	0.98525	0.98525
6	0.77075	0.77125	0.738	0.748	0.74525	0.754	0.76625	0.76525	0.761	0.7615	0.768	0.801	0.83275	0.85825	0.88375	0.9025	0.92125	0.927	0.93575	0.943	0.95025	0.949	0.956	0.958	0.9585	0.9635	0.965	0.968	0.97025	0.9715	0.9715	0.97475	0.97525	0.973	0.97575	0.97475	0.97525	0.975	0.97725	0.978	0.978	0.98	0.9725	0.983	0.98325	0.98275	0.98125	0.982	0.983	0.9865	0.9865	0.98475	0.9835	0.98525	0.98575	0.986	0.98625	0.985	0.98675	0.987	0.9875	0.98775	0.9885	0.98875	0.98975	0.98925	0.98675	0.9895	0.99025	0.99025	0.98875	0.98775	0.98775	0.98925	0.99025	0.989	0.9885	0.99025	0.99175	0.9905	0.9895	0.99125	0.9915	0.9915	0.9915	0.9925	0.993	0.99325	0.9915	0.9905	0.991	0.99225	0.88925	0.9915	0.9945	0.994	0.99425	0.996	0.994	0.994	0.99375	0.9945	0.994	0.99475	0.9945	0.99575	0.996	0.99425	0.99675	0.99625	0.9955	0.99575	0.99525	0.99525	0.9955	0.9965	0.99575	0.9955	0.9955	0.9955	0.99525	0.9965	0.99625	0.996	0.9965	0.997	0.997	0.99675	0.99675	0.99575	0.9965	0.99675	0.99625	0.9975	0.9965	0.99675	0.99625	0.997	0.99725	0.99775	0.99775	0.9975	0.997	0.998	0.997	0.99725	0.998	0.99725	0.99625	0.99675
7	0.76775	0.76625	0.74075	0.746	0.7465	0.75375	0.76275	0.76475	0.765	0.765	0.76975	0.80075	0.83775	0.8605	0.88725	0.90675	0.9285	0.9335	0.93925	0.95	0.95625	0.95775	0.9635	0.96325	0.96775	0.971	0.974	0.9775	0.98025	0.97825	0.98225	0.9825	0.9835	0.9835	0.9845	0.98425	0.9855	0.9855	0.986	0.989	0.98975	0.99125	0.97775	0.9925	0.99225	0.99125	0.992	0.992	0.993	0.9935	0.993	0.994	0.9945	0.9925	0.99425	0.99575	0.995	0.99575	0.996	0.99575	0.99475	0.99625	0.99575	0.9945	0.9955	0.99625	0.99575	0.9965	0.9965	0.997	0.99775	0.99675	0.99725	0.997	0.99725	0.9975	0.997	0.99775	0.9975	0.996	0.9975	0.99725	0.99725	0.9975	0.99725	0.9975	0.998	0.99825	0.99775	0.998	0.99825	0.99775	0.8955	0.99625	0.99925	0.9985	0.99875	0.99825	0.9985	0.9985	0.9985	0.99875	0.99875	0.99875	0.9985	0.9985	0.9985	0.99875	0.99875	0.99875	0.99875	0.99875	0.99875	0.99825	0.9985	0.99875	0.99875	0.99875	0.999	0.999	0.99925	0.999	0.999	0.99875	0.999	0.9985	0.999	0.999	0.99925	0.99925	0.99875	0.99875	0.999	0.999	0.99925	0.999	0.99875	0.999	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.999	0.99925	0.99925	0.99925	0.99925
8	0.7615	0.7625	0.7405	0.7465	0.745	0.753	0.763	0.76475	0.7645	0.76775	0.769	0.804	0.83975	0.86025	0.88825	0.909	0.9315	0.93725	0.945	0.953	0.96175	0.9645	0.97075	0.9705	0.975	0.9775	0.981	0.9835	0.98875	0.987	0.98875	0.98975	0.99075	0.99025	0.99175	0.991	0.993	0.9935	0.9935	0.9955	0.99625	0.99625	0.985	0.99675	0.99775	0.99775	0.9975	0.998	0.9975	0.9965	0.99775	0.998	0.9985	0.99775	0.998	0.9975	0.99725	0.998	0.9985	0.99775	0.99825	0.9975	0.99775	0.998	0.99875	0.9985	0.9985	0.99875	0.99875	0.9985	0.99875	0.999	0.99875	0.99875	0.999	0.99875	0.999	0.999	0.9985	0.9985	0.999	0.999	0.99875	0.999	0.999	0.999	0.999	0.999	0.99875	0.999	0.999	0.999	0.89625	0.99875	0.99925	0.99925	0.99925	0.999	0.99925	0.999	0.99925	0.99925	0.99925	0.99925	0.999	0.99925	0.99925	0.999	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.999	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925	0.99925
