	canoe	trudge	kayak	trek	stride	vault	trot	hop	exit	scurry	bike	raft	dart	speed	lurch	inch	gallop	paddle	creep	stagger	meander	stumble	hike	skate	tumble	wander	cycle	hasten	chase	plunge	dash	scramble	glide	limp	taxi	row	crawl	depart	journey	float	race	hurry	arrive	drift	swim	ride	flee	cross	march	sail	descend	fly	ascend	walk	climb	rush	run	travel	go	refund	bequeath	ask	dictate	yield	guarantee	tell	mail	allot	forward	promise	trade	rent	cede	relay	read	lease	feed	explain	deny	teach	allocate	issue	show	pass	grant	award	deliver	present	offer	pay	sell	assign	transfer	give	checkpoint
Layer 1	0.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	1.0	0.3333333333333333	0.0	1.0	1.0	0.4	1.0	0.4	1.0	0.3333333333333333	0.8571428571428571	0.42857142857142855	0.625	0.7777777777777778	0.6	0.3	0.5	0.45454545454545453	0.5454545454545454	0.9166666666666666	0.8333333333333334	0.75	0.75	0.8333333333333334	0.5384615384615384	0.6428571428571429	0.6	0.625	0.782608695652174	0.68	0.2903225806451613	0.7142857142857143	0.7021276595744681	0.673469387755102	0.6857142857142857	0.620253164556962	0.8152173913043478	0.8152173913043478	0.7717391304347826	0.717391304347826	0.6086956521739131	0.782608695652174	0.6195652173913043	0.5652173913043478	0.6559139784946236	0.6559139784946236	0.7419354838709677	0.6989247311827957	0.5591397849462365	0.5806451612903226	0.7204301075268817	0.2	0.5	0.29411764705882354	0.09090909090909091	0.09090909090909091	0.3103448275862069	0.2903225806451613	0.34375	0.24242424242424243	0.6153846153846154	0.4358974358974359	0.22641509433962265	0.48214285714285715	0.3968253968253968	0.4583333333333333	0.3698630136986301	0.24324324324324326	0.44594594594594594	0.4594594594594595	0.20270270270270271	0.35135135135135137	0.581081081081081	0.4189189189189189	0.32432432432432434	0.4189189189189189	0.33783783783783783	0.6216216216216216	0.2702702702702703	0.5405405405405406	0.33783783783783783	0.3108108108108108	0.33783783783783783	0.35135135135135137	0.6216216216216216	0.16216216216216217	0
Layer 2	0.0	1.0	1.0	0.5	0.5	1.0	1.0	1.0	0.5	0.0	0.0	1.0	0.3333333333333333	0.6	0.8	0.4	0.8	0.5	0.7142857142857143	0.5714285714285714	0.75	0.4444444444444444	0.6	0.3	0.3	0.6363636363636364	0.5454545454545454	0.5833333333333334	0.6666666666666666	0.3333333333333333	0.4166666666666667	0.3333333333333333	0.15384615384615385	0.2857142857142857	0.26666666666666666	0.1875	0.6086956521739131	0.48	0.5161290322580645	0.37142857142857144	0.6170212765957447	0.46938775510204084	0.5571428571428572	0.4810126582278481	0.6739130434782609	0.5108695652173914	0.40217391304347827	0.5543478260869565	0.3804347826086957	0.5978260869565217	0.5108695652173914	0.4782608695652174	0.3118279569892473	0.5161290322580645	0.6666666666666666	0.6129032258064516	0.45161290322580644	0.3763440860215054	0.6989247311827957	0.6	0.875	0.29411764705882354	0.09090909090909091	0.5454545454545454	0.6551724137931034	0.6129032258064516	0.75	0.6666666666666666	0.8205128205128205	0.6153846153846154	0.3018867924528302	0.6964285714285714	0.6190476190476191	0.5972222222222222	0.4931506849315068	0.2702702702702703	0.5135135135135135	0.6486486486486487	0.35135135135135137	0.44594594594594594	0.6486486486486487	0.6081081081081081	0.5405405405405406	0.7702702702702703	0.5405405405405406	0.6351351351351351	0.3918918918918919	0.6621621621621622	0.35135135135135137	0.527027027027027	0.527027027027027	0.5135135135135135	0.8243243243243243	0.43243243243243246	0
Layer 3	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.6	0.4	0.4	0.4	0.5	0.7142857142857143	0.7142857142857143	0.75	0.6666666666666666	0.4	0.4	0.4	0.5454545454545454	0.6363636363636364	0.5	0.75	0.4166666666666667	0.5833333333333334	0.25	0.23076923076923078	0.5714285714285714	0.3333333333333333	0.4375	0.391304347826087	0.56	0.3870967741935484	0.4	0.48936170212765956	0.46938775510204084	0.5	0.43037974683544306	0.5652173913043478	0.5108695652173914	0.2717391304347826	0.5543478260869565	0.4891304347826087	0.6847826086956522	0.391304347826087	0.45652173913043476	0.40860215053763443	0.5806451612903226	0.5913978494623656	0.7204301075268817	0.5053763440860215	0.40860215053763443	0.5591397849462365	0.6	0.75	0.5882352941176471	0.2727272727272727	0.5454545454545454	0.6206896551724138	0.6129032258064516	0.8125	0.7272727272727273	0.6923076923076923	0.5128205128205128	0.39622641509433965	0.5714285714285714	0.5238095238095238	0.6388888888888888	0.6027397260273972	0.47297297297297297	0.5675675675675675	0.6081081081081081	0.47297297297297297	0.581081081081081	0.7297297297297297	0.7567567567567568	0.44594594594594594	0.527027027027027	0.5945945945945946	0.47297297297297297	0.4594594594594595	0.6216216216216216	0.47297297297297297	0.5945945945945946	0.6891891891891891	0.7027027027027027	0.7162162162162162	0.44594594594594594	0
Layer 4	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.5	0.0	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.6	0.4	0.6	0.6	0.5	0.5714285714285714	0.5714285714285714	0.75	0.6666666666666666	0.2	0.5	0.7	0.5454545454545454	0.45454545454545453	0.4166666666666667	0.8333333333333334	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.23076923076923078	0.6428571428571429	0.3333333333333333	0.5625	0.34782608695652173	0.48	0.41935483870967744	0.45714285714285713	0.574468085106383	0.5714285714285714	0.5	0.43037974683544306	0.44565217391304346	0.5543478260869565	0.33695652173913043	0.5217391304347826	0.4891304347826087	0.7391304347826086	0.42391304347826086	0.4782608695652174	0.5268817204301075	0.7096774193548387	0.5376344086021505	0.7956989247311828	0.44086021505376344	0.4946236559139785	0.6344086021505376	0.6	0.625	0.5882352941176471	0.18181818181818182	0.2727272727272727	0.5862068965517241	0.5161290322580645	0.71875	0.7272727272727273	0.5384615384615384	0.5641025641025641	0.33962264150943394	0.5714285714285714	0.3492063492063492	0.4444444444444444	0.6986301369863014	0.5945945945945946	0.527027027027027	0.5675675675675675	0.4594594594594595	0.4594594594594595	0.6756756756756757	0.7027027027027027	0.4864864864864865	0.5945945945945946	0.35135135135135137	0.47297297297297297	0.43243243243243246	0.6216216216216216	0.6081081081081081	0.5405405405405406	0.6486486486486487	0.6621621621621622	0.6486486486486487	0.36486486486486486	0
Layer 5	1.0	0.0	0.0	1.0	0.5	1.0	1.0	1.0	1.0	0.0	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.6	0.4	0.8	0.6	0.3333333333333333	0.8571428571428571	0.7142857142857143	0.625	0.6666666666666666	0.6	0.7	0.7	0.5454545454545454	0.7272727272727273	0.4166666666666667	1.0	0.3333333333333333	0.6666666666666666	0.5	0.46153846153846156	0.7142857142857143	0.4	0.5625	0.43478260869565216	0.56	0.5161290322580645	0.42857142857142855	0.5531914893617021	0.5306122448979592	0.5571428571428572	0.3924050632911392	0.4891304347826087	0.6630434782608695	0.4673913043478261	0.41304347826086957	0.5869565217391305	0.7391304347826086	0.5543478260869565	0.5543478260869565	0.6236559139784946	0.7634408602150538	0.4731182795698925	0.6881720430107527	0.5483870967741935	0.6021505376344086	0.5591397849462365	0.6	0.875	0.6470588235294118	0.2727272727272727	0.36363636363636365	0.6896551724137931	0.41935483870967744	0.71875	0.6363636363636364	0.5641025641025641	0.48717948717948717	0.37735849056603776	0.6607142857142857	0.30158730158730157	0.375	0.5068493150684932	0.5945945945945946	0.5675675675675675	0.5945945945945946	0.4864864864864865	0.4864864864864865	0.6351351351351351	0.6081081081081081	0.44594594594594594	0.6351351351351351	0.3918918918918919	0.5135135135135135	0.35135135135135137	0.7027027027027027	0.40540540540540543	0.581081081081081	0.5540540540540541	0.5540540540540541	0.581081081081081	0.47297297297297297	0
Layer 6	1.0	0.0	0.0	0.5	1.0	1.0	1.0	0.0	1.0	0.0	0.3333333333333333	0.3333333333333333	1.0	0.4	0.2	0.6	0.4	0.3333333333333333	0.5714285714285714	0.8571428571428571	0.5	0.6666666666666666	0.3	0.5	0.7	0.5454545454545454	0.7272727272727273	0.4166666666666667	0.9166666666666666	0.3333333333333333	0.6666666666666666	0.5	0.46153846153846156	0.5714285714285714	0.4	0.625	0.4782608695652174	0.6	0.5161290322580645	0.45714285714285713	0.5106382978723404	0.673469387755102	0.5857142857142857	0.4177215189873418	0.532608695652174	0.5760869565217391	0.532608695652174	0.45652173913043476	0.5652173913043478	0.7391304347826086	0.4782608695652174	0.5760869565217391	0.4731182795698925	0.7634408602150538	0.41935483870967744	0.6881720430107527	0.5268817204301075	0.5268817204301075	0.4946236559139785	0.6	0.875	0.5882352941176471	0.36363636363636365	0.45454545454545453	0.4827586206896552	0.45161290322580644	0.4375	0.6666666666666666	0.5897435897435898	0.5641025641025641	0.49056603773584906	0.6785714285714286	0.3492063492063492	0.3888888888888889	0.6027397260273972	0.4864864864864865	0.4864864864864865	0.6351351351351351	0.47297297297297297	0.3783783783783784	0.7162162162162162	0.5405405405405406	0.5135135135135135	0.5945945945945946	0.35135135135135137	0.5675675675675675	0.4594594594594595	0.6621621621621622	0.43243243243243246	0.5675675675675675	0.5675675675675675	0.5675675675675675	0.6081081081081081	0.5	0
Layer 7	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.3333333333333333	0.3333333333333333	1.0	0.6	0.2	0.6	0.4	0.5	0.5714285714285714	0.8571428571428571	0.375	0.7777777777777778	0.4	0.5	0.7	0.6363636363636364	0.8181818181818182	0.4166666666666667	0.6666666666666666	0.5833333333333334	0.75	0.5833333333333334	0.6153846153846154	0.5	0.3333333333333333	0.6875	0.43478260869565216	0.64	0.6129032258064516	0.45714285714285713	0.5106382978723404	0.5918367346938775	0.5714285714285714	0.45569620253164556	0.4891304347826087	0.6630434782608695	0.5108695652173914	0.4891304347826087	0.5978260869565217	0.6847826086956522	0.5760869565217391	0.5217391304347826	0.45161290322580644	0.7634408602150538	0.4838709677419355	0.6774193548387096	0.5591397849462365	0.6236559139784946	0.46236559139784944	0.6	0.75	0.7058823529411765	0.3181818181818182	0.5	0.6551724137931034	0.4838709677419355	0.5	0.6363636363636364	0.5641025641025641	0.5128205128205128	0.49056603773584906	0.6964285714285714	0.36507936507936506	0.3194444444444444	0.4657534246575342	0.5540540540540541	0.47297297297297297	0.5	0.44594594594594594	0.40540540540540543	0.5945945945945946	0.4864864864864865	0.5405405405405406	0.43243243243243246	0.47297297297297297	0.5405405405405406	0.4594594594594595	0.5540540540540541	0.3783783783783784	0.5945945945945946	0.5	0.47297297297297297	0.581081081081081	0.3783783783783784	0
Layer 8	1.0	0.0	0.0	0.0	0.5	0.5	1.0	0.0	1.0	0.0	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.6	0.2	0.6	0.4	0.5	0.42857142857142855	0.8571428571428571	0.375	0.5555555555555556	0.3	0.6	0.6	0.5454545454545454	0.7272727272727273	0.4166666666666667	0.5	0.5833333333333334	0.75	0.5833333333333334	0.5384615384615384	0.5	0.4	0.6875	0.43478260869565216	0.6	0.5161290322580645	0.45714285714285713	0.574468085106383	0.5714285714285714	0.5285714285714286	0.45569620253164556	0.5543478260869565	0.5869565217391305	0.5434782608695652	0.45652173913043476	0.5869565217391305	0.6413043478260869	0.5869565217391305	0.4782608695652174	0.3763440860215054	0.7096774193548387	0.43010752688172044	0.6666666666666666	0.5483870967741935	0.5376344086021505	0.4946236559139785	0.4	1.0	0.5882352941176471	0.3181818181818182	0.5454545454545454	0.5862068965517241	0.5161290322580645	0.4375	0.6666666666666666	0.5641025641025641	0.48717948717948717	0.4716981132075472	0.6964285714285714	0.4444444444444444	0.2916666666666667	0.5753424657534246	0.581081081081081	0.5	0.5945945945945946	0.5	0.4864864864864865	0.6621621621621622	0.44594594594594594	0.5945945945945946	0.4864864864864865	0.4189189189189189	0.7162162162162162	0.5	0.5675675675675675	0.4864864864864865	0.527027027027027	0.5	0.5675675675675675	0.527027027027027	0.44594594594594594	0
Layer 9	1.0	0.0	0.0	0.0	1.0	0.5	1.0	0.0	0.5	0.0	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.8	0.2	0.6	0.6	0.5	0.14285714285714285	0.8571428571428571	0.25	0.4444444444444444	0.3	0.5	0.6	0.45454545454545453	0.45454545454545453	0.25	0.5	0.5	0.6666666666666666	0.5	0.5384615384615384	0.5714285714285714	0.4666666666666667	0.625	0.5217391304347826	0.6	0.45161290322580644	0.42857142857142855	0.5106382978723404	0.6122448979591837	0.5285714285714286	0.4810126582278481	0.5978260869565217	0.5543478260869565	0.5869565217391305	0.5	0.5760869565217391	0.5760869565217391	0.6304347826086957	0.532608695652174	0.3763440860215054	0.6666666666666666	0.43010752688172044	0.6021505376344086	0.5268817204301075	0.4731182795698925	0.44086021505376344	0.4	1.0	0.5294117647058824	0.36363636363636365	0.5	0.4827586206896552	0.4838709677419355	0.53125	0.6363636363636364	0.5641025641025641	0.46153846153846156	0.49056603773584906	0.6607142857142857	0.47619047619047616	0.3194444444444444	0.6164383561643836	0.5540540540540541	0.6351351351351351	0.581081081081081	0.5945945945945946	0.5	0.7297297297297297	0.4189189189189189	0.6351351351351351	0.5	0.33783783783783783	0.7162162162162162	0.527027027027027	0.6756756756756757	0.527027027027027	0.527027027027027	0.5540540540540541	0.6486486486486487	0.47297297297297297	0.5135135135135135	0
Layer 10	1.0	0.0	0.0	0.5	0.5	0.5	0.5	0.0	0.5	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.8	0.2	0.6	0.6	0.5	0.42857142857142855	0.8571428571428571	0.25	0.5555555555555556	0.3	0.5	0.6	0.5454545454545454	0.5454545454545454	0.25	0.5	0.6666666666666666	0.6666666666666666	0.5833333333333334	0.6153846153846154	0.6428571428571429	0.4666666666666667	0.6875	0.4782608695652174	0.68	0.4838709677419355	0.4857142857142857	0.5957446808510638	0.6326530612244898	0.5	0.4177215189873418	0.532608695652174	0.5652173913043478	0.5652173913043478	0.5	0.6413043478260869	0.6086956521739131	0.6304347826086957	0.5	0.4731182795698925	0.6559139784946236	0.46236559139784944	0.5268817204301075	0.5376344086021505	0.5376344086021505	0.46236559139784944	0.6	0.875	0.7058823529411765	0.5454545454545454	0.45454545454545453	0.4827586206896552	0.3870967741935484	0.4375	0.7272727272727273	0.5384615384615384	0.41025641025641024	0.5094339622641509	0.6607142857142857	0.4126984126984127	0.2638888888888889	0.6712328767123288	0.5540540540540541	0.6081081081081081	0.5	0.5675675675675675	0.5405405405405406	0.6486486486486487	0.44594594594594594	0.5135135135135135	0.5	0.44594594594594594	0.6621621621621622	0.527027027027027	0.6486486486486487	0.5	0.527027027027027	0.6081081081081081	0.5675675675675675	0.5675675675675675	0.527027027027027	0
